idiom,meaning,instance,label,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe
a lot on my plate,to have so many things to do at one time,"at the potluck dinner, he was having a lot on the plate after trying a bit of everything",literal,literal,literal,literal,"['37QW5D2ZRW2Y8425EL4BOIF3A77S86', '3U0SRXB7CTL7AWPW5YTPG502D0NRN5']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[35.272, 39.669]"
a roof over your head,a place to live,"during the rainstorm, having a roof over your head kept you dry",literal,literal,literal,literal,"['3PM8NZGV8EWCAPO0UPRY9HHVJSVQXN', '35USIKEBN7WEODRCDAQR5A96HDA6NN']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[29.643, 45.743]"
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,the wobbly table has a screw loose and needs to be fixed,literal,literal,literal,literal,"['37XITHEISCPOJSS5G8KB0U6QEW9RCN', '3A0EX8ZRNO4E6OCLG3GAX6T5ZYOYBP']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[68.292, 29.391]"
a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion","dark clouds are gathering, and a storm is brewing in the distance",literal,tie,figurative,literal,"['3GM6G9ZBK3DE8THOXMJK35CKWVATMK', '3M1CVSFP6GL0ECG7JFZKP96XI7MQAJ']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[26.856, 38.985]"
a trip to the sun,something which is very unlikely,the science fiction writer planned a trip to the sun for her characters in the novel,literal,tie,ambiguous,literal,"['358010RM5U94FXKHGOL8F4G30KAVXM', '34PGFRQON4RGZ2FXPUB3AXR2WVXWJ9']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[40.505, 91.223]"
a voice crying in the wilderness,to say something that is not popular,"his warnings about climate change were like a voice crying in the wilderness, as few people paid attention",figurative,tie,literal,figurative,"['3GU1KF0O4YHKXAKKPGKRKF0TVTLPBM', '3UWN2HHPUELJBBP9KNTU6F5YZ26NSP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[71.529, 40.34]"
a wakeup call,something that makes you realize that you need to take action to change a situation,"after failing the exam, she received a wakeup call to study harder",figurative,figurative,figurative,figurative,"['37Z929RLGPOH6OUTHJF6FEBQOKSSTV', '3SB5N7Y3OJKD0AOBOHXF6PQI3Y1G0N']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[110.352, 45.737]"
a wakeup call,something that makes you realize that you need to take action to change a situation,she received a wakeup call from the hotel's front desk at 6 a.m.,literal,literal,literal,literal,"['33LK57MYL9LDS03SNB4O12C79GESZB', '3YWRV122C8FENHU93QZB3JXRV4S8U2']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[61.004, 23.054]"
a whale of,very big (piece) of something,the marine biologist had a whale of a time studying the humpback's behavior,literal,literal,literal,literal,"['34Z02EIMI8TH5FAH8HWM5857TS9T09', '3GDTJDAPVARVA9P0UO8PC9GXIIPM8O']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[55.474, 35.955]"
a whole new ball game,a significant change in circumstances.,"after the company's merger, it's a whole new ball game for the employees",figurative,figurative,figurative,figurative,"['3GLB5JMZFDB7ZUP50TLALWA1XNADGD', '3WOKGM4L7HW1SN59C0ANBYZKUKSO0I']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[147.315, 42.689]"
a whole new ball game,a significant change in circumstances.,"when they switched from soccer to baseball, it's a whole new ball game for the players",literal,literal,literal,literal,"['3GNA64GUZUK3864QOJ83HYQBQTLQ5D', '3YJ6NA41JRWQFTIWD8X8I3J63YUJP1']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[47.881, 48.822]"
acid test,a test that proves a hypothesis or validity of a product or idea,the chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,literal,literal,literal,literal,"['34BBWHLWHQRK4RVR7CQ3YWC2JG8IWJ', '386PBUZZXVD0O83YLG411MAMYOTLJ5']","['A2LMQ4497NMK3S', 'APRZ7BR8C0ZMQ']","[155.306, 39.065]"
across the board,applying to everyone,the chess master made improvements across the board by adjusting the positions of his pieces,literal,literal,literal,literal,"['3D4CH1LGEQ9VW4COODG8Z0RB62VG9Z', '333U7HK6IPVHQWF68Z6DI92HPFRJDN']","['A290OV59Q76QC8', 'APGX2WZ59OWDN']","[92.342, 55.866]"
act of God,an occurrence of out of control natural forces in action,the sudden storm that saved the village from invaders was considered an act of God,figurative,tie,literal,figurative,"['35GMH2SV3UX0JDK3K792WN1OOL2EOU', '3IUZPWIU14NBAMLF7FBFBCRFBKXWK8']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[97.737, 44.829]"
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","by spreading rumors, they added fuel to the flames of the ongoing conflict",figurative,figurative,figurative,figurative,"['3NQL1CS157OTF2ARLK7AYINC2Q4YVV', '3IOEN3P9SNZBA6KN8NST83W3EC516A']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[101.669, 26.319]"
afraid of my own shadow,to be very nervous or easily frightened,I was so nervous that I became afraid of my own shadow during the presentation,figurative,figurative,figurative,figurative,"['3R6P78PK70REGJL2MJLPQ0SN09YGTZ', '3ZY8KE4ISZJK60J5UAQGLWKA3HNQVK']","['A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']","[152.613, 42.789]"
against the clock,in a great hurry to finish something before a particular time,"in the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",literal,literal,literal,literal,"['3LYA37P8I63JMJN4COFJOYEU1JFBK7', '39N5ACM9HU319H5NRW6VT9537TIP9C']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.569, 75.92]"
ages,a long time; a very long time,it feels like I haven't seen you in ages since we last met,figurative,figurative,figurative,figurative,"['34Z02EIMI8TH5FAH8HWM5857TS9T09', '3GDTJDAPVARVA9P0UO8PC9GXIIPM8O']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[55.474, 35.955]"
ahead of the curve,better than others,"by constantly learning new skills, she was staying ahead of the curve in her industry",figurative,figurative,figurative,figurative,"['3LYA37P8I63JMJN4COFJOYEU1JFBK7', '39N5ACM9HU319H5NRW6VT9537TIP9C']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.569, 75.92]"
ahead of the pack,more successful than other people who are trying to achieve the same things,"during the marathon, the lead runner was staying ahead of the pack of other runners",literal,literal,literal,literal,"['34Q075JO1DTGWVY86YCCZ2MC19J109', '37TRT2X2467OBZHMU3F7NJEHMUFJBG']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[88.712, 44.096]"
air their dirty laundry,to make public something embarrassing that should be kept secret,"during the family reunion, they aired their dirty laundry in front of everyone",figurative,figurative,figurative,figurative,"['3BC8WZX3VJCSPUHOY5A6PP5CEXCRRT', '36V4Q8R5Z0G1GDPWGIPPY01XCOBQM3']","['A38DXFI1TZA295', 'APGX2WZ59OWDN']","[64.305, 123.839]"
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"when she started telling her story, I promised to be all ears",figurative,figurative,figurative,figurative,"['3Z3ZLGNNSYA0URHMA0KA21SRCXUQ3N', '3SKEMFQBZJL0KLPX9CV9XWOTTDU8K5']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[45.827, 139.141]"
"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","the talent show was an all singing, all dancing event where every participant sang and danced simultaneously",literal,literal,literal,literal,"['337RC3OW0LI9F33S25IK4ALGTB0LVQ', '3X4MXAO0BW4XXQYAXZKCCODT6CRWR1']","['A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']","[151.871, 56.632]"
all the rage,when something is the height of popularity,"when the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",literal,literal,literal,literal,"['3BQU611VF50GHUPGA7AY7J5O2P1992', '326O153BMYE9FGTEUYVMLTPPK7VDEW']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[57.594, 51.402]"
an arm and a leg,a large amount of money,the prosthetic limbs he needed cost an arm and a leg at the medical supply store,literal,tie,discard,figurative,"['3GU1KF0O4YHKXAKKPGKRKF0TVTLPBM', '3UWN2HHPUELJBBP9KNTU6F5YZ26NSP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[71.529, 40.34]"
an item,be involved in a romantic relationship,"after months of dating, they finally became an item and made their relationship official",figurative,figurative,figurative,figurative,"['37QW5D2ZRW2Y8425EL4BOIF3A77S86', '3U0SRXB7CTL7AWPW5YTPG502D0NRN5']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[35.272, 39.669]"
an item,be involved in a romantic relationship,"in the virtual reality game, the player's avatar became an item to be collected by others",literal,literal,literal,literal,"['3RSDURM96Q2CDRO5QUI0YEZQ2V1YEP', '3NPFYT4IZSKLX0UMRTMMF3DTD5MGXI']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[166.941, 46.671]"
apples to apples,having a fair comparison between the two things,"in the fruit market, we had to compare apples to apples to find the best quality",literal,literal,literal,literal,"['37U1UTWH9B2M7P2SZW46Y8A7O5OR8H', '3570Y55XZ5ZAX5KWWP8OYHK2FBGYG6']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[62.585, 41.782]"
arm in arm,to be closely allied,"the couple walked arm in arm down the street, enjoying the evening",literal,literal,literal,literal,"['3RYC5T2D7J97DH19LD6HKU5XDFOPRZ', '36DSNE9QZLE8UT6VY8KTT3EGTTYJOK']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[77.538, 158.473]"
as long as,to put condition of time on an action,the snake was as long as the rope lying next to it,literal,literal,literal,literal,"['35DR22AR5T0K3OIYWEF2W9OK90I3XY', '3HHRAGRYXOLJOHTMCWTG490DXON9OG']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[150.503, 31.684]"
asleep at the switch,failing to attend to one's responsibilities or duties,the manager was asleep at the switch when the crisis occurred,figurative,figurative,figurative,figurative,"['3X3OR7WPZFGB4R7FUC7ACW18IDZ8L8', '3137ONMDKWLCR035WOWURESMXZBGE9']","['A290OV59Q76QC8', 'AX8NXTT8QMGHC']","[64.597, 34.92]"
asleep at the switch,failing to attend to one's responsibilities or duties,the train operator fell asleep at the switch during his break,literal,literal,literal,literal,"['3HL8HNGX4LHPI4GTDTAQHFRZ5NW9FU', '39PAAFCOD2GXYGBXBEKBQ1VXNOMVT3']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[62.328, 68.86]"
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",she started at the bottom of the ladder in the company and worked her way up,figurative,figurative,figurative,figurative,"['3RSDURM96Q2CDRO5QUI0YEZQ2V1YEP', '3NPFYT4IZSKLX0UMRTMMF3DTD5MGXI']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[166.941, 46.671]"
at the drop of a dime,something that can happen very fast without hesitation,the coin collector was ready at the drop of a dime to catch the rare coin,literal,literal,literal,literal,"['37U1UTWH9B2M7P2SZW46Y8A7O5OR8H', '3570Y55XZ5ZAX5KWWP8OYHK2FBGYG6']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[62.585, 41.782]"
axe to grind,have a private or selfish reason for doing something,he had an axe to grind with his coworker after the disagreement,figurative,figurative,figurative,figurative,"['31LM9EDVO18QC86JXTKGEEEB3JTJN5', '37QW5D2ZRW2Y8425EL4BOIF3A778SM']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[151.706, 25.551]"
axe to grind,have a private or selfish reason for doing something,the lumberjack had an axe to grind before chopping down the tree,literal,literal,literal,literal,"['37Z929RLGPOH6OUTHJF6FEBQOKSSTV', '3SB5N7Y3OJKD0AOBOHXF6PQI3Y1G0N']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[110.352, 45.737]"
back door,to take indirect or unofficial route to get something done,she went through the back door to get a promotion without proper qualifications,figurative,figurative,figurative,figurative,"['3KYQYYSHYBNVR763OCYIQ5J3O91DO0', '386PBUZZXVD0O83YLG411MAMYOTJL3']","['APGX2WZ59OWDN', 'APRZ7BR8C0ZMQ']","[80.226, 76.096]"
back to the drawing board,back to the planning stage,the architect realized he made a mistake and was going back to the drawing board to fix it,literal,figurative,figurative,figurative,"['37XITHEISCPOJSS5G8KB0U6QEW9RCN', '3A0EX8ZRNO4E6OCLG3GAX6T5ZYOYBP']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[68.292, 29.391]"
backroom boy(s),people who work in anonymity,the company's success was largely due to the backroom boys who worked tirelessly behind the scenes,figurative,tie,literal,figurative,"['3CPLWGV3M4F16WTABHT3PK087EI9N1', '3QHK8ZVMI2YU6P5MXORK3YR9QJKBLA']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[75.512, 152.174]"
bag and baggage,(with) all one's belongings.,"before the storm hit, they left with bag and baggage to evacuate their home",literal,tie,literal,figurative,"['358010RM5U94FXKHGOL8F4G30KAVXM', '34PGFRQON4RGZ2FXPUB3AXR2WVXWJ9']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[40.505, 91.223]"
ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.","she tackled her tasks like a ball of fire, completing them quickly and efficiently",figurative,figurative,figurative,figurative,"['386CSBG1OF2ZRA44T2I8944BMOWQ6T', '3L4PIM1GQ9W1MVTAC020XLY9HKRYR2']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[40.452, 44.53]"
bare bones,most basic and important elements or facts,"during the meeting, she presented the bare bones of the project plan",figurative,figurative,figurative,figurative,"['3P529IW9KE1KJ6H22QDGMOIU5HCLF2', '374TNBHA8RB1AUEAZLD0SVO4LYPYQ1']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[38.987, 145.493]"
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,"the confused dog was barking up the wrong tree, as the squirrel had already moved to another one",literal,literal,literal,literal,"['34BBWHLWHQRK4RVR7CQ3YWC2JG8IWJ', '386PBUZZXVD0O83YLG411MAMYOTLJ5']","['A2LMQ4497NMK3S', 'APRZ7BR8C0ZMQ']","[155.306, 39.065]"
baying for blood,want somebody to be hurt or punished.,the angry mob was baying for blood after the politician's scandal,figurative,figurative,figurative,figurative,"['3SNLUL3WOK392OESXF8F8OJXF4RULA', '3FDJT1UU7KOHX36VBEO6LCE2RNTK5F']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[74.656, 47.882]"
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,their opposing political views put them on a collision course with each other,figurative,figurative,figurative,figurative,"['3JBT3HLQFOIGF8N0VU0U6X7WMW7PZS', '3X3OR7WPZFGB4R7FUC7ACW18IDZL8L']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[115.322, 54.151]"
beat around the bush,avoid talking about the main topic,"if you want to trim the garden, stop beating around the bush and start cutting it",literal,literal,literal,literal,"['3L0KT67Y8UWDNATNRP25NV353MAYSQ', '38YMOXR4MAF4B70Q5BHE1TMXAPE6WE']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[30.89, 79.284]"
bee in bonnet,be possessed with one thought or scheme,"during the picnic, she accidentally had a bee in her bonnet and panicked",literal,literal,literal,literal,"['3SLE99ER03TEBEMQCPITBD275SSZBH', '37UEWGM5H9O4WPI70BVRJYNZAZIR1X']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[85.842, 46.261]"
begun to see the light,to suddenly begin to understand,"after hours of studying, he finally began to see the light and understood the concept",figurative,figurative,figurative,figurative,"['3Y5140Z9DDWUKIYQVQC86246QJ5PIV', '3K2755HG58J1LUTAP9FS3BAPW8ADFE']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[56.018, 35.237]"
behind bars,to be in jail or prison,the zookeeper put him behind bars to clean the animal cages,literal,literal,literal,literal,"['3GDTJDAPVARVA9P0UO8PC9GXIIP8MA', '3JV9LGBJW9UY3RGUQ2ZQWQM011HOGL']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[38.187, 76.935]"
behind closed doors,in clandestine,"they stood behind closed doors while discussing the matter, as the room was too noisy",literal,literal,literal,literal,"['3WYP994K1N780CVQKCZ2MQ7DLXE6YD', '33C7UALJV1EYEK3B12PRSHSUK7V18W']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[81.097, 55.715]"
bells and whistles,special features that are added to a product or system to attract more buyers,the new software update added bells and whistles to improve user experience,figurative,figurative,figurative,figurative,"['3P59JYT7610O1PDVN400OWYMQQTT2T', '3LUY3GC63FGXVYHUCZ8BFDEXC3UP70']","['APGX2WZ59OWDN', 'APRZ7BR8C0ZMQ']","[83.361, 58.14]"
below the belt,to be mean and unfair (in a fight),the referee declared that comment was below the belt when the boxer hit his opponent in the groin,literal,tie,discard,literal,"['3PPTZCWAL601FKOFV7FJ62X6RSTQZK', '36AHBNMV17S7LLA5UZ7GSWH52J0YDW']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[35.302, 46.585]"
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),"during the yoga class, we had to bend over backwards for them to demonstrate the pose",literal,literal,literal,literal,"['340UGXU9DEHCYTQMBJALVXHZ62TUVT', '317HQ483IN8UHXMDFBZG2DZBQ44INS']","['A1HKYY6XI2OHO1', 'AX8NXTT8QMGHC']","[117.364, 55.228]"
bent out of shape,to become angry.,the metal rod got bent out of shape after the car accident,literal,literal,literal,literal,"['3BC8WZX3VJCSPUHOY5A6PP5CEXCRRT', '36V4Q8R5Z0G1GDPWGIPPY01XCOBQM3']","['A38DXFI1TZA295', 'APGX2WZ59OWDN']","[64.305, 123.839]"
bent your ears,to talk to someone for a very long time about something boring,the speaker bent their ears with his captivating stories,figurative,figurative,figurative,figurative,"['37U1UTWH9B2M7P2SZW46Y8A7O5OR8H', '3570Y55XZ5ZAX5KWWP8OYHK2FBGYG6']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[62.585, 41.782]"
better half,spouse,I enjoy spending time with my better half on weekends,figurative,figurative,figurative,figurative,"['36AHBNMV17S7LLA5UZ7GSWH52J0DYB', '33NF62TLXZIP42LG0GS0MMX79OOJK0']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[48.95, 48.352]"
between a rock and a hard place,having two very bad choices,"while hiking, she found herself caught between a rock and a hard place in a narrow passage",literal,literal,literal,literal,"['3GDTJDAPVARVA9P0UO8PC9GXIIP8MA', '3JV9LGBJW9UY3RGUQ2ZQWQM011HOGL']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[38.187, 76.935]"
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",the psychic claimed she looked beyond the veil and communicated with spirits,figurative,tie,figurative,ambiguous,"['3OE22WJIGY4KTLU5PKGBPAIRPAEQUV', '3VJ40NV2QY328W20A2YXV91PRVPTOZ']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[155.034, 61.639]"
big brother,A large organization or government agency that tries to control all aspects of human life and society.,"as the younger sibling, she was always watched by big brother during their childhood",literal,literal,literal,literal,"['33UKMF931P0ILO786JKWPJ7CQ36TTL', '3FIUS151DBIABEZW2JMIRHDYAFQGGQ']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[148.821, 24.456]"
big brother,A large organization or government agency that tries to control all aspects of human life and society.,"with the new surveillance system, we felt like we were being watched by big brother",figurative,figurative,figurative,figurative,"['3R6P78PK70REGJL2MJLPQ0SN09YGTZ', '3ZY8KE4ISZJK60J5UAQGLWKA3HNQVK']","['A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']","[152.613, 42.789]"
big cheese,to be an important and successful individual,"at the cheese festival, they displayed the big cheese weighing over 100 pounds",literal,literal,literal,literal,"['3CPLWGV3M4F16WTABHT3PK087EI9N1', '3QHK8ZVMI2YU6P5MXORK3YR9QJKBLA']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[75.512, 152.174]"
big cheese,to be an important and successful individual,"in the company, he's the big cheese and everyone respects him",figurative,figurative,figurative,figurative,"['34Q075JO1DTGWVY86YCCZ2MC19J109', '37TRT2X2467OBZHMU3F7NJEHMUFJBG']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[88.712, 44.096]"
big deal,important thing,he made it a big deal when she forgot to call him back,figurative,tie,literal,figurative,"['3YDGXNSEOFAF6J0UOK8TQFZXWR548C', '3LWJHTCVCS2VA3XFUVLC3AHOFNZQFW']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[70.601, 146.717]"
big deal,important thing,the company made it a big deal when they signed a multi-million dollar contract,literal,tie,ambiguous,literal,"['34Q075JO1DTGWVY86YCCZ2MC19J109', '37TRT2X2467OBZHMU3F7NJEHMUFJBG']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[88.712, 44.096]"
big mouth,someone who talks too much,the hippopotamus has a big mouth to consume large amounts of food,literal,literal,literal,literal,"['382M9COHEXVVWI40GTLBVTTD67REU8', '3EFE17QCRSLR1F3YHPYH1V82DQXSHL']","['A2LMQ4497NMK3S', 'APRZ7BR8C0ZMQ']","[149.752, 49.224]"
bigger fish to fry,"to have other, more important things to do.","I can't focus on this minor issue, I have bigger fish to fry at work",figurative,figurative,figurative,figurative,"['3L2IS5HSFQYZQOHD9SOULGNMKZRNU5', '3OB0CAO74X5OX1F7GVQ6JHW3UBTYH5']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[148.242, 32.95]"
bite head off,overreact in an angry or harsh way,she was so angry that she bit his head off when he tried to explain,figurative,figurative,figurative,figurative,"['33LK57MYL9LDS03SNB4O12C79GESZB', '3YWRV122C8FENHU93QZB3JXRV4S8U2']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[61.004, 23.054]"
bitter medicine,something difficult to accept,the harsh criticism was a dose of bitter medicine that helped him improve,figurative,figurative,figurative,figurative,"['3TPZPLC3MGSFUFG7AN5L2W2H7193PA', '38SKSKU7RHD4TXJS3YJ1PLVML94LIT']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[27.705, 109.552]"
bitter pill,something unpleasant to be endured,the medicine was so awful that she had to swallow a bitter pill,literal,literal,literal,literal,"['3B837J3LD4C4Q9H1DUABFZA80ZVRSH', '3018Q3ZVOY60QDV7WUOKUZG2ETORAL']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[71.476, 19.786]"
black and blue,"hurt, either bodily, emotionally or psychologically",he fell off his bike and was bruised black and blue all over his body,literal,literal,literal,literal,"['3OONKJ5DKSZ2CA8JAG7CVFV3LOPOB4', '3ZSY5X72NDRPSHP86DT2VU073ASROK']","['A2TBXASXZIRNNW', 'AX8NXTT8QMGHC']","[25.904, 45.545]"
blank check,Complete authority or unrestricted freedom of action or a free hand.,she gave him a blank check to fill in the amount for the charity donation,literal,tie,figurative,literal,"['3Z3ZLGNNSYA0URHMA0KA21SRCXUQ3N', '3SKEMFQBZJL0KLPX9CV9XWOTTDU8K5']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[45.827, 139.141]"
blind as a bat,unconscious to something,"the cave-dwelling creature was as blind as a bat, relying on echolocation to navigate",literal,literal,literal,literal,"['3JWH6J9I98TKUP87917ZGQVYVEKBNC', '3NG53N1RLBZ1VCMDM40HTDASNN08P6']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[49.059, 37.718]"
blind as a bat,unconscious to something,"without his glasses, he's as blind as a bat and can't see anything",figurative,figurative,figurative,figurative,"['3634BBTX04AIT59WHNG3U8Q2ODIIFL', '3M81GAB8AGZ5XMLZPTZGKKQ30P7BQZ']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[43.798, 37.218]"
blind spot,"if you have a blind spot about something, you cannot accept or understand it",the car had a blind spot that made it difficult to see pedestrians,literal,tie,figurative,literal,"['3GM6G9ZBK3DE8THOXMJK35CKWVATMK', '3M1CVSFP6GL0ECG7JFZKP96XI7MQAJ']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[26.856, 38.985]"
