idiom_0,instance_0,label_0,meaning_0,idiom_1,instance_1,label_1,meaning_1,idiom_2,instance_2,label_2,meaning_2,idiom_3,instance_3,label_3,meaning_3,idiom_4,instance_4,label_4,meaning_4
get hitched,"during their road trip, they decided to get hitched to a trailer for extra storage",1,to get married,bark up the wrong tree,accusing her of stealing the documents was barking up the wrong tree,0,waste one's efforts by pursuing the wrong thing or path,made it,"despite the heavy traffic, they finally made it to the party",1,used to indicated the completion of a task,cup of tea,"skydiving is not my cup of tea, I prefer calmer activities",0,to like something,a litmus test,"in the chemistry lab, the new policy was a litmus test to determine the acidity of a solution",1,someone's decision or opinion about something that suggests what they think about a wider range of related things
feather in your cap,the hat you're wearing has a feather in your cap as a decoration,1,It means to have an achievement in your name.,double-edged sword,"having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",0,something that could either help you or hurt you,carry out,the team was assigned to carry out the task of improving the company's online presence,0,"put something into action, to accomplish something, to do something.",yellow streak,the painting has a yellow streak running through the middle,1,people who  have an inclination towards being fainthearted.,pull a rabbit out of the hat,our team pulled a rabbit out of the hat by winning the game in the last minute,0,do something unexpected or surprising
you can't have your cake and eat it,"at the cake decorating competition, participants can't have the cake and eat it as they must present their creations to the judges",1,you can't have things both ways,begun to see the light,"as the sun rose, she began to see the light streaming through the window",1,to suddenly begin to understand,wag the dog,the politician was wagging the dog by creating a diversion from the scandal,0,to divert attention from something that is bad,tore your hair out,you tore your hair out trying to solve that complex math problem,0,to be extremely agitated or distressed about something,bad blood,"due to their past disagreements, there's bad blood between them",0,to have ill feelings towards someone
give it a whirl,"unsure of the outcome, he gave it a whirl and tried the new recipe",0,to try something new.,that's going too far,insulting her family was that's going too far and crossed the line,0,to do something that is considered extreme or unacceptable,when the chips are down,the poker game gets intense when the chips are down on the table,1,when a situation is urgent or desperate.,smell something fishy,"walking past the seafood market, I smelled something fishy in the air",1,to have a suspicion that something is wrong,it's not brain surgery,"fixing a broken computer is complicated, but it's not brain surgery",1,to indicate that a specific task is simple and easy to undertake 
fan the flames,their constant arguing only fanned the flames together and made the situation worse,0,make a bad situation even worse,at the drop of a dime,our team is always ready at the drop of a dime to tackle any challenge,0,something that can happen very fast without hesitation,pieces of the same cake,she cut two pieces of the same cake to share with her friend,1,things that have the same characteristics or qualities,take a leaf out of someone's book,"to press and preserve the leaf, I had to carefully take a leaf out of her book of botanical specimens",1,implement actionable advice,the devil is beating his wife,"in the theatrical performance, the actor playing Satan acted out a scene where the devil is beating his wife",1,raining whereas the sun is shining.
castles in the air,he spent his days building castles in the air instead of focusing on his job,0,thinking of some impossible task,had your chips,"once you finished eating, you had your chips and were ready to leave",1,when someone has completely failed in what they set out to achieve,the brains behind,"she was the brains behind the project, coming up with innovative ideas",0,"used to refer to the person who originally invented a particular scheme, plan or idea",hands are tied,"During the magic trick, the magician made sure my hands are tied securely with a rope",1,to not be able to do anything about a situation,a bird in the hand,"holding a bird in the hand, she carefully examined its feathers",1,a possession that is worthy
loaves and fishes,the charity event shared loaves and fishes by providing for the needy,0,done for material benefits,long run,the marathon was in the long run category of races,1,far away in the future,at the drop of the hat,"as a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",1,to do something easily and without any preparation,everything but the kitchen sink,"for our camping trip, we packed everything but the kitchen sink to be prepared",0,almost everything that one can think of,over my dead body,"he smirked and said, 'over my dead body will you ever beat me in a race'",0,"in no way, under no circumstances"
on its knees,"in the art installation, the city was on its knees as the artist had created a miniature version of it, resting on two large sculptures of human knees",1,something that is in a very weak situation or on the verge of failure,in cold blood,"the villain committed the crime in cold blood, showing no remorse",0,in a cruel way and without pity or other emotion,hit the roof,"when he found out about the surprise party, he hit the roof unexpectedly",0,experience sudden anger,meet halfway,"since they lived on opposite sides of town, they agreed to meet halfway in the park for a picnic",1,to reach a compromise,rub shoulders,"during the crowded bus ride, he accidentally rubbed shoulders with the famous actress",1,"to meet and spend time with people, especially when they are powerful or famous"
live at rack and manger,"after winning the lottery, they lived at rack and manger with no financial worries",0,in between plenty and abundance,in the dark,"during the power outage, we were kept in the dark until the electricity came back",1,"uninformed, a state of ignorance.","judge, jury and executioner","in the dystopian play, the main character was acting as judge, jury, and executioner in a twisted legal system",1,"people that are in charge of every decision made, and they have the power to be rid of whomever they choose",you can't have your cake and eat it,you can't have the cake and eat it when it comes to maintaining a high-paying job and having ample free time,0,you can't have things both ways,whole nine yards,"the fabric store required her to buy the fabric in bulk, so she went the whole nine yards",1,"everything, all of something"
see eye to eye,"during the staring contest, we were seeing eye to eye with her",1,to agree fully with someone,burn fingers,they burned their fingers while trying to grab a hot pan,1,to bear an unpleasant result of an action that has been taken in the past,that's going too far,"driving 200 miles for a cup of coffee, that's going too far for a simple pleasure",1,to do something that is considered extreme or unacceptable,snake in the grass,she found a snake in the grass when she discovered her friend 's betrayal,0,a hidden army,red herring,the detective found a red herring in the suspect's alibi,0,something irrelevant that distracts you from something important
feather one's (own) nest,the bird was feathering her own nest with soft materials to make it cozy,1,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",playing second fiddle,"in the orchestra, he was playing second fiddle to her during the performance",1,to play a secondary or minor role with regards to someone else,old school,the museum showcased an old school approach to education with antique desks and chalkboards,1,old fashioned ideas or approach compared to current trends,way around,he knows his way around computers and can fix any issue,0,"to find an alternative for something, someone or to perform a task",pass away,our beloved grandmother passed away peacefully in her sleep,0,die
put the cart before the horse,"by focusing on the design before understanding the requirements, they were putting the cart before the horse",0,to do things in the wrong order or sequence,hit the nail on the head,"when she suggested a new marketing strategy, she really hit the nail on the head",0,be accurately right about something,make ends meet,"after losing her job, she was struggling to make ends meet and pay her bills",0,make sufficient money to survive on,mind your own business,the entrepreneurs were minding their own business by managing their respective companies,1,to look into your own matter,jungle out there,"as we entered the dense rainforest, our guide warned us, it's a jungle out there",1,the situation is dangerous and is characterized by ruthless behavior and competition
deep down,he knew deep down in the ocean of his heart that he had made the right decision,0,felt strongly and often hidden from other people,nail in the coffin,the undertaker put the final nail in the coffin before lowering it into the ground,1,"an action/event that will help bring about the death, end, or failure of something or someone",outside the lines,the child was coloring outside the lines in his coloring book,1,not sticking to the rules,at the bottom of the ladder,"before climbing, she started at the bottom of the ladder and checked each rung for stability",1,"occupying the lowest, most basic position in a given group",clamp down,the mechanic used a tool to clamp down on the situation and secure the loose parts,1,suppress or prevent something in an oppressive or harsh manner
in high dudgeon,"she left the room in high dudgeon, a castle known for its dramatic history",1,feeling or exhibiting great resentment,top dog,"after years of hard work, she became the top dog in her company",0,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.",wash dirty linen in public,they washed their dirty linen in public by arguing about their personal issues on social media,0,discuss publicly matters that one should keep private,rip off,"with a strong pull, he managed to rip off the cover of the old book",1,the act of stealing,sink or swim,"when thrown into the deep end of the pool, it was a sink or swim situation for the inexperienced swimmer",1,"having to do something alone, and their success or failure depends entirely on their own efforts"
burn bridges,"after the argument, she burned bridges with them and never spoke to them again",0,"remove someone's all options of retreat, act decisively",hold all the aces,"during the poker game, he held all the aces in his hand",1,be in a winning position.,skating on thin ice,"despite the danger, they were skating on thin ice on the frozen lake",1,to do something considered quite dangerous or risky,all ears,"in the surreal art exhibit, the walls appeared to be all ears",1,saying that you are all ears means the other person has got your full attention in terms of listening to him,on the brink of,the company was on the brink of something big when they launched their new product,0,to be on the verge of doing something
call names,the teacher asked the students to practice calling names at each other during the roll call,1,to insult someone,in the bag,"after weeks of preparation, she had it in the bag and aced the interview",0,have something as good as secured or certain,red book,she found a red book on the shelf at the library,1,"any document or publication, which is bound in red and serves as an official collection of rules, regulations, laws, or legal principles.",hard cheese,"while tasting different types of dairy products, she experienced hard cheese among them",1,"bad luck, tough luck",tall poppy,"she was a tall poppy among them, always standing out with her exceptional achievements",0,a privileged or distinguished person.
red book,"after years of research, he finally found a red book of knowledge",0,"any document or publication, which is bound in red and serves as an official collection of rules, regulations, laws, or legal principles.",cross swords,"at the fencing tournament, they crossed swords with him in a thrilling match",1,to fight with another person physically or verbally.,tearing a strip off,the boss was tearing a strip off the fabric of our team's morale with his harsh criticism,0,to reprimand someone severely for doing something wrong,rock the boat,"by questioning the company's policies, he rocked the boat a bit among his colleagues",0,to make trouble.,back to the salt mines,"after a relaxing vacation, it's time for going back to the salt mines and working hard",0,"resume work, usually with some reluctance"
close call,the two phones had a close call when they were placed side by side,1,a narrow escape from disaster,drop by,the clumsy customer accidentally let a jar drop by the store entrance,1,an informal visit,blazing row,the firefighters had a blazing row of flames to extinguish,1,a very angry argument,in one's blood,"she's a natural athlete, it's in her blood",0,a natural or inherited characteristic.,cut and dried,the process of making fruit leather involves a cut and dried decision with the fruit,1,ready-made
snow under,the unexpected blizzard left her car snowed under with work to dig it out,1,to bury or cover something or somebody in the snow (Literal meaning),go through the roof,the rocket went through the roof of the building during the experiment,1,to become very angry,cloud on the horizon,"despite the success of the project, there was a cloud on the horizon in the form of budget cuts",0,"a problem or difficulty that is predictable, or seems likely to arise in the future",my hands are full,"Carrying a stack of books and a cup of coffee, my hands are full at the moment",1,someone is too busy or has too much going on to be able to do or become involved with anything else,on the pig's back,"after winning the lottery, he was riding on the pig's back and enjoying his newfound wealth",0,a successful situation and everything is going well for that person
chapter and verse,"when asked about the new policy, she gave them chapter and verse on the company's regulations",0,verbatim; word for word details.,bitter medicine,the doctor prescribed a dose of bitter medicine to treat his illness,1,something difficult to accept,all the rage,"in the 90s, the new fashion trend was all the rage among teenagers",0,when something is the height of popularity,put damper on,the fire marshal put a damper on the event by adjusting the ventilation system,1,to discourage someone from doing something that they want to,put his heart into,"as a bizarre art installation, he put his heart into the project by placing a replica of a human heart in the center",1,to be very enthusiastic and invest a lot of energy and hard work in something
cold feet,she got cold feet just before her big presentation,0,loss of courage,draw a blank,"when asked about the details of the project, he was drawing a blank",0,to get no response from someone,raise eyebrows,the instructor asked everyone to raised eyebrows at the meeting as a facial exercise,1,to show surprise or disapproval by the expression on their face,break a leg,"before her performance, we told her to break a leg on stage",0,good luck,black hole,scientists discovered a black hole in the system while observing the galaxy,1,a place in which things are lost never to be seen again
a trip to the sun,he planned a trip to the sun when he decided to pursue his wildest dreams,0,something which is very unlikely,back door,she went through the back door to avoid being seen by the guests,1,to take indirect or unofficial route to get something done,bats in the belfry,the old church tower had bats in the belfry that flew out at dusk,1,to be silly and slightly crazy and behave in a confused way,hornets' nest,"while clearing the backyard, she accidentally stirred up a hornets' nest and got stung",1,a violent situation or one with a lot of dispute,air their dirty laundry,they aired their dirty laundry outside on the clothesline,1,to make public something embarrassing that should be kept secret
prick up ears,"when the speaker mentioned a new opportunity, the audience pricked up their ears",0,to start paying attention,far cry from,the movie adaptation was a far cry from the original book,0,something that is very different from something else,on a silver platter,he served it on a silver platter by doing all the work for her,0,to get something without having to work for it,put the clock back,he wished he could put the clock back an hour to avoid the embarrassing situation,0,change to a lower level or earlier time.,on the money,his prediction about the game's outcome was right on the money,0,being right about something.
back the wrong horse,"at the racetrack, she backed the wrong horse and lost her bet",1,to make the wrong decision and support a person or action that is later unsuccessful,walking on broken glass,he accidentally dropped a glass bottle and ended up walking on broken glass in the kitchen,1,when a person is punished for something,double-edged sword,the knight wielded a double-edged sword in this situation to defend himself against multiple attackers,1,something that could either help you or hurt you,chink in armour,"after analyzing their strategy, we found a chink in their armour that we could exploit",0,a susceptible or vulnerable area.,get one's feet wet,they got their feet wet by starting with a small project before tackling the big one,0,to begin taking part in a new activity
hit the road,"during the earthquake, the car forcefully hit the road together with a loud thud",1,depart,let sleeping dogs lie,it's better to let sleeping dogs lie and not bring up past conflicts,0,its best to leave a situation as it is if disturbing it might cause trouble,at daggers drawn,the actors were at daggers drawn with each other during the stage fight scene,1,almost ready to fight,call bluff,she called his bluff when he threatened to quit the job,0,"to challenge to prove one's claim, when they are likely attempting to deceive",under the radar,he was working under the radar to avoid drawing attention to his project,0,"going unnoticed, avoiding unnecessary attention"
second wind,"after a short break, the marathon runner found a second wind and continued running",0,another burst of energy when you had been too tired to finish,ring fencing,the company decided to ring fencing the funds for the research department,0,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation,hand in hand,success and hard work walked hand in hand in her life,0,close ties or connections,let the cat out of the bag,he accidentally let the cat out of the bag about the surprise party,0,to let a secret out in the open,bare bones,the archaeologist presented the bare bones of the ancient skeleton,1,most basic and important elements or facts
sit on the fence,"when it came to choosing a side, he was always sitting on the fence",0,delay or avoid making a decision or choice,bite off more than one can chew,"by accepting too many projects at once, he bit off more than he could chew",0,"to try to do something that is too difficult for you, or more than you can manage",first light,"the sun began to rise, and we could see at first light the beautiful landscape",1,the time when the light begins to appear in the morning,apple polisher,he got the promotion by being an apple polisher and constantly flattering the boss,0,a flatterer; toady,wet the baby's head,"after the birth of their child, they invited friends over to wet the baby's head with a small celebration",0,to have drink to celebrate the birth of a baby
ready to drop,"after working for 12 hours straight, he looked ready to drop",0,to be extremely tired and nearly too exhausted to stay standing,on pins and needles,"during the acupressure therapy session, she was waiting on pins and needles placed on her back",1,being anxious or nervous,got somebody's goat,her constant teasing finally got his goat and he lost his temper,0,to annoy or irritate someone,wash hands of,"after trying to help for months, they finally washed their hands of the situation and moved on",0,abandon taking responsibility for someone or something,rabbit hole,"researching the topic, I went down the rabbit hole of conspiracy theories",0,mentally go somewhere surreal or strange
bright spark,"she was a bright spark in the team, always coming up with innovative ideas",0,an intelligent and lively person (humorously),foot in mouth,I put my foot in my mouth when I accidentally insulted her cooking,0,to say something by accident that embarrasses or upsets someone,bread and butter,"graphic design is their bread and butter, as it's their main source of income",0,to indicate what a person earns or earns for,back against the wall,"with no other options left, he had his back against the wall and had to make a decision",0,to be in a tough situation with limited options,a wet blanket,"after the rainstorm, the picnic blanket was being a wet blanket on the ground",1,a person who spoils other people's fun.
do the trick,"adding a little more salt to the soup, that should do the trick",0,successfully achieve a result,go round in circles,the team was going round in circles trying to solve the problem,0,work at something but keep failing to make progress with it.,jam on your face,"while eating breakfast, he accidentally had jam on his face from the toast",1,"people who appear to be caught, embarrassed or found guilty",just off the boat,"he was so naive and inexperienced, as if he was just off the boat",0,a person who is naive and inexperienced,tore your hair out,you accidentally tore your hair out while removing the tangled hairbrush,1,to be extremely agitated or distressed about something
to the core,the powerful earthquake had shaken to the core of the Earth,1,totally,wrapped up in cotton wool,she was always wrapped up in cotton wool by her overprotective parents,0,to be over-protected from dangers and risks,in hot water,he found himself in hot water after forgetting to submit the report on time,0,in trouble or state of shame,on pins and needles,"while anticipating the exam results, we were waiting on pins and needles",0,being anxious or nervous,smooth his ruffled feathers,the bird handler had to smooth his ruffled feathers before the photoshoot,1,to make someone feel less angry or offended
feel the pinch,"after losing his job, he started to feel the pinch financially",0,experience financial hardship,lose it,she lost it during the meeting when her pen slipped out of her hand,1,go insane or crazy,rats in the attic,"when they went up to clean, they found rats in the attic",1,someone who is bit mad or that their behaviour is eccentric,put the clock back,"due to daylight saving time, we had to put the clock back an hour",1,change to a lower level or earlier time.,make ones bed and lie on it,they made their bed and lied on it when they decided to invest in that risky business,0,to be responsible for what you have done and accept the results
in touch,"even after moving to another city, we promised to stay in touch",0,"to remain in contact with someone, especially when separated by time or distance",cost an arm and a leg,the designer dress she wanted cost an arm and a leg,0,very expensive,drive a wedge between,the lumberjack used a mallet to drive a wedge between them and split the log,1,to damage the good relationship that two people or groups of people have,lie low,"during the game of hide and seek, he decided to lie low in the tall grass",1,"To go out of sight, usually after having done something bad.",recharge one's batteries,they plugged in their devices to recharge their batteries before leaving the house,1,take a break or holiday to relax and regain one's vim and vigour
out of business,the new competitor put them out of business by offering lower prices,0,out of operational conditions,feather in your cap,winning the championship would be a feather in your cap,0,It means to have an achievement in your name.,smooth sailing,"on a calm day at sea, the boat would experience smooth sailing without any turbulence",1,easy progress without impediment or difficulty,back to the salt mines,the miners finished their lunch break and were going back to the salt mines to continue their work,1,"resume work, usually with some reluctance",piss and vinegar,the container was accidentally full of piss and vinegar after a mix-up at the factory,1,to self-reference someone who is in a bad mood and ready to fight.
fill the bill,the waiter filled the bill perfectly with all the items we ordered,1,be exactly suitable for a particular situation,camp follower,"he was known as a camp follower, always supporting the team but never participating",0,"a person who is supportive of the cause, person or organisation",drop a bombshell,the clumsy actor accidentally dropped a bombshell during the meeting while filming a war scene,1,"make an unexpected, startling or disturbing announcement",bright spark,the firework display created a bright spark in the night sky,1,an intelligent and lively person (humorously),off the hook,"after untangling the fishing line, we managed to let him off the hook",1,free of a difficult situation
down to earth,"the astronaut, once back from space, became a down-to-earth person again",1,"decent, simple, realistic",stop by,"during our walk, we decided to stop by the store to take shelter from the sudden downpour",1,to meet someone or go somewhere in a brief and informal manner,wipe the slate clean,"after a long discussion, they wiped the slate clean together and started fresh",0,"to make a fresh start and forget all past offences, disagreements or mistakes",wheels fall off,"due to a manufacturing defect, the wheels fell off the toy car",1,when a situation gets out of control and everything starts to go wrong,fingers and thumbs,the hand puppet was all fingers and thumbs with no other features,1,to be clumsy and not very skilled with your hands
every nook and cranny,"during the deep cleaning, they searched every nook and cranny of the house for dust and dirt",1,to look for something everywhere,straighten up and fly right,the pilot had to straighten up and fly right to avoid turbulence,1,to get serious and stop acting absurd anymore.,look before you leap,"when making a big decision, always remember to look before you leap",0,to make sure that everything is alright before doing something important which you cannot revert,asleep at the wheel,the manager was asleep at the wheel when the company lost a major client,0,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",red herring,"while exploring the fish market, we found a red herring among the seafood",1,something irrelevant that distracts you from something important
apples to apples,"to make a fair judgment, we need to compare apples to apples in this situation",0,having a fair comparison between the two things,come full circle,"after years of exploring different career paths, she came full circle and returned to her passion for teaching",0,return to an earlier position or decision.,suited and booted,"he was suited and booted for the event, wearing a tailored suit and polished shoes",1,formally dressed; well dressed,turn the tables,"during the furniture rearrangement, they turned the tables on her to make more space",1,change your position with respect to someone else.,chill to the bone,"after being outside in the freezing weather, we were chilled to the bone",1,to get frightened or scare somebody
bits and pieces,"after the meeting, we gathered the bits and pieces of information to create a report",0,miscellaneous small objects,just deserts,"after cheating on the test, they received their just deserts when they were caught",0,get what one deserves,on the crest of a wave,"after the successful product launch, the company was riding on the crest of a wave",0,to reach the highest point of success,water under the bridge,"despite their past disagreements, they decided to let it be water under the bridge and move forward",0,past events that are not important anymore,"Mr Right, Ms Right","at the costume party, they found their Mr Right and Ms Right outfits in the store",1,the best future life partner for someone
between a rock and a hard place,he was caught between a rock and a hard place when he had to choose between his job and his family,0,having two very bad choices,a witch hunt,the company started a witch hunt to find the person responsible for the leak,0,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,spin a yarn,they spun a yarn together about their adventurous trip to the mountains,0,to tell a tale,blind spot,he had a blind spot when it came to recognizing his own flaws,0,"if you have a blind spot about something, you cannot accept or understand it",mend fences,"after the argument, he started mending fences with her by apologizing",0,to try and improve a bad relationship with another party
