idiom,instance,label,meaning,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe
camp follower,"he was known as a camp follower, always supporting the team but never participating",figurative,"a person who is supportive of the cause, person or organisation",figurative,figurative,figurative,"['37TRT2X2467OBZHMU3F7NJEHMKDJBU', '3KXIR214IKW4K4Y583ZSGOMUAHC42O']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[56.205, 91.41]"
card up sleeve,"during the negotiation, he had a card up his sleeve that gave him an advantage",figurative,to have a secret advantage that is suddenly revealed to change the game,figurative,figurative,figurative,"['35GMH2SV3UX0JDK3K792WN1OOBZOEH', '3VP0C6EFSWC86V6C19BRSVK6CDX6M0']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[62.593, 57.684]"
carry out,the team was assigned to carry out the task of improving the company's online presence,figurative,"put something into action, to accomplish something, to do something.",tie,figurative,literal,"['33SA9F9TRDA8OMT5BT0CDHEARDYEWJ', '3PW9OPU9P60NS51MLLGQIQFRYX0217']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.421, 74.937]"
castles in the air,he spent his days building castles in the air instead of focusing on his job,figurative,thinking of some impossible task,figurative,figurative,figurative,"['3TEM0PF1QLDAOQEKMRW704NLQWJ0DB', '3IRIK4HM3Q0VX9ULOKHDPZFUIZSC6N']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[96.687, 47.933]"
chapter and verse,"when asked about the new policy, she gave them chapter and verse on the company's regulations",figurative,verbatim; word for word details.,tie,ambiguous,figurative,"['3SB5N7Y3OJKD0AOBOHXF6PQI3OYG00', '3DIP6YHAPS8XYLXNDQK6Z1BO96VE84']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[120.967, 52.012]"
chill to the bone,"after being outside in the freezing weather, we were chilled to the bone",literal,to get frightened or scare somebody,figurative,figurative,figurative,"['3SUWZRL0METAU7EZKBN8FNFX3B6E6J', '3I7DHKZYG3G6HHEHA3X95ZMXJH9F5L']","['A2A6FH0F7LD9ND', 'A2H1QUGX0SOUMH']","[52.399, 420.147]"
chink in armour,"after analyzing their strategy, we found a chink in their armour that we could exploit",figurative,a susceptible or vulnerable area.,figurative,figurative,figurative,"['3F6KKYWMNRHD9M6RNXY5BGJYYPTND8', '37QW5D2ZRW2Y8425EL4BOIF3AX58S0']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[124.668, 63.569]"
choke up,"hearing the sad news, he started to choke up and could n't speak",figurative,make a person become overemotional and speechless,tie,figurative,literal,"['3P1L2B7ADH5EPJUV1TW69IR8X80LO1', '37FMASSAYS7SGOXGCLU7BIZH95OBIA']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[100.216, 34.816]"
clamp down,the mechanic used a tool to clamp down on the situation and secure the loose parts,literal,suppress or prevent something in an oppressive or harsh manner,literal,literal,literal,"['32RIADZIS8KXP3F32IEY76ZY8BA4SQ', '3OS4RQUCRPV86XVQBDOM8LMPTDZFBQ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[83.249, 148.876]"
close call,the two phones had a close call when they were placed side by side,literal,a narrow escape from disaster,literal,literal,literal,"['3SPJ03342HJKO7AX4VTRVUCI7TVJY9', '38JBBYETQ4QWFKAL1NUTIPVJ7K0E4Y']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[49.674, 47.302]"
cloud on the horizon,"despite the success of the project, there was a cloud on the horizon in the form of budget cuts",figurative,"a problem or difficulty that is predictable, or seems likely to arise in the future",figurative,figurative,figurative,"['3IUZPWIU14NBAMLF7FBFBCRFBATWKK', '3ZDAD0O1THTP25GSBTLTEMSI3PRTXH']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[103.687, 52.675]"
cold feet,she got cold feet just before her big presentation,figurative,loss of courage,figurative,figurative,figurative,"['3LYA37P8I63JMJN4COFJOYEU19DBKL', '30BUDKLTXTBEB3ELFSD3NH1X7GZ5EY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[103.787, 47.3]"
come full circle,"after years of exploring different career paths, she came full circle and returned to her passion for teaching",figurative,return to an earlier position or decision.,figurative,figurative,figurative,"['3SUWZRL0METAU7EZKBN8FNFX3B6E6J', '3I7DHKZYG3G6HHEHA3X95ZMXJH9F5L']","['A2A6FH0F7LD9ND', 'A2H1QUGX0SOUMH']","[52.399, 420.147]"
come full circle,the hiker came full circle after walking around the entire circumference of the lake,literal,return to an earlier position or decision.,literal,literal,literal,"['38YMOXR4MAF4B70Q5BHE1TMXAFA6WQ', '30MVJZJNH2T5N62PWJ1BWDJRYKAJ9K']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[99.355, 38.979]"
come out swinging,"as soon as the boxing match started, he came out swinging at his opponent",literal,be confrontational,literal,literal,literal,"['3ZAZR5XV0HYXLJEWQPEOMX8PN3PCZE', '3OWEPKL08PSXSD5HWKVJBO92CEQN7F']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[108.016, 66.468]"
cost an arm and a leg,the designer dress she wanted cost an arm and a leg,figurative,very expensive,figurative,figurative,figurative,"['3YGXWBAF7GXHIMQ75WOYS1VGM8M4CU', '3MHW492WWGTTLLLD2HJZ4N05T6PVMH']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[152.895, 31.362]"
cross paths,I never thought I would cross paths with her again after high school,figurative,encounter or meet someone by chance.,tie,literal,figurative,"['3R5F3LQFVI0YU8BZGUNFHX26CH8ZOY', '34MAJL3QPK3T5MUOC3DXZYRMGVC43Z']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[47.996, 27.061]"
cross paths,"while walking in the park, we happened to cross paths with her at the intersection",literal,encounter or meet someone by chance.,tie,literal,ambiguous,"['3CPLWGV3M4F16WTABHT3PK0874EN9R', '34MAJL3QPK3T5MUOC3DXZYRMGVA43X']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[108.83, 111.134]"
cross swords,"at the fencing tournament, they crossed swords with him in a thrilling match",literal,to fight with another person physically or verbally.,literal,literal,literal,"['337RC3OW0LI9F33S25IK4ALGT1XLV3', '31LVTDXBLNQHMWMBTLDA3DWD8VKLRA']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[100.005, 56.233]"
cup of tea,"skydiving is not my cup of tea, I prefer calmer activities",figurative,to like something,figurative,figurative,figurative,"['3KOPY89HMOIJ84D9FA0150G5YSZJ32', '3KKG4CDWKYEFKOJ4TCE7QBU8GNJ49D']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[120.387, 48.432]"
cut and dried,the process of making fruit leather involves a cut and dried decision with the fruit,literal,ready-made,literal,literal,literal,"['3SPJ03342HJKO7AX4VTRVUCI7TVJY9', '38JBBYETQ4QWFKAL1NUTIPVJ7K0E4Y']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[49.674, 47.302]"
dance to tune,he always danced to the tune of his boss's demands,figurative,to do what someone else forces you to do,figurative,figurative,figurative,"['3E13VNJ1N3BR3QFOAO1I56M8NTW1IG', '31QTRG6Q29TGAIDVZ8YBSQYUGSZYPM']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[147.3, 42.162]"
deep down,he knew deep down in the ocean of his heart that he had made the right decision,figurative,felt strongly and often hidden from other people,figurative,figurative,figurative,"['32RIADZIS8KXP3F32IEY76ZY8BA4SQ', '3OS4RQUCRPV86XVQBDOM8LMPTDZFBQ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[83.249, 148.876]"
do the trick,"adding a little more salt to the soup, that should do the trick",figurative,successfully achieve a result,figurative,figurative,figurative,"['3KRVW3HTZ31DTT498MEUT0GYU2TSM7', '3X73LLYYQHUUL2BT9THV21YWQHMHNB']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[101.172, 52.15]"
double-edged sword,"having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",figurative,something that could either help you or hurt you,figurative,figurative,figurative,"['33SA9F9TRDA8OMT5BT0CDHEARDYEWJ', '3PW9OPU9P60NS51MLLGQIQFRYX0217']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.421, 74.937]"
double-edged sword,the knight wielded a double-edged sword in this situation to defend himself against multiple attackers,literal,something that could either help you or hurt you,literal,literal,literal,"['3F6KKYWMNRHD9M6RNXY5BGJYYPTND8', '37QW5D2ZRW2Y8425EL4BOIF3AX58S0']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[124.668, 63.569]"
down to earth,"the astronaut, once back from space, became a down-to-earth person again",literal,"decent, simple, realistic",literal,literal,literal,"['30BXRYBRPKDK8WK71U8IYKBNJTPWHG', '31Q0U3WYD5VUE6YSRXXLEHWZ9DM71S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[57.123, 70.349]"
