idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff
Easter egg,a decorated or dyed egg usually given to children at Easter,She found the Easter egg which was the prize for the Easter egg hunt,1,"{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 182.654, 'AssignmentId': '37WLF8U1W56DG769GXYBDIS2FTR6KI', 'HITId': '3J9UN9O9KI8K4SGI5LDHEIM887S0J9', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 155.937, 'AssignmentId': '3137ONMDKWLCR035WOWURESMPAXGE9', 'HITId': '3J9UN9O9KI8K4SGI5LDHEIM887S0J9', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 29.849, 'AssignmentId': '3Y4W8Q93LF0QHRF0POKWLXDBCDKDV2', 'HITId': '3J9UN9O9KI8K4SGI5LDHEIM887S0J9', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,1,1,1,False,False
Easter egg,a decorated or dyed egg usually given to children at Easter,She found the Easter egg,2,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 19.992, 'AssignmentId': '3D3VGR7TAGV06SWMNF9A7R2W0UH3R0', 'HITId': '3XABXM4AKGLJ84PYVFA54Y4C50VQ8C', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 23.354, 'AssignmentId': '3IX2EGZR7RZBR6YBQ01XNYJLWR4RJ1', 'HITId': '3XABXM4AKGLJ84PYVFA54Y4C50VQ8C', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 39.536, 'AssignmentId': '3PMBY0YE2NJIFSWJMRKP996W0LO9CH', 'HITId': '3XABXM4AKGLJ84PYVFA54Y4C50VQ8C', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,1,2,2,False,False
"Mr Right, Ms Right",the best future life partner for someone,She is looking for Mr Right and Ms Right to start a perfect family,0,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 146, 'AssignmentId': '3P529IW9KE1KJ6H22QDGMOIUWGOFLX', 'HITId': '391JB9X40DOCIQT7CB0RDUTYQYDKML', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 280, 'AssignmentId': '354P56DE90JU8QXM4GC5AIJ8QMBS7I', 'HITId': '391JB9X40DOCIQT7CB0RDUTYQYDKML', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 376, 'AssignmentId': '3Z3ZLGNNSYA0URHMA0KA21SR3W53Q0', 'HITId': '391JB9X40DOCIQT7CB0RDUTYQYDKML', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",1,0,0,0,False,False
"Mr Right, Ms Right",the best future life partner for someone,She is looking for Mr Right and Ms Right which she can find in her family history book,1,"{'WorkerId': 'A1AXQM54WTRGA5', 'WorkTimeInSeconds': 352, 'AssignmentId': '3HUTX6F6VA38OX8NRNE1UMSZILB2OC', 'HITId': '31MBOZ6PB37ATAZYKMIEPY11LKRCLB', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 251, 'AssignmentId': '34PGFRQON4RGZ2FXPUB3AXR2NYWJWS', 'HITId': '31MBOZ6PB37ATAZYKMIEPY11LKRCLB', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 338, 'AssignmentId': '3OVHNO1VEMH7QBKAQL9Z63Q7ZG3DZY', 'HITId': '31MBOZ6PB37ATAZYKMIEPY11LKRCLB', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",2,1,1,1,False,False
"Mr Right, Ms Right",the best future life partner for someone,She is looking for Mr Right and Ms Right,2,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 31, 'AssignmentId': '32KTQ2V7RTVVOE8AZGE3C5B8TR6M99', 'HITId': '3XQ4XW3OEOSKZ52M72Q9P76A1NM2S6', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 397, 'AssignmentId': '3F1567XTNCLM9T62R9LKTEVD3S2Q9Z', 'HITId': '3XQ4XW3OEOSKZ52M72Q9P76A1NM2S6', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 252, 'AssignmentId': '3483FV8BEUZIZR2JRRS7DM68XLH26N', 'HITId': '3XQ4XW3OEOSKZ52M72Q9P76A1NM2S6', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,1,2,0,True,True
Young Turk,a young person who has many new ideas and wants a reform,He's a Young Turk full of enthusiasm to change the world,0,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 14.219, 'AssignmentId': '31T4R4OBO8WE198Q7UM5VDFQ5V1C79', 'HITId': '3S4TINXCDF3ZPQAPJE2B6VZDY5YOB1', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': True}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 23.371, 'AssignmentId': '352YTHGROBT8ZU1NRO2Z3SSWRLFH42', 'HITId': '3S4TINXCDF3ZPQAPJE2B6VZDY5YOB1', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 71.777, 'AssignmentId': '3X73LLYYQHUUL2BT9THV21YWI2ANH3', 'HITId': '3S4TINXCDF3ZPQAPJE2B6VZDY5YOB1', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",2,0,0,0,False,False
Young Turk,a young person who has many new ideas and wants a reform,He's a Young Turk as his family is from Turkey,1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 207, 'AssignmentId': '39LNWE0K4AC7CN6MCCB2G8R5P3WIUG', 'HITId': '3EN4YVUOVR8S1IMT8X2ONW9JID9XJV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 263, 'AssignmentId': '36ZN444YT7ECZIMPGQZTH2ZG7H7IO2', 'HITId': '3EN4YVUOVR8S1IMT8X2ONW9JID9XJV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 546, 'AssignmentId': '34Q075JO1DTGWVY86YCCZ2MCSCH013', 'HITId': '3EN4YVUOVR8S1IMT8X2ONW9JID9XJV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
Young Turk,a young person who has many new ideas and wants a reform,He's a Young Turk,2,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 228, 'AssignmentId': '39GAF6DQW7GWPWZO9V01KVC2M45V1T', 'HITId': '3Z3R5YC0QI35FZRDKXA6JVWLCASFTF', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 137, 'AssignmentId': '33F859I56MTSKTMW63CMB6Y201NHBA', 'HITId': '3Z3R5YC0QI35FZRDKXA6JVWLCASFTF', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 177, 'AssignmentId': '39OWYR0EP074J5O1L526GWKQ5VSYF8', 'HITId': '3Z3R5YC0QI35FZRDKXA6JVWLCASFTF', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
a bed of roses,easy option,It's not a bed of roses trying to rebuild our relationship,0,"{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 48.616, 'AssignmentId': '358010RM5U94FXKHGOL8F4G3SVVVXL', 'HITId': '37Y5RYYI14LL0L5JVRB2FX06EXPSXB', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 33.685, 'AssignmentId': '3Z7VU45IPEXDYG4YASP451PYBRN1Z0', 'HITId': '37Y5RYYI14LL0L5JVRB2FX06EXPSXB', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 38.346, 'AssignmentId': '33JKGHPFYSAGDGC40QX8U66SZOAMNC', 'HITId': '37Y5RYYI14LL0L5JVRB2FX06EXPSXB', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,False
a bed of roses,easy option,It's not a bed of roses because we used cotton sheets instead,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 87, 'AssignmentId': '3D8YOU6S9U0RJ3BLAB2DJ510G8D6UE', 'HITId': '36BTXXLZ3AOI14HWWR9SSCYCZZMR4Q', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 594, 'AssignmentId': '3SB5N7Y3OJKD0AOBOHXF6PQIUXCG0N', 'HITId': '36BTXXLZ3AOI14HWWR9SSCYCZZMR4Q', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 362, 'AssignmentId': '3EFVCAY5LJP591JFRRVXWHOG5N5J8H', 'HITId': '36BTXXLZ3AOI14HWWR9SSCYCZZMR4Q', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
a bed of roses,easy option,It's not a bed of roses,2,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 263, 'AssignmentId': '3FTYUGLFSA19JX0LJX2JHZJCYD75DN', 'HITId': '371QPA24DH4EPKX5DYVLUTSRB091T0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 198, 'AssignmentId': '3OXV7EAXLU67K9Y2VR6CWWB03VV365', 'HITId': '371QPA24DH4EPKX5DYVLUTSRB091T0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 270, 'AssignmentId': '32N49TQG3WYSJKCO5ETUVW55QYEAVZ', 'HITId': '371QPA24DH4EPKX5DYVLUTSRB091T0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
a bird in the hand,a possession that is worthy,There's a bird in his hand because he's considering the potential he might have if he holds on,0,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 25, 'AssignmentId': '3KMS4QQVKI69Z0ZKHQ1F7O5F7K6FKP', 'HITId': '3XU9MCX6W3S8YQ29SDQ4ZX1EFL32RI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 395, 'AssignmentId': '333U7HK6IPVHQWF68Z6DI92HGIQDJD', 'HITId': '3XU9MCX6W3S8YQ29SDQ4ZX1EFL32RI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 198, 'AssignmentId': '39GXDJN2O9UE0WJ98G9GZ5ZA0E18VO', 'HITId': '3XU9MCX6W3S8YQ29SDQ4ZX1EFL32RI', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
a bird in the hand,a possession that is worthy,There's a bird in his hand because he caught it,1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 27, 'AssignmentId': '3COPXFW7XRSLQDOEVTXKJIJJ9M6KP2', 'HITId': '32PT7WK7E1V3IYFNEC9PDIP26YZD3L', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 570, 'AssignmentId': '39K0FND3AXV9TXIFRMS380MSZ52AMI', 'HITId': '32PT7WK7E1V3IYFNEC9PDIP26YZD3L', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 499, 'AssignmentId': '3TVSS0C0EHGAD5B21OP7C3EBLWYWTD', 'HITId': '32PT7WK7E1V3IYFNEC9PDIP26YZD3L', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
a bird in the hand,a possession that is worthy,There's a bird in his hand,2,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 21.234, 'AssignmentId': '3WLEIWSYH4XYWGM0NAJBADVY77JH26', 'HITId': '3L21G7IH5MCA66WZN4IK2AK6Q36Y13', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 117.462, 'AssignmentId': '3OJSZ2ATD8CT2OZBSKZXH79GDEF57U', 'HITId': '3L21G7IH5MCA66WZN4IK2AK6Q36Y13', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 27.054, 'AssignmentId': '3X4JMASXC2PH9TG08V515EZLFWV0BQ', 'HITId': '3L21G7IH5MCA66WZN4IK2AK6Q36Y13', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,2,2,2,False,False
