idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff,num_discard
let your hair down,to suggest to someone to relax and enjoy themselves,I let my hair down - figuratively and physically - and allowed myself to have some fun,0,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 47.566, 'AssignmentId': '3HFNH7HEMXU1O3TA5FRULVH076RGQC', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 79.309, 'AssignmentId': '3B3WTRP3DRI5HA4HPYVJXWXANNI920', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 45.407, 'AssignmentId': '31IBVUNM98FNFBTWGUFM9XGWNJ6FV6', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,3,2,2,False,True,1
kill the goose that lays the golden egg,to destroy something that is profitable to you mostly because of greed.,They killed the goose that lays the golden egg for its delicious dinner,1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 278, 'AssignmentId': '33FOTY3KE210QNTOIE5WU3OD11F1CY', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 230, 'AssignmentId': '39GAF6DQW7GWPWZO9V01KVC2M8TV1P', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 496, 'AssignmentId': '3Y5140Z9DDWUKIYQVQC86246HM4IPK', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",0,1,3,0,True,True,1
keep your pants on,to tell someone to be calm.,I told him to keep his pants on because he had forgotten to put it on while leaving the house,1,"{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 269, 'AssignmentId': '3UJ1CZ6IZX5FLMJ3GNX8CY5CZGH5SH', 'HITId': '3P0I4CQYWDNRDT80E5Y7T9CY851WO8', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 187, 'AssignmentId': '3HOSI13XHF44NAFEY3K2FB74BU7DD5', 'HITId': '3P0I4CQYWDNRDT80E5Y7T9CY851WO8', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A3PRQ2GSU42718', 'WorkTimeInSeconds': 161, 'AssignmentId': '3NG53N1RLBZ1VCMDM40HTDASEMAP8M', 'HITId': '3P0I4CQYWDNRDT80E5Y7T9CY851WO8', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,3,1,1,False,False,1
white elephant,an expensive item with no use or purpose,The car was a white elephant because it was almost pure white,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 18.14, 'AssignmentId': '3WJEQKOXAOICX8WQY095O8YP26G1AZ', 'HITId': '3VCK0Q0PPKUGNI73KJ597P3PHRX0ND', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': True}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 151.413, 'AssignmentId': '3S96KQ6I92KB4ZBBKTKHKFPQFS4TD2', 'HITId': '3VCK0Q0PPKUGNI73KJ597P3PHRX0ND', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 23.567, 'AssignmentId': '3ZSY5X72NDRPSHP86DT2VU07VLDROJ', 'HITId': '3VCK0Q0PPKUGNI73KJ597P3PHRX0ND', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",3,0,0,0,False,True,1
just around the corner,somethig that is expected to happen very soon,"My birthday is just around the corner, of the next block on this street",1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 22.826, 'AssignmentId': '39L1G8WVW67CDNX5PLUV10KJWWN132', 'HITId': '3VI0PC2ZBD062TDQOAUTVSQ5H8MXOJ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 172.481, 'AssignmentId': '384PI804X8HGQFX2JHRWV39LJKHS0J', 'HITId': '3VI0PC2ZBD062TDQOAUTVSQ5H8MXOJ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 30.699, 'AssignmentId': '35BLDD71IMDTKSKWH69TCPWE0VTZVM', 'HITId': '3VI0PC2ZBD062TDQOAUTVSQ5H8MXOJ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}",1,1,3,1,False,False,1
"love me, love my dog",to accept someone unconditionally,"She loves me, love my dog so she's been following my every step",0,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 298, 'AssignmentId': '3180JW2OTKSMMJ0DTTOUKXEP3X55J2', 'HITId': '3L84EBDQ4MIHS2T4RZNBYH1U1TIKKG', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 72, 'AssignmentId': '3LKC68YZ3QJU0D6U5738IT8OMOJOWL', 'HITId': '3L84EBDQ4MIHS2T4RZNBYH1U1TIKKG', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 62, 'AssignmentId': '3SB5N7Y3OJKD0AOBOHXF6PQIUXDG0O', 'HITId': '3L84EBDQ4MIHS2T4RZNBYH1U1TIKKG', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,3,0,0,False,False,1
in the pink,in good health and spirits.,"He was in the pink in his new blazer, as it was his favorite color",1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 257, 'AssignmentId': '3F6HPJW4JTGGT6HPI95BBG5LLJM2WS', 'HITId': '3XBYQ44Z74K7QLD8AMK6NJIL7DITWR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 216, 'AssignmentId': '33CID5710K9P3U19IVCELFTXTQIL3T', 'HITId': '3XBYQ44Z74K7QLD8AMK6NJIL7DITWR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 65, 'AssignmentId': '3YZ8UPK3V92GZKKMK2FG55TACUQUCW', 'HITId': '3XBYQ44Z74K7QLD8AMK6NJIL7DITWR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",1,1,3,1,False,False,1
on the cards,"Something very likely to happen, occur or take place.",It's on the cards drawn for the game of poker,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 103, 'AssignmentId': '37FMASSAYS7SGOXGCLU7BIZH0IQBIT', 'HITId': '3J9L0X0VEU2O664UCGFPWJH9D6S9WK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 445, 'AssignmentId': '3XLBSAQ9ZKSR92J0Z86D6BGBD50Z7R', 'HITId': '3J9L0X0VEU2O664UCGFPWJH9D6S9WK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 335, 'AssignmentId': '3YW4XOSQK61WCHAO45QWO9AJ81LU10', 'HITId': '3J9L0X0VEU2O664UCGFPWJH9D6S9WK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",1,1,3,1,False,False,1
ride (on) a wave,to enjoy the advantages of something,He is riding a wave of the ocean to get to his destination,1,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 98, 'AssignmentId': '3DZQRBDBS1VC77WZ249FX17SLKRS3F', 'HITId': '3JU8CV4BS0S1TKBZ2JKC1F42F8YOP5', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 265, 'AssignmentId': '3YW4XOSQK61WCHAO45QWO9AJ8XYU15', 'HITId': '3JU8CV4BS0S1TKBZ2JKC1F42F8YOP5', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A3PRQ2GSU42718', 'WorkTimeInSeconds': 381, 'AssignmentId': '3DY4FPOOAH4KI1Y57PFGQMUFQ2ZRVL', 'HITId': '3JU8CV4BS0S1TKBZ2JKC1F42F8YOP5', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",3,1,1,1,False,False,1
when pigs fly,something that will never happen,"It will happen when pigs fly, which is actually possible if they are trained to do so""",1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 314, 'AssignmentId': '3UXUOQ9OKUDQ8UBSNGQEPIP24KU7AZ', 'HITId': '3J9UN9O9KI8K4SGI5LDHEIM886P0J4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 244, 'AssignmentId': '3FPRZHYEPENSZZD3WZEK8ORZKS8V3I', 'HITId': '3J9UN9O9KI8K4SGI5LDHEIM886P0J4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 413, 'AssignmentId': '3DOCMVPBT3UMVYX4CRC87LVS36WNN8', 'HITId': '3J9UN9O9KI8K4SGI5LDHEIM886P0J4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",1,1,3,1,False,False,1
upper crust,"the aristocracy and upper classes, informal",She's part of the upper crust of the quiche she baked,1,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 289, 'AssignmentId': '34X6J5FLP9EBF5JBDLCXI89GZXFQJV', 'HITId': '33P2GD6NS28QQCSWLEKELPL29CRHKM', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 277, 'AssignmentId': '3PB5A5BD0BMRILOV9GIOL4052F5G7I', 'HITId': '33P2GD6NS28QQCSWLEKELPL29CRHKM', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 189, 'AssignmentId': '3M1CVSFP6GL0ECG7JFZKP96X9AKQAE', 'HITId': '33P2GD6NS28QQCSWLEKELPL29CRHKM', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",1,0,3,0,True,True,1
turn aside,refuse entry to somewhere,She turned aside her anger towards him and forgave him,0,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 20, 'AssignmentId': '3FTOP5WARV4NRCECWNII32IYMTI0J8', 'HITId': '3N2YPY1GJLESMDV6UHQF2VZ6XU6EVP', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 118, 'AssignmentId': '30JNVC0ORP0FOZOLPL9C6VT1M5CQHR', 'HITId': '3N2YPY1GJLESMDV6UHQF2VZ6XU6EVP', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 499, 'AssignmentId': '3CCZ6YKWRNZXG7N47HXHV30M7WH957', 'HITId': '3N2YPY1GJLESMDV6UHQF2VZ6XU6EVP', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",0,0,3,0,False,False,1
too many cooks spoil the broth,to mean that something does not go well when there are too many ways to do it,"There were too many cooks making soup, so the broth turned out terrible",1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 27.986, 'AssignmentId': '3LWJHTCVCS2VA3XFUVLC3AHO6RRFQC', 'HITId': '3U74KRR6811H3R4UILTJR05UE1XNTD', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 24.82, 'AssignmentId': '3YOH7BII0PNYVXLAH56JPA81VFMVKN', 'HITId': '3U74KRR6811H3R4UILTJR05UE1XNTD', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 49.778, 'AssignmentId': '31HQ4X3T38QTNBMO8ADFTN19LBYSLJ', 'HITId': '3U74KRR6811H3R4UILTJR05UE1XNTD', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}",1,1,3,1,False,False,1
