idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_f_de_nllb,p_f_he_nllb,p_f_hi_nllb,p_f_hu_nllb,p_f_ko_nllb,p_f_es_nllb,p_f_yo_nllb,p_f_zh_nllb,p_l_de_nllb,p_l_he_nllb,p_l_hi_nllb,p_l_hu_nllb,p_l_ko_nllb,p_l_es_nllb,p_l_yo_nllb,p_l_zh_nllb,p_a_de_nllb,p_a_he_nllb,p_a_hi_nllb,p_a_hu_nllb,p_a_ko_nllb,p_a_es_nllb,p_a_yo_nllb,p_a_zh_nllb
come clean,to make a disclosure,"After hiding the truth for so long, he [[decided to come clean]] about his past","After playing in the mud, the kids [[decided to come clean]] and took a bath","After hiding the truth for so long, he decided to come clean about his past","After playing in the mud, the kids decided to come clean and took a bath",decided to come clean,"Nachdem er die Wahrheit so lange verborgen hatte, beschloss er, seine Vergangenheit zu offenbaren.","אחרי שהסתיר את האמת במשך זמן רב כל כך, הוא החליט להתוודות על העבר שלו.","इतने लंबे समय तक सच्चाई को छिपाने के बाद, उसने अपने अतीत के बारे में खुलकर बात करने का फैसला किया","Miután oly sokáig eltitkolta az igazságot, úgy döntött, hogy felfedte a múltját.","오랫동안 진실을 숨겼다가, 그는 자신의 과거를 털어놓기로 결심했습니다.","Después de ocultar la verdad durante tanto tiempo, decidió confesar su pasado.","Lẹ́yìn tó ti fi òótọ́ pa mọ́ fún àkókò gígùn, ó pinnu láti sọ ohun tó ti ṣe kọjá fún wọn","隐真相这么久之后, 他决定坦白自己的过去","Nachdem sie im Schlamm gespielt hatten, beschlossen die Kinder, alles zu sagen und ein Bad zu nehmen.","אחרי שיחקו בבוץ, הילדים החליטו להתוודות ולקחו אמבטיה.","बालु में खेलने के बाद, बच्चों ने साफ करने का फैसला किया और स्नान किया","Miután a sárban játszottak, a gyerekek úgy döntöttek, hogy megtisztulnak és fürödnek.","진흙에서 놀다가, 아이들은 정답을 밝히고 목욕을 하기로 결정했습니다.","Después de jugar en el barro, los niños decidieron confesar y tomaron un baño.","Lẹ́yìn tí àwọn ọmọdé náà ti ń ṣeré nínú ẹrẹ̀, wọ́n pinnu láti sọ ohun tó wà lọ́kàn wọn jáde, wọ́n sì wẹ̀","在泥土里玩之后, 孩子们决定坦白, 洗.","Ich habe beschlossen, alles zu sagen.",החלטתי להתוודות.,साफ करने का फैसला किया,"Elhatároztam, hogy tisztázom.",정답을 밝히기로 결심했어요,Decidió confesar,mo pinnu láti sọ ohun tó wà lọ́kàn mi,决定坦白自己的
come down with,to have (usually a disease),He [[came down with something]] after being exposed to the cold weather,The kite [[came down with something]] tangled in its strings,He came down with something after being exposed to the cold weather,The kite came down with something tangled in its strings,came down with something,"Er hat sich etwas angesteckt, nachdem er dem kalten Wetter ausgesetzt war.",הוא חלה במשהו לאחר שהיתה חשופה למזג האוויר הקר.,वह ठंड के मौसम के संपर्क में होने के बाद नीचे कुछ के साथ आया,"Valami megfertőzte, miután a hideg időjárás hatására",추운 날씨에 노출된 후 뭔가 걸렸어요,Se enfermó de algo después de haber estado expuesto al frío.,Ó ní àrùn kan lẹ́yìn tí ó fara hàn sí òtútù,他因暴露于寒冷天气而患上某种疾病,Der Drachen kam mit etwas Verwickeltem in seinen Saiten herunter,העפיפון ירד עם משהו מעורבב בחוטים שלו.,पतंग नीचे आया था उसके तारों में कुछ उलझ गया था,A sárkány lejött valami összezavarodott szálakkal.,그 날개는 끈에 뭔가 얽혀 내려왔어,La cometa bajó con algo enredado en sus cuerdas.,Òjòjò náà wá pẹ̀lú nǹkan kan tó dí nínú okùn rẹ̀,"子下来时,有东西在子里.",hat sich etwas angesteckt,נכנסתי למשהו.,कुछ के साथ नीचे आया,"- Nem, nem.",뭔가로 쓰러졌어요,Se enfermó de algo.,ó ní àrùn kan,发生了一些事情
come full circle,return to an earlier position or decision.,"After years of exploring different career paths, she [[came full circle]] and returned to her passion for teaching",The hiker [[came full circle]] after walking around the entire circumference of the lake,"After years of exploring different career paths, she came full circle and returned to her passion for teaching",The hiker came full circle after walking around the entire circumference of the lake,came full circle,Nach Jahren der Erforschung verschiedener Karrierewege schloss sie den Kreis und kehrte zu ihrer Leidenschaft für das Lehren zurück.,"אחרי שנים של חקר נתיבי קריירה שונים, היא הגיעה למעגל מלא וחזרה לתשוקה שלה ללמד","विभिन्न करियर पथों की खोज के वर्षों के बाद, वह पूर्ण चक्र में आई और शिक्षण के लिए अपने जुनून पर लौट आई।","Éveken át különböző karrierpályákat vizsgált, de végül a kör lezárult, és visszatért a tanítás iránti szenvedélyéhez.","여러 가지 경력을 쌓아온 후, 그녀는 교직에 대한 열정을 되찾았습니다.","Después de años de explorar diferentes carreras, ella cerró el círculo y regresó a su pasión por la enseñanza.","Lẹ́yìn ọdún tó ti ń wá ọ̀nà ọ̀tọ̀ọ̀tọ̀ tó lè gbà ṣe iṣẹ́, ó parí gbogbo ohun tó ti ń ṣe, ó sì padà sídìí iṣẹ́ olùkọ́ tó jẹ́ ìfẹ́ ọkàn rẹ̀","经过多年的探索不同职业道路, 她回到了圆圈,","Der Wanderer kam im Kreis, nachdem er den gesamten Umfang des Sees umgelaufen war",המטייל הגיע למעגל מלא לאחר שהלך סביב כל המיקום של האגם,झील के पूरे परिधि के चारों ओर चलने के बाद यात्री पूर्ण चक्र में आया,"A túrázó a tó teljes körét megkereste, és a körbe ért.",산책객 은 호수 의 전체 둘레 를 다 돌아다니면서 원 을 다 쳤읍니다,El excursionista hizo un círculo completo después de caminar alrededor de toda la circunferencia del lago,"Ẹni tó ń rìnrìn àjò náà rìn yí ká adágún náà, ó sì parí ìrìn àjò náà","徒步旅行者走遍湖的全周,",Der Kreis wurde vollendet.,הגיע מעגל מלא,पूर्ण चक्र आया,Teljes körbe jött.,순환이 완료되었습니다,Se cerró el círculo,ó wá di àgbájọ,圆圈已经结束
come out swinging,be confrontational,"After the criticism, [[he came out swinging]] with a strong rebuttal","As soon as the boxing match started, [[he came out swinging]] at his opponent","After the criticism, he came out swinging with a strong rebuttal","As soon as the boxing match started, he came out swinging at his opponent",he came out swinging,Nach der Kritik kam er mit einer starken Widerlegung heraus.,"אחרי הביקורת, הוא יצא עם דחייה חזקה.","आलोचना के बाद, वह एक मजबूत खंडन के साथ बाहर आया","A kritika után, ő is kiugrott egy erős cáfolással.","비판을 받은 후, 그는 강력한 반박으로 나왔다.","Después de las críticas, salió con una fuerte refutación.","Lẹ́yìn tí wọ́n ti bẹ̀rẹ̀ sí bẹ̀ ẹ́ wò, ó wá fi ìkanra-kanra sọ pé","批评之后,他以强烈的反驳来表达自己的观点.","Als der Boxenkampf begann, schwang er seinen Gegner.","ברגע שהקרב התחיל, הוא יצא והכה את יריבו.","जैसे ही मुक्केबाजी का मुकाबला शुरू हुआ, वह अपने प्रतिद्वंद्वी पर झपटने के लिए बाहर आया।","Amint a bokszmeccs elkezdődött, kiment és megütötte az ellenfelét.",권투 경기가 시작되자마자 그는 그의 상대를 향해 휘둘러 나왔습니다.,"Tan pronto como comenzó el combate de boxeo, salió golpeando a su oponente.","Bí ìjà ìfipábánilòpọ̀ náà ṣe bẹ̀rẹ̀, ó jáde wá ń fi ọ̀pá lù ọ̀tá rẹ̀","拳击比赛开始后,他就开始向对手挥舞.",Er kam raus und schwang.,הוא יצא מתנפנף.,वह बाहर आया था,"- Kijött, és megint dobta.",그는 윙핑으로 나왔어요,Él salió de la columna.,ó jáde wá ń fi ìlù,他然大声地说道:
cook his goose,to spoil someone's chances of success,"When he was caught cheating, his teacher [[cooked his goose]] by failing him","For dinner, the chef [[cooked his goose]] with a delicious orange sauce","When he was caught cheating, his teacher cooked his goose by failing him","For dinner, the chef cooked his goose with a delicious orange sauce",cooked his goose,"Als er beim Schummeln erwischt wurde, hat seine Lehrerin ihn durch eine Fehlschreibung in den Arsch gehauen","כשהתפס בגידה, המורה שלו בישל את האווז שלו על ידי נכשלת אותו","जब उसे धोखा देते हुए पकड़ा गया, तो उसके शिक्षक ने उसे फेल करके उसे फंसा दिया","Amikor csalás közben elkapták, a tanára megcsinálta, hogy nem sikerült neki.","교사가 교정 을 치는 데 잡혔을 때, 교정 을 치는 데 실패 하여 교정 을 망쳤다","Cuando lo atraparon haciendo trampa, su maestra lo engañó al fallarle","Nígbà tí wọ́n rí i tó ń jíwèé wò, olùkọ́ rẹ̀ fi í sílẹ̀","子被老师抓住作弊时, 却让他失败了",Zum Abendessen kochte der Koch seine Gans mit einer köstlichen Orangensauce.,"לארוחת הערב, השף בישל את האווז שלו עם רוטב תפוזים טעים.","रात के खाने के लिए, शेफ ने अपने हंस को स्वादिष्ट नारंगी सॉस के साथ पकाया",A szakács vacsorára egy finom narancsos szósszal főzte a libát.,"저녁 식사 로, 요리사 는 맛있는 오렌지 소스 로 가슴도치를 요리 하였다","Para la cena, el chef cocinó su ganso con una deliciosa salsa de naranja","Nígbà oúnjẹ ọ̀sán, olùpèsè oúnjẹ náà se ẹyẹ àgbò rẹ̀ pẹ̀lú ọtí osan tó dùn ún jẹ","晚餐时,厨师用美味的汁了他的.",Ich habe seine Gans gekocht.,בישל את האווז שלו.,उसकी हंस पकाने,Megfőzte a libáját.,그의 거위 요리,cocinó su ganso,ó se ẹyẹ rẹ̀,了他的
cool heels,to wait or take rest,They [[were cooling their heels]] in the waiting room before the interview,"After walking on hot sand, they [[were cooling their heels]] in the ocean water",They were cooling their heels in the waiting room before the interview,"After walking on hot sand, they were cooling their heels in the ocean water",were cooling their heels,Sie kühlten sich vor dem Vorstellungsgespräch im Wartezimmer ab.,הם היו מגניבים את עקביהם בחדר ההמתנה לפני הראיון.,वे साक्षात्कार से पहले प्रतीक्षालय में अपनी ऊँची एड़ी के जूते ठंडा कर रहे थे,A váróteremben hűtötték a sarkukat az interjú előtt.,인터뷰 전에 대기실에서 발바닥을 차려서,Estaban refrescándose en la sala de espera antes de la entrevista.,Wọ́n ń rọra rọra ní yàrá ìdúró kí wọ́n tó lọ ṣe ìfọ̀rọ̀wánilẹ́nuwò náà,他们在面试前在等待室里着脚.,"Nachdem sie auf heißem Sand gegangen waren, kühlten sie ihre Fersen im Ozeanwasser ab.","אחרי שהלכו על חול חם, הם הקריאו את עקביהם במים של האוקיינוס.","गर्म रेत पर चलने के बाद, वे समुद्र के पानी में अपनी एड़ी को ठंडा कर रहे थे","Miután a forró homokon jártak, a tengeri vízben hűtötték a sarkukat.","뜨거운 모래를 걷고 나서, 그들은 바닷물에 발 뒤꿈치를 냉각하고 있었다","Después de caminar sobre la arena caliente, estaban enfriando sus talones en el agua del océano","Lẹ́yìn tí wọ́n ti rìn lórí iyanrìn gbígbóná, wọ́n ń fi omi òkun tutù sí àwọn àtẹ́lẹsẹ̀ wọn","走在热沙子上后, 他们在海洋水中凉脚跟",Sie kühlten ihre Fersen ab.,היו מגניבים את עקביהם,अपनी ऊँची एड़ी के जूते को ठंडा कर रहे थे,A sarkukat hűtötték.,그들의 발 뒤꿈치를 냉각,estaban enfriando sus talones,wọ́n ń fi ara wọn wé àwọn tó ń fi ẹsẹ̀ wọn rìn,他们的脚跟冷却
count chicken,make plans based on events that may or may not happen,He [[was counting chickens before they hatch]] when he started planning his victory party,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,He was counting chickens before they hatch when he started planning his victory party,The farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,was counting chickens before they hatch,"Er zählte die Hühner, bevor sie ausgebrochen sind, als er seine Siegesfeier plante.",הוא ספר תרנגולות לפני שהן נפרצו כשהוא התחיל לתכנן את מסיבת הניצחון שלו.,वह मुर्गियों को गिन रहा था इससे पहले कि वे अपने विजय पार्टी की योजना बनाने शुरू कर दिया,A csirkék számlálása előtt kezdte megtervezni a győzelmi buliját.,"그는 닭이 싹기 전에 닭을 세고 있었는데, 그는 그의 승리 파티를 계획하기 시작했습니다.",Estaba contando pollos antes de que eclosionan cuando comenzó a planear su fiesta de victoria,Ó ń ka àwọn adìyẹ kí wọ́n tó yọ nígbà tó bẹ̀rẹ̀ sí ṣètò ayẹyẹ ìṣẹ́gun rẹ̀,"他正在化之前数,","Der Bauer zählte die Hühner, bevor sie aus dem Ei schlüpften, indem er die Anzahl der Eier schätzte, aus denen Küken werden würden",החוואי סופר תרנגולות לפני שהן פורצות על ידי הערכה של מספר הביצים שיהפכו לציפורים,"किसान मुर्गियों की गिनती करता था, ताकि वह अनुमान लगा सके कि कितने अंडे से मुर्गियां बनेंगी","A farmer a csirkék kiütését megelőzően számolta meg őket, és arra becsült, hogy hány tojásból lesznek csirkék",농부 는 닭 이 싹트기 전 에 닭 을 세어 새끼 가 될 계란 의 수 를 추정 하고 있었다,El granjero estaba contando a los pollos antes de que eclosionen estimando el número de huevos que se convertirían en pollitos,"Àgbẹ̀ náà ń ka àwọn adìyẹ kó tó di pé wọ́n yọ látinú ẹyin, ó sì ń fojú díwọ̀n iye ẹyin tó máa di ọmọ adìyẹ","农民在化之前,通过估计将成为小的蛋数来计算数","Ich habe die Hühner gezählt, bevor sie ausgebrochen sind.",ספרתי תרנגולות לפני שהן נפרצו.,मुर्गियों को उनके अंडे से निकलने से पहले गिन रहा था,"A csirkék számlálása, mielőtt kikelnek.",닭이 싹을 내기 전에 닭을 세고,Estaba contando pollos antes de que eclosionen,ó ń ka adìyẹ kí wọ́n tó yọ,"在化之前,"
crack the whip,make someone work harder by asserting power or authority,The manager [[cracked the whip on the team]] to meet the deadline,The circus performer [[cracked the whip on the team]] of horses to start the show,The manager cracked the whip on the team to meet the deadline,The circus performer cracked the whip on the team of horses to start the show,cracked the whip on the team,"Der Manager hat die Schlagstock auf das Team gesprengt, um die Frist einzuhalten.",המנהל פתח את השוט על הקבוצה כדי לעמוד במועד האחרון,प्रबंधक ने समय सीमा को पूरा करने के लिए टीम पर कोड़ा मारा,"A menedzser megdöntötte a csapatot, hogy beérjék a határidőt.",감독은 팀의 기한을 맞추기 위해 팀에 휘둘러,El gerente le dio a la banda el látigo para cumplir con el plazo.,Olùdarí náà fi ìjìyà lu ẹgbẹ́ náà kí wọ́n lè ṣe é ní àkókò tí wọ́n yàn,"经理在团队上了鞭子,以达到最后期限","Der Zirkusartist schlug die Pferde mit der Peitsche, um die Show zu beginnen.",שחקן הקרקס פתח את השוט על קבוצת הסוסים כדי להתחיל את ההצגה,सर्कस कलाकार ने शो शुरू करने के लिए घोड़ों की टीम पर कोड़ा मारा,"A cirkuszi előadó megütötte a lócsapatot, hogy elkezdje a műsort.",서커스 공연자 는 쇼 를 시작 하기 위해 말 들 의 팀 에 채찍 을 쳤다,El artista de circo golpeó con el látigo al equipo de caballos para comenzar el espectáculo,Olùṣeré eré ìdárayá náà fi ọ̀pá fìtílà lu àwọn ẹṣin tó wà nínú ẹgbẹ́ náà láti fi bẹ̀rẹ̀ eré náà,马戏团表演者在马队的鞭子上打破了表演的开始,Ich habe die Peitsche aufgeschlagen.,פתח את השוט על הקבוצה,टीम पर कोड़ा फटकारा,Megütötte a csapatot.,팀의 주먹을 어,Se rompió el látigo en el equipo,ó fi ìjìyà bá ẹgbẹ́ náà,让球队的鞭子
cross swords,to fight with another person physically or verbally.,"During the heated debate, she [[crossed swords with him]] over their differing opinions","At the fencing tournament, they [[crossed swords with him]] in a thrilling match","During the heated debate, she crossed swords with him over their differing opinions","At the fencing tournament, they crossed swords with him in a thrilling match",crossed swords with him,"Während der hitzigen Debatte, kreuzte sie die Schwerter mit ihm über ihre unterschiedlichen Meinungen.","במהלך הדיון החם, היא הצליבה חרבות איתו על השוני בדעותיהם.","गर्म बहस के दौरान, उसने उनके अलग-अलग विचारों पर उसके साथ तलवारें पार कीं","A heves vita során, a férfival átverte a kardját a különböző véleményük miatt.","격렬한 논쟁 중에, 그녀는 서로 다른 의견에 대해 그와 검을 맞대고","Durante el acalorado debate, ella cruzó las espadas con él sobre sus diferentes opiniones.","Nígbà tí wọ́n ń jiyàn gan-an, ó bá ọkùnrin náà jiyàn lórí èrò tó yàtọ̀ síra wọn","在激烈的辩论中,她与他交叉了他们不同的意见","Bei dem Fechtturnier, kreuzten sie ihre Schwerter mit ihm in einem aufregenden Kampf.","בטורניר הקרבות, הם חצו חרבות איתו בקרב מרגש.","एक रोमांचक मुकाबले में, वे एक मुक्केबाजी टूर्नामेंट में उसके साथ तलवारों को पार किया","A vívóversenyen, egy izgalmas meccsen keresztezték a kardot.","펜싱 대회에서, 그들은 스릴 넘치는 싸움에서 그와 검을 맞붙였다","En el torneo de esgrima, cruzaron espadas con él en un emocionante combate.","Níbi ìdíje ìjàkadì, wọ́n bá a jà nínú ìjà kan tó ń múnú ẹni dùn","在剑道比赛中,他们与他交叉剑,",Ich habe mit ihm geschwert.,חצתי איתו חרבות.,उसके साथ तलवारें पार की,Keresztül a kardokkal.,그와 함께 검을 맞았지,Cruzó las espadas con él.,a bá a ṣe ìjà,交叉剑与他
cross the bridge,to delay worrying about something that might not happen anyway,They [[crossed the bridge together]] when they decided to face their problems as a team,The two friends [[crossed the bridge together]] while enjoying the scenic view,They crossed the bridge together when they decided to face their problems as a team,The two friends crossed the bridge together while enjoying the scenic view,crossed the bridge together,"Sie überquerten die Brücke zusammen, als sie beschlossen, ihre Probleme als Team zu bewältigen",הם חצו את הגשר ביחד כשהם החליטו להתמודד עם הבעיות שלהם כצוות.,जब उन्होंने एक टीम के रूप में अपनी समस्याओं का सामना करने का फैसला किया तो उन्होंने एक साथ पुल पार किया,"Együtt mentek át a hídon, amikor úgy döntöttek, hogy csapatként néznek szembe a problémáikkal.","문제 를 팀 으로 해결 하기 로 결심 했을 때, 그 들 은 함께 다리를 건너게 되었습니다",Cruzaron el puente juntos cuando decidieron enfrentar sus problemas como un equipo,Wọ́n jọ sọdá odò náà nígbà tí wọ́n pinnu láti máa bá ìṣòro wọn lò bí ẹgbẹ́ kan,"他们决定作为一个团队来面对他们的问题,",Die beiden Freunde überquerten die Brücke und genossen die herrliche Aussicht.,שני החברים חצו את הגשר יחד תוך כדי ליהנות מהנוף היפיפה,दोनों दोस्त एक साथ पुल पार कर रहे थे और खूबसूरत दृश्य का आनंद ले रहे थे,"A két barát együtt ment át a hídon, miközben élvezték a látványt.",두 친구 는 다리 를 함께 건너면서 경치 의 풍경 을 즐겼습니다,Los dos amigos cruzaron el puente juntos mientras disfrutaban de la vista panorámica,"Àwọn ọ̀rẹ́ méjèèjì jọ ń rìnrìn àjò gba orí afárá náà lọ, wọ́n sì ń gbádùn ojú alárinrin tí wọ́n ń rí","这两个朋友一起穿过桥,欣赏风景",Über die Brücke gegangen,חצו את הגשר ביחד.,पुल को एक साथ पार किया,Együtt mentünk át a hídon.,다리를 함께 건너왔지,Cruzaron el puente juntos,a jọ sọdá afárá náà,在一起穿越桥
cross the line,behave in a way that is not acceptable,[[He crossed the line with her]] when he made that inappropriate comment,"During the race, [[he crossed the line with her]] as they finished together",He crossed the line with her when he made that inappropriate comment,"During the race, he crossed the line with her as they finished together",He crossed the line with her,"Er hat die Grenze überschritten, als er diese unangemessene Bemerkung machte.",הוא חצה את הקו איתה כשהוא אמר את ההערה הלא הולמת הזאת.,वह उसके साथ लाइन पार कर गया जब वह अनुचित टिप्पणी की,"Átlépte a határt, amikor ezt a helytelen megjegyzést tette.",그 말이 너무 부적절하니까,Cruzó la línea con ella cuando hizo ese comentario inapropiado,Ó kọjá àyè rẹ̀ nígbà tó sọ ọ̀rọ̀ tí kò yẹ,"他对她说了不当的话,","Während des Rennens überquerte er die Ziellinie mit ihr, als sie zusammen fertig waren.","במהלך המרוץ, הוא חצה את הקו איתה כשהם סיימו יחד","दौड़ के दौरान, वह उसके साथ लाइन पार कर गया क्योंकि वे एक साथ समाप्त हो गए थे","A verseny során, ő és a nő együtt léptek át a célvonalon.","경주 중에, 그 남자는 그녀와 함께 결승선을 통과했습니다.","Durante la carrera, cruzó la línea con ella mientras terminaban juntos.","Nígbà tí wọ́n ń sáré, òun àti ìyàwó rẹ̀ jọ dé ìlà eré náà","在比赛中,他和她一起越过了终点线",Er hat die Grenze überschritten.,הוא חצה את הקו איתה.,वह उसके साथ लाइन पार कर गया,Túlment vele.,그 남자랑 너무 거친 거,Él cruzó la línea con ella,Ó ti kọjá àyè rẹ̀,他和她过了界限
crush,feel love-sick for someone.,She couldn't help but [[have a crush]] on the charming new coworker,The machine was designed to [[have a crush]] on the aluminum cans for recycling,She couldn't help but have a crush on the charming new coworker,The machine was designed to have a crush on the aluminum cans for recycling,have a crush,"Sie konnte nicht anders, als sich in den charmanten neuen Kollegen zu verlieben.",היא לא יכלה שלא להתאהב בעמיתתה החדשה והקסים.,वह मदद नहीं कर सकता लेकिन आकर्षक नए सहकर्मी पर एक क्रश है,"Nem tudta elkerülni, hogy belezúgt a bájos új munkatársa.",그녀는 매력적인 새로운 동료에게 매료되는 것을 도울 수 없었습니다.,No pudo evitar enamorarse del encantador nuevo compañero de trabajo.,Kò lè ṣe é kí ó máà ní ìtara fún ọ̀rẹ́ rẹ̀ tuntun tó fani mọ́ra náà,她不禁对这位迷人的新同事产生了兴趣.,"Die Maschine wurde so konstruiert, dass sie sich in die Aluminiumdosen zum Recycling verliebt",המכונה תוכננה כדי להתאהב בקופסאות האלומיניום למחזור,मशीन को पुनर्चक्रण के लिए एल्यूमीनियम के डिब्बे पर क्रश करने के लिए डिज़ाइन किया गया था,"A gépet úgy tervezték, hogy az alumínium dobozokra, amiket újrahasznosítanak, rázzuk a szívünket.",이 기계 는 재활용 하기 위한 알루미늄 통 에 대한 애정 을 가지도록 설계 되었읍니다,La máquina fue diseñada para tener un enamoramiento de las latas de aluminio para el reciclaje,Wọ́n ṣe ẹ̀rọ náà láti máa fi àwọn àwo aluminiomu tí wọ́n máa ń fi ṣe àtúnlò ṣe nǹkan,机器设计的就是为了对回收的爱好,Ich bin in dich verknallt.,להתאהב.,प्रेम करना,- Nem.,애착을 가지,Me enamoré de ti.,ní ìfẹ́ ọkàn,爱上一个人
cry over spilt milk,to be upset about things that have already been done,There's no point in [[crying over spilt milk]] now that the deadline has passed,The toddler was [[crying over spilt milk]] on the kitchen floor,There's no point in crying over spilt milk now that the deadline has passed,The toddler was crying over spilt milk on the kitchen floor,crying over spilt milk,"Es hat keinen Sinn, über verschüttete Milch zu weinen, jetzt, wo die Frist abgelaufen ist.",אין טעם לבכות על חלב שפוך עכשיו שהזמן האחרון חלף.,अब जब समय सीमा बीत चुकी है तो अब दूध के लिए रोने का कोई मतलब नहीं है,"Nincs értelme sírni a kiontott tej miatt, most, hogy lejárt a határidő.",이제 유료가 지나갔으니 유유를 흘려서 울고 있는 게 아무 소용이 없지,No tiene sentido llorar por la leche derramada ahora que la fecha límite ha pasado,Kò sídìí láti máa sunkún nítorí wàrà tó ti dà nù nísinsìnyí tí àkókò tí a yàn kalẹ̀ ti kọjá,"现在没有必要为流掉的牛奶哭泣, 现在最后期限已经过去了",Das Kleinkind weinte über die verschüttete Milch auf dem Küchenboden.,התינוק בכה על חלב שפך על רצפת המטבח.,रसोई के फर्श पर दूध के छलकने पर बच्चा रो रहा था,A kisgyerek sírt a kiöntött tej miatt a konyha padlóján.,유아 는 주방 바닥 에 젖 이 흘렀을 때 울고 있었다,El niño lloraba por la leche derramada en el suelo de la cocina.,Ọmọ kékeré náà ń sunkún nítorí wàrà tó dà sórí ilẹ̀ ilé ìdáná,幼儿在厨房地板上哭着倒下的牛奶,Weint über vergossener Milch,"""היא תבכה על חלב שפך",और वह दूध के बहने पर रोती होगी,sírva a kiontott tej miatt,젖이 흘렀을 때 울고,llorando por la leche derramada,tó ń sunkún nítorí wàrà tó ti dà,在流出的牛奶上哭泣
cup of tea,to like something,"Skydiving is [[not my cup of tea]], I prefer calmer activities","This green tea is [[not my cup of tea]], I ordered black tea","Skydiving is not my cup of tea, I prefer calmer activities","This green tea is not my cup of tea, I ordered black tea",not my cup of tea,"Fallschirmspringen ist nicht mein Ding, ich bevorzuge ruhigere Aktivitäten.","צניחה מקפצת היא לא כוס התה שלי, אני מעדיף פעילויות רגועות יותר","स्काईडाइविंग मेरी चाय की प्याली नहीं है, मैं शांत गतिविधियों को पसंद करता हूं","A csúszóval ugrálni nem az én kedvencem, inkább nyugodtabb tevékenységet választok.",낙하산은 내 취향이 아니니까 좀 더 평온한 활동을 좋아해요,"El paracaidismo no es mi especialidad, prefiero actividades más tranquilas.","Kò wù mí láti máa fò nídìí òfuurufú, mo máa ń ṣe àwọn nǹkan tó ń mú ara tù mí","跳不是我的茶杯,我更喜欢平静的活动","Dieser grüne Tee ist nicht mein Ding, ich habe schwarzen Tee bestellt.","התה הירוק הזה הוא לא כוס התה שלי, הזמנתי תה שחור.","यह हरी चाय मेरी चाय का कप नहीं है, मैंने काली चाय मंगवाई है","Ez a zöld tea nem az én csésze teám, én fekete teát rendeltem.","이 녹차는 내 차잔이 아니라, 검은 차를 주문했다","Este té verde no es mi taza de té, pedí té negro","Omi-oorun yii kii ṣe ife tii mi, Mo paṣẹ fun tii dudu","这茶不是我的茶,我点了黑茶",Nicht mein Ding.,לא כוס התה שלי.,मेरी चाय का कप नहीं,Nem az én stílusom.,내 취향이 아니잖아,No es mi taza de té.,kì í ṣe ohun tí mo fẹ́ràn,这不是我的茶杯
cut and dried,ready-made,"With her impressive qualifications, it was [[a cut and dried decision]] to hire her",The process of making fruit leather involves [[a cut and dried decision]] with the fruit,"With her impressive qualifications, it was a cut and dried decision to hire her",The process of making fruit leather involves a cut and dried decision with the fruit,a cut and dried decision,"Mit ihren beeindruckenden Qualifikationen war es eine einfache Entscheidung, sie einzustellen.","עם הכישורים המרשימים שלה, זו הייתה החלטה קצרה וייבשה להעסיק אותה","उनकी प्रभावशाली योग्यता के साथ, उसे काम पर रखना एक सरल निर्णय था","A lenyűgöző képességeivel, egyszerű döntés volt felvenni őt.","그녀의 인상적인 자격으로, 그녀를 고용하는 것은 단절되고 말린 결정이었습니다","Con sus impresionantes calificaciones, fue una decisión fácil contratarla","Pẹ̀lú àwọn ẹ̀rí tó tayọ tó ní, kò ṣòro rárá láti gbà á síṣẹ́","由于她有着令人印象深刻的资格,",Die Herstellung von Fruchtleder erfordert eine schnittgetrocknete Abtrennung mit der Frucht,תהליך ייצור העור של הפירות כולל חיתוך ושיבוש עם הפירות,फल के चमड़े बनाने की प्रक्रिया में फल के साथ एक कटा हुआ और सूखा हुआ निर्णय शामिल होता है,A gyümölcsbőr előállítása során a gyümölcsöt kivágják és szárítják,과일 가죽 을 만드는 과정 은 과일 을 잘라 말린 다음 그 가죽 을 깎는 일 을 포함한다,El proceso de fabricación de la piel de la fruta implica un corte y secado con la fruta,"Bí wọ́n ṣe ń ṣe awọ èso ni pé wọ́n á gé èso náà, wọ́n á sì gbẹ ẹ́",制造果皮的过程包括与果子一起切割和干燥,eine klare Entscheidung,החלטה קצרה וייבשה.,एक कटा हुआ और सूखा हुआ निर्णय,Egy egyszerű döntés.,단정 결정,Una decisión definitiva,ìpinnu tó ṣe kedere,一个切乾的决定
