idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",He was asleep at the wheel,2,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 18.29, 'AssignmentId': '3W2LOLRXLRV62Q4T8L19ODJYBG3KRS', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': True}","{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 35.192, 'AssignmentId': '3WQ3B2KGEOWHGI1I4E91JJIVKO11BU', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 15.909, 'AssignmentId': '3A9AA95ATC2I8U3BO6TEHT01D8L5P1', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",1,2,2,2,False,False
just off the boat,a person who is naive and inexperienced,He's just off the boat,2,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 18.29, 'AssignmentId': '3W2LOLRXLRV62Q4T8L19ODJYBG3KRS', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 35.192, 'AssignmentId': '3WQ3B2KGEOWHGI1I4E91JJIVKO11BU', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 15.909, 'AssignmentId': '3A9AA95ATC2I8U3BO6TEHT01D8L5P1', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,2,2,2,False,False
a needle in a haystack,something very small amidst something very big,It's like a needle in a haystack trying to find a way to resolve this issue,0,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 18.29, 'AssignmentId': '3W2LOLRXLRV62Q4T8L19ODJYBG3KRS', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 35.192, 'AssignmentId': '3WQ3B2KGEOWHGI1I4E91JJIVKO11BU', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 15.909, 'AssignmentId': '3A9AA95ATC2I8U3BO6TEHT01D8L5P1', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,False
on cue,to happen at the precise moment,She arrived on cue,2,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 18.29, 'AssignmentId': '3W2LOLRXLRV62Q4T8L19ODJYBG3KRS', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 35.192, 'AssignmentId': '3WQ3B2KGEOWHGI1I4E91JJIVKO11BU', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 15.909, 'AssignmentId': '3A9AA95ATC2I8U3BO6TEHT01D8L5P1', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,1,2,2,False,False
bring home the bacon,to go out and earn a living or earn money for the family,He brings home the bacon every morning from the grocery store,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 18.29, 'AssignmentId': '3W2LOLRXLRV62Q4T8L19ODJYBG3KRS', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 35.192, 'AssignmentId': '3WQ3B2KGEOWHGI1I4E91JJIVKO11BU', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 15.909, 'AssignmentId': '3A9AA95ATC2I8U3BO6TEHT01D8L5P1', 'HITId': '3X0EMNLXF45WJ4KW3V6QW7YAB2AVPV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,1,1,1,False,False
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,I think he has a screw loose because the machine is malfunctioning,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 35.853, 'AssignmentId': '3MB8LZR5BV9VZS9G314D21AZ5OFKL3', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 49.42, 'AssignmentId': '3EA3QWIZ4YBSCARXC7LSBC537XBITS', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 166.608, 'AssignmentId': '3CP1TO84P9HMGN25M8I2LGS82YU52F', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,0,1,1,False,False
elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward",There's an elephant in the room and it's ruining my decorating scheme,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 35.853, 'AssignmentId': '3MB8LZR5BV9VZS9G314D21AZ5OFKL3', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 49.42, 'AssignmentId': '3EA3QWIZ4YBSCARXC7LSBC537XBITS', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 166.608, 'AssignmentId': '3CP1TO84P9HMGN25M8I2LGS82YU52F', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,2,1,1,False,False
over the top,"excessive, exaggerated",His performance was over the top,2,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 35.853, 'AssignmentId': '3MB8LZR5BV9VZS9G314D21AZ5OFKL3', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 49.42, 'AssignmentId': '3EA3QWIZ4YBSCARXC7LSBC537XBITS', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 166.608, 'AssignmentId': '3CP1TO84P9HMGN25M8I2LGS82YU52F', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",0,2,2,2,False,False
shot in the dark,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is,It was a shot in the dark when I closed my eyes and threw the dart,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 35.853, 'AssignmentId': '3MB8LZR5BV9VZS9G314D21AZ5OFKL3', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 49.42, 'AssignmentId': '3EA3QWIZ4YBSCARXC7LSBC537XBITS', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 166.608, 'AssignmentId': '3CP1TO84P9HMGN25M8I2LGS82YU52F', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,0,1,1,False,False
the devil is beating his wife,raining whereas the sun is shining.,The devil is beating his wife because she disobeyed him,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 35.853, 'AssignmentId': '3MB8LZR5BV9VZS9G314D21AZ5OFKL3', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 49.42, 'AssignmentId': '3EA3QWIZ4YBSCARXC7LSBC537XBITS', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 166.608, 'AssignmentId': '3CP1TO84P9HMGN25M8I2LGS82YU52F', 'HITId': '3GL25Y685IAI2QSEBUFG3O10M87XM4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,1,1,1,False,False
see light at end of tunnel,to see signs of hope for the future after a long period of difficulty,I can see the light at end of tunnel as hope blossomed in my heart,0,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 27.444, 'AssignmentId': '35GMH2SV3UX0JDK3K792WN1OGWOOE4', 'HITId': '3QQUBC640TUOK8DENVUGG3Q0RYHXN4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 156.177, 'AssignmentId': '3DY4FPOOAH4KI1Y57PFGQMUFREBRVM', 'HITId': '3QQUBC640TUOK8DENVUGG3Q0RYHXN4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A3CGQOJC28OVGN', 'WorkTimeInSeconds': 22.033, 'AssignmentId': '3M1CVSFP6GL0ECG7JFZKP96XAI8AQ3', 'HITId': '3QQUBC640TUOK8DENVUGG3Q0RYHXN4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,False
in the loop,to be aware of the information," ""He is in the loop of the race track",1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 27.444, 'AssignmentId': '35GMH2SV3UX0JDK3K792WN1OGWOOE4', 'HITId': '3QQUBC640TUOK8DENVUGG3Q0RYHXN4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 156.177, 'AssignmentId': '3DY4FPOOAH4KI1Y57PFGQMUFREBRVM', 'HITId': '3QQUBC640TUOK8DENVUGG3Q0RYHXN4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A3CGQOJC28OVGN', 'WorkTimeInSeconds': 22.033, 'AssignmentId': '3M1CVSFP6GL0ECG7JFZKP96XAI8AQ3', 'HITId': '3QQUBC640TUOK8DENVUGG3Q0RYHXN4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,2,1,1,False,False
arrive in a body,arrive with unity as a group.,They arrived in a body,2,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 27.444, 'AssignmentId': '35GMH2SV3UX0JDK3K792WN1OGWOOE4', 'HITId': '3QQUBC640TUOK8DENVUGG3Q0RYHXN4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 156.177, 'AssignmentId': '3DY4FPOOAH4KI1Y57PFGQMUFREBRVM', 'HITId': '3QQUBC640TUOK8DENVUGG3Q0RYHXN4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A3CGQOJC28OVGN', 'WorkTimeInSeconds': 22.033, 'AssignmentId': '3M1CVSFP6GL0ECG7JFZKP96XAI8AQ3', 'HITId': '3QQUBC640TUOK8DENVUGG3Q0RYHXN4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,2,2,2,False,False
alive and kicking,lively and active,The event is alive and kicking as it's still open for registrations,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 27.444, 'AssignmentId': '35GMH2SV3UX0JDK3K792WN1OGWOOE4', 'HITId': '3QQUBC640TUOK8DENVUGG3Q0RYHXN4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 156.177, 'AssignmentId': '3DY4FPOOAH4KI1Y57PFGQMUFREBRVM', 'HITId': '3QQUBC640TUOK8DENVUGG3Q0RYHXN4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A3CGQOJC28OVGN', 'WorkTimeInSeconds': 22.033, 'AssignmentId': '3M1CVSFP6GL0ECG7JFZKP96XAI8AQ3', 'HITId': '3QQUBC640TUOK8DENVUGG3Q0RYHXN4', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,True
