idiom_0,instance_0,label_0,meaning_0,idiom_1,instance_1,label_1,meaning_1,idiom_2,instance_2,label_2,meaning_2,idiom_3,instance_3,label_3,meaning_3,idiom_4,instance_4,label_4,meaning_4
put his heart into,he put his heart into the project and worked tirelessly to make it a success,0,to be very enthusiastic and invest a lot of energy and hard work in something,a piece of cake,"searching through the bakery, she found it a piece of cake on the shelf",1,very easy task,foot in the door,"by volunteering at the company, she got a foot in the door for a full-time position",0,succeed with a first step.,plays with fire,she plays with fire by constantly challenging her boss 's authority,0,people who take unnecessary risks or behave in a dangerous way,been tailor made,the job opportunity has been tailor made for her skills and experience,0,specially made for a particular purpose
a cuckoo in the nest,"when the new employee started causing problems, they realized they had found a cuckoo in the nest",0,an unwelcome intruder in a place or situation.,under fire,the firefighter was under fire from the crowd as he tried to save people from the burning building,1,being shot at,toss-up,choosing between the two job offers was a toss-up between two options,0,a situation where the result is unclear and can go either way,got off your back,"when you completed the project, your boss finally got off your back",0,to be annoyed and ask someone to stop finding faults or criticize you,went through the mill,the wheat went through the mill together to be ground into flour,1,"you experience a very difficult period, or are exposed to rough treatment"
stop the rot,the new manager stopped the rot by implementing better policies,0,"when you prevent a situation from deteriorating, especially in business or politics",look before you leap,"while standing on the edge of the diving board, he was reminded to look before you leap",1,to make sure that everything is alright before doing something important which you cannot revert,foam at the mouth,the rabid dog was foaming at the mouth and needed to be isolated,1,be extremely angry,afraid of my own shadow,the haunted house made me so jumpy that I was afraid of my own shadow,1,to be very nervous or easily frightened,blazing row,the couple next door had a blazing row over their finances,0,a very angry argument
safe bet,placing a wager on the favorite horse is a safe bet for success in the race,1,fair assumption; reasonable guess; opinion or view that is likely to prove correct.,asked for the moon,he asked for the moon when he requested a million-dollar salary,0,ask for something that is very difficult or impossible to get,take up the cudgels,"during the historical reenactment, he took up the cudgels for her when she dropped hers",1,argue strongly in support or against somebody or something,the eleventh hour,"he finished the project at the eleventh hour, just before the deadline",0,at the very last minute before an event,hit the sack,"during the pillow fight, she decided to hit the sack and send feathers flying",1,to go to bed
Achilles heel,"despite his intelligence, procrastination was his Achilles heel",0,a vulnerable spot or weakness,on the line,she put it on the line to dry after washing her clothes,1,to be at serious risk.,knee jerk reaction,his sudden outburst was a knee jerk reaction to the news of the company's bankruptcy,0,an automatic response to something,weak in the knees,"after running a marathon, she felt weak in the knees due to exhaustion",1,"to be overcome by a strong feeling, usually desire",up a river without a paddle,"while canoeing, we accidentally dropped our paddles and found ourselves up a river without a paddle",1,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter"
rabbit hole,"while exploring the forest, Alice went down the rabbit hole she discovered",1,mentally go somewhere surreal or strange,a screw loose,he has a screw loose if he thinks he can quit his job without consequences,0,someone who behaves in a strange way and seem slightly mentally ill,the early bird catches the worm,"she always wakes up at 5 am and finishes her tasks efficiently, proving that the early bird catches the worm",0,it refers to people who arrive earlier are the ones who get the best deals,whistle in the dark,"while walking through the forest at night, she was whistling in the dark to keep her spirits up",1,to try to hide your fear in a scary or dangerous situation,open old wounds,the surgeon opened old wounds to remove the remaining infection,1,"to revive memories of an unpleasant event, situation or dispute that took place in the past"
see light at end of tunnel,"while exploring the cave, they saw light at the end of the tunnel and knew they were close to the exit",1,to see signs of hope for the future after a long period of difficulty,spanner in the works,the sudden power outage threw a spanner in the works of our presentation,0,a roadblock that prevents an activity from succeeding,voice in the wilderness,his environmental concerns were a voice in the wilderness among the industrialists,0,"someone who expresses an opinion that no one believes or listens to, especially if proved right later",long run,investing in education will pay off in the long run,0,far away in the future,night owl,she was more productive being a night owl and working late hours,0,Someone who is vigilant late at night.
being bouncing off the walls,the kids were bouncing off the walls after eating too much candy,0,excited and full of nervous energy,nail in the coffin,his resignation letter put the final nail in the coffin for the company's future,0,"an action/event that will help bring about the death, end, or failure of something or someone",bad egg,the carton of eggs we bought turned out to be a bad egg when we cracked it open,1,someone who fails to meet expectations,drive a wedge between,the disagreement started to drive a wedge between them and their friendship,0,to damage the good relationship that two people or groups of people have,take it on the chin,"despite the harsh criticism, he took it on the chin and kept working",0,this is a boxing metaphor meaning don't shy away from difficulty
walk on eggshell,"during the art performance, the performer was walking on eggshells around her as part of the act",1,to be careful about one's words or actions around another person,lose your marbles,"during the game, he accidentally lost his marbles when the bag ripped open",1,strange behaviors.,rise and shine,"as the sun began to rise and shine, it illuminated the morning sky",1,to ask someone to wake up and become active in the daily chores,against the clock,"with the deadline approaching, we were racing against the clock to finish the project",0,in a great hurry to finish something before a particular time,last resort,"the hotel named 'The Last Resort' was the only available option, so we booked it as a last resort",1,the last thing you would do if you were desperate and all other courses of action had failed
at an arm's length,she kept it at an arm's length to avoid getting too involved in the situation,0,as far away from your body as possible,hold your horses,"as a carriage driver, it's important to hold your horses for a moment when stopping at an intersection",1,to wait,tie the knot,they tied the knot together in a beautiful ceremony surrounded by friends and family,0,to get married,get the wrong end of the stick,he misunderstood the situation and got the wrong end of the stick,0,to understand something in the wrong way,miles away,the mountain peak seemed miles away from our current location,1,unaware of the current situation
see light at end of tunnel,"after months of hard work, they finally saw light at the end of the tunnel when the project was nearing completion",0,to see signs of hope for the future after a long period of difficulty,pass on the baton,the retiring CEO passed on the baton to her as the new leader of the company,0,give responsibility for something important to another person.,bag and baggage,"after the argument, they left with bag and baggage, cutting all ties with their family",0,(with) all one's belongings.,off the cuff,"he gave an off the cuff speech at the party, surprising everyone with his wit",0,in an unguarded way,stiff upper lip,"due to the cold weather, he maintained a stiff upper lip until he could warm up",1,to be brave in the face of adversity
pass the buck,"he didn't want to take responsibility, so he passed the buck to her",0,passing blame to another person,outside the lines,his innovative approach to the project was like coloring outside the lines,0,not sticking to the rules,give a shot,"even though he was nervous, he gave it a shot and presented his idea to the team",0,to have a try at something,the die is cast,"once the decision was made, there was no turning back; the die is cast",0,"an unalterable decision has been reached, or step taken.",playing second fiddle,he didn't like playing second fiddle to her in the company hierarchy,0,to play a secondary or minor role with regards to someone else
as far as,the vast desert stretched out as far as the eye can see,1,to the extent of something,chink in armour,"while examining the knight's suit, he found a chink in their armour that needed repair",1,a susceptible or vulnerable area.,lights are on but nobody is home,"when I tried to explain the situation to him, it seemed like the lights are on but nobody is home",0,used to describe a stupid person.,from A to Z,she studied the subject so thoroughly that she learned it from A to Z,0,comprehensive,give a shot,the nurse gave it a shot of vaccine to the patient,1,to have a try at something
skeleton in the closet,"while exploring the haunted house, we discovered a skeleton in the closet of one of the rooms",1,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose",deliver the goods,the new employee delivered the goods on time by meeting all the project deadlines,0,do what is required,wheels fall off,"after a series of setbacks, the wheels fell off our project",0,when a situation gets out of control and everything starts to go wrong,happy camper,"when the tent collapsed, he was not a happy camper at the campsite",1,to be content or satisfied with what is happening in your lifes and have no complaints,whole nine yards,she went the whole nine yards to make his birthday special,0,"everything, all of something"
the eleventh hour,she decided to go for a walk at the eleventh hour of the night,1,at the very last minute before an event,in the cross hairs,"during the paintball match, she was caught in the cross hairs of her opponent's gun",1,in a position where one might receive severe criticism,lose it,she lost it during the meeting when she could n't handle the pressure anymore,0,go insane or crazy,paddle own canoe,they had to paddle their own canoe to reach the other side of the lake,1,To be able to act without having to depend on anyone.,in a pickle,the tiny figurines found themselves in a pickle when they were accidentally placed inside a jar of pickles,1,to be in a difficult situation
glass ceiling,"while installing the chandelier, he accidentally hit the glass ceiling and shattered it",1,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",blow away,their innovative product blew away the competition in the market,0,impress someone very much,take it on the chin,"during the boxing match, he took it on the chin and fell to the ground",1,this is a boxing metaphor meaning don't shy away from difficulty,black book,the old photograph was found in the black book on the dusty shelf,1,a book containing a list of secret contacts,blowing smoke,the magician was blowing smoke at the meeting as part of his performance,1,to intentionally misinform or deceive
the brains behind,"the computer was the brains behind the project, controlling all the automated processes",1,"used to refer to the person who originally invented a particular scheme, plan or idea",have a soft spot,"despite her tough exterior, she has a soft spot for kittens and always takes care of them",0,to like someone very much,have a soft spot,the veterinarian has a soft spot for kittens in her clinic where they can rest comfortably,1,to like someone very much,takes two to tango,"in a dance competition, the judges reminded the participants that it takes two to tango",1,certain actions or activities cannot be performed alone - they  need two people to participate,catch up,I had to run faster to catch up with her during the race,1,"to get to the same level, standard, or status as something or someone"
up to the neck,he was up to the neck in work and couldn't take a break,0,"when people are very involved in something, especially when it's something wrong",to the core,the news of the tragedy left her shaken to the core,0,totally,in a nutshell,she explained it in a nutshell so that everyone could understand the concept quickly,0,to be brief and straight to the point.,worm in the apple,"despite the company's success, they found a worm in the apple when they discovered the corruption",0,the presence of something very bad in the best,man's best friend,the loyal dog is often considered a man's best friend,0,"It refers to animals that are of use to human beings, mostly used to address dogs."
a voice crying in the wilderness,"while hiking, they heard a voice crying in the wilderness and went to investigate",1,to say something that is not popular,in black and white,"to avoid any confusion, we decided to put it in black and white in the contract",0,printed form of a document,pass away,"the storm passed away peacefully, leaving a calm and clear sky",1,die,find feet,"after a few weeks, she found her feet in the new environment and became more confident",0,become familiar with a new situation,velvet glove,the manager was wearing a velvet glove when he gently guided the team through the crisis,0,"a person who appears gentle, but is determined and inflexible underneath"
beat the drum,the musician beat the drum for the cause during the charity concert,1,to speak eagerly about something you support,in a fog,"while hiking, they were lost in a fog and couldn't find their way back",1,in a great confusion,ahead of the pack,"by consistently innovating, the company is staying ahead of the pack in the industry",0,more successful than other people who are trying to achieve the same things,high up,the mountain peak was so high up that it was covered in snow,1,to have an important standing in society,in the pipeline,our company has several exciting projects in the pipeline for the upcoming year,0,to be underway
bigger fish to fry,"I can't cook these small ones now, I have bigger fish to fry for the dinner party",1,"to have other, more important things to do.",go down in flames,the aircraft went down in flames after being struck by lightning,1,to fail spectacularly,child's play,solving the puzzle it was child's play for the experienced detective,0,an informal expression meaning something that is easy to do,dragging its feet,the committee was dragging its feet on the decision to approve the project,0,"delaying in decision, not showing enthusiasm",had your chips,"after losing the game, it was clear you had your chips",0,when someone has completely failed in what they set out to achieve
big mouth,"he can't keep a secret, he has a big mouth",0,someone who talks too much,push the boat out,we pushed the boat out into the water to start our fishing trip,1,celebrate; enjoy oneself.,bundle up,make sure to bundle up before going to face the harsh reality,0,to dress warmly to protect oneself from the elements,act of God,"in the play, the actor portraying Zeus performed an act of God by throwing a lightning bolt",1,an occurrence of out of control natural forces in action,run across,"during the soccer match, the players had to run across the field to reach the ball",1,meet someone by accident
pieces of the same cake,"they have similar personalities, like two pieces of the same cake",0,things that have the same characteristics or qualities,leave no stone unturned,"to find the perfect gift for her, they left no stone unturned in their search",0,do everything that is possible in order to achieve something,have no truck with,the delivery company said they have no truck with them to transport our goods,1,avoid dealing or being associated with,hold tongue,"during the dental examination, they held their tongue to the side so the dentist could see better",1,to keep quiet when one would rather speak,born yesterday,he was not born yesterday and could easily see through their lies,0,naive; inexperienced
cut and thrust,the politicians engaged in the cut and thrust of the debate during the election campaign,0,"furious contest, discussion, etc.",flash in the pan,"his sudden success turned out to be a flash in the pan, as he couldn't maintain it",0,"something that cannot be repeated, usually a positive concept",rain or shine,"no matter the obstacles, rain or shine, we'll be there to support you",0,Doing something regularly regardless of the circumstances.,old school,"he prefers an old school approach to communication, like writing letters",0,old fashioned ideas or approach compared to current trends,fall between the cracks,his request for a promotion fell between the cracks due to the company's restructuring,0,be ignored or unobserved
shades of grey,"as an artist, they saw shades of grey when mixing black and white paint",1,refers to a situation where things are not really clear,throw it over the wall,he decided to throw it over the wall to get the ball back from the neighbor's yard,1,"to deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination",the ball rolling,"to start the meeting, we need to get the ball rolling with introductions",0,to start a conversation in a social setting,take a leaf out of someone's book,"to improve my work ethic, I decided to take a leaf out of her book and wake up early",0,implement actionable advice,clean slate,"after apologizing, they decided to start with a clean slate and rebuild their friendship",0,to wipe the past out and begin afresh
on the line,she put it on the line when she confronted her boss about the unfair treatment,0,to be at serious risk.,call on,"during the meeting, we decided to call on the teacher for advice",0,"use courage, reserve, nerve or strength to achieve something",bits and pieces,"following the vase's shattering, we gathered the bits and pieces from the floor",1,miscellaneous small objects,kiss and make up,"during the play, the actors had to kiss and make up with her as part of the scene",1,to become friendly again after an argument,have clean hands,"despite the corruption around her, she maintained clean hands throughout the process by refusing to participate in any dishonest activities",0,to be innocent; to be free of any wrongdoing
weak in the knees,"when she saw her favorite celebrity, she felt weak in the knees",0,"to be overcome by a strong feeling, usually desire",ants in pants,"while picnicking, he accidentally sat on an anthill and had ants in his pants",1,be extremely restless,show the door,"when he started making inappropriate comments, the manager showed him the door",0,make it clear that somebody must leave,a needle in a haystack,"the farmer accidentally dropped his sewing needle, and it became a challenge of finding a needle in a haystack",1,something very small amidst something very big,have clean hands,"as a surgeon, she maintained clean hands throughout the process by following strict hygiene protocols",1,to be innocent; to be free of any wrongdoing
pain in the neck,"after sleeping in an awkward position, she woke up with a real pain in the neck",1,Mathematics is generally a real pain in the neck for most of the school and college students.,shot in the dark,"during the blackout, he took a shot in the dark with his camera",1,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is,bang head against wall,trying to solve that complex math problem felt like banging head against the wall,0,to be frustrated in your efforts to change something or make something happen,frighten or scare to death,the sudden loud noise scared her to death during the movie,0,make somebody feel very frightened.,can of worms,the fisherman opened a can of worms to bait his hook,1,"to get into something that is messy, has problems and is unwanted"
in a pickle,they found themselves in a pickle when they realized they had double-booked their appointments,0,to be in a difficult situation,bend over backwards,I always bend over backwards for them to make sure they're happy,0,do all in one's power (usually to achieve something or accommodate somebody),break the ice,"during the winter expedition, we were breaking the ice together to clear a path",1,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",bite the bullet,"during the reenactment, the actor bit the bullet and faced the audience",1,to endure a painful experience that you cannot avoid,green around the gills,"after the roller coaster ride, he was looking green around the gills from nausea",0,Someone who looks sick or nauseated.
caught between two stools,"while trying to balance, she was caught between two stools and fell",1,"come between two alternatives, and so fail to fulfill either of them",go through the roof,his anger went through the roof when he found out about the betrayal,0,to become very angry,cutting edge,their research is on the cutting edge of technology,0,to be among the latest and the best (often used for technological advancements),off grid,he decided to disconnect from social media and started living off grid,0,disconnected from municipal utility systems.,goose egg,"despite her efforts in the competition, she scored a goose egg and felt disappointed",0,zero
end of story,"I told him I wasn't interested, and that's the end of the story",0,there is  nothing more to add to the matter under discussion,all Greek to me,"when he started talking about quantum physics, it's all Greek to me",0,used to convey that you cannot understand what is being said or written,long in the tooth,he's getting long in the tooth and might retire soon,0,To get too old for something.,at an arm's length,he kept it at an arm's length to prevent the paint from smudging his clothes,1,as far away from your body as possible,use your loaf,they used their loaf to solve the complex puzzle,0,To tell someone to use their brain more in analysing what they are doing.
taste of own medicine,"when he tried to prank her, she gave him a taste of his own medicine by pranking him back",0,when someone gets the same bad treatment that he has been giving others,saved his neck,the safety harness saved his neck at the last moment when he fell off the ladder,1,to manage to escape from serious danger or trouble,takes two to tango,"when it comes to resolving conflicts, remember that it takes two to tango",0,certain actions or activities cannot be performed alone - they  need two people to participate,get your goat,the farmer got your goat from the pen and brought it to you,1,irritate somebody,beat around the bush,"if you have something to say, just stop beating around the bush and tell me",0,avoid talking about the main topic
pour oil on troubled waters,"the careless worker accidentally poured oil on troubled waters, causing an environmental hazard",1,"try to calm, soothe or placate a problematic situation",make a clean breast,the surgeon made a clean breast of the situation by removing the tumor,1,to tell the truth about something.,a good man is hard to find,"in the crowded shopping mall, a good man is hard to find when you're looking for your friend",1,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,bang head against wall,he accidentally tripped and ended up banging head against the wall,1,to be frustrated in your efforts to change something or make something happen,caught in the crossfire,"during the intense paintball match, he was caught in the crossfire between two opposing teams",1,be badly affected by a situation where two people or group are arguing with each other.
hit the nail on the head,"with a single swing of the hammer, he hit the nail on the head and drove it into the wood",1,be accurately right about something,cry over spilt milk,the toddler was crying over spilt milk on the kitchen floor,1,to be upset about things that have already been done,cool heels,they were cooling their heels in the waiting room before the interview,0,to wait or take rest,rats in the attic,"they always seemed a bit off, as if they found rats in the attic",0,someone who is bit mad or that their behaviour is eccentric,in tandem,the two departments worked in tandem to complete the project on time,0,one after another
you bet,"when asked if I was attending the party, I replied, 'you bet I'll be there'",0,for sure,at the drop of the hat,she was always ready at the drop of a hat to help her friends,0,to do something easily and without any preparation,cut down,he had to cut down the tree of his ego to become a better person,0,to reduce the amount of something (usually bad),big gun,"to defend the fort, they had to bring in the big gun from the armory",1,a very powerful individual,ready to drop,the overripe fruit on the tree looked ready to drop any moment,1,to be extremely tired and nearly too exhausted to stay standing
buckle down,the carpenter had to buckle down to work on the leather belt,1,make sure something stays in place,wooden spoon,"as a gift for her new kitchen, she received a wooden spoon from her friend",1,the person who finishes last in a race or competition receives an imaginary prize,stop the rot,the gardener stopped the rot by removing the infected plants,1,"when you prevent a situation from deteriorating, especially in business or politics",troubled waters,"the storm made the sea rough, and the boat was sailing through troubled waters",1,a difficult phase of life,hung out to dry,the laundry was hung out to dry on the clothesline,1,"to abandon someone who is in difficulty, without giving any assistance or support"
blow your own trumpet,"during the parade, he was blowing his own trumpet as part of the marching band",1,to say things that makes your own self or kin look good,break down,the firefighters had to break down the situation by removing debris after the collapse,1,to stop working,get out of bed on the wrong side,"due to the rearrangement of his room, he accidentally got out of bed on the wrong side and bumped into the wall",1,be very irritable and grouchy,fight a losing battle,trying to convince her to change her mind was like fighting a losing battle,0,trying to do something even when there is little chance of succeeding,scratch the surface,"with a coin, she scratched the surface of the lottery ticket to reveal the numbers",1,to deal with only a small part of a problem
bite head off,the snake bit his head off when he got too close to its nest,1,overreact in an angry or harsh way,getting my fingers burnt,"while trying to light the candle, I ended up getting my fingers burnt",1,"to suffer unpleasant results of an action, especially loss of money, so you do not want to do the same thing again",bite off more than one can chew,he bit off more than he could chew when he tried to eat the whole sandwich in one bite,1,"to try to do something that is too difficult for you, or more than you can manage",chill wind,"as we walked through the forest, a chill wind blew and made us shiver",1,to encounter the problems or trouble,straighten up and fly right,"after a stern warning from his boss, he decided to straighten up and fly right at work",0,to get serious and stop acting absurd anymore.
whatever floats my boat,"when it comes to choosing a hobby, I believe in whatever floats my boat",0,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy",treasure trove,"when they found the old library, they discovered a treasure trove of knowledge",0,a priceless or valuable discovery,second wind,"while searching through the attic, he found a second wind chime to add to his collection",1,another burst of energy when you had been too tired to finish,as far as,his influence extends as far as the eye can see in the business world,0,to the extent of something,got in his hair,the confetti from the party got in his hair and took a while to remove,1,to annoy someone so much that they cannot get on with what they are doing
top dog,"at the dog show, her well-trained canine became the top dog among all the competitors",1,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.",cold turkey,he quit smoking by going cold turkey without any assistance,0,in a unexpected and sudden way,baying for blood,the pack of hungry wolves was baying for blood as they hunted their prey,1,want somebody to be hurt or punished.,"judge, jury and executioner","he was acting as judge, jury, and executioner when he made the decision without consulting anyone",0,"people that are in charge of every decision made, and they have the power to be rid of whomever they choose",put your head on the block,he put his head on the block by taking responsibility for the team's failure,0,if you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong
fall between the cracks,the small toy fell between the cracks of the wooden floor,1,be ignored or unobserved,fan the flames,they fanned the flames together to keep the campfire going,1,make a bad situation even worse,you can't teach an old dog new tricks,"the dog trainer spent hours teaching an old dog new tricks, but the dog's age made it difficult to learn",1,you cannot make others change their habits,dig one's own grave,"by spreading false rumors about the boss, he was digging his own grave at work",0,"to do something that has negative consequences for you, even though these consequences can be easily seen.",all Greek to me,"since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",1,used to convey that you cannot understand what is being said or written
play cat and mouse,the children played cat and mouse by pretending to be animals in their game,1,to play with or tease someone,turn the tables,they turned the tables on her by revealing her secret plan,0,change your position with respect to someone else.,no picnic,"despite the food and blankets, the rain made sure it was no picnic for us",1,used to express that an activity or action is not fun,cross the line,he crossed the line with her when he made that inappropriate comment,0,behave in a way that is not acceptable,bet on the wrong horse,"at the racetrack, she bet on the wrong horse and lost her money",1,support a person or thing that ultimately fails
clear the decks,we cleared the decks for the event by finishing all our pending tasks,0,get ready for action.,burn bridges,the vandals burned bridges with them as they escaped the village,1,"remove someone's all options of retreat, act decisively",white paper,she read the white paper to understand the company 's new policy,0,official report or guide,a lot on my plate,"juggling multiple projects at work, she was having a lot on the plate these days",0,to have so many things to do at one time,black book,"after betraying his trust, she was found in the black book of his memories",0,a book containing a list of secret contacts
