idiom,meaning,instance,label,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe
a whale of,very big (piece) of something,we had a whale of a time at the amusement park,figurative,figurative,figurative,figurative,"['3N1FSUEFLLGRNEWL5SJ9C7DY7IGD45', '3TDXMTX3CRAMACGLGUDZ02DPVEUI6X']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[110.017, 36.569]"
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,"during the historical reenactment, they started a witch hunt to portray the events accurately",literal,literal,literal,literal,"['358010RM5U94FXKHGOL8F4G30KPVX1', '37XITHEISCPOJSS5G8KB0U6QEWORC2']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[27.3, 89.316]"
across the board,applying to everyone,the company saw improvements across the board after implementing new strategies,figurative,figurative,figurative,figurative,"['3KB8R4ZV1UNEKXRLMXU4Q6M1U2EBGK', '3TXD01ZLDKXD4G77RN9YM7HMTICU4X']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[24.505, 40.978]"
act of God,an occurrence of out of control natural forces in action,"in the play, the actor portraying Zeus performed an act of God by throwing a lightning bolt",literal,tie,figurative,literal,"['3RANCT1ZVVXXPFSG62JLULNS3AUBUL', '3WOKGM4L7HW1SN59C0ANBYZKUK80OA']","['A38DXFI1TZA295', 'AKQAI78JTXXC9']","[35.555, 70.039]"
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","to keep the bonfire going, they added fuel to the flames by throwing more wood",literal,literal,literal,literal,"['34HJIJKLPLCDHVW7WDJ3ITJ57PL4VW', '3QHK8ZVMI2YU6P5MXORK3YR9QJ0BLQ']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[97.163, 42.376]"
afraid of my own shadow,to be very nervous or easily frightened,the haunted house made me so jumpy that I was afraid of my own shadow,literal,tie,literal,figurative,"['3VP0C6EFSWC86V6C19BRSVK6CNFM6I', '3ON104KXQ0CQWKWCMNOZ4V2JEYMW4X']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[99.163, 27.507]"
against the clock,in a great hurry to finish something before a particular time,"with the deadline approaching, we were racing against the clock to finish the project",figurative,tie,literal,figurative,"['3X65QVEQIG3DGUXSBONFEIXR84ZLC6', '38BQUHLA9CGYV1CG15XL9V6XXN8OM8']","['A110KENBXU7SUJ', 'AX8NXTT8QMGHC']","[33.41, 102.137]"
against the grain,a difficult path to be followed,his decision to quit his job was going against the grain of his family's expectations,figurative,figurative,figurative,figurative,"['3TMSXRD2XMG94LZTZ55X6XVG2ECW1K', '32KTQ2V7RTVVOE8AZGE3C5B82ONM9T']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[34.797, 40.846]"
against the grain,a difficult path to be followed,"when sanding wood, going against the grain can cause scratches and damage",literal,literal,literal,literal,"['3S96KQ6I92KB4ZBBKTKHKFPQNHYDT2', '3SITXWYCNBPP6JMBB7U8ESMWXS9XBX']","['AKQAI78JTXXC9', 'AURYD2FH3FUOQ']","[68.396, 52.884]"
ages,a long time; a very long time,"during our time-travel adventure, I haven't seen you in ages as we got separated in different eras",literal,tie,literal,figurative,"['3L2IS5HSFQYZQOHD9SOULGNMKZ6NUK', '3BGYGHDBBD0UHQJI4PG4N9PWQDX22R']","['APRZ7BR8C0ZMQ', 'AX8NXTT8QMGHC']","[55.438, 43.511]"
ahead of the curve,better than others,the race car driver was staying ahead of the curve by maintaining a lead on the track,literal,literal,literal,literal,"['3L2IS5HSFQYZQOHD9SOULGNMKZ6NUK', '3BGYGHDBBD0UHQJI4PG4N9PWQDX22R']","['APRZ7BR8C0ZMQ', 'AX8NXTT8QMGHC']","[55.438, 43.511]"
ahead of the pack,more successful than other people who are trying to achieve the same things,"by consistently innovating, the company is staying ahead of the pack in the industry",figurative,figurative,figurative,figurative,"['3S4AW7T80RYALQKDI9HXVKL3GRK4LE', '3AMYWKA6YR2W6YROEPQ4KZ9B7NTO6Y']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[30.896, 35.2]"
all Greek to me,used to convey that you cannot understand what is being said or written,"since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",literal,literal,literal,literal,"['3M23Y66POINB4QJHL67D44JC4CX6SE', '3XC1O3LBO82U2BZ3XAI53SXVWQZLTP']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[104.64, 36.032]"
all Greek to me,used to convey that you cannot understand what is being said or written,"when he started talking about quantum physics, it's all Greek to me",figurative,figurative,figurative,figurative,"['3CFJTT4SX965ECUQZ4IR6GDLQPEI7W', '3R9WASFE2FW4OVY6HR4PU3TSKQZZFE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[107.171, 99.553]"
"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","the company's annual party was an all singing, all dancing event with various performances",figurative,literal,literal,literal,"['3EA3QWIZ4YBSCARXC7LSBC53FM5IT8', '3IFS6Q0HJYZRXAEIN7G2179HD3RISJ']","['A1HKYY6XI2OHO1', 'AURYD2FH3FUOQ']","[99.903, 55.22]"
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",her career went all the way up after she landed a major role in a blockbuster movie,figurative,figurative,figurative,figurative,"['354GIDR5ZRMGP6DQAF8CLX32WHS00K', '3MAOD8E576QR7SB8EXZH5NMQEHNNXC']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[30.421, 34.83]"
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",the elevator went all the way up to the top floor of the building,literal,literal,literal,literal,"['358010RM5U94FXKHGOL8F4G30KPVX1', '37XITHEISCPOJSS5G8KB0U6QEWORC2']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[27.3, 89.316]"
an arm and a leg,a large amount of money,the designer dress she wanted cost an arm and a leg,figurative,figurative,figurative,figurative,"['3F0BG9B9M53R4C9V3M4US479G8CY7I', '358UUM7WRFJI7BX9PRC0K8ECDLXR79']","['APRZ7BR8C0ZMQ', 'AURYD2FH3FUOQ']","[69.958, 65.715]"
ants in pants,be extremely restless,he had ants in his pants and couldn't focus on the presentation,figurative,figurative,figurative,figurative,"['3F0BG9B9M53R4C9V3M4US479G8CY7I', '358UUM7WRFJI7BX9PRC0K8ECDLXR79']","['APRZ7BR8C0ZMQ', 'AURYD2FH3FUOQ']","[69.958, 65.715]"
ants in pants,be extremely restless,"while picnicking, he accidentally sat on an anthill and had ants in his pants",literal,literal,literal,literal,"['37FMASSAYS7SGOXGCLU7BIZH9F5IBI', '3SUWZRL0METAU7EZKBN8FNFX3LP6EE']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[51.696, 71.372]"
apple polisher,a flatterer; toady,she took up the job of being an apple polisher at the fruit market,literal,literal,literal,literal,"['308XBLVESYK59N0Z28OGPA08WBORBV', '378XPAWRUSTNXESO67UBG7FBRXKIAN']","['A1HKYY6XI2OHO1', 'AURYD2FH3FUOQ']","[116.625, 94.891]"
as far as,to the extent of something,his influence extends as far as the eye can see in the business world,figurative,figurative,figurative,figurative,"['37W3JXSD6MO6URAWBUC6KK6Q9ZLWYI', '3P59JYT7610O1PDVN400OWYMQQ92TI']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[90.633, 78.64]"
as far as,to the extent of something,the vast desert stretched out as far as the eye can see,literal,literal,literal,literal,"['3X3OR7WPZFGB4R7FUC7ACW18IDEL80', '3UXUOQ9OKUDQ8UBSNGQEPIP2DHAA7L']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[103.122, 37.088]"
as long as,to put condition of time on an action,his patience was as long as the rope when dealing with difficult customers,figurative,figurative,figurative,figurative,"['3KB8R4ZV1UNEKXRLMXU4Q6M1U2EBGK', '3TXD01ZLDKXD4G77RN9YM7HMTICU4X']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[24.505, 40.978]"
asked for the moon,ask for something that is very difficult or impossible to get,he asked for the moon when he requested a million-dollar salary,figurative,figurative,figurative,figurative,"['35GCEFQ6IL498JIDXW3NTU4VH0UZ35', '3300DTYQTIX34PXJZK16LSWO3M0QEU']","['AKQAI78JTXXC9', 'AX8NXTT8QMGHC']","[78.272, 41.497]"
asked for the moon,ask for something that is very difficult or impossible to get,"the child, fascinated by astronomy, playfully asked for the moon as a birthday gift",literal,literal,literal,literal,"['3VNXK88KKSYEE12JD8FUZ1ULTHYV9I', '3A7Y0R2P244VO2KNZZ7PCG595XIXJI']","['A290OV59Q76QC8', 'AX8NXTT8QMGHC']","[46.391, 49.953]"
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",he was so exhausted that he fell asleep at the wheel while driving,literal,literal,literal,literal,"['3G0WWMR1UB07YVAWSJ4PBFQXHE0QNI', '3DIP6YHAPS8XYLXNDQK6Z1BO9GE8E1']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[32.879, 142.675]"
at an arm's length,as far away from your body as possible,he kept it at an arm's length to prevent the paint from smudging his clothes,literal,literal,literal,literal,"['3CFJTT4SX965ECUQZ4IR6GDLQPEI7W', '3R9WASFE2FW4OVY6HR4PU3TSKQZZFE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[107.171, 99.553]"
at an arm's length,as far away from your body as possible,she kept it at an arm's length to avoid getting too involved in the situation,figurative,tie,figurative,ambiguous,"['337RC3OW0LI9F33S25IK4ALGTBFLV5', '34X6J5FLP9EBF5JBDLCXI89G8UVQJE']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[108.09, 31.38]"
at daggers drawn,almost ready to fight,the two politicians were at daggers drawn with each other during the debate,figurative,figurative,figurative,figurative,"['3N1FSUEFLLGRNEWL5SJ9C7DY7IGD45', '3TDXMTX3CRAMACGLGUDZ02DPVEUI6X']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[110.017, 36.569]"
at the drop of the hat,to do something easily and without any preparation,she was always ready at the drop of a hat to help her friends,figurative,figurative,figurative,figurative,"['3F6HPJW4JTGGT6HPI95BBG5LUKQW21', '32XVDSJFPFDKOUNBE7ZO2I3UWID2MH']","['A1HKYY6XI2OHO1', 'AX8NXTT8QMGHC']","[100.508, 45.786]"
at the heels of,close behind or soon after something,"the ambitious employee was at the heels of the leader, trying to impress them",figurative,figurative,figurative,figurative,"['3P1L2B7ADH5EPJUV1TW69IR8XIIOL6', '3RXCAC0YI75VIZTEJLAUZ4W0MWSG8P']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[28.264, 59.495]"
at the heels of,close behind or soon after something,the dog was at the heels of the leader during the hike,literal,tie,literal,figurative,"['3Q8GYXHFE5IZE5U7J178XT1UME05C3', '3OCHAWUVG40QZMQ5HK71DV5MKMIXKH']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[41.959, 60.66]"
at the helm,"in charge of an organization, group of people, etc.","she was at the helm of the project, guiding the team to success",figurative,figurative,figurative,figurative,"['354GIDR5ZRMGP6DQAF8CLX32WHS00K', '3MAOD8E576QR7SB8EXZH5NMQEHNNXC']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[30.421, 34.83]"
at the helm,"in charge of an organization, group of people, etc.","the captain stood at the helm of the project, steering the ship through the storm",literal,literal,literal,literal,"['3H8DHMCCWPRC1GLOQK6PJO2U446DKV', '3HVVDCPGTU8E2A62GP7VX0ZR553TYP']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[126.35, 48.504]"
ate her alive,to criticize someone severely because you are angry with them,"in the horror movie, the monster found her hiding spot and it ate her alive",literal,literal,literal,literal,"['3CN4LGXD5D4ULPRC1O6NPSNZP6MY4Y', '3P1L2B7ADH5EPJUV1TW69IR8XIILO3']","['A110KENBXU7SUJ', 'A1HKYY6XI2OHO1']","[27.433, 126.192]"
ate her alive,to criticize someone severely because you are angry with them,the guilt of lying to her best friend it ate her alive for days,figurative,figurative,figurative,figurative,"['3FIJLY1B6AKAARW0UI6N35REARSFP9', '3KRVW3HTZ31DTT498MEUT0GYUCBSM9']","['AKQAI78JTXXC9', 'AX8NXTT8QMGHC']","[35.085, 35.864]"
back against the wall,to be in a tough situation with limited options,he had his back against the wall while waiting for the elevator,literal,literal,literal,literal,"['3I0BTBYZAD1DM19BINJLDPXM8U6Y0I', '308Q0PEVBOT9SVIJE1GBKC4RLF2I98']","['A2LMQ4497NMK3S', 'AKQAI78JTXXC9']","[145.492, 22.85]"
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,she backed the wrong horse when she supported the losing candidate,figurative,figurative,figurative,figurative,"['3VFJCI1K4FF1048AIUGUQLR5COGRGC', '3V5Q80FXID7J28F18PU96JUOWRX232']","['A110KENBXU7SUJ', 'A1HKYY6XI2OHO1']","[21.296, 122.951]"
back to the drawing board,back to the planning stage,"after the failed presentation, we were going back to the drawing board to revise our strategy",figurative,tie,literal,figurative,"['3RU7GD8VP49JEW1M026MA4ATZHMSP5', '3TXWC2NHNF6YM9LFJDAPOEAEUD59SS']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[63.337, 51.824]"
backroom boy(s),people who work in anonymity,"in the storage area, the backroom boys were busy organizing and restocking shelves",literal,literal,literal,literal,"['3907X2AHFGLQ9XKO6NRGJMXP1NO2PD', '3AMW0RGHOTIMYJ9HS6P0BA0NCIENPO']","['A1HKYY6XI2OHO1', 'APRZ7BR8C0ZMQ']","[111.791, 41.225]"
bad egg,someone who fails to meet expectations,"despite his charming demeanor, he turned out to be a bad egg in the company",figurative,figurative,figurative,figurative,"['3LEIZ60CDZFVNL7TE54XK77HHS59ZX', '3ZV9H2YQQTN5EOD8M9JGUQAD0YQW3C']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[105.395, 143.482]"
bad egg,someone who fails to meet expectations,the carton of eggs we bought turned out to be a bad egg when we cracked it open,literal,literal,literal,literal,"['3ZAZR5XV0HYXLJEWQPEOMX8PND7CZG', '3IGI0VL64N04DJXGD6CLMAVX2DINO7']","['A2H1QUGX0SOUMH', 'APRZ7BR8C0ZMQ']","[366.142, 27.077]"
bag and baggage,(with) all one's belongings.,"after the argument, they left with bag and baggage, cutting all ties with their family",figurative,figurative,figurative,figurative,"['3LWJHTCVCS2VA3XFUVLC3AHOFNFFQ1', '3HMIGG0U41MV4QEEDRW06434RSIY85']","['A290OV59Q76QC8', 'AX8NXTT8QMGHC']","[47.377, 32.522]"
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,he felt like he was carrying a ball and chain with his overwhelming responsibilities,figurative,figurative,figurative,figurative,"['3PEIJLRY699HUMKM6YQ416ZH7TRXWD', '3SPJ03342HJKO7AX4VTRVUCI73CYJP']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[46.191, 81.505]"
ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.",the meteor appeared like a ball of fire as it streaked across the sky,literal,literal,literal,literal,"['336YQZE83BUCNR6YWQ1M0P66GS4M52', '3P529IW9KE1KJ6H22QDGMOIU5HRFLB']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[92.734, 36.238]"
bang head against wall,to be frustrated in your efforts to change something or make something happen,he accidentally tripped and ended up banging head against the wall,literal,literal,literal,literal,"['3UWN2HHPUELJBBP9KNTU6F5YZ2LSN9', '3570Y55XZ5ZAX5KWWP8OYHK2FBVYGL']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[41.261, 126.539]"
bang head against wall,to be frustrated in your efforts to change something or make something happen,trying to solve that complex math problem felt like banging head against the wall,figurative,figurative,figurative,figurative,"['39DD6S19J5RCIHYAMGKJCL8S8PKZEW', '3CFVK00FW11O0DOR1XACSI5HCIOL6E']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[26.7, 46.645]"
batten down the hatches,to get ready for trouble,"as the storm approached, the sailors rushed to batten down the hatches on the ship",literal,literal,literal,literal,"['3I2PTA7R39A6QPPTV6C9JN9TNJVQKD', '3DYGAII7P1O71GM98YHHF4VSHT1QPE']","['A290OV59Q76QC8', 'AURYD2FH3FUOQ']","[46.11, 88.282]"
batten down the hatches,to get ready for trouble,"when the company announced layoffs, employees had to batten down the hatches and prepare for the worst",figurative,figurative,figurative,figurative,"['3R6BYFZZPNSFJ0YRG9G4XIDHCQ1XFF', '34PGFRQON4RGZ2FXPUB3AXR2WVCWJO']","['A110KENBXU7SUJ', 'AKQAI78JTXXC9']","[37.455, 66.721]"
baying for blood,want somebody to be hurt or punished.,the pack of hungry wolves was baying for blood as they hunted their prey,literal,literal,literal,literal,"['3TVSS0C0EHGAD5B21OP7C3EBUX4WTU', '3JV9LGBJW9UY3RGUQ2ZQWQM011WOG0']","['A1HKYY6XI2OHO1', 'AX8NXTT8QMGHC']","[118.601, 40.766]"
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,"the two ships, sailing at full speed, were on a collision course with each other",literal,literal,literal,literal,"['38YMOXR4MAF4B70Q5BHE1TMXAPT6WT', '379J5II414WSDSH67FTA46XUTGCLEZ']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[113.402, 50.501]"
beat around the bush,avoid talking about the main topic,"if you have something to say, just stop beating around the bush and tell me",figurative,figurative,figurative,figurative,"['3DH6GAKTYE5AOMF1MHWDJO08Q1PZYB', '3R0T90IZ18SXU2JR0XQZ1QSJCNDGCV']","['A1HKYY6XI2OHO1', 'AX8NXTT8QMGHC']","[109.375, 31.912]"
beat the drum,to speak eagerly about something you support,he tirelessly beat the drum for the cause to raise awareness about climate change,figurative,figurative,figurative,figurative,"['31IBVUNM98FNFBTWGUFM9XGWWFTVFA', '3W92K5RLWAXVDE07AI2DNLPJ7LFV5R']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[51.365, 26.483]"
beat the drum,to speak eagerly about something you support,the musician beat the drum for the cause during the charity concert,literal,literal,literal,literal,"['3S4AW7T80RYALQKDI9HXVKL3GRK4LE', '3AMYWKA6YR2W6YROEPQ4KZ9B7NTO6Y']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[30.896, 35.2]"
bee in bonnet,be possessed with one thought or scheme,she had a bee in her bonnet about the new policy changes,figurative,figurative,figurative,figurative,"['31IBVUNM98FNFBTWGUFM9XGWWFTVFA', '3W92K5RLWAXVDE07AI2DNLPJ7LFV5R']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[51.365, 26.483]"
been tailor made,specially made for a particular purpose,the job opportunity has been tailor made for her skills and experience,figurative,figurative,figurative,figurative,"['3PW9OPU9P60NS51MLLGQIQFRY7I128', '3V5Q80FXID7J28F18PU96JUOWRX323']","['A290OV59Q76QC8', 'AX8NXTT8QMGHC']","[129.751, 36.688]"
been tailor made,specially made for a particular purpose,the suit has been tailor made to fit his measurements perfectly,literal,literal,literal,literal,"['3OF2M9AATW4F4HQKI2VMAGLXSMGKZ1', '3NLZY2D5355HAV7BG6OAYNM8CJ0QLG']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[116.47, 146.337]"
behind bars,to be in jail or prison,the judge's decision to put him behind bars was due to his criminal actions,figurative,literal,literal,literal,"['3VHHR074HJX74D2WK7F4YW5D7T8L7D', '39ASUFLU6DNNDMYVLYWYF0SH0PMXEX']","['A110KENBXU7SUJ', 'A290OV59Q76QC8']","[80.386, 62.228]"
behind closed doors,in clandestine,the board members discussed the matter behind closed doors to maintain confidentiality,figurative,tie,literal,figurative,"['38YMOXR4MAF4B70Q5BHE1TMXAPT6WT', '379J5II414WSDSH67FTA46XUTGCLEZ']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[113.402, 50.501]"
being bouncing off the walls,excited and full of nervous energy,the kids were bouncing off the walls after eating too much candy,figurative,figurative,figurative,figurative,"['3ZAZR5XV0HYXLJEWQPEOMX8PND7CZG', '3IGI0VL64N04DJXGD6CLMAVX2DINO7']","['A2H1QUGX0SOUMH', 'APRZ7BR8C0ZMQ']","[366.142, 27.077]"
bells and whistles,special features that are added to a product or system to attract more buyers,the parade float designer added bells and whistles to create a festive atmosphere,literal,tie,ambiguous,literal,"['336KAV9KY68KIBCPXANZWDQ15SQY22', '37C0GNLMHVJ5210ZOGCO95XC39O6DL']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[42.775, 33.368]"
below the belt,to be mean and unfair (in a fight),"insulting her intelligence, that comment was below the belt",figurative,figurative,figurative,figurative,"['3TMSXRD2XMG94LZTZ55X6XVG2ECW1K', '32KTQ2V7RTVVOE8AZGE3C5B82ONM9T']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[34.797, 40.846]"
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),I always bend over backwards for them to make sure they're happy,figurative,figurative,figurative,figurative,"['3E1QT0TDF5P9EQZ999AXKG9G19L8IA', '37UQDCYH6DBA0IEQYBHAL53FYRAV76']","['AKQAI78JTXXC9', 'APRZ7BR8C0ZMQ']","[106.53, 42.027]"
