idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff
across the board,applying to everyone,We took action across the board that was laid out in front of us,1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 278, 'AssignmentId': '33FOTY3KE210QNTOIE5WU3OD11F1CY', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 230, 'AssignmentId': '39GAF6DQW7GWPWZO9V01KVC2M8TV1P', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 496, 'AssignmentId': '3Y5140Z9DDWUKIYQVQC86246HM4IPK', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,True
kill the goose that lays the golden egg,to destroy something that is profitable to you mostly because of greed.,They killed the goose that lays the golden egg for its delicious dinner,1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 278, 'AssignmentId': '33FOTY3KE210QNTOIE5WU3OD11F1CY', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 230, 'AssignmentId': '39GAF6DQW7GWPWZO9V01KVC2M8TV1P', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 496, 'AssignmentId': '3Y5140Z9DDWUKIYQVQC86246HM4IPK', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",0,1,3,0,True,True
your guess is as good as mine,I don't know,Your guess is as good as mine,2,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 278, 'AssignmentId': '33FOTY3KE210QNTOIE5WU3OD11F1CY', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 230, 'AssignmentId': '39GAF6DQW7GWPWZO9V01KVC2M8TV1P', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 496, 'AssignmentId': '3Y5140Z9DDWUKIYQVQC86246HM4IPK', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
nip in the bud,check something thoroughly.,We nipped it in the bud while it was still a bud,1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 278, 'AssignmentId': '33FOTY3KE210QNTOIE5WU3OD11F1CY', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 230, 'AssignmentId': '39GAF6DQW7GWPWZO9V01KVC2M8TV1P', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 496, 'AssignmentId': '3Y5140Z9DDWUKIYQVQC86246HM4IPK', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
walk out on,end a relationship with someone suddenly,He walked out on her,2,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 278, 'AssignmentId': '33FOTY3KE210QNTOIE5WU3OD11F1CY', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 230, 'AssignmentId': '39GAF6DQW7GWPWZO9V01KVC2M8TV1P', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 496, 'AssignmentId': '3Y5140Z9DDWUKIYQVQC86246HM4IPK', 'HITId': '31KPKEKW5PTEM9I6HT00GU3V01G0BJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
not playing with a full deck,not mentally sound,He's not playing with a full deck because he's only got fifty-two cards instead of fifty-five,1,"{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 70, 'AssignmentId': '35LDD5557QKF5AR13D5S2EPO4LIMK3', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 102, 'AssignmentId': '3EFE17QCRSLR1F3YHPYH1V824TWSHH', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 28, 'AssignmentId': '32AT8R96G1PW619IHO5GKAXSY1YUSK', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
olive branch,to show that someone wants to end a disagreement and make peace,She extended an olive branch in order to signal the intention of making peace,0,"{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 70, 'AssignmentId': '35LDD5557QKF5AR13D5S2EPO4LIMK3', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 102, 'AssignmentId': '3EFE17QCRSLR1F3YHPYH1V824TWSHH', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 28, 'AssignmentId': '32AT8R96G1PW619IHO5GKAXSY1YUSK', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
the lion's den,a place which is uncomfortable,They walked into the lion's den,2,"{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 70, 'AssignmentId': '35LDD5557QKF5AR13D5S2EPO4LIMK3', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 102, 'AssignmentId': '3EFE17QCRSLR1F3YHPYH1V824TWSHH', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 28, 'AssignmentId': '32AT8R96G1PW619IHO5GKAXSY1YUSK', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
safe bet,fair assumption; reasonable guess; opinion or view that is likely to prove correct.,It's a safe bet,2,"{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 70, 'AssignmentId': '35LDD5557QKF5AR13D5S2EPO4LIMK3', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 102, 'AssignmentId': '3EFE17QCRSLR1F3YHPYH1V824TWSHH', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 28, 'AssignmentId': '32AT8R96G1PW619IHO5GKAXSY1YUSK', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
spill the beans,disclose a secret or reveal something prematurely,She spilled the beans about the surprise party when she blurted out the details,0,"{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 70, 'AssignmentId': '35LDD5557QKF5AR13D5S2EPO4LIMK3', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 102, 'AssignmentId': '3EFE17QCRSLR1F3YHPYH1V824TWSHH', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 28, 'AssignmentId': '32AT8R96G1PW619IHO5GKAXSY1YUSK', 'HITId': '3WJGKMRWWXPRVYB675KQ6LTWCBPCDV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
not have a clue,to not know something.,I don't have a clue what to do,0,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 78, 'AssignmentId': '3XLBSAQ9ZKSR92J0Z86D6BGBD5YZ7P', 'HITId': '39WSF6KUWH1XWTM9T541735Y119EON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 239, 'AssignmentId': '3PXX5PX6LDEDA6EI0X2UUKBYNAKABN', 'HITId': '39WSF6KUWH1XWTM9T541735Y119EON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 561, 'AssignmentId': '3XXU1SWE82BCQJB82H55A3FFW6NA01', 'HITId': '39WSF6KUWH1XWTM9T541735Y119EON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",0,2,1,0,True,False
chip on shoulder,holding a grudge or grievance,He has a chip on his shoulder ever since his promotion got denied,0,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 78, 'AssignmentId': '3XLBSAQ9ZKSR92J0Z86D6BGBD5YZ7P', 'HITId': '39WSF6KUWH1XWTM9T541735Y119EON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 239, 'AssignmentId': '3PXX5PX6LDEDA6EI0X2UUKBYNAKABN', 'HITId': '39WSF6KUWH1XWTM9T541735Y119EON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 561, 'AssignmentId': '3XXU1SWE82BCQJB82H55A3FFW6NA01', 'HITId': '39WSF6KUWH1XWTM9T541735Y119EON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion",A storm is brewing,2,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 78, 'AssignmentId': '3XLBSAQ9ZKSR92J0Z86D6BGBD5YZ7P', 'HITId': '39WSF6KUWH1XWTM9T541735Y119EON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 239, 'AssignmentId': '3PXX5PX6LDEDA6EI0X2UUKBYNAKABN', 'HITId': '39WSF6KUWH1XWTM9T541735Y119EON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 561, 'AssignmentId': '3XXU1SWE82BCQJB82H55A3FFW6NA01', 'HITId': '39WSF6KUWH1XWTM9T541735Y119EON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,2,2,2,False,False
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,I took it on the chin,2,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 78, 'AssignmentId': '3XLBSAQ9ZKSR92J0Z86D6BGBD5YZ7P', 'HITId': '39WSF6KUWH1XWTM9T541735Y119EON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 239, 'AssignmentId': '3PXX5PX6LDEDA6EI0X2UUKBYNAKABN', 'HITId': '39WSF6KUWH1XWTM9T541735Y119EON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 561, 'AssignmentId': '3XXU1SWE82BCQJB82H55A3FFW6NA01', 'HITId': '39WSF6KUWH1XWTM9T541735Y119EON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
