Input.idiom_0,Input.meaning_0,Input.instance_0,Input.label_0,Input.idiom_1,Input.meaning_1,Input.instance_1,Input.label_1,Input.idiom_2,Input.meaning_2,Input.instance_2,Input.label_2,Input.idiom_3,Input.meaning_3,Input.instance_3,Input.label_3,Input.idiom_4,Input.meaning_4,Input.instance_4,Input.label_4,Answer.0_gold,Answer.1_gold,Answer.2_gold,Answer.3_gold,Answer.4_gold
not have a clue,to not know something.,I don't have a clue what to do,0,chip on shoulder,holding a grudge or grievance,He has a chip on his shoulder ever since his promotion got denied,0,a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion",A storm is brewing,2,take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,I took it on the chin,2,wet behind the ears,immature or poor skill,He was wet behind the ears because he had just taken a bath,1,2,0,2,2,1
not have a clue,to not know something.,I don't have a clue what to do,0,chip on shoulder,holding a grudge or grievance,He has a chip on his shoulder ever since his promotion got denied,0,a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion",A storm is brewing,2,take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,I took it on the chin,2,wet behind the ears,immature or poor skill,He was wet behind the ears because he had just taken a bath,1,1,0,2,2,1
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,He was blowing his own horn by talking about how great he is,0,pull leg,tease someone,He pulled my leg when he told me he had a pet unicorn,0,take the cake,being the best in a competition,His speech really took the cake and he ate it afterwards,1,yesterday's man,someone especially a politician whose career is finished,"He's yesterday's man, meaning that his ideas are no longer modern or relevant",0,go out with,have a romantic relationship with someone,He went out with her to some fancy restaurants,0,0,2,3,0,1
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,He was blowing his own horn by talking about how great he is,0,pull leg,tease someone,He pulled my leg when he told me he had a pet unicorn,0,take the cake,being the best in a competition,His speech really took the cake and he ate it afterwards,1,yesterday's man,someone especially a politician whose career is finished,"He's yesterday's man, meaning that his ideas are no longer modern or relevant",0,go out with,have a romantic relationship with someone,He went out with her to some fancy restaurants,0,0,0,3,2,3
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,He was blowing his own horn by talking about how great he is,0,pull leg,tease someone,He pulled my leg when he told me he had a pet unicorn,0,take the cake,being the best in a competition,His speech really took the cake and he ate it afterwards,1,yesterday's man,someone especially a politician whose career is finished,"He's yesterday's man, meaning that his ideas are no longer modern or relevant",0,go out with,have a romantic relationship with someone,He went out with her to some fancy restaurants,0,0,0,1,0,1
smooth his ruffled feathers,to make someone feel less angry or offended,I tried to smooth his ruffled feathers,2,nest egg,"an amount of money that has been saved, especially for future use",She's been saving her nest egg for the past few months,1,saved his neck,to manage to escape from serious danger or trouble,He saved his neck by coming up with a brilliant idea,0,skeleton in the closet,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose",She had a skeleton in the closet that she put there for decoration,1,big mouth,someone who talks too much,He's got a big mouth,2,0,0,0,1,2
smooth his ruffled feathers,to make someone feel less angry or offended,I tried to smooth his ruffled feathers,2,nest egg,"an amount of money that has been saved, especially for future use",She's been saving her nest egg for the past few months,1,saved his neck,to manage to escape from serious danger or trouble,He saved his neck by coming up with a brilliant idea,0,skeleton in the closet,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose",She had a skeleton in the closet that she put there for decoration,1,big mouth,someone who talks too much,He's got a big mouth,2,2,2,2,1,2
smooth his ruffled feathers,to make someone feel less angry or offended,I tried to smooth his ruffled feathers,2,nest egg,"an amount of money that has been saved, especially for future use",She's been saving her nest egg for the past few months,1,saved his neck,to manage to escape from serious danger or trouble,He saved his neck by coming up with a brilliant idea,0,skeleton in the closet,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose",She had a skeleton in the closet that she put there for decoration,1,big mouth,someone who talks too much,He's got a big mouth,2,2,0,0,1,2
coast is clear,there is no danger in sight or that nobody can see you,The coast is clear for us to plan our big project,0,loaves and fishes,done for material benefits,She collected the loaves and fishes and brought them to feed the townspeople,1,pass the torch,to pass on the responsibility,I passed the torch to the younger generation to lead the organization,0,ray of sunshine,someone or something that brings hope into the lives of others,She was a ray of sunshine in the room full of negative energy,0,a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The investigation is a witch hunt because they are trying to quickly find someone to blame,0,0,1,0,0,0
coast is clear,there is no danger in sight or that nobody can see you,The coast is clear for us to plan our big project,0,loaves and fishes,done for material benefits,She collected the loaves and fishes and brought them to feed the townspeople,1,pass the torch,to pass on the responsibility,I passed the torch to the younger generation to lead the organization,0,ray of sunshine,someone or something that brings hope into the lives of others,She was a ray of sunshine in the room full of negative energy,0,a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The investigation is a witch hunt because they are trying to quickly find someone to blame,0,0,1,0,0,0
coast is clear,there is no danger in sight or that nobody can see you,The coast is clear for us to plan our big project,0,loaves and fishes,done for material benefits,She collected the loaves and fishes and brought them to feed the townspeople,1,pass the torch,to pass on the responsibility,I passed the torch to the younger generation to lead the organization,0,ray of sunshine,someone or something that brings hope into the lives of others,She was a ray of sunshine in the room full of negative energy,0,a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The investigation is a witch hunt because they are trying to quickly find someone to blame,0,0,1,0,0,0
household name,to be very popular,He became a household name last year when his business took off,0,shades of grey,refers to a situation where things are not really clear,"It's not all shades of grey – there's also black, white and other colors as well",1,close call,a narrow escape from disaster,That was a close call since the car stopped just inches away from me,1,cost an arm and a leg,very expensive,"This painting cost an arm and a leg, which I had to pay in order to buy it",1,uncharted waters,"when you are in a situation that is unfamiliar to you, that you have no experience of and don't know what might happen",We are in uncharted waters trying to solve this problem,0,2,1,1,0,0
household name,to be very popular,He became a household name last year when his business took off,0,shades of grey,refers to a situation where things are not really clear,"It's not all shades of grey – there's also black, white and other colors as well",1,close call,a narrow escape from disaster,That was a close call since the car stopped just inches away from me,1,cost an arm and a leg,very expensive,"This painting cost an arm and a leg, which I had to pay in order to buy it",1,uncharted waters,"when you are in a situation that is unfamiliar to you, that you have no experience of and don't know what might happen",We are in uncharted waters trying to solve this problem,0,0,1,1,0,0
household name,to be very popular,He became a household name last year when his business took off,0,shades of grey,refers to a situation where things are not really clear,"It's not all shades of grey – there's also black, white and other colors as well",1,close call,a narrow escape from disaster,That was a close call since the car stopped just inches away from me,1,cost an arm and a leg,very expensive,"This painting cost an arm and a leg, which I had to pay in order to buy it",1,uncharted waters,"when you are in a situation that is unfamiliar to you, that you have no experience of and don't know what might happen",We are in uncharted waters trying to solve this problem,0,0,1,0,0,0
under your nose,"when something happens right in front of you, especially if it is surprising or audacious",It was right under your nose,2,stick in his throat,difficulty of accepting and makes you angry or resentful,The news stuck in his throat when he tried to say it out loud,1,take a leaf out of someone's book,implement actionable advice,We took a leaf out of their book and put it in our scrapbook,1,lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,I had a lump in my throat which made it difficult for me to swallow,1,"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","The car is all singing, all dancing with its fancy bells and whistles",0,2,1,2,1,0
under your nose,"when something happens right in front of you, especially if it is surprising or audacious",It was right under your nose,2,stick in his throat,difficulty of accepting and makes you angry or resentful,The news stuck in his throat when he tried to say it out loud,1,take a leaf out of someone's book,implement actionable advice,We took a leaf out of their book and put it in our scrapbook,1,lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,I had a lump in my throat which made it difficult for me to swallow,1,"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","The car is all singing, all dancing with its fancy bells and whistles",0,2,0,1,1,0
under your nose,"when something happens right in front of you, especially if it is surprising or audacious",It was right under your nose,2,stick in his throat,difficulty of accepting and makes you angry or resentful,The news stuck in his throat when he tried to say it out loud,1,take a leaf out of someone's book,implement actionable advice,We took a leaf out of their book and put it in our scrapbook,1,lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,I had a lump in my throat which made it difficult for me to swallow,1,"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","The car is all singing, all dancing with its fancy bells and whistles",0,2,0,1,2,0
kick yourself,to be angry with yourself for something you have or have not done,She kicked herself,2,shades of grey,refers to a situation where things are not really clear,It's not all shades of grey – there's a larger spectrum of emotions and complexities in life,0,lean towards,to be interested in something,They leaned towards the solution,2,sink or swim,"having to do something alone, and their success or failure depends entirely on their own efforts",He's in a sink or swim situation,2,chapter and verse,verbatim; word for word details.,She can tell you chapter and verse from the Bible,1,2,0,0,2,0
kick yourself,to be angry with yourself for something you have or have not done,She kicked herself,2,shades of grey,refers to a situation where things are not really clear,It's not all shades of grey – there's a larger spectrum of emotions and complexities in life,0,lean towards,to be interested in something,They leaned towards the solution,2,sink or swim,"having to do something alone, and their success or failure depends entirely on their own efforts",He's in a sink or swim situation,2,chapter and verse,verbatim; word for word details.,She can tell you chapter and verse from the Bible,1,2,0,0,0,2
kick yourself,to be angry with yourself for something you have or have not done,She kicked herself,2,shades of grey,refers to a situation where things are not really clear,It's not all shades of grey – there's a larger spectrum of emotions and complexities in life,0,lean towards,to be interested in something,They leaned towards the solution,2,sink or swim,"having to do something alone, and their success or failure depends entirely on their own efforts",He's in a sink or swim situation,2,chapter and verse,verbatim; word for word details.,She can tell you chapter and verse from the Bible,1,2,0,2,2,1
crocodile tears,fake cry,He was shedding crocodile tears due to a severe eye infection,1,in tandem,one after another,She worked in tandem,2,ring fencing,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation,They implemented ring fencing,2,mend fences,to try and improve a bad relationship with another party,They've been mending fences on their farm's perimeter,1,rain or shine,Doing something regularly regardless of the circumstances.,We will go rain or shine no matter how challenging the situation is,0,0,0,0,1,2
crocodile tears,fake cry,He was shedding crocodile tears due to a severe eye infection,1,in tandem,one after another,She worked in tandem,2,ring fencing,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation,They implemented ring fencing,2,mend fences,to try and improve a bad relationship with another party,They've been mending fences on their farm's perimeter,1,rain or shine,Doing something regularly regardless of the circumstances.,We will go rain or shine no matter how challenging the situation is,0,1,2,2,1,0
crocodile tears,fake cry,He was shedding crocodile tears due to a severe eye infection,1,in tandem,one after another,She worked in tandem,2,ring fencing,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation,They implemented ring fencing,2,mend fences,to try and improve a bad relationship with another party,They've been mending fences on their farm's perimeter,1,rain or shine,Doing something regularly regardless of the circumstances.,We will go rain or shine no matter how challenging the situation is,0,1,1,2,1,0
chill to the bone,to get frightened or scare somebody,The wind was chill to the bone; I felt like my very bones were freezing,1,the lion's den,a place which is uncomfortable,They walked into the lion's den despite the threats and intimidations,0,dish fit for the gods,This refers to food that is of an exemplary quality,He cooked a dish fit for the gods,2,deliver the goods,do what is required,They delivered the goods when the package arrived,1,black sheep,a disgrace,He was the black sheep in the family and an outcast in the social circle,0,1,0,0,1,0
chill to the bone,to get frightened or scare somebody,The wind was chill to the bone; I felt like my very bones were freezing,1,the lion's den,a place which is uncomfortable,They walked into the lion's den despite the threats and intimidations,0,dish fit for the gods,This refers to food that is of an exemplary quality,He cooked a dish fit for the gods,2,deliver the goods,do what is required,They delivered the goods when the package arrived,1,black sheep,a disgrace,He was the black sheep in the family and an outcast in the social circle,0,1,0,0,1,0
chill to the bone,to get frightened or scare somebody,The wind was chill to the bone; I felt like my very bones were freezing,1,the lion's den,a place which is uncomfortable,They walked into the lion's den despite the threats and intimidations,0,dish fit for the gods,This refers to food that is of an exemplary quality,He cooked a dish fit for the gods,2,deliver the goods,do what is required,They delivered the goods when the package arrived,1,black sheep,a disgrace,He was the black sheep in the family and an outcast in the social circle,0,1,0,0,1,0
no dice,not agree for something,It was no dice when I rolled that pair of dice,1,roll the dice,to gamble or take a chance on something or someone,He rolled the dice in the game of craps,1,under the weather,to be ill or feel ill,He's been under the weather,2,ants in pants,be extremely restless,She has ants in her pants because she accidently spilled her snack with the bugs in them,1,clean sweep,an irresistible victory,They made a clean sweep when they spoke up boldly and won the debate,0,1,1,0,1,0
no dice,not agree for something,It was no dice when I rolled that pair of dice,1,roll the dice,to gamble or take a chance on something or someone,He rolled the dice in the game of craps,1,under the weather,to be ill or feel ill,He's been under the weather,2,ants in pants,be extremely restless,She has ants in her pants because she accidently spilled her snack with the bugs in them,1,clean sweep,an irresistible victory,They made a clean sweep when they spoke up boldly and won the debate,0,1,1,2,1,0
no dice,not agree for something,It was no dice when I rolled that pair of dice,1,roll the dice,to gamble or take a chance on something or someone,He rolled the dice in the game of craps,1,under the weather,to be ill or feel ill,He's been under the weather,2,ants in pants,be extremely restless,She has ants in her pants because she accidently spilled her snack with the bugs in them,1,clean sweep,an irresistible victory,They made a clean sweep when they spoke up boldly and won the debate,0,3,1,2,1,0
out of business,out of operational conditions,They're out of business since competitors have steadily taken away their customer base,0,hit the roof,experience sudden anger,He hit the roof when he joined the high-jump competition,1,a cuckoo in the nest,an unwelcome intruder in a place or situation.,He was a cuckoo in the nest as he sneaked his way in,1,the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,"The early bird caught the worm, which was a metaphor for being successful as a reward for hard work",0,straighten up and fly right,to get serious and stop acting absurd anymore.,"He decided to straighten up and fly right, adjusting the position of his wings to gain more elevation",1,0,1,0,0,1
out of business,out of operational conditions,They're out of business since competitors have steadily taken away their customer base,0,hit the roof,experience sudden anger,He hit the roof when he joined the high-jump competition,1,a cuckoo in the nest,an unwelcome intruder in a place or situation.,He was a cuckoo in the nest as he sneaked his way in,1,the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,"The early bird caught the worm, which was a metaphor for being successful as a reward for hard work",0,straighten up and fly right,to get serious and stop acting absurd anymore.,"He decided to straighten up and fly right, adjusting the position of his wings to gain more elevation",1,1,1,0,0,1
out of business,out of operational conditions,They're out of business since competitors have steadily taken away their customer base,0,hit the roof,experience sudden anger,He hit the roof when he joined the high-jump competition,1,a cuckoo in the nest,an unwelcome intruder in a place or situation.,He was a cuckoo in the nest as he sneaked his way in,1,the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,"The early bird caught the worm, which was a metaphor for being successful as a reward for hard work",0,straighten up and fly right,to get serious and stop acting absurd anymore.,"He decided to straighten up and fly right, adjusting the position of his wings to gain more elevation",1,2,1,0,0,1
make a beeline for,to go straight for something.,"He made a beeline for the park, eager for the fresh air and greenery",0,eye candy,attractive visually but uninteresting in other ways,"That car is eye candy, I think it's the most attractive and luxurious car I've seen",0,go steady,have a romantic relationship with someone,They've been going steady,2,fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,He is fiddling while Rome burns as the city is being engulfed by flames,1,run a tight ship,to be strict about something,He runs a tight ship by making sure everyone on board follows the stern rules and regulations,1,0,0,2,1,0
make a beeline for,to go straight for something.,"He made a beeline for the park, eager for the fresh air and greenery",0,eye candy,attractive visually but uninteresting in other ways,"That car is eye candy, I think it's the most attractive and luxurious car I've seen",0,go steady,have a romantic relationship with someone,They've been going steady,2,fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,He is fiddling while Rome burns as the city is being engulfed by flames,1,run a tight ship,to be strict about something,He runs a tight ship by making sure everyone on board follows the stern rules and regulations,1,1,0,1,1,0
make a beeline for,to go straight for something.,"He made a beeline for the park, eager for the fresh air and greenery",0,eye candy,attractive visually but uninteresting in other ways,"That car is eye candy, I think it's the most attractive and luxurious car I've seen",0,go steady,have a romantic relationship with someone,They've been going steady,2,fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,He is fiddling while Rome burns as the city is being engulfed by flames,1,run a tight ship,to be strict about something,He runs a tight ship by making sure everyone on board follows the stern rules and regulations,1,0,0,2,1,2
sea change,to have a big change in perspective,The company underwent a sea change,2,seal of approval,an official sign of approval,I got my seal of approval when I ordered a stamp with my signature on it,1,in light of,because of,I changed my plans in light of the sun setting,1,a house of cards,something that can easily be broken or crumble by itself,"This business is a house of cards, which was constructed using playing cards",1,on its knees,something that is in a very weak situation or on the verge of failure,The company is on its knees as it struggles to survive due to its financial difficulties,0,0,1,2,1,0
sea change,to have a big change in perspective,The company underwent a sea change,2,seal of approval,an official sign of approval,I got my seal of approval when I ordered a stamp with my signature on it,1,in light of,because of,I changed my plans in light of the sun setting,1,a house of cards,something that can easily be broken or crumble by itself,"This business is a house of cards, which was constructed using playing cards",1,on its knees,something that is in a very weak situation or on the verge of failure,The company is on its knees as it struggles to survive due to its financial difficulties,0,0,1,0,1,0
sea change,to have a big change in perspective,The company underwent a sea change,2,seal of approval,an official sign of approval,I got my seal of approval when I ordered a stamp with my signature on it,1,in light of,because of,I changed my plans in light of the sun setting,1,a house of cards,something that can easily be broken or crumble by itself,"This business is a house of cards, which was constructed using playing cards",1,on its knees,something that is in a very weak situation or on the verge of failure,The company is on its knees as it struggles to survive due to its financial difficulties,0,0,1,1,1,0
under a cloud,under suspicion,She was under a cloud when she was walking in the park,1,ready to drop,to be extremely tired and nearly too exhausted to stay standing,I'm ready to drop,2,looked through colored glasses,to look the things not as they are; having a heavily biased worldview,I looked through colored glasses and misunderstood the whole situation,0,just off the boat,a person who is naive and inexperienced,"He's just off the boat, but he's already been living the high life",0,by dint of,as a result of something,"He graduated by dint of"" ",2,2,2,0,1,1
under a cloud,under suspicion,She was under a cloud when she was walking in the park,1,ready to drop,to be extremely tired and nearly too exhausted to stay standing,I'm ready to drop,2,looked through colored glasses,to look the things not as they are; having a heavily biased worldview,I looked through colored glasses and misunderstood the whole situation,0,just off the boat,a person who is naive and inexperienced,"He's just off the boat, but he's already been living the high life",0,by dint of,as a result of something,"He graduated by dint of"" ",2,2,2,0,0,3
under a cloud,under suspicion,She was under a cloud when she was walking in the park,1,ready to drop,to be extremely tired and nearly too exhausted to stay standing,I'm ready to drop,2,looked through colored glasses,to look the things not as they are; having a heavily biased worldview,I looked through colored glasses and misunderstood the whole situation,0,just off the boat,a person who is naive and inexperienced,"He's just off the boat, but he's already been living the high life",0,by dint of,as a result of something,"He graduated by dint of"" ",2,2,2,0,0,3
get your goat,irritate somebody,He got my goat when he ruined my plans for the holiday,0,a cut above,noticeably greater to,This project is a cut above the rest and stands out from all the others,0,bitter pill,something unpleasant to be endured,I had to swallow the bitter pill,2,lights are on but nobody is home,used to describe a stupid person.,His lights are on but nobody is home,2,out of business,out of operational conditions,They're out of business since they can no longer pay their rent,1,0,0,2,0,1
get your goat,irritate somebody,He got my goat when he ruined my plans for the holiday,0,a cut above,noticeably greater to,This project is a cut above the rest and stands out from all the others,0,bitter pill,something unpleasant to be endured,I had to swallow the bitter pill,2,lights are on but nobody is home,used to describe a stupid person.,His lights are on but nobody is home,2,out of business,out of operational conditions,They're out of business since they can no longer pay their rent,1,0,0,2,2,1
get your goat,irritate somebody,He got my goat when he ruined my plans for the holiday,0,a cut above,noticeably greater to,This project is a cut above the rest and stands out from all the others,0,bitter pill,something unpleasant to be endured,I had to swallow the bitter pill,2,lights are on but nobody is home,used to describe a stupid person.,His lights are on but nobody is home,2,out of business,out of operational conditions,They're out of business since they can no longer pay their rent,1,0,0,2,2,1
blue eyed boy,a person who is treated with special favor.,He stayed the blue eyed boy as he was always the apple of his teacher's eye,0,have eyes only for,be attracted to someone exclusively,He had eyes only for her and didn't pay attention to anyone else in the room,0,hit the hay,to go to sleep or head to bed.,I hit the hay early because I needed a soft sleeping surface,1,sea change,to have a big change in perspective,The company underwent a sea change when it moved its headquarters from the city to the seaside,1,in one's blood,a natural or inherited characteristic.,It runs in his blood since he is related to the royal family,1,0,0,1,1,0
blue eyed boy,a person who is treated with special favor.,He stayed the blue eyed boy as he was always the apple of his teacher's eye,0,have eyes only for,be attracted to someone exclusively,He had eyes only for her and didn't pay attention to anyone else in the room,0,hit the hay,to go to sleep or head to bed.,I hit the hay early because I needed a soft sleeping surface,1,sea change,to have a big change in perspective,The company underwent a sea change when it moved its headquarters from the city to the seaside,1,in one's blood,a natural or inherited characteristic.,It runs in his blood since he is related to the royal family,1,1,1,1,1,1
blue eyed boy,a person who is treated with special favor.,He stayed the blue eyed boy as he was always the apple of his teacher's eye,0,have eyes only for,be attracted to someone exclusively,He had eyes only for her and didn't pay attention to anyone else in the room,0,hit the hay,to go to sleep or head to bed.,I hit the hay early because I needed a soft sleeping surface,1,sea change,to have a big change in perspective,The company underwent a sea change when it moved its headquarters from the city to the seaside,1,in one's blood,a natural or inherited characteristic.,It runs in his blood since he is related to the royal family,1,0,0,1,1,1
hit the nail on the head,be accurately right about something,He hit the nail on the head when he completed the task perfectly,1,at the heels of,close behind or soon after something,"They arrived at the heels of the others, running in a single-file line",1,broken heart,"when a person is emotionally sad or grief-stricken, then it's broken hearted",He has a broken heart because he suffered from a heart attack,1,break down,to stop working,He had a breakdown due to too much stress,0,that's going too far,to do something that is considered extreme or unacceptable,He said that's going too far when I tried to walk across the room without bending my knees,1,0,1,1,0,1
hit the nail on the head,be accurately right about something,He hit the nail on the head when he completed the task perfectly,1,at the heels of,close behind or soon after something,"They arrived at the heels of the others, running in a single-file line",1,broken heart,"when a person is emotionally sad or grief-stricken, then it's broken hearted",He has a broken heart because he suffered from a heart attack,1,break down,to stop working,He had a breakdown due to too much stress,0,that's going too far,to do something that is considered extreme or unacceptable,He said that's going too far when I tried to walk across the room without bending my knees,1,0,1,1,0,0
hit the nail on the head,be accurately right about something,He hit the nail on the head when he completed the task perfectly,1,at the heels of,close behind or soon after something,"They arrived at the heels of the others, running in a single-file line",1,broken heart,"when a person is emotionally sad or grief-stricken, then it's broken hearted",He has a broken heart because he suffered from a heart attack,1,break down,to stop working,He had a breakdown due to too much stress,0,that's going too far,to do something that is considered extreme or unacceptable,He said that's going too far when I tried to walk across the room without bending my knees,1,0,1,1,1,2
