annotations_ambiguous,annotations_figurative,annotations_literal,bad_idiom,converted,error,idiom,intended_ambiguous,intended_ambiguous_old,intended_figurative,intended_figurative_old,intended_literal,intended_literal_old,is_literal,iter,justification,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,well_formed
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']",False,False,False,a roof over your head,having a roof over your head,He has a roof over his head,finding a job is essential for having a roof over your head,"He has a roof over his head, meaning he has a place to stay and someone to rely on","during the rainstorm, having a roof over your head kept you dry","He has a roof over his head, literally providing a cover from the rain",True,0,"In this context, the idiom 'a roof over your head' is used literally, as it refers to an actual roof providing shelter from the rain.",ambiguous : figurative : literal,ambiguous,figurative,literal,a place to live,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",False,False,False,a screw loose,has a screw loose,I think he has a screw loose,he has a screw loose if he thinks he can quit his job without consequences,I think he has a screw loose because of the outrageous things he does,the wobbly table has a screw loose and needs to be fixed,I think he has a screw loose because the machine is malfunctioning,True,0,"In this context, the idiom 'a screw loose' is used literally to describe a physical screw that is not properly tightened in the table, causing it to wobble.",ambiguous : figurative : literal,ambiguous,figurative,literal,someone who behaves in a strange way and seem slightly mentally ill,True
"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,False,False,a storm is brewing,a storm is brewing in the distance,A storm is brewing,"with the tension between the two groups, a storm is brewing in the distance",A storm is brewing; it's only a matter of time before everything starts to fall apart,"dark clouds are gathering, and a storm is brewing in the distance",A storm is brewing; rain clouds have been gathering in the sky,True,0,"In this case, the hypothesis is a literal interpretation of the idiom, as it describes an actual storm forming with dark clouds gathering in the distance.",ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,"there is going to be trouble, probably with outbursts of anger or emotion",False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",False,False,False,a trip to the sun,planned a trip to the sun,He took a trip to the sun,he planned a trip to the sun when he decided to pursue his wildest dreams,He took a trip to the sun in order to find new inspiration for his art work,the science fiction writer planned a trip to the sun for her characters in the novel,He took a trip to the sun by building a space shuttle,True,0,"The idiom 'a trip to the sun' is not a common idiom, but in this context, it is used literally as the characters in the novel are actually planning a trip to the sun.",figurative : figurative : literal,figurative,figurative,literal,something which is very unlikely,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,False,False,a voice crying in the wilderness,a voice crying in the wilderness,She's a voice crying in the wilderness,"his warnings about climate change were like a voice crying in the wilderness, as few people paid attention",She's a voice crying in the wilderness as she protests against the injustice in the society,"while hiking, they heard a voice crying in the wilderness and went to investigate",She's a voice crying in the wilderness as she screams for help from the remote location,True,0,"In this context, the idiom is used literally as it describes a voice actually crying in a wilderness area, rather than its figurative meaning of expressing an unpopular opinion or belief.",ambiguous : figurative : literal,ambiguous,figurative,literal,to say something that is not popular,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,True,False,a wakeup call,she received a wakeup call,It's a wakeup call,"after failing the exam, she received a wakeup call to study harder",It's a wakeup call for me to start being more responsible with my time,she received a wakeup call from the hotel's front desk at 6 a.m.,It's a wakeup call because the alarm just went off,True,0,"In this context, 'a wakeup call' is used in its literal sense, referring to a phone call made to wake someone up, rather than its figurative meaning of a sudden realization or event that prompts change.",ambiguous : figurative : literal,ambiguous,figurative,literal,something that makes you realize that you need to take action to change a situation,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,a wet blanket,being a wet blanket,He's a wet blanket,"he was always being a wet blanket at parties, constantly complaining","He's a wet blanket, extinguishing any enthusiasm in the room","after the rainstorm, the picnic blanket was being a wet blanket on the ground","He's a wet blanket, literally drenching the atmosphere with water",True,0,"In this sentence, the phrase 'wet blanket' is used to describe the physical state of the picnic blanket after the rainstorm, which is a literal interpretation of the idiom.",ambiguous : figurative : literal,ambiguous,figurative,literal,a person who spoils other people's fun.,True
"['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']",False,False,False,a whale of,<had a whale of a time>,She had a whale of a time,we <had a whale of a time> at the amusement park,She had a whale of a time at the amusement park,the marine biologist <had a whale of a time> studying the giant creature,She had a whale of a time cutting up the whale,False,0,"The idiom 'a whale of' is used figuratively to mean 'a very large amount' or 'an exceptionally good time'. In the hypothesis, it is used to describe the marine biologist's enjoyment, not a literal whale.",figurative : figurative : figurative,figurative,figurative,figurative,very big (piece) of something,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,a whole new ball game,it's a whole new ball game,This is a whole new ball game,"after the company's merger, it's a whole new ball game for the employees",This is a whole new ball game now that we've received the grant,"when they switched from soccer to baseball, it's a whole new ball game for the players","This is a whole new ball game, as we just switched to soccer",True,0,"In this context, the idiom 'a whole new ball game' is used literally, as the players are actually switching from one sport (soccer) to another (baseball), which involves different rules, skills, and equipment.",ambiguous : figurative : literal,ambiguous,figurative,literal,a significant change in circumstances.,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,a witch hunt,started a witch hunt,The investigation is a witch hunt,the company started a witch hunt to find the person responsible for the leak,The investigation is a witch hunt because they are trying to quickly find someone to blame,"during the historical reenactment, they started a witch hunt to portray the events accurately",The investigation is a witch hunt as they are trying to identify and punish a witch,True,0,"In this context, the phrase 'witch hunt' is used to describe an actual historical event where people hunted for witches, rather than its figurative meaning of unfairly targeting someone or a group of people.",figurative : figurative : literal,figurative,figurative,literal,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,above board,keep everything above board,Everything was above board,"to maintain trust, it's important to keep everything above board in business dealings","Everything was above board, which was a relief, especially in this difficult political climate","to prevent water damage, we must keep everything above board on the ship","Everything was above board, literally visible to everyone",True,0,"In this context, 'above board' is used literally to mean keeping things above the deck of the ship to prevent water damage, rather than its idiomatic meaning of being honest or transparent.",ambiguous : figurative : literal,ambiguous,figurative,literal,"straight; without concealment, legitimate; open",True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,Achilles heel,his Achilles heel,This is his Achilles heel,"despite his intelligence, procrastination was his Achilles heel","This is his Achilles heel, as he always has difficulty containing his emotions","during the anatomy class, we studied his Achilles heel and its function","This is his Achilles heel, as he has a weak spot on the back of his heel where he gets injured easily",True,0,"In this context, 'Achilles heel' is used to refer to the actual anatomical part of the body, which is a literal interpretation of the term, rather than its idiomatic meaning of a person's weakness or vulnerability.",ambiguous : figurative : literal,ambiguous,figurative,literal,a vulnerable spot or weakness,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,acid test,<the acid test of their friendship>,We have to put this to the acid test,going through a difficult situation together was <the acid test of their friendship>,We have to put this to the acid test to see if it will help us in the long run,"using a chemical experiment as <the acid test of their friendship>, they determined the purity of the gold",We have to put this to the acid test to see if it remains the same after a chemical reaction,False,0,"The hypothesis is not a literal interpretation of the idiom 'acid test', as it is used figuratively to describe a crucial or decisive test of the quality or worth of something. The chemistry lab experiment is used as a metaphor for a challenging situation that tests their relationship.",ambiguous : figurative : literal,ambiguous,figurative,literal,a test that proves a hypothesis or validity of a product or idea,True
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']",False,False,False,across the board,improvements across the board,We took action across the board,the company saw improvements across the board after implementing new strategies,We took action across the board to make sure the situation was handled efficiently,the chess master made improvements across the board by adjusting the positions of his pieces,We took action across the board that was laid out in front of us,True,0,"In this context, 'across the board' is used literally to describe the chessboard and the adjustments made to the positions of the pieces on it.",figurative : figurative : figurative,figurative,figurative,figurative,applying to everyone,False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'ambiguous']",False,False,False,act of God,<an act of God>,It was an act of God,the sudden storm that saved the village was <an act of God>,It was an act of God when the hurricane destroyed our town,"in the play, the actor portrayed Zeus performing <an act of God> by throwing a lightning bolt",It was an act of God when the choir sang to praise Him,False,0,"The idiom 'act of God' usually refers to a natural disaster or event that is beyond human control. In the hypothesis, the actor is performing an action related to a god, but it is not a literal interpretation of the idiom as it is still a theatrical performance and not an actual natural event.",figurative : figurative : ambiguous,figurative,figurative,ambiguous,an occurrence of out of control natural forces in action,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,True,False,add fuel to the flames,they added fuel to the flames,He added fuel to the flames,"by spreading rumors, they added fuel to the flames of the ongoing conflict",He added fuel to the flames by arguing and making things worse,"to keep the bonfire going, they added fuel to the flames by throwing more wood",He added fuel to the flames by placing some fuel on the burning log,True,0,"The hypothesis is a literal interpretation of the idiom, as it describes physically adding fuel (wood) to a fire, rather than the figurative meaning of making a situation worse.",ambiguous : figurative : literal,ambiguous,figurative,literal,"an action, whether verbal or physical that makes a bad situation even worse",True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,afraid of my own shadow,<afraid of my own shadow>,"I'm afraid of my own shadow"" ","after watching that horror movie, I was <afraid of my own shadow> for days",I'm afraid of my own shadow because I'm always anxious over every little thing,the strange lighting in the room made me <afraid of my own shadow> on the wall,I'm afraid of my own shadow because it's always following me,False,0,"The hypothesis is not a literal interpretation of the idiom, as it uses the idiom figuratively to describe being extremely jumpy or easily frightened, rather than actually being afraid of one's own shadow.",ambiguous : figurative : literal,ambiguous,figurative,literal,to be very nervous or easily frightened,True
"['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'figurative']","['literal', 'literal', 'literal']",False,False,False,against the clock,racing against the clock,We are working against the clock,"with the deadline approaching, we were racing against the clock to finish the project",We are working against the clock to make sure the project gets finished on time,"in the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",We are working against the clock because it's ticking loudly,True,0,"The hypothesis describes a situation where participants are literally racing against a physical clock on wheels, which is a literal interpretation of the idiom 'against the clock' rather than its figurative meaning of being pressed for time.",ambiguous : literal : literal,ambiguous,literal,literal,in a great hurry to finish something before a particular time,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,against the grain,going against the grain,She always goes against the grain,his decision to quit his job was going against the grain of his family's expectations,She always goes against the grain by challenging the status quo and thinking outside the box,"when sanding wood, going against the grain can cause scratches and damage","She always goes against the grain, literally carving a piece of wood in the opposite direction",True,0,"The hypothesis is a literal interpretation of the idiom 'against the grain', as it refers to the actual process of sanding wood and the direction in which one sands in relation to the wood grain.",ambiguous : figurative : literal,ambiguous,figurative,literal,a difficult path to be followed,True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']","['literal', 'figurative', 'figurative']",False,False,False,ages,haven't seen you in ages,He's been waiting ages,it feels like I haven't seen you in ages since we last met,He's been waiting ages for her to make a decision,"during our time-travel adventure, I haven't seen you in ages as we got separated in different eras","He's been waiting ages, since he started at 9 a.m",True,1,"In this context, 'ages' is used to describe a long period of time, which is a literal interpretation of the word. The sentence is about time-travel and being separated in different eras, making the use of 'ages' literal.",figurative : figurative : figurative,figurative,figurative,figurative,a long time; a very long time,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,ahead of the curve,staying ahead of the curve,She's ahead of the curve,"by constantly learning new skills, she was staying ahead of the curve in her industry","She's ahead of the curve, always thinking about what's new and cutting-edge",the race car driver was staying ahead of the curve by maintaining a lead on the track,"She's ahead of the curve, as her car was in front of the other cars on the highway",True,0,"In this context, 'ahead of the curve' is used literally to describe the race car driver's position on the track, rather than its figurative meaning of being innovative or advanced.",ambiguous : figurative : literal,ambiguous,figurative,literal,better than others,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,False,False,ahead of the pack,staying ahead of the pack,He's ahead of the pack,"by consistently innovating, the company is staying ahead of the pack in the industry",He's ahead of the pack because of his quick thinking and step ahead of others,"during the marathon, the lead runner was staying ahead of the pack of other runners",He's ahead of the pack by a few meters due to his fast running speed,True,0,"In this context, 'ahead of the pack' is used literally to describe the lead runner's position in front of the group of other runners during the marathon.",ambiguous : figurative : literal,ambiguous,figurative,literal,more successful than other people who are trying to achieve the same things,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,air their dirty laundry,aired their dirty laundry,We air our dirty laundry,"during the family reunion, they aired their dirty laundry in front of everyone","We air our dirty laundry to other people, meaning we expose our secrets and flaws to them",they aired their dirty laundry outside on the clothesline,We air our dirty laundry on the clothesline,True,0,"The hypothesis is a literal interpretation of the idiom, as it refers to physically hanging dirty clothes outside on a clothesline, rather than the figurative meaning of discussing private matters in public.",ambiguous : figurative : literal,ambiguous,figurative,literal,to make public something embarrassing that should be kept secret,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,False,False,all bark and no bite,<seemed all bark and no bite>,He is all bark and no bite,"despite his aggressive demeanor, he <seemed all bark and no bite> when it came to taking action",He is all bark and no bite and is too afraid to take any action,the dog <seemed all bark and no bite> as it barked loudly but didn't attempt to bite anyone,He is all bark and no bite as he only barks and never bites,False,0,"The idiom 'all bark and no bite' is used figuratively to describe someone who talks tough but doesn't follow through with actions. In this case, it is applied to a dog, but the meaning is still figurative, as it refers to the dog's behavior and not its literal barking and biting.",ambiguous : figurative : literal,ambiguous,figurative,literal,"threatening, aggressive, but not willing to engage in a fight",True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,False,False,all ears,be all ears,I'm all ears,"when she started telling her story, I promised to be all ears","I'm all ears, ready to listen to you attentively","in the surreal art exhibit, the walls appeared to be all ears","I'm all ears, literally ready to hear you from my two ears",True,0,"In this context, the phrase 'all ears' is used to describe the walls in a surreal art exhibit, which could literally have ears on them. This is a literal interpretation of the idiom, as it does not refer to the figurative meaning of being attentive or listening carefully.",figurative : figurative : literal,figurative,figurative,literal,saying that you are all ears means the other person has got your full attention in terms of listening to him,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,all Greek to me,it's all Greek to me,It's all Greek to me,"when he started talking about quantum physics, it's all Greek to me",It's all Greek to me when they talk about the stock market,"since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",It's all Greek to me when they start speaking the language,True,0,"In this case, the hypothesis is a literal interpretation of the idiom because the speaker is actually referring to the Greek language, which they do not understand.",ambiguous : figurative : literal,ambiguous,figurative,literal,used to convey that you cannot understand what is being said or written,True
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,False,False,"all singing, all dancing","an all singing, all dancing event","The car is all singing, all dancing","the company's annual party was an all singing, all dancing event with various performances","The car is all singing, all dancing with its fancy bells and whistles","the talent show was an all singing, all dancing event where every participant sang and danced simultaneously","The car is all singing, all dancing with its new sound system and air freshener",True,0,"In this case, the idiom 'all singing, all dancing' is used literally, as it describes an event where participants are actually singing and dancing simultaneously.",ambiguous : figurative : figurative,ambiguous,figurative,figurative,"Something that is full of verve, vivacity and liveliness.",False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,False,False,all the rage,<that hairstyle is all the rage>,It's all the rage,"in the 80s, <that hairstyle is all the rage> among teenagers",It's all the rage these days to wear bright shoes and headbands,"when the stylist messed up her hair, <that hairstyle is all the rage> she felt",It's all the rage in the conference room because all the executives are talking about it,False,0,"The idiom 'all the rage' is used figuratively to mean something is very popular or fashionable. In the hypothesis, it is used to describe the popularity of a fashion trend, not the literal anger of the customers.",ambiguous : figurative : figurative,ambiguous,figurative,figurative,when something is the height of popularity,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,False,False,all the way up,went all the way up,She goes all the way up,her career went all the way up after she landed a major role in a blockbuster movie,She goes all the way up the corporate ladder,the elevator went all the way up to the top floor of the building,She goes all the way up the stairs,True,0,"In this context, 'all the way up' is used to describe the elevator's movement to the top floor, which is a literal interpretation of the phrase.",ambiguous : figurative : literal,ambiguous,figurative,literal,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']",False,False,False,an arm and a leg,<cost an arm and a leg>,"The cost of the restaurant was an arm and a leg"" ","the luxury car <cost an arm and a leg>, but he still bought it","The cost of the restaurant was an arm and a leg, since it was such an expensive meal",the prosthetic limbs exhibit <cost an arm and a leg> to produce," ""The cost of the restaurant was an arm and a leg, literally",False,0,"Although the hypothesis mentions prosthetic limbs, the phrase 'an arm and a leg' is used figuratively to describe the high cost of the items, not the literal loss of limbs.",figurative : figurative : figurative,figurative,figurative,figurative,a large amount of money,False
"['ambiguous', 'ambiguous', 'literal']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,False,False,an item,became an item,"It's an item on the list"" ","after months of dating, they finally became an item and made their relationship official",It's an item on the list that I just can't seem to check off,"in the virtual reality game, the player's avatar became an item to be collected by others",It's an item on the list that needs to be purchased at the store,True,0,"In this context, 'an item' is used to describe a virtual object that can be collected by players in a game, which is a literal interpretation of the word 'item'.",ambiguous : literal : literal,ambiguous,literal,literal,be involved in a romantic relationship,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,True,ants in pants,had ants in his pants,She has ants in her pants,he had ants in his pants and couldn't focus on the presentation,She has ants in her pants because she's full of energy and can't sit still,"while picnicking, he accidentally sat on an anthill and had ants in his pants",She has ants in her pants because she accidently spilled her snack with the bugs in them,True,1,"The hypothesis describes a situation where the person literally has ants in his pants due to sitting on an anthill, which is a literal interpretation of the idiom.",ambiguous : figurative : literal,ambiguous,figurative,literal,be extremely restless,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,apple polisher,being an apple polisher,He's an apple polisher,he got the promotion by being an apple polisher and constantly flattering the boss,He's an apple polisher who always attempts to impress his teacher with flattering comments when he should be focusing on his work,she took up the job of being an apple polisher at the fruit market,He's an apple polisher who spends a significant amount of time attempt to make the apples look shiny and perfect,True,0,"In this sentence, 'apple polisher' is used to describe someone who literally polishes apples at a fruit market, rather than its figurative meaning of someone who flatters or tries to gain favor from others.",ambiguous : figurative : literal,ambiguous,figurative,literal,a flatterer; toady,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'ambiguous', 'literal']","['literal', 'ambiguous', 'literal']",False,False,False,apples and oranges,comparing apples and oranges,That's like comparing apples and oranges,arguing about their preferences in music was like comparing apples and oranges,"That's like comparing apples and oranges, since they are completely incomparable","at the grocery store, they were comparing apples and oranges to decide which fruit to buy","That's like comparing apples and oranges, since they are two different types of fruits",True,0,"In this context, the idiom 'apples and oranges' is used literally, as they are actually comparing two different fruits at the grocery store.",figurative : ambiguous : literal,figurative,ambiguous,literal,two things that are fundamentally different and therefore not suited to comparison,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,False,False,apples to apples,compare apples to apples,Let's compare apples to apples,"to make a fair judgment, we need to compare apples to apples in this situation",Let's compare apples to apples to see which product is better,"in the fruit market, we had to compare apples to apples to find the best quality",Let's compare apples to apples to see which one tastes sweeter,True,0,"The hypothesis is a literal interpretation of the idiom because it refers to physically comparing apples in a fruit market, rather than using the idiom to describe comparing similar things or situations.",ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,having a fair comparison between the two things,False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,False,False,arm in arm,walked arm in arm,They walked arm in arm,the two companies walked arm in arm in their joint venture,"They walked arm in arm, showing their strong bond of friendship","the couple walked arm in arm down the street, enjoying the evening","They walked arm in arm, with their arms linked around each other",True,0,"In this case, the idiom 'arm in arm' is used literally, as it describes the physical action of the couple linking their arms together while walking down the street.",ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to be closely allied,False
