idiom,meaning,intended_ambiguous,intended_figurative,intended_literal,is_literal,justification,converted,iter,bad_idiom,error,intended_ambiguous_old,intended_figurative_old,intended_literal_old,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,well_formed,annotations_ambiguous,annotations_figurative,annotations_literal
a roof over your head,a place to live,having a roof over your head,finding a job is essential for having a roof over your head,"during the rainstorm, having a roof over your head kept you dry",True,"In this context, the idiom 'a roof over your head' is used literally, as it refers to an actual roof providing shelter from the rain.",False,0,False,False,He has a roof over his head,"He has a roof over his head, meaning he has a place to stay and someone to rely on","He has a roof over his head, literally providing a cover from the rain",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']"
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,has a screw loose,he has a screw loose if he thinks he can quit his job without consequences,the wobbly table has a screw loose and needs to be fixed,True,"In this context, the idiom 'a screw loose' is used literally to describe a physical screw that is not properly tightened in the table, causing it to wobble.",False,0,False,False,I think he has a screw loose,I think he has a screw loose because of the outrageous things he does,I think he has a screw loose because the machine is malfunctioning,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']"
a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion",a storm is brewing in the distance,"with the tension between the two groups, a storm is brewing in the distance","dark clouds are gathering, and a storm is brewing in the distance",True,"In this case, the hypothesis is a literal interpretation of the idiom, as it describes an actual storm forming with dark clouds gathering in the distance.",False,0,False,False,A storm is brewing,A storm is brewing; it's only a matter of time before everything starts to fall apart,A storm is brewing; rain clouds have been gathering in the sky,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,False,"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']"
a trip to the sun,something which is very unlikely,planned a trip to the sun,he planned a trip to the sun when he decided to pursue his wildest dreams,the science fiction writer planned a trip to the sun for her characters in the novel,True,"The idiom 'a trip to the sun' is not a common idiom, but in this context, it is used literally as the characters in the novel are actually planning a trip to the sun.",False,0,False,False,He took a trip to the sun,He took a trip to the sun in order to find new inspiration for his art work,He took a trip to the sun by building a space shuttle,figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']"
a voice crying in the wilderness,to say something that is not popular,a voice crying in the wilderness,"his warnings about climate change were like a voice crying in the wilderness, as few people paid attention","while hiking, they heard a voice crying in the wilderness and went to investigate",True,"In this context, the idiom is used literally as it describes a voice actually crying in a wilderness area, rather than its figurative meaning of expressing an unpopular opinion or belief.",False,0,False,False,She's a voice crying in the wilderness,She's a voice crying in the wilderness as she protests against the injustice in the society,She's a voice crying in the wilderness as she screams for help from the remote location,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']"
a wakeup call,something that makes you realize that you need to take action to change a situation,she received a wakeup call,"after failing the exam, she received a wakeup call to study harder",she received a wakeup call from the hotel's front desk at 6 a.m.,True,"In this context, 'a wakeup call' is used in its literal sense, referring to a phone call made to wake someone up, rather than its figurative meaning of a sudden realization or event that prompts change.",False,0,False,False,It's a wakeup call,It's a wakeup call for me to start being more responsible with my time,It's a wakeup call because the alarm just went off,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
a wet blanket,a person who spoils other people's fun.,being a wet blanket,"he was always being a wet blanket at parties, constantly complaining","after the rainstorm, the picnic blanket was being a wet blanket on the ground",True,"In this sentence, the phrase 'wet blanket' is used to describe the physical state of the picnic blanket after the rainstorm, which is a literal interpretation of the idiom.",False,0,False,False,He's a wet blanket,"He's a wet blanket, extinguishing any enthusiasm in the room","He's a wet blanket, literally drenching the atmosphere with water",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
a whale of,very big (piece) of something,<had a whale of a time>,"at the amusement park, we <had a whale of a time> enjoying the rides and attractions",the marine biologist <had a whale of a time> studying the behavior of humpback whales,False,"The idiom 'a whale of a time' is used figuratively to mean having a great time or enjoying oneself immensely. The hypothesis is not a literal interpretation, as it does not involve an actual whale but rather uses the idiom to describe the marine biologist's experience.",False,0,False,False,She had a whale of a time,She had a whale of a time at the amusement park,She had a whale of a time cutting up the whale,figurative : figurative : figurative,figurative,figurative,figurative,False,"['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']"
a whole new ball game,a significant change in circumstances.,it's a whole new ball game,"after the company's merger, it's a whole new ball game for the employees","when they switched from soccer to baseball, it's a whole new ball game for the players",True,"In this context, the idiom 'a whole new ball game' is used literally, as the players are actually switching from one sport (soccer) to another (baseball), which involves different rules, skills, and equipment.",False,0,False,False,This is a whole new ball game,This is a whole new ball game now that we've received the grant,"This is a whole new ball game, as we just switched to soccer",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,started a witch hunt,the company started a witch hunt to find the person responsible for the leak,"during the historical reenactment, they started a witch hunt to portray the events accurately",True,"In this context, the phrase 'witch hunt' is used to describe an actual historical event where people hunted for witches, rather than its figurative meaning of unfairly targeting someone or a group of people.",False,0,False,False,The investigation is a witch hunt,The investigation is a witch hunt because they are trying to quickly find someone to blame,The investigation is a witch hunt as they are trying to identify and punish a witch,figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
above board,"straight; without concealment, legitimate; open",keep everything above board,"to maintain trust, it's important to keep everything above board in business dealings","to prevent water damage, we must keep everything above board on the ship",True,"In this context, 'above board' is used literally to mean keeping things above the deck of the ship to prevent water damage, rather than its idiomatic meaning of being honest or transparent.",False,0,False,False,Everything was above board,"Everything was above board, which was a relief, especially in this difficult political climate","Everything was above board, literally visible to everyone",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
Achilles heel,a vulnerable spot or weakness,his Achilles heel,"despite his intelligence, procrastination was his Achilles heel","during the anatomy class, we studied his Achilles heel and its function",True,"In this context, 'Achilles heel' is used to refer to the actual anatomical part of the body, which is a literal interpretation of the term, rather than its idiomatic meaning of a person's weakness or vulnerability.",False,0,False,False,This is his Achilles heel,"This is his Achilles heel, as he always has difficulty containing his emotions","This is his Achilles heel, as he has a weak spot on the back of his heel where he gets injured easily",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
acid test,a test that proves a hypothesis or validity of a product or idea,the acid test of their friendship,going through a difficult situation together was the acid test of their friendship,"using a chemical experiment as the acid test of their friendship, they determined the purity of the gold",True,"In this sentence, the idiom 'acid test' is used in a literal sense, as it refers to an actual chemical experiment to determine the purity of gold.",False,0,False,False,We have to put this to the acid test,We have to put this to the acid test to see if it will help us in the long run,We have to put this to the acid test to see if it remains the same after a chemical reaction,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
across the board,applying to everyone,improvements across the board,the company saw improvements across the board after implementing new strategies,the chess master made improvements across the board by adjusting the positions of his pieces,True,"In this context, 'across the board' is used literally to describe the chessboard and the adjustments made to the positions of the pieces on it.",False,0,False,False,We took action across the board,We took action across the board to make sure the situation was handled efficiently,We took action across the board that was laid out in front of us,figurative : figurative : figurative,figurative,figurative,figurative,False,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']"
act of God,an occurrence of out of control natural forces in action,<an act of God occurred>,the sudden storm that saved the village was <an act of God occurred>,"in the play, the moment when <an act of God occurred> was when the actor playing Zeus appeared on stage",False,"The idiom 'act of God' is usually used to describe natural disasters or events beyond human control, not a literal action performed by a deity. In this context, the hypothesis is using the idiom in a figurative way to describe a scene in a play.",False,0,False,False,It was an act of God,It was an act of God when the hurricane destroyed our town,It was an act of God when the choir sang to praise Him,figurative : figurative : ambiguous,figurative,figurative,ambiguous,False,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'ambiguous']"
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",they added fuel to the flames,"by spreading rumors, they added fuel to the flames of the ongoing conflict","to keep the bonfire going, they added fuel to the flames by throwing more wood",True,"The hypothesis is a literal interpretation of the idiom, as it describes physically adding fuel (wood) to a fire, rather than the figurative meaning of making a situation worse.",False,0,False,False,He added fuel to the flames,He added fuel to the flames by arguing and making things worse,He added fuel to the flames by placing some fuel on the burning log,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
afraid of my own shadow,to be very nervous or easily frightened,afraid of my own shadow,"after watching that horror movie, I was afraid of my own shadow for days",the strange lighting in the room made me afraid of my own shadow on the wall,True,"In this context, the idiom is used literally as the person is actually afraid of their own shadow on the wall due to the strange lighting.",False,0,False,False,"I'm afraid of my own shadow"" ",I'm afraid of my own shadow because I'm always anxious over every little thing,I'm afraid of my own shadow because it's always following me,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
against the clock,in a great hurry to finish something before a particular time,racing against the clock,"with the deadline approaching, we were racing against the clock to finish the project","in the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",True,"The hypothesis describes a situation where participants are literally racing against a physical clock on wheels, which is a literal interpretation of the idiom 'against the clock' rather than its figurative meaning of being pressed for time.",False,0,False,False,We are working against the clock,We are working against the clock to make sure the project gets finished on time,We are working against the clock because it's ticking loudly,ambiguous : literal : literal,ambiguous,literal,literal,False,"['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'figurative']","['literal', 'literal', 'literal']"
against the grain,a difficult path to be followed,going against the grain,his decision to quit his job was going against the grain of his family's expectations,"when sanding wood, going against the grain can cause scratches and damage",True,"The hypothesis is a literal interpretation of the idiom 'against the grain', as it refers to the actual process of sanding wood and the direction in which one sands in relation to the wood grain.",False,0,False,False,She always goes against the grain,She always goes against the grain by challenging the status quo and thinking outside the box,"She always goes against the grain, literally carving a piece of wood in the opposite direction",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
ages,a long time; a very long time,haven't seen you in ages,it feels like I haven't seen you in ages since we last met,"during our time-travel adventure, I haven't seen you in ages as we got separated in different eras",True,"In this context, 'ages' is used to describe a long period of time, which is a literal interpretation of the word. The sentence is about time-travel and being separated in different eras, making the use of 'ages' literal.",False,1,False,False,He's been waiting ages,He's been waiting ages for her to make a decision,"He's been waiting ages, since he started at 9 a.m",figurative : figurative : figurative,figurative,figurative,figurative,False,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']","['literal', 'figurative', 'figurative']"
ahead of the curve,better than others,staying ahead of the curve,"by constantly learning new skills, she was staying ahead of the curve in her industry",the race car driver was staying ahead of the curve by maintaining a lead on the track,True,"In this context, 'ahead of the curve' is used literally to describe the race car driver's position on the track, rather than its figurative meaning of being innovative or advanced.",False,0,False,False,She's ahead of the curve,"She's ahead of the curve, always thinking about what's new and cutting-edge","She's ahead of the curve, as her car was in front of the other cars on the highway",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
ahead of the pack,more successful than other people who are trying to achieve the same things,staying ahead of the pack,"by consistently innovating, the company is staying ahead of the pack in the industry","during the marathon, the lead runner was staying ahead of the pack of other runners",True,"In this context, 'ahead of the pack' is used literally to describe the lead runner's position in front of the group of other runners during the marathon.",False,0,False,False,He's ahead of the pack,He's ahead of the pack because of his quick thinking and step ahead of others,He's ahead of the pack by a few meters due to his fast running speed,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']"
air their dirty laundry,to make public something embarrassing that should be kept secret,aired their dirty laundry,"during the family reunion, they aired their dirty laundry in front of everyone",they aired their dirty laundry outside on the clothesline,True,"The hypothesis is a literal interpretation of the idiom, as it refers to physically hanging dirty clothes outside on a clothesline, rather than the figurative meaning of discussing private matters in public.",False,0,False,False,We air our dirty laundry,"We air our dirty laundry to other people, meaning we expose our secrets and flaws to them",We air our dirty laundry on the clothesline,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
all bark and no bite,"threatening, aggressive, but not willing to engage in a fight",<seemed all bark and no bite>,the aggressive manager <seemed all bark and no bite> when it came to actually making decisions,"the dog, which <seemed all bark and no bite>, never attacked anyone",False,"The idiom 'all bark and no bite' is used figuratively to describe someone or something that appears threatening or aggressive but is actually harmless. In this case, the hypothesis is using the idiom to describe a dog's behavior, which is not a literal interpretation of the idiom.",False,0,False,False,He is all bark and no bite,He is all bark and no bite and is too afraid to take any action,He is all bark and no bite as he only barks and never bites,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']"
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,be all ears,"when she started telling her story, I promised to be all ears","in the surreal art exhibit, the walls appeared to be all ears",True,"In this context, the phrase 'all ears' is used to describe the walls in a surreal art exhibit, which could literally have ears on them. This is a literal interpretation of the idiom, as it does not refer to the figurative meaning of being attentive or listening carefully.",False,0,False,False,I'm all ears,"I'm all ears, ready to listen to you attentively","I'm all ears, literally ready to hear you from my two ears",figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']"
all Greek to me,used to convey that you cannot understand what is being said or written,it's all Greek to me,"when he started talking about quantum physics, it's all Greek to me","since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",True,"In this case, the hypothesis is a literal interpretation of the idiom because the speaker is actually referring to the Greek language, which they do not understand.",False,0,False,False,It's all Greek to me,It's all Greek to me when they talk about the stock market,It's all Greek to me when they start speaking the language,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","an all singing, all dancing event","the company's annual party was an all singing, all dancing event with various performances","the talent show was an all singing, all dancing event where every participant sang and danced simultaneously",True,"In this case, the idiom 'all singing, all dancing' is used literally, as it describes an event where participants are actually singing and dancing simultaneously.",False,0,False,False,"The car is all singing, all dancing","The car is all singing, all dancing with its fancy bells and whistles","The car is all singing, all dancing with its new sound system and air freshener",ambiguous : figurative : figurative,ambiguous,figurative,figurative,False,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']"
all the rage,when something is the height of popularity,<that fashion trend is all the rage>,"these days, <that fashion trend is all the rage> among teenagers","at the angry mob, <that fashion trend is all the rage> as they protest against it",False,"The idiom 'all the rage' is used figuratively to mean something is very popular or fashionable. In this context, it is not interpreted literally as being full of anger or rage.",False,0,False,False,It's all the rage,It's all the rage these days to wear bright shoes and headbands,It's all the rage in the conference room because all the executives are talking about it,ambiguous : figurative : figurative,ambiguous,figurative,figurative,False,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']"
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",went all the way up,her career went all the way up after she landed a major role in a blockbuster movie,the elevator went all the way up to the top floor of the building,True,"In this context, 'all the way up' is used to describe the elevator's movement to the top floor, which is a literal interpretation of the phrase.",False,0,False,False,She goes all the way up,She goes all the way up the corporate ladder,She goes all the way up the stairs,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']"
an arm and a leg,a large amount of money,<cost an arm and a leg>,"the luxurious vacation <cost an arm and a leg>, but it was worth it",the prosthetic limbs <cost an arm and a leg> at the specialized store,False,"The idiom 'an arm and a leg' is used figuratively to mean something is very expensive. In this context, it is not referring to the literal cost of producing actual prosthetic limbs, but rather the high cost associated with their production.",False,0,False,False,"The cost of the restaurant was an arm and a leg"" ","The cost of the restaurant was an arm and a leg, since it was such an expensive meal"," ""The cost of the restaurant was an arm and a leg, literally",figurative : figurative : figurative,figurative,figurative,figurative,False,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']"
an item,be involved in a romantic relationship,became an item,"after months of dating, they finally became an item and made their relationship official","in the virtual reality game, the player's avatar became an item to be collected by others",True,"In this context, 'an item' is used to describe a virtual object that can be collected by players in a game, which is a literal interpretation of the word 'item'.",False,0,False,False,"It's an item on the list"" ",It's an item on the list that I just can't seem to check off,It's an item on the list that needs to be purchased at the store,ambiguous : literal : literal,ambiguous,literal,literal,False,"['ambiguous', 'ambiguous', 'literal']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']"
ants in pants,be extremely restless,had ants in his pants,he had ants in his pants and couldn't focus on the presentation,"while picnicking, he accidentally sat on an anthill and had ants in his pants",True,"The hypothesis describes a situation where the person literally has ants in his pants due to sitting on an anthill, which is a literal interpretation of the idiom.",False,1,False,True,She has ants in her pants,She has ants in her pants because she's full of energy and can't sit still,She has ants in her pants because she accidently spilled her snack with the bugs in them,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
apple polisher,a flatterer; toady,being an apple polisher,he got the promotion by being an apple polisher and constantly flattering the boss,she took up the job of being an apple polisher at the fruit market,True,"In this sentence, 'apple polisher' is used to describe someone who literally polishes apples at a fruit market, rather than its figurative meaning of someone who flatters or tries to gain favor from others.",False,0,False,False,He's an apple polisher,He's an apple polisher who always attempts to impress his teacher with flattering comments when he should be focusing on his work,He's an apple polisher who spends a significant amount of time attempt to make the apples look shiny and perfect,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
apples and oranges,two things that are fundamentally different and therefore not suited to comparison,comparing apples and oranges,arguing about their preferences in music was like comparing apples and oranges,"at the grocery store, they were comparing apples and oranges to decide which fruit to buy",True,"In this context, the idiom 'apples and oranges' is used literally, as they are actually comparing two different fruits at the grocery store.",False,0,False,False,That's like comparing apples and oranges,"That's like comparing apples and oranges, since they are completely incomparable","That's like comparing apples and oranges, since they are two different types of fruits",figurative : ambiguous : literal,figurative,ambiguous,literal,False,"['figurative', 'ambiguous', 'figurative']","['figurative', 'ambiguous', 'literal']","['literal', 'ambiguous', 'literal']"
apples to apples,having a fair comparison between the two things,compare apples to apples,"to make a fair judgment, we need to compare apples to apples in this situation","in the fruit market, we had to compare apples to apples to find the best quality",True,"The hypothesis is a literal interpretation of the idiom because it refers to physically comparing apples in a fruit market, rather than using the idiom to describe comparing similar things or situations.",False,0,False,False,Let's compare apples to apples,Let's compare apples to apples to see which product is better,Let's compare apples to apples to see which one tastes sweeter,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']"
arm in arm,to be closely allied,walked arm in arm,the two companies walked arm in arm in their joint venture,"the couple walked arm in arm down the street, enjoying the evening",True,"In this case, the idiom 'arm in arm' is used literally, as it describes the physical action of the couple linking their arms together while walking down the street.",False,0,False,False,They walked arm in arm,"They walked arm in arm, showing their strong bond of friendship","They walked arm in arm, with their arms linked around each other",ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,False,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']"
as far as,to the extent of something,as far as the eye can see,his influence extends as far as the eye can see in the business world,the vast desert stretched out as far as the eye can see,True,"In this context, 'as far as' is used literally to describe the distance that the eye can see the desert. It is not used figuratively and maintains its literal meaning.",False,0,False,False,We've gone as far as we can,We've gone as far as we can with this project; any more effort would be fruitless,We've gone as far as we can; we won't be able to go any farther without getting to the ocean,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,False,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']"
