annotations_ambiguous,annotations_figurative,annotations_literal,error,idiom,intended_ambiguous,intended_ambiguous_retrial,intended_figurative,intended_figurative_retrial,intended_literal,intended_literal_retrial,iter,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,not_found,well_formed
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,afraid of my own shadow,"I'm afraid of my own shadow"" ",,I'm afraid of my own shadow because I'm always anxious over every little thing,,I'm afraid of my own shadow because it's always following me,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be very nervous or easily frightened,False,True
"['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'figurative']","['literal', 'literal', 'literal']",False,against the clock,We are working against the clock,<racing against the clock>,We are working against the clock to make sure the project gets finished on time,"with the deadline approaching, we were <racing against the clock> to finish the project",We are working against the clock because it's ticking loudly,"in the unique competition, participants were <racing against the clock> by trying to outrun a giant clock on wheels",0.0,ambiguous : literal : literal,ambiguous,literal,literal,in a great hurry to finish something before a particular time,False,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,against the grain,She always goes against the grain,,She always goes against the grain by challenging the status quo and thinking outside the box,,"She always goes against the grain, literally carving a piece of wood in the opposite direction",,,ambiguous : figurative : literal,ambiguous,figurative,literal,a difficult path to be followed,False,True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']","['literal', 'figurative', 'figurative']",False,ages,He's been waiting ages,<haven't seen you in ages>,He's been waiting ages for her to make a decision,it feels like I <haven't seen you in ages> since we last met,"He's been waiting ages, since he started at 9 a.m","during our time-travel adventure, I <haven't seen you in ages> as we got separated in different eras",1.0,figurative : figurative : figurative,figurative,figurative,figurative,a long time; a very long time,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,ahead of the curve,She's ahead of the curve,,"She's ahead of the curve, always thinking about what's new and cutting-edge",,"She's ahead of the curve, as her car was in front of the other cars on the highway",,,ambiguous : figurative : literal,ambiguous,figurative,literal,better than others,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,ahead of the pack,He's ahead of the pack,,He's ahead of the pack because of his quick thinking and step ahead of others,,He's ahead of the pack by a few meters due to his fast running speed,,,ambiguous : figurative : literal,ambiguous,figurative,literal,more successful than other people who are trying to achieve the same things,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,air their dirty laundry,We air our dirty laundry,,"We air our dirty laundry to other people, meaning we expose our secrets and flaws to them",,We air our dirty laundry on the clothesline,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to make public something embarrassing that should be kept secret,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,all bark and no bite,He is all bark and no bite,,He is all bark and no bite and is too afraid to take any action,,He is all bark and no bite as he only barks and never bites,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"threatening, aggressive, but not willing to engage in a fight",False,True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,all ears,I'm all ears,<be all ears>,"I'm all ears, ready to listen to you attentively","when she started telling her story, I promised to <be all ears>","I'm all ears, literally ready to hear you from my two ears","in the surreal art exhibit, the walls appeared to <be all ears>",0.0,figurative : figurative : literal,figurative,figurative,literal,saying that you are all ears means the other person has got your full attention in terms of listening to him,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,all Greek to me,It's all Greek to me,,It's all Greek to me when they talk about the stock market,,It's all Greek to me when they start speaking the language,,,ambiguous : figurative : literal,ambiguous,figurative,literal,used to convey that you cannot understand what is being said or written,False,True
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,"all singing, all dancing","The car is all singing, all dancing","<an all singing, all dancing event>","The car is all singing, all dancing with its fancy bells and whistles","the company's annual party was <an all singing, all dancing event> with various performances","The car is all singing, all dancing with its new sound system and air freshener","the talent show was <an all singing, all dancing event> where every participant sang and danced simultaneously",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,"Something that is full of verve, vivacity and liveliness.",False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,all the rage,It's all the rage,<the new fashion trend was all the rage>,It's all the rage these days to wear bright shoes and headbands,"in the 90s, <the new fashion trend was all the rage> among teenagers",It's all the rage in the conference room because all the executives are talking about it,"when the store ran out of stock, <the new fashion trend was all the rage> as customers angrily demanded more",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,when something is the height of popularity,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,all the way up,She goes all the way up,,She goes all the way up the corporate ladder,,She goes all the way up the stairs,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",False,True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']",True,an arm and a leg,"The cost of the restaurant was an arm and a leg"" ",,"The cost of the restaurant was an arm and a leg, since it was such an expensive meal",," ""The cost of the restaurant was an arm and a leg, literally",,,figurative : figurative : figurative,figurative,figurative,figurative,a large amount of money,False,False
"['ambiguous', 'ambiguous', 'literal']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,an item,"It's an item on the list"" ",<became an item>,It's an item on the list that I just can't seem to check off,"after months of dating, they finally <became an item> and made their relationship official",It's an item on the list that needs to be purchased at the store,"in the virtual reality game, the player's avatar <became an item> to be collected by others",0.0,ambiguous : literal : literal,ambiguous,literal,literal,be involved in a romantic relationship,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,ants in pants,She has ants in her pants,,She has ants in her pants because she's full of energy and can't sit still,,She has ants in her pants because she accidently spilled her snack with the bugs in them,,,ambiguous : figurative : literal,ambiguous,figurative,literal,be extremely restless,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,apple polisher,He's an apple polisher,,He's an apple polisher who always attempts to impress his teacher with flattering comments when he should be focusing on his work,,He's an apple polisher who spends a significant amount of time attempt to make the apples look shiny and perfect,,,ambiguous : figurative : literal,ambiguous,figurative,literal,a flatterer; toady,False,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'ambiguous', 'literal']","['literal', 'ambiguous', 'literal']",False,apples and oranges,That's like comparing apples and oranges,<comparing apples and oranges>,"That's like comparing apples and oranges, since they are completely incomparable",arguing about their preferences in music was like <comparing apples and oranges>,"That's like comparing apples and oranges, since they are two different types of fruits","at the grocery store, they were <comparing apples and oranges> to decide which fruit to buy",0.0,figurative : ambiguous : literal,figurative,ambiguous,literal,two things that are fundamentally different and therefore not suited to comparison,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,apples to apples,Let's compare apples to apples,<compare apples to apples>,Let's compare apples to apples to see which product is better,"to make a fair judgment, we need to <compare apples to apples> in this situation",Let's compare apples to apples to see which one tastes sweeter,"in the fruit market, we had to <compare apples to apples> to find the best quality",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,having a fair comparison between the two things,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,arm in arm,They walked arm in arm,<walked arm in arm>,"They walked arm in arm, showing their strong bond of friendship",the two companies <walked arm in arm> in their joint venture,"They walked arm in arm, with their arms linked around each other","the couple <walked arm in arm> down the street, enjoying the evening",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to be closely allied,False,False
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,as far as,We've gone as far as we can,<as far as the eye can see>,We've gone as far as we can with this project; any more effort would be fruitless,his influence extends <as far as the eye can see> in the business world,We've gone as far as we can; we won't be able to go any farther without getting to the ocean,the vast desert stretched out <as far as the eye can see>,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to the extent of something,False,False
"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'literal']","['literal', 'literal', 'literal']",False,as long as,He runs as long as,<as long as the rope>,"He runs as long as he can, taking into account his physical abilities and limitations",his patience was <as long as the rope> when dealing with difficult customers,He runs as long as two miles each day,the snake was <as long as the rope> lying next to it,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to put condition of time on an action,False,False
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']",False,asked for the moon,I asked for the moon,<asked for the moon>,"I asked for the moon, when I requested for that position",he <asked for the moon> when he requested a million-dollar salary,"I asked for the moon, even though it is impossible to get","the child, fascinated by astronomy, playfully <asked for the moon> as a birthday gift",0.0,figurative : figurative : figurative,figurative,figurative,figurative,ask for something that is very difficult or impossible to get,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,asleep at the switch,He was asleep at the switch,,He was asleep at the switch when his team scored the winning goal,,He was asleep at the switch because he was so tired,,,ambiguous : figurative : literal,ambiguous,figurative,literal,failing to attend to one's responsibilities or duties,False,True
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,asleep at the wheel,He was asleep at the wheel,,"He was asleep at the wheel, not paying close attention to the job at hand",,He was asleep at the wheel as he was too tired to drive,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",False,True
"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",True,at an arm's length,We kept her at an arm's length,,We kept her at an arm's length because we didn't want to get too close to her,,We kept her at an arm's length so she couldn't touch us,,,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,as far away from your body as possible,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']",True,at bay,She kept it at bay,,She kept it at bay as she was determined not to let any distractions take her focus away,,She kept it at bay since she built a fence to keep it away her garden,,,figurative : figurative : figurative,figurative,figurative,figurative,to keep something dangerous at a safe distance,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,at bottom,It's all at bottom,,It's all at bottom when it comes to the root of the issue,,It's all at bottom inside the box,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to the core of the object,False,True
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,at daggers drawn,They were at daggers drawn,,"They were at daggers drawn, ready to argue with one another at any given moment",,"They were at daggers drawn, prepared to use their daggers if the fight got worse",,,ambiguous : figurative : literal,ambiguous,figurative,literal,almost ready to fight,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,at sea,They were at sea,,They were at sea trying to make sense of the situation,,They were at sea scouting for possible sites to build a harbor,,,ambiguous : figurative : literal,ambiguous,figurative,literal,It means to be confused or not understand something at all.,False,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,at stake,Everything is at stake,<what's at stake>,"Everything is at stake, so I must make the right decision",we need to consider <what's at stake> before making this decision,"Everything is at stake, including the money, the items, and the relationships",the butcher explained <what's at stake> in the meat display,0.0,figurative : figurative : figurative,figurative,figurative,figurative,"It means to be on wager or bet, when there is some sort of uncertainty.",False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,at the bottom of the ladder,She's at the bottom of the ladder,,"She's at the bottom of the ladder, struggling to make something of herself",,She's at the bottom of the ladder because she's the lowest rung,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"occupying the lowest, most basic position in a given group",False,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'ambiguous']",False,at the drop of a dime,She can do it at the drop of a dime,<ready at the drop of a dime>,She can do it at the drop of a dime if given the right motivation,our team is always <ready at the drop of a dime> to tackle any challenge,She can do it at the drop of a dime if she can find one on the ground,the coin collector was <ready at the drop of a dime> to catch the rare coin,0.0,figurative : figurative : ambiguous,figurative,figurative,ambiguous,something that can happen very fast without hesitation,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,at the drop of the hat,He was ready to go at the drop of the hat,,"He was ready to go at the drop of the hat, as soon he got his marching orders, he was out the door",,"He was ready to go at the drop of the hat, as soon he heard the sound of the hat dropping, he was out the door",,,ambiguous : figurative : literal,ambiguous,figurative,literal,to do something easily and without any preparation,False,True
"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,at the heels of,They arrived at the heels of,<at the heels of>,"They arrived at the heels of the others, signifying how much they admired their thought-leadership","the ambitious employee was <at the heels of> the leader, trying to impress them","They arrived at the heels of the others, running in a single-file line",the dog was <at the heels of> the leader during the hike,1.0,figurative : figurative : literal,figurative,figurative,literal,close behind or soon after something,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['ambiguous', 'literal', 'literal']",False,at the helm,we have her at the helm,,We have her at the helm to lead us through this difficult challenge,,We have her at the helm of the boat,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"in charge of an organization, group of people, etc.",False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,ate crow,He ate crow yesterday,,He ate crow yesterday when he had to apologize for his mistake,,He ate crow yesterday when he tried a new type of food,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to admit that you were wrong about something and apologize,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,ate her alive,They ate her alive,,They ate her alive with their pointed comments and verbal attacks,,They ate her alive as she was covered in honey,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to criticize someone severely because you are angry with them,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,axe to grind,He had an axe to grind,,He had an axe to grind to prove his point during the meeting,,He had an axe to grind because he needed to sharpen it,,,ambiguous : figurative : literal,ambiguous,figurative,literal,have a private or selfish reason for doing something,False,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'ambiguous']","['figurative', 'figurative', 'figurative']",False,baby blues,She had the baby blues,<captivated by her baby blues>,"She had the baby blues after giving birth, so she was feeling overwhelmed and a bit moody",he was <captivated by her baby blues> when they first met,She had the baby blues when she saw the colour of her newborn baby's eyes,the photographer was <captivated by her baby blues> as he took pictures of the newborn,0.0,ambiguous : ambiguous : figurative,ambiguous,ambiguous,figurative,The depression that is caused to new mothers after childbirth.,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,back against the wall,They had their back against the wall,,They had their back against the wall because they were losing the argument,,They had their back against the wall because there was nowhere else to sit,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be in a tough situation with limited options,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,back door,He was using the back door,<went through the back door>,He was using the back door to sneak around the rules,he <went through the back door> to get a promotion without proper qualifications,He was using the back door to get into the building,she <went through the back door> to avoid being seen by the guests,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to take indirect or unofficial route to get something done,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'figurative', 'figurative']",False,back the wrong horse,He's backed the wrong horse,<backed the wrong horse>,He's backed the wrong horse by not taking the advice of his experienced colleagues,he <backed the wrong horse> when he supported the losing candidate,He's backed the wrong horse because he placed his bet on the unsuccessful one,"at the racetrack, she <backed the wrong horse> and lost her bet",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,to make the wrong decision and support a person or action that is later unsuccessful,False,False
