annotations_ambiguous_x,annotations_figurative_x,annotations_literal_x,bad_idiom_x,converted_x,error_x,idiom,intended_ambiguous_x,intended_ambiguous_old_x,intended_figurative_x,intended_figurative_old_x,intended_literal_x,intended_literal_old_x,is_literal_x,iter_x,justification_x,maxvote - for sort_x,maxvote_ambiguous_x,maxvote_figurative_x,maxvote_literal_x,meaning_x,well_formed_x,meaning_y,intended_ambiguous_y,intended_figurative_y,intended_literal_y,is_literal_y,justification_y,converted_y,iter_y,bad_idiom_y,error_y,intended_ambiguous_old_y,intended_figurative_old_y,intended_literal_old_y,maxvote - for sort_y,maxvote_ambiguous_y,maxvote_figurative_y,maxvote_literal_y,well_formed_y,annotations_ambiguous_y,annotations_figurative_y,annotations_literal_y
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']",False,False,False,bite the bullet,bit the bullet and faced,We had to bite the bullet,he bit the bullet and faced the consequences of his actions,We had to bite the bullet and make a difficult decision,"during the reenactment, the actor bit the bullet and faced the audience",We had to bite the bullet because the doctor had run out of anesthesia,False,0,"The hypothesis is not a literal interpretation of the idiom 'bite the bullet', as it is used figuratively to mean facing a difficult or unpleasant situation. The actor facing the audience is not literally biting a bullet.",ambiguous : figurative : figurative,ambiguous,figurative,figurative,to endure a painful experience that you cannot avoid,False,to endure a painful experience that you cannot avoid,bit the bullet and faced,he bit the bullet and faced the consequences of his actions,"during a bizarre dare, he bit the bullet and faced the taste of cold metal in his mouth",True,"In this sentence, the person is literally biting a bullet, which is a direct interpretation of the idiom. The figurative meaning of 'bite the bullet' is to face a difficult or unpleasant situation, but this hypothesis is describing a literal action.",False,0,False,False,We had to bite the bullet,We had to bite the bullet and make a difficult decision,We had to bite the bullet because the doctor had run out of anesthesia,ambiguous : figurative : figurative,ambiguous,figurative,figurative,False,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']"
"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,blind leading the blind,the blind leading the blind,We were the blind leading the blind,"when it comes to cooking, it's like the blind leading the blind when my brother and I try to help each other",We were the blind leading the blind when we tried to solve this difficult problem without any help,"in the experimental theater performance, they portrayed the blind leading the blind as a powerful metaphor",We were the blind leading the blind as we physically held each other's hands to guide ourselves,False,0,"The hypothesis is not a literal interpretation of the idiom, as it refers to the idiom being used as a metaphor in a theater performance. The idiom 'blind leading the blind' is used figuratively to describe a situation where an inexperienced or uninformed person is guiding or advising another person who is also inexperienced or uninformed.",ambiguous : figurative : literal,ambiguous,figurative,literal,someone who does not understand something but tries to explain it to others,True,someone who does not understand something but tries to explain it to others,the blind leading the blind,the inexperienced interns were the blind leading the blind in the office,"in the movie, there was a scene where the blind leading the blind through a dark alley",True,"The hypothesis describes a literal situation where blind individuals are leading other blind individuals through a dark alley, rather than using the idiom figuratively to describe a situation where inexperienced or uninformed people are guiding others who are also inexperienced or uninformed.",False,0,False,False,We were the blind leading the blind,We were the blind leading the blind when we tried to solve this difficult problem without any help,We were the blind leading the blind as we physically held each other's hands to guide ourselves,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,burn bridges,burned bridges with them,He burned bridges,"after the argument, she burned bridges with them and never spoke to them again",He burned bridges by leaving without saying goodbye,the vandals burned bridges with them as they escaped the village,He burned bridges when he lit a match,False,0,"The hypothesis is not a literal interpretation of the idiom 'burn bridges' because it is used figuratively to describe the vandals ruining relationships or connections with the village, not physically burning bridges.",ambiguous : figurative : literal,ambiguous,figurative,literal,"remove someone's all options of retreat, act decisively",True,"remove someone's all options of retreat, act decisively",burned bridges with her,"after that heated argument, he burned bridges with her and they never spoke again","during the medieval battle reenactment, they burned bridges with her to prevent the enemy from crossing",True,"In this context, the phrase 'burned bridges' is used to describe the literal action of burning a physical bridge during a medieval battle reenactment, rather than the figurative meaning of ruining a relationship.",False,0,False,False,He burned bridges,He burned bridges by leaving without saying goodbye,He burned bridges when he lit a match,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
"['figurative', 'literal', 'literal']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,False,False,chill to the bone,chilled to the bone,The wind was chill to the bone,the eerie atmosphere of the haunted house left us chilled to the bone,The wind was chill to the bone; I felt so uncomfortable when I stepped outside today,"after being outside in the freezing weather, we were chilled to the bone",The wind was chill to the bone; I felt like my very bones were freezing,False,0,"The idiom 'chill to the bone' is used figuratively to describe an intense feeling of coldness. Although the hypothesis mentions freezing weather, the phrase is still used to convey the extreme cold sensation rather than a literal interpretation.",literal : literal : literal,literal,literal,literal,to get frightened or scare somebody,False,to get frightened or scare somebody,chilled to the bone,the eerie atmosphere in the haunted house left us chilled to the bone,"after hours of exposure to the freezing wind, we were chilled to the bone",True,"In this context, 'chilled to the bone' is used literally, as it describes the physical sensation of being extremely cold due to exposure to freezing wind.",False,0,False,False,The wind was chill to the bone,The wind was chill to the bone; I felt so uncomfortable when I stepped outside today,The wind was chill to the bone; I felt like my very bones were freezing,literal : literal : literal,literal,literal,literal,False,"['figurative', 'literal', 'literal']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']"
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,False,False,cut and dried,a cut and dried decision,The situation is cut and dried,"with her impressive qualifications, it was a cut and dried decision to hire her",The situation is cut and dried; there's no more room for discussion,the process of making fruit leather involves a cut and dried decision with the fruit,The situation is cut and dried; it was decided weeks ago,False,1,"The idiom 'cut and dried' is used figuratively to mean something is clear and settled, but the hypothesis is trying to use it in a literal sense related to fruit processing. However, the overall interpretation is still figurative as it is not directly referring to the actual cutting and drying of the fruit.",figurative : figurative : figurative,figurative,figurative,figurative,ready-made,False,ready-made,a cut and dried decision,"with her extensive experience and skills, choosing her as the team leader was a cut and dried decision",the process of making herbal tea involves a cut and dried decision with the leaves,True,"In this context, the idiom 'cut and dried' is used literally, as it refers to the actual process of cutting and drying leaves for making herbal tea.",False,1,False,False,The situation is cut and dried,The situation is cut and dried; there's no more room for discussion,The situation is cut and dried; it was decided weeks ago,figurative : figurative : figurative,figurative,figurative,figurative,False,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']"
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,False,False,cut and thrust,the cut and thrust of the debate,The negotiations involved some cut and thrust,the politicians engaged in the cut and thrust of the debate during the election campaign,The negotiations involved some cut and thrust with both parties giving and taking to come to an understanding,the fencing match displayed the cut and thrust of the debate between two skilled opponents,The negotiations involved some cut and thrust with both sides wielding swords,False,0,"The idiom 'cut and thrust' is used figuratively to describe the lively and competitive nature of a debate or argument. The hypothesis is not a literal interpretation, as it uses the idiom to describe the debate between two skilled opponents.",figurative : figurative : literal,figurative,figurative,literal,"furious contest, discussion, etc.",False,"furious contest, discussion, etc.",the cut and thrust of,he thrived in the cut and thrust of the competitive business world,"during the fencing match, the cut and thrust of the swords were intense",True,"In this context, 'cut and thrust' is used to describe the literal actions of cutting and thrusting with swords during a fencing match, rather than its idiomatic meaning of a lively exchange or competition.",False,0,False,False,The negotiations involved some cut and thrust,The negotiations involved some cut and thrust with both parties giving and taking to come to an understanding,The negotiations involved some cut and thrust with both sides wielding swords,figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']"
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,False,False,dark horse,a dark horse in the race,He's a dark horse,"the new candidate was a dark horse in the race, surprising everyone with his unexpected success",He's a dark horse since no one really knows his true abilities,the trainer brought a dark horse in the race to compete against the other thoroughbreds,"He's a dark horse since he has black patches on his coat""",False,0,"Although the sentence mentions a 'dark horse' in a race, it is not a literal interpretation because the term 'dark horse' is used to describe an unexpected or unknown competitor, not the physical appearance of the horse.",ambiguous : figurative : literal,ambiguous,figurative,literal,"a little known, unexpectedly successful entrant",True,"a little known, unexpectedly successful entrant",a dark horse in the race,the newcomer was a dark horse in the race for the championship,the trainer brought a dark horse in the race to compete against the other horses,True,"In this sentence, 'dark horse' is used to describe the physical appearance of the horse, which is a literal interpretation of the idiom. The figurative meaning of 'dark horse' is an unexpected or unknown contender.",False,0,False,False,He's a dark horse,He's a dark horse since no one really knows his true abilities,"He's a dark horse since he has black patches on his coat""",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']"
"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'ambiguous', 'literal']",False,False,False,eat him alive,eat him alive in the competition,The audience ate him alive,his lack of preparation will eat him alive in the competition against more experienced opponents,The audience ate him alive by booing off the stage,the carnivorous insects would eat him alive in the competition if he didn't wear protective gear,The audience ate him alive with their jaws and teeth,False,0,"The idiom 'eat him alive' is used figuratively to describe being defeated or overwhelmed, not literally being eaten by insects. The hypothesis uses the idiom in a figurative sense to describe the competition.",figurative : figurative : ambiguous,figurative,figurative,ambiguous,to criticize someone severely because you are angry with them,False,to criticize someone severely because you are angry with them,eat him alive,the critics will eat him alive if he doesn't improve his performance,the pack of wolves could eat him alive if he doesn't escape,True,"In this context, the idiom 'eat him alive' is used literally, as it refers to the possibility of wolves physically consuming a person if they don't escape.",False,0,False,False,The audience ate him alive,The audience ate him alive by booing off the stage,The audience ate him alive with their jaws and teeth,figurative : figurative : ambiguous,figurative,figurative,ambiguous,False,"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'ambiguous', 'literal']"
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,False,False,everything but the kitchen sink,packed everything but the kitchen sink,He brought everything but the kitchen sink,"for our camping trip, we packed everything but the kitchen sink to be prepared","He brought everything but the kitchen sink to his date, hoping to impress her","while moving, they packed everything but the kitchen sink, which was left for the new owners",He brought everything but the kitchen sink to his date in order to set up a romantic dinner,False,0,"The hypothesis is not a literal interpretation of the idiom, as it is used to emphasize that a wide variety of items are included. In this case, it figuratively means they packed almost everything while moving.",ambiguous : figurative : figurative,ambiguous,figurative,figurative,almost everything that one can think of,False,almost everything that one can think of,packed everything but the kitchen sink,"for our camping trip, we packed everything but the kitchen sink to be prepared","while moving out, they packed everything but the kitchen sink, which was fixed to the wall",True,"The hypothesis is a literal interpretation of the idiom, as it refers to packing everything except the actual kitchen sink, which is a physical object.",False,0,False,False,He brought everything but the kitchen sink,"He brought everything but the kitchen sink to his date, hoping to impress her",He brought everything but the kitchen sink to his date in order to set up a romantic dinner,ambiguous : figurative : figurative,ambiguous,figurative,figurative,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']"
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']",False,False,False,fingers crossed,keeping my fingers crossed,I'm keeping my fingers crossed,I'm keeping my fingers crossed for good news about the job offer,I'm keeping my fingers crossed that the job interview will go well,"while making a wish, I was keeping my fingers crossed for added luck",I'm keeping my fingers crossed to ward off any possible bad luck,False,0,"The hypothesis is not a literal interpretation of the idiom 'fingers crossed' because it uses the idiom in its figurative sense, which means hoping for good luck or a positive outcome.",ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,a gesture of crossed fingers used to express good luck,False,a gesture of crossed fingers used to express good luck,kept our fingers crossed,we kept our fingers crossed while waiting for the lottery results,we kept our fingers crossed as a sign of good luck in the group photo,True,"In this case, the hypothesis is a literal interpretation of the idiom 'fingers crossed' because it describes physically crossing fingers as a sign of good luck, rather than using the idiom to express hope for a positive outcome.",False,0,False,False,I'm keeping my fingers crossed,I'm keeping my fingers crossed that the job interview will go well,I'm keeping my fingers crossed to ward off any possible bad luck,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']"
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']",False,False,False,frighten or scare to death,scared her to death,She was frightened to death,the sudden loud noise scared her to death during the movie,She was frightened to death when she heard the loud clap of thunder,the heart attack caused by the unexpected event scared her to death,She was frightened to death when her doctor told her the results of her tests,False,0,"The hypothesis is not a literal interpretation of the idiom because 'scared her to death' is used figuratively to describe an extreme level of fear, not an actual death caused by fear.",ambiguous : ambiguous : figurative,ambiguous,ambiguous,figurative,make somebody feel very frightened.,False,make somebody feel very frightened.,scared her to death,his sudden appearance behind her scared her to death,the venomous snake that slithered out from under the rock scared her to death as she had a heart attack,True,"In this case, the idiom 'scared her to death' is used literally, as the fear caused by the snake led to a heart attack, which resulted in her death.",False,0,False,False,She was frightened to death,She was frightened to death when she heard the loud clap of thunder,She was frightened to death when her doctor told her the results of her tests,ambiguous : ambiguous : figurative,ambiguous,ambiguous,figurative,False,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']"
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,True,False,goose egg,she scored a goose egg,We ended up with a goose egg,"despite her efforts in the competition, she scored a goose egg and felt disappointed",We ended up with a goose egg after our intense competition to win the award,"at the market, she scored a goose egg for her unique recipe",We ended up with a goose egg after we went to the farm to collect some eggs,False,1,"The idiom 'goose egg' is used to mean 'zero' or 'nothing' in a figurative sense. In the hypothesis, it is not used to describe an actual egg from a goose, so it is not a literal interpretation.",ambiguous : figurative : literal,ambiguous,figurative,literal,zero,True,zero,got a goose egg,"after the game, the losing team got a goose egg on the scoreboard","at the farm, she got a goose egg from the nest",True,"In this context, 'goose egg' is used to describe an actual egg laid by a goose, which is a literal interpretation of the phrase.",False,0,False,False,We ended up with a goose egg,We ended up with a goose egg after our intense competition to win the award,We ended up with a goose egg after we went to the farm to collect some eggs,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']"
