idiom,meaning,example
throw in the towel,to quit,His trainer told Rocky that he would throw in the towel if he did not start throwing punches.
every cloud has a silver lining,there is something good in everything that's bad,"Reena was depressed to be confined to bed after her surgery, but over time, when she could spend a lot of time with her family and catch up with old friends, who came to visit her, she realized that every cloud has a silver lining."
third wheel or fifth wheel,a person who is in a situation where they are not needed,I was the only person at the dinner party without a date. I felt like a third wheel.
give the devil his due,"give credit to an opponent's merits, grudgingly or not.","I don't like what the new management has done, but give the devil his due, sales have improved."
die hard,"ing: disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro","ing: disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro"
die in harness,to expire while working,She doesn't want to retire - she'd rather die in harness.
the die is cast,"an unalterable decision has been reached, or step taken.","an unalterable decision has been reached, or step taken."
wash dirty linen in public,discuss publicly matters that one should keep private,She decided not to take the family dispute to court as she feared it would only lead to a lot of washing of dirty linen in public.
doldrums,be inactive,A cut in interest rates on housing loans can lift the property market out of the doldrums.
deja vu,already seen (Literal meaning in French),She suddenly had a strong sense of déjà vu.
dead end,"a street, corridor, road, pipe etc., that has no exit",The interlocutors have reached a dead end in their efforts to discover a peaceful solution to the imbroglio.
on the dot,exactly on time,We were asked to be there at five on the dot.
double whammy,situation where two bad things happen at the same time,"Boss fired me from the job and I lost my wallet too, what a double whammy?"
drop a bombshell,"make an unexpected, startling or disturbing announcement",My sister dropped a bombshell by announcing she was discontinuing her study for a job.
dribs and drabs,in small irregular quantities,The checks for the charity are coming in dribs and drabs.
in high dudgeon,feeling or exhibiting great resentment,"After the scuffle, the man who was affronted left in high dudgeon."
just deserts,get what one deserves,"After the supervisor was suspended, many workers felt that he got his just deserts."
deals with,be concerned with something,We will have to plan our strategy to deal with the rising incident of theft.
do the trick,successfully achieve a result,"If nothing seems to be working, just pray to the God, sometimes that does the trick."
play by ear,learn music by ear,My sister learned to play the piano by ear when she was a child.
early days,it is too soon to make a judgment about something,"The new measures seem to have worked, but it's early days yet and the Reserve Bank of India Governor would rather not make any comment about the country's economy."
take the edge off,blunt the effect of,Have a painkiller - it'll take the edge off the pain your in hand.
liquor up,get someone drunk,"When their friends came for a visit, they took them to the bar and liquored them up."
bell the cat,ing: do a dangerous job. Example: Someone has to bell the cat and tell the commissioner that his own started the violeExample: ing: do a dangerous job. ,Someone has to bell the cat and tell the commissioner that his own started the violeExample: ing: do a dangerous job. Example: Someone has to bell the cat and tell the commissioner that his own started the viole
on one's uppers,extremely short of money,All the artists in their initial phase of career were on their uppers. They have struggled enough to reach this level of success.
yesterday's man,someone especially a politician whose career is finished,"The officer is retiring from his job next month, soon he will be a yesterday's man."
take name in vain,Use someone's name in a way that shows a lack of respect,Atheists find one way or the other to take God's name in vain.
caught between two stools,"come between two alternatives, and so fail to fulfill either of them",This book cannot be an academic one nor can it be a popular commercial one; it falls between two stools.
let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble,"As Eliza was in good spirits that morning, Andy decided not to bring up the argument they had last night. It was best to let sleeping dogs lie."
live at rack and manger,in between plenty and abundance,He is been living at rack and manger since the time he joined his new job as a manager.
rack your brains,put great effort to think of or remember something,I have been racking my brain all day trying to think of place where I kept my car keys.
qui vive,on the alert or lookout.,Their duty requires most of the soldiers to be on the qui vive at the Siachen of Kashmir India battlefield.
Queensberry rules,standard rules of polite or acceptable behavior,It was ensured by the police that both the parties adhered to the Queensberry rules during their hearing session in the high court.
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,Kids in my class were all ears when I was telling them the story.
method to madness,a purpose in doing something that is seemingly crazy,"You may be thinking that I have gone crazy, but there's a method to my madness."
miss the boat,miss a chance,The discounted price sale ended today and I just missed the boat on making a great deal.
make a long story short,abbreviate a long explanation into a short one,"To make a long story short, he still stays in the apartment but now it is owned by someone else."
sit on the fence,delay or avoid making a decision or choice,Has he decided which offer he is going to accept or is he still sitting on the fence?
see eye to eye,to agree fully with someone,"Though they work as a team, they often don't see eye to eye on most issues."
pull the wool over eyes,to deceive someone,I'm not as dumb as you think; don't try to pull the wool over my eyes.
a picture is worth a thousand words,a picture conveys information more effectively than words,"A good presentation should contain more of graphics and less of text, since a picture is worth a thousand words."
not playing with a full deck,not mentally sound,"With the number of silly remarks he comes up with, I wonder if he's not playing with a full deck."
ray of sunshine,someone or something that brings hope into the lives of others,Amid the sorrow her son had been a real ray of sunshine.
read the riot act,warning someone by scolding them to improve their behavior,She'd been bearing bad behavior from her employee and thought it was time to read him the riot act.
part brass rags,quarrel and break off friendship with someone,Both of them parted off rags with each other after a misunderstanding between them due to the other person.
a whole raft of,a large collection of something,A whole raft of techniques was used during the presentation in the annual meeting.
speak of the devil,when someone comes in unexpectedly while being talked about,"We were huddled together in our lunch table, talking about our boss, when he walked in. Well, speak of the devil!"
steal thunder,take credit for someone else's work,"They all worked together on the project, but while submitting it, one of them stole the thunder."
taste of own medicine,when someone gets the same bad treatment that he has been giving others,I'm tired of him always finding faults with me. I'm going to give him a taste of his own medicine.
kill two birds with one stone,accomplish two different things at the same time,"I have to go to the bank, and on the way back, I'll pick up the groceries as well, killing two birds with one stone."
deliver the goods,do what is required,So far the team's new player has failed to deliver the goods. He failed to open his account in his first three games.
balancing act,an action that needs a fine balance between different conditions or wishes,A working woman in our country has to constantly perform a balancing act between excelling in her career and taking care of the family.
hit the nail on the head,be accurately right about something,Stephen hit the nail on the head when he said that what the company was lacking in was clear vision and focus.
can't judge a book by its cover,outward appearance cannot be an indicator of someone or something's value or worth,"The candidate did not look very intelligent, but you can't judge a book by its cover."
backseat driver,co-passenger who unnecessarily criticizes the driver while himself doing nothing,I cannot stand my relatives being backseat driver to me.
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",The presidential candidate's provocative speech in these violent times is only going to add fuel to the flames.
accidentally on purpose,performing an action intentionally and pretending to either oneself or to the world that as an accident,"I hate this flower vase so much, some day I might drop it accidentally on purpose."
monkey business,silly act,I want to sleep. Stop disturbing me by your monkey business.
in tandem,one after another,"He often works in tandem with an engineer, one coding for the website and the other taking care of website design."
tall poppy,a privileged or distinguished person.,Recently a party was hosted in the city where all the tall poppies were invited to raise charity for clean shelters in suburbs.
don't count your chickens before they hatch,do not count on something that has not yet happened,"Before committing to make the payment, wait till you receive the money from the bank. Don't count your chickens before they hatch."
devil's advocate,one who presents a counter argument,"I agree with what you say, but I'll play devil's advocate so that we can cover all the possibilities that may arise."
cut the mustard,to succeed,"My neighbor had applied for the post of architect in a big project, but did not cut the mustard."
don't give up the day job,a usually humorous way of telling someone not to pursue something full time as he or she is not good at it,I watched your performance at the theater today. My advice is don't give up your day job.
drastic times call for drastic measures,extreme circumstances can only be resolved by equally extreme actions,"After the company had posted losses for the third consecutive year, the board decided to replace all of its top management. After all, drastic times call for drastic measures."
don't put all your eggs in one basket,don't make everything dependent on one thing,It would be better if you applied to several companies instead of just one; don't put all your eggs in one basket.
under the weather,to be ill or feel ill,"I did not go to work today, as I was feeling a bit under the weather."
hear on the grapevine,to hear rumours about something,"I heard on the grapevine that he was being promoted, but I don't know anything further."
far cry from,something that is very different from something else,The apartment they live in now is a far cry from the huge mansion they once used to have.
viper in bosom,a person who deceives you after receiving help from you,I got my friend a good position in my company and all he did is convinced my manager to get him the designation I had in the project. He was no more than a viper in my bosom.
make a virtue of necessity,extract something beneficial from an unwelcome obligation,It's was a long journey from Delhi to Australia so I thought I would make a virtue of necessity and write some articles that had to be submitted to the magazines.
warn off,inform someone forcefully to stay at a distance,The board was placed near the manhole to warn off the kids from playing there.
wash hands of,abandon taking responsibility for someone or something,That job did no good to me. I washed my hands of it few months back and joined another one.
in the heat of the moment,saying or doing something without thinking due go anger or excitement,He really didn't mean what he said about you. He said it in the heat of the moment.
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,Don't blame me for the argument. It takes two to tango! You are equally responsible.
get a raw deal,ing: unfair treatment. Example: She got a very raw deal in terms of his father's will: everything was left to her younger sisExample: ing: unfair treatment. ,She got a very raw deal in terms of his father's will: everything was left to her younger sisExample: ing: unfair treatment. Example: She got a very raw deal in terms of his father's will: everything was left to her younger sis
over my dead body,"in no way, under no circumstances",You will go on a date with my sister over my dead body!
dead and buried,ing: no longer in use. Example: US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the eaExample: ing: no longer in use. ,US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the eaExample: ing: no longer in use. Example: US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the ea
on cue,to happen at the precise moment,The race started right on cue. It was indeed enthralling to watch.
cut corners,"economise on time, money, materials or effort, perhaps unwisely",It is certainly not a sensible move to cut corners with national security.
curry favour,seek to gain advantage by flattery,Her uncle is so rich that she feels compelled to curry favor with him lest she does not get mentioned in the will!
cut both ways,"ing: have two different effects at the same time, usually one good and one bad. Example: Watching TV cuts both ways; it makes people know what is real going on, but it also make them lazy, addicted and sExample: ing: have two different effects at the same time, usually one good and one bad. ","Watching TV cuts both ways; it makes people know what is real going on, but it also make them lazy, addicted and sExample: ing: have two different effects at the same time, usually one good and one bad. Example: Watching TV cuts both ways; it makes people know what is real going on, but it also make them lazy, addicted and s"
off the cuff,in an unguarded way,She has a habit of making off-the-cuff remarks which she later denies.
cut down,to reduce the amount of something (usually bad),I am trying to cut down on sugar this month. I would like to lose some weight before going on holiday.
cut coat according to cloth,"ing: adapt to one's circumstances, make sure one's plans are appropriate to one's resources. Example: Of course, we'd love a luxurious car, but you have to cut your coat according to your clothExample: ing: adapt to one's circumstances, make sure one's plans are appropriate to one's resources. ","Of course, we'd love a luxurious car, but you have to cut your coat according to your clothExample: ing: adapt to one's circumstances, make sure one's plans are appropriate to one's resources. Example: Of course, we'd love a luxurious car, but you have to cut your coat according to your clothRead on"
call names,to insult someone,"She was afraid that if she wore spectacles to her school, the other kids would call her names."
carte blanche,to have complete authority,The guy has carte blanche over who works and who does not in this company.
catch napping,"ing: surprise, take unawares. Example: The government was really caught napping the day the protesters planned to jam the highways and roads of the tExample: ing: surprise, take unawares. ","The government was really caught napping the day the protesters planned to jam the highways and roads of the tExample: ing: surprise, take unawares. Example: The government was really caught napping the day the protesters planned to jam the highways and roads of the t"
cave in,"to fall for something, either literally or metaphorically",The building caved in by itself after being erect for almost 70 years.
chime in,to interject a remark,The family always chimes in with the others so they never feel like they have joined the social network from out of town.
feet of clay,ing: have a flaw or weakness most people are unaware of. Example: Some of the greatest people in history had feet of clayExample: ing: have a flaw or weakness most people are unaware of. ,Some of the greatest people in history had feet of clayExample: ing: have a flaw or weakness most people are unaware of. Example: Some of the greatest people in history had feet of clayRead on
coin money,ing: make a great deal of money easily or very quickly. Example: With a monopoly in urban as well as rural markets the company could coin moneyExample: ing: make a great deal of money easily or very quickly. ,With a monopoly in urban as well as rural markets the company could coin moneyExample: ing: make a great deal of money easily or very quickly. Example: With a monopoly in urban as well as rural markets the company could coin moneyRead on
come to pass,to happen,The lady has come to pass that she will be in labour soon.
cool heels,to wait or take rest,The prisoner has been awarded the death penalty is cooling his heels until the President evaluates if mercy can be sanctioned.
in the cahoots,to do something in hiding or secret because it is morally or socially not acceptable,It is usually the close circle of celebrities who are in the cahoots with the paparazzi. This is how celebrity outings are caught on tape so often.
in due course,quite soon in the future,All candidates will be informed of our decision in due course.
behind closed doors,in clandestine,"The planning board of the finance division constantly meets behind closed doors, in case its negotiations become known in advance."
"easy come, easy go",readily won and readily lost,"I won a lot of money at the casino last night but lost it on my way out. Oh well, easy come, easy go."
as the crow flies,in a straight line,The nearest hotel is about 24 kilometers away as the crow flies.
take up the cudgels,argue strongly in support or against somebody or something,The whole country has taken up the cudgels for the two men accused of breaking into the school.
cry wolf,"to keep asking for help, even when you don't need it. When you really need help, no one believes you.",The little boy had cried wolf so many times that when he was really sick no one believed him.
crystal clear,"ing: absolutely clear, easy to understand. Example: The instructions for preparing the dish are crystal clearExample: ing: absolutely clear, easy to understand. ","The instructions for preparing the dish are crystal clearExample: ing: absolutely clear, easy to understand. Example: The instructions for preparing the dish are crystal clearRead on"
full cry,to talk about a subject in an eager tone,The opposition party was in full cry in the parliament yesterday to ensure that the changes proposed by the government are not passed as legislation.
cock and bull story,"complicated, ridiculous, or unbelievable story",She started to tell some cock and bull story to the police officers about how she found a huge bag containing 5 pounds of gold.
under a cloud,under suspicion,The luxury transport industry is under a cloud at the moment after newspapers revealed that many indulged in illegal activities.
coin a phrase,as one might say,"She was, to coin a phrase, as clever as fox."
catch a cold,"ing: suffer a financial loss. Example: Like my elder brother Brian Reddik tried the offshore business of education, but he catches a cold just after its one month, and there is no sign of his growth tillExample: ing: suffer a financial loss. ","Like my elder brother Brian Reddik tried the offshore business of education, but he catches a cold just after its one month, and there is no sign of his growth tillExample: ing: suffer a financial loss. Example: Like my elder brother Brian Reddik tried the offshore business of education, but he catches a cold just after its one month, and there is no sign of his growth till"
pour cold water on,deter or discourage somebody,It is not nice to pour cold water on someone's plan when you do not want to be a part of it in the first place.
be on a collision course,ing: doing or saying things which are certain to cause a serious disagreement or a fight between them. Example: All the ambassadorial attempts have failed and the United States and Iran emerges to be on a collision courseExample: ing: doing or saying things which are certain to cause a serious disagreement or a fight between them. ,All the ambassadorial attempts have failed and the United States and Iran emerges to be on a collision courseExample: ing: doing or saying things which are certain to cause a serious disagreement or a fight between them. Example: All the ambassadorial attempts have failed and the United States and Iran emerges to be on a collision courseRead on
show true colors,to reveal what one is really like,"I trusted her blindly, but when I was in need too much and called her for help, she showed her true colors."
conspiracy of silence,"ing: general agreement to keep silent about a subject for the purpose of secrecy. Example: On the airport security check, there is a conspiracy of silence; most of guards bypass the known visitors without checkExample: ing: general agreement to keep silent about a subject for the purpose of secrecy. ","On the airport security check, there is a conspiracy of silence; most of guards bypass the known visitors without checkExample: ing: general agreement to keep silent about a subject for the purpose of secrecy. Example: On the airport security check, there is a conspiracy of silence; most of guards bypass the known visitors without check"
cold feet,loss of courage,He got cold feet when heard the news of his transfer to remote area of the country which is hundreds of miles from his home town.
to heart's content,to gain full satisfaction,The man ate food at the buffet to his heart's content. He seemed really happy as he left for home.
cool as cucumber,"be very calm and relaxed, particularly when it's astonishing","There he stood, cool as cucumber and totally oblivious to the violence that had shattered the very fabric of the society."
the corridors of power,the offices of the powerful leaders.,"As personal adviser to the Prime Minister, he thought he'd get his foot inside the corridors of power."
wrap in cotton wool,to be overprotective towards somebody,The mother wrapped the child up in cotton wool as if it would protect him from all the dangers of the world.
couch potato,a chronic television viewer,My younger sister is a great couch potato; she can watch TV 24 hours a day.
count chicken,make plans based on events that may or may not happen,It is not good to start counting your chickens when you do not even have the cash to start your own venture.
blow cover,to reveal the true identity,The custom's officer recognised the man from a wanted poster and blew his cover right out.
get cracking,to hurry something up,The laundry man better get cracking with our clothes else we will miss the event.
on the crest of a wave,to reach the highest point of success,"The music band comprising engineering students is currently on the crest of a wave, with a launch of new album it has planned for next year."
caught in the crossfire,"ing: be badly affected by a situation where two people or group are arguing with each other. Example: When parents fight over trifles, their children are often caught in the crossfireExample: ing: be badly affected by a situation where two people or group are arguing with each other. ","When parents fight over trifles, their children are often caught in the crossfireExample: ing: be badly affected by a situation where two people or group are arguing with each other. Example: When parents fight over trifles, their children are often caught in the crossfireRead on"
crowning glory,ing: The greatest or most beautiful thing Example: The crowning glory of her career came six years later when the Council for British Research awarded Cynthia the Royal Prize for her great wExample: ing: The greatest or most beautiful thing ,The crowning glory of her career came six years later when the Council for British Research awarded Cynthia the Royal Prize for her great wExample: ing: The greatest or most beautiful thing Example: The crowning glory of her career came six years later when the Council for British Research awarded Cynthia the Royal Prize for her great w
comes to the crunch,"ing: in a critical moment or crucial time, or in a tight corner. Example: It's always the same, she promise help, but as soon as when it comes to the crunch she invents excuExample: ing: in a critical moment or crucial time, or in a tight corner. ","It's always the same, she promise help, but as soon as when it comes to the crunch she invents excuExample: ing: in a critical moment or crucial time, or in a tight corner. Example: It's always the same, she promise help, but as soon as when it comes to the crunch she invents excu"
cup of tea,to like something,This music is much more my cup of tea than this new stuff.
straight from the horse's mouth,from a dependable or reliable source,What you heard is true. I know since I heard it straight from the horse's mouth.
cut and thrust,"furious contest, discussion, etc.",The man is not sure if he has it in him to appreciate the cut and thrust of such a huge organisational business.
Jack of all trades,someone who is competent at many things but does not excel at any of them,I am very glad that my husband is a Jack of all trades; it saved us a lot of money when it came to renovating our house.
come up with,to find a new thought,The team has to come up with cost saving ideas soon otherwise the budget cut will cost them a lot.
camp follower,"a person who is supportive of the cause, person or organisation",The only issue of being related to a celebrity is that the camp followers never leave you alone.
chapter and verse,ing: verbatim; word for word details. Example: I was asked if I could give a chapter and verse account of what had happened that night at the paExample: ing: verbatim; word for word details. ,I was asked if I could give a chapter and verse account of what had happened that night at the paExample: ing: verbatim; word for word details. Example: I was asked if I could give a chapter and verse account of what had happened that night at the pa
chop and change,"ing: repeatedly change. Example: One day she's going to be a doctor, the next she wants to study architecture - she'll have to stop chopping and changing and make her mindExample: ing: repeatedly change. ","One day she's going to be a doctor, the next she wants to study architecture - she'll have to stop chopping and changing and make her mindExample: ing: repeatedly change. Example: One day she's going to be a doctor, the next she wants to study architecture - she'll have to stop chopping and changing and make her mind"
not give a damn,to not care,Their son does not give a damn about their health. His ill habits are costing the entire family now.
in the dark,"ing: uninformed, a state of ignorance. Example: We're still in the dark about the company's layoff policy. Another forms of in the dark Idiom: keep in the dark Meaning: keep someone unaware, not informed, keep somebody off from any act. Example: My best friend kept me in the dark about his plan of starting new business with my brother. a shot in the dark Meaning: an attempt to guess something when you have no information or knowledge about it. Example: The whole theory about life on Mars is a shot in the dark, no one takes it seriouExample: ing: uninformed, a state of ignorance. Example: We're still in the dark about the company's layoff policy. Another forms of in the dark Idiom: keep in the dark Meaning: keep someone unaware, not informed, keep somebody off from any act. Example: My best friend kept me in the dark about his plan of starting new business with my brother. a shot in the dark Meaning: an attempt to guess something when you have no information or knowledge about it. ","We're still in the dark about the company's layoff policy. Another forms of in the dark Idiom: keep in the dark Meaning: keep someone unaware, not informed, keep somebody off from any act. Example: My best friend kept me in the dark about his plan of starting new business with my brother. a shot in the dark Meaning: an attempt to guess something when you have no information or knowledge about it. Example: The whole theory about life on Mars is a shot in the dark, no one takes it seriouExample: ing: uninformed, a state of ignorance. Example: We're still in the dark about the company's layoff policy. Another forms of in the dark Idiom: keep in the dark Meaning: keep someone unaware, not informed, keep somebody off from any act. Example: My best friend kept me in the dark about his plan of starting new business with my brother. a shot in the dark Meaning: an attempt to guess something when you have no information or knowledge about it. Example: The whole theory about life on Mars is a shot in the dark, no one takes it seriou"
frighten or scare to death,ing: make somebody feel very frightened. Example: A shadow appeared in the doorway and scared me to deathExample: ing: make somebody feel very frightened. ,A shadow appeared in the doorway and scared me to deathExample: ing: make somebody feel very frightened. Example: A shadow appeared in the doorway and scared me to deathRead on
in deep water,a very serious situation,The political party is in deep water after it was discovered that their candidate had lied in the report.
out of one's depth,a situation beyond one's knowledge or ability,"After watching this film, the audience realized that making comedy movies was out of the depth of this director."
fingers crossed,a gesture of crossed fingers used to express good luck,Good luck with your test tomorrow. I'll have my fingers crossed.
down to earth,"decent, simple, realistic","She is very down to earth person, not at all attracted by the glamour world."
wouldn't dream of,"ing: not occur to one, not consider. Example: Even if it were lying on my desk, I wouldn't dream of taking another person's moExample: ing: not occur to one, not consider. ","Even if it were lying on my desk, I wouldn't dream of taking another person's moExample: ing: not occur to one, not consider. Example: Even if it were lying on my desk, I wouldn't dream of taking another person's mo"
at daggers drawn,almost ready to fight,The two schools have been at daggers drawn for months. Ever since they played in the championship game.
a damp squib,ing: an event which people think will be exciting but which is disappointing when it happens. Example: The party turned out to be a bit of a damp squib. Half the people who'd been invited didn't turnExample: ing: an event which people think will be exciting but which is disappointing when it happens. ,The party turned out to be a bit of a damp squib. Half the people who'd been invited didn't turnExample: ing: an event which people think will be exciting but which is disappointing when it happens. Example: The party turned out to be a bit of a damp squib. Half the people who'd been invited didn't turn
dance to tune,to do what someone else forces you to do,In order to keep the peace Peter has to dance to his wife's tune.
put damper on,to discourage someone from doing something that they want to,The rain today put a damper on the picnic plans.
dark horse,"a little known, unexpectedly successful entrant","You never can tell, some dark horse many come along and win a House of Lords seat."
call it a day,"stop doing something, especially working","After second heart attack, she decided it would be best to follow her doctor's advice and call it a day."
win the day,ing: win a war or a fight or competition etc. Example: The opposition win the day in the debate over the judge's impeachmExample: ing: win a war or a fight or competition etc. ,The opposition win the day in the debate over the judge's impeachmExample: ing: win a war or a fight or competition etc. Example: The opposition win the day in the debate over the judge's impeachm
all in a day's work,refers to the work that is done regularly by someone,Teaching difficult students might sound like a nightmare to other people but to teachers it is all in a day's work.
day of reckoning,ing: the time when an unpleasant situation has to be dealt with. Example: Ignoring the study near exams will definitely bring you the day of reckoningExample: ing: the time when an unpleasant situation has to be dealt with. ,Ignoring the study near exams will definitely bring you the day of reckoningExample: ing: the time when an unpleasant situation has to be dealt with. Example: Ignoring the study near exams will definitely bring you the day of reckoningRead on
come to a head,to reach a point in a situation where action needs to be taken,The negative political climate in America seems to have come to a head.
the calm before the storm,an extremely peaceful atmosphere right before any serious incident or crisis,"The family's meeting on property dispute begins today and I'm just sitting down with a cup of coffee, enjoying the calm before the storm."
cost an arm and a leg,very expensive,"I'd like to have a new farmhouse, but it may cost me an arm and a leg."
a cinch,an extremely easy task,I have been preparing for this presentation for the last six months. This promotion will be a cinch for me.
early bird,an early rising person,"If you are an early bird, you know that watching the sunrise is how breathtaking."
queer pitch,spoil somebody's chance of doing something.,He queered my pitch by asking for promotion before I did.
"quote, unquote",to use a phrase which has been coined by someone else but saying it in disbelief,She wants to practice law because it is a quote – respected – unquote - field. 
quantum leap,to make a significant improvement or dramatic advancement,The store has taken a quantum leap from where it was and seems to be headed strongly in the right direction.
vent spleen,to exhibit your rage,The board members in the annual meeting witnessed the company's shareholders venting their spleen over them as they were angry.
vice versa,a reverse in position,"I do not like my sister's new husband, and vice versa."
volte face,to change beliefs (suddenly) from something to its complete opposite,The current prime minister thinks it is a joke to volte face on the plans that he announces publicly.
x marks the spot,"ing: when someone finds something looking for, this is the exact spot, mark something with X on target. Example 1: X marks the spot, so let's go and dig up treasure. Example 2: I pointed to the location on the map and told the recruits ""x marks the spot"". Example 3: We looked at the Google map and saw that X marked the spot where it was the cloud brust and killed many people. Origin: What is said upon finding your target has been marked out derived from an X on pirate treasure maps. The phrase was put into common usage by the British army, who performed executions by marking a piece of paper with a black x and positioning it on the heart of someone sentenced to de","ing: when someone finds something looking for, this is the exact spot, mark something with X on target. Example 1: X marks the spot, so let's go and dig up treasure. Example 2: I pointed to the location on the map and told the recruits ""x marks the spot"". Example 3: We looked at the Google map and saw that X marked the spot where it was the cloud brust and killed many people. Origin: What is said upon finding your target has been marked out derived from an X on pirate treasure maps. The phrase was put into common usage by the British army, who performed executions by marking a piece of paper with a black x and positioning it on the heart of someone sentenced to de"
your sins will find you out,"ing: things you do wrong will become known. Example: He usually cheats his customers by selling duplicate material, and now he lost his business completely, truly said, your sins will find you outExample: ing: things you do wrong will become known. ","He usually cheats his customers by selling duplicate material, and now he lost his business completely, truly said, your sins will find you outExample: ing: things you do wrong will become known. Example: He usually cheats his customers by selling duplicate material, and now he lost his business completely, truly said, your sins will find you outRead on"
the chattering classes,ing: educated people who like to discuss and give their opinions about political and social matters. Example: The royal baby's birth was a historic event and has recently become a trendy topic among the chattering classesExample: ing: educated people who like to discuss and give their opinions about political and social matters. ,The royal baby's birth was a historic event and has recently become a trendy topic among the chattering classesExample: ing: educated people who like to discuss and give their opinions about political and social matters. Example: The royal baby's birth was a historic event and has recently become a trendy topic among the chattering classesRead on
chicken hearted,ing: not brave. Example: These chicken hearted bosses always seem to give in at the first sign of a strExample: ing: not brave. ,These chicken hearted bosses always seem to give in at the first sign of a strExample: ing: not brave. Example: These chicken hearted bosses always seem to give in at the first sign of a str
cloak and dagger,ing: of or characteristic of the activities of spies and undercover agents. Example: Do we need to go for cloak-and-dagger way? Why can't we just meet in a cafe like everyone eExample: ing: of or characteristic of the activities of spies and undercover agents. ,Do we need to go for cloak-and-dagger way? Why can't we just meet in a cafe like everyone eExample: ing: of or characteristic of the activities of spies and undercover agents. Example: Do we need to go for cloak-and-dagger way? Why can't we just meet in a cafe like everyone e
in a clover,"ing: prosperous, living well. Example: After we earn a million in our new business of gold, we'll hopefully be in a cloverExample: ing: prosperous, living well. ","After we earn a million in our new business of gold, we'll hopefully be in a cloverExample: ing: prosperous, living well. Example: After we earn a million in our new business of gold, we'll hopefully be in a cloverRead on"
cut and dried,ready-made,The rules in our school are cut and dried. Everyone is expected to follow them.
to the core,totally,"Stella's plan was rotten to the core, it would not work in today's world."
creme de la creme,to be exclusive,The children of the crème de la crème crowd go to this school. Needless to say that it is among the costliest in town.
cash in,to earn out of something in big amounts,He has cashed in on the estate that his father created. I do not believe he has anything to call his own out there.
head in the clouds,daydreaming or absentminded,He roams around all night with his head in the clouds.
go through channels,to follow the correct steps in order to get something done,If you want to get a new licence you will have to go through the proper channels. Otherwise it will not be legal.
