idiom,meaning,example,source,dupl,idiom_set,idiom_dict,meaning_dict,example_dict,idiom_pfbt,meaning_pfbt
bell the cat,do a dangerous job. Example: Someone has to bell the cat and tell the commissioner that his own started the violeExample: do a dangerous job. ,Someone has to bell the cat and tell the commissioner that his own started the violeExample: ing: do a dangerous job. Example: Someone has to bell the cat and tell the commissioner that his own started the viole,dict,0,"frozenset({'bell', 'cat'})",bell the cat,do a dangerous job. Example: Someone has to bell the cat and tell the commissioner that his own started the violeExample: do a dangerous job. ,Someone has to bell the cat and tell the commissioner that his own started the violeExample: ing: do a dangerous job. Example: Someone has to bell the cat and tell the commissioner that his own started the viole,,
on one's uppers,extremely short of money,All the artists in their initial phase of career were on their uppers. They have struggled enough to reach this level of success.,dict,0,frozenset({'upper'}),on one's uppers,extremely short of money,All the artists in their initial phase of career were on their uppers. They have struggled enough to reach this level of success.,,
yesterday's man,someone especially a politician whose career is finished,"The officer is retiring from his job next month, soon he will be a yesterday's man.",dict,0,"frozenset({'man', 'yesterday'})",yesterday's man,someone especially a politician whose career is finished,"The officer is retiring from his job next month, soon he will be a yesterday's man.",,
take name in vain,Use someone's name in a way that shows a lack of respect,Atheists find one way or the other to take God's name in vain.,dict,0,"frozenset({'take', 'vain', 'name'})",take name in vain,Use someone's name in a way that shows a lack of respect,Atheists find one way or the other to take God's name in vain.,,
caught between two stools,"come between two alternatives, and so fail to fulfill either of them",This book cannot be an academic one nor can it be a popular commercial one; it falls between two stools.,dict,0,"frozenset({'between', 'caught', 'stool', 'two'})",caught between two stools,"come between two alternatives, and so fail to fulfill either of them",This book cannot be an academic one nor can it be a popular commercial one; it falls between two stools.,,
let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble,"As Eliza was in good spirits that morning, Andy decided not to bring up the argument they had last night. It was best to let sleeping dogs lie.",dict,0,"frozenset({'lie', 'dog', 'sleep', 'let'})",let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble,"As Eliza was in good spirits that morning, Andy decided not to bring up the argument they had last night. It was best to let sleeping dogs lie.",,
live at rack and manger,in between plenty and abundance,He is been living at rack and manger since the time he joined his new job as a manager.,dict,0,"frozenset({'rack', 'live', 'manger'})",live at rack and manger,in between plenty and abundance,He is been living at rack and manger since the time he joined his new job as a manager.,,
rack your brains,put great effort to think of or remember something,I have been racking my brain all day trying to think of place where I kept my car keys.,dict,0,"frozenset({'rack', 'brain'})",rack your brains,put great effort to think of or remember something,I have been racking my brain all day trying to think of place where I kept my car keys.,,
qui vive,on the alert or lookout.,Their duty requires most of the soldiers to be on the qui vive at the Siachen of Kashmir India battlefield.,dict,0,"frozenset({'vive', 'qui'})",qui vive,on the alert or lookout.,Their duty requires most of the soldiers to be on the qui vive at the Siachen of Kashmir India battlefield.,,
Queensberry rules,standard rules of polite or acceptable behavior,It was ensured by the police that both the parties adhered to the Queensberry rules during their hearing session in the high court.,dict,0,"frozenset({'rule', 'queensberri'})",Queensberry rules,standard rules of polite or acceptable behavior,It was ensured by the police that both the parties adhered to the Queensberry rules during their hearing session in the high court.,,
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,Kids in my class were all ears when I was telling them the story.,dict,0,"frozenset({'all', 'ear'})",all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,Kids in my class were all ears when I was telling them the story.,,
method to madness,a purpose in doing something that is seemingly crazy,"You may be thinking that I have gone crazy, but there's a method to my madness.",dict,0,"frozenset({'mad', 'method'})",method to madness,a purpose in doing something that is seemingly crazy,"You may be thinking that I have gone crazy, but there's a method to my madness.",,
miss the boat,miss a chance,The discounted price sale ended today and I just missed the boat on making a great deal.,dict,1,"frozenset({'boat', 'miss'})",miss the boat,miss a chance,The discounted price sale ended today and I just missed the boat on making a great deal.,miss the boat,to fail to take advantage of an opportunity because you don't act quickly enough
make a long story short,abbreviate a long explanation into a short one,"To make a long story short, he still stays in the apartment but now it is owned by someone else.",dict,0,"frozenset({'stori', 'make', 'long', 'short'})",make a long story short,abbreviate a long explanation into a short one,"To make a long story short, he still stays in the apartment but now it is owned by someone else.",,
sit on the fence,delay or avoid making a decision or choice,Has he decided which offer he is going to accept or is he still sitting on the fence?,dict,1,"frozenset({'fenc', 'sit'})",sit on the fence,delay or avoid making a decision or choice,Has he decided which offer he is going to accept or is he still sitting on the fence?,sit on the fence,to avoid taking sides in a discussion or argument
see eye to eye,to agree fully with someone,"Though they work as a team, they often don't see eye to eye on most issues.",dict,0,"frozenset({'see', 'eye'})",see eye to eye,to agree fully with someone,"Though they work as a team, they often don't see eye to eye on most issues.",,
pull the wool over eyes,to deceive someone,I'm not as dumb as you think; don't try to pull the wool over my eyes.,dict,0,"frozenset({'over', 'wool', 'pull', 'eye'})",pull the wool over eyes,to deceive someone,I'm not as dumb as you think; don't try to pull the wool over my eyes.,,
a picture is worth a thousand words,a picture conveys information more effectively than words,"A good presentation should contain more of graphics and less of text, since a picture is worth a thousand words.",dict,0,"frozenset({'worth', 'thousand', 'word', 'pictur'})",a picture is worth a thousand words,a picture conveys information more effectively than words,"A good presentation should contain more of graphics and less of text, since a picture is worth a thousand words.",,
not playing with a full deck,not mentally sound,"With the number of silly remarks he comes up with, I wonder if he's not playing with a full deck.",dict,0,"frozenset({'full', 'deck', 'play'})",not playing with a full deck,not mentally sound,"With the number of silly remarks he comes up with, I wonder if he's not playing with a full deck.",,
ray of sunshine,someone or something that brings hope into the lives of others,Amid the sorrow her son had been a real ray of sunshine.,dict,0,"frozenset({'ray', 'sunshin'})",ray of sunshine,someone or something that brings hope into the lives of others,Amid the sorrow her son had been a real ray of sunshine.,,
read the riot act,warning someone by scolding them to improve their behavior,She'd been bearing bad behavior from her employee and thought it was time to read him the riot act.,dict,0,"frozenset({'riot', 'act', 'read'})",read the riot act,warning someone by scolding them to improve their behavior,She'd been bearing bad behavior from her employee and thought it was time to read him the riot act.,,
part brass rags,quarrel and break off friendship with someone,Both of them parted off rags with each other after a misunderstanding between them due to the other person.,dict,0,"frozenset({'rag', 'brass', 'part'})",part brass rags,quarrel and break off friendship with someone,Both of them parted off rags with each other after a misunderstanding between them due to the other person.,,
a whole raft of,a large collection of something,A whole raft of techniques was used during the presentation in the annual meeting.,dict,0,"frozenset({'whole', 'raft'})",a whole raft of,a large collection of something,A whole raft of techniques was used during the presentation in the annual meeting.,,
speak of the devil,when someone comes in unexpectedly while being talked about,"We were huddled together in our lunch table, talking about our boss, when he walked in. Well, speak of the devil!",dict,0,"frozenset({'speak', 'devil'})",speak of the devil,when someone comes in unexpectedly while being talked about,"We were huddled together in our lunch table, talking about our boss, when he walked in. Well, speak of the devil!",,
steal thunder,take credit for someone else's work,"They all worked together on the project, but while submitting it, one of them stole the thunder.",dict,0,"frozenset({'thunder', 'steal'})",steal thunder,take credit for someone else's work,"They all worked together on the project, but while submitting it, one of them stole the thunder.",,
taste of own medicine,when someone gets the same bad treatment that he has been giving others,I'm tired of him always finding faults with me. I'm going to give him a taste of his own medicine.,dict,0,"frozenset({'medicin', 'tast'})",taste of own medicine,when someone gets the same bad treatment that he has been giving others,I'm tired of him always finding faults with me. I'm going to give him a taste of his own medicine.,,
kill two birds with one stone,accomplish two different things at the same time,"I have to go to the bank, and on the way back, I'll pick up the groceries as well, killing two birds with one stone.",dict,0,"frozenset({'one', 'bird', 'stone', 'kill', 'two'})",kill two birds with one stone,accomplish two different things at the same time,"I have to go to the bank, and on the way back, I'll pick up the groceries as well, killing two birds with one stone.",,
deliver the goods,do what is required,So far the team's new player has failed to deliver the goods. He failed to open his account in his first three games.,dict,0,"frozenset({'deliv', 'good'})",deliver the goods,do what is required,So far the team's new player has failed to deliver the goods. He failed to open his account in his first three games.,,
balancing act,an action that needs a fine balance between different conditions or wishes,A working woman in our country has to constantly perform a balancing act between excelling in her career and taking care of the family.,dict,0,"frozenset({'balanc', 'act'})",balancing act,an action that needs a fine balance between different conditions or wishes,A working woman in our country has to constantly perform a balancing act between excelling in her career and taking care of the family.,,
hit the nail on the head,be accurately right about something,Stephen hit the nail on the head when he said that what the company was lacking in was clear vision and focus.,dict,1,"frozenset({'hit', 'nail', 'head'})",hit the nail on the head,be accurately right about something,Stephen hit the nail on the head when he said that what the company was lacking in was clear vision and focus.,hit the nail on the head,to describe exactly what is causing a situation or problem
can't judge a book by its cover,outward appearance cannot be an indicator of someone or something's value or worth,"The candidate did not look very intelligent, but you can't judge a book by its cover.",dict,0,"frozenset({'book', 'cover', 'judg'})",can't judge a book by its cover,outward appearance cannot be an indicator of someone or something's value or worth,"The candidate did not look very intelligent, but you can't judge a book by its cover.",,
backseat driver,co-passenger who unnecessarily criticizes the driver while himself doing nothing,I cannot stand my relatives being backseat driver to me.,dict,0,"frozenset({'driver', 'backseat'})",backseat driver,co-passenger who unnecessarily criticizes the driver while himself doing nothing,I cannot stand my relatives being backseat driver to me.,,
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",The presidential candidate's provocative speech in these violent times is only going to add fuel to the flames.,dict,0,"frozenset({'flame', 'fuel', 'add'})",add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",The presidential candidate's provocative speech in these violent times is only going to add fuel to the flames.,,
accidentally on purpose,performing an action intentionally and pretending to either oneself or to the world that as an accident,"I hate this flower vase so much, some day I might drop it accidentally on purpose.",dict,0,"frozenset({'purpos', 'accident'})",accidentally on purpose,performing an action intentionally and pretending to either oneself or to the world that as an accident,"I hate this flower vase so much, some day I might drop it accidentally on purpose.",,
monkey business,silly act,I want to sleep. Stop disturbing me by your monkey business.,dict,0,"frozenset({'monkey', 'busi'})",monkey business,silly act,I want to sleep. Stop disturbing me by your monkey business.,,
in tandem,one after another,"He often works in tandem with an engineer, one coding for the website and the other taking care of website design.",dict,0,frozenset({'tandem'}),in tandem,one after another,"He often works in tandem with an engineer, one coding for the website and the other taking care of website design.",,
tall poppy,a privileged or distinguished person.,Recently a party was hosted in the city where all the tall poppies were invited to raise charity for clean shelters in suburbs.,dict,0,"frozenset({'tall', 'poppi'})",tall poppy,a privileged or distinguished person.,Recently a party was hosted in the city where all the tall poppies were invited to raise charity for clean shelters in suburbs.,,
don't count your chickens before they hatch,do not count on something that has not yet happened,"Before committing to make the payment, wait till you receive the money from the bank. Don't count your chickens before they hatch.",dict,0,"frozenset({'chicken', 'hatch', 'count', 'befor'})",don't count your chickens before they hatch,do not count on something that has not yet happened,"Before committing to make the payment, wait till you receive the money from the bank. Don't count your chickens before they hatch.",,
devil's advocate,one who presents a counter argument,"I agree with what you say, but I'll play devil's advocate so that we can cover all the possibilities that may arise.",dict,0,"frozenset({'advoc', 'devil'})",devil's advocate,one who presents a counter argument,"I agree with what you say, but I'll play devil's advocate so that we can cover all the possibilities that may arise.",,
cut the mustard,to succeed,"My neighbor had applied for the post of architect in a big project, but did not cut the mustard.",dict,0,"frozenset({'cut', 'mustard'})",cut the mustard,to succeed,"My neighbor had applied for the post of architect in a big project, but did not cut the mustard.",,
don't give up the day job,a usually humorous way of telling someone not to pursue something full time as he or she is not good at it,I watched your performance at the theater today. My advice is don't give up your day job.,dict,0,"frozenset({'give', 'day', 'up', 'job'})",don't give up the day job,a usually humorous way of telling someone not to pursue something full time as he or she is not good at it,I watched your performance at the theater today. My advice is don't give up your day job.,,
drastic times call for drastic measures,extreme circumstances can only be resolved by equally extreme actions,"After the company had posted losses for the third consecutive year, the board decided to replace all of its top management. After all, drastic times call for drastic measures.",dict,0,"frozenset({'measur', 'time', 'call', 'drastic'})",drastic times call for drastic measures,extreme circumstances can only be resolved by equally extreme actions,"After the company had posted losses for the third consecutive year, the board decided to replace all of its top management. After all, drastic times call for drastic measures.",,
don't put all your eggs in one basket,don't make everything dependent on one thing,It would be better if you applied to several companies instead of just one; don't put all your eggs in one basket.,dict,0,"frozenset({'put', 'one', 'basket', 'all', 'egg'})",don't put all your eggs in one basket,don't make everything dependent on one thing,It would be better if you applied to several companies instead of just one; don't put all your eggs in one basket.,,
under the weather,to be ill or feel ill,"I did not go to work today, as I was feeling a bit under the weather.",dict,0,"frozenset({'under', 'weather'})",under the weather,to be ill or feel ill,"I did not go to work today, as I was feeling a bit under the weather.",,
hear on the grapevine,to hear rumours about something,"I heard on the grapevine that he was being promoted, but I don't know anything further.",dict,0,"frozenset({'grapevin', 'hear'})",hear on the grapevine,to hear rumours about something,"I heard on the grapevine that he was being promoted, but I don't know anything further.",,
far cry from,something that is very different from something else,The apartment they live in now is a far cry from the huge mansion they once used to have.,dict,0,"frozenset({'far', 'cri'})",far cry from,something that is very different from something else,The apartment they live in now is a far cry from the huge mansion they once used to have.,,
viper in bosom,a person who deceives you after receiving help from you,I got my friend a good position in my company and all he did is convinced my manager to get him the designation I had in the project. He was no more than a viper in my bosom.,dict,0,"frozenset({'bosom', 'viper'})",viper in bosom,a person who deceives you after receiving help from you,I got my friend a good position in my company and all he did is convinced my manager to get him the designation I had in the project. He was no more than a viper in my bosom.,,
make a virtue of necessity,extract something beneficial from an unwelcome obligation,It's was a long journey from Delhi to Australia so I thought I would make a virtue of necessity and write some articles that had to be submitted to the magazines.,dict,0,"frozenset({'necess', 'make', 'virtu'})",make a virtue of necessity,extract something beneficial from an unwelcome obligation,It's was a long journey from Delhi to Australia so I thought I would make a virtue of necessity and write some articles that had to be submitted to the magazines.,,
warn off,inform someone forcefully to stay at a distance,The board was placed near the manhole to warn off the kids from playing there.,dict,0,"frozenset({'off', 'warn'})",warn off,inform someone forcefully to stay at a distance,The board was placed near the manhole to warn off the kids from playing there.,,
wash hands of,abandon taking responsibility for someone or something,That job did no good to me. I washed my hands of it few months back and joined another one.,dict,0,"frozenset({'hand', 'wash'})",wash hands of,abandon taking responsibility for someone or something,That job did no good to me. I washed my hands of it few months back and joined another one.,,
in the heat of the moment,saying or doing something without thinking due go anger or excitement,He really didn't mean what he said about you. He said it in the heat of the moment.,dict,0,"frozenset({'moment', 'heat'})",in the heat of the moment,saying or doing something without thinking due go anger or excitement,He really didn't mean what he said about you. He said it in the heat of the moment.,,
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,Don't blame me for the argument. It takes two to tango! You are equally responsible.,dict,0,"frozenset({'take', 'two', 'tango'})",takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,Don't blame me for the argument. It takes two to tango! You are equally responsible.,,
get a raw deal,unfair treatment. Example: She got a very raw deal in terms of his father's will: everything was left to her younger sisExample: unfair treatment. ,She got a very raw deal in terms of his father's will: everything was left to her younger sisExample: ing: unfair treatment. Example: She got a very raw deal in terms of his father's will: everything was left to her younger sis,dict,0,"frozenset({'get', 'deal', 'raw'})",get a raw deal,unfair treatment. Example: She got a very raw deal in terms of his father's will: everything was left to her younger sisExample: unfair treatment. ,She got a very raw deal in terms of his father's will: everything was left to her younger sisExample: ing: unfair treatment. Example: She got a very raw deal in terms of his father's will: everything was left to her younger sis,,
over my dead body,"in no way, under no circumstances",You will go on a date with my sister over my dead body!,dict,1,"frozenset({'bodi', 'over', 'dead'})",over my dead body,"in no way, under no circumstances",You will go on a date with my sister over my dead body!,over his dead body,this expression is used by someone who absolutely refuses to allow someone to do something
