idiom,meaning,intended_ambiguous,intended_figurative,intended_literal,num_reprompt,pron_converted,intended_ambiguous_old,intended_figurative_old,intended_literal_old,annotations_ambiguous_old,annotations_figurative_old,annotations_literal_old,well_formed_old,maxvote_id_old,maxvote_ambiguous_old,maxvote_figurative_old,maxvote_literal_old
a voice crying in the wilderness,to say something that is not popular,a voice crying in the wilderness,"his warnings about climate change were like a voice crying in the wilderness, as few people paid attention","while hiking, they heard a voice crying in the wilderness and went to investigate",0,False,She's a voice crying in the wilderness,She's a voice crying in the wilderness as she protests against the injustice in the society,She's a voice crying in the wilderness as she screams for help from the remote location,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
a wakeup call,something that makes you realize that you need to take action to change a situation,she received a wakeup call,"after failing the exam, she received a wakeup call to study harder",she received a wakeup call from the hotel's front desk at 6 a.m.,0,False,It's a wakeup call,It's a wakeup call for me to start being more responsible with my time,It's a wakeup call because the alarm just went off,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
a wet blanket,a person who spoils other people's fun.,being a wet blanket,"he was always being a wet blanket at parties, constantly complaining","after the rainstorm, the picnic blanket was being a wet blanket on the ground",0,False,He's a wet blanket,"He's a wet blanket, extinguishing any enthusiasm in the room","He's a wet blanket, literally drenching the atmosphere with water","['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
a whale of,very big (piece) of something,had a whale of a time,we had a whale of a time at the amusement park,the marine biologist had a whale of a time studying the humpback's behavior,0,False,She had a whale of a time,She had a whale of a time at the amusement park,She had a whale of a time cutting up the whale,"['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
a whole new ball game,a significant change in circumstances.,it's a whole new ball game,"after the company's merger, it's a whole new ball game for the employees","when they switched from soccer to baseball, it's a whole new ball game for the players",0,False,This is a whole new ball game,This is a whole new ball game now that we've received the grant,"This is a whole new ball game, as we just switched to soccer","['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,started a witch hunt,the company started a witch hunt to find the person responsible for the leak,"during the historical reenactment, they started a witch hunt to portray the events accurately",0,False,The investigation is a witch hunt,The investigation is a witch hunt because they are trying to quickly find someone to blame,The investigation is a witch hunt as they are trying to identify and punish a witch,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
Achilles heel,a vulnerable spot or weakness,his Achilles heel,"despite his intelligence, procrastination was his Achilles heel","during the anatomy class, we studied his Achilles heel and its function",0,False,This is his Achilles heel,"This is his Achilles heel, as he always has difficulty containing his emotions","This is his Achilles heel, as he has a weak spot on the back of his heel where he gets injured easily","['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
acid test,a test that proves a hypothesis or validity of a product or idea,the acid test for their relationship,moving in together was the acid test for their relationship to see if they could handle living with each other,the chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,0,False,We have to put this to the acid test,We have to put this to the acid test to see if it will help us in the long run,We have to put this to the acid test to see if it remains the same after a chemical reaction,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
across the board,applying to everyone,improvements across the board,the company saw improvements across the board after implementing new strategies,the chess master made improvements across the board by adjusting the positions of his pieces,0,False,We took action across the board,We took action across the board to make sure the situation was handled efficiently,We took action across the board that was laid out in front of us,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
act of God,an occurrence of out of control natural forces in action,an act of God,the sudden storm that saved the village from invaders was considered an act of God,"in the play, the actor portraying Zeus performed an act of God by throwing a lightning bolt",0,False,It was an act of God,It was an act of God when the hurricane destroyed our town,It was an act of God when the choir sang to praise Him,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'ambiguous']",False,figurative : figurative : ambiguous,figurative,figurative,ambiguous
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",they added fuel to the flames,"by spreading rumors, they added fuel to the flames of the ongoing conflict","to keep the bonfire going, they added fuel to the flames by throwing more wood",0,False,He added fuel to the flames,He added fuel to the flames by arguing and making things worse,He added fuel to the flames by placing some fuel on the burning log,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
afraid of my own shadow,to be very nervous or easily frightened,afraid of my own shadow,I was so nervous that I became afraid of my own shadow during the presentation,the haunted house made me so jumpy that I was afraid of my own shadow,0,False,"I'm afraid of my own shadow"" ",I'm afraid of my own shadow because I'm always anxious over every little thing,I'm afraid of my own shadow because it's always following me,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
against the clock,in a great hurry to finish something before a particular time,were racing against the clock,"with the deadline approaching, we were racing against the clock to finish the project","in the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",0,True,We are working against the clock,We are working against the clock to make sure the project gets finished on time,We are working against the clock because it's ticking loudly,"['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'figurative']","['literal', 'literal', 'literal']",False,ambiguous : literal : literal,ambiguous,literal,literal
against the grain,a difficult path to be followed,going against the grain,his decision to quit his job was going against the grain of his family's expectations,"when sanding wood, going against the grain can cause scratches and damage",0,False,She always goes against the grain,She always goes against the grain by challenging the status quo and thinking outside the box,"She always goes against the grain, literally carving a piece of wood in the opposite direction","['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
ages,a long time; a very long time,haven't seen you in ages,it feels like I haven't seen you in ages since we last met,"during our time-travel adventure, I haven't seen you in ages as we got separated in different eras",1,False,He's been waiting ages,He's been waiting ages for her to make a decision,"He's been waiting ages, since he started at 9 a.m","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']","['literal', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
ahead of the curve,better than others,was staying ahead of the curve,"by constantly learning new skills, she was staying ahead of the curve in her industry",the race car driver was staying ahead of the curve by maintaining a lead on the track,0,True,She's ahead of the curve,"She's ahead of the curve, always thinking about what's new and cutting-edge","She's ahead of the curve, as her car was in front of the other cars on the highway","['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
ahead of the pack,more successful than other people who are trying to achieve the same things,staying ahead of the pack,"by consistently innovating, the company is staying ahead of the pack in the industry","during the marathon, the lead runner was staying ahead of the pack of other runners",0,False,He's ahead of the pack,He's ahead of the pack because of his quick thinking and step ahead of others,He's ahead of the pack by a few meters due to his fast running speed,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
air their dirty laundry,to make public something embarrassing that should be kept secret,they aired their dirty laundry,"during the family reunion, they aired their dirty laundry in front of everyone",they aired their dirty laundry outside on the clothesline,0,True,We air our dirty laundry,"We air our dirty laundry to other people, meaning we expose our secrets and flaws to them",We air our dirty laundry on the clothesline,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,be all ears,"when she started telling her story, I promised to be all ears","in the surreal art exhibit, the walls appeared to be all ears",0,False,I'm all ears,"I'm all ears, ready to listen to you attentively","I'm all ears, literally ready to hear you from my two ears","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,figurative : figurative : literal,figurative,figurative,literal
all Greek to me,used to convey that you cannot understand what is being said or written,it's all Greek to me,"when he started talking about quantum physics, it's all Greek to me","since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",0,False,It's all Greek to me,It's all Greek to me when they talk about the stock market,It's all Greek to me when they start speaking the language,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","an all singing, all dancing event","the company's annual party was an all singing, all dancing event with various performances","the talent show was an all singing, all dancing event where every participant sang and danced simultaneously",0,False,"The car is all singing, all dancing","The car is all singing, all dancing with its fancy bells and whistles","The car is all singing, all dancing with its new sound system and air freshener","['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,ambiguous : figurative : figurative,ambiguous,figurative,figurative
all the rage,when something is the height of popularity,the new fashion trend was all the rage,"in the 90s, the new fashion trend was all the rage among teenagers","when the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",0,False,It's all the rage,It's all the rage these days to wear bright shoes and headbands,It's all the rage in the conference room because all the executives are talking about it,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,ambiguous : figurative : figurative,ambiguous,figurative,figurative
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",went all the way up,her career went all the way up after she landed a major role in a blockbuster movie,the elevator went all the way up to the top floor of the building,0,False,She goes all the way up,She goes all the way up the corporate ladder,She goes all the way up the stairs,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
an arm and a leg,a large amount of money,cost an arm and a leg,the designer dress she wanted cost an arm and a leg,the prosthetic limbs he needed cost an arm and a leg at the medical supply store,0,False,"The cost of the restaurant was an arm and a leg"" ","The cost of the restaurant was an arm and a leg, since it was such an expensive meal"," ""The cost of the restaurant was an arm and a leg, literally","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
an item,be involved in a romantic relationship,became an item,"after months of dating, they finally became an item and made their relationship official","in the virtual reality game, the player's avatar became an item to be collected by others",0,False,"It's an item on the list"" ",It's an item on the list that I just can't seem to check off,It's an item on the list that needs to be purchased at the store,"['ambiguous', 'ambiguous', 'literal']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,ambiguous : literal : literal,ambiguous,literal,literal
ants in pants,be extremely restless,had ants in his pants,he had ants in his pants and couldn't focus on the presentation,"while picnicking, he accidentally sat on an anthill and had ants in his pants",1,False,She has ants in her pants,She has ants in her pants because she's full of energy and can't sit still,She has ants in her pants because she accidently spilled her snack with the bugs in them,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
apple polisher,a flatterer; toady,being an apple polisher,he got the promotion by being an apple polisher and constantly flattering the boss,she took up the job of being an apple polisher at the fruit market,0,False,He's an apple polisher,He's an apple polisher who always attempts to impress his teacher with flattering comments when he should be focusing on his work,He's an apple polisher who spends a significant amount of time attempt to make the apples look shiny and perfect,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
apples and oranges,two things that are fundamentally different and therefore not suited to comparison,comparing apples and oranges,arguing about their preferences in music was like comparing apples and oranges,"at the grocery store, they were comparing apples and oranges to decide which fruit to buy",0,False,That's like comparing apples and oranges,"That's like comparing apples and oranges, since they are completely incomparable","That's like comparing apples and oranges, since they are two different types of fruits","['figurative', 'ambiguous', 'figurative']","['figurative', 'ambiguous', 'literal']","['literal', 'ambiguous', 'literal']",False,figurative : ambiguous : literal,figurative,ambiguous,literal
apples to apples,having a fair comparison between the two things,to compare apples to apples,"to make a fair judgment, we need to compare apples to apples in this situation","in the fruit market, we had to compare apples to apples to find the best quality",0,True,Let's compare apples to apples,Let's compare apples to apples to see which product is better,Let's compare apples to apples to see which one tastes sweeter,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
arm in arm,to be closely allied,walked arm in arm,the two companies walked arm in arm in their joint venture,"the couple walked arm in arm down the street, enjoying the evening",0,False,They walked arm in arm,"They walked arm in arm, showing their strong bond of friendship","They walked arm in arm, with their arms linked around each other","['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
as far as,to the extent of something,as far as the eye can see,his influence extends as far as the eye can see in the business world,the vast desert stretched out as far as the eye can see,0,False,We've gone as far as we can,We've gone as far as we can with this project; any more effort would be fruitless,We've gone as far as we can; we won't be able to go any farther without getting to the ocean,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
as long as,to put condition of time on an action,as long as the rope,his patience was as long as the rope when dealing with difficult customers,the snake was as long as the rope lying next to it,0,False,He runs as long as,"He runs as long as he can, taking into account his physical abilities and limitations",He runs as long as two miles each day,"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'literal']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
asked for the moon,ask for something that is very difficult or impossible to get,asked for the moon,he asked for the moon when he requested a million-dollar salary,"the child, fascinated by astronomy, playfully asked for the moon as a birthday gift",0,False,I asked for the moon,"I asked for the moon, when I requested for that position","I asked for the moon, even though it is impossible to get","['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']",False,figurative : figurative : figurative,figurative,figurative,figurative
asleep at the switch,failing to attend to one's responsibilities or duties,asleep at the switch,the manager was asleep at the switch when the crisis occurred,the train operator fell asleep at the switch during his break,0,False,He was asleep at the switch,He was asleep at the switch when his team scored the winning goal,He was asleep at the switch because he was so tired,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",asleep at the wheel,the manager was asleep at the wheel when the company lost a major client,he was so exhausted that he fell asleep at the wheel while driving,0,False,He was asleep at the wheel,"He was asleep at the wheel, not paying close attention to the job at hand",He was asleep at the wheel as he was too tired to drive,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
at an arm's length,as far away from your body as possible,kept it at an arm's length,she kept it at an arm's length to avoid getting too involved in the situation,he kept it at an arm's length to prevent the paint from smudging his clothes,0,False,We kept her at an arm's length,We kept her at an arm's length because we didn't want to get too close to her,We kept her at an arm's length so she couldn't touch us,"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
at daggers drawn,almost ready to fight,at daggers drawn with each other,the two politicians were at daggers drawn with each other during the debate,the actors were at daggers drawn with each other during the stage fight scene,0,False,They were at daggers drawn,"They were at daggers drawn, ready to argue with one another at any given moment","They were at daggers drawn, prepared to use their daggers if the fight got worse","['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",she started at the bottom of the ladder,she started at the bottom of the ladder in the company and worked her way up,"before climbing, she started at the bottom of the ladder and checked each rung for stability",0,False,She's at the bottom of the ladder,"She's at the bottom of the ladder, struggling to make something of herself",She's at the bottom of the ladder because she's the lowest rung,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
at the drop of a dime,something that can happen very fast without hesitation,ready at the drop of a dime,our team is always ready at the drop of a dime to tackle any challenge,the coin collector was ready at the drop of a dime to catch the rare coin,0,False,She can do it at the drop of a dime,She can do it at the drop of a dime if given the right motivation,She can do it at the drop of a dime if she can find one on the ground,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'ambiguous']",False,figurative : figurative : ambiguous,figurative,figurative,ambiguous
at the drop of the hat,to do something easily and without any preparation,ready at the drop of a hat,she was always ready at the drop of a hat to help her friends,"as a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",0,False,He was ready to go at the drop of the hat,"He was ready to go at the drop of the hat, as soon he got his marching orders, he was out the door","He was ready to go at the drop of the hat, as soon he heard the sound of the hat dropping, he was out the door","['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
at the heels of,close behind or soon after something,at the heels of,"the ambitious employee was at the heels of the leader, trying to impress them",the dog was at the heels of the leader during the hike,1,False,They arrived at the heels of,"They arrived at the heels of the others, signifying how much they admired their thought-leadership","They arrived at the heels of the others, running in a single-file line","['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
at the helm,"in charge of an organization, group of people, etc.",at the helm of the project,"she was at the helm of the project, guiding the team to success","the captain stood at the helm of the project, steering the ship through the storm",0,False,we have her at the helm,We have her at the helm to lead us through this difficult challenge,We have her at the helm of the boat,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['ambiguous', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
ate her alive,to criticize someone severely because you are angry with them,it ate her alive,the guilt of lying to her best friend it ate her alive for days,"in the horror movie, the monster found her hiding spot and it ate her alive",0,False,They ate her alive,They ate her alive with their pointed comments and verbal attacks,They ate her alive as she was covered in honey,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
axe to grind,have a private or selfish reason for doing something,had an axe to grind,he had an axe to grind with his coworker after the disagreement,the lumberjack had an axe to grind before chopping down the tree,0,False,He had an axe to grind,He had an axe to grind to prove his point during the meeting,He had an axe to grind because he needed to sharpen it,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
back against the wall,to be in a tough situation with limited options,he had his back against the wall,"with no other options left, he had his back against the wall and had to make a decision",he had his back against the wall while waiting for the elevator,0,True,They had their back against the wall,They had their back against the wall because they were losing the argument,They had their back against the wall because there was nowhere else to sit,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
back door,to take indirect or unofficial route to get something done,she went through the back door,she went through the back door to get a promotion without proper qualifications,she went through the back door to avoid being seen by the guests,0,False,He was using the back door,He was using the back door to sneak around the rules,He was using the back door to get into the building,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,she backed the wrong horse,she backed the wrong horse when she supported the losing candidate,"at the racetrack, she backed the wrong horse and lost her bet",0,False,He's backed the wrong horse,He's backed the wrong horse by not taking the advice of his experienced colleagues,He's backed the wrong horse because he placed his bet on the unsuccessful one,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'figurative', 'figurative']",False,ambiguous : figurative : figurative,ambiguous,figurative,figurative
