idiom,meaning,example
as thick as thieves,a very secretive and close relationship between people.,They remained as thick as thieves for several weeks. This made us curious to know what they were doing. 
belle of the ball,the most beautiful woman in a gathering.,She felt like the belle of the ball as she danced the night away with her beau.
make a beeline for,to go straight for something.,The linebacker made a beeline for the quarterback when he saw an opening.
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.",She dug her own grave when she started talking behind her boss's back.
in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",The two young men were in bed with the neighborhood gangs.
foot in the door,succeed with a first step.,Mary was so excited to get her foot in the door with her new internship.
break one's back,get through the hardest part of something.,I'm tired and need an ice-cold drink. I broke my back at work today on that project.
blank check,Complete authority or unrestricted freedom of action or a free hand.,Roger was given a blank check by Mr. Musk. He could spend as much as he wanted to implement the latest driving technology.
not have a clue,to not know something.,"You think you're smart, but you do not have a clue about how things work."
in one's blood,a natural or inherited characteristic.,Singing is in Nina's blood.
not all it's cracked up to be,Not as good as people say it is.,The highly ranked institutions in Boston aren't all they're cracked up to be.
in the pink,in good health and spirits.,"As a famous president, he has the perfect reason to be in the pink."
on the line,to be at serious risk.,Put your toes on the line and form up!
a quick buck,to make money quickly.,He decided to make a quick buck by selling his CD collection.
easier said than done,to explain that a task is easier to talk about than perform.,It's easier said than done when it comes to convincing people that something is true.
have designs on,to have a plan or secret desire to get something.,to have a plan or secret desire to get something.
keep one's own counsel,say little or nothing about one's opinions or intentions.,"I doubted what he said, but I kept my own counsel."
been around,(existed) been present and active.,This is not a new viral video; it's been around for a couple of years.
sacred cow,something that people believe or accept as true without questioning it.,The journalist esteemed too many sacred cows.
come to grief,to have an accident or suffer disaster.,Their relationship came to grief following their disastrous vacation.
make a clean breast,to tell the truth about something.,Sharon made a clean breast of it and threw Ashley under the bus.
bone to pick,having a complaint that needs to be discussed.,Jake walked up to Robert and told him that he had a bone to pick with him.
from cradle to grave,The phrase is used to refer to something that spans a human lifetime.,"He was a difficult man; from the cradle to the grave, he was constantly angry or upset."
faint of heart,to not be strong enough to handle a situation.,This movie is not for those who are faint of heart. You better go to bed right now.
bat an eye,"to avoid expressing surprise, fear, or shock.",The man didn't bat an eye when the explosions went off around him and bullets zipped past his head.
cross paths,encounter or meet someone by chance.,I believe we will cross paths soon.
riddle me,"a catchphrase used to introduce a joke, observation, question, or riddle.","Despite acting so confidently, riddle me this: how will we get all that money within a day?"
fall on deaf ears,to disregard or ignore.,His protestations that the project would put the firm over budget fell on deaf ears.
clarion call,A clarion is a high-pitch bugle.,All of the citizens heard the clarion call and prepared themselves to defend their city. 
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.","I made it all the way up the steep incline, but I didn't have the energy to go on. "
off grid,disconnected from municipal utility systems.,"Tony built an off-grid bunker, complete with non-perishable food, a water purification system, and solar panels."
cover one's tracks,"to keep one's location, activities, and intentions hidden.","The burglars were very meticulous in covering their tracks, making it difficult for law enforcement to catch them."
child's play,an informal expression meaning something that is easy to do,"If you practise enough, driving will eventually become child's play."
class act,"high-quality performance or display; additionally, the performer",LeBron James has truly been a class act in basketball long before he entered the NBA.
cakewalk,something that can be easily accomplished.,"I thought the course was going to be difficult, but it ended up being a cakewalk."
the other side of the coin,"the opposite aspect, contrasting arguments.",You should consider the other side of the coin when a wife leaves her husband and not just blame her for walking out on him.
cross swords,to fight with another person physically or verbally.,The vice-presidents crossed swords at all policy meetings.
between the devil and the deep blue sea,between two equally difficult or unacceptable choices.,I am in a pickle. Anything I do is going to cause this situation to turn out bad. I'm really stuck between the devil and the deep blue sea.
lights are on but nobody is home,used to describe a stupid person.,"No matter how hard I try to understand what Jim is talking about, it is apparent that his lights are on but nobody is home."
easy money,"Rewards, progress or other good results with little or no effort.","The problem is that the working class perpetually has to struggle to get by, whereas the rich continually have access to easy money."
hit the hay,to go to sleep or head to bed.,"I have to get up early, so I better hit the hay soon. "
hit the sack,to go to bed,I am really tired after all that exercise. I am going to hit the sack.
on the blink,to be malfunctioning or not operating correctly.,The computer is on the blink again; I really need to check whether there's a virus causing problems.
busy as a beaver,work very hard and actively.,"I often find my husband in the garage, busy as a beaver, working on some new project."
red zone,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity.","The alley behind the schoolyard is effectively a ""red zone,"" since that is where all of the bullies hang out."
hand in hand,close ties or connections,I saw a couple walking hand in hand along the beach. 
upside down,"literally refers to an object that has been reoriented so that the portion which would otherwise be considered the top is now at the bottom, i.e., it is in an inverted position.","Out of embarrassment, I turned the book upside down so that he would not see the title of what I was reading."
make common cause,"to enter into an agreement or shared effort, especially for expedient purposes and with a party (or parties) otherwise deemed to be enemies.",We have set aside our disagreements and made common cause.
red book,"any document or publication, which is bound in red and serves as an official collection of rules, regulations, laws, or legal principles.","any document or publication, which is bound in red and serves as an official collection of rules, regulations, laws, or legal principles."
roots run deep,"similar in meaning to ""deep-rooted.""",His family has long been supported the monarchy; their royalist roots run deep.
light of one's life,someone who makes one very happy.,"Because he was there with him through everything, he saw him as the light of his life."
chip off the old block,the term is used to describe people who look like their parents.,"Like his brother, he is a chip off the old block, very rude in behavior and stout in physique."
wild card,an opportunity to participate in a sporting event without having to compete in qualifying matches or be ranked at a certain level.,Nobody can guess what Mark is going to do next. He's always been a bit of a wild card.
pay as you go,a payment system that allows you to pay right before a service you use rather than later.,"When it comes to mobile phone contracts, seven out of ten customers opt for pay-as-you-go plans."
by dint of,as a result of something,He triumphs by dint of his persistence.
do one's bit,to do a share of a task.,"When people can ""do their bit"", they are helping support a larger cause."
blast from the past,a way to refer to something or someone reminding you of an earlier time.,What a blast from the past! I haven't heard that song in years.
birds of a feather,"people with similar tastes, interests, and backgrounds","Ethan saw Jason had the same type of car and shrugged, ""Birds of a feather."""
rock the boat,to make trouble.,"If you don't want any trouble with your boss, then stop rocking the boat."
spare someone's blushes,to stop someone from feeling awkward or embarrassed.,My teacher spoke up to spare the blushes of the new student.
blue eyed boy,a person who is treated with special favor.,Managers at Apple have been trained against having blue-eyed boys.
"blood, sweat, and tears",putting a lot of effort to get a task done.,"He has put in nothing but blood, sweat, and tears into this company."
bad blood,to have ill feelings towards someone,The villagers say the arson attack may have been the result of bad blood between the two families.
blind date,to go on a date with someone you have never met before.,I'm going on a blind date with a guy that Jack knows from college.
body and soul,with all one's effort and ability,A great painter must put their body and soul onto the canvas.
take a leaf out of someone's book,implement actionable advice,"I couldn't decide what to do after high school, but my dad makes great money welding, so I took a leaf out of his book and went to trade school instead of college."
bring someone to book,make somebody accountable for their conduct.,"If Jessica continues with this behavior, I will have no choice but to bring her to book."
living on borrowed time,not expected to live much longer.,"He was told he only had three months left to live, so he is living on borrowed time now that it is four months later."
break new ground,to do something innovative,Advancements in computer technology break new ground almost every day. 
hit the panic button,prepare for disaster,"Dad's fishing pole dove into the lake without warning, and he hit the panic button before jumping up with the reel-spinning like crazy in his hand."
wide berth,"avoid (a person, place, or circumstance)","When walking through the yard, make sure you leave a wide berth for the dog, or he may bite you."
bury head in the sand,hide from the truth,"Finals begin in a week and if I continue to bury my head in the sand, I'll be taking this class again next semester."
rain check,declining an offer that might be taken up later.,He said he would take a rain check on visiting us today.
buy time,"to do something in order to postpone an event, a result, etc.","I am currently delivering pizza, buying time to apply for a better job."
between you and me,a secret to be kept between two people,"Let me tell you something. Just between you and me, I don't think her painting deserves the first prize."
as bold as brass,"daring, brave, bold or overconfident","I was nervous about approaching the recording artist, but my friend Jane went to him, as bold as brass, and requested a group photo."
behind bars,to be in jail or prison,"Before the end of this year, Harrison will be behind bars for his crimes."
bosom friend,best friend who is very close to you,The two ladies who were arrested for injuring each other for one man were bosom friends for years.
beau monde,a fashionable society.,He had no interest in the glittering beau monde that he belonged to before his marriage.
rob Peter to pay Paul,to cause harm to one person in order to do good for another.,"I moved money from the college savings account to my main account so the debit would clear, robbing Peter to pay Paul."
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,"Since starting my new job, I have been burning the candle at both ends."
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,"He tries to come across as a neutral party, but he is very aware of which side his bread is buttered on."
fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,"Vacuuming the carpet while her co-worker was in with the boss, trying to steal her job, felt like fiddling while Rome burned."
yoke around one's neck,a fatiguing burden.,"I refused to be the yoke around his neck, and so I turned down his generous offer of employment in a job for which I was unqualified."
get out of dodge,to leave.,"When I saw the big dog stalking toward me, growling and slobbering, I knew it was time to get out of dodge."
show the door,make it clear that somebody must leave,"After we finished our talk, he showed me to the door."
tasted blood,"to experience something thrilling and exciting, and want to experience it again.","Once a wolf has tasted blood, it has to be put down."
by and by,soon; after a while.,"By and by, she paused to make sure everyone was paying attention."
break the news,to make something known to everybody.,We are going to have to break the news to the kids that the concert has been cancelled.
a wet blanket,a person who spoils other people's fun.,"If you are going to come to my party, you can't be such a wet blanket."
get one's feet wet,to begin taking part in a new activity,"Finally, you've decided to get your feet wet and enrolled in your singing classes."
go bananas,become very angry or act crazy,She'll go bananas if she sees the house in this (dirty) condition.
it's not brain surgery,to indicate that a specific task is simple and easy to undertake ,"Learning to ride a bike is simple, it's not brain surgery."
come to blows,to start fighting,I'm glad we were able to resolve this disagreement without coming to blows.
the brains behind,"used to refer to the person who originally invented a particular scheme, plan or idea",Gladys was the brains behind the successful birthday party that left all the children smiling on their way back home.
at the helm,"in charge of an organization, group of people, etc.",Lara resigned after a couple of years at the helm of the company.
pros and cons,good points and bad points,There are pros and cons to having children.
happy wife happy life,"to have a good life, you need to have a good wife","The first time I heard the phrase ""happy wife, happy life,"" I was a small person in college and found it very pleasant."
blind spot,"if you have a blind spot about something, you cannot accept or understand it","Please don't point out my ""blind spots"" to me; I would rather find them on my own."
how come,why or how,How come you are not going to the party?
a tall order,a challenging task or difficult requirement,Telling a player to score six goals in one game is a tall order.
silver spoon,having a rich or privileged background,Many fans believed that Vince was a silver spoon kid.
close shave,a narrow escape,I had a close shave last month. A motorist almost knocked me off my bike.
backhanded compliment,give ironical praise to someone,"The judges loved your performance, but this was a backhanded compliment since they also highlighted it was blunt."
scrape the bottom of the barrel,"It is a phrase used to describe something you know is not in good condition, but you have to select it since you don't have an option of choosing the better one.","Our school used to admit more than one thousand candidates, but we feel like we have been scraping the bottom of the barrel with the admitted applicants in late admission."
lightning fast,extremely quick,"At recess, the boys and girls run lightning fast."
word of mouth,oral communication,"To truly create the right buzz about this movie, we need to get the required word of mouth going in this city."
shoot the breeze,"spend time chatting, useless talking or chit-chat",They have spent the whole afternoon just shooting the breeze in the office.
big gun,a very powerful individual,He is a big gun at the law firm; he has never lost a single court case.
fake it till you make it,portray yourself like the person you always wanted to become,I had no idea that her family is so illiterate as she always pretended to be classy. Fake it till you make it.
feather one's (own) nest,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",John is so much concerned about helping others instead of feathering his own nest.
wane,a period of decline or reduction,"With his health on the wane, the coal worker had to take better care of himself."
nightmare dressed like a daydream,Describes something that seems very pleasant or attractive at first but eventually reveals itself as horrible.,Don't let her beauty fool you. She's just a nightmare dressed like a daydream.
blind impulse,sudden and unaccountable desire to do something,"Acting on what appeared to be a blind impulse, she submitted her resignation."
ride (on) a wave,to enjoy the advantages of something,The person that won the lottery was riding the wave of millions of dollars.
no spring chicken,Someone who's no longer young.,"My grandfather is no spring chicken, that's for sure."
rain or shine,Doing something regularly regardless of the circumstances.,"My brother is an early riser, but he runs at sunrise, come rain or shine."
on top of the world,in a good mood as everything is going well for you,He was on top of the world after he won the World Marathon Championships.
brownie points,"Praise or appreciation, usually for a service someone has done.",He picked up some brownie points with his manager by doing part of her report for her.
on the cards,"Something very likely to happen, occur or take place.",A promotion is in the cards for him.
at cross purposes,With aims or goals that conflict or interfere with one another.,It will be difficult for us to be successful if we continue working at cross-purposes.
stand a chance,"to have a possibility of succeeding, even if a remote one",Do you believe that you stand a chance of getting that job?
buckle down,make sure something stays in place,"She knew if she didn't buckle down, the tasks wouldn't get done."
take the cake,being the best in a competition,I can't believe you said that your hypocrisy takes the cake.
run across,meet someone by accident,"While cleaning my house, I ran across a book I'd lost."
in mint condition,something used that looks new,"She was cautious about buying the vintage t-shirt sight unseen, but the seller assured her it was in mint condition."
where the rubber meets the road,when you have to face your challenges,"John had an excellent idea for a project, but his colleagues weren't sure what would happen where the rubber meets the road."
happy go lucky,cheerful,"Even though it was storming outside, he kept his sunny disposition since he was happy-go-lucky."
rip off,the act of stealing,I can't believe I paid that much money for that outfit. It was a rip off.
second wind,another burst of energy when you had been too tired to finish,"Come on, let's have that shovel again. I'm getting a second wind now."
on board,"be physically on a plane, ship, vehicle, train, or rocket","Let's get Phoebe on board for the Madison project. After all, it is her area of expertise."
dog's life,a miserable and unpleasant life,Mark's been leading a dog's life since he was fired from the job.
bull's eye,the center of a target,It can't hurt to go right for the bull's eye - there's nothing wrong with getting things right the first time.
put cards on the table,be open and honest,"When John met up with Jane on their first date, John laid his cards on the table for Jane to know what he wanted."
keep card close to chest,"be secretive or cautious, give nothing away",The children did not know where they were to go for their family holiday trip. Their dad kept his cards close to his chest.
back to the wall,to be in a difficult situation,They have him with his back to the wall and now he has no more options but to pay back the debtors or go to jail for fraud.
fight like cat and dog,argue jealously and violently all the time,The married couple fought like cat and dog the entire time they were together.
leaps and bounds,progress very quickly,Regan's reading skills are coming on in leaps and bounds with the new teacher.
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,My father has helped me deal with things instead of sweeping them under the rug.
play cat and mouse,to play with or tease someone,The cops do not like playing cat and mouse games with the culprits before catching them.
big mouth,someone who talks too much,"Your big mouth always gets you in trouble at school, Steven!"
by hook or by crook,by any possible means,"The farmer will not sell us the land. By hook or by crook, he is hanging on to it."
call the shots,to be in charge of what is happening and what should happen,The policeman is the one who will call the shots during the political gatherings.
green thumb,good gardening results,My mother has green fingers. She can grow just about anything in the garden.
hit the roof,experience sudden anger,Jake's parents are going to hit the roof when they see the damage he's done to their car.
lone it,to do an activity alone,"They asked him to go to the movies, but he decided to lone it."
burst the bubble,the sudden end of a very happy or successful period,She looked so happy about getting married that her sister just couldn't burst the bubble.
close call,a narrow escape from disaster,"It was quite a close call, but my father managed to avoid hitting the animal that ran across the highway."
cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,The foreigner put the cat among the pigeons when he made some sensitive comments about the people's religion.
go out on a limb,do or say something that is different from most other people,"During an analysis of the news, he went out on a limb and expressed an opinion opposite to that held by the general public."
bury the hatchet,to stop fighting or arguing or to end old resentments,"After many quarrelling years, the two political parties finally decided to bury the hatchet."
all hell will let loose,"a situation suddenly becomes noisy and violent, usually with a lot of people arguing or fighting",All hell will let loose when the caged animals break out of their cages.
in cold blood,in a cruel way and without pity or other emotion,One young lady was shot dead in cold blood inside the premises of the shopping complex.
know on which side bread is buttered,know what is to one's advantage,She's far too clever to irritate her employer as she knows which side her bread is buttered on.
recharge one's batteries,take a break or holiday to relax and regain one's vim and vigour,"After all of this hard work, set some time aside to recharge your batteries."
pass the buck,passing blame to another person,That particular supervisor tends to pass the buck of all light duties to newly hired interns.
make all the difference,influence someone or something in a positive way,It will make all the difference when a mother phone calls their daughter before they head out for an interview.
under the auspices,"under the protection, sponsorship, or patronage",We restored the home under the auspices of the historical society.
look on the bright side,always try to see the good things even in bad situations,Don't worry about your exam score; look on the bright side. It is a significant improvement from the previous exam.
big brother,A large organization or government agency that tries to control all aspects of human life and society.,You need to aware of everything you do around here. Big Brother sees everything.
in broad daylight,during the daytime,"Politicians strongly condemn corruption and nepotism during political rallies, yet they go ahead and misuse public resources in broad daylight."
the buck stops here,The responsibility for a situation or a problem with somebody.,One does not need to blame anybody else for corruption in the republic of India; the buck stops with the leaders of the government of the world's biggest democratic nation.
cut the cord,to end a connection with someone,"In order to achieve true independence, developing countries must cut the cord and stop asking for financial aid from the developed countries."
"sponger, sponging, sponge off",someone who scrounges from others,Josh has turned up at my house three times this week just as I'm cooking dinner. What a sponger!
call bluff,"to challenge to prove one's claim, when they are likely attempting to deceive","When the employee threatened to quit if he was not given a pay rise, the boss called his bluff."
hit the road,depart,We'd better pack the car and hit the road before it gets dark.
zero hour,a time when a crucial decision or essential action must be taken,"Right before the dawn, the British military had been waiting for zero hour to start the operation against terrorists in Afghanistan."
dab hand,an expert or skilled person,Sophia is a dab hand at cooking.
bright spark,an intelligent and lively person (humorously),Emma is the bright spark of the school – she scored the highest marks in the class.
bare bones,most basic and important elements or facts,Wendy told us a bare-bones version of the long story.
put your foot in it,"say something (by mistake) that upsets, humiliates, or embarrasses someone",Carla put her foot right in it when she congratulated her neighbour on being pregnant. It turns out she's not expecting but had just put on weight.
waiting time,a period of time from when action is requested to when it happens,The waiting time for non-urgent surgery seems to be on the increase over the last five years.
tempest in a teapot,when a minor issue causes an exaggerated reaction of anger or trouble,"At first, I thought we were having a general discussion, but it ended setting off a tempest in the teapot."
storm in a teacup,an excessive enthusiasm or rage about a minor matter,I find the whole issue about these gender roles a storm in a teacup.
jump on the bandwagon,to start doing something because it is fashionable or profitable,The whole town was quick to jump on the bandwagon when people began to realize the home team would win the championship.
zonk out,to fall asleep very promptly,"After a very hard-working day, she zonked out."
too close for comfort,to be very close to something dangerous or unwelcoming,"She was standing on the edge of a cliff in the photo, too close for comfort."
jump to conclusions,to predict a situation without having sufficient information,Wait till we get the report; don't jump to conclusions.
in at the deep end,to start a new job or activity without being prepared for it,Soldiers are thrown in the deep end when they have just joined the army.
no picnic,used to express that an activity or action is not fun,I love having little kids around but cleaning up after them is no picnic.
so far so good,progress has been satisfactory up to now,"Thanks for asking; so far, so good."
feel blue,to feel sad or depressed,"Yesterday I felt blue, and nothing seemed to cheer me up."
out of hand,out of control,"When the police arrived, they realised the party was getting out of hand."
alma mater,"the school, college, or university that one attended or in which one has studied",He was delighted when he was offered the position of professor of English at his alma mater.
brain drain,the migration of highly skilled or trained people from a particular country,The slowdown in the advanced countries triggered a reverse brain drain to developing countries.
in the bad books,out of favour,Maria remains in his bad books after the argument between both.
black book,a book containing a list of secret contacts,Ann will not invite Bob to the party because he has been in her black books for so long.
take a cue from,to do what is recommended by someone else,"I'm not good at belly dance, so I'll take my cue from you."
fly off the handle,To lose one's temper and get angry for seemingly no reason (does not usually refer to situations that would warrant an emotional response).,I was so happy to find a parking spot and get out of the store when Jim came flying off the handle and yelled at me in front of everyone in line.
cold shoulder,to treat somebody with coldness and contempt,"I fought with my wife, and she is now giving me the cold shoulder."
in hot water,in trouble or state of shame,The opposition leader landed himself in a whole load of hot water after making several vulgar comments.
leg up,give or receive assistance to achieve a goal,Completing the summer study program gives pupils a leg up in the following academic year.
"get the sack (boot, axe)",be dismissed from the job,"If you can't do your job properly, you're going to get the sack."
skeleton in the closet,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose",I have come to know that Eric has a skeleton in his cupboard.
part and parcel,something that is a basic or essential element of the whole,Darkness is part and parcel of the night.
spill the beans,disclose a secret or reveal something prematurely,"Lauren finally spilled the beans. She has been promoted to manager, and it's going to upset some people in the office."
weather the storm,handle a difficult period of time successfully,"There haven't been any tourists this year, and the hotels, campsites, and restaurants are having to weather the storm until things pick up again."
the ball is in your court,the initiative for taking action lies with somebody,"We did what we could, and now the ball is in your court."
on the ball,"alert to new trends, ideas, and methods",The mother is glad to know that her son is always on the ball to learn new things in class.
on/to hand,"present, nearby, close, or easily accessible",My parents are always on hand if we need a babysitter.
time puts everything in its place,"time is persistent; as it passes eventually, everything goes back to its original state or place","After my breakup with Judy, I couldn't understand why things had to end so tragically, but I now understand time puts everything in its place in my new relationship."
white paper,official report or guide,The government will be issuing a white paper later this week.
"no pain, no gain",it is necessary to work hard or strive to reap rewards,"If you want to win the title next month, you have to train for an extra hour every day next week. No pain, no gain."
red tape,over excessive or time-consuming rules and bureaucracy that hinder progress,"She could have finished the project last week, but it was impossible to cut through all the red tape."
take it up/down a notch,apply more effort to achieve a goal,The team got through to the quarter-finals. Now they need to take it up a notch to get to the semis.
pour oil on troubled waters,"try to calm, soothe or placate a problematic situation","She's such a calm person; last week, the whole office was in uproar until she stepped in and poured oil on troubled waters."
elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward","When Geoff arrived at the meeting yesterday, he had a huge black eye. He gave us no explanation, and nobody dared ask him about it. So we sat there for the whole morning with this elephant in the room."
barking dogs seldom bite,"to threaten someone, but not take action or follow through with threats","""I haven't finished my maths homework. You know what Mr Peterson is like, he'll shout so loud they will hear him in the next town.""""Yes, but barking dogs seldom bite. It's just his way."""
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",She was late for the fourth day in a row. It will be another nail in her coffin when the boss hears about it.
break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",Jone suggested playing a party game to break the ice.
more than meets the eye,not as simple as it looks,"I had done some research, but there's more to the subject than meets the eye."
in the red,more money going out than coming in,"If your bank account goes in the red, the bank will charge you for every transaction."
white elephant,an expensive item with no use or purpose,Everyone thought the Olympic stadiums would be a white elephant after the closing ceremony.
in hand,under control,Don't worry about a thing; I've got it all in hand. I did it all online.
straight shooter,someone who speaks the truth,"I really like Ken. He's a straight shooter, that's for sure."
crack the whip,make someone work harder by asserting power or authority,"We'd better get some work done, or he'll crack the whip when he gets back from his tea break."
heads will roll,people will be fired or forced to resign,Heads are going to roll when the boss finds out about the missing stock.
rocket science,something very difficult to understand,"I've no idea why Kelly can't make a spreadsheet, and it's not exactly rocket science is it?"
black mood,"to be angry, irritable or in a temper","Geoff was in one of his black moods today, and no amount of cajoling could snap him out of it."
red-handed,doing or about to do something illegal or wrong,They caught him red-handed with his fingerprints all over the murder weapon.
eye candy,attractive visually but uninteresting in other ways,"The company website was pure eye candy because it looks good, but nothing is interesting when you dig deeper."
rest assured,emphasizing that there is no need to worry,You can rest assured that the transaction will be completed by the close of business today.
set the bar,fix the standards acceptable for the task,Don't set the bar so high that it's impossible to achieve anything.
rest in peace (RIP),"respect, sympathy and well wishes for a deceased person","He was a kind, caring and well-loved family man. May he rest in peace."
cross the line,behave in a way that is not acceptable,This newspaper has crossed the line. This article is so offensive to so many people.
easy peasy,very straightforward,Just copy what I do. It's easy peasy.
bitter pill,something unpleasant to be endured,Finding out that she was adopted was a hard pill for Hailey to take.
to the nines,to perfection,The masked ball was excellent. You should have seen the costumes. Everyone was dressed to the nines.
tide over,temporary help (often financial),"When I was at university, my mother always sent me food parcels to tide me over until my next grant cheque came."
shadowban,a method of censoring or controlling content on the internet,"Twitter has shadow-banned me, and no one will see my tweets now."
