idiom,instance,label,meaning,gold,revision,TimeMe,AssignmentId,WorkerId,gold_0,revision_0,gold_1,revision_1,gold_2,revision_2,gold_3,revision_3,maxVote
choke up,"while eating too quickly, he started to choke up on a piece of food",literal,make a person become overemotional and speechless,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[133.428, 89.137, 81.789, 156.521]","['33NF62TLXZIP42LG0GS0MMX78SYJKH', '386PBUZZXVD0O83YLG411MAMXS3JLK', '3DQQ64TANW1CLDIVK7GN7TDE4YDWPQ', '3N4BPTXIOO8YIIWACFWETO6IP8VUKN']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
the die is cast,"once the decision was made, there was no turning back; the die is cast",figurative,"an unalterable decision has been reached, or step taken.","[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[127.631, 39.421, 93.901, 160.232]","['3WYGZ5XF3CVI3546NA1EENOU4BASK5', '3QY7M81QHN2WK7KEZ733JWSYHXXK7A', '3P1L2B7ADH5EPJUV1TW69IR8WMELO6', '3YZ8UPK3V92GZKKMK2FG55TAKZOCUU']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
plays with fire,she plays with fire,ambiguous,people who take unnecessary risks or behave in a dangerous way,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[34.897, 112.719, 168.833, 85.07]","['3180JW2OTKSMMJ0DTTOUKXEPBY35JA', '3VELCLL3G0Z7TZDY9GVX299G6BG1FK', '33NF62TLXZIP42LG0GS0MMX78OVKJ7', '3EF8EXOTTHBNY1ZUS6MIH718ZIY1JO']","['A290OV59Q76QC8', 'A38DXFI1TZA295', 'AKQAI78JTXXC9', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
stand out,he had to stand out in the crowd to get a better view of the stage,literal,extend beyond or above a surface,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[137.477, 51.117, 69.575, 68.617]","['35LDD5557QKF5AR13D5S2EPOCMSKML', '37WLF8U1W56DG769GXYBDIS2MMDK6B', '3Z7VU45IPEXDYG4YASP451PYIKBZ1F', '352YTHGROBT8ZU1NRO2Z3SSWYE54H8']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},literal,{},literal
in touch,"during the team-building exercise, we had to stay in touch by holding hands",literal,"to remain in contact with someone, especially when separated by time or distance","[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[122.43, 84.787, 158.859, 89.957]","['3U8YCDAGX5W4DZIPRD2R03UK8PJQ08', '3PM8NZGV8EWCAPO0UPRY9HHVIW5QX4', '324G5B4FBJOU7HDAVETL0CDP3ZS70S', '3S4AW7T80RYALQKDI9HXVKL3FVD4LE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},literal,{},literal
catch up,I need to catch up with her to discuss the latest news,figurative,"to get to the same level, standard, or status as something or someone","[0, 0, 1, 0]","['{}', '{}', '{}', '{}']","[133.428, 89.137, 81.789, 156.521]","['33NF62TLXZIP42LG0GS0MMX78SYJKH', '386PBUZZXVD0O83YLG411MAMXS3JLK', '3DQQ64TANW1CLDIVK7GN7TDE4YDWPQ', '3N4BPTXIOO8YIIWACFWETO6IP8VUKN']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,{},literal,{},figurative,{},figurative
rise and shine,rise and shine,ambiguous,to ask someone to wake up and become active in the daily chores,"[0, 2, 0, 0]","['{}', '{}', '{}', '{}']","[147.674, 36.488, 83.383, 165.863]","['30BXRYBRPKDK8WK71U8IYKBNI31HWW', '3URFVVM16LYT7DVWCGZOG3UVTD9ZU7', '3K5TEWLKGBR7P2VMH2L7CUTOB7WIVY', '3EFE17QCRSLR1F3YHPYH1V82CQ5SHS']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},ambiguous,{},figurative,{},figurative,{},figurative
bite off more than one can chew,he bit off more than he could chew when he tried to eat the whole sandwich in one bite,literal,"to try to do something that is too difficult for you, or more than you can manage","[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[145.92, 53.175, 39.377, 173.21]","['3XM0HYN6N0FI4DW4Z7MHLN6EXU7PE2', '33UKMF931P0ILO786JKWPJ7CP7FTT1', '3TVSS0C0EHGAD5B21OP7C3EBT1ZWTW', '39DD6S19J5RCIHYAMGKJCL8S7TEZEX']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
bare bones,presented the bare bones,ambiguous,most basic and important elements or facts,"[2, 2, 2, 2]","['{}', '{}', '{}', 'she presented the bare bones']","[147.674, 36.488, 83.383, 165.863]","['30BXRYBRPKDK8WK71U8IYKBNI31HWW', '3URFVVM16LYT7DVWCGZOG3UVTD9ZU7', '3K5TEWLKGBR7P2VMH2L7CUTOB7WIVY', '3EFE17QCRSLR1F3YHPYH1V82CQ5SHS']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,she presented the bare bones,ambiguous
not have a clue,she searched her bag for the crossword puzzle but didn't have a clue inside,literal,to not know something.,"[1, 0, 1, 1]","['{}', '{}', '{}', '{}']","[122.43, 84.787, 158.859, 89.957]","['3U8YCDAGX5W4DZIPRD2R03UK8PJQ08', '3PM8NZGV8EWCAPO0UPRY9HHVIW5QX4', '324G5B4FBJOU7HDAVETL0CDP3ZS70S', '3S4AW7T80RYALQKDI9HXVKL3FVD4LE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",literal,{},figurative,{},literal,{},literal,{},literal
asleep at the wheel,he was so exhausted that he fell asleep at the wheel while driving,literal,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required","[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[133.428, 89.137, 81.789, 156.521]","['33NF62TLXZIP42LG0GS0MMX78SYJKH', '386PBUZZXVD0O83YLG411MAMXS3JLK', '3DQQ64TANW1CLDIVK7GN7TDE4YDWPQ', '3N4BPTXIOO8YIIWACFWETO6IP8VUKN']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
snake in the shoes,he found a snake in the shoes,ambiguous,to be in a state of fear,"[1, 2, 2, 2]","['he found a snake in the pair of shoes', '{}', '{}', '{}']","[121.015, 52.849, 154.211, 117.278]","['3E47SOBEY6CBQTPMQLQ2M25ZQ0XCIA', '3LBXNTKX07B6IQ7EDNGCNMR68S0X9G', '3R9WASFE2FW4OVY6HR4PU3TSJQAFZ4', '3EF8EXOTTHBNY1ZUS6MIH718ZIX1JN']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295']",literal,he found a snake in the pair of shoes,ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
make ends meet,was struggling to make ends meet,ambiguous,make sufficient money to survive on,"[0, 2, 2, 0]","['I was struggling to make ends meet', '{}', '{}', 'the young family was struggling to make ends meet']","[121.015, 52.849, 154.211, 117.278]","['3E47SOBEY6CBQTPMQLQ2M25ZQ0XCIA', '3LBXNTKX07B6IQ7EDNGCNMR68S0X9G', '3R9WASFE2FW4OVY6HR4PU3TSJQAFZ4', '3EF8EXOTTHBNY1ZUS6MIH718ZIX1JN']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295']",figurative,I was struggling to make ends meet,ambiguous,{},ambiguous,{},figurative,the young family was struggling to make ends meet,discard
fall flat,"he tried to make everyone laugh, but the joke fell flat and no one reacted",figurative,"fails to amuse people, or fails to have the effect that was intended","[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[137.477, 51.117, 69.575, 68.617]","['35LDD5557QKF5AR13D5S2EPOCMSKML', '37WLF8U1W56DG769GXYBDIS2MMDK6B', '3Z7VU45IPEXDYG4YASP451PYIKBZ1F', '352YTHGROBT8ZU1NRO2Z3SSWYE54H8']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
Achilles heel,"during the anatomy class, we studied his Achilles heel and its function",literal,a vulnerable spot or weakness,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[122.43, 84.787, 158.859, 89.957]","['3U8YCDAGX5W4DZIPRD2R03UK8PJQ08', '3PM8NZGV8EWCAPO0UPRY9HHVIW5QX4', '324G5B4FBJOU7HDAVETL0CDP3ZS70S', '3S4AW7T80RYALQKDI9HXVKL3FVD4LE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},literal,{},literal
taste of own medicine,she gave him a taste of his own medicine by making him try the bitter concoction he had prepared for her,literal,when someone gets the same bad treatment that he has been giving others,"[1, 0, 1, 1]","['{}', '{}', 'she gave him a taste of his own medicine with the bitter concoction he made for her', '{}']","[133.428, 89.137, 81.789, 156.521]","['33NF62TLXZIP42LG0GS0MMX78SYJKH', '386PBUZZXVD0O83YLG411MAMXS3JLK', '3DQQ64TANW1CLDIVK7GN7TDE4YDWPQ', '3N4BPTXIOO8YIIWACFWETO6IP8VUKN']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},figurative,{},literal,she gave him a taste of his own medicine with the bitter concoction he made for her,literal,{},literal
playing second fiddle,he didn't like playing second fiddle to her in the company hierarchy,figurative,to play a secondary or minor role with regards to someone else,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[129.05, 63.597, 36.103, 73.178]","['3SITXWYCNBPP6JMBB7U8ESMWWS2BX3', '3KWTYT087GJSH9ODWE070CRHFN65LA', '3HRMW88U1M6DSKKXZKVAJUAFYKLM08', '37C0GNLMHVJ5210ZOGCO95XC29F6DB']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'A38DXFI1TZA295', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
chill wind,"as we walked through the forest, a chill wind blew and made us shiver",literal,to encounter the problems or trouble,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[145.92, 53.175, 39.377, 173.21]","['3XM0HYN6N0FI4DW4Z7MHLN6EXU7PE2', '33UKMF931P0ILO786JKWPJ7CP7FTT1', '3TVSS0C0EHGAD5B21OP7C3EBT1ZWTW', '39DD6S19J5RCIHYAMGKJCL8S7TEZEX']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
play cat and mouse,the detective played cat and mouse with the suspect to get a confession,figurative,to play with or tease someone,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[137.477, 51.117, 69.575, 68.617]","['35LDD5557QKF5AR13D5S2EPOCMSKML', '37WLF8U1W56DG769GXYBDIS2MMDK6B', '3Z7VU45IPEXDYG4YASP451PYIKBZ1F', '352YTHGROBT8ZU1NRO2Z3SSWYE54H8']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
stop by,stop by the store,ambiguous,to meet someone or go somewhere in a brief and informal manner,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[129.05, 63.597, 36.103, 73.178]","['3SITXWYCNBPP6JMBB7U8ESMWWS2BX3', '3KWTYT087GJSH9ODWE070CRHFN65LA', '3HRMW88U1M6DSKKXZKVAJUAFYKLM08', '37C0GNLMHVJ5210ZOGCO95XC29F6DB']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'A38DXFI1TZA295', 'AURYD2FH3FUOQ']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
at the bottom of the ladder,she started at the bottom of the ladder,ambiguous,"occupying the lowest, most basic position in a given group","[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[422.214, 42.805, 65.052, 174.761]","['32ZKVD547V3DQLFXRINK7CXSPX2B34', '3DHE4R9OCCRKWKRP341TPDJXZWT2G0', '3QHK8ZVMI2YU6P5MXORK3YR9PJALB9', '3RWE2M8QWXQJA25XBLAAW9ZF3AW0NN']","['A1I7H6RDJS4EKN', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
as far as,the vast desert stretched out as far as the eye can see,literal,to the extent of something,"[1, 2, 1, 0]","['{}', '{}', '{}', '{}']","[127.631, 39.421, 93.901, 160.232]","['3WYGZ5XF3CVI3546NA1EENOU4BASK5', '3QY7M81QHN2WK7KEZ733JWSYHXXK7A', '3P1L2B7ADH5EPJUV1TW69IR8WMELO6', '3YZ8UPK3V92GZKKMK2FG55TAKZOCUU']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},ambiguous,{},literal,{},figurative,{},literal
straighten up and fly right,"after a stern warning from his boss, he decided to straighten up and fly right at work",figurative,to get serious and stop acting absurd anymore.,"[0, 0, 0, 0]","['after a stern warning from his boss he decided to straighten up and fly right', '{}', 'after a stern warning, he straightened up at work', '{}']","[422.214, 42.805, 65.052, 174.761]","['32ZKVD547V3DQLFXRINK7CXSPX2B34', '3DHE4R9OCCRKWKRP341TPDJXZWT2G0', '3QHK8ZVMI2YU6P5MXORK3YR9PJALB9', '3RWE2M8QWXQJA25XBLAAW9ZF3AW0NN']","['A1I7H6RDJS4EKN', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,after a stern warning from his boss he decided to straighten up and fly right,figurative,{},figurative,"after a stern warning, he straightened up at work",figurative,{},figurative
makes my ears burn,hearing people gossip about me makes my ears burn,figurative,"to be embarrassed by what you hear, especially if the conversation is about you","[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[422.214, 42.805, 65.052, 174.761]","['32ZKVD547V3DQLFXRINK7CXSPX2B34', '3DHE4R9OCCRKWKRP341TPDJXZWT2G0', '3QHK8ZVMI2YU6P5MXORK3YR9PJALB9', '3RWE2M8QWXQJA25XBLAAW9ZF3AW0NN']","['A1I7H6RDJS4EKN', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
ahead of the curve,was staying ahead of the curve,ambiguous,better than others,"[0, 2, 2, 2]","['{}', '{}', '{}', 'she was staying ahead of the curve']","[422.214, 42.805, 65.052, 174.761]","['32ZKVD547V3DQLFXRINK7CXSPX2B34', '3DHE4R9OCCRKWKRP341TPDJXZWT2G0', '3QHK8ZVMI2YU6P5MXORK3YR9PJALB9', '3RWE2M8QWXQJA25XBLAAW9ZF3AW0NN']","['A1I7H6RDJS4EKN', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},ambiguous,{},ambiguous,{},ambiguous,she was staying ahead of the curve,ambiguous
recharge one's batteries,they went on a vacation to recharge their batteries and regain their energy,figurative,take a break or holiday to relax and regain one's vim and vigour,"[0, 0, 0, 0]","['{}', '{}', '{}', 'they went on a vacation to recharge their batteries']","[136.427, 51.322, 158.004, 79.213]","['37XITHEISCPOJSS5G8KB0U6QD0JCRP', '3YW4XOSQK61WCHAO45QWO9AJG2W1US', '36H9ULYP6IAEOGT2Z51369520WHFJB', '31UV0MXWN6SQR8G7BB3U8WZPYNDI5I']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},figurative,they went on a vacation to recharge their batteries,figurative
paddle own canoe,to paddle their own canoe,ambiguous,To be able to act without having to depend on anyone.,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[59.429, 108.579, 61.847, 55.834]","['3S96KQ6I92KB4ZBBKTKHKFPQMHQTD9', '3X73LLYYQHUUL2BT9THV21YWPRWHN4', '3FPRZHYEPENSZZD3WZEK8ORZSPGV3S', '3RXPCZQMQ5RD7Z9TK01FKU9S7QH1GK']","['A38DXFI1TZA295', 'AKQAI78JTXXC9', 'AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
whatever floats my boat,"when it comes to choosing a hobby, I believe in whatever floats my boat",figurative,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy","[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[59.429, 108.579, 61.847, 55.834]","['3S96KQ6I92KB4ZBBKTKHKFPQMHQTD9', '3X73LLYYQHUUL2BT9THV21YWPRWHN4', '3FPRZHYEPENSZZD3WZEK8ORZSPGV3S', '3RXPCZQMQ5RD7Z9TK01FKU9S7QH1GK']","['A38DXFI1TZA295', 'AKQAI78JTXXC9', 'AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
know the ropes,"having worked there for years, he knew the ropes well and could handle any task",figurative,to know all the ways and means to get something done,"[0, 0, 0, 2]","['{}', '{}', '{}', '{}']","[137.477, 51.117, 69.575, 68.617]","['35LDD5557QKF5AR13D5S2EPOCMSKML', '37WLF8U1W56DG769GXYBDIS2MMDK6B', '3Z7VU45IPEXDYG4YASP451PYIKBZ1F', '352YTHGROBT8ZU1NRO2Z3SSWYE54H8']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},ambiguous,{},figurative
down to earth,a down-to-earth person,ambiguous,"decent, simple, realistic","[2, 0, 0, 0]","['{}', '{}', '{}', 'He is a down to earth person']","[59.429, 108.579, 61.847, 55.834]","['3S96KQ6I92KB4ZBBKTKHKFPQMHQTD9', '3X73LLYYQHUUL2BT9THV21YWPRWHN4', '3FPRZHYEPENSZZD3WZEK8ORZSPGV3S', '3RXPCZQMQ5RD7Z9TK01FKU9S7QH1GK']","['A38DXFI1TZA295', 'AKQAI78JTXXC9', 'AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']",ambiguous,{},figurative,{},figurative,{},figurative,He is a down to earth person,figurative
sink or swim,starting a new job without any training was a sink or swim situation for her,figurative,"having to do something alone, and their success or failure depends entirely on their own efforts","[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[136.427, 51.322, 158.004, 79.213]","['37XITHEISCPOJSS5G8KB0U6QD0JCRP', '3YW4XOSQK61WCHAO45QWO9AJG2W1US', '36H9ULYP6IAEOGT2Z51369520WHFJB', '31UV0MXWN6SQR8G7BB3U8WZPYNDI5I']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
cut the cord,cut the cord with her,ambiguous,to end a connection with someone,"[2, 2, 2, 2]","['{}', '{}', 'he cut the cord with her', 'He cut the cord with her']","[121.916, 35.994, 192.179, 58.584]","['3Y4W8Q93LF0QHRF0POKWLXDBJ26DV9', '3HHRAGRYXOLJOHTMCWTG490DWOVO92', '3SB4CE2TJBBKN9HJ5TUCJH2QEAIAX8', '3TVSS0C0EHGAD5B21OP7C3EBTXXTWJ']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,he cut the cord with her,ambiguous,He cut the cord with her,ambiguous
