idiom,subsentence,sentence,label
bosom friend,The two ladies were bosom friends,The two ladies who were arrested for injuring each other for one man were bosom friends for years.,0
bosom friend,The two ladies were bosom friends,The two ladies were bosom friends and were close enough to embrace each other.,1
not hurt a fly or flea,He is so gentle that he could not hurt a fly or flea,"He is such an innocent little child, he could not hurt a fly.",0
not hurt a fly or flea,He is so gentle that he could not hurt a fly or flea,He is so gentle that he could not harm a fly or flea in any way.,1
spare someone's blushes,My teacher spoke up to save the new student from embarrassment,My teacher spoke up to spare the blushes of the new student.,0
spare someone's blushes,My teacher spoke up to save the new student from embarrassment,My teacher spoke up to spare the blushes of the new student by preventing them from turning red.,1
the best is yet to come,There is still more to come that will be even better,"I am glad that you are enjoying your holiday,the best is yet to come.",0
the best is yet to come,There is still more to come that will be even better,There is still more to come that will be even better than what has already happened.,1
on the dot,We were asked to be there precisely at five o'clock,We were asked to be there at five on the dot.,0
on the dot,We were asked to be there precisely at five o'clock,"We were asked to be there on the dot, meaning exactly at five o'clock.",1
