idiom,meaning,subsentence,sentence,label,reason
a whole new ball game,a significant change in circumstances.,This is a whole new ball game,This is a whole new ball game now that we've received the grant.,0,"Here, ""a whole new ball game"" means to have an entirely new context or situation."
a whole new ball game,a significant change in circumstances.,This is a whole new ball game,"This is a whole new ball game, as we just switched to soccer.",1,"Here, ""a whole new ball game"" means to play a different sport or game."
a whole raft of,a large collection of something,I got a whole raft of information,I got a whole raft of information while doing my research.,0,"Here, ""a whole raft of"" means a large amount of something."
a whole raft of,a large collection of something,I got a whole raft of information,I got a whole raft of information with my purchase of the boat.,1,"Here, ""a whole raft of"" means a whole boatload or type of vessel."
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The investigation is a witch hunt,The investigation is a witch hunt because they are trying to quickly find someone to blame.,0,"Here, ""a witch hunt"" means an inquiry or pursuit made without regard for truth or fairness."
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The investigation is a witch hunt,The investigation is a witch hunt as they are trying to identify and punish a witch.,1,"Here, ""a witch hunt"" means an inquiry or pursuit made to find and punish an alleged witch."
above board,"straight; without concealment, legitimate; open",Everything was above board,"Everything was above board, which was a relief, especially in this difficult political climate.",0,"Here, ""above board"" means to behave honestly and ethically."
above board,"straight; without concealment, legitimate; open",Everything was above board,"Everything was above board, literally visible to everyone.",1,"Here, ""above board"" means to be out in the open and not hidden."
Achilles heel,a vulnerable spot or weakness,This is his Achilles heel,"This is his Achilles heel, as he always has difficulty containing his emotions.",0,"Here, ""Achilles heel"" is a metaphor for a person's greatest weakness. "
Achilles heel,a vulnerable spot or weakness,This is his Achilles heel,"This is his Achilles heel, as he has a weak spot on the back of his heel where he gets injured easily.",1,"Here, ""Achilles heel"" is an actual heel part of the human body."
acid test,a test that proves a hypothesis or validity of a product or idea,We have to put this to the acid test,We have to put this to the acid test to see if it will help us in the long run.,0,"Here, ""acid test"" means to put something to a severe or crucial test."
acid test,a test that proves a hypothesis or validity of a product or idea,We have to put this to the acid test,We have to put this to the acid test to see if it remains the same after a chemical reaction.,1,"Here, to ""acid test"" means to test the strength or quality of something using acid."
across the board,applying to everyone,We took action across the board,We took action across the board to make sure the situation was handled efficiently.,0,"Here, ""across the board"" means to make sure that every aspect of a situation is being addressed."
across the board,applying to everyone,We took action across the board,We took action across the board that was laid out in front of us.,1,"Here, ""across the board"" means to take action on every individual element or item of a group."
act of God,an occurrence of out of control natural forces in action,It was an act of God,It was an act of God when the hurricane destroyed our town.,0,"Here, ""act of God"" means an event that is beyond human control and beyond reasonable foresight."
act of God,an occurrence of out of control natural forces in action,It was an act of God,It was an act of God when the choir sang to praise Him.,1,"Here, ""act of God"" means an act performed to honor God."
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",He added fuel to the flames,He added fuel to the flames by arguing and making things worse.,0,"Here, ""add fuel to the flames"" means to increase the intensity of a conflict or situation."
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",He added fuel to the flames,He added fuel to the flames by placing some fuel on the burning log.,1,"Here, ""add fuel to the flames"" means to physically add a burning material to a fire to keep it burning."
afraid of my own shadow,to be very nervous or easily frightened,"I'm afraid of my own shadow"" ",I'm afraid of my own shadow because I'm always anxious over every little thing.,0,"Here, ""afraid of my own shadow"" means to be overly anxious or scared of almost everything."
afraid of my own shadow,to be very nervous or easily frightened,"I'm afraid of my own shadow"" ",I'm afraid of my own shadow because it's always following me.,1,"Here, ""afraid of my own shadow"" means to be frightened of the physical manifestation of one's own presence."
against the clock,in a great hurry to finish something before a particular time,We are working against the clock,We are working against the clock to make sure the project gets finished on time.,0,"Here, ""against the clock"" means to be in a rush to complete something before the given time limit."
against the clock,in a great hurry to finish something before a particular time,We are working against the clock,We are working against the clock because it's ticking loudly.,1,"Here, ""against the clock"" means to work faster than the rate of the passing time."
against the grain,a difficult path to be followed,She always goes against the grain,She always goes against the grain by challenging the status quo and thinking outside the box.,0,"Here, ""against the grain"" means to create something unique and unconventional."
against the grain,a difficult path to be followed,She always goes against the grain,"She always goes against the grain, literally carving a piece of wood in the opposite direction.",1,"Here, ""against the grain"" means to move against the natural fibers or patterns of an object."
ages,a long time; a very long time,He's been waiting ages,He's been waiting ages for her to make a decision.,0,"Here, ""ages"" means to wait for a long time. "
ages,a long time; a very long time,He's been waiting ages,"He's been waiting ages, since he started at 9 a.m.",1,"Here, ""ages"" means to wait for a specific measure of time."
ahead of the curve,better than others,She's ahead of the curve,"She's ahead of the curve, always thinking about what's new and cutting-edge.",0,"Here, ""ahead of the curve"" means to be on top of the latest trends and demonstrate a greater understanding than one's peers."
ahead of the curve,better than others,She's ahead of the curve,"She's ahead of the curve, as her car was in front of the other cars on the highway.",1,"Here, ""ahead of the curve"" means to be located in front of the expected path or route being traveled."
ahead of the pack,more successful than other people who are trying to achieve the same things,He's ahead of the pack,He's ahead of the pack because of his quick thinking and step ahead of others.,0,"Here, ""ahead of the pack"" means to be leading the competition through superior skills or strategies. "
ahead of the pack,more successful than other people who are trying to achieve the same things,He's ahead of the pack,He's ahead of the pack by a few meters due to his fast running speed.,1,"Here, ""ahead of the pack"" means to be leading other people in terms of physical speed."
air their dirty laundry,to make public something embarrassing that should be kept secret,We air our dirty laundry,"We air our dirty laundry to other people, meaning we expose our secrets and flaws to them.",0,"Here, to ""air their dirty laundry"" means to reveal embarrassing secrets."
air their dirty laundry,to make public something embarrassing that should be kept secret,We air our dirty laundry,We air our dirty laundry on the clothesline.,1,"Here, to ""air their dirty laundry"" means to hang and dry laundry that is dirty or soiled."
alive and kicking,lively and active,The event is alive and kicking,The event is alive and kicking with new ideas and enthusiasm.,0,"Here, ""alive and kicking"" means to be full of energy and liveliness."
alive and kicking,lively and active,The event is alive and kicking,The event is alive and kicking as it's still open for registrations.,1,"Here, ""alive and kicking"" means to still be in existence and functional."
all bark and no bite,"threatening, aggressive, but not willing to engage in a fight",He is all bark and no bite,He is all bark and no bite and is too afraid to take any action.,0,"Here, ""all bark and no bite"" means that someone talks a lot but never takes any action."
all bark and no bite,"threatening, aggressive, but not willing to engage in a fight",He is all bark and no bite,He is all bark and no bite as he only barks and never bites.,1,"Here, ""all bark and no bite"" means that the person only barks and never bites."
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,I'm all ears,"I'm all ears, ready to listen to you attentively.",0,"Here, ""all ears"" means to be eager to hear what someone has to say."
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,I'm all ears,"I'm all ears, literally ready to hear you from my two ears.",1,"Here, ""all ears"" means to be attentive and ready to hear what someone has to say."
all Greek to me,used to convey that you cannot understand what is being said or written,It's all Greek to me,It's all Greek to me when they talk about the stock market.,0,"Here, to ""all Greek to me"" means to be in a state of confusion due to inability to understand the subject."
all Greek to me,used to convey that you cannot understand what is being said or written,It's all Greek to me,It's all Greek to me when they start speaking the language.,1,"Here, to ""all Greek to me"" means to be unable to comprehend the Greek language."
"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","The car is all singing, all dancing","The car is all singing, all dancing with its fancy bells and whistles.",0,"Here, ""all singing, all dancing"" means the car has extra features that makes it far more elaborate than the other models."
"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","The car is all singing, all dancing","The car is all singing, all dancing with its new sound system and air freshener.",1,"Here, ""all singing, all dancing"" means the car has added music and fragrance to enhance its overall ambiance."
all the rage,when something is the height of popularity,It's all the rage,It's all the rage these days to wear bright shoes and headbands.,0,"Here, ""all the rage"" means to be all the fashion."
all the rage,when something is the height of popularity,It's all the rage,It's all the rage in the conference room because all the executives are talking about it.,1,"Here, ""all the rage"" means to be popularly discussed or in demand."
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",She goes all the way up,She goes all the way up the corporate ladder.,0,"Here, ""all the way up"" means to achieve the highest rank or position."
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",She goes all the way up,She goes all the way up the stairs.,1,"Here, ""all the way up"" means to go to the highest point or level."
alpha and omega,both the beginning and the end,He's the alpha and omega,"He's the alpha and omega of the project, dictating all of its steps and ensuring its completion.",0,"Here, ""alpha and omega"" means the beginning and the end. "
alpha and omega,both the beginning and the end,He's the alpha and omega,"He's the alpha and omega, the first and last letter in the Greek alphabet.",1,"Here, ""alpha and omega"" means the first letter and the last letter."
an arm and a leg,a large amount of money,"The cost of the restaurant was an arm and a leg"" ","The cost of the restaurant was an arm and a leg, since it was such an expensive meal.",0,"Here, ""an arm and a leg"" means to be very expensive."
an arm and a leg,a large amount of money,"The cost of the restaurant was an arm and a leg"" "," ""The cost of the restaurant was an arm and a leg, literally.",1,"Here, ""an arm and a leg"" means that the cost was equivalent to a human body part."
an item,be involved in a romantic relationship,"It's an item on the list"" ",It's an item on the list that I just can't seem to check off.,0,"Here, ""an item"" refers to an issue or task that needs to be resolved or completed."
an item,be involved in a romantic relationship,"It's an item on the list"" ",It's an item on the list that needs to be purchased at the store.,1,"Here, ""an item"" refers to a physical object or good that needs to be bought."
ants in pants,be extremely restless,She has ants in her pants,She has ants in her pants because she's full of energy and can't sit still.,0,"Here, ""ants in pants"" means to have too much energy and be restless."
ants in pants,be extremely restless,She has ants in her pants,She has ants in her pants because she accidently spilled her snack with the bugs in them.,1,"Here, ""ants in pants"" means to be literally having ants in the pants."
apple polisher,a flatterer; toady,He's an apple polisher,He's an apple polisher who always attempts to impress his teacher with flattering comments when he should be focusing on his work.,0,"Here, ""apple polisher"" means someone who tries too hard to please someone in authority."
apple polisher,a flatterer; toady,He's an apple polisher,He's an apple polisher who spends a significant amount of time attempt to make the apples look shiny and perfect.,1,"Here, ""apple polisher"" means someone who meticulously polishes apples."
apples and oranges,two things that are fundamentally different and therefore not suited to comparison,That's like comparing apples and oranges,"That's like comparing apples and oranges, since they are completely incomparable.",0,"Here, ""apples and oranges"" means to compare two very different things."
apples and oranges,two things that are fundamentally different and therefore not suited to comparison,That's like comparing apples and oranges,"That's like comparing apples and oranges, since they are two different types of fruits.",1,"Here, ""apples and oranges"" means to literally compare two different types of fruit."
apples to apples,having a fair comparison between the two things,Let's compare apples to apples,Let's compare apples to apples to see which product is better.,0,"Here, ""apples to apples"" means to make a comparison between two things of the same kind."
apples to apples,having a fair comparison between the two things,Let's compare apples to apples,Let's compare apples to apples to see which one tastes sweeter.,1,"Here, ""apples to apples"" means to make a literal comparison between two apples that are similar in type."
arm in arm,to be closely allied,They walked arm in arm,"They walked arm in arm, showing their strong bond of friendship.",0,"Here, ""arm in arm"" means to move in a close, intimate manner."
arm in arm,to be closely allied,They walked arm in arm,"They walked arm in arm, with their arms linked around each other.",1,"Here, ""arm in arm"" means to move with their arms physically linked."
armed to the teeth,"heavily and formidably armed, usually with deadly weapons",She was armed to the teeth,She was armed to the teeth with knowledge and important facts for the meeting.,0,"Here, to be ""armed to the teeth"" means to be well-prepared for the situation. "
armed to the teeth,"heavily and formidably armed, usually with deadly weapons",She was armed to the teeth,She was armed to the teeth with two guns and a knife tucked away in her bag.,1,"Here, to be ""armed to the teeth"" means to be prepared with an arsenal of weapons."
arrive in a body,arrive with unity as a group.,They arrived in a body,They arrived in a body showing up to the event together.,0,"Here, ""arrive in a body"" means to come en masse as a group."
arrive in a body,arrive with unity as a group.,They arrived in a body,They arrived in a body with each person having their own distinct physical form.,1,"Here, ""arrive in a body"" means to arrive with each person existing in physical form."
as far as,to the extent of something,We've gone as far as we can,We've gone as far as we can with this project; any more effort would be fruitless.,0,"Here, ""as far as"" means to reach a limit of a certain activity or endeavor."
as far as,to the extent of something,We've gone as far as we can,We've gone as far as we can; we won't be able to go any farther without getting to the ocean.,1,"Here, ""as far as"" means to a certain distance or location."
as long as,to put condition of time on an action,He runs as long as,"He runs as long as he can, taking into account his physical abilities and limitations.",0,"Here, ""as long as"" means as much as possible. "
as long as,to put condition of time on an action,He runs as long as,He runs as long as two miles each day.,1,"Here, ""as long as"" means for the same amount of time."
as the crow flies,in a straight line,She went as the crow flies,"She went as the crow flies, never taking no for an answer.",0,"Here, ""as the crow flies"" means to take the shortest route and persevere. "
as the crow flies,in a straight line,She went as the crow flies,"She went as the crow flies, because she was too tired to make the detours.",1,"Here, ""as the crow flies"" means to take the straightest path without any deviations."
as well as,additionally,I visited the store as well as the museum,I visited the store as well as the museum to get the best of both worlds.,0,"Here, ""as well as"" means not only, but also."
as well as,additionally,I visited the store as well as the museum,I visited the store as well as the museum because it was on my agenda.,1,"Here, ""as well as"" means in addition to."
asked for the moon,ask for something that is very difficult or impossible to get,I asked for the moon,"I asked for the moon, when I requested for that position.",0,"Here, ""asked for the moon"" means to ask for something that is beyond one's reach."
asked for the moon,ask for something that is very difficult or impossible to get,I asked for the moon,"I asked for the moon, even though it is impossible to get.",1,"Here, ""asked for the moon"" means to request something that is impossible to attain."
asleep at the switch,failing to attend to one's responsibilities or duties,He was asleep at the switch,He was asleep at the switch when his team scored the winning goal.,0,"Here, ""asleep at the switch"" means to be unaware of an important event or opportunity that passed."
asleep at the switch,failing to attend to one's responsibilities or duties,He was asleep at the switch,He was asleep at the switch because he was so tired.,1,"Here, ""asleep at the switch"" means to literally be asleep while on duty."
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",He was asleep at the wheel,"He was asleep at the wheel, not paying close attention to the job at hand.",0,"Here, ""asleep at the wheel"" means to not be paying attention, being careless or negligent."
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",He was asleep at the wheel,He was asleep at the wheel as he was too tired to drive.,1,"Here, ""asleep at the wheel"" means to literally be sleeping while driving."
at an arm's length,as far away from your body as possible,We kept her at an arm's length,We kept her at an arm's length because we didn't want to get too close to her.,0,"Here, ""at an arm's length"" means to keep a safe distance from someone."
at an arm's length,as far away from your body as possible,We kept her at an arm's length,We kept her at an arm's length so she couldn't touch us.,1,"Here, ""at an arm's length"" means to keep a physical distance by keeping the arms extended."
at bay,to keep something dangerous at a safe distance,She kept it at bay,She kept it at bay as she was determined not to let any distractions take her focus away.,0,"Here, ""at bay"" means to keep something away or under control."
at bay,to keep something dangerous at a safe distance,She kept it at bay,She kept it at bay since she built a fence to keep it away her garden.,1,"Here, ""at bay"" means to keep something out of physical reach or distance."
at bottom,to the core of the object,It's all at bottom,It's all at bottom when it comes to the root of the issue.,0,"Here, ""at bottom"" implies an underlying foundation of something."
at bottom,to the core of the object,It's all at bottom,It's all at bottom inside the box.,1,"Here, ""at bottom"" means to be located at the lowest area."
at daggers drawn,almost ready to fight,They were at daggers drawn,"They were at daggers drawn, ready to argue with one another at any given moment.",0,"Here, ""at daggers drawn"" means to be in a state of mutual antagonism."
at daggers drawn,almost ready to fight,They were at daggers drawn,"They were at daggers drawn, prepared to use their daggers if the fight got worse.",1,"Here, ""at daggers drawn"" means to physically have drawn out their daggers in preparation for a fight."
at sea,It means to be confused or not understand something at all.,They were at sea,They were at sea trying to make sense of the situation.,0,"Here, to ""be at sea"" means to struggle to find a solution."
at sea,It means to be confused or not understand something at all.,They were at sea,They were at sea scouting for possible sites to build a harbor.,1,"Here, to ""be at sea"" means to be on a body of water away from land."
at stake,"It means to be on wager or bet, when there is some sort of uncertainty.",Everything is at stake,"Everything is at stake, so I must make the right decision.",0,"Here, ""at stake"" means that everything is up for grabs and in danger of a particular outcome."
at stake,"It means to be on wager or bet, when there is some sort of uncertainty.",Everything is at stake,"Everything is at stake, including the money, the items, and the relationships.",1,"Here, ""at stake"" means that everything is in the same physical location, ready to be claimed."
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",She's at the bottom of the ladder,"She's at the bottom of the ladder, struggling to make something of herself.",0,"Here, ""at the bottom of the ladder"" means to have a low status, lowly position, or lack of success in an endeavor.  "
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",She's at the bottom of the ladder,She's at the bottom of the ladder because she's the lowest rung.,1,"Here, ""at the bottom of the ladder"" means to be at the literal bottom part of the ladder."
at the drop of a dime,something that can happen very fast without hesitation,She can do it at the drop of a dime,She can do it at the drop of a dime if given the right motivation.,0,"Here, ""at the drop of a dime"" means to do something very quickly."
at the drop of a dime,something that can happen very fast without hesitation,She can do it at the drop of a dime,She can do it at the drop of a dime if she can find one on the ground.,1,"Here, ""at the drop of a dime"" means to do something immediately when a dime is dropped."
at the drop of the hat,to do something easily and without any preparation,He was ready to go at the drop of the hat,"He was ready to go at the drop of the hat, as soon he got his marching orders, he was out the door.",0,"Here, ""at the drop of the hat"" means to be able to react quickly and start something with minimal preparation. "
at the drop of the hat,to do something easily and without any preparation,He was ready to go at the drop of the hat,"He was ready to go at the drop of the hat, as soon he heard the sound of the hat dropping, he was out the door.",1,"Here, ""at the drop of the hat"" means to be able to react immediately in response to a specific sound."
at the heels of,close behind or soon after something,They arrived at the heels of,"They arrived at the heels of the others, signifying how much they admired their thought-leadership.",0,"Here, ""at the heels of"" means to follow closely."
at the heels of,close behind or soon after something,They arrived at the heels of,"They arrived at the heels of the others, running in a single-file line.",1,"Here, ""at the heels of"" means to follow directly after."
at the helm,"in charge of an organization, group of people, etc.",we have her at the helm,We have her at the helm to lead us through this difficult challenge.,0,"Here, ""at the helm"" means in a leadership role or in a position of great authority."
at the helm,"in charge of an organization, group of people, etc.",we have her at the helm,We have her at the helm of the boat.,1,"Here, ""at the helm"" means physically at the steering wheel or the controlling position of the boat."
ate crow,to admit that you were wrong about something and apologize,He ate crow yesterday,He ate crow yesterday when he had to apologize for his mistake.,0,"Here, to ""eat crow"" means to humbly admit to a wrong or misleading judgement."
ate crow,to admit that you were wrong about something and apologize,He ate crow yesterday,He ate crow yesterday when he tried a new type of food.,1,"Here, to ""eat crow"" means to eat something unexpected."
ate her alive,to criticize someone severely because you are angry with them,They ate her alive,They ate her alive with their pointed comments and verbal attacks.,0,"Here, to ""eat [pron] alive"" means to demolish or destroy with sarcasm or criticism."
ate her alive,to criticize someone severely because you are angry with them,They ate her alive,They ate her alive as she was covered in honey.,1,"Here, to ""eat [pron] alive"" means to consume or devour someone or something."
axe to grind,have a private or selfish reason for doing something,He had an axe to grind,He had an axe to grind to prove his point during the meeting.,0,"Here, to ""have an axe to grind"" means to have a strong opinion about something and to be vocal about it."
axe to grind,have a private or selfish reason for doing something,He had an axe to grind,He had an axe to grind because he needed to sharpen it.,1,"Here, to have an axe to grind means to have a practical purpose for needing to use an axe."
baby blues,The depression that is caused to new mothers after childbirth.,She had the baby blues,"She had the baby blues after giving birth, so she was feeling overwhelmed and a bit moody.",0,"Here, ""baby blues"" means feeling emotionally vulnerable after something difficult or stressful."
baby blues,The depression that is caused to new mothers after childbirth.,She had the baby blues,She had the baby blues when she saw the colour of her newborn baby's eyes.,1,"Here, ""baby blues"" means to be referring to the colour of a baby's eyes, typically a light blue."
