idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,t_f_brkt_ko,t_l_brkt_ko,t_f_ko,t_l_ko,t_f_a_ko,t_l_a_ko,t_f_brkt_zh,t_l_brkt_zh,t_f_zh,t_l_zh,t_f_a_zh,t_l_a_zh
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","By spreading rumors, they added fuel to the flames of the ongoing conflict","To keep the bonfire going, they added fuel to the flames by throwing more wood",they added fuel to the flames,루머를 퍼뜨림으로서 [[그들은]] 현재 진행중인 갈등을 [[더욱 악화시켰습니다]].,"불장작을 계속 타오르게 하기 위해, 그들은 더 많은 나무를 던져서 [[불길에 연료를 추가했습니다]].",루머를 퍼뜨림으로서 그들은 현재 진행중인 갈등을 더욱 악화시켰습니다.,"불장작을 계속 타오르게 하기 위해, 그들은 더 많은 나무를 던져서 불길에 연료를 추가했습니다.",그들은 더욱 악화시켰습니다,불길에 연료를 추가했습니다,他们通过散步谣言对现有的冲突[[火上浇油]],为了让篝火继续燃烧，他们[[往火里扔了更多木头当燃料]],他们通过散步谣言对现有的冲突火上浇油,为了让篝火继续燃烧，他们往火里扔了更多木头当燃料,火上浇油,往火里扔了更多木头当燃料
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project","In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels","With the deadline approaching, we were racing against the clock to finish the project","In the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",were racing against the clock,"마감시간이 다가오자, 우리는 프로젝트를 완료하기 위해 [[바쁘게 움직였습니다]].",이 독특한 대회에서는 대회 참가자들이 바퀴가 달린 커다란 시계보다 더 빨리 달리기 위해서 [[시계와 경주를 하고 있었습니다]],"마감시간이 다가오자, 우리는 프로젝트를 완료하기 위해 바쁘게 움직였습니다.",이 독특한 대회에서는 대회 참가자들이 바퀴가 달린 커다란 시계보다 더 빨리 달리기 위해서 시계와 경주를 하고 있었습니다,바쁘게 움직였습니다,시계와 경주를 하고 있었습니다,当截止日期临近，我们在[[和时间赛跑]]以完成项目,在一个特别的竞赛中，参赛者[[和钟赛跑]]，试图超过一个有轮子的巨大钟表,当截止日期临近，我们在和时间赛跑以完成项目,在一个特别的竞赛中，参赛者和钟赛跑，试图超过一个有轮子的巨大钟表,和时间赛跑,和钟赛跑
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,"When sanding wood, [[going against the grain]] can cause scratches and damage",His decision to quit his job was going against the grain of his family's expectations,"When sanding wood, going against the grain can cause scratches and damage",going against the grain,그의 직장을 그만두는 결정은 가족의 반대를 무릅쓴 [[정상에 어긋난 행동]]이었습니다.,"나무를 갈 때, 나무 [[결의 반대 방향]]으로 갈아내는 것은 긁힘과 손상을 일으킬 수 있습니다",그의 직장을 그만두는 결정은 가족의 반대를 무릅쓴 정상에 어긋난 행동이었습니다.,"나무를 갈 때, 나무 결의 반대 방향으로 갈아내는 것은 긁힘과 손상을 일으킬 수 있습니다",정상에 어긋난 행동,결의 반대 방향,他辞职的决定[[违背]]了他家人的期望,打磨木材时，[[逆着纹路打磨]]会造成划伤及损坏,他辞职的决定违背了他家人的期望,打磨木材时，逆着纹路打磨会造成划伤及损坏,违背,逆着纹路打磨
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,"By constantly learning new skills, she was staying ahead of the curve in her industry",The race car driver was staying ahead of the curve by maintaining a lead on the track,was staying ahead of the curve,새로운 기술을 끊임없이 배우다 보니 그녀는 자기 분야에 있어서 [[시대를 앞서고 있었습니다]],자동차 경주 선수는 트랙에서의 주도권을 유지한 채로 [[굽은 도로에서 앞장서고 있었습니다]].,새로운 기술을 끊임없이 배우다 보니 그녀는 자기 분야에 있어서 시대를 앞서고 있었습니다,자동차 경주 선수는 트랙에서의 주도권을 유지한 채로 굽은 도로에서 앞장서고 있었습니다.,시대를 앞서고 있었습니다,굽은 도로에서 앞장서고 있었습니다,不断学习新技能使得她在行业中[[处于领先地位]],在赛道中的领先使得赛车手能[[在弯道中占先]],不断学习新技能使得她在行业中处于领先地位,在赛道中的领先使得赛车手能在弯道中占先,处于领先地位,在弯道中占先
ahead of the pack,more successful than other people who are trying to achieve the same things,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry","During the marathon, the lead runner was [[staying ahead of the pack]] of other runners","By consistently innovating, the company is staying ahead of the pack in the industry","During the marathon, the lead runner was staying ahead of the pack of other runners",staying ahead of the pack,혁신을 계속하며 그 회사는 산업을 [[이끌고 있습니다]],마라톤 도중 선두 주자는 다른 주자들의 [[무리를 앞서고 있었습니다]],혁신을 계속하며 그 회사는 산업을 이끌고 있습니다,마라톤 도중 선두 주자는 다른 주자들의 무리를 앞서고 있었습니다,이끌고 있습니다,무리를 앞서고 있었습니다,持续创新使得公司在行业中[[一骑绝尘]],在马拉松比赛中，领跑者[[持续跑在一大群跑者之前]],持续创新使得公司在行业中一骑绝尘,在马拉松比赛中，领跑者持续跑在一大群跑者之前,一骑绝尘,持续跑在一大群跑者之前
air their dirty laundry,to make public something embarrassing that should be kept secret,"During the family reunion, [[they aired their dirty laundry]] in front of everyone",[[They aired their dirty laundry]] outside on the clothesline,"During the family reunion, they aired their dirty laundry in front of everyone",They aired their dirty laundry outside on the clothesline,they aired their dirty laundry,가족 모임 도중에 [[그들은]] 모두 앞에서 [[자신의 치부를 드러냈습니다]],[[그들은]] 빨래 줄에 [[더러운 빨래를 널어놓았습니다]],가족 모임 도중에 그들은 모두 앞에서 자신의 치부를 드러냈습니다,그들은 빨래 줄에 더러운 빨래를 널어놓았습니다,그들은 자신의 치부를 드러냈습니다,그들은 더러운 빨래를 널어놓았습니다,在家庭重聚时，他们在大家面前[[揭露了他们所有丑事]],他们在晾衣绳上[[晾脏衣服]],在家庭重聚时，他们在大家面前揭露了他们所有丑事,他们在晾衣绳上晾脏衣服,揭露了他们所有丑事,晾脏衣服
all Greek to me,used to convey that you cannot understand what is being said or written,"When he started talking about quantum physics, [[it's all Greek to me]]","Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]","When he started talking about quantum physics, it's all Greek to me","Since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",it's all Greek to me,그가 양자약학에 대해 설명하기 시작했을 때 [[저는 하나도 알아들을 수 없었습니다]],그 언어를 잘 모르는 제가 그리스의 신문을 읽으면 [[그것은 제게 그리스어 투성이입니다]],그가 양자약학에 대해 설명하기 시작했을 때 저는 하나도 알아들을 수 없었습니다,그 언어를 잘 모르는 제가 그리스의 신문을 읽으면 그것은 제게 그리스어 투성이입니다,저는 하나도 알아들을 수 없었습니다,그것은 제게 그리스어 투성이입니다,当他开始谈论量子物理时，对我像[[听天书一样]],因为我不懂这语言，当我看希腊报纸时，它们就是[[一堆希腊字母]],当他开始谈论量子物理时，对我像听天书一样,因为我不懂这语言，当我看希腊报纸时，它们就是一堆希腊字母,听天书一样,一堆希腊字母
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"When she started telling her story, I promised to [[be all ears]]","In the surreal art exhibit, the walls appeared to [[be all ears]]","When she started telling her story, I promised to be all ears","In the surreal art exhibit, the walls appeared to be all ears",be all ears,그녀가 이야기를 시작했을 때 난 [[집중해서 귀기울여 들을 것]]을 약속했습니다,초현실주의 예술 전시회에서 벽면들은 마치 [[모두 귀]]처럼 보였습니다,그녀가 이야기를 시작했을 때 난 집중해서 귀기울여 들을 것을 약속했습니다,초현실주의 예술 전시회에서 벽면들은 마치 모두 귀처럼 보였습니다,집중해서 귀기울여 들을 것,모두 귀,当她开始讲她的故事时，我保证[[洗耳恭听]],在超现实艺术展中，墙上看起来[[全是耳朵]],当她开始讲她的故事时，我保证洗耳恭听,在超现实艺术展中，墙上看起来全是耳朵,洗耳恭听,全是耳朵
all the rage,when something is the height of popularity,"In the 90s, [[the new fashion trend was all the rage]] among teenagers","When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more","In the 90s, the new fashion trend was all the rage among teenagers","When the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",the new fashion trend was all the rage,90년대에 [[새로운 패션 트렌드는]] 청소년층 사이에서 [[엄청난 인기를 누렸습니다]],"매장에서 재고가 바닥나자, [[새로운 패션 트랜드는]] 더 많은 것들을 요구하는 화난 고객들의 [[분노의 대상이었습니다]]",90년대에 새로운 패션 트렌드는 청소년층 사이에서 엄청난 인기를 누렸습니다,"매장에서 재고가 바닥나자, 새로운 패션 트랜드는 더 많은 것들을 요구하는 화난 고객들의 분노의 대상이었습니다",새로운 패션 트렌드는 엄청난 인기를 누렸습니다,새로운 패션 트랜드는 분노의 대상이었습니다,在90年代，[[新时尚潮流在青少年中风靡一时]],当商店存货不足，客户愤怒地要求更多供货，[[最新的时髦货成为愤怒焦点]],在90年代，新时尚潮流在青少年中风靡一时,当商店存货不足，客户愤怒地要求更多供货，最新的时髦货成为愤怒焦点,新时尚潮流在青少年中风靡一时,最新的时髦货成为愤怒焦点
an item,be involved in a romantic relationship,"After months of dating, they finally [[became an item]] and made their relationship official","In the virtual reality game, the player's avatar [[became an item]] to be collected by others","After months of dating, they finally became an item and made their relationship official","In the virtual reality game, the player's avatar became an item to be collected by others",became an item,몇달간의 데이트 이후 그들은 마침내 공식적으로 [[연인이 되었습니다]],가상 현실 게임에서 플레이어의 아바타는 다른 사람들이 수집할 수 있는 [[아이템이 되었습니다]],몇달간의 데이트 이후 그들은 마침내 공식적으로 연인이 되었습니다,가상 현실 게임에서 플레이어의 아바타는 다른 사람들이 수집할 수 있는 아이템이 되었습니다,연인이 되었습니다,아이템이 되었습니다,几个月的约会后，他们终于[[正式交往]]，公开了他们的关系,在虚拟现实游戏里，玩家的头像变成一个别人可收集的[[物品]],几个月的约会后，他们终于正式交往，公开了他们的关系,在虚拟现实游戏里，玩家的头像变成一个别人可收集的物品,正式交往,物品
ants in pants,be extremely restless,He [[had ants in his pants]] and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]",He had ants in his pants and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and had ants in his pants",had ants in his pants,그는 [[몹시 불안해하며]] 발표에 집중을 하지 못했습니다,소풍 중에 그는 실수로 개미집에 앉아서 [[바지에 개미가 들어갔습니다]],그는 몹시 불안해하며 발표에 집중을 하지 못했습니다,소풍 중에 그는 실수로 개미집에 앉아서 바지에 개미가 들어갔습니다,몹시 불안해하며,바지에 개미가 들어갔습니다,他[[焦躁不安]]，不能专心于演讲,野餐时，他不小心坐在蚁丘上，[[裤子里有蚂蚁]],他焦躁不安，不能专心于演讲,野餐时，他不小心坐在蚁丘上，裤子里有蚂蚁,焦躁不安,裤子里有蚂蚁
apple polisher,a flatterer; toady,He got the promotion by [[being an apple polisher]] and constantly flattering the boss,She took up the job of [[being an apple polisher]] at the fruit market,He got the promotion by being an apple polisher and constantly flattering the boss,She took up the job of being an apple polisher at the fruit market,being an apple polisher,그는 [[아첨꾼이 되어]] 계속해서 상사의 비위를 맞추는 것으로 승진했습니다,그녀는 과일 시장에서 [[사과 광택제]]의 업무를 맡았습니다,그는 아첨꾼이 되어 계속해서 상사의 비위를 맞추는 것으로 승진했습니다,그녀는 과일 시장에서 사과 광택제의 업무를 맡았습니다,아첨꾼이 되어,사과 광택제,他升迁是靠做一个[[谄媚小人]]，不断奉承老板而来,她做起了在水果市场[[擦拭苹果]]的工作,他升迁是靠做一个谄媚小人，不断奉承老板而来,她做起了在水果市场擦拭苹果的工作,谄媚小人,擦拭苹果
apples to apples,having a fair comparison between the two things,"To make a fair judgment, we need [[to compare apples to apples]] in this situation","In the fruit market, we had [[to compare apples to apples]] to find the best quality","To make a fair judgment, we need to compare apples to apples in this situation","In the fruit market, we had to compare apples to apples to find the best quality",to compare apples to apples,공정한 판단을 내리기 위해서는 우리는 [[정당하게 비슷한 것들끼리만 비교해야]]합니다,우리는 과일 시장에서 최고의 품질의 사과를 찾아 [[여러 사과를 놓고 비교]]해야 했습니다,공정한 판단을 내리기 위해서는 우리는 정당하게 비슷한 것들끼리만 비교해야합니다,우리는 과일 시장에서 최고의 품질의 사과를 찾아 여러 사과를 놓고 비교해야 했습니다,정당하게 비슷한 것들끼리만 비교해야,여러 사과를 놓고 비교,在这种情况下，我们要[[同类相比]]，以做出公平判断,在水果市场，我们需[[比较一些苹果]]来找到质量最好的,在这种情况下，我们要同类相比，以做出公平判断,在水果市场，我们需比较一些苹果来找到质量最好的,同类相比,比较一些苹果
arm in arm,to be closely allied,The two companies [[walked arm in arm]] in their joint venture,"The couple [[walked arm in arm]] down the street, enjoying the evening",The two companies walked arm in arm in their joint venture,"The couple walked arm in arm down the street, enjoying the evening",walked arm in arm,두 회사는 합작 투자를 통해 [[가까운 동료가 되었습니다]],그 커플은 [[팔짱을 끼고]] 거리를 [[걸으며]] 저녁 시간을 즐겼습니다.,두 회사는 합작 투자를 통해 가까운 동료가 되었습니다,그 커플은 팔짱을 끼고 거리를 걸으며 저녁 시간을 즐겼습니다.,가까운 동료가 되었습니다,팔짱을 끼고 걸으며,两家公司成立合资企业，[[携手发展]],这对情侣[[挽着胳膊走]]在街上，享受夜晚,两家公司成立合资企业，携手发展,这对情侣挽着胳膊走在街上，享受夜晚,携手发展,挽着胳膊走
asked for the moon,ask for something that is very difficult or impossible to get,He [[asked for the moon]] when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",He asked for the moon when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully asked for the moon as a birthday gift",asked for the moon,그는 백만 달러의 연봉을 요구하는 [[터무니없이 불가능한 부탁을 했습니다]],천문학의 매력에 빠진 그 아이는 [[달을]] 생일 선물로 [[달라고 부탁했습니다]],그는 백만 달러의 연봉을 요구하는 터무니없이 불가능한 부탁을 했습니다,천문학의 매력에 빠진 그 아이는 달을 생일 선물로 달라고 부탁했습니다,터무니없이 불가능한 부탁을 했습니다,달을 달라고 부탁했습니다,他要求百万年薪是[[天方夜谭]],喜欢天文学的孩子淘气地[[要月亮]]作为生日礼物,他要求百万年薪是天方夜谭,喜欢天文学的孩子淘气地要月亮作为生日礼物,天方夜谭,要月亮
asleep at the switch,failing to attend to one's responsibilities or duties,The manager was [[asleep at the switch]] when the crisis occurred,The train operator fell [[asleep at the switch]] during his break,The manager was asleep at the switch when the crisis occurred,The train operator fell asleep at the switch during his break,asleep at the switch,위기가 발생했을 때 관리자는 [[무책임하게 대응했습니다]],기차 운전사가 휴식 [[교대 시간에 잠들었습니다]],위기가 발생했을 때 관리자는 무책임하게 대응했습니다,기차 운전사가 휴식 교대 시간에 잠들었습니다,무책임하게 대응했습니다,교대 시간에 잠들었습니다,危机发生时，经理[[玩忽职守]],火车操控员在休息时[[在操控杆旁睡着]],危机发生时，经理玩忽职守,火车操控员在休息时在操控杆旁睡着,玩忽职守,在操控杆旁睡着
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",The manager was [[asleep at the wheel]] when the company lost a major client,He was so exhausted that he fell [[asleep at the wheel]] while driving,The manager was asleep at the wheel when the company lost a major client,He was so exhausted that he fell asleep at the wheel while driving,asleep at the wheel,회사가 주요 고객을 잃었음에도 관리자는 [[무책임하게 대응했습니다]],그는 너무 피곤해서 운전 도중에 [[자동차 핸들을 잡고 잠이 들었습니다]],회사가 주요 고객을 잃었음에도 관리자는 무책임하게 대응했습니다,그는 너무 피곤해서 운전 도중에 자동차 핸들을 잡고 잠이 들었습니다,무책임하게 대응했습니다,자동차 핸들을 잡고 잠이 들었습니다,当公司失去一个主要客户时，经理[[没有警惕]],他太累了以至于开车时[[在方向盘上睡着]],当公司失去一个主要客户时，经理没有警惕,他太累了以至于开车时在方向盘上睡着,没有警惕,在方向盘上睡着
at an arm's length,as far away from your body as possible,She [[kept it at an arm's length]] to avoid getting too involved in the situation,He [[kept it at an arm's length]] to prevent the paint from smudging his clothes,She kept it at an arm's length to avoid getting too involved in the situation,He kept it at an arm's length to prevent the paint from smudging his clothes,kept it at an arm's length,그녀는 상황에 너무 깊게 연루되고 싶지 않아서 [[그것과 마음의 거리를 두었습니다]],그는 페인트가 옷에 번지지 않도록 [[그것으로부터 팔 길이만큼 떨어져 있었습니다]],그녀는 상황에 너무 깊게 연루되고 싶지 않아서 그것과 마음의 거리를 두었습니다,그는 페인트가 옷에 번지지 않도록 그것으로부터 팔 길이만큼 떨어져 있었습니다,그것과 마음의 거리를 두었습니다,그것으로부터 팔 길이만큼 떨어져 있었습니다,她[[尽可能远离它]]以免过度牵扯进这状况,他[[与它保持一臂之隔]]以防颜料弄脏他的衣服,她尽可能远离它以免过度牵扯进这状况,他与它保持一臂之隔以防颜料弄脏他的衣服,尽可能远离它,与它保持一臂之隔
at daggers drawn,almost ready to fight,The two politicians were [[at daggers drawn with each other]] during the debate,The actors were [[at daggers drawn with each other]] during the stage fight scene,The two politicians were at daggers drawn with each other during the debate,The actors were at daggers drawn with each other during the stage fight scene,at daggers drawn with each other,"두 정치인은 토론 도중에 서로 [[격럴하게, 싸울듯이 대립했습니다]]",배우들은 무대 격투 장면 동안 [[서로 칼을 든채로 대립했습니다]],"두 정치인은 토론 도중에 서로 격럴하게, 싸울듯이 대립했습니다",배우들은 무대 격투 장면 동안 서로 칼을 든채로 대립했습니다,"격럴하게, 싸울듯이 대립했습니다",서로 칼을 든채로 대립했습니다,两个政客在辩论时[[针锋相对]],两个演员在舞台上的打斗场景中[[用短刀对着对方]],两个政客在辩论时针锋相对,两个演员在舞台上的打斗场景中用短刀对着对方,针锋相对,用短刀对着对方
