idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,t_f_brkt_ko,t_l_brkt_ko,t_f_ko,t_l_ko,t_f_a_ko,t_l_a_ko,t_f_brkt_zh,t_l_brkt_zh,t_f_zh,t_l_zh,t_f_a_zh,t_l_a_zh,p_f_ko_gpt4,p_l_ko_gpt4,p_a_ko_gpt4,p_f_ko_nllb,p_l_ko_nllb,p_a_ko_nllb
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,"By constantly learning new skills, she was staying ahead of the curve in her industry",The race car driver was staying ahead of the curve by maintaining a lead on the track,was staying ahead of the curve,새로운 기술을 끊임없이 배우다 보니 그녀는 자기 분야에 있어서 [[시대를 앞서고 있었습니다]],자동차 경주 선수는 트랙에서의 주도권을 유지한 채로 [[굽은 도로에서 앞장서고 있었습니다]].,새로운 기술을 끊임없이 배우다 보니 그녀는 자기 분야에 있어서 시대를 앞서고 있었습니다,자동차 경주 선수는 트랙에서의 주도권을 유지한 채로 굽은 도로에서 앞장서고 있었습니다.,시대를 앞서고 있었습니다,굽은 도로에서 앞장서고 있었습니다,不断学习新技能使得她在行业中[[处于领先地位]],在赛道中的领先使得赛车手能[[在弯道中占先]],不断学习新技能使得她在行业中处于领先地位,在赛道中的领先使得赛车手能在弯道中占先,处于领先地位,在弯道中占先,"지속적으로 새로운 기술을 배움으로써, 그녀는 그녀의 산업에서 앞서 나가고 있었습니다.",레이스 카 드라이버는 트랙에서 앞서가는 것을 유지함으로써 커브를 앞서갔다.,곡선 앞서 머물렀다,"새로운 기술을 끊임없이 배우고, 그녀는 업계에서 선두에 머물렀습니다",경주차 운전자는 경주에서 선두를 유지함으로써 곡선을 앞서고 있었습니다,전선에서 벗어나지 못했던
ahead of the pack,more successful than other people who are trying to achieve the same things,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry","During the marathon, the lead runner was [[staying ahead of the pack]] of other runners","By consistently innovating, the company is staying ahead of the pack in the industry","During the marathon, the lead runner was staying ahead of the pack of other runners",staying ahead of the pack,혁신을 계속하며 그 회사는 산업을 [[이끌고 있습니다]],마라톤 도중 선두 주자는 다른 주자들의 [[무리를 앞서고 있었습니다]],혁신을 계속하며 그 회사는 산업을 이끌고 있습니다,마라톤 도중 선두 주자는 다른 주자들의 무리를 앞서고 있었습니다,이끌고 있습니다,무리를 앞서고 있었습니다,持续创新使得公司在行业中[[一骑绝尘]],在马拉松比赛中，领跑者[[持续跑在一大群跑者之前]],持续创新使得公司在行业中一骑绝尘,在马拉松比赛中，领跑者持续跑在一大群跑者之前,一骑绝尘,持续跑在一大群跑者之前,"지속적인 혁신을 통해, 이 회사는 업계에서 선두를 유지하고 있다.",마라톤 도중에 선두 주자는 다른 주자들의 무리 앞에 머물고 있었습니다.,팩을 앞서 나가기,지속적으로 혁신함으로써 회사는 업계에서 앞서가고 있습니다.,"마라톤 대회 도중, 선두 달리는 사람 은 다른 달리는 사람 들 이 앞 에 서 있었다",무리의 앞을 다
air their dirty laundry,to make public something embarrassing that should be kept secret,"During the family reunion, [[they aired their dirty laundry]] in front of everyone",[[They aired their dirty laundry]] outside on the clothesline,"During the family reunion, they aired their dirty laundry in front of everyone",They aired their dirty laundry outside on the clothesline,they aired their dirty laundry,가족 모임 도중에 [[그들은]] 모두 앞에서 [[자신의 치부를 드러냈습니다]],[[그들은]] 빨래 줄에 [[더러운 빨래를 널어놓았습니다]],가족 모임 도중에 그들은 모두 앞에서 자신의 치부를 드러냈습니다,그들은 빨래 줄에 더러운 빨래를 널어놓았습니다,그들은 자신의 치부를 드러냈습니다,그들은 더러운 빨래를 널어놓았습니다,在家庭重聚时，他们在大家面前[[揭露了他们所有丑事]],他们在晾衣绳上[[晾脏衣服]],在家庭重聚时，他们在大家面前揭露了他们所有丑事,他们在晾衣绳上晾脏衣服,揭露了他们所有丑事,晾脏衣服,"가족 재회 동안, 그들은 모두 앞에서 더러운 세탁물을 드러냈습니다.",그들은 빨래줄에 더러운 빨래를 밖에서 말렸습니다.,그들은 불량한 비밀을 드러냈습니다.,"가족회복 때, 그들은 모든 사람들 앞에서 더러운 세탁물을 방영했습니다",그들은 옷줄에 더러운 세탁물을 밖으로 방출했습니다,그들은 더러운 세탁물을 공중으로 내놓았습니다.
all Greek to me,used to convey that you cannot understand what is being said or written,"When he started talking about quantum physics, [[it's all Greek to me]]","Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]","When he started talking about quantum physics, it's all Greek to me","Since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",it's all Greek to me,그가 양자약학에 대해 설명하기 시작했을 때 [[저는 하나도 알아들을 수 없었습니다]],그 언어를 잘 모르는 제가 그리스의 신문을 읽으면 [[그것은 제게 그리스어 투성이입니다]],그가 양자약학에 대해 설명하기 시작했을 때 저는 하나도 알아들을 수 없었습니다,그 언어를 잘 모르는 제가 그리스의 신문을 읽으면 그것은 제게 그리스어 투성이입니다,저는 하나도 알아들을 수 없었습니다,그것은 제게 그리스어 투성이입니다,当他开始谈论量子物理时，对我像[[听天书一样]],因为我不懂这语言，当我看希腊报纸时，它们就是[[一堆希腊字母]],当他开始谈论量子物理时，对我像听天书一样,因为我不懂这语言，当我看希腊报纸时，它们就是一堆希腊字母,听天书一样,一堆希腊字母,"그가 양자물리학에 대해 이야기하기 시작했을 때, 그건 제게 완전히 낯선 얘기였어요.","제가 그 언어를 이해하지 못하기 때문에, 그리스 신문을 읽을 때 모든 것이 이해가 안 가네요.",나한테는 모두 그리스어 같아요.,"그가 양자 물리학에 대해 이야기하기 시작했을 때, 그것은 모든 그리스어",저는 그 언어를 이해하지 못하기 때문에 그리스 신문들을 읽으면 모든 것이 그리스어처럼 느껴집니다.,제 생각엔 그리스어
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"When she started telling her story, I promised to [[be all ears]]","In the surreal art exhibit, the walls appeared to [[be all ears]]","When she started telling her story, I promised to be all ears","In the surreal art exhibit, the walls appeared to be all ears",be all ears,그녀가 이야기를 시작했을 때 난 [[집중해서 귀기울여 들을 것]]을 약속했습니다,초현실주의 예술 전시회에서 벽면들은 마치 [[모두 귀]]처럼 보였습니다,그녀가 이야기를 시작했을 때 난 집중해서 귀기울여 들을 것을 약속했습니다,초현실주의 예술 전시회에서 벽면들은 마치 모두 귀처럼 보였습니다,집중해서 귀기울여 들을 것,모두 귀,当她开始讲她的故事时，我保证[[洗耳恭听]],在超现实艺术展中，墙上看起来[[全是耳朵]],当她开始讲她的故事时，我保证洗耳恭听,在超现实艺术展中，墙上看起来全是耳朵,洗耳恭听,全是耳朵,"그녀가 이야기를 시작하자, 나는 열심히 귀를 기울이겠다고 약속했다.","서레알한 미술 전시에서, 벽은 귀가 모두 달린 것처럼 보였다.",귀를 기울이다,"그녀가 이야기를 시작했을 때, 난 모든 귀가 될 것을 약속했다",초현실적인 예술 전시회에서 벽은 모두 귀처럼 보였다,귀가 다 들어봐
all the rage,when something is the height of popularity,"In the 90s, [[the new fashion trend was all the rage]] among teenagers","When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more","In the 90s, the new fashion trend was all the rage among teenagers","When the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",the new fashion trend was all the rage,90년대에 [[새로운 패션 트렌드는]] 청소년층 사이에서 [[엄청난 인기를 누렸습니다]],"매장에서 재고가 바닥나자, [[새로운 패션 트랜드는]] 더 많은 것들을 요구하는 화난 고객들의 [[분노의 대상이었습니다]]",90년대에 새로운 패션 트렌드는 청소년층 사이에서 엄청난 인기를 누렸습니다,"매장에서 재고가 바닥나자, 새로운 패션 트랜드는 더 많은 것들을 요구하는 화난 고객들의 분노의 대상이었습니다",새로운 패션 트렌드는 엄청난 인기를 누렸습니다,새로운 패션 트랜드는 분노의 대상이었습니다,在90年代，[[新时尚潮流在青少年中风靡一时]],当商店存货不足，客户愤怒地要求更多供货，[[最新的时髦货成为愤怒焦点]],在90年代，新时尚潮流在青少年中风靡一时,当商店存货不足，客户愤怒地要求更多供货，最新的时髦货成为愤怒焦点,新时尚潮流在青少年中风靡一时,最新的时髦货成为愤怒焦点,90년대에는 신세대 패션 트렌드가 청소년들 사이에서 대유행이었습니다.,"가게 재고가 바닥나자, 고객들이 화를 내며 더 많은 것을 요구하면서 새로운 패션 트렌드가 대세가 되었습니다.",새로운 패션 트렌드가 대 rage였다.,"90년대, 새로운 패션 트렌드는 십대들 사이에서","매장이 물품이 부족했을 때, 새로운 패션 트렌드는 분노로 고객들이 더 많은 것을 요구하면서 분노를 일으켰습니다.",새로운 패션 트렌드는 분노를 일으켰습니다.
an item,be involved in a romantic relationship,"After months of dating, they finally [[became an item]] and made their relationship official","In the virtual reality game, the player's avatar [[became an item]] to be collected by others","After months of dating, they finally became an item and made their relationship official","In the virtual reality game, the player's avatar became an item to be collected by others",became an item,몇달간의 데이트 이후 그들은 마침내 공식적으로 [[연인이 되었습니다]],가상 현실 게임에서 플레이어의 아바타는 다른 사람들이 수집할 수 있는 [[아이템이 되었습니다]],몇달간의 데이트 이후 그들은 마침내 공식적으로 연인이 되었습니다,가상 현실 게임에서 플레이어의 아바타는 다른 사람들이 수집할 수 있는 아이템이 되었습니다,연인이 되었습니다,아이템이 되었습니다,几个月的约会后，他们终于[[正式交往]]，公开了他们的关系,在虚拟现实游戏里，玩家的头像变成一个别人可收集的[[物品]],几个月的约会后，他们终于正式交往，公开了他们的关系,在虚拟现实游戏里，玩家的头像变成一个别人可收集的物品,正式交往,物品,"데이트를 몇 달 동안 한 후, 그들은 드디어 커플이 되어 그들의 관계를 공식적으로 인정했습니다.",가상 현실 게임에서 플레이어의 아바타는 다른 사람들이 수집할 수 있는 아이템이 되었다.,아이템이 되었다,"몇 달 동안 데이트한 후, 마침내 그들은 서로가 서로를 사랑하게 되었고, 그들의 관계를 공식화했습니다.",가상현실 게임에서 플레이어의 아바타는 다른 사람들이 수집해야 할 아이템으로 변했습니다.,상품이 되었습니다
ants in pants,be extremely restless,He [[had ants in his pants]] and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]",He had ants in his pants and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and had ants in his pants",had ants in his pants,그는 [[몹시 불안해하며]] 발표에 집중을 하지 못했습니다,소풍 중에 그는 실수로 개미집에 앉아서 [[바지에 개미가 들어갔습니다]],그는 몹시 불안해하며 발표에 집중을 하지 못했습니다,소풍 중에 그는 실수로 개미집에 앉아서 바지에 개미가 들어갔습니다,몹시 불안해하며,바지에 개미가 들어갔습니다,他[[焦躁不安]]，不能专心于演讲,野餐时，他不小心坐在蚁丘上，[[裤子里有蚂蚁]],他焦躁不安，不能专心于演讲,野餐时，他不小心坐在蚁丘上，裤子里有蚂蚁,焦躁不安,裤子里有蚂蚁,그는 바지에 개미가 있어서 발표에 집중할 수 없었습니다.,"소풍 중에 그는 실수로 개미집에 앉았고, 그의 바지에 개미들이 들어갔다.",그의 바지에 개미가 있었다.,그는 에 개미를 가지고 있었고 프레젠테이션에 집중할 수 없었습니다.,"피크닉을 하던 중, 그는 우연히 개미의 에 앉아",내 바지에 개미가 있었다
apple polisher,a flatterer; toady,He got the promotion by [[being an apple polisher]] and constantly flattering the boss,She took up the job of [[being an apple polisher]] at the fruit market,He got the promotion by being an apple polisher and constantly flattering the boss,She took up the job of being an apple polisher at the fruit market,being an apple polisher,그는 [[아첨꾼이 되어]] 계속해서 상사의 비위를 맞추는 것으로 승진했습니다,그녀는 과일 시장에서 [[사과 광택제]]의 업무를 맡았습니다,그는 아첨꾼이 되어 계속해서 상사의 비위를 맞추는 것으로 승진했습니다,그녀는 과일 시장에서 사과 광택제의 업무를 맡았습니다,아첨꾼이 되어,사과 광택제,他升迁是靠做一个[[谄媚小人]]，不断奉承老板而来,她做起了在水果市场[[擦拭苹果]]的工作,他升迁是靠做一个谄媚小人，不断奉承老板而来,她做起了在水果市场擦拭苹果的工作,谄媚小人,擦拭苹果,그는 사장님에게 계속 아첨하고 아부하는 알람벌레 역할을 해서 승진을 얻었습니다.,그녀는 과일 시장에서 사과 광택 작업을 맡았습니다.,사과를 닦는 사람이 되다,"그는 사과 수업자로 승진했고, 끊임없이 상사를 칭찬했습니다.",그녀는 과일 시장에서 사과 닦아주는 일을 맡았다,사과 을 가꾸는 사람이 되는 것
apples to apples,having a fair comparison between the two things,"To make a fair judgment, we need [[to compare apples to apples]] in this situation","In the fruit market, we had [[to compare apples to apples]] to find the best quality","To make a fair judgment, we need to compare apples to apples in this situation","In the fruit market, we had to compare apples to apples to find the best quality",to compare apples to apples,공정한 판단을 내리기 위해서는 우리는 [[정당하게 비슷한 것들끼리만 비교해야]]합니다,우리는 과일 시장에서 최고의 품질의 사과를 찾아 [[여러 사과를 놓고 비교]]해야 했습니다,공정한 판단을 내리기 위해서는 우리는 정당하게 비슷한 것들끼리만 비교해야합니다,우리는 과일 시장에서 최고의 품질의 사과를 찾아 여러 사과를 놓고 비교해야 했습니다,정당하게 비슷한 것들끼리만 비교해야,여러 사과를 놓고 비교,在这种情况下，我们要[[同类相比]]，以做出公平判断,在水果市场，我们需[[比较一些苹果]]来找到质量最好的,在这种情况下，我们要同类相比，以做出公平判断,在水果市场，我们需比较一些苹果来找到质量最好的,同类相比,比较一些苹果,"이 상황에서 공정한 판단을 내리려면, 사과와 사과를 비교해야 합니다.",과일 시장에서는 사과와 사과를 비교하여 최고의 품질을 찾아야 했습니다.,사과와 사과를 비교하다,공정한 판단을 하기 위해서는 이 상황에서 사과와 사과를 비교해야 합니다.,과일 시장에서 우리는 최고의 품질을 찾기 위해 사과와 사과를 비교해야 했습니다.,사과와 사과를 비교하기 위해서
arm in arm,to be closely allied,The two companies [[walked arm in arm]] in their joint venture,"The couple [[walked arm in arm]] down the street, enjoying the evening",The two companies walked arm in arm in their joint venture,"The couple walked arm in arm down the street, enjoying the evening",walked arm in arm,두 회사는 합작 투자를 통해 [[가까운 동료가 되었습니다]],그 커플은 [[팔짱을 끼고]] 거리를 [[걸으며]] 저녁 시간을 즐겼습니다.,두 회사는 합작 투자를 통해 가까운 동료가 되었습니다,그 커플은 팔짱을 끼고 거리를 걸으며 저녁 시간을 즐겼습니다.,가까운 동료가 되었습니다,팔짱을 끼고 걸으며,两家公司成立合资企业，[[携手发展]],这对情侣[[挽着胳膊走]]在街上，享受夜晚,两家公司成立合资企业，携手发展,这对情侣挽着胳膊走在街上，享受夜晚,携手发展,挽着胳膊走,두 회사는 공동 사업에서 팔짱을 끼고 나란히 걸었다.,그 커플은 팔짱을 끼고 거리를 걸으며 저녁 시간을 즐겼다.,팔짱을 끼고 걸었다.,두 회사는 공동 사업에서 손잡고,이 부부는 길 에서 손 을 다투며 저녁 을 즐기고,팔을 팔로 걸어
asked for the moon,ask for something that is very difficult or impossible to get,He [[asked for the moon]] when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",He asked for the moon when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully asked for the moon as a birthday gift",asked for the moon,그는 백만 달러의 연봉을 요구하는 [[터무니없이 불가능한 부탁을 했습니다]],천문학의 매력에 빠진 그 아이는 [[달을]] 생일 선물로 [[달라고 부탁했습니다]],그는 백만 달러의 연봉을 요구하는 터무니없이 불가능한 부탁을 했습니다,천문학의 매력에 빠진 그 아이는 달을 생일 선물로 달라고 부탁했습니다,터무니없이 불가능한 부탁을 했습니다,달을 달라고 부탁했습니다,他要求百万年薪是[[天方夜谭]],喜欢天文学的孩子淘气地[[要月亮]]作为生日礼物,他要求百万年薪是天方夜谭,喜欢天文学的孩子淘气地要月亮作为生日礼物,天方夜谭,要月亮,그는 백만 달러의 연봉을 요구하며 달을 달라고 요청했다.,천문학에 매료된 아이는 장난스럽게 달을 생일 선물로 달라고 요청했다.,달을 요청했다,"그는 월을 요구했고, 백만 달러의 연봉을 요구했습니다.",천문학 에 매료 된 그 아이는 생일에 선물 으로 달 을 놀이 로 요청 하였습니다,달을 구했어요
asleep at the switch,failing to attend to one's responsibilities or duties,The manager was [[asleep at the switch]] when the crisis occurred,The train operator fell [[asleep at the switch]] during his break,The manager was asleep at the switch when the crisis occurred,The train operator fell asleep at the switch during his break,asleep at the switch,위기가 발생했을 때 관리자는 [[무책임하게 대응했습니다]],기차 운전사가 휴식 [[교대 시간에 잠들었습니다]],위기가 발생했을 때 관리자는 무책임하게 대응했습니다,기차 운전사가 휴식 교대 시간에 잠들었습니다,무책임하게 대응했습니다,교대 시간에 잠들었습니다,危机发生时，经理[[玩忽职守]],火车操控员在休息时[[在操控杆旁睡着]],危机发生时，经理玩忽职守,火车操控员在休息时在操控杆旁睡着,玩忽职守,在操控杆旁睡着,위기가 발생했을 때 관리자는 스위치를 켜지 않고 잠들어 있었습니다.,기차 운전사가 휴식 시간에 스위치를 잡고 잠들었습니다.,스위치를 켜놓고 잠들다,위기가 발생했을 때 매니저는 스위치에서 잠을 자고 있었습니다.,기차 운용자는 휴식시간 동안 스위치에서 잠들었습니다.,스위치에서 자고
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",The manager was [[asleep at the wheel]] when the company lost a major client,He was so exhausted that he fell [[asleep at the wheel]] while driving,The manager was asleep at the wheel when the company lost a major client,He was so exhausted that he fell asleep at the wheel while driving,asleep at the wheel,회사가 주요 고객을 잃었음에도 관리자는 [[무책임하게 대응했습니다]],그는 너무 피곤해서 운전 도중에 [[자동차 핸들을 잡고 잠이 들었습니다]],회사가 주요 고객을 잃었음에도 관리자는 무책임하게 대응했습니다,그는 너무 피곤해서 운전 도중에 자동차 핸들을 잡고 잠이 들었습니다,무책임하게 대응했습니다,자동차 핸들을 잡고 잠이 들었습니다,当公司失去一个主要客户时，经理[[没有警惕]],他太累了以至于开车时[[在方向盘上睡着]],当公司失去一个主要客户时，经理没有警惕,他太累了以至于开车时在方向盘上睡着,没有警惕,在方向盘上睡着,관리자가 대형 고객을 잃었을 때 바퀴를 잡고 잠들어 있었습니다.,그는 너무 힘들어서 운전하다가 핸들을 잡고 잠이 들었습니다.,바퀴를 잡고 자다,매니저는 운전자리에서 잠들어 있었는데 회사에서 중요한 고객을 잃었을 때,그는 너무 피곤해서 운전 중 운전중에서 잠들게 되었습니다.,운전자 앞에서 잠들어
at an arm's length,as far away from your body as possible,She [[kept it at an arm's length]] to avoid getting too involved in the situation,He [[kept it at an arm's length]] to prevent the paint from smudging his clothes,She kept it at an arm's length to avoid getting too involved in the situation,He kept it at an arm's length to prevent the paint from smudging his clothes,kept it at an arm's length,그녀는 상황에 너무 깊게 연루되고 싶지 않아서 [[그것과 마음의 거리를 두었습니다]],그는 페인트가 옷에 번지지 않도록 [[그것으로부터 팔 길이만큼 떨어져 있었습니다]],그녀는 상황에 너무 깊게 연루되고 싶지 않아서 그것과 마음의 거리를 두었습니다,그는 페인트가 옷에 번지지 않도록 그것으로부터 팔 길이만큼 떨어져 있었습니다,그것과 마음의 거리를 두었습니다,그것으로부터 팔 길이만큼 떨어져 있었습니다,她[[尽可能远离它]]以免过度牵扯进这状况,他[[与它保持一臂之隔]]以防颜料弄脏他的衣服,她尽可能远离它以免过度牵扯进这状况,他与它保持一臂之隔以防颜料弄脏他的衣服,尽可能远离它,与它保持一臂之隔,그녀는 상황에 너무 많이 개입되지 않기 위해 팔 길이만큼의 거리를 유지했습니다.,그는 옷에 물감이 번지지 않도록 팔 길이만큼 떨어져서 그것을 계속 붙잡았다.,팔 길이만큼 떨어져 있게 유지했다,그녀는 상황을 너무 많이 개입하지 않기 위해 팔의 길이를 유지했습니다,그는 그 페인트가 그의 옷을 지 않도록 팔 길이로 보관했습니다,팔의 길이를 유지해서
at daggers drawn,almost ready to fight,The two politicians were [[at daggers drawn with each other]] during the debate,The actors were [[at daggers drawn with each other]] during the stage fight scene,The two politicians were at daggers drawn with each other during the debate,The actors were at daggers drawn with each other during the stage fight scene,at daggers drawn with each other,"두 정치인은 토론 도중에 서로 [[격럴하게, 싸울듯이 대립했습니다]]",배우들은 무대 격투 장면 동안 [[서로 칼을 든채로 대립했습니다]],"두 정치인은 토론 도중에 서로 격럴하게, 싸울듯이 대립했습니다",배우들은 무대 격투 장면 동안 서로 칼을 든채로 대립했습니다,"격럴하게, 싸울듯이 대립했습니다",서로 칼을 든채로 대립했습니다,两个政客在辩论时[[针锋相对]],两个演员在舞台上的打斗场景中[[用短刀对着对方]],两个政客在辩论时针锋相对,两个演员在舞台上的打斗场景中用短刀对着对方,针锋相对,用短刀对着对方,두 정치인은 토론 중 서로에게 칼을 뽑은 상태였다.,배우들은 무대 격투 장면 동안 서로 칼을 들고 대립했습니다.,서로 칼을 들고 맞서다,두 정치인은 토론 중에 서로 찔려,배우들은 무대 싸움 장면 동안 서로 찔려,서로 뭉쳐진 칼에
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",[[She started at the bottom of the ladder]] in the company and worked her way up,"Before climbing, [[she started at the bottom of the ladder]] and checked each rung for stability",She started at the bottom of the ladder in the company and worked her way up,"Before climbing, she started at the bottom of the ladder and checked each rung for stability",She started at the bottom of the ladder,[[그녀는 회사 맨 밑바닥 직급부터 시작해서]] 승진해 나아갔습니다,등만하기 전에 [[그녀는 사다리 밑에서 부터 시작하여]] 각 발판의 안정성을 점검했습니다,그녀는 회사 맨 밑바닥 직급부터 시작해서 승진해 나아갔습니다,등만하기 전에 그녀는 사다리 밑에서 부터 시작하여 각 발판의 안정성을 점검했습니다,그녀는 회사 맨 밑바닥 직급부터 시작해서,그녀는 사다리 밑에서 부터 시작하여,她在公司[[从底层开始打拼]]并一路向上,在攀登前，她[[从梯子底部开始]]，检查每个阶梯的稳定性,她在公司从底层开始打拼并一路向上,在攀登前，她从梯子底部开始，检查每个阶梯的稳定性,从底层开始打拼,从梯子底部开始,그녀는 회사에서 사다리의 가장 아래에서 시작하여 점차 승진해 나갔습니다.,"등반하기 전에, 그녀는 사다리 밑에서 시작하여 각 발판의 안정성을 확인했습니다.",그녀는 사다리의 가장 아래에서 시작했습니다.,"그녀는 회사 계단 밑에서 시작했고,","오르는 전에, 그녀는 계단 밑에서 시작해서 각 계단에서 안정성을 확인했습니다",그녀는 계단 밑에서 시작했어요
at the drop of a dime,something that can happen very fast without hesitation,Our team is always [[ready at the drop of a dime]] to tackle any challenge,The coin collector was [[ready at the drop of a dime]] to catch the rare coin,Our team is always ready at the drop of a dime to tackle any challenge,The coin collector was ready at the drop of a dime to catch the rare coin,ready at the drop of a dime,우리 우리팀은 언제든지 어떠한 도전에도 대처할 수 있도록 [[만반의 준비가 되어있습니다]],동선 수집가는 그 희귀한 [[동전이 땅에 떨어지기 전에 잡기 위해 준비가 되어있었습니다]],우리 우리팀은 언제든지 어떠한 도전에도 대처할 수 있도록 만반의 준비가 되어있습니다,동선 수집가는 그 희귀한 동전이 땅에 떨어지기 전에 잡기 위해 준비가 되어있었습니다,만반의 준비가 되어있습니다,동전이 땅에 떨어지기 전에 잡기 위해 준비가 되어있었습니다,我们队[[随时准备好]]解决任何挑战,硬币收集者已[[为银币的掉落准备好]]，以抓到这稀有的硬币,我们队随时准备好解决任何挑战,硬币收集者已为银币的掉落准备好，以抓到这稀有的硬币,随时准备好,为银币的掉落准备好,우리 팀은 언제든지 돈 한 푼에도 어떤 도전이든 해결할 준비가 되어 있습니다.,동전 수집가는 희귀한 동전을 잡기 위해 언제든지 준비가 되어 있었습니다.,순식간에 준비되다,우리 팀은 언제나 모든 도전을 해결하기 위해,동전 수집가 는 희귀 동전을 잡기 위해 동전 한 동전도 빠지지 않았다,1센트의 자금으로 준비되어 있습니다.
at the drop of the hat,to do something easily and without any preparation,She was always [[ready at the drop of a hat]] to help her friends,"As a professional hat catcher, he was [[ready at the drop of a hat]] to catch any falling hats",She was always ready at the drop of a hat to help her friends,"As a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",ready at the drop of a hat,그녀는 친구들을 돕기 위한 [[만반의 준비가]] 항상 [[되어있었습니다]],"전문 모자 잡이로서, 그는 언제든 [[떨어지는 모자를 잡기 위해 준비가 되어 있었습니다]]",그녀는 친구들을 돕기 위한 만반의 준비가 항상 되어있었습니다,"전문 모자 잡이로서, 그는 언제든 떨어지는 모자를 잡기 위해 준비가 되어 있었습니다",만반의 준비가 되어있었습니다,떨어지는 모자를 잡기 위해 준비가 되어 있었습니다,她一直[[随时准备好]]帮助她的朋友,作为一个专业的接帽子的人，他[[准备好在帽子掉下时]]抓住下落的帽子,她一直随时准备好帮助她的朋友,作为一个专业的接帽子的人，他准备好在帽子掉下时抓住下落的帽子,随时准备好,准备好在帽子掉下时,그녀는 언제나 친구들을 돕기 위해 말 그대로 즉시 준비가 되어 있었습니다.,"전문 모자 잡이로서, 그는 언제든지 떨어지는 모자를 잡기 위해 준비가 되어 있었습니다.",손쉽게 준비되다,그녀는 항상 친구들을 돕기 위해,"전문적인 모자 포착자로서, 그는 모자 떨어지는 모자를 잡기 위해",모자 떨어질 때 준비되어 있습니다
ate her alive,to criticize someone severely because you are angry with them,The guilt of lying to her best friend [[it ate her alive]] for days,"In the horror movie, the monster found her hiding spot and [[it ate her alive]]",The guilt of lying to her best friend it ate her alive for days,"In the horror movie, the monster found her hiding spot and it ate her alive",it ate her alive,그녀의 절친한 친구에게 거짓말한 죄책감이 며칠 동안 [[그녀를 힘들게 했습니다]],공포 영화에서 괴물이 그녀의 은신처를 찾아내어 [[그녀를 산 채로 먹어치웠습니다]],그녀의 절친한 친구에게 거짓말한 죄책감이 며칠 동안 그녀를 힘들게 했습니다,공포 영화에서 괴물이 그녀의 은신처를 찾아내어 그녀를 산 채로 먹어치웠습니다,그녀를 힘들게 했습니다,그녀를 산 채로 먹어치웠습니다,对她朋友撒谎的罪恶感让她几天[[彷徨不安]],在恐怖电影里，怪兽发现了她的藏身之处并[[生吞]]了她,对她朋友撒谎的罪恶感让她几天彷徨不安,在恐怖电影里，怪兽发现了她的藏身之处并生吞了她,彷徨不安,生吞,그녀의 최고의 친구에게 거짓말을 한 죄책감이 며칠 동안 그녀를 산 채로 먹어치웠다.,공포 영화에서 괴물이 그녀의 은신처를 찾아내어 그녀를 산 채로 먹어치웠다.,그것이 그녀를 산 채로 먹어치웠다.,가장 친한 친구에게 거짓말을 한 죄책감은 며칠 동안 그녀를 살아 먹었습니다,공포 영화에서 괴물이 그녀의 숨을 곳을 찾아서 살아서 먹었습니다,그놈은 살아서 먹었어
axe to grind,have a private or selfish reason for doing something,He [[had an axe to grind]] with his coworker after the disagreement,The lumberjack [[had an axe to grind]] before chopping down the tree,He had an axe to grind with his coworker after the disagreement,The lumberjack had an axe to grind before chopping down the tree,had an axe to grind,그는 의견 충돌 이후 그의 직장 동료와 함께 [[다른 속셈이 생겼습니다]],나무꾼에게는 나무를 베기 전에 [[갈아야할 도끼가 있었습니다]],그는 의견 충돌 이후 그의 직장 동료와 함께 다른 속셈이 생겼습니다,나무꾼에게는 나무를 베기 전에 갈아야할 도끼가 있었습니다,다른 속셈이 생겼습니다,갈아야할 도끼가 있었습니다,他在和同事争论之后[[心怀鬼胎]],伐木工人在砍树之前要[[磨斧头]],他在和同事争论之后心怀鬼胎,伐木工人在砍树之前要磨斧头,心怀鬼胎,磨斧头,그 논쟁 이후 그는 동료와 갚아야 할 원한이 있었다.,나무꾼은 나무를 베기 전에 도끼를 갈았다.,이끌어야 할 도끼가 있었다,그는 이 분쟁 이후 동료와 함께 가벼운 일을 했습니다.,목사 는 나무 를 잘라내기 전 에 도끼 를 깎아야 했다,가벼운 을 고
