idiom,meaning,label,source,translation_ko,translation_he,equivalent idiom,discard,good
paint the town red,to celebrate and have a wild time,figurative,"After winning the championship, they decided [[to paint the town red together]] and celebrate",우승 후 그들은 [[ 신나게 놀고]] 축하하기로 결정했습니다 ,הם החליטו [[לקרוע את העיר יחד]] ולחגוג אחרי שניצחו באליפות,FALSE,FALSE,TRUE
paint the town red,to celebrate and have a wild time,literal,"As part of a community art project, they decided [[to paint the town red together]] by covering the walls with vibrant murals","커뮤니티 아트 프로젝트의 일환으로, 그들은 활기찬 벽화로 벽을 덮어 [[마을을 함께 붉게 칠하기로]] 결정했습니다.","כחלק מפרויקט אמנות קהילתי, הם החליטו [[לצבוע את העיר באדום יחד]] על ידי צביעה של הקירות בציורי קיר עזים",FALSE,FALSE,TRUE
chapter and verse,verbatim; word for word details.,figurative,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",새로운 정책에 대해 물어보자 그녀는 그들에게 회사의 규정에 대해 [[상세하게 설명해주었습니다]],"כשהיא נשאלה על המדיניות החדשה, היא [[מסרה להם בפרטי פרטים]] את התקנות של החברה  ",FALSE,FALSE,TRUE
chapter and verse,verbatim; word for word details.,literal,The priest [[gave them chapter and verse]] from the Bible during the sermon,성직자는 설교 도중 그들에게 성경의 [[구절을 전달하였습니다]],"הכומר [[נתן להם פרק ופסוק]] מהתנ""ך במהלך הדרשה",FALSE,FALSE,TRUE
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,figurative,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]",그는 항상 [[ 자신에게 유리한것을 파악한 ]] 모습으로 사장님의 결정을 지지합니다 ,"הוא תמיד תומך בהחלטות של הבוס שלו, וזה מראה שהוא [[יודע מה האינטרסים שלו]]",FALSE,FALSE,TRUE
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,literal,He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,그는 샌드위치를 주의 깊게 관찰하고 손에 기름기가 생기는 것을 피하기 위해 [[빵의 어느 면에 버터를 발라야 하는지 알고 있습니다]],"הוא בחן את הכריך בקפידה והוא [[יודע באיזה צד החמאה מרוחה על הלחם]], כדי להמנע מלשמן את הידיים שלו ",FALSE,FALSE,TRUE
chink in armour,a susceptible or vulnerable area.,figurative,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit",그들의 전략을 분석한 후 우리는 그들에게서 우리가 이용할 수 있는 [[약점을 발견했습니다]],"לאחר שבחנו את האסטרטגיה שלהם, מצאנו [[פרצה]] שיכולנו לנצל",FALSE,FALSE,TRUE
chink in armour,a susceptible or vulnerable area.,literal,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair",기사의 갑옷을 조사하다가 그는 수리가 필요한 [[갑옷 사이의 틈을 발견했습니다]],בזמן שבחן את החליפה של האביר הוא [[מצא סדק בשריון]] שהצריך תיקון,FALSE,FALSE,TRUE
worm in the apple,the presence of something very bad in the best,figurative,"Despite the company's success, [[they found a worm in the apple]] when they discovered the corruption",회사의 성공에도 불구하고 부패를 발견했을 때 [[그들은 뭔가 매우 나쁜 것을 찾았습니다]],"למרות הצלחת החברה, [[הם מצאו בה פגם משמעותי]] בכך שגילו את השחיתות ",FALSE,FALSE,TRUE
worm in the apple,the presence of something very bad in the best,literal,"While eating their fruit, [[they found a worm in the apple]] and felt disgusted",과일을 먹다가 [[그들은 사과에서 벌레를 발견하고는]] 혐오감을 느꼈습니다.,בזמן שאכלו את הפרי שלהם [[הם מצאו תולעת בתפוח]] ונגעלו,FALSE,FALSE,TRUE
go the extra mile,to make an extra effort,figurative,"To make sure the project was perfect, [[he went the extra mile]] and double - checked everything",프로젝트가 완벽했는지 확인하기 위해 그는 모든것에 두 번 확인하고 [[더 많은 노력을 기울였습니다]] ,[[הוא השקיע מאמץ נוסף]] ובדק את הכל שוב כדי לוודא שהפרויקט מושלם,FALSE,FALSE,TRUE
go the extra mile,to make an extra effort,literal,"During the marathon, [[he went the extra mile]] by mistake due to a wrong turn",마라톤 도중 그는 실수로 방향을 잘못 잡아서 [[몇 마일을 더 갔습니다]],"במהלך המרתון, [[הוא הלך את המייל הנוסף]] בטעות בגלל פנייה לא נכונה",FALSE,FALSE,TRUE
a whole new ball game,a significant change in circumstances.,figurative,"After the company's merger, [[it's a whole new ball game]] for the employees",회사의 합병이후 직원들의 [[상황이 완전히 달라졌습니다]],"אחרי המיזוג של החברה, [[מדובר בכללי משחק חדשים]] עבור העובדים",FALSE,FALSE,TRUE
a whole new ball game,a significant change in circumstances.,literal,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players",축구에서 야구로 종목을 바꾸자 선수들은 [[전혀 다른 구기 종목을 하게 됩니다]],"כשהם החליפו מכדורגל לבייסבול, [[זה היה משחק חדש לחלוטין]] עבור השחקנים",FALSE,FALSE,TRUE
hit the bull's-eye,to be exactly right about something or achieve the best result possible,figurative,Her speech [[hit the bull's-eye]] and resonated with the audience,그녀의 연설은 [[ 적중해서 ]] 청중의 공감을 얻었습니다,הנאום שלה [[היה מדויק ומוצלח]] והשפיע על הקהל,FALSE,FALSE,TRUE
hit the bull's-eye,to be exactly right about something or achieve the best result possible,literal,"With a steady hand, she aimed and [[hit the bull's-eye]] on the target",떨림없는 안정된 손으로 그녀는 [[목표물을 겨냥하고]] 과녁을 맞았습니다,"ביד יציבה, היא כיוונה ו[[פגעה בעין של השור]] במטרה",FALSE,FALSE,TRUE
use your loaf,To tell someone to use their brain more in analysing what they are doing.,figurative,[[They used their loaf]] to solve the complex puzzle,복잡한 퍼즐을 풀기 위해 [[ 최대한 그들의 지식과 생각을 도출했습니다  ]],[[הם הפעילו את המוח שלהם]] כדי לפתור את החידה המורכבת,FALSE,FALSE,TRUE
use your loaf,To tell someone to use their brain more in analysing what they are doing.,literal,[[They used their loaf]] of bread to make sandwiches for lunch,그들은 점심으로 샌드위치를 만들기 위해 [[ 한 덩어리의 빵을 사용했습니다 ]],[[הם השתמשו בכיכר]] הלחם [[שלהם]] כדי להכין כריכים לארוחת הצהריים,FALSE,FALSE,TRUE
deliver the goods,do what is required,figurative,The new employee [[delivered the goods on time]] by meeting all the project deadlines,새로운 직원은 모든 프로젝트 마감일을 준수하여 [[해야할 일을 했습니다]],העובד החדש [[עשה את מה שנדרש ממנו]] בכך שעמד בכל הדדליינים של הפרויקט,FALSE,FALSE,TRUE
deliver the goods,do what is required,literal,The courier [[delivered the goods on time]] to the customer's doorstep,택배 기사는 [[시간에 맞춰 상품을]] 고객의 문앞까지 배송했습니다,השליח [[סיפק את המצרכים]] לפתח דלתו של הלקוח [[בזמן]],FALSE,FALSE,TRUE
can of worms,"to get into something that is messy, has problems and is unwanted",figurative,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",그의 과거에 대해 물음으로써 그녀는 그들의 대화에서 고의가 아니게  [[문제를 크게 만들었습니다]],"מבלי להתכוון, היא [[פתחה תיבת פנדורה]] בכך שהיא שאלה על העבר שלו בשיחה שלהם",FALSE,FALSE,TRUE
can of worms,"to get into something that is messy, has problems and is unwanted",literal,The fisherman [[opened a can of worms]] to bait his hook,낚시꾼이 낚시바늘에 미끼를 달기 위해 [[지렁이로 가득 찬 통을 열었습니다]],הדייג [[פתח פחית של תולעים]] כדי לשים פתיון על החכה,FALSE,FALSE,TRUE
take a cue from,to do what is recommended by someone else,figurative,You should [[take a cue from her]] and start organizing your time better,당신은 [[그녀가 추천하는 일을 해야 하고]] 시간을 더 잘 정리하기 시작해야 합니다,אתה צריך [[לקחת דוגמה ממנה]] ולהתחיל לארגן את הזמן שלך טוב יותר,FALSE,FALSE,TRUE
take a cue from,to do what is recommended by someone else,literal,"During the pool game, he decided to [[take a cue from her]] and use her favorite one",당구 게임 중에 그는 [[그녀에게서 신호를 받아]] 그녀가 가장 좋아하는 것을 사용하기로 결정했습니다.,"בזמן משחק הפול, הוא החליט [[לקחת ממנה מקל]] ולהשתמש במקל המועדף עליה",FALSE,FALSE,TRUE
wet the baby's head,to have drink to celebrate the birth of a baby,figurative,"After the birth of their child, they invited friends over to [[wet the baby's head]] with a small celebration","아이가 태어난 후 친구들을 [[아기의 탄생을
 축하하기 위해]]초대하여 작은 잔치를 베풀었습니다","אחרי לידת הילד שלהם, הם הזמינו אליהם חברים כדי [[לחגוג את הלידה של התינוק]] עם מסיבה קטנה",FALSE,FALSE,TRUE
wet the baby's head,to have drink to celebrate the birth of a baby,literal,"During the baptism ceremony, the priest gently [[wet the baby's head]] with holy water","세례식에서 사제는 성수로 부드럽게 
[[아기의 머리를 적셨습니다 ]]","במהלך טקס ההטבלה, הכומר [[הרטיב את ראשו של התינוק]] בעדינות עם מים קדושים",FALSE,FALSE,TRUE
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,figurative,He never hesitates to [[blow his own horn]] about his accomplishments,그는 자신의 업적에 대해 [[자신을 과시하는 것을]] 절대로 주저하지 않습니다,הוא אף פעם לא מהסס [[להלל את עצמו]] בנוגע להישגים שלו,FALSE,FALSE,TRUE
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,literal,"As a trumpet player, he would [[blow his own horn]] during practice",트럼펫 연주자로서 그는 연습 도중에 [[뿔피리를 불곤]] 했습니다,"בתור נגן חצוצרה, הוא היה [[נושף בקרן של עצמו]] בזמן האימון",FALSE,FALSE,TRUE
whatever floats my boat,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy",figurative,"When it comes to choosing a hobby, I believe in [[whatever floats my boat]]","취미를 고를 때 나는 [[내가 정말 하고싶고 
좋아하는것]]을 선택합니다","בכל הנוגע לבחירת תחביב, אני מאמין ב[[מה שעושה אותי שמח]]",FALSE,FALSE,TRUE
whatever floats my boat,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy",literal,"I'm open to trying any buoyant object, [[whatever floats my boat]] on the lake",나는 호수에서 [[내 보트에 뜨는 것은 무엇이든]] 부력이 있는 물체라면 무엇이든 시도해 볼 수 있습니다.,"אני פתוח לנסות כל חפץ שצף, [[כל דבר שיכול להציף את הסירה שלי]] על האגם",FALSE,FALSE,TRUE
hold all the aces,be in a winning position.,figurative,"During the negotiation, [[he held all the aces]] and had the upper hand",협상하는 동안 [[상황을 압도하고 ]] 우위를 점했습니다.,במהלך המשא ומתן [[היה לו יתרון]] וידו הייתה על העליונה,FALSE,FALSE,TRUE
hold all the aces,be in a winning position.,literal,"During the poker game, [[he held all the aces]] in his hand",포커 게임 중에 [[그는 모든 에이스를 손에 쥐었습니다]],בזמן משחק הפוקר [[הוא החזיק את כל האסים]] ביד שלו,FALSE,FALSE,TRUE
push the boat out,celebrate; enjoy oneself.,figurative,"For her birthday, [[we pushed the boat out]] and threw a huge party",그녀의 생일을 맞아 [[ 우리는 돈을 마구 쓰며 ]] 성대한 파티를 열었습니다,לכבוד יום ההולדת שלה [[חגגנו]] במסיבה ענקית,FALSE,FALSE,TRUE
push the boat out,celebrate; enjoy oneself.,literal,[[We pushed the boat out]] into the water to start our fishing trip,우리는 낚시 여행을 시작하기 위해 [[보트를 물 속으로 밀어 넣었습니다]],[[דחפנו את הסירה החוצה]] למים כדי להתחיל את שיט הדיג שלנו,FALSE,FALSE,TRUE
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,figurative,"He's been [[carrying the torch for her]] since high school, but she never noticed",그는 고등학교 이후 [[그녀를 짝사랑해왔지만]] 그녀는 알아채지 못했습니다,[[היו לו רגשות כלפיה]] מאז התיכון אבל היא מעולם לא שמה לב,FALSE,FALSE,TRUE
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,literal,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run",릴레이 경기 도중 그는 그녀가 뛸 차례가 될 때 까지 [[횃불 봉송을 짊어졌습니다]],"במהלך מירוץ השליחים, הוא [[נשא את הלפיד עבורה]] עד שהגיע תורה לרוץ",FALSE,FALSE,TRUE
in the loop,to be aware of the information,figurative,"As a team member, I want to be [[kept in the loop]] about project updates",팀원으로서 프로젝트 업데이트에 대해 [[계속 연락을 받고]] 싶습니다.,"בתור חבר צוות, אני רוצה [[להיות מעודכן]] בעדכונים לגבי הפרויקט",FALSE,FALSE,TRUE
in the loop,to be aware of the information,literal,The rope was [[kept in the loop]] to secure the boat to the dock,보트를 부두에 고정하기 위해 로프를 [[루프에 보관했습니다]],החבל [[נשאר בלולאה]] כדי לקשור את הסירה למזח,FALSE,FALSE,TRUE
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,figurative,"By revealing company secrets, he [[cut his own throat]] and ruined his career",회사 기밀을 폭로함으로 그는  [[ 스스로 화를 자초하여 ]] 경력을 망쳤습니다.,בכך שהוא חשף סודות של החברה הוא [[פגע בעצמו]] והרס לעצמו את הקריירה,FALSE,FALSE,TRUE
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,literal,"While shaving, he accidentally [[cut his own throat]] with the razor",면도를 하던 그는 실수로 면도날로 [[자신의 목을 베었습니다]],הוא בטעות [[חתך לעצמו את הצוואר]] עם הסכין בזמן שהתגלח,FALSE,FALSE,TRUE
pass away,die,figurative,Our beloved grandmother [[passed away peacefully]] in her sleep,사랑하는 우리 할머니는 주무시면서  [[평화롭게 돌아가셨습니다]] ,סבתנו האהובה [[מתה בשלווה]] בשנתה,FALSE,FALSE,TRUE
pass away,die,literal,"The storm [[passed away peacefully]], leaving a calm and clear sky",폭풍은 [[평화롭게 지나가고]] 고요하고 맑은 하늘을 남겼습니다,הסערה [[עברה הלאה ברוגע]] והשאירה שמיים נקיים ורגועים,FALSE,FALSE,TRUE
flash in the pan,"something that cannot be repeated, usually a positive concept",figurative,"His sudden success turned out to be [[a flash in the pan]], as he couldn't maintain it","그의 갑작스러운 성공은 [[한순간의 성공]]으로 밝혀졌는데, 그가 그것을 유지할 수 없었기 때문입니다",ההצלחה הפתאומית שלו התגלתה כ[[משהו חד פעמי]] משום שהוא לא הצליח לשמור עליה,FALSE,FALSE,TRUE
flash in the pan,"something that cannot be repeated, usually a positive concept",literal,"The oil caught fire, creating [[a flash in the pan]] while she was cooking",그녀가 요리하는 동안 기름에 불이 붙어 [[팬에서 섬광을]] 일으켰습니다,השמן עלה באש ויצר [[הבזק של אור במחבת]] בזמן שהיא בישלה,FALSE,FALSE,TRUE
go through a rough patch,to experience a lot of problems in a period of life,figurative,"After losing her job, she was [[going through a rough patch]] in her life","직장을 잃은 후, 그녀는 인생에서 [[힘든 시기를 겪고]] 있었습니다",אחרי שאיבדה את עבודתה היא [[עברה תקופה קשה]] בחיים שלה,FALSE,FALSE,TRUE
go through a rough patch,to experience a lot of problems in a period of life,literal,"While hiking, we were [[going through a rough patch]] filled with rocks and thorns",산행을 하면서 바위와 가시덤불이 우거진 [[험한 길을 지나고 있었습니다]],"בזמן שעשינו טיול, [[עברנו דרך מקטע קשוח]] מלא באבנים וקוצים",FALSE,FALSE,TRUE
got in his hair,to annoy someone so much that they cannot get on with what they are doing,figurative,The constant questions from his coworkers [[got in his hair]] and made it difficult to concentrate,그의 동료들의 끊임없는 질문은 [[그를 귀찮게 괴롭혀서]] 집중하기 어렵게 만들었습니다,השאלה התמידית מצד הקולגות שלו [[לא נתנה לו מנוח]] והקשתה עליו להתרכז,FALSE,FALSE,TRUE
got in his hair,to annoy someone so much that they cannot get on with what they are doing,literal,The confetti from the party [[got in his hair]] and took a while to remove,파티에서 온 색종이가 [[그의 머리카락에 들어가]] 제거하는 데 시간이 걸렸습니다,הקונפטי מהמסיבה [[נכנס לשיער שלו]] ולקח זמן להוריד אותו,FALSE,FALSE,TRUE
clean slate,to wipe the past out and begin afresh,figurative,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",사과를 주고받은 후 그들은  [[과거를 잊고 새출발해서]] 서로간의 우정을 재구축하기로 결심했습니다,אחרי שהתנצלו הם החליטו [[לפתוח דף חדש]] ובנו מחדש את החברות שלהם,FALSE,FALSE,TRUE
clean slate,to wipe the past out and begin afresh,literal,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,예술가는 칠판을 지우며 [[깨끗한 석면에 다시 시작하기로]] 했습니다,האמן החליט [[להתחיל עם צפחה נקיה]] ןניקה ממנה את הגיר,FALSE,FALSE,TRUE
the devil is beating his wife,raining whereas the sun is shining.,figurative,"While the sun was shining, it started raining, and people said [[the devil is beating his wife]]",해가 쨍쨍할 때 비가 내리기 시작했고 사람들은 [[여우비가 오고있다]] 고 말했습니다,"בזמן שהשמש זרחה התחיל לרדת גשם, ואנשים אמרו ש[[יורד גשם בזמן שהשמש זורחת]]",FALSE,FALSE,TRUE
the devil is beating his wife,raining whereas the sun is shining.,literal,"In the theatrical performance, the actor playing Satan acted out a scene where [[the devil is beating his wife]]",연극 공연에서 사탄 역을 맡은 배우는 악마가 [[아내를 때리는 장면을 연기했습니다]],"במופע התאטרון, השחק שמשחק את השטן שיחק בסצנה שבה [[השטן מכה את אשתו]]",FALSE,FALSE,TRUE
feel the pinch,experience financial hardship,figurative,"After losing his job, [[he started to feel the pinch]] financially",직장을 잃은 후 그는 경제적으로 [[궁핍함을 느끼기 시작했습니다]],"אחרי שאיבד את עבודתו, [[הוא התחיל להרגיש קשיים כלכליים]]",FALSE,FALSE,TRUE
feel the pinch,experience financial hardship,literal,"When the crab grabbed his finger, [[he started to feel the pinch]]",게가 그의 손가락을 잡았을 때 [[그는 꼬집음을 느끼기 시작했습니다]],"כשהסרטן תפס את האצבע שלו, [[הוא התחיל להרגיש את הצביטה]]",FALSE,FALSE,TRUE
"Mr Right, Ms Right",the best future life partner for someone,figurative,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down",수년간의 찾던 끝에 마침내 [[서로의 이상형을 발견하여 ]] 정착했습니다.,"אחרי שנים של חיפושים, הם סוף סוף [[מצאו את האדם הנכון בשבילם]] והתמסדו",FALSE,FALSE,TRUE
"Mr Right, Ms Right",the best future life partner for someone,literal,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","의상 파티에서, 그들은 매장에서 [[Mr Right와 Ms Right 의상을 발견했습니다]]","במסיבת התחפושות, הם [[מצאו]] תחפושות של [[אדון נכון וגברת נכונה]] בחנות",FALSE,FALSE,TRUE
an item,be involved in a romantic relationship,figurative,"After months of dating, they finally [[became an item]] and made their relationship official",몇달간의 데이트 이후 그들은 마침내 공식적으로 [[연인이 되었습니다]],"אחרי שיצאו יחד מספר חודשים, הם סוף סוף [[הפכו לזוג]] והפכו את מערכת היחסים שלהם לרשמית",FALSE,FALSE,TRUE
an item,be involved in a romantic relationship,literal,"In the virtual reality game, the player's avatar [[became an item]] to be collected by others",가상 현실 게임에서 플레이어의 아바타는 다른 사람들이 수집할 수 있는 [[아이템이 되었습니다]],"במשחק המציאות המדומה, הדמות של השחקן [[הפכה להיות פריט]] שאחרים צריכים לאסוף",FALSE,FALSE,TRUE
on the pig's back,a successful situation and everything is going well for that person,figurative,"After winning the lottery, he [[was riding on the pig's back]] and enjoying his newfound wealth",복권에 당첨된 후 그는 [[ 행운과 함께 모든것이 잘 진행되고 ]] 새로 찾은 부를 즐겼습니다,אחרי שזכה בלוטו [[הוא נהנה מהמזל הרב שלו]] ונהנה מהעושר שנפל בחלקו,FALSE,FALSE,TRUE
on the pig's back,a successful situation and everything is going well for that person,literal,"At the farm, the child [[was riding on the pig's back]] for fun",농장에서 아이는 재미로 [[돼지 등에 타고 있었습니다]],הילד [[רכב על גבו של החזיר]] בחווה בשביל הכיף,FALSE,FALSE,TRUE
blow your own trumpet,to say things that makes your own self or kin look good,figurative,He was always [[blowing his own trumpet]] about his accomplishments,그는 항상 자신의 성취에 대해 [[자랑을 했었습니다]],הוא כל הזמן [[שיבח את עצמו]] לגבי ההשגים שלו,FALSE,FALSE,TRUE
blow your own trumpet,to say things that makes your own self or kin look good,literal,"During the parade, he was [[blowing his own trumpet]] as part of the marching band",퍼레이드 동안 그는 행군 악대의 일부로서 [[자신의 트럼펫을 불었었습니다]],"במהלך המצעד, הוא [[תקע בחצוצרה שלו]] כחלק מהתזמורת הצועדת",FALSE,FALSE,TRUE
count chicken,make plans based on events that may or may not happen,figurative,He [[was counting chickens before they hatch]] when he started planning his victory party,그는 승리 파티 계획을 세우며 [[일어날지도 모르는 일에 속단했습니다]],הוא [[קשר את העגלה לפני הסוס]] כשתכנן את מסיבת הנצחון שלו,FALSE,FALSE,TRUE
count chicken,make plans based on events that may or may not happen,literal,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,농부는 달걀 중 몇개가 병아리가 될 것인지 추측하며 [[부화가 일어나기 전부터 닭을 세고 있었습니다]],האיכר [[ספר תרנגולים לפני שהם בקעו]] על ידי כך שהעריך את מספר הביצים שיהפכו לאפרוחים,FALSE,FALSE,TRUE
out of hand,out of control,figurative,The party [[got out of hand]] when people started throwing food,사람들이 음식을 던지기 시작하자 파티는[[ 걷잡을 수 없게 되었습니다]],המסיבה [[יצאה משליטה]] כשאנשים התחילו לזרוק אוכל,FALSE,FALSE,TRUE
out of hand,out of control,literal,The ball [[got out of hand]] when he accidentally dropped it,실수로 공을 떨어뜨렸을 때 공이 [[손에서 벗어나게 되었습니다]],הכדור [[יצא מהיד]] כשהוא בטעות הפיל אותו,FALSE,FALSE,TRUE
asleep at the switch,failing to attend to one's responsibilities or duties,figurative,The manager was [[asleep at the switch]] when the crisis occurred,위기가 발생했을 때 관리자는 [[무책임하게 대응했습니다]],המנהל [[נרדם בשמירה]] כשהמשבר קרה,FALSE,FALSE,TRUE
asleep at the switch,failing to attend to one's responsibilities or duties,literal,The train operator fell [[asleep at the switch]] during his break,기차 운전사가 휴식 [[교대 시간에 잠들었습니다]],מפעיל הרכבת [[נרדם ליד המתג]] בזמן ההפסקה שלו,FALSE,FALSE,TRUE
wash dirty linen in public,discuss publicly matters that one should keep private,figurative,[[They washed their dirty linen in public]] by arguing about their personal issues on social media,"그들은  SNS에서 자신의 사생활을 다투다가 
[[공개적으로 드러나게 되었습니다 ]]",[[הם הוציאו את הכביסה המלוכלכת]] בכך שהתווכחו על עניינים פרטיים ברשתות החברתיות,FALSE,FALSE,TRUE
