idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
lose it,go insane or crazy,He lost it,2,in at the deep end,to start a new job or activity without being prepared for it,She jumped in at the deep end,2,rub shoulders,"to meet and spend time with people, especially when they are powerful or famous","He rubbed shoulders with the celebrities, showing he was part of the group",1,cold feet,loss of courage,He got cold feet,2,wipe the slate clean,"to make a fresh start and forget all past offences, disagreements or mistakes","Let's wipe the slate clean"" ",2
tight spot,to be in a very difficult situation,She's in a tight spot in the corner of the room,1,double-edged sword,something that could either help you or hurt you,This is a double-edged sword because it has both advantages and disadvantages,0,die hard,"disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro",She is a die hard fan since she managed to survive their concert in the extreme heat of the summer,1,night owl,Someone who is vigilant late at night.,She is a night owl,2,at stake,"It means to be on wager or bet, when there is some sort of uncertainty.",Everything is at stake as the future of our marriage depends on it,0
rip off,the act of stealing,"That was a rip off, as the company cheated me out of my money",0,card up sleeve,to have a secret advantage that is suddenly revealed to change the game,"He had a card up his sleeve when he went into the meeting, as he wanted to provide visual aids for his presentation",1,ahead of the pack,more successful than other people who are trying to achieve the same things,He is ahead of the pack,2,love of life,the person who is loved most by someone in all their life,He has a love of life that causes him to buy all the latest gadgets,1,leaps and bounds,progress very quickly,My progress was leaps and bounds as I train for the long jump event,1
ate crow,to admit that you were wrong about something and apologize,He ate crow yesterday,2,at bottom,to the core of the object,It's at the bottom of my priority list,0,smooth sailing,easy progress without impediment or difficulty,"It was smooth sailing from that moment on, as everything went according to plan",0,break up,end a romantic relationship with someone,"They broke up the firewood, which they had spent a few hours cutting",1,lower the bar,to lower standards or expectations,He lowered the bar,2
fan the flames,make a bad situation even worse,He fanned the flames,2,hand in hand,close ties or connections,We walked hand in hand,2,rat race,"to be following a routine that is both, exhaustive as well as competitive","I'm in the rat race, running around in circles like all the other rats",1,night owl,Someone who is vigilant late at night.,She is a night owl who can pull all-nighters without feeling tired,0,hands are tied,to not be able to do anything about a situation,Our hands are tied,2
twist arm,to make someone do what you want by making it difficult for them to refuse,He twisted his arm,2,cook his goose,to spoil someone's chances of success,He cooked his goose when he put his entire life savings on the stock market,0,dance to tune,to do what someone else forces you to do,She dances to their tune,2,chew the fat,to have friendly banter for hours on end.,We were chewing the fat,2,voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later",She was a voice in the wilderness,2
keep on top,to stay informed,I'm trying to keep on top of things in order to succeed,0,jobs for the boys,work that someone in an important position gives to their friends or relations,It was jobs for the boys when they got the promotion despite not being the most qualified,0,at bay,to keep something dangerous at a safe distance,She kept him at bay with her sarcastic remarks,0,had your chips,when someone has completely failed in what they set out to achieve,We've had our chips and now it's time to move on,0,concern with,to be busy with something,They have concerns with it as it will cause more problems,0
flip the bird,show someone the middle finger as an act of contempt or anger,She flipped the bird,2,give me five,when you want someone to open a hand so you can hit it with your open hand in greeting or celebration,Can you give me five to show your support for this cause?,0,close shave,a narrow escape,That was a close shave,2,asleep at the switch,failing to attend to one's responsibilities or duties,He was asleep at the switch,2,all Greek to me,used to convey that you cannot understand what is being said or written,This seems all Greek to me as I can't comprehend it with my current knowledge,0
night owl,Someone who is vigilant late at night.,"She is a night owl because she stays up late, even when she should be sleeping",1,dragging its feet,"delaying in decision, not showing enthusiasm",The government is dragging its feet across the street,1,chew the fat,to have friendly banter for hours on end.,We were chewing the fat to see if it was edible,1,rain check,declining an offer that might be taken up later.,He took a rain check when it started raining,1,begun to see the light,to suddenly begin to understand,He has begun to see the light in terms of understanding the subject better,0
asleep at the switch,failing to attend to one's responsibilities or duties,He was asleep at the switch and missed out on the opportunity,0,lose head,not have control over your emotions,She lost her head when a gust of wind blew it off the top of her costume,1,in hot water,in trouble or state of shame,He's in hot water,2,third wheel or fifth wheel,a person who is in a situation where they are not needed,"He's the third wheel at the table, making it awkward for everyone else",0,chew the fat,to have friendly banter for hours on end.,We were chewing the fat and catching up,0
rat race,"to be following a routine that is both, exhaustive as well as competitive",I'm in the rat race,2,chop and change,repeatedly change.,I'm always chopping and changing,2,ate crow,to admit that you were wrong about something and apologize,He ate crow yesterday when he had to apologize for his mistake,0,love of life,the person who is loved most by someone in all their life,He has a love of life,2,tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,"They tarred him with the same brush as the other cheaters, wrongly assuming he had done the same thing",0
raise the bar,to be better than what went before,He raised the bar,2,hide light under a bushel,to show modesty towards something or someone,We shouldn't hide our light under a bushel because it will not be visible,1,at bay,to keep something dangerous at a safe distance,She kept him at bay,2,lose it,go insane or crazy,He lost it when she told him the bad news,0,double-edged sword,something that could either help you or hurt you,This is a double-edged sword,2
have a ball,to have a great time,We had a ball last night,2,stab in the back,a disloyalty,He gave me a stab in the back when he spread rumors about me,0,dance to tune,to do what someone else forces you to do,"She dances to their tune, matching their rhythmic music",1,see light at end of tunnel,to see signs of hope for the future after a long period of difficulty,"I can see the light at the end of the tunnel, which is helpful for navigating the unfamiliar area",1,saved his neck,to manage to escape from serious danger or trouble,He saved his neck from being injured by wearing a helmet,1
flip the bird,show someone the middle finger as an act of contempt or anger,She flipped the bird to fly away,1,in at the deep end,to start a new job or activity without being prepared for it,She jumped in at the deep end of the swimming pool,1,vultures are circling,when something is in danger and its enemies are getting ready for the kill,"The vultures are circling, waiting for the opportunity to swoop in and take advantage of the situation",0,not have a clue,to not know something.,He did not have a clue about the answer,1,old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,The task was old hat since I used my old fedora to accomplish it,1
break up,end a romantic relationship with someone,They broke up because they couldn't agree on how to spend their holidays,0,leaps and bounds,progress very quickly,My progress was leaps and bounds as I overcame my fear of public speaking,0,love of life,the person who is loved most by someone in all their life,He has a love of life that makes him appreciate every moment,0,last resort,the last thing you would do if you were desperate and all other courses of action had failed,"As a last resort, I'm going to the store to buy a new one",1,hide light under a bushel,to show modesty towards something or someone,We shouldn't hide our light under a bushel since we have so much to offer,0
sleep tight,an affectionate way of wishing someone a good night's sleep,I'm going to sleep tight knowing that everything will be alright,0,begun to see the light,to suddenly begin to understand,He has begun to see the light as the sun has come up,1,had your chips,when someone has completely failed in what they set out to achieve,We've had our chips for lunch,1,not have a clue,to not know something.,He did not have a clue,2,twist arm,to make someone do what you want by making it difficult for them to refuse,He twisted his arm to find a way to get what he wanted,0
heart in his mouth,to feel extremely anxious or nervous faced with a dangerous or unpleasant situation,He had a heart in his mouth because he was eating an organ meat dish,1,fight a losing battle,trying to do something even when there is little chance of succeeding,He's fighting a losing battle to get his point across,0,lead astray,make someone act or think in a wrong or foolish manner.,He was led astray,2,give me five,when you want someone to open a hand so you can hit it with your open hand in greeting or celebration,Can you give me five?,2,tight spot,to be in a very difficult situation,She's in a tight spot since her exam results aren't as good as her parents expect,0
the die is cast,"an unalterable decision has been reached, or step taken.",The die is cast and there is no going back,0,jobs for the boys,work that someone in an important position gives to their friends or relations,It was jobs for the boys when they got hired as laborers to work at the construction site,1,look on the bright side,always try to see the good things even in bad situations,Let's look on the bright side of the room and stay away from the shadows,1,lose head,not have control over your emotions,She lost her head when she completely panicked over her test results,0,a wet blanket,a person who spoils other people's fun.,He's a wet blanket because he spilled his cup of water all over himself,1
flip the bird,show someone the middle finger as an act of contempt or anger,She flipped the bird after hearing what he had to say,0,hit the bull's-eye,to be exactly right about something or achieve the best result possible,He hit the bull's-eye when he played darts,1,lose head,not have control over your emotions,She lost her head,2,green thumb,good gardening results,He has a green thumb,2,paddle own canoe,To be able to act without having to depend on anyone.,He's paddling his own canoe,2
snake in the grass,a hidden army,"We have a snake in the grass, a small reptile that slithered there unnoticed",1,hand in hand,close ties or connections,We walked hand in hand to symbolize our everlasting unity,0,close shave,a narrow escape,That was a close shave when I used my razor to give myself a very close shave,1,at the drop of a dime,something that can happen very fast without hesitation,He moved at the drop of a dime as he had heard the sound of a coin falling on the ground,1,cook his goose,to spoil someone's chances of success,He cooked his goose for dinner and it was delicious,1
that's going too far,to do something that is considered extreme or unacceptable,He said that's going too far when I suggested driving to the next state,1,drop by,an informal visit,I dropped by yesterday to deliver a package,1,rain check,declining an offer that might be taken up later.,He took a rain check when I asked him to join us for lunch,0,jury's out,when there is no general agreement or consensus on something,The jury's out of the court room and they are deliberating on that verdict,1,tighten belt,to save your money,I need to tighten my belt by cutting back on spending,0
see light at end of tunnel,to see signs of hope for the future after a long period of difficulty,I can see the light at the end of the tunnel,2,rain check,declining an offer that might be taken up later.,He took a rain check,2,carry coals to new castle,to take something to a place or a person that has a lot of that thing already,"He's already carrying coals to Newcastle, since coal is the main export of the region",1,off the cuff,in an unguarded way,He made an off the cuff comment,2,dance to tune,to do what someone else forces you to do,"She dances to their tune, meaning she does as they say",0
pass on the baton,give responsibility for something important to another person.,She passed on the baton,2,keep body and soul together,manage to stay alive with very little money,He was trying to keep body and soul together,2,as the crow flies,in a straight line,We took a journey as the crow flies,2,back to the wall,to be in a difficult situation,I'm up against the wall because I'm not able to move more around,1,at the drop of a dime,something that can happen very fast without hesitation,He moved at the drop of a dime as he had been waiting to make that decision for a while,0
hit the bull's-eye,to be exactly right about something or achieve the best result possible,He hit the bull's-eye with the right solution to the problem,0,twist arm,to make someone do what you want by making it difficult for them to refuse,He twisted his arm to get himself out of an awkward position,1,sleep tight,an affectionate way of wishing someone a good night's sleep,I'm going to sleep tight on this mattress,1,lead astray,make someone act or think in a wrong or foolish manner.,He was led astray by the signs on the street,1,break a leg,good luck,He broke a leg,2
dodge a bullet,to narrowly avoid a very serious problem or a disaster,I dodged a bullet when it whizzed past me,1,out of business,out of operational conditions,The store is out of business because of the competition,0,see light at end of tunnel,to see signs of hope for the future after a long period of difficulty,"I can see the light at the end of the tunnel, which means the hard times will soon be over",0,bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",He bit off more than he could chew when he tried to fit an entire slice of pizza in his mouth,1,deep down,felt strongly and often hidden from other people,She knew deep down in her subconscious mind,1
saved his neck,to manage to escape from serious danger or trouble,He saved his neck by telling the truth and avoiding the consequences,0,heart in his mouth,to feel extremely anxious or nervous faced with a dangerous or unpleasant situation,He had a heart in his mouth while giving his presentation as he was very anxious,0,at stake,"It means to be on wager or bet, when there is some sort of uncertainty.",Everything is at stake as the pieces are laid out on the game board,1,vultures are circling,when something is in danger and its enemies are getting ready for the kill,"The vultures are circling, searching for food to scavenge",1,hit the bull's-eye,to be exactly right about something or achieve the best result possible,He hit the bull's-eye,2
off the cuff,in an unguarded way,He made an off the cuff comment with his shirt sleeves rolled up,1,a wet blanket,a person who spoils other people's fun.,He's a wet blanket,2,that's going too far,to do something that is considered extreme or unacceptable,He said that's going too far when I asked him to come to my place late at night,0,the die is cast,"an unalterable decision has been reached, or step taken.",The die is cast and I'm ready to roll the dice,1,dragging its feet,"delaying in decision, not showing enthusiasm",The government is dragging its feet when it comes to passing this new bill,0
snake in the grass,a hidden army,"We have a snake in the grass, someone who is untrustworthy and expected to betray us",0,smooth sailing,easy progress without impediment or difficulty,"It was smooth sailing"" ",2,leaps and bounds,progress very quickly,My progress was leaps and bounds,2,double-edged sword,something that could either help you or hurt you,This is a double-edged sword since it has two sharp sides,1,begun to see the light,to suddenly begin to understand,He has begun to see the light,2
cards are stacked against,"someone is not likely to succeed, especially because the person is not being given a fair chance",The cards are stacked against him because he doesn't have the same opportunities as others,0,in light of,because of,We're changing plans in light of ____,2,round the clock,continuously or interrupted,"We worked round the clock, making sure each side was completely facing the center of the circle",1,off the hook,free of a difficult situation,She's off the hook thanks to her successful defense,0,run a tight ship,to be strict about something,"He runs a tight ship, not allowing anyone to run freely on deck",1
all Greek to me,used to convey that you cannot understand what is being said or written,This seems all Greek to me as I can't understand the Greek words,1,wash hands of,abandon taking responsibility for someone or something,I washed my hands of it by actually using soap and water,1,that's going too far,to do something that is considered extreme or unacceptable,He said that's going too far,2,at the drop of a dime,something that can happen very fast without hesitation,He moved at the drop of a dime,2,put a sock in it,to ask someone to stop talking,He put a sock in it,2
acid test,a test that proves a hypothesis or validity of a product or idea,It was an acid test to see if I have what it takes to succeed in this field,0,green thumb,good gardening results,He has a green thumb due to a spray he often uses for his plants,1,ate crow,to admit that you were wrong about something and apologize,He ate crow yesterday as part of a dare,1,old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,The task was old hat,2,keep on top,to stay informed,I'm trying to keep on top of things,2
out of business,out of operational conditions,The store is out of business because the owner retired,1,up to the neck,"when people are very involved in something, especially when it's something wrong",He is up to the neck,2,hide light under a bushel,to show modesty towards something or someone,We shouldn't hide our light under a bushel,2,cards are stacked against,"someone is not likely to succeed, especially because the person is not being given a fair chance",The cards are stacked against him because he is not good at card games,1,heart in his mouth,to feel extremely anxious or nervous faced with a dangerous or unpleasant situation,He had a heart in his mouth,2
hand in hand,close ties or connections,We walked hand in hand to keep our balance on the beach,1,voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later","She was a voice in the wilderness, shouting out in the open space",1,ahead of the pack,more successful than other people who are trying to achieve the same things,He is ahead of the pack because he runs faster than anyone else,1,chop and change,repeatedly change.,I'm always chopping and changing what I'll do this weekend,0,tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,They tarred him with the same brush,2
carry coals to new castle,to take something to a place or a person that has a lot of that thing already,"He's already carrying coals to Newcastle, trying to convince his boss to change her mind",0,bite the bullet,to endure a painful experience that you cannot avoid,You have to bite the bullet as that's the only way to get it out from your arm,1,tighten belt,to save your money,I need to tighten my belt,2,jury's out,when there is no general agreement or consensus on something,The jury's out on that,2,bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",He bit off more than he could chew when he accepted that extra responsibility,0
had your chips,when someone has completely failed in what they set out to achieve,We've had our chips,2,third wheel or fifth wheel,a person who is in a situation where they are not needed,"He's the third wheel on the bike, making it hard to move",1,pound of flesh,an unreasonable demand but something that is one's legal right.,She asked for a pound of flesh,2,jobs for the boys,work that someone in an important position gives to their friends or relations,"It was jobs for the boys"" ",2,at bottom,to the core of the object,It's at the bottom of the river,1
stab in the back,a disloyalty,He gave me a stab in the back,2,fan the flames,make a bad situation even worse,He fanned the flames of the campfire to keep it going,1,cook his goose,to spoil someone's chances of success,He cooked his goose,2,out of business,out of operational conditions,The store is out of business,2,paddle own canoe,To be able to act without having to depend on anyone.,He's paddling his own canoe around the lake,1
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",He bit off more than he could chew,2,run a tight ship,to be strict about something,"He runs a tight ship"" ",2,vultures are circling,when something is in danger and its enemies are getting ready for the kill,The vultures are circling,2,snake in the grass,a hidden army,We have a snake in the grass,2,off the cuff,in an unguarded way,"He made an off the cuff comment without preparation, relying on his quick wit and improvisational skills",0
as the crow flies,in a straight line,"We took a journey as the crow flies, following the crow's actual path from one point to another",1,bite the hand that feed,to turn against someone who has been a benefactor in the past,It was biting the hand that fed him when it ate away the food from the plate,1,dodge a bullet,to narrowly avoid a very serious problem or a disaster,I dodged a bullet when she said she was willing to forgive me,0,stab in the back,a disloyalty,He gave me a stab in the back when he tried to tickle me,1,raise the bar,to be better than what went before,He raised the bar by installing a pullup bar in the gym,1
third wheel or fifth wheel,a person who is in a situation where they are not needed,He's the third wheel,2,off the hook,free of a difficult situation,She's off the hook,2,keep body and soul together,manage to stay alive with very little money,He was trying to keep body and soul together by eating the barest minimum of food,1,bite the bullet,to endure a painful experience that you cannot avoid,You have to bite the bullet and accept the tough decision that was made,0,pound of flesh,an unreasonable demand but something that is one's legal right.,She asked for her pound of flesh after the other person wronged her,0
in at the deep end,to start a new job or activity without being prepared for it,She jumped in at the deep end by taking on a big project without any experience,0,nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",This was the nail in the coffin for our relationship; we knew it was time to end it,0,put a sock in it,to ask someone to stop talking,He put a sock in it when he noticed his professor was not liking his comment,0,shades of grey,refers to a situation where things are not really clear,The situation was shades of grey as the sky darkened with clouds,1,acid test,a test that proves a hypothesis or validity of a product or idea,It was an acid test,2
drop by,an informal visit,I dropped by yesterday,2,break a leg,good luck,He broke a leg after he fell down the stairs,1,have a ball,to have a great time,We had a ball last night when we went out to the club and danced the night away,0,a wet blanket,a person who spoils other people's fun.,He's a wet blanket at parties because he only talks about depressing topics,0,hands are tied,to not be able to do anything about a situation,Our hands are tied due to the rope around them,1
drive up the wall,to make someone angry or irritated,He drove me up the wall when he started asking too many questions,0,bits and pieces,miscellaneous small objects,"They told me bits and pieces of their story, so I'm not sure I have the full picture",0,concern with,to be busy with something,They have concerns with it as they think it could be improved,1,old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,"The task was old hat for me, since I had done it several times before",0,back to the wall,to be in a difficult situation,"I'm up against the wall, feeling burdened by the weight of all the problems in my life",0
die hard,"disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro",She is a die hard fan of the band and she has been a fan of them since she was a kid,0,break a leg,good luck,He broke a leg on stage when he delivered an outstanding performance,0,run a tight ship,to be strict about something,"He runs a tight ship, ensuring that all his employees are following the rules and staying disciplined",0,as the crow flies,in a straight line,We took a journey as the crow flies without any stops along the way,0,deep down,felt strongly and often hidden from other people,She knew deep down that spending more time with her family was the right decision,0
last resort,the last thing you would do if you were desperate and all other courses of action had failed,"As a last resort, I'm going to try to fix it myself",0,wash hands of,abandon taking responsibility for someone or something,I washed my hands of it,2,have a ball,to have a great time,We had a ball last night as we kicked it around the living room,1,up to the neck,"when people are very involved in something, especially when it's something wrong",He is up to the neck in water as he goes for a swim,1,saved his neck,to manage to escape from serious danger or trouble,He saved his neck,2
break up,end a romantic relationship with someone,They broke up,2,bits and pieces,miscellaneous small objects,"They told me bits and pieces, so I put the object they were describing together",1,look on the bright side,always try to see the good things even in bad situations,Let's look on the bright side,2,nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",This was the nail in the coffin,2,wipe the slate clean,"to make a fresh start and forget all past offences, disagreements or mistakes",Let's wipe the slate clean and start all over again,0
lower the bar,to lower standards or expectations,He lowered the bar so that his employees had less to do and could be rewarded for minimal results,0,lead astray,make someone act or think in a wrong or foolish manner.,He was led astray by the promises of a better life abroad,0,card up sleeve,to have a secret advantage that is suddenly revealed to change the game,"He had a card up his sleeve when he went into the meeting, which allowed him to surprise everyone with his unexpected solution",0,bits and pieces,miscellaneous small objects,They told me bits and pieces,2,round the clock,continuously or interrupted,We worked round the clock to finish the project before the deadline,0
sleep tight,an affectionate way of wishing someone a good night's sleep,I'm going to sleep tight,2,at bottom,to the core of the object,It's at the bottom,2,keep body and soul together,manage to stay alive with very little money,He was trying to keep body and soul together by taking on odd jobs to make ends meet,0,tight spot,to be in a very difficult situation,She's in a tight spot,2,nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone","This was the nail in the coffin, as I was putting the final touches on the coffin",1
smooth sailing,easy progress without impediment or difficulty,It was smooth sailing as the wind was taking the boat steadily forward,1,in hot water,in trouble or state of shame,He's in hot water because he was taking a hot bath,1,hands are tied,to not be able to do anything about a situation,Our hands are tied due to the regulations set by the board of directors,0,in light of,because of,We're changing plans in light of the current situation,0,dragging its feet,"delaying in decision, not showing enthusiasm",The government is dragging its feet,2
deep down,felt strongly and often hidden from other people,She knew deep down,2,pass on the baton,give responsibility for something important to another person.,She passed on the baton because she wanted to pass her responsibilities to the next generation,0,green thumb,good gardening results,He has a green thumb as he was able to make even the most difficult plants thrive and bloom,0,wipe the slate clean,"to make a fresh start and forget all past offences, disagreements or mistakes",Let's wipe the slate clean so that I can write something new on it,1,at bay,to keep something dangerous at a safe distance,She kept him at bay with a barricade,1
lower the bar,to lower standards or expectations,He lowered the bar from chest height to just above his knees at the gym,1,chop and change,repeatedly change.,I'm always chopping and changing this recipe with different ingredients,1,drop by,an informal visit,I dropped by yesterday to get my job application checked,0,the die is cast,"an unalterable decision has been reached, or step taken.",The die is cast,2,drive up the wall,to make someone angry or irritated,He drove me up the wall,2
