idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining","After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground","He was always being a wet blanket at parties, constantly complaining","After the rainstorm, the picnic blanket was being a wet blanket on the ground",being a wet blanket,ein Spielverderber sein,"Er war immer eine Spaßbremse auf Partys, hat ständig gemeckert.",Nach dem Regensturm war die Picknickdecke eine nasse Decke auf dem Boden.,להיות כרית מטושטשת,"הוא היה תמיד מכסה רטוב במסיבות, מתלונן באופן קבוע.","אחרי הסערה, שמיכת הפיקניק הייתה מכסה רטוב על האדמה."
a whale of,very big (piece) of something,We [[had a whale of a time]] at the amusement park,The marine biologist [[had a whale of a time]] studying the humpback's behavior,We had a whale of a time at the amusement park,The marine biologist had a whale of a time studying the humpback's behavior,had a whale of a time,hatte eine Riesengaudi.,Wir hatten eine Riesenspaß im Vergnügungspark.,"Der Meeresbiologe hatte eine tolle Zeit damit, das Verhalten des Buckelwals zu studieren.",נהנה מאוד (na'ana me'od),נהנינו מאוד בפארק המשחקים.,הביולוג הימי נהנה מאוד בלימוד ההתנהגות של הזהבות.
a whole new ball game,a significant change in circumstances.,"After the company's merger, [[it's a whole new ball game]] for the employees","When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","After the company's merger, it's a whole new ball game for the employees","When they switched from soccer to baseball, it's a whole new ball game for the players",it's a whole new ball game,Es ist ein ganz neues Spiel.,Nach der Fusion des Unternehmens ist es für die Mitarbeiter ein ganz neues Spiel.,"Als sie vom Fußball zum Baseball wechselten, war es für die Spieler ein ganz neues Spiel.",זה משחק כדור חדש לגמרי,"לאחר הפירוק של החברה, זה משחק כדור חדש לכל העובדים.","כאשר הם החליפו מכדורגל לבייסבול, זה משחק כדור חדש לגמרי עבור השחקנים."
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The company [[started a witch hunt]] to find the person responsible for the leak,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately",The company started a witch hunt to find the person responsible for the leak,"During the historical reenactment, they started a witch hunt to portray the events accurately",started a witch hunt,startete eine Hexenjagd.,"Das Unternehmen hat eine Hexenjagd gestartet, um die Person zu finden, die für das Leck verantwortlich ist.","Während der historischen Nachstellung begannen sie eine Hexenjagd, um die Ereignisse genau darzustellen.",התחיל ציד מכשפות,החברה התחילה מסע ציד כדי למצוא את האדם אחראי על החשיפה.,"במהלך החזרת ההיסטורית, הם התחילו ציד למכשפות כדי לתאר את האירועים בדיוק."
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,Moving in together was the acid test for their relationship to see if they could handle living with each other,The chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,the acid test for their relationship,Der Säuretest für ihre Beziehung.,"Zusammenziehen war der Härtetest für ihre Beziehung, um zu sehen, ob sie es aushalten konnten, miteinander zu leben.","Das Chemielabor-Experiment war der Härtetest für ihre Beziehung, da sie zusammenarbeiten mussten, um den pH-Wert verschiedener Lösungen zu bestimmen.",המבחן החמצני עבור הקשר שלהם,העברתם לגור ביחד הייתה המבחן הקשה לקשר שלהם כדי לראות אם הם יכולים להתמודד עם החיים זה עם זה.,הניסוי במעבדת הכימיה היה המבחן החשוב לקשר שלהם כי הם צריכים לעבוד יחד כדי לקבוע את ערכ ה-pH של מגוון תמיסות.
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,The company saw improvements across the board after implementing new strategies,The chess master made improvements across the board by adjusting the positions of his pieces,improvements across the board,Verbesserungen auf breiter Front.,"Das Unternehmen sah Verbesserungen auf breiter Front, nachdem neue Strategien umgesetzt wurden.","Der Schachmeister verbesserte sich auf dem ganzen Brett, indem er die Positionen seiner Figuren anpasste.",שיפורים בכל התחומים,החברה ראתה שיפורים בכל התחומים לאחר הטמעת אסטרטגיות חדשות.,המאסטר של השחמט עשה שיפורים בכל הלוח על ידי כוונון מיקומי החלקים שלו.
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","By spreading rumors, they added fuel to the flames of the ongoing conflict","To keep the bonfire going, they added fuel to the flames by throwing more wood",they added fuel to the flames,Sie gossen Öl ins Feuer.,"Indem sie Gerüchte verbreiteten, gossen sie Öl ins Feuer des laufenden Konflikts.","Um das Lagerfeuer am Brennen zu halten, fügten sie Brennstoff hinzu, indem sie mehr Holz warfen.",הם הוסיפו דלק ללהבות,"בפעם הזאת אפשר לתרגם את המשפט לעברית בצורה הבאה: על ידי פזרות שמועות, הם הוסיפו דלק ללהבות הסכסוך המתמשך.","כדי להמשיך את המדורה, הם הוסיפו דלק ללהבות על ידי זריקת עוד עצים."
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project","In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels","With the deadline approaching, we were racing against the clock to finish the project","In the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",were racing against the clock,Wir haben gegen die Uhrzeit gekämpft.,"Mit dem Annäherung der Frist haben wir gegen die Uhr gearbeitet, um das Projekt zu beenden.","In dem einzigartigen Wettbewerb versuchten die Teilnehmer, gegen die Zeit anzutreten, indem sie versuchten, einer riesigen rollenden Uhr zu entkommen.",זה נראה כמו שאנחנו מתחרים נגד השעון.,"עם המועד הקרוב, רצינו לסיים את הפרויקט במהירות.","בתחרות הייחודית, המתחרים רצו להימלט משעון עצום על גלגלים על-ידי ניסיון להשתלט על הזמן."
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,"When sanding wood, [[going against the grain]] can cause scratches and damage",His decision to quit his job was going against the grain of his family's expectations,"When sanding wood, going against the grain can cause scratches and damage",going against the grain,Gegen den Strom schwimmen.,"Seine Entscheidung, seinen Job aufzugeben, ging gegen den Strom der Erwartungen seiner Familie.","Beim Schleifen von Holz können Kratzer und Beschädigungen entstehen, wenn man gegen die Maserung arbeitet.",ללכת נגד הזרם,ההחלטה שלו לפרוש מהעבודה הייתה נגד הזרם של ציפיות המשפחה שלו.,"כשמשטחים עץ, ללכת נגד הגרגירים עשוי לגרום לשריטות ונזקים."
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,"By constantly learning new skills, she was staying ahead of the curve in her industry",The race car driver was staying ahead of the curve by maintaining a lead on the track,was staying ahead of the curve,Ich war der Kurve voraus.,"Indem sie ständig neue Fähigkeiten lernte, blieb sie in ihrer Branche voraus.",Der Rennfahrer blieb durch eine Führung auf der Strecke vor der Kurve.,היה נמצא מתחת לקו הזמן.,"על ידי למידת כישורים חדשים באופן קבוע, היא הייתה מתחילה לפני הספירה בתעשייתה.",הגונר של מכוניות המרוץ היה מתחזק מול המכנה על ידי שמירה על יתרון במסלול.
ahead of the pack,more successful than other people who are trying to achieve the same things,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry","During the marathon, the lead runner was [[staying ahead of the pack]] of other runners","By consistently innovating, the company is staying ahead of the pack in the industry","During the marathon, the lead runner was staying ahead of the pack of other runners",staying ahead of the pack,der Konkurrenz voraus bleiben,"Indem das Unternehmen kontinuierlich innoviert, bleibt es in der Branche an der Spitze.",Während des Marathons blieb der führende Läufer vor dem Feld der anderen Läufer.,השהות קדימה מהצוות,"על ידי המשכיות בחדשנות, החברה מתקדמת קדימה מהמתחרים בתעשייה.","במרתון, הרץ המוביל נשאר מקדים את הקבוצה של הרצים האחרים."
air their dirty laundry,to make public something embarrassing that should be kept secret,"During the family reunion, [[they aired their dirty laundry]] in front of everyone",[[They aired their dirty laundry]] outside on the clothesline,"During the family reunion, they aired their dirty laundry in front of everyone",They aired their dirty laundry outside on the clothesline,they aired their dirty laundry,Sie haben ihre schmutzige Wäsche ausgebreitet.,Während des Familientreffens haben sie ihre schmutzige Wäsche vor allen ausgebreitet.,Sie hängten ihre schmutzige Wäsche draußen auf die Wäscheleine.,הם חשפו את הכתמים שלהם,"במהלך הכנסת המשפחה, הם חשפו את הכלים המלוכלכים שלהם לפני כולם.",הם תלו את הכביסה המלוכלכת שלהם בחוץ על החבל.
all Greek to me,used to convey that you cannot understand what is being said or written,"When he started talking about quantum physics, [[it's all Greek to me]]","Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]","When he started talking about quantum physics, it's all Greek to me","Since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",it's all Greek to me,Das ist mir alles Griechisch.,"Als er anfing, über Quantenphysik zu sprechen, war es für mich wie Griechisch.","Da ich die Sprache nicht verstehe, ist für mich alles Griechisch, wenn ich die griechische Zeitung lese.",זה הכל יווני עבורי,"כשהוא התחיל לדבר על פיזיקה קוונטית, זה כמו יוונית עבורי.","מכיוון שאני לא מבין את השפה, כשאני קורא את העיתון היווני, זה הכל יוונית עבורי."
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"When she started telling her story, I promised to [[be all ears]]","In the surreal art exhibit, the walls appeared to [[be all ears]]","When she started telling her story, I promised to be all ears","In the surreal art exhibit, the walls appeared to be all ears",be all ears,Ich bin ganz Ohr.,"Als sie anfing, ihre Geschichte zu erzählen, versprach ich, ganz Ohr zu sein.",In der surrealen Kunstausstellung schienen die Wände alles Ohren zu sein.,תהיה כל אזניים.,"כשהיא התחילה לספר את סיפורה, הבטחתי להיות כל אוזן.","בתערוכת האמנות הסוריאליסטית, הקירות נראו כאילו הם כל האוזניים."
all the rage,when something is the height of popularity,"In the 90s, [[the new fashion trend was all the rage]] among teenagers","When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more","In the 90s, the new fashion trend was all the rage among teenagers","When the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",the new fashion trend was all the rage,Der neue Modetrend war der letzte Schrei.,In den 90ern war der neue Modetrend bei Teenagern der letzte Schrei.,"Als der Laden ausverkauft war, war der neue Modetrend der letzte Schrei, da Kunden wütend mehr verlangten.",המגמה האופנתית החדשה הייתה הכי פופולרית,"בשנות ה-90, מגמת האופנה החדשה הייתה הכי פופולרית בקרב הנוער.","כשהחנות נגמרה מהמלאי, מגמת האופנה החדשה הייתה הכי פופולרית והלקוחות בכעס דרשו עוד."
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",Her career [[went all the way up]] after she landed a major role in a blockbuster movie,The elevator [[went all the way up]] to the top floor of the building,Her career went all the way up after she landed a major role in a blockbuster movie,The elevator went all the way up to the top floor of the building,went all the way up,ging den ganzen Weg hoch,"Ihre Karriere ging steil bergauf, nachdem sie eine Hauptrolle in einem Blockbuster-Film ergattert hatte.",Der Aufzug fuhr bis zum obersten Stockwerk des Gebäudes.,הלך כל הדרך למעלה,קריירתה עלתה כולה לאחר שהיא קיבלה תפקיד עיקרי בסרט מצליח.,המעלית עלתה עד לקומה העליונה של הבניין.
an item,be involved in a romantic relationship,"After months of dating, they finally [[became an item]] and made their relationship official","In the virtual reality game, the player's avatar [[became an item]] to be collected by others","After months of dating, they finally became an item and made their relationship official","In the virtual reality game, the player's avatar became an item to be collected by others",became an item,wurden ein Paar,Nach Monaten des Datings wurden sie endlich ein Paar und machten ihre Beziehung offiziell.,Im Virtual-Reality-Spiel wurde der Avatar des Spielers zu einem von anderen zu sammelnden Gegenstand.,הפך לזוג,"לאחר חודשים של היכרויות, הם סוף סוף הפכו לזוג והכריזו על הקשר שלהם בצורה רשמית.","במשחק המציאות המדומה, האווטאר של השחקן הפך לפריט שאחרים אספו."
ants in pants,be extremely restless,He [[had ants in his pants]] and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]",He had ants in his pants and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and had ants in his pants",had ants in his pants,hatte Ameisen in der Hose.,Er hatte Ameisen in den Hosen und konnte sich nicht auf die Präsentation konzentrieren.,Während des Picknicks setzte er sich versehentlich auf einen Ameisenhaufen und hatte Ameisen in seiner Hose.,היו נמלים במכנסיו,היו נמלים במכנסיו ולא יכול להתמקד במצגת.,"בזמן הפיקניק, הוא ישב בטעות על עקרבות והיו נמלים במכנסיו."
apple polisher,a flatterer; toady,He got the promotion by [[being an apple polisher]] and constantly flattering the boss,She took up the job of [[being an apple polisher]] at the fruit market,He got the promotion by being an apple polisher and constantly flattering the boss,She took up the job of being an apple polisher at the fruit market,being an apple polisher,ein Äpfel-Polierer sein,"Er hat die Beförderung bekommen, indem er ein Speichellecker war und den Chef ständig geschmeichelt hat.",Sie hat den Job als Apfel-Poliererin auf dem Obstmarkt übernommen.,להיות מצליח ומשתדל להיות חביב על המורים,קיבל את הקידום על ידי להיות מפנק ומחמיא לבוס באופן קבוע.,היא התפקדה כמנקה תפוחים בשוק הפירות.
apples to apples,having a fair comparison between the two things,"To make a fair judgment, we need [[to compare apples to apples]] in this situation","In the fruit market, we had [[to compare apples to apples]] to find the best quality","To make a fair judgment, we need to compare apples to apples in this situation","In the fruit market, we had to compare apples to apples to find the best quality",to compare apples to apples,Äpfel mit Äpfeln vergleichen.,"Um ein faires Urteil zu fällen, müssen wir in dieser Situation Äpfel mit Äpfeln vergleichen.","Auf dem Obstmarkt mussten wir Äpfel mit Äpfeln vergleichen, um die beste Qualität zu finden.",להשוות תפוחים לתפוחים,"כדי לקבל דיני צדק, עלינו להשוות תפוחים לתפוחים במצב זה.","בשוק הפירות, היינו צריכים להשוות תפוחים לתפוחים כדי למצוא את האיכות הטובה ביותר."
arm in arm,to be closely allied,The two companies [[walked arm in arm]] in their joint venture,"The couple [[walked arm in arm]] down the street, enjoying the evening",The two companies walked arm in arm in their joint venture,"The couple walked arm in arm down the street, enjoying the evening",walked arm in arm,gingen Arm in Arm,Die beiden Unternehmen gingen Arm in Arm in ihrem Joint Venture.,Das Paar lief Arm in Arm die Straße entlang und genoss den Abend.,הלכו בזרוע בזרוע,החברות שתיים הלכו בידיים קשורות בפעילותם המשותפת.,"הזוג הלך ביד ביד ברחוב, נהנה מהערב."
as far as,to the extent of something,His influence extends [[as far as the eye can see]] in the business world,The vast desert stretched out [[as far as the eye can see]],His influence extends as far as the eye can see in the business world,The vast desert stretched out as far as the eye can see,as far as the eye can see,So weit das Auge reicht.,Sein Einfluss erstreckt sich so weit wie das Auge reicht in der Geschäftswelt.,Die weite Wüste erstreckte sich so weit das Auge reicht.,כל עוד העין יכולה לראות,ההשפעה שלו מתרחבת כל עוד העין יכולה לראות בעולם העסקים.,המדבר הרחב נמשך כמה שהעין יכולה לראות
as long as,to put condition of time on an action,His patience was [[as long as the rope]] when dealing with difficult customers,The snake was [[as long as the rope]] lying next to it,His patience was as long as the rope when dealing with difficult customers,The snake was as long as the rope lying next to it,as long as the rope,Solange das Seil.,"Seine Geduld war so lang wie das Seil, wenn es darum ging, schwierige Kunden zu behandeln.","Die Schlange war so lang wie das Seil, das neben ihr lag.",כל עוד החבל,סבלנותו הייתה כמו החבל כשהוא עסוק בלקוחות קשים.,הנחש היה באורך של החבל השוכב לידו.
asked for the moon,ask for something that is very difficult or impossible to get,He [[asked for the moon]] when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",He asked for the moon when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully asked for the moon as a birthday gift",asked for the moon,verlangte den Mond,"Er hat nach dem Mond gefragt, als er ein Gehalt von einer Million Dollar verlangt hat.","Das Kind, fasziniert von Astronomie, bat spielerisch um den Mond als Geburtstagsgeschenk.",ביקש לירח,הוא ביקש את הירח כשביקש משכורת של מיליון דולר.,"הילד, המסוגל באסטרונומיה, בצורה משעשעת ביקש את הירח כמתנת יום הולדת."
asleep at the switch,failing to attend to one's responsibilities or duties,The manager was [[asleep at the switch]] when the crisis occurred,The train operator fell [[asleep at the switch]] during his break,The manager was asleep at the switch when the crisis occurred,The train operator fell asleep at the switch during his break,asleep at the switch,schlafend am Schalter,"Der Manager hat geschlafen, als die Krise auftrat.",Der Zugführer ist während seiner Pause am Schalter eingeschlafen.,נרדם על המתג,המנהל ישן על המתג כשהמשבר קרה.,המפעיל של הרכבת נרדם על המתג במהלך ההפסקה שלו.
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",The manager was [[asleep at the wheel]] when the company lost a major client,He was so exhausted that he fell [[asleep at the wheel]] while driving,The manager was asleep at the wheel when the company lost a major client,He was so exhausted that he fell asleep at the wheel while driving,asleep at the wheel,Am Steuer eingeschlafen.,"Der Manager schlief am Steuer, als das Unternehmen einen wichtigen Kunden verlor.","Er war so erschöpft, dass er am Steuer einschlief, während er fuhr.",ישן על ההגה.,המנהל ישן על הגלגל כשהחברה איבדה לקוח חשוב.,הוא היה כל כך עייף שהוא נרדם על ההגה בזמן הנהיגה.
at an arm's length,as far away from your body as possible,She [[kept it at an arm's length]] to avoid getting too involved in the situation,He [[kept it at an arm's length]] to prevent the paint from smudging his clothes,She kept it at an arm's length to avoid getting too involved in the situation,He kept it at an arm's length to prevent the paint from smudging his clothes,kept it at an arm's length,Hielt es auf Armeslänge.,"Sie hielt es auf Armeslänge, um nicht zu sehr in die Situation verwickelt zu werden.","Er hielt es auf Armlänge, um zu verhindern, dass die Farbe seine Kleidung verschmiert.",שמרתי על זה במרחק זרוע.,היא שמרה על זה במרחק זרוע כדי להימנע מהיכנס למעורבות רבה במצב.,הוא שמר על זה במרחק של זרוע כדי למנוע מהצבע להסתיר את הבגדים שלו.
at daggers drawn,almost ready to fight,The two politicians were [[at daggers drawn with each other]] during the debate,The actors were [[at daggers drawn with each other]] during the stage fight scene,The two politicians were at daggers drawn with each other during the debate,The actors were at daggers drawn with each other during the stage fight scene,at daggers drawn with each other,auf Kriegsfuß miteinander,Die beiden Politiker waren während der Debatte auf Kriegsfuß miteinander.,Die Schauspieler waren während der Kampfszene auf der Bühne auf Kriegsfuß miteinander.,בסכינים מושרים זה נגד זה,שני הפוליטיקאים היו במצב של חרבות מושלגות זו נגד זו במהלך הדיון.,השחקנים היו במצב של חרבות מושלכות זו בזו במהלך סצינת הקרב בבמה.
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",[[She started at the bottom of the ladder]] in the company and worked her way up,"Before climbing, [[she started at the bottom of the ladder]] and checked each rung for stability",She started at the bottom of the ladder in the company and worked her way up,"Before climbing, she started at the bottom of the ladder and checked each rung for stability",She started at the bottom of the ladder,Sie hat unten auf der Leiter angefangen.,Sie hat am unteren Ende der Karriereleiter im Unternehmen angefangen und sich hochgearbeitet.,"Bevor sie kletterte, begann sie am unteren Ende der Leiter und überprüfte jede Sprosse auf Stabilität.",היא התחילה בתחתית הסולם,היא התחילה בתחתית הסולם בחברה ועבדה את דרכה למעלה.,"לפני שהיא טסה, היא התחילה בתחתית הסולם ובדקה כל מדרגה ליציבות."
at the drop of a dime,something that can happen very fast without hesitation,Our team is always [[ready at the drop of a dime]] to tackle any challenge,The coin collector was [[ready at the drop of a dime]] to catch the rare coin,Our team is always ready at the drop of a dime to tackle any challenge,The coin collector was ready at the drop of a dime to catch the rare coin,ready at the drop of a dime,bereit auf Knopfdruck,"Unser Team ist jederzeit bereit, jede Herausforderung anzugehen.","Der Münzsammler war bereit, bei Gelegenheit eine seltene Münze zu ergattern.",מוכן ברגע שהמטבע נופל,הצוות שלנו תמיד מוכן לטפס על כל אתגר.,המאסף של המטבעות היה מוכן ברגע של זריקת העשירית של דולר כדי לתפוס את המטבע הנדיר.
at the drop of the hat,to do something easily and without any preparation,She was always [[ready at the drop of a hat]] to help her friends,"As a professional hat catcher, he was [[ready at the drop of a hat]] to catch any falling hats",She was always ready at the drop of a hat to help her friends,"As a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",ready at the drop of a hat,bereit auf der Stelle,"Sie war immer bereit, ihren Freunden sofort zu helfen.","Als professioneller Hutfänger war er bereit, jederzeit Hüte aufzufangen, die herunterfielen.",מוכן בכל רגע,היא הייתה תמיד מוכנה בכל רגע לעזור לחבריהا.,"כמומחה בתפיסת כובעות, הוא היה מוכן בכל רגע לתפוס כל כובע שיופל."
