idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining","After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground","He was always being a wet blanket at parties, constantly complaining","After the rainstorm, the picnic blanket was being a wet blanket on the ground",being a wet blanket,ein Spielverderber sein,"Er war immer eine Spaßbremse auf Partys, hat ständig gemeckert."
a whale of,very big (piece) of something,We [[had a whale of a time]] at the amusement park,The marine biologist [[had a whale of a time]] studying the humpback's behavior,We had a whale of a time at the amusement park,The marine biologist had a whale of a time studying the humpback's behavior,had a whale of a time,hatte eine Riesengaudi.,Wir hatten eine Riesenspaß im Vergnügungspark.
a whole new ball game,a significant change in circumstances.,"After the company's merger, [[it's a whole new ball game]] for the employees","When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","After the company's merger, it's a whole new ball game for the employees","When they switched from soccer to baseball, it's a whole new ball game for the players",it's a whole new ball game,Es ist ein ganz neues Spiel.,Nach der Fusion des Unternehmens ist es für die Mitarbeiter ein ganz neues Spiel.
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The company [[started a witch hunt]] to find the person responsible for the leak,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately",The company started a witch hunt to find the person responsible for the leak,"During the historical reenactment, they started a witch hunt to portray the events accurately",started a witch hunt,startete eine Hexenjagd.,"Das Unternehmen hat eine Hexenjagd gestartet, um die Person zu finden, die für das Leck verantwortlich ist."
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,Moving in together was the acid test for their relationship to see if they could handle living with each other,The chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,the acid test for their relationship,Der Säuretest für ihre Beziehung.,"Zusammenziehen war der Härtetest für ihre Beziehung, um zu sehen, ob sie es aushalten konnten, miteinander zu leben."
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,The company saw improvements across the board after implementing new strategies,The chess master made improvements across the board by adjusting the positions of his pieces,improvements across the board,Verbesserungen auf breiter Front.,"Das Unternehmen sah Verbesserungen auf breiter Front, nachdem neue Strategien umgesetzt wurden."
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","By spreading rumors, they added fuel to the flames of the ongoing conflict","To keep the bonfire going, they added fuel to the flames by throwing more wood",they added fuel to the flames,Sie gossen Öl ins Feuer.,"Indem sie Gerüchte verbreiteten, gossen sie Öl ins Feuer des laufenden Konflikts."
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project","In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels","With the deadline approaching, we were racing against the clock to finish the project","In the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",were racing against the clock,Wir haben gegen die Uhrzeit gekämpft.,"Mit dem Annäherung der Frist haben wir gegen die Uhr gearbeitet, um das Projekt zu beenden."
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,"When sanding wood, [[going against the grain]] can cause scratches and damage",His decision to quit his job was going against the grain of his family's expectations,"When sanding wood, going against the grain can cause scratches and damage",going against the grain,Gegen den Strom schwimmen.,"Seine Entscheidung, seinen Job aufzugeben, ging gegen den Strom der Erwartungen seiner Familie."
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,"By constantly learning new skills, she was staying ahead of the curve in her industry",The race car driver was staying ahead of the curve by maintaining a lead on the track,was staying ahead of the curve,Ich war der Kurve voraus.,"Indem sie ständig neue Fähigkeiten lernte, blieb sie in ihrer Branche voraus."
ahead of the pack,more successful than other people who are trying to achieve the same things,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry","During the marathon, the lead runner was [[staying ahead of the pack]] of other runners","By consistently innovating, the company is staying ahead of the pack in the industry","During the marathon, the lead runner was staying ahead of the pack of other runners",staying ahead of the pack,der Konkurrenz voraus bleiben,"Indem das Unternehmen kontinuierlich innoviert, bleibt es in der Branche an der Spitze."
air their dirty laundry,to make public something embarrassing that should be kept secret,"During the family reunion, [[they aired their dirty laundry]] in front of everyone",[[They aired their dirty laundry]] outside on the clothesline,"During the family reunion, they aired their dirty laundry in front of everyone",They aired their dirty laundry outside on the clothesline,they aired their dirty laundry,Sie haben ihre schmutzige Wäsche ausgebreitet.,Während des Familientreffens haben sie ihre schmutzige Wäsche vor allen ausgebreitet.
all Greek to me,used to convey that you cannot understand what is being said or written,"When he started talking about quantum physics, [[it's all Greek to me]]","Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]","When he started talking about quantum physics, it's all Greek to me","Since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",it's all Greek to me,Das ist mir alles Griechisch.,"Als er anfing, über Quantenphysik zu sprechen, war es für mich wie Griechisch."
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"When she started telling her story, I promised to [[be all ears]]","In the surreal art exhibit, the walls appeared to [[be all ears]]","When she started telling her story, I promised to be all ears","In the surreal art exhibit, the walls appeared to be all ears",be all ears,Ich bin ganz Ohr.,"Als sie anfing, ihre Geschichte zu erzählen, versprach ich, ganz Ohr zu sein."
all the rage,when something is the height of popularity,"In the 90s, [[the new fashion trend was all the rage]] among teenagers","When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more","In the 90s, the new fashion trend was all the rage among teenagers","When the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",the new fashion trend was all the rage,Der neue Modetrend war der letzte Schrei.,In den 90ern war der neue Modetrend bei Teenagern der letzte Schrei.
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",Her career [[went all the way up]] after she landed a major role in a blockbuster movie,The elevator [[went all the way up]] to the top floor of the building,Her career went all the way up after she landed a major role in a blockbuster movie,The elevator went all the way up to the top floor of the building,went all the way up,ging den ganzen Weg hoch,"Ihre Karriere ging steil bergauf, nachdem sie eine Hauptrolle in einem Blockbuster-Film ergattert hatte."
an item,be involved in a romantic relationship,"After months of dating, they finally [[became an item]] and made their relationship official","In the virtual reality game, the player's avatar [[became an item]] to be collected by others","After months of dating, they finally became an item and made their relationship official","In the virtual reality game, the player's avatar became an item to be collected by others",became an item,wurden ein Paar,Nach Monaten des Datings wurden sie endlich ein Paar und machten ihre Beziehung offiziell.
ants in pants,be extremely restless,He [[had ants in his pants]] and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]",He had ants in his pants and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and had ants in his pants",had ants in his pants,hatte Ameisen in der Hose.,Er hatte Ameisen in den Hosen und konnte sich nicht auf die Präsentation konzentrieren.
apple polisher,a flatterer; toady,He got the promotion by [[being an apple polisher]] and constantly flattering the boss,She took up the job of [[being an apple polisher]] at the fruit market,He got the promotion by being an apple polisher and constantly flattering the boss,She took up the job of being an apple polisher at the fruit market,being an apple polisher,ein Äpfel-Polierer sein,"Er hat die Beförderung bekommen, indem er ein Speichellecker war und den Chef ständig geschmeichelt hat."
apples to apples,having a fair comparison between the two things,"To make a fair judgment, we need [[to compare apples to apples]] in this situation","In the fruit market, we had [[to compare apples to apples]] to find the best quality","To make a fair judgment, we need to compare apples to apples in this situation","In the fruit market, we had to compare apples to apples to find the best quality",to compare apples to apples,Äpfel mit Äpfeln vergleichen.,"Um ein faires Urteil zu fällen, müssen wir in dieser Situation Äpfel mit Äpfeln vergleichen."
arm in arm,to be closely allied,The two companies [[walked arm in arm]] in their joint venture,"The couple [[walked arm in arm]] down the street, enjoying the evening",The two companies walked arm in arm in their joint venture,"The couple walked arm in arm down the street, enjoying the evening",walked arm in arm,gingen Arm in Arm,Die beiden Unternehmen gingen Arm in Arm in ihrem Joint Venture.
as far as,to the extent of something,His influence extends [[as far as the eye can see]] in the business world,The vast desert stretched out [[as far as the eye can see]],His influence extends as far as the eye can see in the business world,The vast desert stretched out as far as the eye can see,as far as the eye can see,So weit das Auge reicht.,Sein Einfluss erstreckt sich so weit wie das Auge reicht in der Geschäftswelt.
as long as,to put condition of time on an action,His patience was [[as long as the rope]] when dealing with difficult customers,The snake was [[as long as the rope]] lying next to it,His patience was as long as the rope when dealing with difficult customers,The snake was as long as the rope lying next to it,as long as the rope,Solange das Seil.,"Seine Geduld war so lang wie das Seil, wenn es darum ging, schwierige Kunden zu behandeln."
asked for the moon,ask for something that is very difficult or impossible to get,He [[asked for the moon]] when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",He asked for the moon when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully asked for the moon as a birthday gift",asked for the moon,verlangte den Mond,"Er hat nach dem Mond gefragt, als er ein Gehalt von einer Million Dollar verlangt hat."
asleep at the switch,failing to attend to one's responsibilities or duties,The manager was [[asleep at the switch]] when the crisis occurred,The train operator fell [[asleep at the switch]] during his break,The manager was asleep at the switch when the crisis occurred,The train operator fell asleep at the switch during his break,asleep at the switch,schlafend am Schalter,"Der Manager hat geschlafen, als die Krise auftrat."
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",The manager was [[asleep at the wheel]] when the company lost a major client,He was so exhausted that he fell [[asleep at the wheel]] while driving,The manager was asleep at the wheel when the company lost a major client,He was so exhausted that he fell asleep at the wheel while driving,asleep at the wheel,Am Steuer eingeschlafen.,"Der Manager schlief am Steuer, als das Unternehmen einen wichtigen Kunden verlor."
at an arm's length,as far away from your body as possible,She [[kept it at an arm's length]] to avoid getting too involved in the situation,He [[kept it at an arm's length]] to prevent the paint from smudging his clothes,She kept it at an arm's length to avoid getting too involved in the situation,He kept it at an arm's length to prevent the paint from smudging his clothes,kept it at an arm's length,Hielt es auf Armeslänge.,"Sie hielt es auf Armeslänge, um nicht zu sehr in die Situation verwickelt zu werden."
at daggers drawn,almost ready to fight,The two politicians were [[at daggers drawn with each other]] during the debate,The actors were [[at daggers drawn with each other]] during the stage fight scene,The two politicians were at daggers drawn with each other during the debate,The actors were at daggers drawn with each other during the stage fight scene,at daggers drawn with each other,auf Kriegsfuß miteinander,Die beiden Politiker waren während der Debatte auf Kriegsfuß miteinander.
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",[[She started at the bottom of the ladder]] in the company and worked her way up,"Before climbing, [[she started at the bottom of the ladder]] and checked each rung for stability",She started at the bottom of the ladder in the company and worked her way up,"Before climbing, she started at the bottom of the ladder and checked each rung for stability",She started at the bottom of the ladder,Sie hat unten auf der Leiter angefangen.,Sie hat am unteren Ende der Karriereleiter im Unternehmen angefangen und sich hochgearbeitet.
at the drop of a dime,something that can happen very fast without hesitation,Our team is always [[ready at the drop of a dime]] to tackle any challenge,The coin collector was [[ready at the drop of a dime]] to catch the rare coin,Our team is always ready at the drop of a dime to tackle any challenge,The coin collector was ready at the drop of a dime to catch the rare coin,ready at the drop of a dime,bereit auf Knopfdruck,"Unser Team ist jederzeit bereit, jede Herausforderung anzugehen."
at the drop of the hat,to do something easily and without any preparation,She was always [[ready at the drop of a hat]] to help her friends,"As a professional hat catcher, he was [[ready at the drop of a hat]] to catch any falling hats",She was always ready at the drop of a hat to help her friends,"As a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",ready at the drop of a hat,bereit auf der Stelle,"Sie war immer bereit, ihren Freunden sofort zu helfen."
at the helm,"in charge of an organization, group of people, etc.","She was [[at the helm of the project]], guiding the team to success","The captain stood [[at the helm of the project]], steering the ship through the storm","She was at the helm of the project, guiding the team to success","The captain stood at the helm of the project, steering the ship through the storm",at the helm of the project,am Steuer des Projekts,Sie war an der Spitze des Projekts und führte das Team zum Erfolg.
ate her alive,to criticize someone severely because you are angry with them,The guilt of lying to her best friend [[it ate her alive]] for days,"In the horror movie, the monster found her hiding spot and [[it ate her alive]]",The guilt of lying to her best friend it ate her alive for days,"In the horror movie, the monster found her hiding spot and it ate her alive",it ate her alive,Es hat sie lebendig gefressen.,"Die Schuld, ihre beste Freundin angelogen zu haben, fraß sie tagelang auf."
axe to grind,have a private or selfish reason for doing something,He [[had an axe to grind]] with his coworker after the disagreement,The lumberjack [[had an axe to grind]] before chopping down the tree,He had an axe to grind with his coworker after the disagreement,The lumberjack had an axe to grind before chopping down the tree,had an axe to grind,hatte eine Rechnung zu begleichen.,"Er hatte eine Rechnung mit seinem Kollegen zu begleichen, nachdem es zu einer Meinungsverschiedenheit gekommen war."
back against the wall,to be in a tough situation with limited options,"With no other options left, [[he had his back against the wall]] and had to make a decision",[[He had his back against the wall]] while waiting for the elevator,"With no other options left, he had his back against the wall and had to make a decision",He had his back against the wall while waiting for the elevator,he had his back against the wall,Er hatte seinen Rücken an der Wand.,"Ohne andere Optionen übrig zu haben, hatte er seinen Rücken gegen die Wand und musste eine Entscheidung treffen."
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,[[She backed the wrong horse]] when she supported the losing candidate,"At the racetrack, [[she backed the wrong horse]] and lost her bet",She backed the wrong horse when she supported the losing candidate,"At the racetrack, she backed the wrong horse and lost her bet",She backed the wrong horse,Sie setzte auf das falsche Pferd.,"Sie setzte auf das falsche Pferd, als sie den unterlegenen Kandidaten unterstützte."
backroom boy(s),people who work in anonymity,The company's success was largely due to [[the backroom boys]] who worked tirelessly behind the scenes,"In the storage area, [[the backroom boys]] were busy organizing and restocking shelves",The company's success was largely due to the backroom boys who worked tirelessly behind the scenes,"In the storage area, the backroom boys were busy organizing and restocking shelves",the backroom boys,die Hinterzimmer-Jungs,"Der Erfolg des Unternehmens war größtenteils auf die Hinterzimmer-Jungs zurückzuführen, die unermüdlich im Hintergrund arbeiteten."
bad egg,someone who fails to meet expectations,"Despite his charming demeanor, he [[turned out to be a bad egg]] in the company",The carton of eggs we bought [[turned out to be a bad egg]] when we cracked it open,"Despite his charming demeanor, he turned out to be a bad egg in the company",The carton of eggs we bought turned out to be a bad egg when we cracked it open,turned out to be a bad egg,stellte sich als schlechtes Ei heraus.,Trotz seines charmanten Auftretens stellte er sich als schwarzes Schaf im Unternehmen heraus.
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,He felt like he [[was carrying a ball and chain]] with his overwhelming responsibilities,The prisoner [[was carrying a ball and chain]] as a part of his punishment,He felt like he was carrying a ball and chain with his overwhelming responsibilities,The prisoner was carrying a ball and chain as a part of his punishment,was carrying a ball and chain,Er trug einen Ball und eine Kette.,"Er fühlte sich, als ob er eine Kugel und Kette mit seinen überwältigenden Verantwortlichkeiten tragen würde."
bare bones,most basic and important elements or facts,"During the meeting, she [[presented the bare bones]] of the project plan",The archaeologist [[presented the bare bones]] of the ancient skeleton,"During the meeting, she presented the bare bones of the project plan",The archaeologist presented the bare bones of the ancient skeleton,presented the bare bones,präsentierte das Wesentliche,Während des Treffens präsentierte sie die Grundzüge des Projektplans.
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,Accusing her of stealing the documents [[was barking up the wrong tree]],"The confused dog [[was barking up the wrong tree]], as the squirrel had already moved to another one",Accusing her of stealing the documents was barking up the wrong tree,"The confused dog was barking up the wrong tree, as the squirrel had already moved to another one",was barking up the wrong tree,Er hat auf dem falschen Dampfer gesessen.,"Sie des Diebstahls der Dokumente zu beschuldigen, war auf dem Holzweg."
bats in the belfry,to be silly and slightly crazy and behave in a confused way,His wild theories and peculiar behavior made others think he [[had bats in the belfry]],The old church tower [[had bats in the belfry]] that flew out at dusk,His wild theories and peculiar behavior made others think he had bats in the belfry,The old church tower had bats in the belfry that flew out at dusk,had bats in the belfry,Hatte Flöhe im Kopf.,"Seine wilden Theorien und sein eigenartiges Verhalten ließen andere denken, dass er nicht alle Tassen im Schrank hat."
batten down the hatches,to get ready for trouble,"When the company announced layoffs, employees had [[to batten down the hatches]] and prepare for the worst","As the storm approached, the sailors rushed [[to batten down the hatches]] on the ship","When the company announced layoffs, employees had to batten down the hatches and prepare for the worst","As the storm approached, the sailors rushed to batten down the hatches on the ship",to batten down the hatches,Die Luken verriegeln.,"Als das Unternehmen Entlassungen ankündigte, mussten die Mitarbeiter die Segel reffen und sich auf das Schlimmste vorbereiten."
baying for blood,want somebody to be hurt or punished.,The angry mob was [[baying for blood]] after the politician's scandal,The pack of hungry wolves was [[baying for blood]] as they hunted their prey,The angry mob was baying for blood after the politician's scandal,The pack of hungry wolves was baying for blood as they hunted their prey,baying for blood,Blutdurstig sein.,"Die wütende Menge verlangte nach Blut, nach dem Skandal des Politikers."
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,Their opposing political views put them [[on a collision course with each other]],"The two ships, sailing at full speed, were [[on a collision course with each other]]",Their opposing political views put them on a collision course with each other,"The two ships, sailing at full speed, were on a collision course with each other",on a collision course with each other,auf Kollisionskurs miteinander,Ihre entgegengesetzten politischen Ansichten brachten sie auf Kollisionskurs miteinander.
beat around the bush,avoid talking about the main topic,"If you have something to say, just [[stop beating around the bush]] and tell me","If you want to trim the garden, [[stop beating around the bush]] and start cutting it","If you have something to say, just stop beating around the bush and tell me","If you want to trim the garden, stop beating around the bush and start cutting it",stop beating around the bush,"Hör auf, um den heißen Brei herumzureden.","Wenn du etwas zu sagen hast, höre auf um den heißen Brei herumzureden und sag es mir einfach."
beat the drum,to speak eagerly about something you support,He tirelessly [[beat the drum for the cause]] to raise awareness about climate change,The musician [[beat the drum for the cause]] during the charity concert,He tirelessly beat the drum for the cause to raise awareness about climate change,The musician beat the drum for the cause during the charity concert,beat the drum for the cause,Schlage die Trommel für die Sache.,"Er schlug unermüdlich die Trommel für die Sache, um das Bewusstsein für den Klimawandel zu erhöhen."
bee in bonnet,be possessed with one thought or scheme,She [[had a bee in her bonnet]] about the new policy changes,"During the picnic, she accidentally [[had a bee in her bonnet]] and panicked",She had a bee in her bonnet about the new policy changes,"During the picnic, she accidentally had a bee in her bonnet and panicked",had a bee in her bonnet,Sie hatte eine fixe Idee.,Sie hatte eine fixe Idee über die neuen Politikänderungen.
been tailor made,specially made for a particular purpose,The job opportunity [[has been tailor made]] for her skills and experience,The suit [[has been tailor made]] to fit his measurements perfectly,The job opportunity has been tailor made for her skills and experience,The suit has been tailor made to fit his measurements perfectly,has been tailor made,wurde maßgeschneidert,Die Stellenangelegenheit wurde maßgeschneidert für ihre Fähigkeiten und Erfahrungen.
begun to see the light,to suddenly begin to understand,"After hours of studying, he finally [[began to see the light]] and understood the concept","As the sun rose, she [[began to see the light]] streaming through the window","After hours of studying, he finally began to see the light and understood the concept","As the sun rose, she began to see the light streaming through the window",began to see the light,begann das Licht zu sehen,"Nach Stunden des Studierens begann er endlich, das Licht zu sehen und das Konzept zu verstehen."
behind closed doors,in clandestine,The board members discussed the matter [[behind closed doors]] to maintain confidentiality,"They stood [[behind closed doors]] while discussing the matter, as the room was too noisy",The board members discussed the matter behind closed doors to maintain confidentiality,"They stood behind closed doors while discussing the matter, as the room was too noisy",behind closed doors,hinter verschlossenen Türen,"Die Vorstandsmitglieder diskutierten die Angelegenheit hinter verschlossenen Türen, um die Vertraulichkeit zu wahren."
being bouncing off the walls,excited and full of nervous energy,The kids were [[bouncing off the walls]] after eating too much candy,The rubber ball kept [[bouncing off the walls]] in the small room,The kids were bouncing off the walls after eating too much candy,The rubber ball kept bouncing off the walls in the small room,bouncing off the walls,an den Wänden abprallen,Die Kinder sprangen nach dem Essen zu viel Süßigkeiten an den Wänden herum.
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),I always [[bend over backwards for them]] to make sure they're happy,"During the yoga class, we had to [[bend over backwards for them]] to demonstrate the pose",I always bend over backwards for them to make sure they're happy,"During the yoga class, we had to bend over backwards for them to demonstrate the pose",bend over backwards for them,Sich für sie verbiegen.,"Ich gebe immer mein Bestes, um sicherzustellen, dass sie glücklich sind."
bent out of shape,to become angry.,He [[got bent out of shape]] when he found out his favorite band was sold out,The metal rod [[got bent out of shape]] after the car accident,He got bent out of shape when he found out his favorite band was sold out,The metal rod got bent out of shape after the car accident,got bent out of shape,wurde verärgert,"Er wurde verärgert, als er herausfand, dass seine Lieblingsband ausverkauft war."
bent your ears,to talk to someone for a very long time about something boring,The speaker [[bent their ears]] with his captivating stories,The strong wind [[bent their ears]] as they walked through the storm,The speaker bent their ears with his captivating stories,The strong wind bent their ears as they walked through the storm,bent their ears,Sie haben ihnen die Ohren abgekaut.,Der Sprecher begeisterte sie mit seinen fesselnden Geschichten.
bet on the wrong horse,support a person or thing that ultimately fails,[[She bet on the wrong horse]] when she chose to invest in that failing company,"At the racetrack, [[she bet on the wrong horse]] and lost her money",She bet on the wrong horse when she chose to invest in that failing company,"At the racetrack, she bet on the wrong horse and lost her money",She bet on the wrong horse,Sie setzte auf das falsche Pferd.,"Sie setzte auf das falsche Pferd, als sie beschloss, in dieses scheiternde Unternehmen zu investieren."
between a rock and a hard place,having two very bad choices,He was [[caught between a rock and a hard place]] when he had to choose between his job and his family,"While hiking, she found herself [[caught between a rock and a hard place]] in a narrow passage",He was caught between a rock and a hard place when he had to choose between his job and his family,"While hiking, she found herself caught between a rock and a hard place in a narrow passage",caught between a rock and a hard place,zwischen Hammer und Amboss,"Er war in der Zwickmühle, als er zwischen seinem Job und seiner Familie wählen musste."
between you and me,a secret to be kept between two people,"[[Between you and me, there's a secret]] that I can't share with anyone else","He placed a mysterious box [[between you and me, there's a secret]] hidden inside it","Between you and me, there's a secret that I can't share with anyone else","He placed a mysterious box between you and me, there's a secret hidden inside it","Between you and me, there's a secret",Zwischen dir und mir gibt es ein Geheimnis.,"Zwischen dir und mir gibt es ein Geheimnis, das ich mit niemand anderem teilen kann."
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",The psychic claimed [[she looked beyond the veil]] and communicated with spirits,"Standing in front of the window, [[she looked beyond the veil]] and saw the beautiful garden",The psychic claimed she looked beyond the veil and communicated with spirits,"Standing in front of the window, she looked beyond the veil and saw the beautiful garden",she looked beyond the veil,Sie schaute hinter den Schleier.,"Die Hellseherin behauptete, dass sie hinter den Schleier schaute und mit Geistern kommunizierte."
big brother,A large organization or government agency that tries to control all aspects of human life and society.,"With the new surveillance system, we felt like we were being [[watched by big brother]]","As the younger sibling, she was always [[watched by big brother]] during their childhood","With the new surveillance system, we felt like we were being watched by big brother","As the younger sibling, she was always watched by big brother during their childhood",watched by big brother,Beobachtet von Big Brother.,"Mit dem neuen Überwachungssystem hatten wir das Gefühl, von Big Brother beobachtet zu werden."
big cheese,to be an important and successful individual,"In the company, he's [[the big cheese]] and everyone respects him","At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","In the company, he's the big cheese and everyone respects him","At the cheese festival, they displayed the big cheese weighing over 100 pounds",the big cheese,der große Käse,In der Firma ist er der große Boss und jeder respektiert ihn.
big gun,a very powerful individual,"To solve the complex problem, we had [[to bring in the big gun]] from the head office","To defend the fort, they had [[to bring in the big gun]] from the armory","To solve the complex problem, we had to bring in the big gun from the head office","To defend the fort, they had to bring in the big gun from the armory",to bring in the big gun,Die großen Geschütze auffahren.,"Um das komplexe Problem zu lösen, mussten wir die große Kanone aus der Zentrale hinzuziehen."
