idioms_korean
idiom,match,meaning
귀(에) 익다,눈[귀]에 익다,be accustomed to see[hear]
귀가 얇다,귀가 얇다,"have thin ears; naive; gullible, easily persuaded"
귀를 세우다,귀를 쫑긋 세우다,prick (up) one's ears
귀를 씻다,귀를 씻다 Web collection,wash ear
귀를 열다,귀를 열다,open one's ears
귀를 의심하다,귀를 의심하다,"think sth hard to believe, regard something as implausible"
귀 밖으로 듣다,귀 기울여 듣다,listen attentively[carefully]
귀에 들어가다,귀에 들어가다,get in one's ears
깨가 쏟아지다,깨가 쏟아지다,"be in a euphoric mood, be very happy together, (부부가) be [live] in perfect conjugal harmony"
눈에 흙이 들어가다.,눈에 흙이 들어가다[덮이다],get soil in one's eyes[have one's eyes covered with soil]
눈이 높다.,눈이 높다,"have high standards [expectations], aim high"
눈에 띄다,눈에 띄다,"be conspicuous, attract attention, catch sb's eye, hit sb in the eye"
눈(에) 아리다,진탕[눈]에 발이 푹푹 빠지다,one´s feet sink deep in the mud[snow]
눈을 돌리다,눈을 돌리다,avert[turn away] one´s eyes
눈(을) 똑바로 뜨다,눈(을) 똑바로 뜨다,open one's eyes straight
눈(을) 맞추다,눈을 맞추다,"meet sb's eye(s), meet sb's gaze [look]"
눈(을) 밝히다,눈(을) 밝히다,light up one's eyes
눈(을) 붙이다,눈을 붙이다,sleep; fall asleep
눈(을) 속이다,눈을 속이다,pull the wool over eyes; tries to visually trick someone else
눈(을) 씻고 보다,눈(을) 씻고 보다,wash one's eyes and see
눈(을) 씻고 보려야 볼 수 없다,눈(을) 씻고 보려야 볼 수 없다,cannot wash one's eyes and see however hard one may try to
눈(을) 피하다,눈(을) 피하다,avoid eyes
눈(이) 나오다,눈에는 눈 이에는 이,"An eye for an eye, and a tooth for a tooth."
눈(이) 돌아가다,눈(이) 돌아가다,have one's eyes turn
눈(이) 뒤집히다,눈이 뒤집히다,"flip one's lid, go mad, go [be] out of one's mind, lose (control of) oneself"
눈(이) 많다,눈(이) 많다,There are a lot of eyes
눈(이) 맞다,눈이 맞다,fall in love
눈(이) 시다,눈(이) 시다,gets on someone’s nerves; annoying; disgusting
눈과 귀가 쏠리다,눈과 귀가 쏠리다,grabs immediate attention of all people
눈 깜짝할 사이,눈 깜짝할 사이,the twinkle of an eye
눈도 거뜰어보지 않다,눈도 거들떠보지 않다,not cast even one's eyes somewhere
눈도 깜짝 안하다,눈도 깜짝 안 하다,"do not bat an eyelid, do not bat an eye, do not even blink"
눈 둘 곳을 모르다,눈 둘 곳을 모르다,be shameful or awkward because of what someone saw
눈 뜨고 볼 수 없다,눈 뜨고 볼 수 없다,Disgusting; arouses negative emotions; cannot watch something with one's eyes open
눈만 뜨면,눈만 뜨면,everytime one opens one's eyes; extremely frequently
눈 밖에 나다,눈 밖에 나다,"lose sb's trust [confidence], create sb's distrust, sb can't be trusted"
눈에 거칠다,눈(에) 거칠다,"be offensive to the eye,(be) unsightly,be hateful to see"
눈에 넣어도 아프지 않다,눈에 넣어도 아프지 않다,be the apple of one´s eye; loves someone a lot
눈에 밟히다,눈에 밟히다,"be in [at] the back of one's mind, be on one's mind, be engraved on [in] one's heart [memory/mind]"
눈에 불을 켜다,눈에 불을 켜다,eagerly/desparately searches for something
눈에 아른거리다,눈에 아른거리다,glimmer in one's eyes
눈에 익다,눈에 익다,"look familiar, know sb by sight"
눈에 차다,눈에 차다,be satisfactory
눈에 칼을 세우다,칼을 세우,raise knife
눈을 끌다,눈을 끌다,attract one´s attention
눈을 의심하다,눈을 의심하다,doubt one's eyes
냄새를 맡다,냄새를 맡다,sense something valuable and hidden
녹을 먹다,녹을 먹다,work as a government employee
다리(를) 뻗고/펴고 자다,발(을) 뻗고[펴고] 자다,have nothing to worry
뒤(가) 구리다,뒤(가) 구리다,have a stinking back; financially or politically supported by someone suspicious
뒤(가) 나다,뒤(가) 나다,One's back comes out
뒤가 깨끗하다,뒤가 깨끗하다,have a clean back; backed by 
뒤가 꿀리다,뒤가 꿀리다,have something on one's back
뒤가 드러나다,뒤가 드러나다,One's weakness is revealed
뒤가 든든하다,뒤가 든든하다,be full in one's back; feeling protected or supported by someone trustworthy
뒤가 무사하다,뒤가 무사하다,One's back is safe
뒤로 물러서다,뒤로 물러서다,move off to the rear
뒤를 노리다,뒤를 노리다,aim at one's back; attempts for betrayal
뒤를 맡기다,뒤를 맡기다,entrust the back
뒤를 물다,뒤를 물다,bite the back; betrays someone
뒤를 뭉개다,뒤를 뭉개다,crush one's back
뒤를 받들다,뒤를 받들다,support someone from the back
뒤를 받치다,뒤를 받치다,support someone from the back
등골 빠지다,등골이 빠지다,take great pains to do something
마음(을) 먹다,마음을 먹다,decide
마음을 열다,마음을 열다,open one's mind[heart]
마음(을) 붙이다,마음(을) 붙이다,attach one's mind
마음(을) 주다,마음을 주다,trust
마음에 두다,마음에 두다,have a mind to
마음에 없다,마음에 없다,not be in one's mind
마음에 있다,마음에 있다,be in one's mind
마음에 차다,마음에 차다,meet with satisfaction
마음을 삭이다,마음을 삭이다,mitigate heart
마음을 썩이다,마음을 썩이다,makes someone upset by being burdensome
마음을 풀다,마음을 풀다,"forgive sb, let bygones be bygones, put/get sth out of your mind, forgive and forget, blank sth out"
마음이 굴뚝같다,마음이 굴뚝같다,"want desperately to do sth, would very much like to do sth, feel an irresistible impulse to do sth, be dying for [to do] sth"
마음이 돌아서다,마음이 돌아서다,One's mind turns away
마음이 통하다,마음이 통하다,understand each other
마음이 풀리다,마음이 풀리다,become cordial[genial]
맥이 풀리다,맥(이) 풀리다,"lose one´s energy[vigor],fall into low spirits,be dispirited,lose interest"
목숨을 걸다,목숨을 걸다,risk one's life[neck] (to)
목 빠지게 기다리다,목이 빠지게 기다리다,wait (for) sb[sth] for ages
못(을) 박다,못을 박다,drive a nail; stay firm and determined in someone’s decision
못(이) 박히다,못이 박히다,be deeply hurt
머리(가) 크다,머리(가) 크다,smart and pompous
머리(가) 세다,머리(가) 세다,One's head turns white; panicking
머리(를) 굴리다,머리를 굴리다,put one's brain to work
머리(를) 굽히다,머리(를) 굽히다,bend one's head; shows respect
머리(를) 긁다,머리를 긁다,scratch one's head; indicative of ignorance
머리(를) 맞대다,머리(를) 맞대다,put heads together; collaborate by sharing ideas
머리(를) 모으다,머리(를) 모으다,gather heads; collaborate by sharing ideas
머리(를) 식히다,머리(를) 식히다,cool down one's head
머리(를) 싸매다,머리를 싸매다,"do as hard as one can, do all the best one can, do earnestly"
머리(를) 쓰다,머리를 쓰다,use one's brain
머리가 (잘) 돌아가다,머리가 (잘) 돌아가다,smart and highly functional
머리가 복잡하다,머리가 복잡하다,feels complicated and perplexed
머리가 비다,머리가 비다,"stupid, lacking knowledge"
머리를 쥐어짜다,머리를 쥐어짜다,rack one´s brain(s); do the best one can to create ideas
머리를 짓누르다,머리를 짓누르다,press one's head; do the best one can to create ideas
머리에 맴돌다,머리에 맴돌다,hover around in one's head; obsessed with an idea
머리에 새겨 넣다,머리에 새겨 넣다,draw in one's head; unforgettable memory
머리에 쥐가 나다,머리에 쥐가 나다,get a cramp in one's head; thinks about something too much
머리에 피도 안 마르다,머리에 피도 안 마르다,childish; too young and inexperienced for something
머리 회전이 빠르다,머리 회전이 빠르다,One's head spins fast; smart; intelligent
모 아니면 도,모 아니면 도,either the best possible situation or the worst possible situation
문(을) 닫다,문을 닫다,close (up) 
바람(을) 넣다,바람을 넣다,sneakily persuades one to believe in something
바가지(를) 긁다,바가지를 긁다,nag (at)
바가지(를) 쓰다,바가지를 쓰다,"be [get] ripped off, pay through the nose (for sth)"
바가지(를) 씌우다,바가지를 씌우다,overcharge
부아가 나다,부아가 나다,lose one's temper
발목을 잡다,발목을 잡다,seize one's ankle
발을 구르다,발을 구르다,stamp one's foot
발(을) 끊다,발을 끊다,stop visiting
발(을) 들어놓을 자리 하나 없다,발(을) 들여놓을 자리 하나 없다,There is no space to set foot upon
발(을) 디디다,발(을) 디디다,step with one's foot
발(을) 디딜 틈이 없다,발(을) 디딜 틈이 없다,There is no gap to set one's foot in
발(을) 벗다,발(을) 벗다,take off one's feet
발(을) 붙일 곳이 없다.,발(을) 붙일 곳이 없다,have no place to attach one's foot
발(을) 뻗고/펴고 자다,발(을) 뻗고[펴고] 자다,sleep with one's feet stretched out[straightened out]
발(을) 뻗다/펴다,발(을) 뻗다[펴다],stretch[straightened out] one's feet
발(이) 길다,발이 길다,"(be lucky enough to) have chances to be treated, drop by while sb is eating and have a chance to share the food"
발(이) 넓다,발이 넓다,"have a wide circle of acquaintances, have a large support network (=know everyone, be a social butterfly)"
발(이) 뜨다,발(이) 뜨다,One's feet float
발(이) 묶이다,발이 묶이다,"be stranded, be shackled [fettered], be held back"
발(이) 빠르다,발이 빠르다,be fast to act
발 벗고 나서다,발 벗고 나서다,"set out actively, take a very active part in"
발을 달다,발을 달다,add a foot
발이 내키지 않다,발이 내키지 않다,feels reluctant to visit something
발이 닳다,발이 닳다,tirelessly visits some places
발이 떨어지지 않다,발이 떨어지지 않다,stay emotionally attached to some place
발이 뜸하다,발이 뜸하다,give a sparce foot; rarely visited
발이 손이 되도록 빌다,발이 손이 되도록 빌다,beg desperately to such an extent that one's feet become hands
발이 익다,발이 익다,One's feet are familiar with something
발에 잦다,발이 잦다,have a frequent foot; frequently visited
발이 저리다,발이 저리다,have a numb foot; feels pins and needles on foot
발에 불나도록 (뛰다),현장에서 발로 뛰다,work (hard) in the field
변죽을 울리다,변죽을 울리다,"beat around the bush, get away from the main point"
배가 아프다,배가 아프다,feels jealous of something
사랑이 식다.,사랑이 식다,fall out of love
삼천포로 빠지다.,삼천포로 빠지다,get distracted
사시나무 떨듯,사시나무 떨듯,"tremble like an aspen leaf,shiver,shudder"
속(을) 끓이다,속을 끓이다 ( 속이 끓다 ),"worry (one's head) about [over] sb/sth, be worried sick, be anxious [nervous] (about sth)"
속(을) 뽑다,속(을) 뽑다,"sound out,read mind"
속(을) 썩이다,속을 썩이다,"worry sb (about sb/sth), weigh heavily on sb's mind"
속(을) 차리다,속(을) 차리다,take one's inside
속(을) 태우다,속을 태우다,worry (oneself) (about)
속(이) 보이다,속(이) 보이다,"has clear motives, usually evil"
속(이) 살다,속살다,"inwardly defiant[uncowed]; have an in dependent mind; be internally resilient[unbowed, undaunted]."
속(이) 트이다,속이 트이다,"be liberal [openhearted, bighearted]"
속(이) 풀리다),속(이) 풀리다,One's inside is eased; feels relieved
속에 없는 말/소리,속에 없는 말[소리],remarks(words) that are not in one's inside
속을 달래다,속을 달래다,soothe one's stomach; console oneself
속이 끓다,속이 끓다,becomes furious 
속이 떨리다,속이 떨리다,becomes anxious
속이 시커멓다,속이 시커멓다,have a pitch-black inside; secretly evil
손(에) 익다,손에 익다,"be [get] accustomed (to sth), be [get] skilled (in/at sth), be an old hand (at sth), can do sth in one's sleep"
손(을) 걸다,선금[약조금]을 걸다,pay[advance] money
손(을) 끊다,손을 끊다,"break off relations (with sb/sth), sever [break] one's connections (with sb/sth), cease to deal (with sb/sth), clean up the relationship (with sb)"
손(을) 나누다,손을 나누다,divide work
손(을) 내밀다,손을 내밀다,hold[reach] out one´s hand; give a hand to someone
손(을) 넘기다,손(을) 넘기다,"miss an opportunity,lose one´s chance"
손(을) 떼다,손을 떼다[털다],take[dust] one's hands off
손(을) 뻗치다,손(을) 뻗치다,concern oneself in[with] (a matter)
손(을) 씻다,손을 씻다,wash one's hands; forget the past faults
손(이) 거칠다,손(이) 거칠다,"(be) light-fingered,be sticky-fingered,have thievish habits,be a kleptomaniac,have light fingers"
손(이) 뜨다,잡을손(이) 뜨다,"be lazy[slow, sluggish] in one´s work;(be) slow-handed"
손(이) 맑다,손(이) 맑다,"(be) stingy, miserly"
손(이) 맞다,손(이) 맞다,"be hand in glove,be in cahoots"
손(이) 비다,손(이) 비다,"have no work on hand,be available,be at leisure"
손(이) 서투르다,손(이) 서투르다,"be clumsy,have two left hands,be a poor hand (at) ,be all thumbs"
손(이) 저리다,손(이) 저리다,feels pins and needles on hands
손(이) 크다,손이 크다,"be a big spender, be extravagant"
손(이) 잠기다,손(이) 잠기다,"have one´s hands full,have one´s time fully engaged,be pressed with business,be busy,be engaged"
손에 땀을 쥐다,손에 땀을 쥐다,hold sweat in one's hands; nervous; anxious
손에 붙다,손에 붙다,have something attached to one's hands
손발이 잘 맞다,호흡이 잘 맞다,work in perfect harmony
손에 손(을) 잡다,손잡다,"hold hands, join hands, ally, collaborate"
손을 놓다,손을 놓다,"stop, halt, sit on one's hands"
손을 맞잡다,손을 맞잡다,take[hold] each other's hands; collaborate
손이 닳도록,손이 닳도록,to such an extent that one's hands wear out
숟가락을 올리다: 은근슬쩍 끼어들어 이득을 보려고,끼어들다,cut in (on); takes credit without actually doing anything
시치미를 떼다,시치미를 떼다,feign ignorance
양날의 검,양날의 검이다,be a double-edged sword
어금니를 악물다,어금니를 악물다,clench one's molar
얼굴에 똥칠(먹칠)을 하다.,얼굴에 똥칠[먹칠]을 하다,"disgrace oneself,fall into disgrace,bring disgrace on (one) ,sully one´s reputation"
얼굴이 두껍다,얼굴이 두껍다,be brazen(-faced)[barefaced]
오지랖이 넓다,오지랖이 넓다,be nosy
이상도 이하도 아니다,이상도 이하도 아니다,neither better nor worse; exactly of the same quality
입술을 깨물다,입술을 깨물다,bite one's lips
입(을) 다물다,입을 다물다,shut one's mouth
입(을) 막다,입을 막다,cover one´s mouth
입(을) 맞추다,입을 맞추다,kiss
입(을) 모으다,입(을) 모으다,gather mouths
입만 살다,입만 살다,Talk about something in a plausible way but never puts into action
입 안의 소리,입 안에 침이 고이다,"salivate, feels hungry"
입에 거미줄을 치다,입에 거미줄 치다,starve
입에 담다,입에 담다,speaks of something
입에 자물쇠를 채우다,입에 자물쇠를 채우다,lock one's mouth; be quiet
입에 붙다,입에 붙다,stick to one's mouth
입에 침 바른 소리,입술에 침 바른 소리,"a remark made with one's lips moistened with saliva, lip service"
입에 풀칠하다,입에 풀칠하다,stay poor to make ends meet
입이 되다,입이 되다,"be a gourmet,be fastidious (about food),have a dainty palate"
입이 밭다/짧다,입짧다,"have a small appetite, eat like a bird."
입이 천 근 같다,입의 천 근 같다,keeps secret very well
주리를 틀다,주리를 틀다,twist sb's legs (as a punishment)
죽어도,죽어도,absolutely never
죽이 되든 밥이 되든,죽이 되든 밥이 되든,"whether sb sinks or swims, whether sb succeeds or fails, regardless of the result"
줄(을) 대다,줄(을) 대다,"go on, keep running[flowing] without interruption,keep on"
줄(이) 풀리다,이 줄의 맨 끝 집,the last house on this side
줄로 찬/그은 듯이,줄로 친[그은] 듯이,as if a rope is stretched[a line is drawn]
침 발라 놓다,침 발라 놓다,expresses the possession of something
침이 마르다,침이 마르다,speaks fond of something/someone excessively
척을 지다,척을 지다,Ruin or end a relationship with someone
첫발을 내딛다,사회에 첫발을 내딛다,take the first step into the society
청사진을 그리다,청사진을 그리다 Web collection,draw a blueprint
총대를 메다,총대를 메다,"take the lead, take [undertake] responsibility (for sth), carry the ball"
코가 납작해지다,코가 납작해지다,To be put to shame or cast down.
코 묻은 돈,코 묻은 돈,a child´s pocket money
콩 심은데 콩 나고 팥 심은데 팥난다,콩 심은 데 콩 나고 팥 심은 데 팥 난다,"As one sows, so shall he reap. or Every herring must hang by its own gill. or Garbage in, garbage out. or An onion will not produce a rose."
콩을 심다,콩을 심다,sow beans (in the field)
콩 튀듯,콩 튀듯 팥 튀듯 하다,"be hopping mad, jump up with anger"
토(를) 달다,토를 달다,talk back; tries to justify oneself’s fault
폭풍전야,폭풍전야,calm before the storm; feeling that something big is about to happen
피(가) 끓다,피(가) 끓다,have one's blood boil
피(를) 토하다,피를 토하다,"vomit[spit, cough up] blood"
피가 거꾸로 솟다/돌다,피가 거꾸로 솟다[돌다],feels a rush of emotions
피가 되고 살이 되다,피가 되고 살이 되다,become one's very blood and flesh; becomes something highly important to someone
피가 마르다,피가 마르다,"be a bag [bundle] of nerves, be extremely distressed"
피도 눈물도 없다,피도 눈물도 없다,ruthless
피로 물들이다,피로 물들이다,massacre; genocide; cause mass deaths
피를 마시다,피를 마시다 Web collection,drink blood
피를 말리다,피를 말리다,"be killing, be tormenting, be torturous"
피를 받다,피를 받다,receive someone's blood
피를 보다,피를 보다,does violent things
피를 부르다,피를 부르다,calls for violence
피를 빨다,피를 빨다,suck up blood
피를 흘리다,피를 흘리다,spill[shed] blood; injured
피에 굶주리다,피에 굶주리다,lust after human blood; desire to murder
풀(이) 죽다,풀이 죽다,"lose (its) starch, get limp"
한 획을 긋다,역사에 한 획을 긋다,go down in history
허파에 바람이 들다,허파에 바람이 들다,"be giggly; be easily tempted to laugh,"
혀를 내두르다,혀를 내두르다,be astonished
호박씨를 까다,호박씨(를) 까다,"pretends to be acceptable in front of people, but entirely different behind their back"
