idiom,meaning
귓전으로 듣다,to half-way listen to someone
귀신도 모른다,no one knows
귀신이 들리다,be possessed by a ghost of evil spirit
귀신이 씌다,be possessed by a ghost
그릇 깨겠다,"not well-behaved, quiet, or gentle"
금을 놓다,name a price; make an offer
금을 닿다,reach a buying or selling price
금을 맞추다,set prices based on the price of similar items
금을 보다,to ask the price
금을 치다,predict the future of a person or object
금을 긋다,set limits or boundries
꼬집어 말하다,speak clearly and pointedly
꼬리가 길다,used when someone forgets to close a door.
꼬리를 감추다,hide oneself
꼬리를 달다,attach a condition to something
꼬리를 물다,continue one after another
꼬리를 밟히다,give a clue to police
꼬리를 사리다,to shrink from danger
꼬리를 잇다,continue one after another
꼬리를 잡다,discover the hidden mistakes of another
꼬리를 치다,flatter or butter up a person
꼬리를 흔들다,a girl tries to seduce or entice a man
끝 간 데 없다,no end is in sight
낌새를 보다,sense something about a situation
나이가 들다,to be quite old
나이가 아깝다,act childish for one's age
나이가 차다,be ripe for marriage
나이를 먹다,grow older
날을 받다,"fix a date, usually a wedding date"
날을 잡다,fix a date
날이 들다,skies clear after a snow or rain
날이면 날마다,everyday
날이 새다,daybreak
날개가 돋치다,one's spirit soars
날밤,a night one stays up all night
날밤을 새우다,stay up all night
날벼락,an unexpected disaster
날벼락을 맞다,meet unexpected misfortune
날품을 팔다,work for wages as a day laborer
남 좋은 일을 하다,do all the work and get none of the reward
남대문이 열리다,to tell the fly of one's pants is open
남의달을 잡다,be a month late in childbirth
납덩이 같다,look pale in the face
낮잠을 자다,be lazy
낯을 못 들다,be ashamed of oneself
낯이 깎이다,lose one's dignity
너을 볼 낯이 없다,I am too ashamed to face you.
낯가죽이 두껍다,be brazen-faced
내일모레 동동,keep putting off returning something that was borrowed
냄새를 맡다,suspect someone is hiding something
냉수 먹고 속 차려라,stop dreaming
너구리 같다,"a sly, deceitful person"
너 죽고 나 죽자,Let's fight to the death.
넉살이 좋다,be brazen-faced; be impudent
넋을 놓다,to lose oneself in something
넋을 잃다,become captivated
넋이 나가다,be absent-minded or in a daze
넌더리,disgust; aversion
넌더리가 나다,be fed up with; be bored with
넌더리를 대다,weary a person with requests
네발을 들다,give up
네발을 타다,be allergic to red meat
네활개를 치다,walk with a swaggering gait
노여움을 사다,provoke a person to anger
노여움을 타다,be easily hurt
노여움을 풀다,relent towards a person
녹을 먹다,receive a stipend
놀부 심사,wickedness; ill-naturedness
눈도 깜짝 안 한다,to not bat an eyelid
눈뜨고 볼 수 없다,disgusting; shocking
눈먼 돈,receive money unexpectedly
눈밖에 나다,to be out of favor with someone
눈알이 나오다,eye pop out at some sight
눈에 거슬리다,to be an eyesore
눈에 넣어도 아프지 않다,be the apple of one's eye
눈에 들다,to be in a person's favor
눈에 띄다,to come in sight
눈에 밟히다,to haunt one's memory
눈에 불을 켜다,to be angry
눈에 불이 나다,to become very angry
눈에서 번개가 번쩍 나다,see stars when struck on the head
눈에 선하다,live vividly in one's memory
눈에 설다,to be unfamilar to you
눈에 쌍심지를 켜다,to look with glaring eyes
눈에 어리다,to have a vivid image of
눈에 익다,to be used to seeing
눈에 차다,to look at something with satisfaction
눈에 헛거미가 잡히다,to have your eyes get fuzzy from hunger
눈에 흙이 들어가다,to die
눈썰미가 있다,to have a quick eye for learning things
눈을 끌다,to attract one's attention
눈을 돌리다,to turn one's attention to
눈을 딱 감다,to stop worrying about something
눈을 떼다,to take one's eyes off of something
눈을 맞추다,to make eye contact with someone
눈을 부라리다,to look fiercely at
눈을 붙이다,to fall asleep
눈을 속이다,to trick someone with slight of hand
눈을 의심하다,to watch in disbelief.
눈을 주다,to signal someone with one's eyes
눈을 피하다,to avoid another's observation
눈을 흘기다,to look at someone sideways
눈이 가다,to have one's eyes drawn to smth
눈이 깜짝할 사이,happen in the blink of an eye
눈이 꺼지다,to be hallow-eyed
눈이 높다,to have high ambitions
눈이 뒤집히다,to run wild
눈이 등잔만하다,to look with round-eyed wonder
눈이 맞다,fall in love
눈이 미치는 한,as far as the eye can see
눈이 빠지게 기다리다,to wait anxiously
눈이 삐었지?,Is something wrong with eyes judgment?
눈이 어둡다,to have bad eyesight
눈이 흐리다,to have bleared dim eye
눈곱만하다,be insignificantly small
눈길을 끌다,attract a person's visual attention
눈길을 모으다,attract a crowd's visual attention
눈꼴이 시다,hate to see
눈꼴이 틀리다,hate to see
눈물을 삼키다,choke back tears
눈물을 짜다,be tearfully sentimental
눈물이 어리다,tears gather in the eyes
눈물이 앞을 가리다,be blinded by one's tears
눈물이 지다,tears flow
눈썹도 까딱하지 않다,to remain unperturbed
눈알을 부라리다,google at; glare at
눈알이 나오다,one's eyes pop out in surprise
눈자위가 꺼지다,to die
눈총을 주다,glare at; scowl
눈총을 맞다,make oneself hated
눈치가 보이다,to show signs off
눈치를 보다,try to sense person's feelings
눈치를 보이다,betray one's feeling in one's look
눈치를 채다,become aware of; sense
눈치코치도 모른다,be clueless to what smn is doing or thinking
눈코 뜰 새 없다,be very busy
눈표가 나다,to stand out
다리를 뻗고 자다,to live one's life with a clean conscience
다리를 놓다,to act as an intermediary
달이 차다,be ready to give birth
대어를 낚다,recruit a skilled person
대어를 놓치다,narrowly miss a great opportunity
도미를 장식하다,to put forth one's crowning effort
돈을 걸다,bet with money
돈을 굴리다,lend out money for interest
돈을 만지다,manage money
돈을 먹다,take a bribe
돈을 먹이다,give a bribe
돈을 물쓰듯 하다,spend money like water
돈을 뿌리다,spend carelessly or freely
돈을 치다,pitch coins
등을 대다,to rely on someone else's power
등을 돌리다,to turn one's back on someone
땀을 빼다,to sweat a difficult situation
땀으로 미역을 감다,to be soaking in sweat
땀을 들이다,to take a rest and cool off
땀이 비 오듯 하다,to be dripping with sweat
마음에 두다,bare in mind
마음에 들다,to like something
마음에 새기다,take to heart
마음에 짚이다,to suspect
마음은 굴뚝 같다,be eager to
망음을 고쳐먹다,turn over a new leaf
마음을 놓다,put one's mind at ease
마음을 먹다,make up one's mind
마음을 붙이다,resolve to do something
마음을 사다,have an interest in
마음을 쓰다,pay attention to
마음을 열다,open up and speak freely to someone
마음을 잡다,get a grip on oneself
마음을 졸이다,be anxious about
마음이 끌리다,be attracted by
마음이 내키다,feel inclined to do
마음이 달다,be very worried about
마음이 든든하다,feel secure
마음이 들뜨다,be in a buoyant spirit
마음이 맞다,get along well with
망음이 쓰이다,be worried about
마음이 죄이다,feel uneasy about
마음이 커지다,be emboldened
말도 마라,that does not even begin to describe it
말을 내다,broach a subject
말을 놓다,change from polite to a lower form of speech
말을 더듬다,stammer; falter
말을 듣다,act in accordance with someone's request
말을 못 하다,be beyond words or explanation
말을 삼키다,begin to speak but stop
말이 굳다,have a speech impediment
말이 나다,to be rumored
말이 되다,be reasonable; be logical
말이 떨어지다,a consent or command is spoken
말이 뜨다,be slow-spoken
말이 많다,be talkative
말이 새다,a secret leaks out
말이 아니다,be absurd; ridiculous
말이 안 되다,be unreasonable
말이 적다,be taciturn
맞불을 놓다,set a backfire
머리 하다,do one's hair
머리가 가볍다,to feel refreshed and light
머리가 굳다,to be dimwitted
머리가 굵다,to become an adult
머리가 돌다,to go insane
머리가 돌아가다,to be a quick thinker
머리가 무겁다,to be in a bad mood
머리가 수그러지다,to admire someone
머리가 젖다,to be influenced by
머리가 크다,to become an adult
머리를 굽히다,to surrender
머리를 깎다,to become a monk
머리를 내밀다,to make one's existence known
머리를 들다,a thought enters one's mind
머리를 모으다,to brainstorm
머리를 숙이다,to show admiration for someone
머리를 식히다,to cool off
머리를 싸매고,to commit to something
머리를 썩이다,to worry about
머리를 쓰다,to view a matter from every angle
머리를 얹다,to get married
머리를 짜다,to rack one's brains
머리를 풀다,to mourn the death of a loved one
머리를 흔들다,to refuse; to deny
머리에 들어가다,to understand or remember something
목에 핏대를 세우다,to get angry or excited
목에 힘을 주다,to act arrogant
목을 걸다,to risk one's neck or job
목을 베다,to be fired
목을 자르다,to be fired
목을 축이다,to quench one's thirst
목이 곧다,to be stubborn
목이 달아나다,to be fired
목이 떨어지다,to be fired
목이 메어 울다,to be choked with tears
목이 붙어 있다,to still be alive or employed
목이 빠지도록 기다리다,to wait anxiously for someone
목이 잠기다,to become hoarse
목이 타다,to feel very thirsty
몸과 마음을 다 바치다,put heart and soul into work
몸 둘 바를 모르다,not know how to conduct oneself
몸에 배다,get used to something
몸을 가지다,be pregnant
몸을 더럽히다,lose one's virginity to a man
몸을 던지다,throw oneself into a river
몸을 두다,to live in a certain place
몸을 망치다,injure one's health
몸을 받다,have an inferior do a task in one's place
몸을 바치다,to sacrifice one's life for a cause
몸을 버리다,hurt one's health
몸을 붙이다,to live in a certain place
몸을 사리다,avoid exerting too much physical effort in a job
몸을 쓰다,be physically active
몸을 아끼다,avoid work or hardship
몸을 주다,give one's body to a man
몸을 팔다,work as a prostitute
몸을 풀다,relieve stress and fatique
몸을 허락하다,give one's body to a man
몸이 달다,be anxious and nervous
몸이 부서지도록 일하다,work oneself to the bone
무릎 을 꿇다,to submit or surrender
무릎을 치다,to slap one's knee in surprise
물꼬를 트다,seek a compromise
물 끓듯 하다,a bustling crowd
물 뿌린 듯이,a crowd that suddenly goes silent
물 얻은 고기,regaining the advantage of being on one's home turf
물에 빠진 생쥐,be dripping wet and as pitiful looking as a wet rat
물 위의 기름,be as incompatiable
물을 끼얹은 듯,a noisy crowd that suddenly goes silent
물을 잡다,cause water to build up as in a rice paddy
물이 잡히다,a blister forms on one's skin
물 찬 제비,"a slim, good-looking figure"
밑거름이 되다,make a sacrifice of oneself for
바가지를 긁다,to nag
바가지를 쓰다,to be overcharged
바가지를 씌우다,to overcharge someone
바가지를 차다,to fall into poverty
바람을 넣다,incite a person to action
바람을 맞다,be stood up for a date
바람을 맞히다,snub someone
바람을 쐬다,go outside for some fresh air
바람을 잡다,indulge in dreams of fancy
바람을 켜다,take to living the fast life
바람을 피우다,to be unfaithful
바람이 끼다,get a yearning for romance
바람이 나가다,to wane
바람이 나다,have a love affair
바람이 들다,be filled with wild ideas
바람이 들리다,put wild ideas into a person's head
바람이 자다,to calm down from an excited state
발 디딜 틈도 없다,to be crowded with people
발에 채다,to be scattered in abundance at one's feet
발을 구르다,stamp one's feet with annoyance
발을 끊다,to end relations with someone
발을 벗고 나서다,to actively participate in something
발을 벗다,to take off one's shoes or socks
발을 빼다,to wash one's hands of an affair
발을 뻗고 자다,to feel peace of mind
발이 길다,to arrive just in time for a treat
발이 너르다,to get around
발이 넓다,to know a lot of people
발이 떨어지지 않다,unable to leave because of an attraction for the place or people
발이 맞다,to be in step
발이 묶이다,be stranded without transport
발이 손이 되도록 빌다,to beg imploringly
발이 짧다,to come too late for a treat
발목을 잡히다,to be busy with work
발바닥,the sole of the foot
발바닥에 흙 안 묻히고 살다,live a quiet and comfortable life
배가 맞다,to conspire with
배가 아프다,to feel intense jealousy
배를 내밀다,to reject a person's offer
배를 따다,to cut open a fish's belly
배를 불리다,enrich oneself
배를 앓다,to feel intense jealousy
배를 채우다,satisfy one's appetite for material goods
배를 튕기다,brazenly ignore requests
배에 기름이 오르다,to be materially secure in life
배꼽을 빼다,to laugh very hard
배꼽을 쥐다,to burst out laughing
배꼽이 빠지도록 웃다,laugh oneself into convulsions
배꼽이 웃다,"to be ridiculous, childish"
볼이 붓다,to show an angry expression
비위가 당기다,be fascinated with
비위가 사납다,be displeased
비위가 상하다,be disgusted at
비위가 좋다,be impudent
비위가 틀리다,be in an ugly mood
비위를 거스르다,hurt a person's feelings
비위를 건드리다,give offense to
비위를 맞추다,butter up a person
비위에 거슬리다,get on a person's nerves
뼈도 못 추리다,to boast
뼈를 깎다,feel unbearable pain about smth
뼈만 남다,to be skin and bones
뼈만 앙상하다,to be skin and bones
뼈에 사무치다,to have a buring pain
살로 가다,What one eats goes to fat.
살을 붙이다,"give body or shape to something, like a novel or a sculpture"
살을 섞다,live a married life
살을 에다,"pain, sadness, or hardship as from the cold so intense"
살이 깊다,have thick skin
살이 내리다,lose weight
살이 빠지다,lose weight
살이 오르다,put on weight
살이 붙다,put on weight
삼추,three years
삼추 같다,feels like waiting a long time
새빨간 거짓말,a downright lie
속을 긁다,offend a person
속을 끓이다,be frustrated
속을 떠보다,guess a person's mind or feelings
속을 뽑다,sound out a person's views
속을 썩이다,be bothered by a bad outcome or situation
속을 주다,take a person into one's confidence
속을 차리다,behave responsibly
속을 태우다,worry oneself about
속이 달다,be anxious or eager
속이 뒤집히다,feel nauseous
속이 보이다,be transparent
속이 살다,"look calm on the outside, but be defiant on the inside"
속이 상하다,be distressed
속이 시원하다,a refreshing feeling
속이 썩다,be very troubled
속이 앉다,the inside of cabbage develops
속이 타다,be distressed about
속이 트이다,be broadminded and open
속이 풀리다,to calm down after being angry
손에 걸리다,to catch with one's hand
손에 넣다,to gain possession of
손에 달리다,an outcome rests in someone else's hands
손에 땀을 쥐다,to be in breathless suspense
손에 떨어지다,to have power fall in one's hands
손에 붙다,to get good at something
손에 익다,to get used to doing something
손에 잡히지 않다,be in no mood to work
손에 쥐다,to gain possession of something
손을 거치다,to go through an intermediary
손을 끊다,cease to deal with
손을 나누다,to seperate from someone
손을 내밀다,to ask to receive something
손을 넘기다,miscalculate
손을 떼다,to quit a job
손을 멈추다,to pause in one's work
손을 붙이다,set one's hand to
손을 벌리다,to irritatingly demand something like money
손을 보다,show one's anger by using violence against someone
손이 비다,have no work to do
손을 빌리다,ask for help on a job
손을 빼다,to quit a job before it is finished
손을 뻗치다,to try a new line of work
손을 씻다,to disassociate oneself from some questionable act or job
손을 젓다,to turn down a request
손을 주다,use a stake to support a plant
손을 타다,have one's rice stolen little by little
손을 털다,to lose all of one's investiment
손이 거칠다,to be inclined to steal
손이 곱다,have numb hands fingers
손이 나다,to get a short break from work
손이 놀다,to be at leisure
손이 달리다,be short-handed
손이 떨어지다,to be finished with a job
손이 뜨다,to be a slow worker
손이 많이 가다,be troublesome
손이 맑다,be stingy
손이 맞다,be in cahoots with someone
손이 맵다,to have a stinging hand when hitting someone
손이 모자라다,be short-handed
손이 부족하다,be undermanned
손이 서투르다,unskillful
손이 설다,unskillful
손이 싸다,to be quick-handed
손이 미치다,to be within one's power
손이 작다,to have few options
손이 잠기다,be busy
손이 크다,generous
손목을 잡고 말리다,to stop someone from doing something
손톱도 안 들어가다,to be firm and stingy
손톱만큼도,not even the the slightest ...
손톱 여물을 썬다,to deal with a difficult situation on one's own
손톱을 튀기다,to not work and only seek to enjoy oneself
손톱 하나 까딱하지 않는다,to not lift a finger to help with work
터를 다지다,make a foundation strong
시험대에 오르다,be the first test subject
씨가 안 먹힌다,an irrational statement
심장이 강하다,to be strong-willed
심장이 약하다,to be timid
어깨가 가벼워지다,be relieved of one's burden responsibility
어깨가 무겁다,bear a heavy responsibility
어깨가 움츠러들다,to shrink back in shame
어깨가 으쓱거리다,to feel righteous and proud
어깨가 처지다,one's shoulders drop
어깨로 숨을 쉬다,breathe hard; pant
어깨를 겨루다,rank with another
어깨를 나란히 하다,stay side by side
어깨를 으쓱거리다,square one's shoulders
어깨를 짓누르다,to feel pressure from duty
어깨를 겨누다,rank with another
얼굴에 먹칠을 하다,shame a person
얼굴에 철판을 깔다,be brazen-faced
얼굴을 고치다,fix one's makeup
얼굴을 깎다,shame a person
얼굴에 똥칠을 하다,shame a person
얼굴을 붉히다,to turn red in the face
얼굴을 하다,to show facial expression
얼굴이 깍이다,lose face
얼굴이 두껍다,bold self-assurance
얼굴이 뜨겁다,to feel embarrassment
얼굴이 반반하다,have regular facial features
얼굴이 반쪽이 되다,look very haggard from pain
어굴이 서다,save one's face
얼굴을 내밀다,make an appearance
얼굴이 피다,"have a full, healthy-looking face"
엉덩이,the buttocks
얼굴이 팔리다,become famous or well-known
엉덩방아 를 찧다,to fall on one's butt
엉덩이가 근질근질하다,be restless; fidgety
엉덩이가 가볍다,change jobs frequently
엉덩이를 붙이다,to sit down
외기러기,a wild goose without a mate
외기러기 짝사랑,the one-sided love of a lonely goose used to tease someone who is in love with someone who does not feel the same way
응석을 받다,be indulgent to one's child
이가 갈리다,get angry about smth
엉덩이가 무겁다,be lazy
이가 빠지다,a piece chips off the edge of a dish
이를 갈다,lose one's baby teeth
이를 악물다,clench one's teeth with determination
이가 맞다,to be a perfect fit
입만 살다,be bold in word only
입만 아프다,to talk in vain
입 밖에 내다,speak of
입에 담다,speak of
입에 대다,taste; touch
입에 맞는 떡,an agreeable food or thing
입에 거미줄 치다,lose one's means of living
입에 발린 소리,lip service
입에서 신물이 난다,be fed up with
입에서 젖내가 난다,be babyish
입에 오르내리다,be the talk of the town
입에 오르다,be the talk of the town
입에 올리다,speak of
입에 침이 마르도록,speak highly of someone
입에 풀칠을 하다,make one's living
입에 맞다,suit one's taste
입을 다물다,keep silent
입을 딱 벌리다,one's mouth drops in shock
입을 떼다,begin to talk
입을 놀리다,talk at random
입을 맞추다,kiss
입을 모으다,a group of people all speak with one voice
입을 씻기다,pay hush money
입을 막다,silence a person
입을 열다,disclose a secret
입이 가볍다,be loose-lipped
입을 씻다,feign innocence
입이 고급이다,be a discriminating eater
입이 궁금하다,desire to eat something
입이 근질근질하다,be anxious to tell people about something you know
입이 걸다,be foulmouthed
입이 더럽다,be abusive
입이 닳도록,over and over again
입이 되다,try to eat only good-tasting food
입이 뜨다,be silent or taciturn
입이 많다,have a big family to feed
입이 무겁다,be tight-lipped
입이 떨어지다,to talk usually used with negative verbs and adverbs
입이 빠르다,one who spreads rumors
입이 벌어지다,be in openmouthed amazement
입이 싸다,be talkative
입이 쓰다,"be bitter, displeased"
입이 짧다,have a small appetite
입이 바르다,be frank
젖 떨어진 강아지 같다,fret or whine
젖 먹던 힘이 다 든다,to require a great deal of effort
젖을 떼다,to wean a child
정신이 나가다,be upset
정신이 나다,regain one's reasoning abilities
정신이 들다,regain consciousness
정신이 없다,be very busy
정신을 잃다,be stunned by the news
정신을 차리다,come to one's senses
정신이 팔리다,be absorbed in
진땀을 빼다,have a hard time with
침을 삼키다,"to crave food"
침을 흘리다,"to crave food"
카인의 후예,a cursed group
칼을 맞다,be attacked with a knife
칼을 품다,harbor murderous intentions
칼을 쓰다,wear a cangue
칼자루를 잡다,have the final say
칼자루를 쥐다,have the final say
칼침을 맞다,be stabbed
코가 꿰이다,be restricted by smth or smn
코가 납작해지다,lose one's nerve
코가 높다,to act proud
코가 빠지다,to lose one's nerve or spirit
코가 삐뚤어지게 마시다,drink until one is very drunk
코가 세다,ignore what others say
코를 골다,to snore
코를 맞대다,to be nose-to-nose with smn
코를 찌르다,to be offensive to one's nose
코를 풀다,to blow one's nose
코 먹은 소리,to nazalize
코에 걸다,to brag about something
코앞에 닥치다,be close at hand
코침을 주다,tickle a person's nose
코허리가 시다,be almost moved to tears
코허리가 시큼하다,be almost moved to tears
콧무멍만하다,a very small hole or something with a very small width
콧김이 세다,to have a strong influence on others
콧대가 높다,put on airs
콧대가 세다,ignore what others say
콧대를 꺾다,knock a person down a peg
콧대를 세우다,act arrogant and conceited
콩가루 집안이다,a family troubled by domestic violence
콩가루가 되다,be destroyed and turned to dust
콩나물 시루 같다,be packed like sardines
콩노굿 일다,the flower of a bean blooms
콩밥을 먹다,serve time in jail or prison
콩밥을 먹이다,send a person to jail
쾌재를 부르다,shout with joy
큰 마음 먹다,be generous
큰문을 잡다,usher a distinguished guest in and out the door
큰물이 지다,have a flood
큰불을 놓다,set a big fire
큰상을 받다,be honored with a feast
타월을 던지다,throw in the towel
탈을 벗다,to reveal one's true self
탈을 쓰다,to pretend to be someone one is not
탯줄 잡듯 하다,hold very tight
터가 세다,the site of a home is unlucky
터를 닦다,level out a foundation
통이 크다,generous; broad-minded
통이 작다,be a person of small caliber
통신의 자유,freedom of the press
트집을 잡다,make a false charge
트집이 나다,cause trouble
틀에 맞추다,shape to fit a certain mold
틀에 박히다,be stereotyped
틀이 잡히다,materialize
티를 뜯다,needlessly find fault
티를 보다,look for a flaw in smth
파리를 날리다,be in a business slump so bad that the owner spends all day just shooing away flies
파리 발 드리다,to plead with someone while rubbing one's hands together as flies often do
팔을 걷고 나서다,to enthusiastically take on a job
팔자,fate; destiny
팔자가 늘어지다,be blessed with good fortune
팔자가 사납다,be unlucky
팔자가 세다,be unlucky
팔자가 좋다,be lucky
팔자를 고치다,suddenly become rich
팔자에 없다,luxury or excess that seems out of place with one's status
피가 거꾸로 솟다,be so excited one's blood rushes to one's head
피가 마르다,be very distressed or anxious
피가 켕기다,feel an affinity with a blood relative
피가 통하다,be connected by human compassion or emotion
피가 끓다,one's blood boils
피 나다,experience great hardship
피는 물보다 진하다,Blood is thicker than water
피도 눈물도 없다,be cold-blooded
피로 피를 씻다,have a quarrel with a blood relative
피를 나누다,be blood-related
피를 말리다,curdle the blood
피를 받다,to inherit physical or personality traits from one's parents or ancestors
피를 보다,to suffer a great lose
피를 빨다,to exploit
피에 주리다,be bloodthirsty
하늘은 스스로 돕는 자를 돕는다,Heaven helps those who help themselves
하늘 높은 줄 모르고 오르다,prices soar sky high
하늘에 맡기다,entrust to Providence
하늘을 지붕 삼다,live outdoors
하늘을 찌르다,full of spirit or vigor
하늘이 노랗다,be weak or full of despire
하늘이 두 쪽이 나도,determine to succeed no matter what the obstacles
허리,waist
허리가 꼿꼿하다,be unusually fit for one's age
허리가 부러지다,a difficult to manage situation
허리가 휘다,be physically challenged by excessive labor or life's hardships
허리를 굽히다,bow; show humility
허리를 못 펴다,be intimidated by someone
허리를 잡다,to fall over laughing
허리를 쥐고 웃다,to fall over laughing
허리를 펴다,overcome economic hardships
혀가 꼬부라지다,be tongue-tied
혀가 잘 안 돌아가다,to be uneloguent in speech
혀가 잘 돌아가다,have a glib tongue
혀가 짧다,to stutter
혀를 굴리다,make a slip of the tongue
혀를 내두르다,to be dumbstruck
혀를 내밀다,make fun of someone behind their back
혀를 놀리다,make a slip of the tongue
혀를 차다,click one's tongue
형장의 이슬로 사라지다,die on the scaffolds
흠빨며 깜빨다,suck up food or drink greedily
흥에 띄다,be excited and restless
흥정,bargaining; haggling
흥정을 붙이다,act as a middleman between buyers and sellers
흰 눈으로 보다,look sideways at someone
희기가 까치 뱃바닥 같다,be an inflated braggart
희고 곰팡 슨 소리,"arrogant, trite talk"
희색,a joyful look
희색이 만면하다,be all smiles
흰소리,vain empty boast
흰소리를 치다,talk through one's hat
흰죽에 고춧가루,be out of character
흰죽에 코,unable to distinguish the good from the bad
힘에 부치다,be beyond one's power
