idiom,meaning,source_model,source_sentence,translation,afl,correctness
,,palm,"In the company, he's [[the big cheese]] and everyone respects him",בחברה הוא הגדול והכל מכבדים אותו,f,0
,,palm,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds",בפסטיבל הגבינות הוצגה הגבינה הגדולה במשקל של מעל 100 קילוגרם,l,0
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",nllb,he bit off more than he could chew,הוא נשך יותר ממה שהוא יכול ללעוס.,l,
,,nllb,"By accepting too many projects at once, [[he bit off more than he could chew]]","על ידי קבלת יותר מדי פרויקטים בבת אחת, הוא נשך יותר ממה שהוא יכול ללעוס",l,2
,,nllb,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,הוא נשך יותר ממה שהוא יכול ללעוס כשהוא ניסה לאכול את כל הכריך בביס אחד,l,0
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",palm,he bit off more than he could chew,הוא לקח על עצמו יותר ממה שהוא יכול לעמוד בו,f,
,,palm,"By accepting too many projects at once, [[he bit off more than he could chew]]",קבלת יותר מדי פרויקטים בבת אחת הוא נטל על עצמו יותר ממה שהוא יכול לעמוד בו,f,1
,,palm,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,הוא לקח על עצמו יותר ממה שהוא יכול לעכל כאשר ניסה לאכול את כל הסנדוויץ' בבת אחת,f,1
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",gpt,he bit off more than he could chew,הוא לקח יותר ממה שהוא יכול לפעול עםו.,f,
,,gpt,"By accepting too many projects at once, [[he bit off more than he could chew]]","על ידי קבלת מספר פרויקטים יותר מידי בו זמנית, הוא נכנס למצב של לקחת יותר ממה שהוא יכול לפעול בו.",f,1
,,gpt,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,הוא לקח יותר ממה שהוא יכול לגרום לו לקחת כל הסנדוויץ' בפה אחד.,f,2
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",opus,he bit off more than he could chew,הוא נשך יותר ממה שהוא יכול ללעוס.,l,
,,opus,"By accepting too many projects at once, [[he bit off more than he could chew]]","על ידי קבלת פרויקטים רבים מדי בבת אחת, הוא נשך את יותר ממה שהוא יכול ללעוס",l,2
,,opus,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,הוא נשך יותר ממה שיכל ללעוס כשהוא ניסה לאכול את כל הכריך בנשיכה אחת.,l,0
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,nllb,blow his own horn,תנשוף בתפקיד שלו.,x,
,,nllb,He never hesitates to [[blow his own horn]] about his accomplishments,הוא אף פעם לא מהסס להלחין את עצמו על הישגיו.,x,2
,,nllb,"As a trumpet player, he would [[blow his own horn]] during practice","בתור מנגן חצוצרה, הוא היה מצלצל בעצמו במהלך האימון",l,2
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,opus,blow his own horn,תנשוף בקרן שלו.,l,
,,opus,He never hesitates to [[blow his own horn]] about his accomplishments,הוא אף פעם לא מהסס לנשוף בשופר שלו על הישגיו,l,2
,,opus,"As a trumpet player, he would [[blow his own horn]] during practice","כנגן חצוצרה, הוא היה צופר בעצמו במהלך האימון.",l,2
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,gpt,blow his own horn,לתזמן את החצוצרה שלו,l,
,,gpt,He never hesitates to [[blow his own horn]] about his accomplishments,הוא לעולם לא מתלבט להתגאות בהישגיו.,f,0
,,gpt,"As a trumpet player, he would [[blow his own horn]] during practice","כשחן בחצוצרה, הוא היה מפזר על עצמו במהלך התרגול.",x,2
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,palm,blow his own horn,לטפוח לעצמו על השכם,f,
,,palm,He never hesitates to [[blow his own horn]] about his accomplishments,הוא אף פעם לא מהסס להתפאר בהישגיו,f,0
,,palm,"As a trumpet player, he would [[blow his own horn]] during practice",כנצרן הוא היה מנגן בחצוצרה שלו במהלך האימונים,l,1
blow your own trumpet,to say things that makes your own self or kin look good,gpt,blowing his own trumpet,מנגן על חצוצרת עצמו,x,
,,gpt,He was always [[blowing his own trumpet]] about his accomplishments,הוא תמיד מתפאר בהישגיו.,f,0
,,gpt,"During the parade, he was [[blowing his own trumpet]] as part of the marching band","במהלך הפרייד, הוא נפח את החצוצר שלו כחלק מהלהקה המצעדת.",l,1
blow your own trumpet,to say things that makes your own self or kin look good,palm,blowing his own trumpet,פומפוני,x,
,,palm,He was always [[blowing his own trumpet]] about his accomplishments,הוא תמיד התרברב בהישגיו,f,0
,,palm,"During the parade, he was [[blowing his own trumpet]] as part of the marching band",במהלך המצעד הוא ניגן בחצוצרה שלו כחלק מהתזמורת המצעדת,l,1
blow your own trumpet,to say things that makes your own self or kin look good,nllb,blowing his own trumpet,מנגן בצופר שלו,l,
,,nllb,He was always [[blowing his own trumpet]] about his accomplishments,הוא תמיד היה מלהיב על הישגיו.,f,1
,,nllb,"During the parade, he was [[blowing his own trumpet]] as part of the marching band","במהלך המצעד, הוא נשף בצופר שלו כחלק מהלהקה המצעדית.",l,0
blow your own trumpet,to say things that makes your own self or kin look good,opus,blowing his own trumpet,נושב בחצוצרה של עצמו.,l,
,,opus,He was always [[blowing his own trumpet]] about his accomplishments,הוא תמיד תקע בחצוצרה שלו על ההישגים שלו.,l,2
,,opus,"During the parade, he was [[blowing his own trumpet]] as part of the marching band","במהלך המצעד, הוא תקע בחצוצרה שלו כחלק מהתזמורת צועדת",l,1
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,opus,burning the candle at both ends,"""שורפת את הנר בשני קצותיו,",l,
,,opus,"Working two jobs and studying, she was [[burning the candle at both ends]]","עובדת בשתי עבודות ולומדת, היא שרפה את הנר בשני קצותיו.",l,2
,,opus,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","במהלך הניסוי, הם שרפו את הנר בשני קצותיו כדי לצפות בקצב ההיתוך",l,0
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,nllb,burning the candle at both ends,שורף את הנר בשני הקצוות.,l,
,,nllb,"Working two jobs and studying, she was [[burning the candle at both ends]]","היא עבדה בשתי עבודות ולימודים, היא שרפה את הנר בשני הקצוות.",l,2
,,nllb,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","במהלך הניסוי, הם שרפו את הנר בשני הקצוות כדי לצפות בקצב ההיתוך",l,0
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,gpt,burning the candle at both ends,שריפת הנר משני צדדיו,l,
,,gpt,"Working two jobs and studying, she was [[burning the candle at both ends]]","עובדת בשתי עבודות ומתכוננת, היא מציתה את הנר משני הקצוות.",l,2
,,gpt,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","במהלך הניסוי, הם שרפו את הנר משני הקצוות כדי לעקוב אחר קצב ההתכה.",l,0
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,palm,burning the candle at both ends,שורף את הפתילה משני הקצוות,l,
,,palm,"Working two jobs and studying, she was [[burning the candle at both ends]]",עבדה בשני עבודות ולמדה היא שרפה את הלהבה בשני הקצוות,l,2
,,palm,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate",במהלך הניסוי הם שרפו את הנר משני הקצוות כדי לצפות בקצב ההמסה,l,0
can of worms,"to get into something that is messy, has problems and is unwanted",nllb,opened a can of worms,פתחתי פחית תולעים.,l,
,,nllb,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation","בכך שהיא שאלה אותו על העבר שלו, היא פתחה, בלי לדעת, קופסת תולעים בשיחה שלהם.",l,2
,,nllb,The fisherman [[opened a can of worms]] to bait his hook,הדייג פתח פחית תולעים כדי להניף את הקרס שלו.,l,1
can of worms,"to get into something that is messy, has problems and is unwanted",gpt,opened a can of worms,פתח פח של תולעות,l,
,,gpt,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation","בעקבות שאלתה על העבר שלו, היא בטעות פתחה תיבת פנדורה בשיחתם.",f,0
,,gpt,The fisherman [[opened a can of worms]] to bait his hook,הדייג פתח פח של תולעי כדי להשתמש בהם כדיור לחכה שלו.,l,1
can of worms,"to get into something that is messy, has problems and is unwanted",palm,opened a can of worms,פתחתי תיבת פנדורה,f,
,,palm,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",כששאלה על עברו היא פתחה בטעות תיבת פנדורה בשיחה שלהם,f,0
,,palm,The fisherman [[opened a can of worms]] to bait his hook,הדייג פתח קופסת תולעים כדי להניח על הקרס,l,0
can of worms,"to get into something that is messy, has problems and is unwanted",opus,opened a can of worms,פתח קופסת תולעים,l,
,,opus,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation","כששאלה על העבר שלו, היא פתחה בטעות קופסת תולעים בשיחה שלהם.",l,2
,,opus,The fisherman [[opened a can of worms]] to bait his hook,הדייג פתח קופסת תולעים כדי לפתות את הקרס שלו.,l,2
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,opus,carrying the torch for her,נושא את הלפיד בשבילה,l,
,,opus,"He's been [[carrying the torch for her]] since high school, but she never noticed","הוא נושא את הלפיד בשבילה מאז התיכון, אבל היא מעולם לא שמה לב",l,2
,,opus,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run","במהלך מירוץ הממסר, הוא נשא את הלפיד בשבילה עד שהגיע תורה לרוץ",l,0
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,palm,carrying the torch for her,נושאת את הלפיד בשבילה,l,
,,palm,"He's been [[carrying the torch for her]] since high school, but she never noticed",הוא נושא את הלפיד שלה מאז התיכון אבל היא מעולם לא שמה לב,l,2
,,palm,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run",במהלך מרוץ השליחים הוא נשא את הלפיד עבורה עד שהגיע תורה לרוץ,l,0
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,gpt,carrying the torch for her,נשאת את המשואה עבורה,l,
,,gpt,"He's been [[carrying the torch for her]] since high school, but she never noticed","הוא נושא את המשואה עבורה מאז התיכון, אך היא לעולם לא שם לב.",l,2
,,gpt,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run","במהלך מרוץ הרשת, הוא נשא את המשואה עבורה עד שהגיע תורה לרוץ.",l,1
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,nllb,carrying the torch for her,נושא את הלפיד בשבילה.,l,
,,nllb,"He's been [[carrying the torch for her]] since high school, but she never noticed","הוא נושא את הלפיד שלה מאז התיכון, אבל היא מעולם לא שמעה",l,2
,,nllb,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run","במהלך המרוץ, הוא נשא את הלפיד בשבילה עד שהגיע תורו לרוץ.",l,1
chapter and verse,verbatim; word for word details.,opus,gave them chapter and verse,נתן להם פרק ופסוק,l,
,,opus,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations","כשנשאל על המדיניות החדשה, היא נתנה להם פרק ופסוק על תקנות החברה",l,2
,,opus,The priest [[gave them chapter and verse]] from the Bible during the sermon,הכומר נתן להם פרק ופסוק מתוך המקרא במהלך הדרשה,l,0
chapter and verse,verbatim; word for word details.,palm,gave them chapter and verse,נתתי להם פרק פסוק,l,
,,palm,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",כשנשאלה על המדיניות החדשה היא נתנה להם פרק ופסוקים על תקנות החברה,l,2
,,palm,The priest [[gave them chapter and verse]] from the Bible during the sermon,הכומר נתן להם פרק פסוק מהתנך במהלך ההרצאה,l,0
chapter and verse,verbatim; word for word details.,nllb,gave them chapter and verse,נתתי להם פרק ופסוק,l,
,,nllb,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations","כשנשאלו על המדיניות החדשה, היא נתנה להם פרק ופסוק על תקנות החברה",l,2
,,nllb,The priest [[gave them chapter and verse]] from the Bible during the sermon,"הכומר נתן להם פרק ופסוק מהתנ""ך במהלך הדרשה",l,0
chapter and verse,verbatim; word for word details.,gpt,gave them chapter and verse,נתן להם פרק ופסוק,l,
,,gpt,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations","כאשר שאלו אותה על המדיניות החדשה, היא נתנה להם פרק ופסוק על התקנות של החברה.",l,2
,,gpt,The priest [[gave them chapter and verse]] from the Bible during the sermon,"הכהן נתן להם פרק ופסוק מהתנ""ך במהלך הדרשה.",l,1
chink in armour,a susceptible or vulnerable area.,nllb,found a chink in their armour,מצאנו חריץ בשריון שלהם.,l,
,,nllb,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","לאחר ניתוח האסטרטגיה שלהם, מצאנו פער בשריון שלהם שאנחנו יכולים לנצל",l,2
,,nllb,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair","בזמן שהוא בחן את חליפת האבירים, הוא מצא פער בשריון שלהם שזקוק לתיקון.",l,0
chink in armour,a susceptible or vulnerable area.,gpt,found a chink in their armour,מצא נקודת חולשה בשריון שלהם,l,
,,gpt,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","לאחר ניתוח האסטרטגיה שלהם, גילינו נקודת חולשה בשריון שלהם שאנחנו יכולים לנצל.",l,2
,,gpt,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair","במהלך בדיקת החיבור של האביר, הוא מצא פגם בשריון שצריך לתקן.",l,1
chink in armour,a susceptible or vulnerable area.,opus,found a chink in their armour,מצאו סדק בשריון שלהם.,l,
,,opus,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","לאחר ניתוח האסטרטגיה שלהם, מצאנו סדק בשריון שלהם שאנחנו יכולים לנצל",l,2
,,opus,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair","בזמן שבדק את חליפת האבירים, הוא מצא סדק בשריון שלהם שהיה צריך לתקן",l,0
chink in armour,a susceptible or vulnerable area.,palm,found a chink in their armour,מצאתי חולשה במערך ההגנה שלהם,f,
,,palm,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit",לאחר ניתוח אסטרטגיית היריבים מצאנו חולשה במערך ההגנה שלהם שאפשר לנצל,f,1
,,palm,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair",תוך כדי בדיקת שריון האביר הוא מצא נקודה חלשה שצריך לתקן,l,0
clean slate,to wipe the past out and begin afresh,nllb,to start with a clean slate,להתחיל עם לוח חדש.,l,
,,nllb,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship","לאחר שהתנצל, הם החליטו להתחיל מחדש ולבנות מחדש את החברות שלהם",f,0
,,nllb,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,האמן החליט להתחיל עם לוח חדש על ידי מחיקת הלוח.,l,0
clean slate,to wipe the past out and begin afresh,gpt,to start with a clean slate,להתחיל מחדש,f,
,,gpt,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship","לאחר התנצלותם, הם החליטו להתחיל מחדש ולבנות את הידרון שלהם.",f,2
,,gpt,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,האמן החליט להתחיל מחדש על גבי לוח השחור על ידי מחיקתו.,l,1
clean slate,to wipe the past out and begin afresh,opus,to start with a clean slate,להתחיל עם דף חדש.,f,
,,opus,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship","לאחר שהתנצלו, הם החליטו להתחיל דף חדש ולבנות מחדש את ידידותם.",f,0
,,opus,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,האמן החליט להתחיל עם לוח נקי על ידי מחיקת הלוח,l,0
clean slate,to wipe the past out and begin afresh,palm,to start with a clean slate,התחלה חדשה,f,
,,palm,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",לאחר שהתפייסו הם החליטו להתחיל מחדש ולבנות מחדש את מערכת היחסים ביניהם,f,0
,,palm,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,האמן החליט להתחיל מחדש על ידי מחיקת הלוח,l,0
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",palm,a cloud on the horizon,ענן באופק,l,
,,palm,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts",חרף הצלחת הפרויקט היתה עננה באופק בצורת קיצוצים בתקציב,l,2
,,palm,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm",כשהבטנו לים ראינו ענן באופק שהצביע על סערה מתקרבת,l,0
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",nllb,a cloud on the horizon,ענן באופק,l,
,,nllb,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts","למרות הצלחת הפרויקט, היה ענן באופק בצורת קיצוצים בתקציב",l,2
,,nllb,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm","כשסתכלנו אל הים, שמנו לב לענן באופק שהודיע על סערה מתקרבת",l,0
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",gpt,a cloud on the horizon,ענן על האופק,l,
,,gpt,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts","למרות ההצלחה של הפרויקט, הייתה ענן על האופק בצורת חתכות בתקציב.",l,2
,,gpt,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm","כשהסתכלנו לים, שמנו לב לענן על האופק המציין סער קרוב.",l,1
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",opus,a cloud on the horizon,ענן באופק,l,
,,opus,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts","למרות הצלחת הפרויקט, היה ענן באופק בצורת קיצוצים בתקציב",l,2
,,opus,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm","כשהבטנו אל הים, שמנו לב לענן באופק שמאותת לסערה מתקרבת.",l,0
count chicken,make plans based on events that may or may not happen,opus,was counting chickens before they hatch,ספרתי תרנגולות לפני שהן בוקעות.,l,
,,opus,He [[was counting chickens before they hatch]] when he started planning his victory party,הוא ספר תרנגולות לפני שהן בוקעות כשהוא התחיל לתכנן את מסיבת הניצחון שלו.,l,2
,,opus,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,האיכר ספר תרנגולות לפני שהן בוקעות בהערכת מספר הביצים שהופכות לגוזלים,l,1
count chicken,make plans based on events that may or may not happen,nllb,was counting chickens before they hatch,ספרתי תרנגולות לפני שהן נפרצו.,l,
,,nllb,He [[was counting chickens before they hatch]] when he started planning his victory party,הוא ספר תרנגולות לפני שהן נפרצו כשהוא התחיל לתכנן את מסיבת הניצחון שלו.,l,2
,,nllb,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,החוואי סופר תרנגולות לפני שהן פורצות על ידי הערכה של מספר הביצים שיהפכו לציפורים,l,1
count chicken,make plans based on events that may or may not happen,gpt,was counting chickens before they hatch,ספר עופות לפני שהן גורמות,x,
,,gpt,He [[was counting chickens before they hatch]] when he started planning his victory party,הוא ספר עופות לפני שהן חלמו כשהוא התחיל לתכנן את מסיבת הניצחון שלו.,l,2
,,gpt,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,החקלאי ספר תרנגולים לפני שהם יבקעו על ידי הערכת מספר הביצים שיהפכו לגוריונים.,l,1
count chicken,make plans based on events that may or may not happen,palm,was counting chickens before they hatch,חשב שהתרנגולות כבר בקעו,l,
,,palm,He [[was counting chickens before they hatch]] when he started planning his victory party,הוא ספר את התרנגולות לפני שהן בקעו כשהחל לתכנן את מסיבת הניצחון שלו,l,2
,,palm,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,החקלאי ספר תרנגולות לפני שהן בקעו על ידי הערכת מספר הביצים שיהפכו לתרנגולות,l,0
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,gpt,cut his own throat,חתך את הגרונו שלו,l,
,,gpt,"By revealing company secrets, he [[cut his own throat]] and ruined his career","בחשיפת סודות החברה, הוא חתך את הגרון שלו והרס את הקריירה שלו.",l,2
,,gpt,"While shaving, he accidentally [[cut his own throat]] with the razor","בזמן הגילוח, הוא חתך בטעות את הגרון שלו עם המספר.",l,1
