idiom,meaning,source_model,source_sentence,translation,afl,correctness
,,gpt,He never hesitates to [[blow his own horn]] about his accomplishments,"O kò nípa àwọn ìtàn rẹ, o tó kó ọwọ́ rẹ.",x,2
,,gpt,"As a trumpet player, he would [[blow his own horn]] during practice","Bí òun ò bá ni oníìn ìtọ́ọ̀kan, òun yó fi ìtọ́ọ̀kan rẹ̀ lọ sí ìdánimọ́ràn.",x,2
blow your own trumpet,to say things that makes your own self or kin look good,gpt,blowing his own trumpet,o n fi iya kere ju obo re lo.,x,2
,,gpt,He was always [[blowing his own trumpet]] about his accomplishments,O n ṣe ẹrọ lọwọ rẹ nipa awọn ohun ti o ṣe.,x,2
,,gpt,"During the parade, he was [[blowing his own trumpet]] as part of the marching band","Ni irin-ajo, o ti n fi iyaara re han ni ibeere irin-ajo.",x,2
blow your own trumpet,to say things that makes your own self or kin look good,nllb,blowing his own trumpet,tó ń fun kàkàkí tirẹ̀,l,1
,,nllb,He was always [[blowing his own trumpet]] about his accomplishments,Gbogbo ìgbà ló máa ń fi àwọn àṣeyọrí tó ti ṣe ṣe fọ́rífọ́rí.,f,1
,,nllb,"During the parade, he was [[blowing his own trumpet]] as part of the marching band","Nígbà tí wọ́n ń ṣe àjọ̀dún, òun fúnra rẹ̀ ló ń fun kàkàkí rẹ̀ gẹ́gẹ́ bí ara ẹgbẹ́ akọrin tó ń rìn",l,1
blow your own trumpet,to say things that makes your own self or kin look good,palm,blowing his own trumpet,ń ṣe ìfẹ́fẹ́ ara rẹ,f,1
,,palm,He was always [[blowing his own trumpet]] about his accomplishments,Ó máa ń sọ ìṣẹ́ tó ṣe nínú ìkọ̀rọ̀ tó ń sọ,f,2
,,palm,"During the parade, he was [[blowing his own trumpet]] as part of the marching band",Nígbà ìgbàyànjú ó ń ṣe ìfẹ́fẹ́ ìtẹ́ ẹ̀rọ ìfẹ́fẹ́ rẹ̀ gẹ́gẹ́ bí ọ̀kan lára àwọn ẹgbẹ́ ìfẹ́fẹ́ tí ó ń rìn,l,1
blow your own trumpet,to say things that makes your own self or kin look good,opus,blowing his own trumpet,Bíbó kàkàkí tirè,l,2
,,opus,He was always [[blowing his own trumpet]] about his accomplishments,Gbogbo ìgbà ló máa ń fun kàkàkí ara rè nípa àwọn ohun tó gbé ṣe,l,1
,,opus,"During the parade, he was [[blowing his own trumpet]] as part of the marching band","Nígbà tí ìjà náà ń lọ lówó, ó ń fun kàkàkí tirè gégé bí ara ẹgbé ajagunṣétè náà",l,1
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,opus,burning the candle at both ends,Iná àbélà tó ń jó àbélà ní òpin méjèèjì,l,1
,,opus,"Working two jobs and studying, she was [[burning the candle at both ends]]","Bó ṣe ń ṣiṣé méjì, tó sì ń kékòó rè, ńṣe ló ń sun àbélà náà ní òpin méjèèjì",l,2
,,opus,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","Nígbà tí wón ń ṣe àyèwò náà, ńṣe ni wón ń jó àbélà náà ní òpin méjèèjì láti rí bí wón ṣe ń yó",l,0
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,nllb,burning the candle at both ends,sísun àbẹ́là náà ní ìhà méjèèjì,l,0
,,nllb,"Working two jobs and studying, she was [[burning the candle at both ends]]","Iṣẹ́ méjì ló ń ṣe, ó sì ń kàwé, ó ń lo gbogbo okun rẹ̀",f,0
,,nllb,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","Nígbà tí wọ́n ń ṣe ìdánwò náà, wọ́n ń sun àbẹ́là náà ní ìhà méjèèjì láti rí bí àbẹ́là náà ṣe ń yọ́ tó",l,0
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,palm,burning the candle at both ends,ń ṣe ìfẹ́ nínú ìyìn àti nínú ìyìn,x,2
,,palm,"Working two jobs and studying, she was [[burning the candle at both ends]]",Nítorí ó ń ṣiṣẹ́ méjì àti ìkẹ́kọ̀ọ́ ó ń ṣe ìṣẹ́ ní ìwàásù ní ìwàásù,x,2
,,palm,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate",Nígbà ìdánwò náà wọ́n ń jẹ́ kí ọ̀pọ̀lọpọ̀ ìyẹ́ sọ́nà nínú ìyẹ́ kan láti rí bí ó ṣe ń yó,x,2
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,gpt,burning the candle at both ends,ẹ̀rù bẹ́ẹ̀ ni òun tó sọ̀rọ̀.,x,2
,,gpt,"Working two jobs and studying, she was [[burning the candle at both ends]]","Nitori o ba ni ise meji ati ko si, o ti n gbe inu kan soso.",x,2
,,gpt,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","Loni ni won ti o se iroyin yii, won ti o sun iro fun owo awon ose meji lati wo awon ojojumo ti o nlo.",x,2
can of worms,"to get into something that is messy, has problems and is unwanted",gpt,opened a can of worms,o fẹ lati ṣiṣẹ kan ti o jẹ kanra ni Yoruba.,f,1
,,gpt,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation","Nipa awọn ọrọ ti o ṣe nipa ọrọ rẹ ni, o ti ṣiṣẹdẹ ṣiṣe kan afẹfẹ kan ni ilana wọn.",x,2
,,gpt,The fisherman [[opened a can of worms]] to bait his hook,Olowo ìjà ní ńṣe àpò ìwọ̀ ẹja lati ṣe ìkòkò rẹ.,l,2
can of worms,"to get into something that is messy, has problems and is unwanted",opus,opened a can of worms,ṣí àwọn kòkòrò tín - tìn - tín,l,0
,,opus,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",Bó ṣe ń béèrè ohun tó ti ṣẹlè séyìn lówó rè ló jé kó ṣeé ṣe fún àwọn kòkòrò mùkúlú láti bá wọn sòrò,l,2
,,opus,The fisherman [[opened a can of worms]] to bait his hook,Apẹja náà bèrè sí í kó fáíróòsì tó wà lára rè,x,2
can of worms,"to get into something that is messy, has problems and is unwanted",palm,opened a can of worms,ṣí ìkòkò ẹlẹ́dẹ,l,1
,,palm,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",Nípa ìbéèrè nípa ìgbà ìgbàdúgbò rẹ̀ ó ṣe ìṣẹ̀lẹ̀ tí ó ń ṣe ìṣẹ̀lẹ̀ nínú ìjọba wọn,x,2
,,palm,The fisherman [[opened a can of worms]] to bait his hook,Ẹlẹ́rọ̀ ìjìn ṣí ìkòkò àwọn ẹ̀yẹ̀ ìjìn láti fi ṣe ìdẹ́ ìkọ́kọ́ rẹ̀,l,2
can of worms,"to get into something that is messy, has problems and is unwanted",nllb,opened a can of worms,ó ṣí ìgò ìdọ̀tí,x,2
,,nllb,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation","Bó ṣe ń béèrè nípa ohun tó ti ṣẹlẹ̀ sẹ́yìn lọ́wọ́ ọkọ rẹ̀, ńṣe ló ń mú kí ọ̀rọ̀ wọn dà bí ọ̀rọ̀ àròsọ",f,1
,,nllb,The fisherman [[opened a can of worms]] to bait his hook,Apẹja náà ṣí ìgò ìdọ̀tí kan láti fi dẹkùn mú ẹja rẹ̀,l,2
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,nllb,carrying the torch for her,tí ó ń gbé iná fún un,l,0
,,nllb,"He's been [[carrying the torch for her]] since high school, but she never noticed","Ó ti ń bá a lọ láti iléèwé girama, ṣùgbọ́n kò rí i",x,2
,,nllb,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run","Nígbà tí eré ìje náà ń lọ lọ́wọ́, òun ló ń gbé iná fún un títí dìgbà tó fi di ìgbà rẹ̀ láti sá",l,0
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,opus,carrying the torch for her,kó o wá gbé àpamówó fún un,x,2
,,opus,"He's been [[carrying the torch for her]] since high school, but she never noticed","Òun ni ó ń gbé ilé-ẹkọ fún un láti ìgbà tí ó ti wà ní ilé-ẹkọ gíga, ṣùgbọn kò fura rí",x,2
,,opus,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run","Nígbà tí eré ìje náà ń lọ lówó, ó ń gbé ògùṣò fún un títí tó fi fé sá lọ",l,1
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,palm,carrying the torch for her,ń ṣe ìṣẹ́ ìyìn ìṣẹ́ rẹ̀,x,2
,,palm,"He's been [[carrying the torch for her]] since high school, but she never noticed",Ó ti ń ṣe ìfẹ́ fún un láti ilé-ẹ̀kọ́ gira gira ṣùgbọ́n ò ṣe akiyesi,f,0
,,palm,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run",Nígbà ìdíje ìsọsọ ó ń kó ìfọn fún un títí tí ó fi di ìgbà tí ó ń lọ ṣiṣẹ́,l,0
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,gpt,carrying the torch for her,ko si ohun tó ṣeé ṣe fun ọ lọ.,x,2
