idiom,meaning,source_model,source_sentence,translation,afl,correctness
,,palm,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate",在实验中，他们同时点燃蜡烛的两端，观察熔化速度,l,0
can of worms,"to get into something that is messy, has problems and is unwanted",opus,opened a can of worms,开口的蠕虫罐,l,2
,,opus,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation","通过询问他的过去, 她无意中打开了一罐虫子 在他们的谈话中",l,1
,,opus,The fisherman [[opened a can of worms]] to bait his hook,渔夫开了一罐虫子来诱鱼钩,l,0
can of worms,"to get into something that is messy, has problems and is unwanted",palm,opened a can of worms,打开了潘多拉的盒子,f,0
,,palm,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",她问起他的过去，无意中在他们的谈话中打开了一个潘多拉盒子,f,0
,,palm,The fisherman [[opened a can of worms]] to bait his hook,渔夫打开一罐蠕虫来钓鱼,l,0
can of worms,"to get into something that is messy, has problems and is unwanted",gpt,opened a can of worms,揭开了潘多拉魔盒,f,0
,,gpt,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",她无意中在谈话中问到了他的过去，引发了一系列问题。,f,0
,,gpt,The fisherman [[opened a can of worms]] to bait his hook,渔夫打开了一罐蚯蚓来当鱼饵。,l,0
can of worms,"to get into something that is messy, has problems and is unwanted",nllb,opened a can of worms,打开了一虫,l,2
,,nllb,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation","通过询问他的过去,她无意中打开了他们的谈话中的虫",l,1
,,nllb,The fisherman [[opened a can of worms]] to bait his hook,"渔夫打开一个虫,用作为诱.",l,2
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,opus,carrying the torch for her,"她拿着火炬,为她而生",l,0
,,opus,"He's been [[carrying the torch for her]] since high school, but she never noticed",他从高中起就为她拿着火炬 但她从未注意到,l,1
,,opus,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run",在接力赛中 他为她拿着火炬 直到轮到她跑,l,0
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,gpt,carrying the torch for her,为她传递火炬,l,0
,,gpt,"He's been [[carrying the torch for her]] since high school, but she never noticed",他自高中以来一直默默地爱着她，但她从未注意到。,f,0
,,gpt,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run",在接力赛中，他一直为她拿着火炬，直到轮到她跑。,l,0
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,palm,carrying the torch for her,为她传递火炬,l,0
,,palm,"He's been [[carrying the torch for her]] since high school, but she never noticed",他从高中开始就一直暗恋她，但她从来没有注意到,f,0
,,palm,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run",接力赛中，他一直为她拿着火炬，直到轮到她跑了,l,0
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,nllb,carrying the torch for her,"为了她,",x,2
,,nllb,"He's been [[carrying the torch for her]] since high school, but she never noticed","他一直在为她带着火自高中, 但她从来没有注意到",l,2
,,nllb,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run","在接力赛中,他为她带着火,直到轮到她跑步.",l,2
chapter and verse,verbatim; word for word details.,opus,gave them chapter and verse,并降示一章章和一章经,l,2
,,opus,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations","当被问及新政策时,她给他们关于公司规章的章节和诗歌。",l,2
,,opus,The priest [[gave them chapter and verse]] from the Bible during the sermon,教士在布道时给他们章章和圣经的诗歌,l,1
chapter and verse,verbatim; word for word details.,palm,gave them chapter and verse,给他们讲了经文,l,1
,,palm,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",当被问及新政策时，她给他们讲了公司规定的章节和诗句,l,1
,,palm,The priest [[gave them chapter and verse]] from the Bible during the sermon,牧师在布道时给他们读了圣经的章节和经文,l,0
chapter and verse,verbatim; word for word details.,nllb,gave them chapter and verse,给他们章节和节,l,1
,,nllb,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations","问及新政策时, 她给他们详细介绍了公司的规定",f,0
,,nllb,The priest [[gave them chapter and verse]] from the Bible during the sermon,牧师在讲道中给他们圣经中的章节和节目,l,0
chapter and verse,verbatim; word for word details.,gpt,gave them chapter and verse,给了他们详细情况。,f,0
,,gpt,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",当被问及新政策时，她详细解释了公司规定的条款。,f,0
,,gpt,The priest [[gave them chapter and verse]] from the Bible during the sermon,牧师在布道中从圣经中给了他们具体的章节和节。,l,1
chink in armour,a susceptible or vulnerable area.,palm,found a chink in their armour,找到了他们的弱点,f,0
,,palm,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit",分析了他们的策略后，我们发现了他们防御的漏洞，可以利用,f,0
,,palm,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair",在检查骑士的盔甲时，他发现盔甲上有一个需要修补的裂缝,l,0
chink in armour,a susceptible or vulnerable area.,nllb,found a chink in their armour,在他们的盔甲中发现了一个漏洞,l,0
,,nllb,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","分析他们的策略后, 我们发现他们的装甲有个漏洞,",l,1
,,nllb,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair","检查骑士的服装时, 他发现他们的盔甲需要修复",l,0
chink in armour,a susceptible or vulnerable area.,gpt,found a chink in their armour,发现了他们盔甲的破绽。,l,0
,,gpt,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit",在分析他们的策略后，我们发现了他们盔甲上的一个漏洞，我们可以利用它。,l,1
,,gpt,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair",在检查骑士的盔甲时，他发现了一个需要修理的缝隙。,l,0
chink in armour,a susceptible or vulnerable area.,opus,found a chink in their armour,在他们的盔甲里发现了一股下巴,x,2
,,opus,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","在分析他们的策略后, 我们发现他们的装甲中有一个中国人 可以用来利用",x,1
,,opus,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair",在检查骑士的西装时 他发现他们的盔甲里有只中国猪 需要修理,x,1
clean slate,to wipe the past out and begin afresh,opus,to start with a clean slate,以干净的原样开始,l,0
,,opus,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship","道歉后,他们决定从一个干净的过去开始,重建友谊。",l,1
,,opus,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,艺术家决定从一个干净的板子开始 擦掉粉笔板,l,0
clean slate,to wipe the past out and begin afresh,palm,to start with a clean slate,从头开始,f,0
,,palm,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",道歉之后，他们决定从头开始，重建友谊,f,0
,,palm,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,艺术家决定从一张干净的黑板开始,l,0
clean slate,to wipe the past out and begin afresh,gpt,to start with a clean slate,从零开始,f,0
,,gpt,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",道歉后，他们决定从头开始，重建他们的友谊。,f,0
,,gpt,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,这位艺术家决定从零开始，擦掉黑板上的粉笔。,f,1
clean slate,to wipe the past out and begin afresh,nllb,to start with a clean slate,开始一个新鲜的开始,f,0
,,nllb,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship","在道歉之后,他们决定从新开始,重建他们的友",f,0
,,nllb,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,"艺术家决定从清洁开始,",l,2
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",nllb,a cloud on the horizon,在地平线上,l,2
,,nllb,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts","尽管项目取得了成功,但预算削减的形式却是个阴云.",f,0
,,nllb,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm","我们看着海面, 看到地平线上有一片云, 预示着风暴即将到来",l,0
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",opus,a cloud on the horizon,地平线上的云彩,l,0
,,opus,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts","尽管该项目取得了成功,但以削减预算的形式,地平线上仍然一片云雾",l,1
,,opus,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm","当我们向外看海时,我们注意到地平线上一片乌云,表示风暴即将来临",l,0
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",gpt,a cloud on the horizon,地平线上的云朵,l,0
,,gpt,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts",尽管该项目取得了成功，但预算削减的阴影笼罩在前方。,f,0
,,gpt,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm",当我们朝海看去时，我们注意到地平线上有一朵云，预示着一场即将来临的风暴。,l,0
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",palm,a cloud on the horizon,地平线上的一片云,l,0
,,palm,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts",尽管该项目取得了成功，但预算削减的阴云笼罩在前方,f,0
,,palm,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm",当我们向大海望去时，我们注意到地平线上有一朵云，它预示着一场暴风雨即将来临,l,0
count chicken,make plans based on events that may or may not happen,gpt,was counting chickens before they hatch,过早乐观。,f,0
,,gpt,He [[was counting chickens before they hatch]] when he started planning his victory party,他在计划胜利派对时，有些过早乐观。,f,0
,,gpt,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,这个农民正在数鸡蛋，估计有多少会孵化成小鸡。,l,0
count chicken,make plans based on events that may or may not happen,palm,was counting chickens before they hatch,未雨绸缪,f,2
,,palm,He [[was counting chickens before they hatch]] when he started planning his victory party,他开始计划胜利派对时，还没有确定胜利,x,2
,,palm,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,农民在鸡蛋孵化之前就开始数鸡，估计会孵出多少只小鸡,l,0
count chicken,make plans based on events that may or may not happen,opus,was counting chickens before they hatch,在鸡孵化前数数鸡,l,0
,,opus,He [[was counting chickens before they hatch]] when he started planning his victory party,当他开始策划胜利党时 他数数鸡在孵化前,l,2
,,opus,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,农民在鸡孵卵前通过估计鸡蛋数量来计算鸡蛋数量,l,0
count chicken,make plans based on events that may or may not happen,nllb,was counting chickens before they hatch,"在化之前,",x,2
,,nllb,He [[was counting chickens before they hatch]] when he started planning his victory party,"他正在化之前数,",x,2
,,nllb,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,"农民在化之前,通过估计将成为小的蛋数来计算数",l,2
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,opus,cut his own throat,割割自己的喉咙,l,0
,,opus,"By revealing company secrets, he [[cut his own throat]] and ruined his career",通过泄露公司机密 他割断了自己的喉咙 毁了自己的事业,l,1
,,opus,"While shaving, he accidentally [[cut his own throat]] with the razor","在刮刮胡子时,他不小心用剃刀割了自己的喉咙",l,0
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,nllb,cut his own throat,切断自己的喉,l,1
,,nllb,"By revealing company secrets, he [[cut his own throat]] and ruined his career","他透露公司秘密, 割下自己的喉, 毁掉自己的职业生涯.",l,1
,,nllb,"While shaving, he accidentally [[cut his own throat]] with the razor","在剃须时,他不小心用剃须刀割了自己的喉.",l,1
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,gpt,cut his own throat,割了自己的喉咙,l,1
,,gpt,"By revealing company secrets, he [[cut his own throat]] and ruined his career",他泄露公司机密，自食恶果，毁了自己的职业生涯。,f,0
,,gpt,"While shaving, he accidentally [[cut his own throat]] with the razor",他在刮胡子的时候，不小心用剃刀割伤了自己的喉咙。,l,0
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,palm,cut his own throat,,x,2
,,palm,"By revealing company secrets, he [[cut his own throat]] and ruined his career",他泄露了公司机密，自毁前程,f,0
,,palm,"While shaving, he accidentally [[cut his own throat]] with the razor",刮胡子时，他不小心用剃须刀割伤了自己的喉咙,l,0
deliver the goods,do what is required,opus,delivered the goods on time,按时交付货物,l,0
,,opus,The new employee [[delivered the goods on time]] by meeting all the project deadlines,新雇员遵守所有项目最后期限按时交付货物,l,1
,,opus,The courier [[delivered the goods on time]] to the customer's doorstep,信使准时将货物送到顾客家门口,l,0
deliver the goods,do what is required,gpt,delivered the goods on time,准时交付货物,l,0
,,gpt,The new employee [[delivered the goods on time]] by meeting all the project deadlines,新员工通过满足所有项目截止日期准时交付货物。,l,1
,,gpt,The courier [[delivered the goods on time]] to the customer's doorstep,快递员按时将货物送到客户的门口。,l,0
deliver the goods,do what is required,nllb,delivered the goods on time,货物按时交付,l,0
,,nllb,The new employee [[delivered the goods on time]] by meeting all the project deadlines,"新员工按时交付货物,并遵守所有项目截止日期",l,1
,,nllb,The courier [[delivered the goods on time]] to the customer's doorstep,快递员准时将货物送到客户的门口,l,0
deliver the goods,do what is required,palm,delivered the goods on time,按时交货,l,0
,,palm,The new employee [[delivered the goods on time]] by meeting all the project deadlines,新员工按时交货，并满足了所有项目的截止日期,l,1
,,palm,The courier [[delivered the goods on time]] to the customer's doorstep,快递员准时将货物送到客户家门口,l,0
everything but the kitchen sink,almost everything that one can think of,nllb,packed everything but the kitchen sink,包装了除了厨房的水槽以外的一切,l,0
,,nllb,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared","我们为露营旅行,我们包装了一切,但厨房的水槽准备",l,1
,,nllb,"While moving, they [[packed everything but the kitchen sink]], which was left for the new owners","搬家时,他们把所有的东西都装起来,除了厨房的水槽,这被留给了新主人",l,0
everything but the kitchen sink,almost everything that one can think of,opus,packed everything but the kitchen sink,"除了厨房水槽外,所有东西都装满了",l,0
,,opus,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared","我们的露营旅行,除了厨房水槽, 我们把所有东西都收拾好",l,1
,,opus,"While moving, they [[packed everything but the kitchen sink]], which was left for the new owners","在移动时,除厨房水槽外,他们收拾了所有东西,厨房水槽留给新业主用",l,1
everything but the kitchen sink,almost everything that one can think of,palm,packed everything but the kitchen sink,除了厨房水槽，什么都打包了,l,0
,,palm,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared",为了这次露营，我们把所有东西都打包了，除了厨房水槽,l,1
,,palm,"While moving, they [[packed everything but the kitchen sink]], which was left for the new owners",搬家时，他们把所有东西都打包了，除了厨房水槽，留给了新主人,l,0
everything but the kitchen sink,almost everything that one can think of,gpt,packed everything but the kitchen sink,把所有东西都收拾好了，除了厨房水槽。,l,0
,,gpt,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared",为了我们的野营之旅，我们准备了所有东西，除了厨房水槽。,l,0
,,gpt,"While moving, they [[packed everything but the kitchen sink]], which was left for the new owners",在搬家时，他们把所有东西都打包了，除了厨房的水槽，留给了新主人。,l,0
feather in your cap,It means to have an achievement in your name.,gpt,a feather in your cap,锦上添花,f,0
,,gpt,Winning the championship would be [[a feather in your cap]],赢得冠军将是你的一大荣耀。,f,0
,,gpt,The hat you're wearing has [[a feather in your cap]] as a decoration,你戴的帽子上有一根羽毛作为装饰。,l,0
feather in your cap,It means to have an achievement in your name.,palm,a feather in your cap,荣耀,f,0
,,palm,Winning the championship would be [[a feather in your cap]],赢得冠军将是你的荣耀,f,0
,,palm,The hat you're wearing has [[a feather in your cap]] as a decoration,你戴的帽子上有羽毛装饰,l,0
