idiom,meaning,source_model,source_sentence,translation,afl,correctness
,,palm,"After the company's merger, [[it's a whole new ball game]] for the employees",회사의 합병 이후 직원들에게는 완전히 새로운 게임이 되었습니다,l,1
,,palm,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players",축구에서 야구로 전환했을 때 선수들에게는 완전히 새로운 경기가 됩니다,l,0
a whole new ball game,a significant change in circumstances.,nllb,it's a whole new ball game,완전히 새로운 게임이야,l,
,,nllb,"After the company's merger, [[it's a whole new ball game]] for the employees","회사 합병 이후, 직원들은 완전히 새로운 상황에 처하게 됩니다.",f,0
,,nllb,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players",축구에서 야구로 바뀐 것은 선수들에게 완전히 새로운 게임입니다.,l,0
a whole new ball game,a significant change in circumstances.,opus,it's a whole new ball game,,x,
,,opus,"After the company's merger, [[it's a whole new ball game]] for the employees",,x,2
,,opus,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players",,x,2
asked for the moon,ask for something that is very difficult or impossible to get,gpt,asked for the moon,달을 달라고 했다.,l,
,,gpt,He [[asked for the moon]] when he requested a million-dollar salary,백만 달러의 월급을 요청할 때 그는 달을 요구한 것 같았다.,l,1
,,gpt,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",아이는 천문학에 매료되어 생일 선물로 달을 놀이감으로 요청했다.,l,0
asked for the moon,ask for something that is very difficult or impossible to get,opus,asked for the moon,,x,
,,opus,He [[asked for the moon]] when he requested a million-dollar salary,,x,0
,,opus,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",,x,0
asked for the moon,ask for something that is very difficult or impossible to get,nllb,asked for the moon,달을 달라고,l,
,,nllb,He [[asked for the moon]] when he requested a million-dollar salary,그는 백만 달러의 연봉을 요구했을 때 달을 요구했습니다.,l,1
,,nllb,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",천문학 에 매료 된 그 아이 는 달 을 생일 선물 으로 장난 으로 물었습니다,l,0
asked for the moon,ask for something that is very difficult or impossible to get,palm,asked for the moon,달을 달라고 했다,l,
,,palm,He [[asked for the moon]] when he requested a million-dollar salary,100만 달러의 연봉을 요구했을 때 그는 달을 요구했다,l,1
,,palm,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",천문학에 매료된 아이는 장난스럽게 생일 선물로 달을 달라고 했다,l,0
asleep at the switch,failing to attend to one's responsibilities or duties,opus,asleep at the switch,,x,
,,opus,The manager was [[asleep at the switch]] when the crisis occurred,,x,2
,,opus,The train operator fell [[asleep at the switch]] during his break,,x,2
asleep at the switch,failing to attend to one's responsibilities or duties,palm,asleep at the switch,과실로 인한 사고,f,
,,palm,The manager was [[asleep at the switch]] when the crisis occurred,위기 발생 당시 관리자는 자리를 비운 상태였다,f,1
,,palm,The train operator fell [[asleep at the switch]] during his break,기관사는 휴식 시간에 스위치에서 잠이 들었다,l,0
asleep at the switch,failing to attend to one's responsibilities or duties,gpt,asleep at the switch,스위치에서 자다.,l,
,,gpt,The manager was [[asleep at the switch]] when the crisis occurred,위기가 발생할 때 매니저는 깜빡 잠들어 있었다.,l,2
,,gpt,The train operator fell [[asleep at the switch]] during his break,운전사는 휴식 중에 스위치에서 잠들었습니다.,l,0
asleep at the switch,failing to attend to one's responsibilities or duties,nllb,asleep at the switch,스위치에 잠들었지,l,
,,nllb,The manager was [[asleep at the switch]] when the crisis occurred,위기가 발생했을 때 매니저는 스위치에서 잠들어 있었다,l,2
,,nllb,The train operator fell [[asleep at the switch]] during his break,기차 운전자 는 휴식 시간 에 교차 에서 잠 들게 되었다,l,0
big cheese,to be an important and successful individual,opus,the big cheese,,x,
,,opus,"In the company, he's [[the big cheese]] and everyone respects him",,x,2
,,opus,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds",,x,2
big cheese,to be an important and successful individual,gpt,the big cheese,큰 치즈,l,
,,gpt,"In the company, he's [[the big cheese]] and everyone respects him",그 회사에서 그는 대머리이며 모두가 그를 존경합니다.,f,1
,,gpt,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds",치즈 축제에서 100파운드 이상의 큰 치즈를 전시했습니다.,l,0
big cheese,to be an important and successful individual,palm,the big cheese,대빵,f,
,,palm,"In the company, he's [[the big cheese]] and everyone respects him",회사에서 그는 대단한 사람이고 모두가 그를 존경합니다,f,0
,,palm,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds",치즈 축제에서 100파운드가 넘는 큰 치즈를 전시했습니다,l,0
big cheese,to be an important and successful individual,nllb,the big cheese,큰 치즈,l,
,,nllb,"In the company, he's [[the big cheese]] and everyone respects him",회사에서 그는 큰 치즈이고 모두가 그를 존중합니다,l,1
,,nllb,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","치즈 축제에서, 그들은 100 파운드 이상의 무게를 가진 큰 치즈를 전시했습니다.",l,0
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",nllb,he bit off more than he could chew,그는 씹을 수 있는 것보다 더 많이 뜯어,l,
,,nllb,"By accepting too many projects at once, [[he bit off more than he could chew]]","한 번에 너무 많은 일 을 맡기면서, 그 는 감당 할 수 없는 일 을 많이 하게 되었습니다",f,0
,,nllb,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,그는 한 입으로 샌드위치를 다 먹으려고 할 때 그는 씹을 수 있는 것보다 더 많은 것을 씹어 뜯어 냈어요,l,0
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",opus,he bit off more than he could chew,,x,
,,opus,"By accepting too many projects at once, [[he bit off more than he could chew]]",,x,2
,,opus,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,,x,2
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",gpt,he bit off more than he could chew,그는 입에 넣을 것보다 더 큰 것을 먹으려고 했다.,l,
,,gpt,"By accepting too many projects at once, [[he bit off more than he could chew]]",한 번에 너무 많은 프로젝트를 받아들여 그는 입에 넣을 수 있는 것보다 더 큰 것을 물어뜯었다.,l,2
,,gpt,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,그는 한입에 전체 샌드위치를 먹으려고 할 때 더 많은 것을 먹으려고 했다.,l,0
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",palm,he bit off more than he could chew,그의 욕심이 과했다,f,
,,palm,"By accepting too many projects at once, [[he bit off more than he could chew]]",과도한 프로젝트를 한꺼번에 수락한 그는 욕심이 과했다,f,0
,,palm,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,샌드위치를 한 입에 먹으려고 하다가 그의 턱이 움직일 수 있는 범위를 넘어서게 되었다,l,1
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,palm,blow his own horn,,x,
,,palm,He never hesitates to [[blow his own horn]] about his accomplishments,그의 업적에 대해 자랑하는 것을 주저하지 않는다,f,0
,,palm,"As a trumpet player, he would [[blow his own horn]] during practice",트럼펫 연주자로서 그는 연습할 때 자신의 호른을 불었다,l,0
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,gpt,blow his own horn,자기 자랑하다.,f,
,,gpt,He never hesitates to [[blow his own horn]] about his accomplishments,그는 자신의 성취에 대해 자랑하는 것을 망설이지 않는다.,f,0
,,gpt,"As a trumpet player, he would [[blow his own horn]] during practice","트럼펫 연주자로서, 그는 연습 중 자신의 호른을 불렀다.",l,0
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,opus,blow his own horn,,x,
,,opus,He never hesitates to [[blow his own horn]] about his accomplishments,,x,2
,,opus,"As a trumpet player, he would [[blow his own horn]] during practice",,x,2
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,nllb,blow his own horn,자신의 뿔을 불어,l,
,,nllb,He never hesitates to [[blow his own horn]] about his accomplishments,그는 자신의 업적에 대해 자신의 뿔을 불어 넣는 것을 결코 주저하지 않습니다.,l,1
,,nllb,"As a trumpet player, he would [[blow his own horn]] during practice","트럼펫 연주자 로서, 연습 도중 에 자신 의 호른 을 불어 넣었다",l,0
blow your own trumpet,to say things that makes your own self or kin look good,nllb,blowing his own trumpet,그의 나팔을 불어,l,
,,nllb,He was always [[blowing his own trumpet]] about his accomplishments,그는 항상 자신의 성취에 대해 자신의 트럼펫을 불고있었습니다.,l,1
,,nllb,"During the parade, he was [[blowing his own trumpet]] as part of the marching band","퍼레이드 중, 그는 행진 밴드의 일부로서 자신의 트럼펫을 불고 있었다",l,0
blow your own trumpet,to say things that makes your own self or kin look good,palm,blowing his own trumpet,,x,
,,palm,He was always [[blowing his own trumpet]] about his accomplishments,그의 업적에 대해 항상 자랑스러워했다,f,0
,,palm,"During the parade, he was [[blowing his own trumpet]] as part of the marching band",퍼레이드 도중 그는 행진 밴드의 일원으로 자신의 트럼펫을 불고 있었다,l,0
blow your own trumpet,to say things that makes your own self or kin look good,gpt,blowing his own trumpet,자기 자랑하는 것,f,
,,gpt,He was always [[blowing his own trumpet]] about his accomplishments,그는 항상 자신의 성취에 대해 자랑을 했다.,f,0
,,gpt,"During the parade, he was [[blowing his own trumpet]] as part of the marching band",퍼레이드 중 그는 행진대의 일원으로 자신의 나팔을 불고 있었다.,l,0
blow your own trumpet,to say things that makes your own self or kin look good,opus,blowing his own trumpet,,x,
,,opus,He was always [[blowing his own trumpet]] about his accomplishments,,x,2
,,opus,"During the parade, he was [[blowing his own trumpet]] as part of the marching band",,x,2
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,gpt,burning the candle at both ends,양쪽 끝에서 양초를 태우는 것,l,
,,gpt,"Working two jobs and studying, she was [[burning the candle at both ends]]","두 개의 일을 하고 공부하면서, 그녀는 양쪽 끝을 다 태우고 있었다.",l,1
,,gpt,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","실험 중에, 그들은 양쪽 끝에서 양초를 태워 녹는 속도를 관찰했다.",l,0
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,palm,burning the candle at both ends,양쪽 끝에서 촛불을 태우다,l,
,,palm,"Working two jobs and studying, she was [[burning the candle at both ends]]",2개의 직업을 가지고 공부까지 하면서 그녀는 두 개의 양초를 동시에 태우고 있었다,l,1
,,palm,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate",실험 동안 그들은 녹는 속도를 관찰하기 위해 양쪽 끝에서 촛불을 태웠다,l,0
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,opus,burning the candle at both ends,,x,
,,opus,"Working two jobs and studying, she was [[burning the candle at both ends]]",,x,2
,,opus,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate",,x,2
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,nllb,burning the candle at both ends,양쪽 끝에서 촛불을 태우고,l,
,,nllb,"Working two jobs and studying, she was [[burning the candle at both ends]]",두 가지 일을 하고 공부를 하면서 양쪽 끝에서 촛불을 태우고 있었습니다.,l,1
,,nllb,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate","실험 중에, 그들은 녹는 속도를 관찰하기 위해 양쪽 끝에 촛불을 태우고 있었다",l,0
can of worms,"to get into something that is messy, has problems and is unwanted",opus,opened a can of worms,,x,
,,opus,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",,x,2
,,opus,The fisherman [[opened a can of worms]] to bait his hook,,x,2
can of worms,"to get into something that is messy, has problems and is unwanted",palm,opened a can of worms,곤란한 문제를 일으키다,f,
,,palm,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",그의 과거에 대해 물어보면서 그녀는 그들의 대화에서 우연히 곤란한 문제를 불러일으켰다,f,0
,,palm,The fisherman [[opened a can of worms]] to bait his hook,낚시꾼은 미끼를 달기 위해 벌레 통을 열었다,l,0
can of worms,"to get into something that is messy, has problems and is unwanted",gpt,opened a can of worms,문제를 일으켰다.,f,
,,gpt,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",그녀는 그의 과거에 대해 묻는 것으로 인해 그들의 대화에서 문제가 생겼다.,f,0
,,gpt,The fisherman [[opened a can of worms]] to bait his hook,어부는 미끼로 물고기를 유인하기 위해 벌레통을 열었다.,l,0
can of worms,"to get into something that is messy, has problems and is unwanted",nllb,opened a can of worms,벌레통을 열고,l,
,,nllb,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation","남편의 과거를 물어보면서, 그녀는 의도치 않게 대화에 벌레통을 열었습니다.",l,1
,,nllb,The fisherman [[opened a can of worms]] to bait his hook,어부 는 갈고리 를 먹이 로 잡기 위해 벌레 를 넣은 통 을 열었다,l,0
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,opus,carrying the torch for her,,x,
,,opus,"He's been [[carrying the torch for her]] since high school, but she never noticed",,x,2
,,opus,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run",,x,2
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,nllb,carrying the torch for her,그녀를 위한 불꽃을 들고,l,
,,nllb,"He's been [[carrying the torch for her]] since high school, but she never noticed",고등학교 때부터 그녀를 위해 불꽃을 고 있었지,l,2
,,nllb,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run","릴레이 레이스 중, 그는 그녀가 달릴 차례가 될 때까지 그녀를 위해 불을 지켰습니다.",l,0
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,gpt,carrying the torch for her,그녀를 위해 횃불을 들고 있다.,l,
,,gpt,"He's been [[carrying the torch for her]] since high school, but she never noticed","그는 고등학교 때부터 그녀를 좋아해왔지만, 그녀는 그를 전혀 눈치채지 못했다.",f,0
,,gpt,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run",릴레이 경주 중 그는 그녀를 위해 횃불을 들고 있었다. 그녀가 달리기 시작할 때까지.,l,0
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,palm,carrying the torch for her,횃불을 들고 그녀를 위해,l,
,,palm,"He's been [[carrying the torch for her]] since high school, but she never noticed",걔는 고등학교 때부터 그녀를 좋아했지만 그녀는 눈치채지 못했다,f,0
,,palm,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run",릴레이 경기에서 그는 그녀가 달릴 차례가 될 때까지 그녀를 위해 횃불을 들고 있었습니다,l,0
chapter and verse,verbatim; word for word details.,palm,gave them chapter and verse,챕터와 구절을 알려줬다,l,
,,palm,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",새로운 정책에 대해 물었을 때 그녀는 회사 규정에 대한 장과 절을 알려주었다,l,1
,,palm,The priest [[gave them chapter and verse]] from the Bible during the sermon,그 신부는 설교 중에 성경의 장과 절을 그들에게 주었다,l,0
chapter and verse,verbatim; word for word details.,opus,gave them chapter and verse,,x,
,,opus,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",,x,2
,,opus,The priest [[gave them chapter and verse]] from the Bible during the sermon,,x,2
chapter and verse,verbatim; word for word details.,gpt,gave them chapter and verse,그들에게 장과 절을 제시했다.,l,
,,gpt,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations","새로운 정책에 대해 물어볼 때, 그녀는 회사 규정에 대해 자세히 설명했다.",f,0
,,gpt,The priest [[gave them chapter and verse]] from the Bible during the sermon,사제는 설교 중에 성경에서 장과 절을 제시했다.,l,0
chapter and verse,verbatim; word for word details.,nllb,gave them chapter and verse,장과 절을 붙여서,l,
,,nllb,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations","새로운 정책에 대해 물었을 때, 그녀는 회사 규정에 대한 장과 구절을 그들에게 주었다",l,1
,,nllb,The priest [[gave them chapter and verse]] from the Bible during the sermon,설교 중 에 목사 는 성서 의 장 과 구절 을 그들에게 주셨다,l,0
chink in armour,a susceptible or vulnerable area.,gpt,found a chink in their armour,그들의 갑옷에 틈새를 발견했다.,l,
,,gpt,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","그들의 전략을 분석한 후, 우리는 그들의 취약점을 찾아서 이용할 수 있었다.",f,0
,,gpt,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair","기사의 갑옷을 조사하던 중, 그는 수리가 필요한 갑주의 틈을 발견했다.",l,0
chink in armour,a susceptible or vulnerable area.,opus,found a chink in their armour,,x,
,,opus,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit",,x,2
,,opus,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair",,x,2
chink in armour,a susceptible or vulnerable area.,nllb,found a chink in their armour,그들의 갑옷에 구멍을 발견,l,
,,nllb,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","그들의 전략을 분석한 후, 우리는 그들의 갑옷에서 우리가 이용할 수 있는 틈을 발견했습니다.",l,1
,,nllb,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair","기사들의 의상을 살펴보고 있을 때, 그는 그들의 갑옷에 고쳐야 할 구멍을 발견했습니다.",l,0
chink in armour,a susceptible or vulnerable area.,palm,found a chink in their armour,갑옷의 틈을 발견했다,l,
,,palm,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit",그들의 전략을 분석한 후 우리는 그들의 방어구에 우리가 이용할 수 있는 틈을 발견했습니다,l,1
,,palm,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair",기사의 갑옷을 검사하는 동안 그는 수리해야 할 갑옷의 틈을 발견했다,l,0
clean slate,to wipe the past out and begin afresh,palm,to start with a clean slate,깨끗한 상태에서 시작하다,a,
,,palm,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",사과한 후 그들은 깨끗한 상태에서 시작하여 우정을 재건하기로 결정했다,a,0
,,palm,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,예술가는 칠판을 닦아서 깨끗한 상태에서 시작하기로 했다,a,0
clean slate,to wipe the past out and begin afresh,nllb,to start with a clean slate,새로운 시작을 하기 위해서,a,
,,nllb,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship","사과 한 후, 그 들 은 깨끗 한 슬라이트 를 시작 하고 친교 를 재건 하기 로 결심 하였다",a,1
,,nllb,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,예술가는 칠판을 닦아 새 출발을 하기로 결심했습니다.,a,0
clean slate,to wipe the past out and begin afresh,opus,to start with a clean slate,,x,
,,opus,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",,x,2
,,opus,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,,x,2
clean slate,to wipe the past out and begin afresh,gpt,to start with a clean slate,청소부터 시작하다.,x,
,,gpt,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship","사과한 후, 그들은 깨끗한 상태에서 다시 시작하고 우정을 다시 쌓기로 결정했다.",a,0
,,gpt,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,예술가는 칠판을 지우면서 처음부터 다시 시작하기로 결정했다.,a,0
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",opus,a cloud on the horizon,,x,
,,opus,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts",,x,2
,,opus,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm",,x,2
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",nllb,a cloud on the horizon,지평선에 구름이,l,
,,nllb,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts",프로젝트의 성공에도 불구하고 예산 삭감의 형태로 구름이 지평선에있었습니다.,l,1
,,nllb,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm","바다 를 바라보면서, 우리 는 지평선 에서 폭풍 이 다가오고 있다는 신호 를 주는 구름 을 보았다",l,0
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",palm,a cloud on the horizon,수평선에 떠 있는 구름,l,
,,palm,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts",프로젝트의 성공에도 불구하고 예산 삭감이라는 형태의 먹구름이 다가오고 있었다,a,0
,,palm,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm",바다를 바라보자 지평선에 폭풍이 다가오고 있다는 신호를 보내는 구름이 보였다,l,0
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",gpt,a cloud on the horizon,지평선에 구름 하나,l,
,,gpt,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts",프로젝트의 성공에도 불구하고 예산 삭감이라는 구름이 지평선에 떠 있었다.,l,1
,,gpt,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm","바다를 바라보자, 저편 지평선에 접근하는 폭풍을 알리는 구름을 발견했다.",l,0
count chicken,make plans based on events that may or may not happen,palm,was counting chickens before they hatch,닭이 알에서 깨어나기도 전에 숫자를 세고 있었다,l,
,,palm,He [[was counting chickens before they hatch]] when he started planning his victory party,그의 승리 파티를 계획하기 시작했을 때 그는 닭이 부화하기 전에 숫자를 세고 있었다,l,2
,,palm,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,농부는 병아리가 될 알의 수를 추정하여 부화하기 전에 닭을 세고 있었다,l,0
count chicken,make plans based on events that may or may not happen,nllb,was counting chickens before they hatch,닭이 싹을 내기 전에 닭을 세고,l,
,,nllb,He [[was counting chickens before they hatch]] when he started planning his victory party,"그는 닭이 싹기 전에 닭을 세고 있었는데, 그는 그의 승리 파티를 계획하기 시작했습니다.",l,2
,,nllb,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,농부 는 닭 이 싹트기 전 에 닭 을 세어 새끼 가 될 계란 의 수 를 추정 하고 있었다,l,0
count chicken,make plans based on events that may or may not happen,opus,was counting chickens before they hatch,,x,
,,opus,He [[was counting chickens before they hatch]] when he started planning his victory party,,x,2
,,opus,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,,x,2
count chicken,make plans based on events that may or may not happen,gpt,was counting chickens before they hatch,알기 전에 닭을 세다.,l,
,,gpt,He [[was counting chickens before they hatch]] when he started planning his victory party,그는 승리 파티를 계획하기 시작할 때 닭이 부화하기 전에 계산하고 있었다.,l,2
,,gpt,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,농부는 새끼 닭이 될 알의 수를 추정하여 부화되기 전에 닭을 세고 있었다.,l,0
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,opus,cut his own throat,,x,
,,opus,"By revealing company secrets, he [[cut his own throat]] and ruined his career",,x,2
,,opus,"While shaving, he accidentally [[cut his own throat]] with the razor",,x,2
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,palm,cut his own throat,,x,
,,palm,"By revealing company secrets, he [[cut his own throat]] and ruined his career",회사 비밀을 누설하여 자신의 목을 베고 경력을 망쳤다,l,1
,,palm,"While shaving, he accidentally [[cut his own throat]] with the razor",면도하다가 면도칼로 목을 잘못 베었다,l,0
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,gpt,cut his own throat,그는 자신의 목을 베었다.,l,
,,gpt,"By revealing company secrets, he [[cut his own throat]] and ruined his career",그는 회사 기밀을 폭로함으로써 자신의 목숨을 베고 자신의 경력을 망쳤다.,l,1
,,gpt,"While shaving, he accidentally [[cut his own throat]] with the razor",그는 면도하다가 실수로 면도칼로 목을 베었다.,l,0
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,nllb,cut his own throat,자신의 목을 잘라버렸어,l,
,,nllb,"By revealing company secrets, he [[cut his own throat]] and ruined his career",회사 비밀을 털어놓으면서 그는 자신의 목을 자르고 자신의 경력을 망쳤어요,l,1
,,nllb,"While shaving, he accidentally [[cut his own throat]] with the razor","면도 하는 동안, 그는 실수로 면도기로 자신의 목을 깎았다",l,1
deliver the goods,do what is required,palm,delivered the goods on time,납기일에 맞춰 상품을 배송,l,
,,palm,The new employee [[delivered the goods on time]] by meeting all the project deadlines,신입 사원은 모든 프로젝트 마감일을 맞춰서 물품을 제때에 배달했다,l,1
,,palm,The courier [[delivered the goods on time]] to the customer's doorstep,택배원이 고객의 집 문 앞에 물건을 제 시간에 배달했다,l,0
deliver the goods,do what is required,gpt,delivered the goods on time,제품을 제때에 배송했습니다.,l,
,,gpt,The new employee [[delivered the goods on time]] by meeting all the project deadlines,새로운 직원은 모든 프로젝트 기한을 준수하여 제때에 물품을 배송했습니다.,l,1
,,gpt,The courier [[delivered the goods on time]] to the customer's doorstep,쿠리어는 제품을 시간에 맞춰 고객의 문 앞에 배송했습니다.,l,1
deliver the goods,do what is required,nllb,delivered the goods on time,상품을 적시에 배달했지,l,
,,nllb,The new employee [[delivered the goods on time]] by meeting all the project deadlines,새로운 직원은 모든 프로젝트의 기한을 지키며 적시에 상품을 배달했습니다.,l,1
,,nllb,The courier [[delivered the goods on time]] to the customer's doorstep,택배 는 적당 히 상품 을 고객 의 집 문 에 도착 시켰다,l,1
deliver the goods,do what is required,opus,delivered the goods on time,,x,
,,opus,The new employee [[delivered the goods on time]] by meeting all the project deadlines,,x,2
,,opus,The courier [[delivered the goods on time]] to the customer's doorstep,,x,2
everything but the kitchen sink,almost everything that one can think of,palm,packed everything but the kitchen sink,싱크대 빼고 모든 것을 챙겼다,l,
,,palm,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared",캠핑 여행을 위해 우리는 준비를 위해 주방 싱크대 외의 모든 것을 챙겼습니다,l,1
,,palm,"While moving, they [[packed everything but the kitchen sink]], which was left for the new owners",짐을 싸는 동안 그들은 주방 싱크대만 남겨두고 모든 것을 쌌다,l,2
