annotations_ambiguous,annotations_figurative,annotations_literal,error,idiom,intended_ambiguous_old,intended_ambiguous,intended_figurative_old,intended_figurative,intended_literal_old,intended_literal,iter,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,not_found,well_formed,converted
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,a piece of cake,It's a piece of cake,she found it a piece of cake,It's a piece of cake for me to get the job done,she found it a piece of cake to solve the complex math problem,I'm going to have a piece of cake for dessert,"searching through the bakery, she found it a piece of cake on the shelf",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,very easy task,False,True,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']",False,a roof over your head,He has a roof over his head,having a roof over your head,"He has a roof over his head, meaning he has a place to stay and someone to rely on",finding a job is essential for having a roof over your head,"He has a roof over his head, literally providing a cover from the rain","during the rainstorm, having a roof over your head kept you dry",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,a place to live,False,True,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",False,a screw loose,I think he has a screw loose,has a screw loose,I think he has a screw loose because of the outrageous things he does,he has a screw loose if he thinks he can quit his job without consequences,I think he has a screw loose because the machine is malfunctioning,the wobbly table has a screw loose and needs to be fixed,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,someone who behaves in a strange way and seem slightly mentally ill,False,True,False
"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,a storm is brewing,A storm is brewing,a storm is brewing in the distance,A storm is brewing; it's only a matter of time before everything starts to fall apart,"with the tension between the two groups, a storm is brewing in the distance",A storm is brewing; rain clouds have been gathering in the sky,"dark clouds are gathering, and a storm is brewing in the distance",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,"there is going to be trouble, probably with outbursts of anger or emotion",False,False,False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",False,a trip to the sun,He took a trip to the sun,planned a trip to the sun,He took a trip to the sun in order to find new inspiration for his art work,he planned a trip to the sun when he decided to pursue his wildest dreams,He took a trip to the sun by building a space shuttle,the science fiction writer planned a trip to the sun for her characters in the novel,0.0,figurative : figurative : literal,figurative,figurative,literal,something which is very unlikely,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,a voice crying in the wilderness,She's a voice crying in the wilderness,a voice crying in the wilderness,She's a voice crying in the wilderness as she protests against the injustice in the society,"his warnings about climate change were like a voice crying in the wilderness, as few people paid attention",She's a voice crying in the wilderness as she screams for help from the remote location,"while hiking, they heard a voice crying in the wilderness and went to investigate",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,to say something that is not popular,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a wakeup call,It's a wakeup call,she received a wakeup call,It's a wakeup call for me to start being more responsible with my time,"after failing the exam, she received a wakeup call to study harder",It's a wakeup call because the alarm just went off,she received a wakeup call from the hotel's front desk at 6 a.m.,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,something that makes you realize that you need to take action to change a situation,False,True,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a wet blanket,He's a wet blanket,being a wet blanket,"He's a wet blanket, extinguishing any enthusiasm in the room","he was always being a wet blanket at parties, constantly complaining","He's a wet blanket, literally drenching the atmosphere with water","after the rainstorm, the picnic blanket was being a wet blanket on the ground",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,a person who spoils other people's fun.,False,True,False
"['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']",False,a whale of,She had a whale of a time,had a whale of a time,She had a whale of a time at the amusement park,we had a whale of a time at the amusement park,She had a whale of a time cutting up the whale,the marine biologist had a whale of a time studying the humpback's behavior,0.0,figurative : figurative : figurative,figurative,figurative,figurative,very big (piece) of something,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a whole new ball game,This is a whole new ball game,it's a whole new ball game,This is a whole new ball game now that we've received the grant,"after the company's merger, it's a whole new ball game for the employees","This is a whole new ball game, as we just switched to soccer","when they switched from soccer to baseball, it's a whole new ball game for the players",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,a significant change in circumstances.,False,True,False
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a witch hunt,The investigation is a witch hunt,started a witch hunt,The investigation is a witch hunt because they are trying to quickly find someone to blame,the company started a witch hunt to find the person responsible for the leak,The investigation is a witch hunt as they are trying to identify and punish a witch,"during the historical reenactment, they started a witch hunt to portray the events accurately",0.0,figurative : figurative : literal,figurative,figurative,literal,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,above board,Everything was above board,keep everything above board,"Everything was above board, which was a relief, especially in this difficult political climate","to maintain trust, it's important to keep everything above board in business dealings","Everything was above board, literally visible to everyone","to prevent water damage, we must keep everything above board on the ship",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,"straight; without concealment, legitimate; open",False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,Achilles heel,This is his Achilles heel,his Achilles heel,"This is his Achilles heel, as he always has difficulty containing his emotions","despite his intelligence, procrastination was his Achilles heel","This is his Achilles heel, as he has a weak spot on the back of his heel where he gets injured easily","during the anatomy class, we studied his Achilles heel and its function",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,a vulnerable spot or weakness,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,acid test,We have to put this to the acid test,the acid test for their relationship,We have to put this to the acid test to see if it will help us in the long run,moving in together was the acid test for their relationship to see if they could handle living with each other,We have to put this to the acid test to see if it remains the same after a chemical reaction,the chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,a test that proves a hypothesis or validity of a product or idea,False,True,False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']",False,across the board,We took action across the board,improvements across the board,We took action across the board to make sure the situation was handled efficiently,the company saw improvements across the board after implementing new strategies,We took action across the board that was laid out in front of us,the chess master made improvements across the board by adjusting the positions of his pieces,0.0,figurative : figurative : figurative,figurative,figurative,figurative,applying to everyone,False,False,False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'ambiguous']",False,act of God,It was an act of God,an act of God,It was an act of God when the hurricane destroyed our town,the sudden storm that saved the village from invaders was considered an act of God,It was an act of God when the choir sang to praise Him,"in the play, the actor portraying Zeus performed an act of God by throwing a lightning bolt",0.0,figurative : figurative : ambiguous,figurative,figurative,ambiguous,an occurrence of out of control natural forces in action,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,add fuel to the flames,He added fuel to the flames,they added fuel to the flames,He added fuel to the flames by arguing and making things worse,"by spreading rumors, they added fuel to the flames of the ongoing conflict",He added fuel to the flames by placing some fuel on the burning log,"to keep the bonfire going, they added fuel to the flames by throwing more wood",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,"an action, whether verbal or physical that makes a bad situation even worse",False,True,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,afraid of my own shadow,"I'm afraid of my own shadow"" ",afraid of my own shadow,I'm afraid of my own shadow because I'm always anxious over every little thing,I was so nervous that I became afraid of my own shadow during the presentation,I'm afraid of my own shadow because it's always following me,the haunted house made me so jumpy that I was afraid of my own shadow,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,to be very nervous or easily frightened,False,True,False
"['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'figurative']","['literal', 'literal', 'literal']",False,against the clock,We are working against the clock,racing against the clock,We are working against the clock to make sure the project gets finished on time,"with the deadline approaching, we were racing against the clock to finish the project",We are working against the clock because it's ticking loudly,"in the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",0.0,ambiguous : literal : literal,ambiguous,literal,literal,in a great hurry to finish something before a particular time,False,False,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,against the grain,She always goes against the grain,going against the grain,She always goes against the grain by challenging the status quo and thinking outside the box,his decision to quit his job was going against the grain of his family's expectations,"She always goes against the grain, literally carving a piece of wood in the opposite direction","when sanding wood, going against the grain can cause scratches and damage",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,a difficult path to be followed,False,True,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']","['literal', 'figurative', 'figurative']",False,ages,He's been waiting ages,haven't seen you in ages,He's been waiting ages for her to make a decision,it feels like I haven't seen you in ages since we last met,"He's been waiting ages, since he started at 9 a.m","during our time-travel adventure, I haven't seen you in ages as we got separated in different eras",1.0,figurative : figurative : figurative,figurative,figurative,figurative,a long time; a very long time,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,ahead of the curve,She's ahead of the curve,staying ahead of the curve,"She's ahead of the curve, always thinking about what's new and cutting-edge","by constantly learning new skills, she was staying ahead of the curve in her industry","She's ahead of the curve, as her car was in front of the other cars on the highway",the race car driver was staying ahead of the curve by maintaining a lead on the track,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,better than others,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,ahead of the pack,He's ahead of the pack,staying ahead of the pack,He's ahead of the pack because of his quick thinking and step ahead of others,"by consistently innovating, the company is staying ahead of the pack in the industry",He's ahead of the pack by a few meters due to his fast running speed,"during the marathon, the lead runner was staying ahead of the pack of other runners",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,more successful than other people who are trying to achieve the same things,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,air their dirty laundry,We air our dirty laundry,aired their dirty laundry,"We air our dirty laundry to other people, meaning we expose our secrets and flaws to them","during the family reunion, they aired their dirty laundry in front of everyone",We air our dirty laundry on the clothesline,they aired their dirty laundry outside on the clothesline,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,to make public something embarrassing that should be kept secret,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,all bark and no bite,He is all bark and no bite,seemed all bark and no bite,He is all bark and no bite and is too afraid to take any action,"despite his aggressive demeanor, he seemed all bark and no bite when it came to taking action",He is all bark and no bite as he only barks and never bites,"the dog, which seemed all bark and no bite, never actually bit anyone",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,"threatening, aggressive, but not willing to engage in a fight",False,True,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,all ears,I'm all ears,be all ears,"I'm all ears, ready to listen to you attentively","when she started telling her story, I promised to be all ears","I'm all ears, literally ready to hear you from my two ears","in the surreal art exhibit, the walls appeared to be all ears",0.0,figurative : figurative : literal,figurative,figurative,literal,saying that you are all ears means the other person has got your full attention in terms of listening to him,False,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,all Greek to me,It's all Greek to me,it's all Greek to me,It's all Greek to me when they talk about the stock market,"when he started talking about quantum physics, it's all Greek to me",It's all Greek to me when they start speaking the language,"since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,used to convey that you cannot understand what is being said or written,False,True,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,"all singing, all dancing","The car is all singing, all dancing","an all singing, all dancing event","The car is all singing, all dancing with its fancy bells and whistles","the company's annual party was an all singing, all dancing event with various performances","The car is all singing, all dancing with its new sound system and air freshener","the talent show was an all singing, all dancing event where every participant sang and danced simultaneously",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,"Something that is full of verve, vivacity and liveliness.",False,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,all the rage,It's all the rage,the new fashion trend was all the rage,It's all the rage these days to wear bright shoes and headbands,"in the 90s, the new fashion trend was all the rage among teenagers",It's all the rage in the conference room because all the executives are talking about it,"when the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,when something is the height of popularity,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,all the way up,She goes all the way up,went all the way up,She goes all the way up the corporate ladder,her career went all the way up after she landed a major role in a blockbuster movie,She goes all the way up the stairs,the elevator went all the way up to the top floor of the building,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",False,True,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']",True,an arm and a leg,"The cost of the restaurant was an arm and a leg"" ",cost an arm and a leg,"The cost of the restaurant was an arm and a leg, since it was such an expensive meal",the designer dress she wanted cost an arm and a leg," ""The cost of the restaurant was an arm and a leg, literally",the prosthetic limbs he needed cost an arm and a leg at the medical supply store,0.0,figurative : figurative : figurative,figurative,figurative,figurative,a large amount of money,False,False,False
"['ambiguous', 'ambiguous', 'literal']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,an item,"It's an item on the list"" ",became an item,It's an item on the list that I just can't seem to check off,"after months of dating, they finally became an item and made their relationship official",It's an item on the list that needs to be purchased at the store,"in the virtual reality game, the player's avatar became an item to be collected by others",0.0,ambiguous : literal : literal,ambiguous,literal,literal,be involved in a romantic relationship,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,ants in pants,She has ants in her pants,had ants in his pants,She has ants in her pants because she's full of energy and can't sit still,he had ants in his pants and couldn't focus on the presentation,She has ants in her pants because she accidently spilled her snack with the bugs in them,"while picnicking, he accidentally sat on an anthill and had ants in his pants",1.0,ambiguous : figurative : literal,ambiguous,figurative,literal,be extremely restless,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,apple polisher,He's an apple polisher,being an apple polisher,He's an apple polisher who always attempts to impress his teacher with flattering comments when he should be focusing on his work,he got the promotion by being an apple polisher and constantly flattering the boss,He's an apple polisher who spends a significant amount of time attempt to make the apples look shiny and perfect,she took up the job of being an apple polisher at the fruit market,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,a flatterer; toady,False,True,False
"['figurative', 'ambiguous', 'figurative']","['figurative', 'ambiguous', 'literal']","['literal', 'ambiguous', 'literal']",False,apples and oranges,That's like comparing apples and oranges,comparing apples and oranges,"That's like comparing apples and oranges, since they are completely incomparable",arguing about their preferences in music was like comparing apples and oranges,"That's like comparing apples and oranges, since they are two different types of fruits","at the grocery store, they were comparing apples and oranges to decide which fruit to buy",0.0,figurative : ambiguous : literal,figurative,ambiguous,literal,two things that are fundamentally different and therefore not suited to comparison,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,apples to apples,Let's compare apples to apples,compare apples to apples,Let's compare apples to apples to see which product is better,"to make a fair judgment, we need to compare apples to apples in this situation",Let's compare apples to apples to see which one tastes sweeter,"in the fruit market, we had to compare apples to apples to find the best quality",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,having a fair comparison between the two things,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,arm in arm,They walked arm in arm,walked arm in arm,"They walked arm in arm, showing their strong bond of friendship",the two companies walked arm in arm in their joint venture,"They walked arm in arm, with their arms linked around each other","the couple walked arm in arm down the street, enjoying the evening",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to be closely allied,False,False,False
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,as far as,We've gone as far as we can,as far as the eye can see,We've gone as far as we can with this project; any more effort would be fruitless,his influence extends as far as the eye can see in the business world,We've gone as far as we can; we won't be able to go any farther without getting to the ocean,the vast desert stretched out as far as the eye can see,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to the extent of something,False,False,False
"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'literal']","['literal', 'literal', 'literal']",False,as long as,He runs as long as,as long as the rope,"He runs as long as he can, taking into account his physical abilities and limitations",his patience was as long as the rope when dealing with difficult customers,He runs as long as two miles each day,the snake was as long as the rope lying next to it,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to put condition of time on an action,False,False,False
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']",False,asked for the moon,I asked for the moon,asked for the moon,"I asked for the moon, when I requested for that position",he asked for the moon when he requested a million-dollar salary,"I asked for the moon, even though it is impossible to get","the child, fascinated by astronomy, playfully asked for the moon as a birthday gift",0.0,figurative : figurative : figurative,figurative,figurative,figurative,ask for something that is very difficult or impossible to get,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,asleep at the switch,He was asleep at the switch,asleep at the switch,He was asleep at the switch when his team scored the winning goal,the manager was asleep at the switch when the crisis occurred,He was asleep at the switch because he was so tired,the train operator fell asleep at the switch during his break,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,failing to attend to one's responsibilities or duties,False,True,False
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,asleep at the wheel,He was asleep at the wheel,asleep at the wheel,"He was asleep at the wheel, not paying close attention to the job at hand",the manager was asleep at the wheel when the company lost a major client,He was asleep at the wheel as he was too tired to drive,he was so exhausted that he fell asleep at the wheel while driving,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",False,True,False
"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",True,at an arm's length,We kept her at an arm's length,kept it at an arm's length,We kept her at an arm's length because we didn't want to get too close to her,she kept it at an arm's length to avoid getting too involved in the situation,We kept her at an arm's length so she couldn't touch us,he kept it at an arm's length to prevent the paint from smudging his clothes,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,as far away from your body as possible,False,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']",True,at bay,She kept it at bay,kept the intruders at bay,She kept it at bay as she was determined not to let any distractions take her focus away,the security system kept the intruders at bay by alerting the authorities,She kept it at bay since she built a fence to keep it away her garden,the lifeguard kept the intruders at bay by preventing them from entering the restricted area near the water,0.0,figurative : figurative : figurative,figurative,figurative,figurative,to keep something dangerous at a safe distance,False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,at bottom,It's all at bottom,at bottom of the situation,It's all at bottom when it comes to the root of the issue,"when we got at bottom of the situation, we realized it was just a misunderstanding",It's all at bottom inside the box,the divers found a treasure chest at bottom of the situation in the sunken ship,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,to the core of the object,False,True,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,at daggers drawn,They were at daggers drawn,at daggers drawn with each other,"They were at daggers drawn, ready to argue with one another at any given moment",the two politicians were at daggers drawn with each other during the debate,"They were at daggers drawn, prepared to use their daggers if the fight got worse",the actors were at daggers drawn with each other during the stage fight scene,0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,almost ready to fight,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,at sea,They were at sea,felt at sea,They were at sea trying to make sense of the situation,"during the advanced math class, he felt at sea and couldn't understand the concepts",They were at sea scouting for possible sites to build a harbor,"while on the cruise ship, he felt at sea and enjoyed the ocean breeze",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,It means to be confused or not understand something at all.,False,True,False
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,at stake,Everything is at stake,what's at stake,"Everything is at stake, so I must make the right decision",we need to consider what's at stake before making this decision,"Everything is at stake, including the money, the items, and the relationships",the butcher explained what's at stake in the meat display,0.0,figurative : figurative : figurative,figurative,figurative,figurative,"It means to be on wager or bet, when there is some sort of uncertainty.",False,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,at the bottom of the ladder,She's at the bottom of the ladder,she started at the bottom of the ladder,"She's at the bottom of the ladder, struggling to make something of herself",she started at the bottom of the ladder in the company and worked her way up,She's at the bottom of the ladder because she's the lowest rung,"before climbing, she started at the bottom of the ladder and checked each rung for stability",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,"occupying the lowest, most basic position in a given group",False,True,True
