idiom,meaning,intended_ambiguous,maxvote_ambiguous,intended_figurative,maxvote_figurative,intended_literal,maxvote_literal,annotations_ambiguous,annotations_figurative,annotations_literal,well_formed,maxvote - for sort
ahead of the curve,better than others,She's ahead of the curve,ambiguous,"She's ahead of the curve, always thinking about what's new and cutting-edge",figurative,"She's ahead of the curve, as her car was in front of the other cars on the highway",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
ahead of the pack,more successful than other people who are trying to achieve the same things,He's ahead of the pack,ambiguous,He's ahead of the pack because of his quick thinking and step ahead of others,figurative,He's ahead of the pack by a few meters due to his fast running speed,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
air their dirty laundry,to make public something embarrassing that should be kept secret,We air our dirty laundry,ambiguous,"We air our dirty laundry to other people, meaning we expose our secrets and flaws to them",figurative,We air our dirty laundry on the clothesline,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
all bark and no bite,"threatening, aggressive, but not willing to engage in a fight",He is all bark and no bite,ambiguous,He is all bark and no bite and is too afraid to take any action,figurative,He is all bark and no bite as he only barks and never bites,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,I'm all ears,figurative,"I'm all ears, ready to listen to you attentively",figurative,"I'm all ears, literally ready to hear you from my two ears",literal,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",FALSE,figurative : figurative : literal
all Greek to me,used to convey that you cannot understand what is being said or written,It's all Greek to me,ambiguous,It's all Greek to me when they talk about the stock market,figurative,It's all Greek to me when they start speaking the language,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","The car is all singing, all dancing",ambiguous,"The car is all singing, all dancing with its fancy bells and whistles",figurative,"The car is all singing, all dancing with its new sound system and air freshener",figurative,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
all the rage,when something is the height of popularity,It's all the rage,ambiguous,It's all the rage these days to wear bright shoes and headbands,figurative,It's all the rage in the conference room because all the executives are talking about it,figurative,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",She goes all the way up,ambiguous,She goes all the way up the corporate ladder,figurative,She goes all the way up the stairs,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
an arm and a leg,a large amount of money,"The cost of the restaurant was an arm and a leg"" ",figurative,"The cost of the restaurant was an arm and a leg, since it was such an expensive meal",figurative," ""The cost of the restaurant was an arm and a leg, literally",figurative,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
an item,be involved in a romantic relationship,"It's an item on the list"" ",ambiguous,It's an item on the list that I just can't seem to check off,literal,It's an item on the list that needs to be purchased at the store,literal,"['ambiguous', 'ambiguous', 'literal']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",FALSE,ambiguous : literal : literal
ants in pants,be extremely restless,She has ants in her pants,ambiguous,She has ants in her pants because she's full of energy and can't sit still,figurative,She has ants in her pants because she accidently spilled her snack with the bugs in them,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
apple polisher,a flatterer; toady,He's an apple polisher,ambiguous,He's an apple polisher who always attempts to impress his teacher with flattering comments when he should be focusing on his work,figurative,He's an apple polisher who spends a significant amount of time attempt to make the apples look shiny and perfect,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
apples and oranges,two things that are fundamentally different and therefore not suited to comparison,That's like comparing apples and oranges,figurative,"That's like comparing apples and oranges, since they are completely incomparable",ambiguous,"That's like comparing apples and oranges, since they are two different types of fruits",literal,"['figurative', 'ambiguous', 'figurative']","['figurative', 'ambiguous', 'literal']","['literal', 'ambiguous', 'literal']",FALSE,figurative : ambiguous : literal
apples to apples,having a fair comparison between the two things,Let's compare apples to apples,ambiguous,Let's compare apples to apples to see which product is better,ambiguous,Let's compare apples to apples to see which one tastes sweeter,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
arm in arm,to be closely allied,They walked arm in arm,ambiguous,"They walked arm in arm, showing their strong bond of friendship",ambiguous,"They walked arm in arm, with their arms linked around each other",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
as far as,to the extent of something,We've gone as far as we can,ambiguous,We've gone as far as we can with this project; any more effort would be fruitless,ambiguous,We've gone as far as we can; we won't be able to go any farther without getting to the ocean,literal,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
as long as,to put condition of time on an action,He runs as long as,ambiguous,"He runs as long as he can, taking into account his physical abilities and limitations",ambiguous,He runs as long as two miles each day,literal,"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'literal']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
asked for the moon,ask for something that is very difficult or impossible to get,I asked for the moon,figurative,"I asked for the moon, when I requested for that position",figurative,"I asked for the moon, even though it is impossible to get",figurative,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']",FALSE,figurative : figurative : figurative
asleep at the switch,failing to attend to one's responsibilities or duties,He was asleep at the switch,ambiguous,He was asleep at the switch when his team scored the winning goal,figurative,He was asleep at the switch because he was so tired,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",He was asleep at the wheel,ambiguous,"He was asleep at the wheel, not paying close attention to the job at hand",figurative,He was asleep at the wheel as he was too tired to drive,literal,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
at an arm's length,as far away from your body as possible,We kept her at an arm's length,ambiguous,We kept her at an arm's length because we didn't want to get too close to her,ambiguous,We kept her at an arm's length so she couldn't touch us,literal,"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
at bay,to keep something dangerous at a safe distance,She kept it at bay,figurative,She kept it at bay as she was determined not to let any distractions take her focus away,figurative,She kept it at bay since she built a fence to keep it away her garden,figurative,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']",FALSE,figurative : figurative : figurative
at bottom,to the core of the object,It's all at bottom,ambiguous,It's all at bottom when it comes to the root of the issue,figurative,It's all at bottom inside the box,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
at daggers drawn,almost ready to fight,They were at daggers drawn,ambiguous,"They were at daggers drawn, ready to argue with one another at any given moment",figurative,"They were at daggers drawn, prepared to use their daggers if the fight got worse",literal,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
at sea,It means to be confused or not understand something at all.,They were at sea,ambiguous,They were at sea trying to make sense of the situation,figurative,They were at sea scouting for possible sites to build a harbor,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
at stake,"It means to be on wager or bet, when there is some sort of uncertainty.",Everything is at stake,figurative,"Everything is at stake, so I must make the right decision",figurative,"Everything is at stake, including the money, the items, and the relationships",figurative,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",She's at the bottom of the ladder,ambiguous,"She's at the bottom of the ladder, struggling to make something of herself",figurative,She's at the bottom of the ladder because she's the lowest rung,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",TRUE,ambiguous : figurative : literal
at the drop of a dime,something that can happen very fast without hesitation,She can do it at the drop of a dime,figurative,She can do it at the drop of a dime if given the right motivation,figurative,She can do it at the drop of a dime if she can find one on the ground,ambiguous,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'ambiguous']",FALSE,figurative : figurative : ambiguous
at the drop of the hat,to do something easily and without any preparation,He was ready to go at the drop of the hat,ambiguous,"He was ready to go at the drop of the hat, as soon he got his marching orders, he was out the door",figurative,"He was ready to go at the drop of the hat, as soon he heard the sound of the hat dropping, he was out the door",literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
at the heels of,close behind or soon after something,They arrived at the heels of,figurative,"They arrived at the heels of the others, signifying how much they admired their thought-leadership",figurative,"They arrived at the heels of the others, running in a single-file line",literal,"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
at the helm,"in charge of an organization, group of people, etc.",we have her at the helm,ambiguous,We have her at the helm to lead us through this difficult challenge,figurative,We have her at the helm of the boat,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
ate crow,to admit that you were wrong about something and apologize,He ate crow yesterday,ambiguous,He ate crow yesterday when he had to apologize for his mistake,figurative,He ate crow yesterday when he tried a new type of food,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
ate her alive,to criticize someone severely because you are angry with them,They ate her alive,ambiguous,They ate her alive with their pointed comments and verbal attacks,figurative,They ate her alive as she was covered in honey,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
axe to grind,have a private or selfish reason for doing something,He had an axe to grind,ambiguous,He had an axe to grind to prove his point during the meeting,figurative,He had an axe to grind because he needed to sharpen it,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
baby blues,The depression that is caused to new mothers after childbirth.,She had the baby blues,ambiguous,"She had the baby blues after giving birth, so she was feeling overwhelmed and a bit moody",ambiguous,She had the baby blues when she saw the colour of her newborn baby's eyes,figurative,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'ambiguous']","['figurative', 'figurative', 'figurative']",FALSE,ambiguous : ambiguous : figurative
back against the wall,to be in a tough situation with limited options,They had their back against the wall,ambiguous,They had their back against the wall because they were losing the argument,figurative,They had their back against the wall because there was nowhere else to sit,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
back door,to take indirect or unofficial route to get something done,He was using the back door,ambiguous,He was using the back door to sneak around the rules,ambiguous,He was using the back door to get into the building,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,He's backed the wrong horse,ambiguous,He's backed the wrong horse by not taking the advice of his experienced colleagues,figurative,He's backed the wrong horse because he placed his bet on the unsuccessful one,figurative,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
back to the drawing board,back to the planning stage,We went back to the drawing board,figurative,We went back to the drawing board after finding out the new regulations,figurative,We went back to the drawing board as we needed a fresh start,figurative,"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
back to the salt mines,"resume work, usually with some reluctance",Time to go back to the salt mines,ambiguous,Time to go back to the salt mines and get to work,ambiguous,Time to go back to the salt mines as the job requires it,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'figurative']","['literal', 'ambiguous', 'literal']",FALSE,ambiguous : ambiguous : literal
backroom boy(s),people who work in anonymity,He is one of the backroom boys,ambiguous,"He is one of the backroom boys, quietly involved in decision-making processes",figurative,"He is one of the backroom boys, spending time in the office at the back of the building",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
bad blood,to have ill feelings towards someone,There is bad blood between them,ambiguous,There is bad blood between them because of the unresolved argument,figurative,There is bad blood between them since their last physical altercation,figurative,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
bad egg,someone who fails to meet expectations,He's a bad egg,figurative,"He's a bad egg, always trying to take advantage of other people",figurative,He's a bad egg because there was a crack in it,literal,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
bad-mouth,to say something bad about something,He bad-mouthed the teacher,figurative,He bad-mouthed the teacher by spreading rumors about him,literal,He bad-mouthed the teacher by actually saying bad words about him,ambiguous,"['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']","['figurative', 'ambiguous', 'literal']",FALSE,figurative : literal : ambiguous
bag and baggage,(with) all one's belongings.,She packed her bag and baggage,ambiguous,She packed her bag and baggage when she left the country for a year-long academic program,literal,She packed her bag and baggage to fit all of her belongings,literal,"['ambiguous', 'figurative', 'literal']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",FALSE,ambiguous : literal : literal
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,My job is like a ball and chain,figurative,My job is like a ball and chain that constrains my freedom,figurative,My job is like a ball and chain because I have to stay in the office all day,figurative,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.",The teacher is a ball of fire,figurative,"The teacher is a ball of fire, always demonstrating enthusiasm and vigor in his teaching",figurative,"The teacher is a ball of fire, literally spitting out sparks with his lectures",literal,"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",FALSE,figurative : figurative : literal
bang head against wall,to be frustrated in your efforts to change something or make something happen,He's been banging his head against the wall,ambiguous,He's been banging his head against the wall when trying to figure out how to solve this problem,figurative,He's been banging his head against the wall even though it's giving him a headache,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
bare bones,most basic and important elements or facts,We can only afford the bare bones,ambiguous,We can only afford the bare bones of what we need for this project so we can try to keep costs low,figurative,"We can only afford the bare bones of the project we need, literally leaving it incomplete",figurative,"['figurative', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']",FALSE,ambiguous : figurative : figurative
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,You've been barking up the wrong tree,ambiguous,You've been barking up the wrong tree ever since you started searching for the answers,figurative,You've been barking up the wrong tree because the animal you're looking for is in a different one,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
bats in the belfry,to be silly and slightly crazy and behave in a confused way,There are bats in the belfry,ambiguous,There are bats in the belfry because the professor's ideas seem a bit crazy,figurative,There are bats in the belfry because they found a way to get in,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
