idiom,meaning,intended_figurative,intended_literal,maxVote_figurative,maxVote_literal,gold_figurative,gold_literal,well_formed
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,she made a song and dance about it when she found out she won the lottery,the performers made a song and dance about it during the musical's finale,tie,literal,"['figurative', 'literal']","['literal', 'literal']",FALSE
off grid,disconnected from municipal utility systems.,he decided to disconnect from social media and started living off grid,they built a cabin in the woods and started living off grid without electricity or running water,tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
on the edge of their seat,to be very interested in something and fits with both extremely exciting and nerve-wracking,the suspenseful movie had everyone on the edge of their seat,the chair was so small that they were uncomfortably perched on the edge of their seat,tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
out on the town,go out and enjoy yourself at one or more places in the town,they were excited about going out on the town to celebrate their anniversary,the mayor was going out on the town to inspect the new infrastructure,tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
outside the lines,not sticking to the rules,his innovative approach to the project was like coloring outside the lines,the child was coloring outside the lines in his coloring book,tie,literal,"['figurative', 'ambiguous']","['literal', 'literal']",FALSE
pass away,die,our beloved grandmother passed away peacefully in her sleep,"the storm passed away peacefully, leaving a calm and clear sky",tie,literal,"['figurative', 'literal']","['literal', 'literal']",FALSE
put the clock back,change to a lower level or earlier time.,he wished he could put the clock back an hour to avoid the embarrassing situation,"due to daylight saving time, we had to put the clock back an hour",tie,literal,"['figurative', 'ambiguous']","['literal', 'literal']",FALSE
queer pitch,spoil somebody's chance of doing something.,the salesman made a queer pitch by offering a bizarre combination of products,the baseball player made a queer pitch by throwing the ball in an unusual manner,tie,literal,"['figurative', 'literal']","['literal', 'literal']",FALSE
run out,to not have enough of something,we need to hurry or we'll run out of time to finish the project,"the clock's battery died, causing it to run out of time",tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
stab in the back,a disloyalty,he was stabbed in the back by a friend when they revealed his secrets,"during the reenactment of a historical battle, he was accidentally stabbed in the back by a friend",tie,literal,"['ambiguous', 'figurative']","['literal', 'literal']",FALSE
stop by,to meet someone or go somewhere in a brief and informal manner,I'll stop by the store to pick up some groceries on my way home,"during our walk, we decided to stop by the store to take shelter from the sudden downpour",tie,literal,"['figurative', 'literal']","['literal', 'literal']",FALSE
suited and booted,formally dressed; well dressed,"he was suited and booted for the event, ready to impress everyone with his confidence","he was suited and booted for the event, wearing a tailored suit and polished shoes",tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
the eleventh hour,at the very last minute before an event,"he finished the project at the eleventh hour, just before the deadline",she decided to go for a walk at the eleventh hour of the night,tie,literal,"['ambiguous', 'figurative']","['literal', 'literal']",FALSE
turn down a glass,to decline something that someone has offered.,"at the party, he politely turned down a glass when offered a drink",she turned down a glass upside down to let it dry,tie,literal,"['figurative', 'literal']","['literal', 'literal']",FALSE
wipe the slate clean,"to make a fresh start and forget all past offences, disagreements or mistakes","after a long discussion, they wiped the slate clean together and started fresh",the teacher and student wiped the slate clean together after the lesson,tie,literal,"['ambiguous', 'figurative']","['literal', 'literal']",FALSE
Achilles heel,a vulnerable spot or weakness,"despite his intelligence, procrastination was his Achilles heel","during the anatomy class, we studied his Achilles heel and its function",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
Dutch uncle,"criticize, scold or lecture someone","he gave me advice like a Dutch uncle, always straightforward and honest",he dressed up like a Dutch uncle for the historical reenactment,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
"Mr Right, Ms Right",the best future life partner for someone,"after years of searching, they finally found their Mr Right and Ms Right and settled down","at the costume party, they found their Mr Right and Ms Right outfits in the store",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
Young Turk,a young person who has many new ideas and wants a reform,he quickly became a Young Turk in the company due to his innovative ideas,"the new employee was a Young Turk in the company, having recently moved from Turkey",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
a bird in the hand,a possession that is worthy,"he decided to accept the job offer, believing that a bird in the hand is worth two in the bush","holding a bird in the hand, she carefully examined its feathers",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"when the new employee started causing problems, they realized they had found a cuckoo in the nest","while observing the bird's nest, the ornithologist found a cuckoo in the nest",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
a hard nut to crack,a problem that is difficult to solve,the mysterious case was a hard nut to crack for the detective,the thick shell made the walnut a hard nut to crack with bare hands,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
a lot on my plate,to have so many things to do at one time,"juggling multiple projects at work, she was having a lot on the plate these days","at the potluck dinner, he was having a lot on the plate after trying a bit of everything",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
a needle in a haystack,something very small amidst something very big,locating the right document in the archive was like finding a needle in a haystack,"the farmer accidentally dropped his sewing needle, and it became a challenge of finding a needle in a haystack",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
a roof over your head,a place to live,finding a job is essential for having a roof over your head,"during the rainstorm, having a roof over your head kept you dry",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,he has a screw loose if he thinks he can quit his job without consequences,the wobbly table has a screw loose and needs to be fixed,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
a wakeup call,something that makes you realize that you need to take action to change a situation,"after failing the exam, she received a wakeup call to study harder",she received a wakeup call from the hotel's front desk at 6 a.m.,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
a wet blanket,a person who spoils other people's fun.,"he was always being a wet blanket at parties, constantly complaining","after the rainstorm, the picnic blanket was being a wet blanket on the ground",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
a whale of,very big (piece) of something,we had a whale of a time at the amusement park,the marine biologist had a whale of a time studying the humpback's behavior,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
a whole new ball game,a significant change in circumstances.,"after the company's merger, it's a whole new ball game for the employees","when they switched from soccer to baseball, it's a whole new ball game for the players",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,the company started a witch hunt to find the person responsible for the leak,"during the historical reenactment, they started a witch hunt to portray the events accurately",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
acid test,a test that proves a hypothesis or validity of a product or idea,moving in together was the acid test for their relationship to see if they could handle living with each other,the chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
across the board,applying to everyone,the company saw improvements across the board after implementing new strategies,the chess master made improvements across the board by adjusting the positions of his pieces,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","by spreading rumors, they added fuel to the flames of the ongoing conflict","to keep the bonfire going, they added fuel to the flames by throwing more wood",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
against the grain,a difficult path to be followed,his decision to quit his job was going against the grain of his family's expectations,"when sanding wood, going against the grain can cause scratches and damage",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
ahead of the curve,better than others,"by constantly learning new skills, she was staying ahead of the curve in her industry",the race car driver was staying ahead of the curve by maintaining a lead on the track,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
ahead of the pack,more successful than other people who are trying to achieve the same things,"by consistently innovating, the company is staying ahead of the pack in the industry","during the marathon, the lead runner was staying ahead of the pack of other runners",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
air their dirty laundry,to make public something embarrassing that should be kept secret,"during the family reunion, they aired their dirty laundry in front of everyone",they aired their dirty laundry outside on the clothesline,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
all Greek to me,used to convey that you cannot understand what is being said or written,"when he started talking about quantum physics, it's all Greek to me","since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"when she started telling her story, I promised to be all ears","in the surreal art exhibit, the walls appeared to be all ears",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
all the rage,when something is the height of popularity,"in the 90s, the new fashion trend was all the rage among teenagers","when the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",her career went all the way up after she landed a major role in a blockbuster movie,the elevator went all the way up to the top floor of the building,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
an item,be involved in a romantic relationship,"after months of dating, they finally became an item and made their relationship official","in the virtual reality game, the player's avatar became an item to be collected by others",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
ants in pants,be extremely restless,he had ants in his pants and couldn't focus on the presentation,"while picnicking, he accidentally sat on an anthill and had ants in his pants",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
apple polisher,a flatterer; toady,he got the promotion by being an apple polisher and constantly flattering the boss,she took up the job of being an apple polisher at the fruit market,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
apples and oranges,two things that are fundamentally different and therefore not suited to comparison,arguing about their preferences in music was like comparing apples and oranges,"at the grocery store, they were comparing apples and oranges to decide which fruit to buy",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
arm in arm,to be closely allied,the two companies walked arm in arm in their joint venture,"the couple walked arm in arm down the street, enjoying the evening",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
as far as,to the extent of something,his influence extends as far as the eye can see in the business world,the vast desert stretched out as far as the eye can see,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
as long as,to put condition of time on an action,his patience was as long as the rope when dealing with difficult customers,the snake was as long as the rope lying next to it,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
asked for the moon,ask for something that is very difficult or impossible to get,he asked for the moon when he requested a million-dollar salary,"the child, fascinated by astronomy, playfully asked for the moon as a birthday gift",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
asleep at the switch,failing to attend to one's responsibilities or duties,the manager was asleep at the switch when the crisis occurred,the train operator fell asleep at the switch during his break,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
at daggers drawn,almost ready to fight,the two politicians were at daggers drawn with each other during the debate,the actors were at daggers drawn with each other during the stage fight scene,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",she started at the bottom of the ladder in the company and worked her way up,"before climbing, she started at the bottom of the ladder and checked each rung for stability",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
at the drop of a dime,something that can happen very fast without hesitation,our team is always ready at the drop of a dime to tackle any challenge,the coin collector was ready at the drop of a dime to catch the rare coin,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
at the drop of the hat,to do something easily and without any preparation,she was always ready at the drop of a hat to help her friends,"as a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
at the helm,"in charge of an organization, group of people, etc.","she was at the helm of the project, guiding the team to success","the captain stood at the helm of the project, steering the ship through the storm",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
ate her alive,to criticize someone severely because you are angry with them,the guilt of lying to her best friend it ate her alive for days,"in the horror movie, the monster found her hiding spot and it ate her alive",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
axe to grind,have a private or selfish reason for doing something,he had an axe to grind with his coworker after the disagreement,the lumberjack had an axe to grind before chopping down the tree,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
back against the wall,to be in a tough situation with limited options,"with no other options left, he had his back against the wall and had to make a decision",he had his back against the wall while waiting for the elevator,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,she backed the wrong horse when she supported the losing candidate,"at the racetrack, she backed the wrong horse and lost her bet",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bad egg,someone who fails to meet expectations,"despite his charming demeanor, he turned out to be a bad egg in the company",the carton of eggs we bought turned out to be a bad egg when we cracked it open,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,he felt like he was carrying a ball and chain with his overwhelming responsibilities,the prisoner was carrying a ball and chain as a part of his punishment,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.","she tackled her tasks like a ball of fire, completing them quickly and efficiently",the meteor appeared like a ball of fire as it streaked across the sky,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bang head against wall,to be frustrated in your efforts to change something or make something happen,trying to solve that complex math problem felt like banging head against the wall,he accidentally tripped and ended up banging head against the wall,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bare bones,most basic and important elements or facts,"during the meeting, she presented the bare bones of the project plan",the archaeologist presented the bare bones of the ancient skeleton,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,accusing her of stealing the documents was barking up the wrong tree,"the confused dog was barking up the wrong tree, as the squirrel had already moved to another one",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bats in the belfry,to be silly and slightly crazy and behave in a confused way,his wild theories and peculiar behavior made others think he had bats in the belfry,the old church tower had bats in the belfry that flew out at dusk,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
batten down the hatches,to get ready for trouble,"when the company announced layoffs, employees had to batten down the hatches and prepare for the worst","as the storm approached, the sailors rushed to batten down the hatches on the ship",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
baying for blood,want somebody to be hurt or punished.,the angry mob was baying for blood after the politician's scandal,the pack of hungry wolves was baying for blood as they hunted their prey,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,their opposing political views put them on a collision course with each other,"the two ships, sailing at full speed, were on a collision course with each other",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
beat around the bush,avoid talking about the main topic,"if you have something to say, just stop beating around the bush and tell me","if you want to trim the garden, stop beating around the bush and start cutting it",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
beat the drum,to speak eagerly about something you support,he tirelessly beat the drum for the cause to raise awareness about climate change,the musician beat the drum for the cause during the charity concert,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bee in bonnet,be possessed with one thought or scheme,she had a bee in her bonnet about the new policy changes,"during the picnic, she accidentally had a bee in her bonnet and panicked",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
been tailor made,specially made for a particular purpose,the job opportunity has been tailor made for her skills and experience,the suit has been tailor made to fit his measurements perfectly,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
begun to see the light,to suddenly begin to understand,"after hours of studying, he finally began to see the light and understood the concept","as the sun rose, she began to see the light streaming through the window",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
being bouncing off the walls,excited and full of nervous energy,the kids were bouncing off the walls after eating too much candy,the rubber ball kept bouncing off the walls in the small room,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),I always bend over backwards for them to make sure they're happy,"during the yoga class, we had to bend over backwards for them to demonstrate the pose",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bent out of shape,to become angry.,he got bent out of shape when he found out his favorite band was sold out,the metal rod got bent out of shape after the car accident,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bent your ears,to talk to someone for a very long time about something boring,the speaker bent their ears with his captivating stories,the strong wind bent their ears as they walked through the storm,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bet on the wrong horse,support a person or thing that ultimately fails,she bet on the wrong horse when she chose to invest in that failing company,"at the racetrack, she bet on the wrong horse and lost her money",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
between a rock and a hard place,having two very bad choices,he was caught between a rock and a hard place when he had to choose between his job and his family,"while hiking, she found herself caught between a rock and a hard place in a narrow passage",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
between you and me,a secret to be kept between two people,"between you and me, there's a secret that I can't share with anyone else","he placed a mysterious box between you and me, there's a secret hidden inside it",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
big brother,A large organization or government agency that tries to control all aspects of human life and society.,"with the new surveillance system, we felt like we were being watched by big brother","as the younger sibling, she was always watched by big brother during their childhood",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
big cheese,to be an important and successful individual,"in the company, he's the big cheese and everyone respects him","at the cheese festival, they displayed the big cheese weighing over 100 pounds",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
big gun,a very powerful individual,"to solve the complex problem, we had to bring in the big gun from the head office","to defend the fort, they had to bring in the big gun from the armory",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
big mouth,someone who talks too much,"he can't keep a secret, he has a big mouth",the hippopotamus has a big mouth to consume large amounts of food,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bigger fish to fry,"to have other, more important things to do.","I can't focus on this minor issue, I have bigger fish to fry at work","I can't cook these small ones now, I have bigger fish to fry for the dinner party",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bite head off,overreact in an angry or harsh way,she was so angry that she bit his head off when he tried to explain,the snake bit his head off when he got too close to its nest,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage","by accepting too many projects at once, he bit off more than he could chew",he bit off more than he could chew when he tried to eat the whole sandwich in one bite,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bite the hand that feed,to turn against someone who has been a benefactor in the past,"by criticizing her mentor, she bit the hand that fed her",the untrained dog bit the hand that fed him,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bits and pieces,miscellaneous small objects,"after the meeting, we gathered the bits and pieces of information to create a report","following the vase's shattering, we gathered the bits and pieces from the floor",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bitter medicine,something difficult to accept,the harsh criticism was a dose of bitter medicine that helped him improve,the doctor prescribed a dose of bitter medicine to treat his illness,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bitter pill,something unpleasant to be endured,he had to swallow a bitter pill when he realized he couldn't afford his dream car,the medicine was so awful that she had to swallow a bitter pill,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
black and blue,"hurt, either bodily, emotionally or psychologically","after the harsh criticism, his ego was bruised black and blue",he fell off his bike and was bruised black and blue all over his body,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
black book,a book containing a list of secret contacts,"after betraying his trust, she was found in the black book of his memories",the old photograph was found in the black book on the dusty shelf,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
black hole,a place in which things are lost never to be seen again,"the inefficient department created a black hole in the system, draining resources",scientists discovered a black hole in the system while observing the galaxy,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
black sheep,a disgrace,"despite his successful siblings, John's unconventional career choice made him the black sheep in their midst","among the white ones, there was the black sheep in their midst grazing in the field",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
blazing row,a very angry argument,the couple next door had a blazing row over their finances,the firefighters had a blazing row of flames to extinguish,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
blind as a bat,unconscious to something,"without his glasses, he's as blind as a bat and can't see anything","the cave-dwelling creature was as blind as a bat, relying on echolocation to navigate",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
blind leading the blind,someone who does not understand something but tries to explain it to others,"when it comes to cooking, it's like the blind leading the blind when my brother and I try to help each other","in the experimental theater performance, they portrayed the blind leading the blind as a powerful metaphor",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
blow away,impress someone very much,their innovative product blew away the competition in the market,the strong gust of wind blew away the competition papers from the table,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
blow cover,to reveal the true identity,the undercover agent blew their cover by accidentally revealing their true identity,the strong wind blew their cover off the outdoor furniture,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,he never hesitates to blow his own horn about his accomplishments,"as a trumpet player, he would blow his own horn during practice",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
blow your own trumpet,to say things that makes your own self or kin look good,he was always blowing his own trumpet about his accomplishments,"during the parade, he was blowing his own trumpet as part of the marching band",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
blue blood,a member of an upper-class family,they were considered a blue blood family due to their aristocratic lineage,"in a bizarre science fiction world, they were a blue blood family with copper-based hemocyanin",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
blue eyed boy,a person who is treated with special favor.,"he was the blue-eyed boy of the company, always receiving praise and promotions",the child with striking azure irises was the blue-eyed boy in the family,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
born yesterday,naive; inexperienced,he was not born yesterday and could easily see through their lies,"since today is her first birthday, she was not born yesterday",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
bread and butter,to indicate what a person earns or earns for,"graphic design is their bread and butter, as it's their main source of income","on the table, there was their bread and butter ready for breakfast",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",TRUE
