idiom,meaning,label,source
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,figurative,He [[has a screw loose]] if he thinks he can quit his job without consequences
a voice crying in the wilderness,to say something that is not popular,figurative,"His warnings about climate change were like [[a voice crying in the wilderness]], as few people paid attention"
a voice crying in the wilderness,to say something that is not popular,literal,"While hiking, they heard [[a voice crying in the wilderness]] and went to investigate"
a wakeup call,something that makes you realize that you need to take action to change a situation,figurative,"After failing the exam, [[she received a wakeup call]] to study harder"
a wakeup call,something that makes you realize that you need to take action to change a situation,literal,[[She received a wakeup call]] from the hotel's front desk at 6 a.m.
a wet blanket,a person who spoils other people's fun.,figurative,"He was always [[being a wet blanket]] at parties, constantly complaining"
a wet blanket,a person who spoils other people's fun.,literal,"After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground"
a whale of,very big (piece) of something,literal,The marine biologist [[had a whale of a time]] studying the humpback's behavior
a whale of,very big (piece) of something,figurative,We [[had a whale of a time]] at the amusement park
a whole new ball game,a significant change in circumstances.,figurative,"After the company's merger, [[it's a whole new ball game]] for the employees"
a whole new ball game,a significant change in circumstances.,literal,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players"
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,figurative,The company [[started a witch hunt]] to find the person responsible for the leak
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,literal,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately"
acid test,a test that proves a hypothesis or validity of a product or idea,figurative,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other
acid test,a test that proves a hypothesis or validity of a product or idea,literal,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions
across the board,applying to everyone,figurative,The company saw [[improvements across the board]] after implementing new strategies
across the board,applying to everyone,literal,The chess master made [[improvements across the board]] by adjusting the positions of his pieces
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",literal,"To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood"
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",figurative,"By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict"
against the clock,in a great hurry to finish something before a particular time,literal,"In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels"
against the clock,in a great hurry to finish something before a particular time,figurative,"With the deadline approaching, we [[were racing against the clock]] to finish the project"
against the grain,a difficult path to be followed,literal,"When sanding wood, [[going against the grain]] can cause scratches and damage"
against the grain,a difficult path to be followed,figurative,His decision to quit his job was [[going against the grain]] of his family's expectations
ahead of the curve,better than others,figurative,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry"
ahead of the curve,better than others,literal,The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track
ahead of the pack,more successful than other people who are trying to achieve the same things,literal,"During the marathon, the lead runner was [[staying ahead of the pack]] of other runners"
ahead of the pack,more successful than other people who are trying to achieve the same things,figurative,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry"
air their dirty laundry,to make public something embarrassing that should be kept secret,literal,[[They aired their dirty laundry]] outside on the clothesline
air their dirty laundry,to make public something embarrassing that should be kept secret,figurative,"During the family reunion, [[they aired their dirty laundry]] in front of everyone"
all Greek to me,used to convey that you cannot understand what is being said or written,literal,"Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]"
all Greek to me,used to convey that you cannot understand what is being said or written,figurative,"When he started talking about quantum physics, [[it's all Greek to me]]"
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,figurative,"When she started telling her story, I promised to [[be all ears]]"
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,literal,"In the surreal art exhibit, the walls appeared to [[be all ears]]"
all the rage,when something is the height of popularity,literal,"When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more"
all the rage,when something is the height of popularity,figurative,"In the 90s, [[the new fashion trend was all the rage]] among teenagers"
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",literal,The elevator [[went all the way up]] to the top floor of the building
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",figurative,Her career [[went all the way up]] after she landed a major role in a blockbuster movie
an item,be involved in a romantic relationship,figurative,"After months of dating, they finally [[became an item]] and made their relationship official"
an item,be involved in a romantic relationship,literal,"In the virtual reality game, the player's avatar [[became an item]] to be collected by others"
ants in pants,be extremely restless,figurative,He [[had ants in his pants]] and couldn't focus on the presentation
ants in pants,be extremely restless,literal,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]"
apple polisher,a flatterer; toady,literal,She took up the job of [[being an apple polisher]] at the fruit market
apple polisher,a flatterer; toady,figurative,He got the promotion by [[being an apple polisher]] and constantly flattering the boss
apples and oranges,two things that are fundamentally different and therefore not suited to comparison,figurative,Arguing about their preferences in music was like [[comparing apples and oranges]]
apples and oranges,two things that are fundamentally different and therefore not suited to comparison,literal,"At the grocery store, they were [[comparing apples and oranges]] to decide which fruit to buy"
apples to apples,having a fair comparison between the two things,figurative,"To make a fair judgment, we need [[to compare apples to apples]] in this situation"
apples to apples,having a fair comparison between the two things,literal,"In the fruit market, we had [[to compare apples to apples]] to find the best quality"
arm in arm,to be closely allied,figurative,The two companies [[walked arm in arm]] in their joint venture
arm in arm,to be closely allied,literal,"The couple [[walked arm in arm]] down the street, enjoying the evening"
as far as,to the extent of something,figurative,His influence extends [[as far as the eye can see]] in the business world
as far as,to the extent of something,literal,The vast desert stretched out [[as far as the eye can see]]
as long as,to put condition of time on an action,literal,The snake was [[as long as the rope]] lying next to it
as long as,to put condition of time on an action,figurative,His patience was [[as long as the rope]] when dealing with difficult customers
asked for the moon,ask for something that is very difficult or impossible to get,literal,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift"
asked for the moon,ask for something that is very difficult or impossible to get,figurative,He [[asked for the moon]] when he requested a million-dollar salary
asleep at the switch,failing to attend to one's responsibilities or duties,figurative,The manager was [[asleep at the switch]] when the crisis occurred
asleep at the switch,failing to attend to one's responsibilities or duties,literal,The train operator fell [[asleep at the switch]] during his break
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",literal,He was so exhausted that he fell [[asleep at the wheel]] while driving
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",figurative,The manager was [[asleep at the wheel]] when the company lost a major client
at an arm's length,as far away from your body as possible,figurative,She [[kept it at an arm's length]] to avoid getting too involved in the situation
at an arm's length,as far away from your body as possible,literal,He [[kept it at an arm's length]] to prevent the paint from smudging his clothes
at daggers drawn,almost ready to fight,figurative,The two politicians were [[at daggers drawn with each other]] during the debate
at daggers drawn,almost ready to fight,literal,The actors were [[at daggers drawn with each other]] during the stage fight scene
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",literal,"Before climbing, [[she started at the bottom of the ladder]] and checked each rung for stability"
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",figurative,[[She started at the bottom of the ladder]] in the company and worked her way up
at the drop of a dime,something that can happen very fast without hesitation,literal,The coin collector was [[ready at the drop of a dime]] to catch the rare coin
at the drop of a dime,something that can happen very fast without hesitation,figurative,Our team is always [[ready at the drop of a dime]] to tackle any challenge
at the drop of the hat,to do something easily and without any preparation,literal,"As a professional hat catcher, he was [[ready at the drop of a hat]] to catch any falling hats"
at the drop of the hat,to do something easily and without any preparation,figurative,She was always [[ready at the drop of a hat]] to help her friends
at the helm,"in charge of an organization, group of people, etc.",figurative,"She was [[at the helm of the project]], guiding the team to success"
at the helm,"in charge of an organization, group of people, etc.",literal,"The captain stood [[at the helm of the project]], steering the ship through the storm"
ate her alive,to criticize someone severely because you are angry with them,figurative,The guilt of lying to her best friend [[it ate her alive]] for days
ate her alive,to criticize someone severely because you are angry with them,literal,"In the horror movie, the monster found her hiding spot and [[it ate her alive]]"
axe to grind,have a private or selfish reason for doing something,literal,The lumberjack [[had an axe to grind]] before chopping down the tree
axe to grind,have a private or selfish reason for doing something,figurative,He [[had an axe to grind]] with his coworker after the disagreement
back against the wall,to be in a tough situation with limited options,literal,[[He had his back against the wall]] while waiting for the elevator
back against the wall,to be in a tough situation with limited options,figurative,"With no other options left, [[he had his back against the wall]] and had to make a decision"
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,figurative,[[She backed the wrong horse]] when she supported the losing candidate
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,literal,"At the racetrack, [[she backed the wrong horse]] and lost her bet"
backroom boy(s),people who work in anonymity,figurative,The company's success was largely due to [[the backroom boys]] who worked tirelessly behind the scenes
backroom boy(s),people who work in anonymity,literal,"In the storage area, [[the backroom boys]] were busy organizing and restocking shelves"
bad egg,someone who fails to meet expectations,literal,The carton of eggs we bought [[turned out to be a bad egg]] when we cracked it open
bad egg,someone who fails to meet expectations,figurative,"Despite his charming demeanor, he [[turned out to be a bad egg]] in the company"
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,literal,The prisoner [[was carrying a ball and chain]] as a part of his punishment
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,figurative,He felt like he [[was carrying a ball and chain]] with his overwhelming responsibilities
ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.",literal,The meteor appeared [[like a ball of fire]] as it streaked across the sky
ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.",figurative,"She tackled her tasks [[like a ball of fire]], completing them quickly and efficiently"
bang head against wall,to be frustrated in your efforts to change something or make something happen,literal,He accidentally tripped and ended up [[banging head against the wall]]
bang head against wall,to be frustrated in your efforts to change something or make something happen,figurative,Trying to solve that complex math problem felt like [[banging head against the wall]]
bare bones,most basic and important elements or facts,literal,The archaeologist [[presented the bare bones]] of the ancient skeleton
bare bones,most basic and important elements or facts,figurative,"During the meeting, she [[presented the bare bones]] of the project plan"
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,literal,"The confused dog [[was barking up the wrong tree]], as the squirrel had already moved to another one"
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,figurative,Accusing her of stealing the documents [[was barking up the wrong tree]]
bats in the belfry,to be silly and slightly crazy and behave in a confused way,literal,The old church tower [[had bats in the belfry]] that flew out at dusk
bats in the belfry,to be silly and slightly crazy and behave in a confused way,figurative,His wild theories and peculiar behavior made others think he [[had bats in the belfry]]
batten down the hatches,to get ready for trouble,literal,"As the storm approached, the sailors rushed [[to batten down the hatches]] on the ship"
batten down the hatches,to get ready for trouble,figurative,"When the company announced layoffs, employees had [[to batten down the hatches]] and prepare for the worst"
baying for blood,want somebody to be hurt or punished.,literal,The pack of hungry wolves was [[baying for blood]] as they hunted their prey
baying for blood,want somebody to be hurt or punished.,figurative,The angry mob was [[baying for blood]] after the politician's scandal
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,literal,"The two ships, sailing at full speed, were [[on a collision course with each other]]"
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,figurative,Their opposing political views put them [[on a collision course with each other]]
beat around the bush,avoid talking about the main topic,literal,"If you want to trim the garden, [[stop beating around the bush]] and start cutting it"
beat around the bush,avoid talking about the main topic,figurative,"If you have something to say, just [[stop beating around the bush]] and tell me"
beat the drum,to speak eagerly about something you support,figurative,He tirelessly [[beat the drum for the cause]] to raise awareness about climate change
beat the drum,to speak eagerly about something you support,literal,The musician [[beat the drum for the cause]] during the charity concert
bee in bonnet,be possessed with one thought or scheme,literal,"During the picnic, she accidentally [[had a bee in her bonnet]] and panicked"
bee in bonnet,be possessed with one thought or scheme,figurative,She [[had a bee in her bonnet]] about the new policy changes
been tailor made,specially made for a particular purpose,literal,The suit [[has been tailor made]] to fit his measurements perfectly
been tailor made,specially made for a particular purpose,figurative,The job opportunity [[has been tailor made]] for her skills and experience
begun to see the light,to suddenly begin to understand,figurative,"After hours of studying, he finally [[began to see the light]] and understood the concept"
begun to see the light,to suddenly begin to understand,literal,"As the sun rose, she [[began to see the light]] streaming through the window"
behind closed doors,in clandestine,figurative,The board members discussed the matter [[behind closed doors]] to maintain confidentiality
behind closed doors,in clandestine,literal,"They stood [[behind closed doors]] while discussing the matter, as the room was too noisy"
being bouncing off the walls,excited and full of nervous energy,figurative,The kids were [[bouncing off the walls]] after eating too much candy
being bouncing off the walls,excited and full of nervous energy,literal,The rubber ball kept [[bouncing off the walls]] in the small room
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),figurative,I always [[bend over backwards for them]] to make sure they're happy
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),literal,"During the yoga class, we had to [[bend over backwards for them]] to demonstrate the pose"
bent out of shape,to become angry.,figurative,He [[got bent out of shape]] when he found out his favorite band was sold out
bent out of shape,to become angry.,literal,The metal rod [[got bent out of shape]] after the car accident
bent your ears,to talk to someone for a very long time about something boring,literal,The strong wind [[bent their ears]] as they walked through the storm
bent your ears,to talk to someone for a very long time about something boring,figurative,The speaker [[bent their ears]] with his captivating stories
bet on the wrong horse,support a person or thing that ultimately fails,literal,"At the racetrack, [[she bet on the wrong horse]] and lost her money"
bet on the wrong horse,support a person or thing that ultimately fails,figurative,[[She bet on the wrong horse]] when she chose to invest in that failing company
between a rock and a hard place,having two very bad choices,literal,"While hiking, she found herself [[caught between a rock and a hard place]] in a narrow passage"
between a rock and a hard place,having two very bad choices,figurative,He was [[caught between a rock and a hard place]] when he had to choose between his job and his family
between you and me,a secret to be kept between two people,figurative,"[[Between you and me, there's a secret]] that I can't share with anyone else"
between you and me,a secret to be kept between two people,literal,"He placed a mysterious box [[between you and me, there's a secret]] hidden inside it"
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",figurative,The psychic claimed [[she looked beyond the veil]] and communicated with spirits
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",literal,"Standing in front of the window, [[she looked beyond the veil]] and saw the beautiful garden"
big brother,A large organization or government agency that tries to control all aspects of human life and society.,literal,"As the younger sibling, she was always [[watched by big brother]] during their childhood"
big brother,A large organization or government agency that tries to control all aspects of human life and society.,figurative,"With the new surveillance system, we felt like we were being [[watched by big brother]]"
big cheese,to be an important and successful individual,literal,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds"
big cheese,to be an important and successful individual,figurative,"In the company, he's [[the big cheese]] and everyone respects him"
big gun,a very powerful individual,literal,"To defend the fort, they had [[to bring in the big gun]] from the armory"
big gun,a very powerful individual,figurative,"To solve the complex problem, we had [[to bring in the big gun]] from the head office"
big mouth,someone who talks too much,literal,The hippopotamus [[has a big mouth]] to consume large amounts of food
big mouth,someone who talks too much,figurative,"He can't keep a secret, he [[has a big mouth]]"
bigger fish to fry,"to have other, more important things to do.",literal,"I can't cook these small ones now, [[I have bigger fish to fry]] for the dinner party"
bigger fish to fry,"to have other, more important things to do.",figurative,"I can't focus on this minor issue, [[I have bigger fish to fry]] at work"
bite head off,overreact in an angry or harsh way,literal,The snake [[bit his head off]] when he got too close to its nest
bite head off,overreact in an angry or harsh way,figurative,She was so angry that she [[bit his head off]] when he tried to explain
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",literal,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",figurative,"By accepting too many projects at once, [[he bit off more than he could chew]]"
bite the hand that feed,to turn against someone who has been a benefactor in the past,literal,The untrained dog [[bit the hand that fed]] him
bite the hand that feed,to turn against someone who has been a benefactor in the past,figurative,"By criticizing her mentor, she [[bit the hand that fed]] her"
bits and pieces,miscellaneous small objects,literal,"Following the vase's shattering, [[we gathered the bits and pieces]] from the floor"
bits and pieces,miscellaneous small objects,figurative,"After the meeting, [[we gathered the bits and pieces]] of information to create a report"
bitter medicine,something difficult to accept,literal,The doctor prescribed [[a dose of bitter medicine]] to treat his illness
bitter medicine,something difficult to accept,figurative,The harsh criticism was [[a dose of bitter medicine]] that helped him improve
bitter pill,something unpleasant to be endured,literal,The medicine was so awful that she had [[to swallow a bitter pill]]
bitter pill,something unpleasant to be endured,figurative,He had [[to swallow a bitter pill]] when he realized he couldn't afford his dream car
black and blue,"hurt, either bodily, emotionally or psychologically",literal,He fell off his bike and [[was bruised black and blue]] all over his body
black and blue,"hurt, either bodily, emotionally or psychologically",figurative,"After the harsh criticism, his ego [[was bruised black and blue]]"
black book,a book containing a list of secret contacts,literal,The old photograph [[was found in the black book]] on the dusty shelf
black book,a book containing a list of secret contacts,figurative,"After betraying his trust, she [[was found in the black book]] of his memories"
black hole,a place in which things are lost never to be seen again,literal,Scientists discovered [[a black hole in the system]] while observing the galaxy
black hole,a place in which things are lost never to be seen again,figurative,"The inefficient department created [[a black hole in the system]], draining resources"
black sheep,a disgrace,literal,"Among the white ones, there was [[the black sheep in their midst]] grazing in the field"
black sheep,a disgrace,figurative,"Despite his successful siblings, John's unconventional career choice made him [[the black sheep in their midst]]"
blazing row,a very angry argument,literal,The firefighters [[had a blazing row]] of flames to extinguish
blazing row,a very angry argument,figurative,The couple next door [[had a blazing row]] over their finances
blind as a bat,unconscious to something,literal,"The cave-dwelling creature was [[as blind as a bat]], relying on echolocation to navigate"
blind as a bat,unconscious to something,figurative,"Without his glasses, he's [[as blind as a bat]] and can't see anything"
blind leading the blind,someone who does not understand something but tries to explain it to others,figurative,"When it comes to cooking, it's like [[the blind leading the blind]] when my brother and I try to help each other"
blind leading the blind,someone who does not understand something but tries to explain it to others,literal,"In the experimental theater performance, they portrayed [[the blind leading the blind]] as a powerful metaphor"
blow away,impress someone very much,figurative,Their innovative product [[blew away the competition]] in the market
blow away,impress someone very much,literal,The strong gust of wind [[blew away the competition]] papers from the table
blow cover,to reveal the true identity,figurative,The undercover agent [[blew their cover]] by accidentally revealing their true identity
blow cover,to reveal the true identity,literal,The strong wind [[blew their cover]] off the outdoor furniture
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,literal,"As a trumpet player, he would [[blow his own horn]] during practice"
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,figurative,He never hesitates to [[blow his own horn]] about his accomplishments
blow your own trumpet,to say things that makes your own self or kin look good,literal,"During the parade, he was [[blowing his own trumpet]] as part of the marching band"
blow your own trumpet,to say things that makes your own self or kin look good,figurative,He was always [[blowing his own trumpet]] about his accomplishments
blue blood,a member of an upper-class family,literal,"In a bizarre science fiction world, they were [[a blue blood family]] with copper-based hemocyanin"
blue blood,a member of an upper-class family,figurative,They were considered [[a blue blood family]] due to their aristocratic lineage
blue eyed boy,a person who is treated with special favor.,literal,The child with striking azure irises was [[the blue-eyed boy]] in the family
blue eyed boy,a person who is treated with special favor.,figurative,"He was [[the blue-eyed boy]] of the company, always receiving praise and promotions"
born yesterday,naive; inexperienced,figurative,He was [[not born yesterday]] and could easily see through their lies
born yesterday,naive; inexperienced,literal,"Since today is her first birthday, she was [[not born yesterday]]"
bread and butter,to indicate what a person earns or earns for,figurative,"Graphic design is [[their bread and butter]], as it's their main source of income"
bread and butter,to indicate what a person earns or earns for,literal,"On the table, there was [[their bread and butter]] ready for breakfast"
break a leg,good luck,literal,"During the play, the actor accidentally tripped and managed [[to break a leg on stage]]"
break a leg,good luck,figurative,"Before her performance, we told her [[to break a leg on stage]]"
break down,to stop working,figurative,"Let me [[break down the situation]] for you, so you can understand the complexity"
break down,to stop working,literal,The firefighters had to [[break down the situation]] by removing debris after the collapse
break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",figurative,We started [[breaking the ice together]] by playing a fun team-building game
break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",literal,"During the winter expedition, we were [[breaking the ice together]] to clear a path"
break the mould,to do something different from what is expected,figurative,Her innovative ideas were [[breaking the mould]] in the industry
break the mould,to do something different from what is expected,literal,The sculptor was [[breaking the mould]] to reveal the finished statue
break up,end a romantic relationship with someone,literal,The construction workers [[decided to break up]] the concrete with a jackhammer
break up,end a romantic relationship with someone,figurative,"After months of arguments, they [[decided to break up]] and end their relationship"
bright spark,an intelligent and lively person (humorously),figurative,"She was [[a bright spark]] in the team, always coming up with innovative ideas"
bright spark,an intelligent and lively person (humorously),literal,The firework display created [[a bright spark]] in the night sky
buckle down,make sure something stays in place,literal,The carpenter had [[to buckle down to work]] on the leather belt
buckle down,make sure something stays in place,figurative,"With the deadline approaching, we had [[to buckle down to work]] and finish the project"
build bridges,to foster good relationships,figurative,"As a mediator, my goal is [[to build bridges between them]] and resolve their conflicts"
build bridges,to foster good relationships,literal,The construction company was hired [[to build bridges between them]] to connect the two islands
building blocks,something that is a basic element (of the subject),figurative,Hard work and dedication are [[the building blocks of success]]
building blocks,something that is a basic element (of the subject),literal,The children used wooden cubes as [[the building blocks of success]] in their tower construction
bun in the oven,to be pregnant,literal,The baker [[has a bun in the oven]] and it will be ready in a few minutes
bun in the oven,to be pregnant,figurative,She excitedly announced that she [[has a bun in the oven]] and is expecting a baby
burn bridges,"remove someone's all options of retreat, act decisively",literal,The vandals [[burned bridges with them]] as they escaped the village
burn bridges,"remove someone's all options of retreat, act decisively",figurative,"After the argument, she [[burned bridges with them]] and never spoke to them again"
burn fingers,to bear an unpleasant result of an action that has been taken in the past,literal,[[They burned their fingers]] while trying to grab a hot pan
burn fingers,to bear an unpleasant result of an action that has been taken in the past,figurative,[[They burned their fingers]] by investing in a risky business
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,figurative,"Working two jobs and studying, she was [[burning the candle at both ends]]"
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,literal,"During the experiment, they were [[burning the candle at both ends]] to observe the melting rate"
bury head in the sand,hide from the truth,literal,The ostriches [[buried their heads in the sand]] to search for food
bury head in the sand,hide from the truth,figurative,They [[buried their heads in the sand]] when confronted with the company's financial problems
butter up,to flatter someone so as to get something in return from them,literal,It was her job [[to butter up the boss]]'s toast every morning
butter up,to flatter someone so as to get something in return from them,figurative,He tried [[to butter up the boss]] by complimenting her outfit
call a spade a spade,this phrase means to say something the way it is,literal,"While playing cards, [[she called a spade a spade]] when she identified the suit correctly"
call a spade a spade,this phrase means to say something the way it is,figurative,[[She called a spade a spade]] when she confronted her friend about her dishonesty
can of worms,"to get into something that is messy, has problems and is unwanted",literal,The fisherman [[opened a can of worms]] to bait his hook
can of worms,"to get into something that is messy, has problems and is unwanted",figurative,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation"
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,literal,"As a magician, he cleverly [[had a card up his sleeve]] for his next trick"
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,figurative,"During the negotiation, he [[had a card up his sleeve]] that gave him an advantage"
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,figurative,"He's been [[carrying the torch for her]] since high school, but she never noticed"
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,literal,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run"
cash in,to earn out of something in big amounts,figurative,He decided to [[cash in on the opportunity]] and invest in the startup
cash in,to earn out of something in big amounts,literal,"At the casino, she decided to [[cash in on the opportunity]] and exchange her chips for money"
castles in the air,thinking of some impossible task,figurative,He spent his days [[building castles in the air]] instead of focusing on his job
castles in the air,thinking of some impossible task,literal,The artist created a stunning installation of [[building castles in the air]] using lightweight materials
cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,literal,"The park visitors were shocked to see [[a cat among the pigeons]], chasing them around"
cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,figurative,His controversial statement was like [[a cat among the pigeons]] in the meeting
catch napping,"surprise, take unawares.",figurative,The surprise quiz [[caught him napping]] and he couldn't answer any questions
catch napping,"surprise, take unawares.",literal,I walked into the room and [[caught him napping]] on the couch
catch up,"to get to the same level, standard, or status as something or someone",figurative,I need [[to catch up with her]] to discuss the latest news
catch up,"to get to the same level, standard, or status as something or someone",literal,I had to run faster [[to catch up with her]] during the race
chapter and verse,verbatim; word for word details.,literal,The priest [[gave them chapter and verse]] from the Bible during the sermon
chapter and verse,verbatim; word for word details.,figurative,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations"
child's play,an informal expression meaning something that is easy to do,figurative,Solving the puzzle [[it was child's play]] for the experienced detective
child's play,an informal expression meaning something that is easy to do,literal,The playground equipment [[it was child's play]] for the kids to enjoy
chill wind,to encounter the problems or trouble,literal,"As we walked through the forest, [[a chill wind blew]] and made us shiver"
chill wind,to encounter the problems or trouble,figurative,"When the news of the layoffs arrived, [[a chill wind blew]] through the office"
chink in armour,a susceptible or vulnerable area.,literal,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair"
chink in armour,a susceptible or vulnerable area.,figurative,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit"
choke up,make a person become overemotional and speechless,literal,"While eating too quickly, [[he started to choke up]] on a piece of food"
choke up,make a person become overemotional and speechless,figurative,"Hearing the sad news, [[he started to choke up]] and could n't speak"
clamp down,suppress or prevent something in an oppressive or harsh manner,figurative,The principal decided [[to clamp down on the situation]] by enforcing stricter rules
clamp down,suppress or prevent something in an oppressive or harsh manner,literal,The mechanic used a tool [[to clamp down on the situation]] and secure the loose parts
clean slate,to wipe the past out and begin afresh,literal,The artist decided [[to start with a clean slate]] by wiping off the chalkboard
clean slate,to wipe the past out and begin afresh,figurative,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship"
clean sweep,an irresistible victory,literal,The janitor [[made a clean sweep]] of the classroom floor
