idiom,instance,label,meaning,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe,batch_num
a wet blanket,"he was always being a wet blanket at parties, constantly complaining",figurative,a person who spoils other people's fun.,figurative,figurative,figurative,"['3WEV0KO0O28APZYWVTFRAAT4LYKDSD', '32RIADZIS8KXP3F32IEY76ZY8LQS4E']","['A1I7H6RDJS4EKN', 'A290OV59Q76QC8']","[399.737, 49.089]",4
a wet blanket,"after the rainstorm, the picnic blanket was being a wet blanket on the ground",literal,a person who spoils other people's fun.,literal,literal,literal,"['3XC1O3LBO82U2BZ3XAI53SXVWGHLTN', '3GD6L00D38DDZ95FV3ZAXZTP42G1MW']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[106.194, 40.352]",2
a whale of,we had a whale of a time at the amusement park,figurative,very big (piece) of something,figurative,figurative,figurative,"['3N1FSUEFLLGRNEWL5SJ9C7DY7IGD45', '3TDXMTX3CRAMACGLGUDZ02DPVEUI6X']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[110.017, 36.569]",4
a whale of,the marine biologist had a whale of a time studying the humpback's behavior,literal,very big (piece) of something,literal,literal,literal,"['34Z02EIMI8TH5FAH8HWM5857TS9T09', '3GDTJDAPVARVA9P0UO8PC9GXIIPM8O']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[55.474, 35.955]",3
a whole new ball game,"after the company's merger, it's a whole new ball game for the employees",figurative,a significant change in circumstances.,figurative,figurative,figurative,"['3GLB5JMZFDB7ZUP50TLALWA1XNADGD', '3WOKGM4L7HW1SN59C0ANBYZKUKSO0I']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[147.315, 42.689]",3
a whole new ball game,"when they switched from soccer to baseball, it's a whole new ball game for the players",literal,a significant change in circumstances.,literal,literal,literal,"['3GNA64GUZUK3864QOJ83HYQBQTLQ5D', '3YJ6NA41JRWQFTIWD8X8I3J63YUJP1']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[47.881, 48.822]",3
a witch hunt,the company started a witch hunt to find the person responsible for the leak,figurative,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,figurative,figurative,figurative,"['3BDCF01OGDAQJXYX7G54B9PABI0LYD', '3Y54SXRO111XL1MX6OA6UFTE97ATUP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[113.946, 31.328]",2
a witch hunt,"during the historical reenactment, they started a witch hunt to portray the events accurately",literal,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,literal,literal,literal,"['358010RM5U94FXKHGOL8F4G30KPVX1', '37XITHEISCPOJSS5G8KB0U6QEWORC2']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[27.3, 89.316]",4
acid test,moving in together was the acid test for their relationship to see if they could handle living with each other,figurative,a test that proves a hypothesis or validity of a product or idea,figurative,figurative,figurative,"['3XUHV3NRV0EQVD5N5TL98KYAZWNH5M', '3RKNTXVS32ETP7T9LIS7M65SM514AS']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[65.204, 151.035]",2
acid test,the chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,literal,a test that proves a hypothesis or validity of a product or idea,literal,literal,literal,"['34BBWHLWHQRK4RVR7CQ3YWC2JG8IWJ', '386PBUZZXVD0O83YLG411MAMYOTLJ5']","['A2LMQ4497NMK3S', 'APRZ7BR8C0ZMQ']","[155.306, 39.065]",3
across the board,the company saw improvements across the board after implementing new strategies,figurative,applying to everyone,figurative,figurative,figurative,"['3KB8R4ZV1UNEKXRLMXU4Q6M1U2EBGK', '3TXD01ZLDKXD4G77RN9YM7HMTICU4X']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[24.505, 40.978]",4
across the board,the chess master made improvements across the board by adjusting the positions of his pieces,literal,applying to everyone,literal,literal,literal,"['3D4CH1LGEQ9VW4COODG8Z0RB62VG9Z', '333U7HK6IPVHQWF68Z6DI92HPFRJDN']","['A290OV59Q76QC8', 'APGX2WZ59OWDN']","[92.342, 55.866]",3
act of God,the sudden storm that saved the village from invaders was considered an act of God,figurative,an occurrence of out of control natural forces in action,tie,literal,figurative,"['35GMH2SV3UX0JDK3K792WN1OOL2EOU', '3IUZPWIU14NBAMLF7FBFBCRFBKXWK8']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[97.737, 44.829]",3
act of God,"in the play, the actor portraying Zeus performed an act of God by throwing a lightning bolt",literal,an occurrence of out of control natural forces in action,tie,figurative,literal,"['3RANCT1ZVVXXPFSG62JLULNS3AUBUL', '3WOKGM4L7HW1SN59C0ANBYZKUK80OA']","['A38DXFI1TZA295', 'AKQAI78JTXXC9']","[35.555, 70.039]",4
add fuel to the flames,"by spreading rumors, they added fuel to the flames of the ongoing conflict",figurative,"an action, whether verbal or physical that makes a bad situation even worse",figurative,figurative,figurative,"['3NQL1CS157OTF2ARLK7AYINC2Q4YVV', '3IOEN3P9SNZBA6KN8NST83W3EC516A']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[101.669, 26.319]",3
add fuel to the flames,"to keep the bonfire going, they added fuel to the flames by throwing more wood",literal,"an action, whether verbal or physical that makes a bad situation even worse",literal,literal,literal,"['34HJIJKLPLCDHVW7WDJ3ITJ57PL4VW', '3QHK8ZVMI2YU6P5MXORK3YR9QJ0BLQ']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[97.163, 42.376]",4
afraid of my own shadow,I was so nervous that I became afraid of my own shadow during the presentation,figurative,to be very nervous or easily frightened,figurative,figurative,figurative,"['3R6P78PK70REGJL2MJLPQ0SN09YGTZ', '3ZY8KE4ISZJK60J5UAQGLWKA3HNQVK']","['A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']","[152.613, 42.789]",3
afraid of my own shadow,the haunted house made me so jumpy that I was afraid of my own shadow,literal,to be very nervous or easily frightened,tie,literal,figurative,"['3VP0C6EFSWC86V6C19BRSVK6CNFM6I', '3ON104KXQ0CQWKWCMNOZ4V2JEYMW4X']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[99.163, 27.507]",4
against the clock,"with the deadline approaching, we were racing against the clock to finish the project",figurative,in a great hurry to finish something before a particular time,tie,literal,figurative,"['3X65QVEQIG3DGUXSBONFEIXR84ZLC6', '38BQUHLA9CGYV1CG15XL9V6XXN8OM8']","['A110KENBXU7SUJ', 'AX8NXTT8QMGHC']","[33.41, 102.137]",4
against the clock,"in the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",literal,in a great hurry to finish something before a particular time,literal,literal,literal,"['3LYA37P8I63JMJN4COFJOYEU1JFBK7', '39N5ACM9HU319H5NRW6VT9537TIP9C']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.569, 75.92]",3
against the grain,his decision to quit his job was going against the grain of his family's expectations,figurative,a difficult path to be followed,figurative,figurative,figurative,"['3TMSXRD2XMG94LZTZ55X6XVG2ECW1K', '32KTQ2V7RTVVOE8AZGE3C5B82ONM9T']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[34.797, 40.846]",4
against the grain,"when sanding wood, going against the grain can cause scratches and damage",literal,a difficult path to be followed,literal,literal,literal,"['3S96KQ6I92KB4ZBBKTKHKFPQNHYDT2', '3SITXWYCNBPP6JMBB7U8ESMWXS9XBX']","['AKQAI78JTXXC9', 'AURYD2FH3FUOQ']","[68.396, 52.884]",4
ages,it feels like I haven't seen you in ages since we last met,figurative,a long time; a very long time,figurative,figurative,figurative,"['34Z02EIMI8TH5FAH8HWM5857TS9T09', '3GDTJDAPVARVA9P0UO8PC9GXIIPM8O']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[55.474, 35.955]",3
ages,"during our time-travel adventure, I haven't seen you in ages as we got separated in different eras",literal,a long time; a very long time,tie,literal,figurative,"['3L2IS5HSFQYZQOHD9SOULGNMKZ6NUK', '3BGYGHDBBD0UHQJI4PG4N9PWQDX22R']","['APRZ7BR8C0ZMQ', 'AX8NXTT8QMGHC']","[55.438, 43.511]",4
ahead of the curve,"by constantly learning new skills, she was staying ahead of the curve in her industry",figurative,better than others,figurative,figurative,figurative,"['3LYA37P8I63JMJN4COFJOYEU1JFBK7', '39N5ACM9HU319H5NRW6VT9537TIP9C']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.569, 75.92]",3
ahead of the curve,the race car driver was staying ahead of the curve by maintaining a lead on the track,literal,better than others,literal,literal,literal,"['3L2IS5HSFQYZQOHD9SOULGNMKZ6NUK', '3BGYGHDBBD0UHQJI4PG4N9PWQDX22R']","['APRZ7BR8C0ZMQ', 'AX8NXTT8QMGHC']","[55.438, 43.511]",4
ahead of the pack,"by consistently innovating, the company is staying ahead of the pack in the industry",figurative,more successful than other people who are trying to achieve the same things,figurative,figurative,figurative,"['3S4AW7T80RYALQKDI9HXVKL3GRK4LE', '3AMYWKA6YR2W6YROEPQ4KZ9B7NTO6Y']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[30.896, 35.2]",4
ahead of the pack,"during the marathon, the lead runner was staying ahead of the pack of other runners",literal,more successful than other people who are trying to achieve the same things,literal,literal,literal,"['34Q075JO1DTGWVY86YCCZ2MC19J109', '37TRT2X2467OBZHMU3F7NJEHMUFJBG']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[88.712, 44.096]",3
air their dirty laundry,"during the family reunion, they aired their dirty laundry in front of everyone",figurative,to make public something embarrassing that should be kept secret,figurative,figurative,figurative,"['3BC8WZX3VJCSPUHOY5A6PP5CEXCRRT', '36V4Q8R5Z0G1GDPWGIPPY01XCOBQM3']","['A38DXFI1TZA295', 'APGX2WZ59OWDN']","[64.305, 123.839]",3
air their dirty laundry,they aired their dirty laundry outside on the clothesline,literal,to make public something embarrassing that should be kept secret,literal,literal,literal,"['3Z7EFSHGNPU8GOEHP7Q3PCSEF3RCXH', '3EG49X351ASJ075GFGD03C04JHG6XJ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[62.052, 146.511]",2
all Greek to me,"when he started talking about quantum physics, it's all Greek to me",figurative,used to convey that you cannot understand what is being said or written,figurative,figurative,figurative,"['3CFJTT4SX965ECUQZ4IR6GDLQPEI7W', '3R9WASFE2FW4OVY6HR4PU3TSKQZZFE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[107.171, 99.553]",4
all Greek to me,"since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",literal,used to convey that you cannot understand what is being said or written,literal,literal,literal,"['3M23Y66POINB4QJHL67D44JC4CX6SE', '3XC1O3LBO82U2BZ3XAI53SXVWQZLTP']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[104.64, 36.032]",4
all ears,"when she started telling her story, I promised to be all ears",figurative,saying that you are all ears means the other person has got your full attention in terms of listening to him,figurative,figurative,figurative,"['3Z3ZLGNNSYA0URHMA0KA21SRCXUQ3N', '3SKEMFQBZJL0KLPX9CV9XWOTTDU8K5']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[45.827, 139.141]",3
all ears,"in the surreal art exhibit, the walls appeared to be all ears",literal,saying that you are all ears means the other person has got your full attention in terms of listening to him,literal,literal,literal,"['36WLNQG78FQG0JVUG24GQ31PHCGEB3', '37C0GNLMHVJ5210ZOGCO95XC3Z4D6O']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[116.321, 153.414]",2
"all singing, all dancing","the company's annual party was an all singing, all dancing event with various performances",figurative,"Something that is full of verve, vivacity and liveliness.",literal,literal,literal,"['3EA3QWIZ4YBSCARXC7LSBC53FM5IT8', '3IFS6Q0HJYZRXAEIN7G2179HD3RISJ']","['A1HKYY6XI2OHO1', 'AURYD2FH3FUOQ']","[99.903, 55.22]",4
"all singing, all dancing","the talent show was an all singing, all dancing event where every participant sang and danced simultaneously",literal,"Something that is full of verve, vivacity and liveliness.",literal,literal,literal,"['337RC3OW0LI9F33S25IK4ALGTB0LVQ', '3X4MXAO0BW4XXQYAXZKCCODT6CRWR1']","['A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']","[151.871, 56.632]",3
all the rage,"in the 90s, the new fashion trend was all the rage among teenagers",figurative,when something is the height of popularity,figurative,figurative,figurative,"['3SB5N7Y3OJKD0AOBOHXF6PQI3OYG00', '3DIP6YHAPS8XYLXNDQK6Z1BO96VE84']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[120.967, 52.012]",2
all the rage,"when the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",literal,when something is the height of popularity,literal,literal,literal,"['3BQU611VF50GHUPGA7AY7J5O2P1992', '326O153BMYE9FGTEUYVMLTPPK7VDEW']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[57.594, 51.402]",3
all the way up,her career went all the way up after she landed a major role in a blockbuster movie,figurative,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",figurative,figurative,figurative,"['354GIDR5ZRMGP6DQAF8CLX32WHS00K', '3MAOD8E576QR7SB8EXZH5NMQEHNNXC']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[30.421, 34.83]",4
all the way up,the elevator went all the way up to the top floor of the building,literal,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",literal,literal,literal,"['358010RM5U94FXKHGOL8F4G30KPVX1', '37XITHEISCPOJSS5G8KB0U6QEWORC2']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[27.3, 89.316]",4
