idiom,meaning,intended_figurative,intended_literal,maxVote_figurative,maxVote_literal,gold_figurative,gold_literal,well_formed
asleep at the switch,failing to attend to one's responsibilities or duties,the manager was asleep at the switch when the crisis occurred,the train operator fell asleep at the switch during his break,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",the manager was asleep at the wheel when the company lost a major client,he was so exhausted that he fell asleep at the wheel while driving,tie,literal,"['figurative', 'ambiguous']","['literal', 'literal']",False
at an arm's length,as far away from your body as possible,she kept it at an arm's length to avoid getting too involved in the situation,he kept it at an arm's length to prevent the paint from smudging his clothes,tie,literal,"['figurative', 'ambiguous']","['literal', 'literal']",False
at daggers drawn,almost ready to fight,the two politicians were at daggers drawn with each other during the debate,the actors were at daggers drawn with each other during the stage fight scene,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",she started at the bottom of the ladder in the company and worked her way up,"before climbing, she started at the bottom of the ladder and checked each rung for stability",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
at the drop of a dime,something that can happen very fast without hesitation,our team is always ready at the drop of a dime to tackle any challenge,the coin collector was ready at the drop of a dime to catch the rare coin,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
at the drop of the hat,to do something easily and without any preparation,she was always ready at the drop of a hat to help her friends,"as a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
at the heels of,close behind or soon after something,"the ambitious employee was at the heels of the leader, trying to impress them",the dog was at the heels of the leader during the hike,figurative,tie,"['figurative', 'figurative']","['literal', 'figurative']",False
at the helm,"in charge of an organization, group of people, etc.","she was at the helm of the project, guiding the team to success","the captain stood at the helm of the project, steering the ship through the storm",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
ate her alive,to criticize someone severely because you are angry with them,the guilt of lying to her best friend it ate her alive for days,"in the horror movie, the monster found her hiding spot and it ate her alive",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
axe to grind,have a private or selfish reason for doing something,he had an axe to grind with his coworker after the disagreement,the lumberjack had an axe to grind before chopping down the tree,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
back against the wall,to be in a tough situation with limited options,"with no other options left, he had his back against the wall and had to make a decision",he had his back against the wall while waiting for the elevator,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
back door,to take indirect or unofficial route to get something done,she went through the back door to get a promotion without proper qualifications,she went through the back door to avoid being seen by the guests,figurative,tie,"['figurative', 'figurative']","['ambiguous', 'literal']",False
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,she backed the wrong horse when she supported the losing candidate,"at the racetrack, she backed the wrong horse and lost her bet",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
back to the drawing board,back to the planning stage,"after the failed presentation, we were going back to the drawing board to revise our strategy",the architect realized he made a mistake and was going back to the drawing board to fix it,tie,figurative,"['literal', 'figurative']","['figurative', 'figurative']",False
back to the salt mines,"resume work, usually with some reluctance","after a relaxing vacation, it's time for going back to the salt mines and working hard",the miners finished their lunch break and were going back to the salt mines to continue their work,ambiguous,literal,"['ambiguous', 'ambiguous']","['literal', 'literal']",False
backroom boy(s),people who work in anonymity,the company's success was largely due to the backroom boys who worked tirelessly behind the scenes,"in the storage area, the backroom boys were busy organizing and restocking shelves",tie,literal,"['literal', 'figurative']","['literal', 'literal']",False
bad blood,to have ill feelings towards someone,"due to their past disagreements, there's bad blood between them","after the transfusion, the doctor discovered that there's bad blood between them",figurative,tie,"['figurative', 'figurative']","['literal', 'ambiguous']",False
bad egg,someone who fails to meet expectations,"despite his charming demeanor, he turned out to be a bad egg in the company",the carton of eggs we bought turned out to be a bad egg when we cracked it open,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bag and baggage,(with) all one's belongings.,"after the argument, they left with bag and baggage, cutting all ties with their family","before the storm hit, they left with bag and baggage to evacuate their home",figurative,tie,"['figurative', 'figurative']","['literal', 'figurative']",False
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,he felt like he was carrying a ball and chain with his overwhelming responsibilities,the prisoner was carrying a ball and chain as a part of his punishment,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.","she tackled her tasks like a ball of fire, completing them quickly and efficiently",the meteor appeared like a ball of fire as it streaked across the sky,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bang head against wall,to be frustrated in your efforts to change something or make something happen,trying to solve that complex math problem felt like banging head against the wall,he accidentally tripped and ended up banging head against the wall,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bare bones,most basic and important elements or facts,"during the meeting, she presented the bare bones of the project plan",the archaeologist presented the bare bones of the ancient skeleton,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,accusing her of stealing the documents was barking up the wrong tree,"the confused dog was barking up the wrong tree, as the squirrel had already moved to another one",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bats in the belfry,to be silly and slightly crazy and behave in a confused way,his wild theories and peculiar behavior made others think he had bats in the belfry,the old church tower had bats in the belfry that flew out at dusk,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
batten down the hatches,to get ready for trouble,"when the company announced layoffs, employees had to batten down the hatches and prepare for the worst","as the storm approached, the sailors rushed to batten down the hatches on the ship",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
baying for blood,want somebody to be hurt or punished.,the angry mob was baying for blood after the politician's scandal,the pack of hungry wolves was baying for blood as they hunted their prey,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,their opposing political views put them on a collision course with each other,"the two ships, sailing at full speed, were on a collision course with each other",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
beat around the bush,avoid talking about the main topic,"if you have something to say, just stop beating around the bush and tell me","if you want to trim the garden, stop beating around the bush and start cutting it",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
beat the drum,to speak eagerly about something you support,he tirelessly beat the drum for the cause to raise awareness about climate change,the musician beat the drum for the cause during the charity concert,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bee in bonnet,be possessed with one thought or scheme,she had a bee in her bonnet about the new policy changes,"during the picnic, she accidentally had a bee in her bonnet and panicked",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
been tailor made,specially made for a particular purpose,the job opportunity has been tailor made for her skills and experience,the suit has been tailor made to fit his measurements perfectly,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
begun to see the light,to suddenly begin to understand,"after hours of studying, he finally began to see the light and understood the concept","as the sun rose, she began to see the light streaming through the window",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
behind bars,to be in jail or prison,the judge's decision to put him behind bars was due to his criminal actions,the zookeeper put him behind bars to clean the animal cages,literal,literal,"['literal', 'literal']","['literal', 'literal']",False
behind closed doors,in clandestine,the board members discussed the matter behind closed doors to maintain confidentiality,"they stood behind closed doors while discussing the matter, as the room was too noisy",tie,literal,"['literal', 'figurative']","['literal', 'literal']",False
being bouncing off the walls,excited and full of nervous energy,the kids were bouncing off the walls after eating too much candy,the rubber ball kept bouncing off the walls in the small room,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bells and whistles,special features that are added to a product or system to attract more buyers,the new software update added bells and whistles to improve user experience,the parade float designer added bells and whistles to create a festive atmosphere,figurative,tie,"['figurative', 'figurative']","['ambiguous', 'literal']",False
below the belt,to be mean and unfair (in a fight),"insulting her intelligence, that comment was below the belt",the referee declared that comment was below the belt when the boxer hit his opponent in the groin,figurative,tie,"['figurative', 'figurative']","['discard', 'literal']",False
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),I always bend over backwards for them to make sure they're happy,"during the yoga class, we had to bend over backwards for them to demonstrate the pose",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bent out of shape,to become angry.,he got bent out of shape when he found out his favorite band was sold out,the metal rod got bent out of shape after the car accident,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bent your ears,to talk to someone for a very long time about something boring,the speaker bent their ears with his captivating stories,the strong wind bent their ears as they walked through the storm,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bet on the wrong horse,support a person or thing that ultimately fails,she bet on the wrong horse when she chose to invest in that failing company,"at the racetrack, she bet on the wrong horse and lost her money",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
better half,spouse,I enjoy spending time with my better half on weekends,"I cut the cake in two and decided to eat the bigger portion, spending time with my better half",figurative,tie,"['figurative', 'figurative']","['literal', 'discard']",False
between a rock and a hard place,having two very bad choices,he was caught between a rock and a hard place when he had to choose between his job and his family,"while hiking, she found herself caught between a rock and a hard place in a narrow passage",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
between you and me,a secret to be kept between two people,"between you and me, there's a secret that I can't share with anyone else","he placed a mysterious box between you and me, there's a secret hidden inside it",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",the psychic claimed she looked beyond the veil and communicated with spirits,"standing in front of the window, she looked beyond the veil and saw the beautiful garden",tie,literal,"['figurative', 'ambiguous']","['literal', 'literal']",False
big brother,A large organization or government agency that tries to control all aspects of human life and society.,"with the new surveillance system, we felt like we were being watched by big brother","as the younger sibling, she was always watched by big brother during their childhood",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
big cheese,to be an important and successful individual,"in the company, he's the big cheese and everyone respects him","at the cheese festival, they displayed the big cheese weighing over 100 pounds",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
big deal,important thing,he made it a big deal when she forgot to call him back,the company made it a big deal when they signed a multi-million dollar contract,tie,tie,"['literal', 'figurative']","['ambiguous', 'literal']",False
big gun,a very powerful individual,"to solve the complex problem, we had to bring in the big gun from the head office","to defend the fort, they had to bring in the big gun from the armory",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
big mouth,someone who talks too much,"he can't keep a secret, he has a big mouth",the hippopotamus has a big mouth to consume large amounts of food,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bigger fish to fry,"to have other, more important things to do.","I can't focus on this minor issue, I have bigger fish to fry at work","I can't cook these small ones now, I have bigger fish to fry for the dinner party",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bite head off,overreact in an angry or harsh way,she was so angry that she bit his head off when he tried to explain,the snake bit his head off when he got too close to its nest,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage","by accepting too many projects at once, he bit off more than he could chew",he bit off more than he could chew when he tried to eat the whole sandwich in one bite,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bite the bullet,to endure a painful experience that you cannot avoid,he bit the bullet and faced the consequences of his actions,"during the reenactment, the actor bit the bullet and faced the audience",figurative,tie,"['figurative', 'figurative']","['figurative', 'literal']",False
bite the hand that feed,to turn against someone who has been a benefactor in the past,"by criticizing her mentor, she bit the hand that fed her",the untrained dog bit the hand that fed him,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bits and pieces,miscellaneous small objects,"after the meeting, we gathered the bits and pieces of information to create a report","following the vase's shattering, we gathered the bits and pieces from the floor",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bitter medicine,something difficult to accept,the harsh criticism was a dose of bitter medicine that helped him improve,the doctor prescribed a dose of bitter medicine to treat his illness,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bitter pill,something unpleasant to be endured,he had to swallow a bitter pill when he realized he couldn't afford his dream car,the medicine was so awful that she had to swallow a bitter pill,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
black and blue,"hurt, either bodily, emotionally or psychologically","after the harsh criticism, his ego was bruised black and blue",he fell off his bike and was bruised black and blue all over his body,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
black book,a book containing a list of secret contacts,"after betraying his trust, she was found in the black book of his memories",the old photograph was found in the black book on the dusty shelf,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
black hole,a place in which things are lost never to be seen again,"the inefficient department created a black hole in the system, draining resources",scientists discovered a black hole in the system while observing the galaxy,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
black sheep,a disgrace,"despite his successful siblings, John's unconventional career choice made him the black sheep in their midst","among the white ones, there was the black sheep in their midst grazing in the field",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
blank check,Complete authority or unrestricted freedom of action or a free hand.,the CEO gave him a blank check to make any necessary changes in the department,she gave him a blank check to fill in the amount for the charity donation,figurative,tie,"['figurative', 'figurative']","['figurative', 'literal']",False
blazing row,a very angry argument,the couple next door had a blazing row over their finances,the firefighters had a blazing row of flames to extinguish,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
blind as a bat,unconscious to something,"without his glasses, he's as blind as a bat and can't see anything","the cave-dwelling creature was as blind as a bat, relying on echolocation to navigate",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
blind leading the blind,someone who does not understand something but tries to explain it to others,"when it comes to cooking, it's like the blind leading the blind when my brother and I try to help each other","in the experimental theater performance, they portrayed the blind leading the blind as a powerful metaphor",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
blind spot,"if you have a blind spot about something, you cannot accept or understand it",he had a blind spot when it came to recognizing his own flaws,the car had a blind spot that made it difficult to see pedestrians,figurative,tie,"['figurative', 'figurative']","['figurative', 'literal']",False
"blood, sweat, and tears",putting a lot of effort to get a task done.,"he put in blood, sweat, and tears to build his business from the ground up","after the intense workout, he put in blood, sweat, and tears on the gym floor",figurative,tie,"['figurative', 'figurative']","['figurative', 'discard']",False
blow away,impress someone very much,their innovative product blew away the competition in the market,the strong gust of wind blew away the competition papers from the table,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
blow cover,to reveal the true identity,the undercover agent blew their cover by accidentally revealing their true identity,the strong wind blew their cover off the outdoor furniture,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,he never hesitates to blow his own horn about his accomplishments,"as a trumpet player, he would blow his own horn during practice",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
blow your own trumpet,to say things that makes your own self or kin look good,he was always blowing his own trumpet about his accomplishments,"during the parade, he was blowing his own trumpet as part of the marching band",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
blowing smoke,to intentionally misinform or deceive,he was just blowing smoke at the meeting to make himself look good,the magician was blowing smoke at the meeting as part of his performance,figurative,tie,"['figurative', 'figurative']","['ambiguous', 'literal']",False
blue blood,a member of an upper-class family,they were considered a blue blood family due to their aristocratic lineage,"in a bizarre science fiction world, they were a blue blood family with copper-based hemocyanin",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
blue eyed boy,a person who is treated with special favor.,"he was the blue-eyed boy of the company, always receiving praise and promotions",the child with striking azure irises was the blue-eyed boy in the family,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
body and soul,with all one's effort and ability,"he committed body and soul to the cause, working tirelessly for its success",the artist's sculpture committed body and soul by depicting a human figure intertwined with a spiritual essence,figurative,tie,"['figurative', 'figurative']","['discard', 'literal']",False
bone to pick,having a complaint that needs to be discussed.,he had a bone to pick with her after she made a snide comment about his work,the dog had a bone to pick with her when she tried to take it away,figurative,tie,"['figurative', 'figurative']","['literal', 'discard']",False
born yesterday,naive; inexperienced,he was not born yesterday and could easily see through their lies,"since today is her first birthday, she was not born yesterday",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bread and butter,to indicate what a person earns or earns for,"graphic design is their bread and butter, as it's their main source of income","on the table, there was their bread and butter ready for breakfast",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
break a leg,good luck,"before her performance, we told her to break a leg on stage","during the play, the actor accidentally tripped and managed to break a leg on stage",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
break down,to stop working,"let me break down the situation for you, so you can understand the complexity",the firefighters had to break down the situation by removing debris after the collapse,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",we started breaking the ice together by playing a fun team-building game,"during the winter expedition, we were breaking the ice together to clear a path",figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
break the mould,to do something different from what is expected,her innovative ideas were breaking the mould in the industry,the sculptor was breaking the mould to reveal the finished statue,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
break up,end a romantic relationship with someone,"after months of arguments, they decided to break up and end their relationship",the construction workers decided to break up the concrete with a jackhammer,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
bright spark,an intelligent and lively person (humorously),"she was a bright spark in the team, always coming up with innovative ideas",the firework display created a bright spark in the night sky,figurative,literal,"['figurative', 'figurative']","['literal', 'literal']",True
