idiom,instance,label,meaning,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe,batch_num,gold,WorkerIdPosition
backroom boy(s),the company's success was largely due to the backroom boys who worked tirelessly behind the scenes,figurative,people who work in anonymity,tie,literal,figurative,"['3CPLWGV3M4F16WTABHT3PK087EI9N1', '3QHK8ZVMI2YU6P5MXORK3YR9QJKBLA']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[75.512, 152.174]",3,"['literal', 'figurative']",0
bad blood,"after the transfusion, the doctor discovered that there's bad blood between them",literal,to have ill feelings towards someone,tie,literal,ambiguous,"['3CPLWGV3M4F16WTABHT3PK0874EN9R', '34MAJL3QPK3T5MUOC3DXZYRMGVA43X']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[108.83, 111.134]",2,"['literal', 'ambiguous']",1
ball and chain,the prisoner was carrying a ball and chain as a part of his punishment,literal,a burden or problem that ties you down and prevents you from doing what you want,literal,literal,literal,"['3CPLWGV3M4F16WTABHT3PK0874EN9R', '34MAJL3QPK3T5MUOC3DXZYRMGVA43X']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[108.83, 111.134]",2,"['literal', 'literal']",1
bare bones,the archaeologist presented the bare bones of the ancient skeleton,literal,most basic and important elements or facts,literal,literal,literal,"['3D4CH1LGEQ9VW4COODG8Z0RB6SS9G5', '39RP059MEX9EC7N7X0SZ3B6YQE8BMQ']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.477, 87.946]",2,"['literal', 'literal']",1
bats in the belfry,his wild theories and peculiar behavior made others think he had bats in the belfry,figurative,to be silly and slightly crazy and behave in a confused way,figurative,figurative,figurative,"['3P1L2B7ADH5EPJUV1TW69IR8X80LO1', '37FMASSAYS7SGOXGCLU7BIZH95OBIA']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[100.216, 34.816]",2,"['figurative', 'figurative']",1
batten down the hatches,"when the company announced layoffs, employees had to batten down the hatches and prepare for the worst",figurative,to get ready for trouble,figurative,figurative,figurative,"['3R6BYFZZPNSFJ0YRG9G4XIDHCQ1XFF', '34PGFRQON4RGZ2FXPUB3AXR2WVCWJO']","['A110KENBXU7SUJ', 'AKQAI78JTXXC9']","[37.455, 66.721]",4,"['figurative', 'figurative']",1
baying for blood,the angry mob was baying for blood after the politician's scandal,figurative,want somebody to be hurt or punished.,figurative,figurative,figurative,"['3SNLUL3WOK392OESXF8F8OJXF4RULA', '3FDJT1UU7KOHX36VBEO6LCE2RNTK5F']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[74.656, 47.882]",3,"['figurative', 'figurative']",0
bee in bonnet,"during the picnic, she accidentally had a bee in her bonnet and panicked",literal,be possessed with one thought or scheme,literal,literal,literal,"['3SLE99ER03TEBEMQCPITBD275SSZBH', '37UEWGM5H9O4WPI70BVRJYNZAZIR1X']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[85.842, 46.261]",3,"['literal', 'literal']",0
begun to see the light,"after hours of studying, he finally began to see the light and understood the concept",figurative,to suddenly begin to understand,figurative,figurative,figurative,"['3Y5140Z9DDWUKIYQVQC86246QJ5PIV', '3K2755HG58J1LUTAP9FS3BAPW8ADFE']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[56.018, 35.237]",3,"['figurative', 'figurative']",0
behind bars,the judge's decision to put him behind bars was due to his criminal actions,figurative,to be in jail or prison,literal,literal,literal,"['3VHHR074HJX74D2WK7F4YW5D7T8L7D', '39ASUFLU6DNNDMYVLYWYF0SH0PMXEX']","['A110KENBXU7SUJ', 'A290OV59Q76QC8']","[80.386, 62.228]",4,"['literal', 'literal']",0
behind closed doors,"they stood behind closed doors while discussing the matter, as the room was too noisy",literal,in clandestine,literal,literal,literal,"['3WYP994K1N780CVQKCZ2MQ7DLXE6YD', '33C7UALJV1EYEK3B12PRSHSUK7V18W']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[81.097, 55.715]",3,"['literal', 'literal']",0
bells and whistles,the parade float designer added bells and whistles to create a festive atmosphere,literal,special features that are added to a product or system to attract more buyers,tie,ambiguous,literal,"['336KAV9KY68KIBCPXANZWDQ15SQY22', '37C0GNLMHVJ5210ZOGCO95XC39O6DL']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[42.775, 33.368]",4,"['ambiguous', 'literal']",0
bend over backwards,I always bend over backwards for them to make sure they're happy,figurative,do all in one's power (usually to achieve something or accommodate somebody),figurative,figurative,figurative,"['3E1QT0TDF5P9EQZ999AXKG9G19L8IA', '37UQDCYH6DBA0IEQYBHAL53FYRAV76']","['AKQAI78JTXXC9', 'APRZ7BR8C0ZMQ']","[106.53, 42.027]",4,"['figurative', 'figurative']",0
bent out of shape,he got bent out of shape when he found out his favorite band was sold out,figurative,to become angry.,figurative,figurative,figurative,"['3AZHRG4CUK0C6YCNT2QVNV19ZTC03F', '3WQ3B2KGEOWHGI1I4E91JJIVSDV1BA']","['A110KENBXU7SUJ', 'AX8NXTT8QMGHC']","[19.786, 33.885]",4,"['figurative', 'figurative']",0
between a rock and a hard place,he was caught between a rock and a hard place when he had to choose between his job and his family,figurative,having two very bad choices,figurative,figurative,figurative,"['3BDCF01OGDAQJXYX7G54B9PABI0LYD', '3Y54SXRO111XL1MX6OA6UFTE97ATUP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[113.946, 31.328]",2,"['figurative', 'figurative']",0
between you and me,"he placed a mysterious box between you and me, there's a secret hidden inside it",literal,a secret to be kept between two people,literal,literal,literal,"['3U088ZLJV099XWEB3M1XSSC6XM70WM', '33CID5710K9P3U19IVCELFTX2RML38']","['AKQAI78JTXXC9', 'AX8NXTT8QMGHC']","[86.793, 48.424]",4,"['literal', 'literal']",0
big cheese,"in the company, he's the big cheese and everyone respects him",figurative,to be an important and successful individual,figurative,figurative,figurative,"['34Q075JO1DTGWVY86YCCZ2MC19J109', '37TRT2X2467OBZHMU3F7NJEHMUFJBG']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[88.712, 44.096]",3,"['figurative', 'figurative']",0
big cheese,"at the cheese festival, they displayed the big cheese weighing over 100 pounds",literal,to be an important and successful individual,literal,literal,literal,"['3CPLWGV3M4F16WTABHT3PK087EI9N1', '3QHK8ZVMI2YU6P5MXORK3YR9QJKBLA']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[75.512, 152.174]",3,"['literal', 'literal']",0
big deal,he made it a big deal when she forgot to call him back,figurative,important thing,tie,literal,figurative,"['3YDGXNSEOFAF6J0UOK8TQFZXWR548C', '3LWJHTCVCS2VA3XFUVLC3AHOFNZQFW']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[70.601, 146.717]",3,"['literal', 'figurative']",0
big deal,the company made it a big deal when they signed a multi-million dollar contract,literal,important thing,tie,ambiguous,literal,"['34Q075JO1DTGWVY86YCCZ2MC19J109', '37TRT2X2467OBZHMU3F7NJEHMUFJBG']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[88.712, 44.096]",3,"['ambiguous', 'literal']",0
big mouth,"he can't keep a secret, he has a big mouth",figurative,someone who talks too much,figurative,figurative,figurative,"['3RANCT1ZVVXXPFSG62JLULNS3AUBUL', '3WOKGM4L7HW1SN59C0ANBYZKUK80OA']","['A38DXFI1TZA295', 'AKQAI78JTXXC9']","[35.555, 70.039]",4,"['figurative', 'figurative']",1
bite the bullet,"during the reenactment, the actor bit the bullet and faced the audience",literal,to endure a painful experience that you cannot avoid,tie,figurative,literal,"['3E1QT0TDF5P9EQZ999AXKG9G19L8IA', '37UQDCYH6DBA0IEQYBHAL53FYRAV76']","['AKQAI78JTXXC9', 'APRZ7BR8C0ZMQ']","[106.53, 42.027]",4,"['figurative', 'literal']",0
bitter pill,he had to swallow a bitter pill when he realized he couldn't afford his dream car,figurative,something unpleasant to be endured,figurative,figurative,figurative,"['3KYQYYSHYBNVR763OCYIQ5J3OZYODO', '3MMN5BL1WFK99CJUI7DTLS8M2MVM3A']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.239, 71.186]",2,"['figurative', 'figurative']",1
bitter pill,the medicine was so awful that she had to swallow a bitter pill,literal,something unpleasant to be endured,literal,literal,literal,"['3B837J3LD4C4Q9H1DUABFZA80ZVRSH', '3018Q3ZVOY60QDV7WUOKUZG2ETORAL']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[71.476, 19.786]",3,"['literal', 'literal']",0
black book,the old photograph was found in the black book on the dusty shelf,literal,a book containing a list of secret contacts,literal,literal,literal,"['3OONKJ5DKSZ2CA8JAG7CVFV3LO4OBJ', '3ZGVPD4G69XE70G7CB9EB78TBZ7ZTM']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[28.331, 143.753]",4,"['literal', 'literal']",0
black sheep,"despite his successful siblings, John's unconventional career choice made him the black sheep in their midst",figurative,a disgrace,figurative,figurative,figurative,"['3QAVNHZ3E2KPNF0URARO8N7381ELA4', '3JWH6J9I98TKUP87917ZGQVYVE0BNS']","['A110KENBXU7SUJ', 'APRZ7BR8C0ZMQ']","[37.111, 86.87]",4,"['figurative', 'figurative']",0
blazing row,the firefighters had a blazing row of flames to extinguish,literal,a very angry argument,literal,literal,literal,"['3SPJ03342HJKO7AX4VTRVUCI7TVJY9', '38JBBYETQ4QWFKAL1NUTIPVJ7K0E4Y']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[49.674, 47.302]",2,"['literal', 'literal']",1
blind leading the blind,"when it comes to cooking, it's like the blind leading the blind when my brother and I try to help each other",figurative,someone who does not understand something but tries to explain it to others,figurative,figurative,figurative,"['3LOZAJ85YTTVI6MFSE1XDZJS3MX2X1', '3X4JMASXC2PH9TG08V515EZLNLP0B6']","['AKQAI78JTXXC9', 'APRZ7BR8C0ZMQ']","[79.347, 48.131]",4,"['figurative', 'figurative']",0
blind spot,he had a blind spot when it came to recognizing his own flaws,figurative,"if you have a blind spot about something, you cannot accept or understand it",figurative,figurative,figurative,"['3BDCF01OGDAQJXYX7G54B9PABI0LYD', '3Y54SXRO111XL1MX6OA6UFTE97ATUP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[113.946, 31.328]",2,"['figurative', 'figurative']",0
"blood, sweat, and tears","after the intense workout, he put in blood, sweat, and tears on the gym floor",literal,putting a lot of effort to get a task done.,tie,figurative,discard,"['3KYQYYSHYBNVR763OCYIQ5J3OZYODO', '3MMN5BL1WFK99CJUI7DTLS8M2MVM3A']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.239, 71.186]",2,"['figurative', 'discard']",1
blow away,their innovative product blew away the competition in the market,figurative,impress someone very much,figurative,figurative,figurative,"['3OONKJ5DKSZ2CA8JAG7CVFV3LO4OBJ', '3ZGVPD4G69XE70G7CB9EB78TBZ7ZTM']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[28.331, 143.753]",4,"['figurative', 'figurative']",0
blow your own trumpet,he was always blowing his own trumpet about his accomplishments,figurative,to say things that makes your own self or kin look good,figurative,figurative,figurative,"['3NQL1CS157OTF2ARLK7AYINC2Q4YVV', '3IOEN3P9SNZBA6KN8NST83W3EC516A']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[101.669, 26.319]",3,"['figurative', 'figurative']",0
blowing smoke,the magician was blowing smoke at the meeting as part of his performance,literal,to intentionally misinform or deceive,tie,ambiguous,literal,"['3OONKJ5DKSZ2CA8JAG7CVFV3LO4OBJ', '3ZGVPD4G69XE70G7CB9EB78TBZ7ZTM']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[28.331, 143.753]",4,"['ambiguous', 'literal']",0
blue blood,"in a bizarre science fiction world, they were a blue blood family with copper-based hemocyanin",literal,a member of an upper-class family,literal,literal,literal,"['336KAV9KY68KIBCPXANZWDQ15SQY22', '37C0GNLMHVJ5210ZOGCO95XC39O6DL']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[42.775, 33.368]",4,"['literal', 'literal']",0
blue eyed boy,the child with striking azure irises was the blue-eyed boy in the family,literal,a person who is treated with special favor.,literal,literal,literal,"['3BQU611VF50GHUPGA7AY7J5O2P1992', '326O153BMYE9FGTEUYVMLTPPK7VDEW']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[57.594, 51.402]",3,"['literal', 'literal']",0
body and soul,"he committed body and soul to the cause, working tirelessly for its success",figurative,with all one's effort and ability,figurative,figurative,figurative,"['3QAVNHZ3E2KPNF0URARO8N7381ELA4', '3JWH6J9I98TKUP87917ZGQVYVE0BNS']","['A110KENBXU7SUJ', 'APRZ7BR8C0ZMQ']","[37.111, 86.87]",4,"['figurative', 'figurative']",0
bone to pick,he had a bone to pick with her after she made a snide comment about his work,figurative,having a complaint that needs to be discussed.,figurative,figurative,figurative,"['3FPRZHYEPENSZZD3WZEK8ORZTPA3VV', '3VAR3R6G15HJACAC74N24D52DI48OP']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[98.008, 40.558]",3,"['figurative', 'figurative']",0
born yesterday,he was not born yesterday and could easily see through their lies,figurative,naive; inexperienced,figurative,figurative,figurative,"['3LO69W1SUJTQX6DXDAJY49I66WRLGG', '3ND9UOO810IMUS3XSFNGQC4U0KHLWF']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[33.192, 151.904]",4,"['figurative', 'figurative']",0
break the ice,we started breaking the ice together by playing a fun team-building game,figurative,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",figurative,figurative,figurative,"['3I0BTBYZAD1DM19BINJLDPXM8U6Y0I', '308Q0PEVBOT9SVIJE1GBKC4RLF2I98']","['A2LMQ4497NMK3S', 'AKQAI78JTXXC9']","[145.492, 22.85]",4,"['figurative', 'figurative']",1
break the ice,"during the winter expedition, we were breaking the ice together to clear a path",literal,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",literal,literal,literal,"['3E1QT0TDF5P9EQZ999AXKG9G19L8IA', '37UQDCYH6DBA0IEQYBHAL53FYRAV76']","['AKQAI78JTXXC9', 'APRZ7BR8C0ZMQ']","[106.53, 42.027]",4,"['literal', 'literal']",0
