idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
the eleventh hour,at the very last minute before an event,"They finished it at the eleventh hour, proving that it was possible to complete it even under the most challenging time constraints",0,catch napping,"surprise, take unawares.",I was caught napping while I was taking a nap,1,over my dead body,"in no way, under no circumstances",It will happen over my dead body; I will never move it out of the way,1,in the bad books,out of favour,He's in the bad books because he checked them out of the library but never returned them,1,loose cannon,somebody whose activities are uncommon and out of control,"He is a total loose cannon, always taking risky decisions without considering the consequences",0
get one's feet wet,to begin taking part in a new activity,He got his feet wet,2,at sea,It means to be confused or not understand something at all.,They were at sea,2,butter up,to flatter someone so as to get something in return from them,He was buttering up the boss by complimenting his work style,0,stick in his throat,difficulty of accepting and makes you angry or resentful,The news stuck in his throat when he heard it since he never wanted it to be true,0,round the clock,continuously or interrupted,She works round the clock to get ahead in her career,0
bare bones,most basic and important elements or facts,We can only afford the bare bones,2,red tape,over excessive or time-consuming rules and bureaucracy that hinder progress,Lots of red tape,2,speak of the devil,when someone comes in unexpectedly while being talked about,I was just speaking of the devil,2,flip the bird,show someone the middle finger as an act of contempt or anger,He flipped the bird,2,long in the tooth,To get too old for something.,He is getting long in the tooth,2
know the ropes,to know all the ways and means to get something done,He knows the ropes when it comes to the stock market,0,begun to see the light,to suddenly begin to understand,I have begun to see the light as the sun came up,1,feel the pinch,experience financial hardship,I'm starting to feel the pinch,2,cry wolf,"to keep asking for help, even when you don't need it. When you really need help, no one believes you.",Don't cry wolf,2,cards are stacked against,"someone is not likely to succeed, especially because the person is not being given a fair chance",The cards are stacked against him in the poker game,1
the calm before the storm,an extremely peaceful atmosphere right before any serious incident or crisis,It was the calm before the storm as I was nervously anticipating the news of the results,0,want his head on a platter,when someone makes you so angry that you want them to be punished,I want his head on a platter because I'm so angry with him,0,knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,I know which way the wind blows because I looked at the weather report,1,gets it out of his system,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,He got it out of his system by screaming at the top of his lungs,0,keep one's own counsel,say little or nothing about one's opinions or intentions.,He kept his own counsel,2
hand in hand,close ties or connections,They walked hand in hand,2,cool heels,to wait or take rest,They had to cool their heels,2,high on the hog,someone who is used to luxury,He's been living high on the hog and enjoying the finer things in life,0,as the crow flies,in a straight line,She went as the crow flies,2,apples to apples,having a fair comparison between the two things,Let's compare apples to apples,2
piss and vinegar,to self-reference someone who is in a bad mood and ready to fight.,He was full of piss and vinegar,2,make it big,become very successful or famous,He's making it big,2,more heat than light,to cause anger or intense reaction but doesn't clarify anything,"The argument had more heat than light, indicated by the burning candles that surrounded them",1,see eye to eye,to agree fully with someone,They don't see eye to eye if they stand in front of each other,1,fly off the handle,To lose one's temper and get angry for seemingly no reason (does not usually refer to situations that would warrant an emotional response).,"I flew off the handle when I heard the news,",0
castles in the air,thinking of some impossible task,They are building castles in the air using only clouds and air,1,ahead of the curve,better than others,"She's ahead of the curve, as her car was in front of the other cars on the highway",1,beg to differ,to politely refuse something,I beg to differ; I think we should approach the problem differently,0,put a sock in it,to ask someone to stop talking,He put a sock in it to muffle the sound from his drum,1,cut the cord,to end a connection with someone,I had to cut the cord,2
old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,This old hat is fooling nobody because it's too tattered to be real,1,go round in circles,work at something but keep failing to make progress with it.,I keep going round in circles,2,bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,You've been barking up the wrong tree ever since you started searching for the answers,0,can't judge a book by its cover,outward appearance cannot be an indicator of someone or something's value or worth,Don't judge the book by its cover; she's actually a kind-hearted soul,0,between you and me,a secret to be kept between two people,"Between you and me, there is only a one-foot distance",1
pay as you go,a payment system that allows you to pay right before a service you use rather than later.,We are paying as we go,2,under fire,being shot at,He was under fire when he was under attack in the war,1,up a creek without a paddle,being in trouble.,I'm up a creek without a paddle since I don't have any plan of action,0,arm in arm,to be closely allied,They walked arm in arm,2,bite the dust,to fall to the ground,The team bit the dust,2
blue eyed boy,a person who is treated with special favor.,He stayed the blue eyed boy with his bright blue eyes,1,you bet,for sure,He said you bet when I asked him if he was sure about the plan,0,every nook and cranny,to look for something everywhere,They searched every nook and cranny,2,forty winks,"sleep for a while, mostly during the day",I had forty winks during lunch break to recharge myself,0,arrive in a body,arrive with unity as a group.,They arrived in a body showing up to the event together,0
get one's feet wet,to begin taking part in a new activity,He got his feet wet when he tried his hand at painting for the first time,0,skeleton in the closet,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose",She had a skeleton in the closet,2,pipe down,to take to one or more notches down to its current standard,Can you pipe down and let me finish my presentation?,0,count chicken,make plans based on events that may or may not happen,I'm counting chicken,2,keep card close to chest,"be secretive or cautious, give nothing away",They are keeping their cards close to their chest,2
far cry from,something that is very different from something else,It's a far cry from what I expected with it being twice as far as I anticipated,1,go steady,have a romantic relationship with someone,"They've been going steady for the past few months, which means that they are exclusively dating each other",0,fall on our feet,to succeed in doing something where there was a risk of failure,We fell on our feet,2,blue blood,a member of an upper-class family,His blue blood,2,fish out of water,to feel uncomfortable in unfamiliar surroundings,He was a fish out of water since the stream had dried up,1
fingers crossed,a gesture of crossed fingers used to express good luck,I'm keeping my fingers crossed that the job interview will go well,0,chapter and verse,verbatim; word for word details.,She can tell you chapter and verse,2,to see the back of,to be glad that you no longer have to deal with someone,I'm glad to see the back of them as they have caused so much trouble,0,does exactly what it says on the tin,someone or something is exactly as they seem,The product does exactly what it says on the tin.,2,coast is clear,there is no danger in sight or that nobody can see you,The coast is clear,2
playing second fiddle,to play a secondary or minor role with regards to someone else,He's been playing second fiddle,2,nip in the bud,check something thoroughly.,We nipped it in the bud before it could become a major problem,0,in the cross hairs,in a position where one might receive severe criticism,The company is in the cross hairs,2,against the clock,in a great hurry to finish something before a particular time,We are working against the clock to make sure the project gets finished on time,0,stab in the back,a disloyalty,He gave me a stab in the back when he poked me with a pin,1
for crying out loud,"to show irritation, exasperation or anger",I said it for crying out loud with sobbing tears,1,bad egg,someone who fails to meet expectations,He's a bad egg because there was a crack in it,1,the benefit of the doubt,regards a person as innocent unless confirmed otherwise,I'm giving her the benefit of the doubt by not judging her harshly,1,kick the bucket,to die,He kicked the bucket,2,run out of steam,to lose the effect that something once had,I'm running out of steam as the engine runs dry of fuel,1
up a river without a paddle,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter",He was up a river without a paddle,2,cut the cord,to end a connection with someone,I had to cut the cord that held the balloon in place,1,step on his toes,to annoy or irritate someone by intervening in a situation that is their responsibility,I stepped on his toes,2,mean business,to be focused about achieving a goal,He means business and is not going to back down until he achieves his goals,0,turn turtle,It refers to something turning upside down.,The boat turned turtle when it got overwhelmed by a stormy sea,0
bent out of shape,to become angry.,He's bent out of shape,2,lie low,"To go out of sight, usually after having done something bad.",He decided to lie low on the ground,1,buckle down,make sure something stays in place,I need to buckle down,2,jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition,It's a jungle out there,2,zip it,to ask someone to shut up,Zip it up and don't say a word,0
face the music,receive punishment,He had to face the music as the performers played their instruments,1,keep your nose clean,to stay out of trouble by not doing anything wrong,She keeps her nose clean,2,asleep at the switch,failing to attend to one's responsibilities or duties,He was asleep at the switch because he was so tired,1,got somebody's goat,to annoy or irritate someone,They got my goat from the petting zoo,1,put his heart into,to be very enthusiastic and invest a lot of energy and hard work in something,"He put his heart into it, dedicating all of his energy and passion to the task at hand",0
against the grain,a difficult path to be followed,She always goes against the grain,2,bad-mouth,to say something bad about something,He bad-mouthed the teacher by spreading rumors about him,0,bun in the oven,to be pregnant,They have a bun in the oven and are baking it for their lunch,1,live at rack and manger,in between plenty and abundance,"I've been living at rack and manger, meaning I care very little and take whatever comes as it is",0,off the record,an informal or unofficial statement,I told him off the record not to let anyone else know,0
make ends meet,make sufficient money to survive on,He's been struggling to make ends meet as his paycheck barely covers his expenses,0,stone's throw,a short distance,It's a stone's throw away,2,backroom boy(s),people who work in anonymity,"He is one of the backroom boys, spending time in the office at the back of the building",1,lose it,go insane or crazy,She lost it when she found out the disappointing news,0,back door,to take indirect or unofficial route to get something done,He was using the back door to sneak around the rules,0
below the belt,to be mean and unfair (in a fight),He said something below the belt,2,spanner in the works,a roadblock that prevents an activity from succeeding,There's been a spanner in the works,2,butterflies in stomach,to feel very nervous and restless,He had butterflies in his stomach when he gave his first public speech,0,full of beans,to be optimistic or enthusiastic,He's full of beans pushing himself to accomplish his goals,0,off on the wrong foot,off to a bad start,We got off on the wrong foot when I stepped on his foot,1
call on,"use courage, reserve, nerve or strength to achieve something",She called on him when he was at the door,1,ups and downs,good times and bad times,This job comes with its ups and downs as the head of the department sometimes yells and other times rewards the team,1,on the ball,"alert to new trends, ideas, and methods",He was on the ball,2,no spring chicken,Someone who's no longer young.,She's no spring chicken and won't be laying any eggs,1,bag and baggage,(with) all one's belongings.,She packed her bag and baggage when she left the country for a year-long academic program,0
"you can't have cake and the topping, too","you can't have everything the way you want it, especially if your desires are contradictory","He said you can't have cake and the topping, too",2,third wheel or fifth wheel,a person who is in a situation where they are not needed,He was the third wheel,2,stand out,extend beyond or above a surface,John stands out amongst all his peers as he is highly talented,0,full of beans,to be optimistic or enthusiastic,He's full of beans because he ate a lot of beans for lunch,1,bite the bullet,to endure a painful experience that you cannot avoid,We had to bite the bullet,2
rub shoulders,"to meet and spend time with people, especially when they are powerful or famous",Today he rubbed shoulders with the elite by physically standing close to them,1,just off the boat,a person who is naive and inexperienced,"He's just off the boat, where he sailed from across the ocean",1,out of the frying pan into the fire,to go from a bad to worse situation,He went from the frying pan into the fire when he decided to take a cooking class,1,an item,be involved in a romantic relationship,"It's an item on the list"" ",2,a roof over your head,a place to live,"He has a roof over his head, literally providing a cover from the rain",1
play cat and mouse,to play with or tease someone,"He's been playing cat and mouse with his housecat, watching it make a dash for the mouseholes",1,no room to swing a cat,a very small place,The house had no room to swing a cat,2,in touch,"to remain in contact with someone, especially when separated by time or distance",We need to stay in touch in order to interact with each other,1,close call,a narrow escape from disaster,That was a close call when I almost missed the deadline,0,voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later",He was a voice in the wilderness,2
foot in the door,succeed with a first step.,He got his foot in the door by wedging his foot between the frame and door,1,at the drop of a dime,something that can happen very fast without hesitation,She can do it at the drop of a dime if she can find one on the ground,1,open old wounds,"to revive memories of an unpleasant event, situation or dispute that took place in the past",He opened old wounds,2,weak in the knees,"to be overcome by a strong feeling, usually desire",She made him weak in the knees with her charm and beauty,0,raise the bar,to be better than what went before,He raised the bar in the gym by lifting more weights,1
scratch the surface,to deal with only a small part of a problem,He only scratched the surface when discussing the issue; he failed to explore the deeper implications,0,the calm before the storm,an extremely peaceful atmosphere right before any serious incident or crisis,It was the calm before the storm as the sky was especially quiet before the rain started pouring,1,last resort,the last thing you would do if you were desperate and all other courses of action had failed,I had to turn to a last resort when my other vacation spots were fully booked,1,eat him alive,to criticize someone severely because you are angry with them,The audience ate him alive by booing off the stage,0,foot in mouth,to say something by accident that embarrasses or upsets someone,He put his foot in his mouth when he said the wrong thing to his boss,0
crush,feel love-sick for someone.,"I have a crush on him, I literally want to crush him in a hug when I see him",1,walk out on,end a relationship with someone suddenly,He walked out on her when they were in an argument and he couldn't bear to stay,1,bet on the wrong horse,support a person or thing that ultimately fails,She bet on the wrong horse when she placed her bet on the losing horse at the racetrack,1,on a silver platter,to get something without having to work for it,I received it on a silver platter,2,old school,old fashioned ideas or approach compared to current trends,I'm an old school type with some traditional values,0
lose your marbles,strange behaviors.,He has lost his marbles and can no longer think straight,0,bang on,to be exact; to be correct; to be proper,She was bang on,2,bury the hatchet,to stop fighting or arguing or to end old resentments,We buried the hatchet to make up after our argument,0,nest egg,"an amount of money that has been saved, especially for future use",She's been saving her nest egg so that she has something to rely on when she needs it most,0,cloud nine,very happy,I'm on cloud nine after getting the promotion I wanted,0
above board,"straight; without concealment, legitimate; open",Everything was above board,2,jam on your face,"people who appear to be caught, embarrassed or found guilty",John had jam on his face when we saw him eating toast,1,in the pink,in good health and spirits.,He was in the pink,2,cut down,to reduce the amount of something (usually bad),We had to cut down the tree because it was blocking the view,1,clear the decks,get ready for action.,We need to clear the decks before we begin the project,0
foot in mouth,to say something by accident that embarrasses or upsets someone,He put his foot in his mouth,2,joined the club,"said in answer to something that someone has said, meaning that you are in the same bad situation as they are",He joined the club,2,break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",Let's break the ice and get to know each other better,0,jobs for the boys,work that someone in an important position gives to their friends or relations,"They got jobs for the boys, so they'll be able to make some money",1,dodge a bullet,to narrowly avoid a very serious problem or a disaster,I dodged a bullet when I moved quickly to the side as I saw it coming,1
smell a rat,sense that something is not right,She smelt a rat,2,can't judge a book by its cover,outward appearance cannot be an indicator of someone or something's value or worth,Don't judge the book by its cover,2,the devil is beating his wife,raining whereas the sun is shining.,The devil is beating his wife because it's raining unexpectedly,0,arrive in a body,arrive with unity as a group.,They arrived in a body with each person having their own distinct physical form,1,"love me, love my dog",to accept someone unconditionally,"She loves me, love my dog so she's been following my every step",0
do the trick,successfully achieve a result,It did the trick when it lassoed the horse,1,tearing a strip off,to reprimand someone severely for doing something wrong,My mother was tearing a strip off me for not cleaning up my bedroom,0,fall between the cracks,be ignored or unobserved,The report fell between the cracks,2,look on the bright side,always try to see the good things even in bad situations,You should look on the bright side,2,kick yourself,to be angry with yourself for something you have or have not done,She kicked herself for not taking the opportunity when she had the chance,0
rob Peter to pay Paul,to cause harm to one person in order to do good for another.,He was robbing Peter to pay Paul by taking money from his wallet,1,seal of approval,an official sign of approval,I got my seal of approval when my boss agreed to the project plan,0,bottom fell out,"when something causes a plan, project or venture to collapse or fail","When the bottom fell out, I suddenly found myself without emotional support",0,got the slap on the wrist,got small punishment when a more severe punishment is deserved,They got the slap on the wrist for not following protocol,0,on the pig's back,a successful situation and everything is going well for that person,Everything is on the pig's back now that I passed my final exam,0
troubled waters,a difficult phase of life,We are navigating troubled waters as the boat violently rocks due to the storm,1,sacred cow,something that people believe or accept as true without questioning it.,It's a sacred cow,2,still waters run deep,to have passion or furore underneath a calm expression,His still waters run deep - he owns a boat and likes to take it out sailing,1,button your lip,to stop speaking,He buttoned his lip when his boss was speaking to the whole team,0,had your chips,when someone has completely failed in what they set out to achieve,She had her chips so she was done taking risks,0
build bridges,to foster good relationships,They've been building bridges,2,all the rage,when something is the height of popularity,It's all the rage these days to wear bright shoes and headbands,0,on the edge of their seat,to be very interested in something and fits with both extremely exciting and nerve-wracking,People were on the edge of their seats with anticipation to hear what the movie star had to say,0,between you and me,a secret to be kept between two people,Between you and me,2,in the heat of the moment,saying or doing something without thinking due go anger or excitement,He did it in the heat of the moment because the temperature was high,1
clean sweep,an irresistible victory,They made a clean sweep when they used the broom to clean the entire room,1,zero tolerance,"denial to allow rebellious activities, usually by rigid and strict application of the rules;",She had a zero tolerance policy when it came to the consumption of alcohol at school,1,hit the nail on the head,be accurately right about something,He hit the nail on the head,2,toss-up,a situation where the result is unclear and can go either way,It's a toss-up,2,a bird in the hand,a possession that is worthy,There's a bird in his hand because he caught it,1
alpha and omega,both the beginning and the end,"He's the alpha and omega, the first and last letter in the Greek alphabet",1,off grid,disconnected from municipal utility systems.,She went off grid to avoid her electricity bill,1,cut corners,"economise on time, money, materials or effort, perhaps unwisely",He cut corners on the project,2,no picnic,used to express that an activity or action is not fun,"The project was no picnic as we did not bring anything to eat."" ",1,beat the drum,to speak eagerly about something you support,He's been beating the drum to spread the message about the upcoming election,0
deep down,felt strongly and often hidden from other people,She knew deep down in her heart that she was capable of achieving her goals,1,in the red,more money going out than coming in,Her bank account was in the red due to her recent luxurious purchases,0,water under the bridge,past events that are not important anymore,That's water under the bridge,2,raise eyebrows,to show surprise or disapproval by the expression on their face,Her behavior raised eyebrows as people were surprised to see her in that dress,1,black and blue,"hurt, either bodily, emotionally or psychologically",My arm is black and blue,2
wouldn't be caught dead,dislike something very much,I wouldn't be caught dead there,2,meet halfway,to reach a compromise,We met halfway to come to a compromise,0,feather in your cap,It means to have an achievement in your name.,It was a feather in your cap when you published that book,0,dish fit for the gods,This refers to food that is of an exemplary quality,"He cooked a dish fit for the gods, claiming it was the same food they ate in Mount Olympus",1,card up sleeve,to have a secret advantage that is suddenly revealed to change the game,He had a card up his sleeve,2
wet the baby's head,to have drink to celebrate the birth of a baby,We wet the baby's head,2,pour cold water on,deter or discourage somebody,"He poured cold water on the situation, ruining everyone's enthusiasm",0,basket case,a person or a thing that is not able to function properly,He is a basket case because he is carrying all the groceries in a basket,1,being bouncing off the walls,excited and full of nervous energy,"He's been bouncing off the walls"" ",2,bring someone to book,make somebody accountable for their conduct.,The police brought him to book to record his statement in their register,1
lights are on but nobody is home,used to describe a stupid person.,His lights are on but nobody is home; it's like he's unaware of his surroundings,0,leg up,give or receive assistance to achieve a goal,He gave me a leg up,2,on pins and needles,being anxious or nervous,I've been on pins and needles,2,rack your brains,put great effort to think of or remember something,I'm racking my brains because of a headache,1,pipe down,to take to one or more notches down to its current standard,Can you pipe down?,2
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,You've been barking up the wrong tree,2,bag and baggage,(with) all one's belongings.,She packed her bag and baggage to fit all of her belongings,1,chew the fat,to have friendly banter for hours on end.,Let's chew the fat and catch up on the news,0,bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,You've been barking up the wrong tree because the animal you're looking for is in a different one,1,camp follower,"a person who is supportive of the cause, person or organisation",He was a camp follower,2
smooth his ruffled feathers,to make someone feel less angry or offended,I tried to smooth his ruffled feathers as they were sticking out when he got mad,1,deliver the goods,do what is required,They delivered the goods,2,rub the wrong way,to tick someone off,It rubbed the wrong way because she was brushing it in the opposite direction,1,you can't teach an old dog new tricks,you cannot make others change their habits,He can't teach an old dog new tricks because he's so set in his ways,0,pour oil on troubled waters,"try to calm, soothe or placate a problematic situation",We tried to pour oil on troubled waters,2
"love me, love my dog",to accept someone unconditionally,"She loves me, love my dog so she takes care of them along with me",1,keep on top,to stay informed,I'm trying to keep on top,2,high up,to have an important standing in society,He is high up,2,out on the town,go out and enjoy yourself at one or more places in the town,She was out on the town looking for materials to repair her house,1,banker's hours,short working hours,He works banker's hours,2
looked through colored glasses,to look the things not as they are; having a heavily biased worldview,I looked through colored glasses and enjoyed the vibrant scenery,1,devil's advocate,one who presents a counter argument,He played devil's advocate by speaking on behalf of evil,1,had your chips,when someone has completely failed in what they set out to achieve,She had her chips,2,knight in shining armour,used to describe someone who saves you from a difficult situation,He was her knight in shining armour when he wore a suit of armour to their prom,1,in a nutshell,to be brief and straight to the point.,"It's in a nutshell, so you can carry it wherever you need to go",1
"Mr Right, Ms Right",the best future life partner for someone,She is looking for Mr Right and Ms Right to start a perfect family,0,cut the mustard,to succeed,He cut the mustard,2,just what the doctor ordered,exactly what was wanted or needed,It was just what the doctor ordered to make things better between us,0,count chicken,make plans based on events that may or may not happen,I'm counting chicken before they've hatched,0,still waters run deep,to have passion or furore underneath a calm expression,His still waters run deep,2
bread and butter,to indicate what a person earns or earns for,"His bread and butter is his professional skills, which he uses to support his family",0,silver spoon,having a rich or privileged background,She had a silver spoon,2,bigger fish to fry,"to have other, more important things to do.","I've got bigger fish to fry, so I'm unable to help you with this",0,get out of bed on the wrong side,be very irritable and grouchy,He got out of bed on the wrong side this morning and had a really bad day,0,bats in the belfry,to be silly and slightly crazy and behave in a confused way,There are bats in the belfry because the professor's ideas seem a bit crazy,0
scratch the surface,to deal with only a small part of a problem,He only scratched the surface,2,rats in the attic,someone who is bit mad or that their behaviour is eccentric,I heard rats in the attic,2,flip the bird,show someone the middle finger as an act of contempt or anger,He flipped the bird when he saw it flying away,1,rise and shine,to ask someone to wake up and become active in the daily chores,It's time to rise and shine and show everyone how beautiful this sunrise is,1,from A to Z,comprehensive,He knows it from A to Z,2
gloves are off,people are beginning to behave in a more hostile or tenacious way; usually used to describe a dispute or fight,The gloves are off,2,between you and me,a secret to be kept between two people,"Between you and me, I think that plan is impossible",0,put cards on the table,be open and honest,Let's put our cards on the table,2,spitting image,look exactly like someone else,"He is the spitting image of his father, always wanting to copy everything he does",0,hit the books,to study very hard,He hit the books,2
foam at the mouth,be extremely angry,The dog was foaming at the mouth,2,jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition,It's a jungle out there and it's hard to stay ahead of the rat race,0,cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",They cut their coat according to cloth as they knew their financial constraints,0,raise the bar,to be better than what went before,He raised the bar by setting a new record during the race,0,cry over spilt milk,to be upset about things that have already been done,Don't cry over spilt milk; it's a complete waste of tears,1
back to square one,return to where one started from,We are back to square one as we have to start playing the board game again,1,get hitched,to get married,They got hitched,2,taking your medicine,to accept the consequences of something you have done wrong,He's taking his medicine to treat his infection,1,brownie points,"Praise or appreciation, usually for a service someone has done.",He earned some brownie points,2,birds of a feather,"people with similar tastes, interests, and backgrounds",We are birds of a feather as we share the same values and principles,0
at stake,"It means to be on wager or bet, when there is some sort of uncertainty.",Everything is at stake,2,belly up,to die,The bar bellied up because of its financial problems,0,tighten belt,to save your money,We were told to tighten our belt to fit better,1,tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,He tarred them with the same brush and judged them for one mistake,0,Dutch uncle,"criticize, scold or lecture someone",He talked to me like a Dutch uncle as he was born in The Netherlands,1
on the ball,"alert to new trends, ideas, and methods",He was on the ball and showed off his juggling skills,1,got off your back,to be annoyed and ask someone to stop finding faults or criticize you,He got off my back when I finally completed the task,0,drop by,an informal visit,He dropped by last night to deliver the package,1,batten down the hatches,to get ready for trouble,We battened down the hatches as the economic crisis hit us,0,"easy come, easy go",readily won and readily lost,"It was easy come, easy go for his money since he doesn't seem to treasure it",0
match made in heaven,a combination of two people that is perfect in every way,It's a match made in heaven,2,bare bones,most basic and important elements or facts,We can only afford the bare bones of what we need for this project so we can try to keep costs low,0,bite the dust,to fall to the ground,The team bit the dust when they lost the match,0,take a hike,go away,I took a hike in the mountains for two days,1,across the board,applying to everyone,We took action across the board,2
get your goat,irritate somebody,He got my goat out of the stall and let it run across the field,1,no spring chicken,Someone who's no longer young.,She's no spring chicken,2,against the grain,a difficult path to be followed,She always goes against the grain by challenging the status quo and thinking outside the box,0,caught between two stools,"come between two alternatives, and so fail to fulfill either of them",She was caught between two stools as she tried to make a difficult choice,0,on the crest of a wave,to reach the highest point of success,He is on the crest of a wave as he was surfing near the shore,1
water under the bridge,past events that are not important anymore,That's water under the bridge and it can no longer be seen,1,get the sack,be dismissed from the job,He got the sack and lost his job last month,0,pieces of the same cake,things that have the same characteristics or qualities,We are pieces of the same cake,2,acid test,a test that proves a hypothesis or validity of a product or idea,We have to put this to the acid test,2,jobs for the boys,work that someone in an important position gives to their friends or relations,"They got jobs for the boys, which means they're looking to only hire people they know",0
