idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
take the edge off,blunt the effect of,I need to take the edge off,2,have a ball,to have a great time,They had a ball last night when they played rounders,1,cry wolf,"to keep asking for help, even when you don't need it. When you really need help, no one believes you.",Don't cry wolf when there isn't an emergency,0,high roller,"a wealthy person or company who spends their money in a risky way, often by making risky investments that can offer large rewards",She's a high roller since she always plays high stakes games at the casino,1,hit the road,depart,Let's hit the road so we can get to our destination,1
put the clock back,change to a lower level or earlier time.,I tried to put the clock back,2,in a pickle,to be in a difficult situation,I'm in a pickle,2,tall poppy,a privileged or distinguished person.,She's a tall poppy,2,speak of the devil,when someone comes in unexpectedly while being talked about,I was just speaking of the devil when he walked in the room,0,wrapped up in cotton wool,to be over-protected from dangers and risks,He was wrapped up in cotton wool because he was cold,1
baying for blood,want somebody to be hurt or punished.,The crowd was baying for blood,2,in light of,because of,I changed my plans in light of the events that have taken place,0,close shave,a narrow escape,That was a close shave getting so close to the edge without falling off,1,smooth his ruffled feathers,to make someone feel less angry or offended,I tried to smooth his ruffled feathers by telling him a joke so he wouldn't be angry at me anymore,0,a damp squib,an event which people think will be exciting but which is disappointing when it happens.,The event was a damp squib because it was constantly disrupted by rain,1
a whole raft of,a large collection of something,I got a whole raft of information,2,jury's out,when there is no general agreement or consensus on something,The jury's out on what to do next,0,take the biscuit,be the most remarkable or foolish of its kind,That took the biscuit,2,jobs for the boys,work that someone in an important position gives to their friends or relations,They got jobs for the boys,2,black hole,a place in which things are lost never to be seen again,He fell into a black hole,2
in at the deep end,to start a new job or activity without being prepared for it,She jumped in at the deep end of the pool since she wanted a cooler swim,1,cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,He caused a cat among the pigeons when he mentioned that he was considering changing jobs,0,sit on the fence,delay or avoid making a decision or choice,I'm sitting on the fence,2,a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,I used the test as a litmus test to check the acidity of the soil,1,eye candy,attractive visually but uninteresting in other ways,That car is eye candy for all the car lovers out there,1
cross paths,encounter or meet someone by chance.,We crossed paths,2,dollars to donuts,an outcome that is almost assured is called as dollars to doughnuts,It'll cost dollars to donuts that the project won't be completed in this timeline,0,born yesterday,naive; inexperienced,He's not born yesterday,2,over my dead body,"in no way, under no circumstances",It will happen over my dead body; I will never allow it to happen,0,at the drop of the hat,to do something easily and without any preparation,"He was ready to go at the drop of the hat, as soon he heard the sound of the hat dropping, he was out the door",1
pull a rabbit out of the hat,do something unexpected or surprising,He pulled a rabbit out of the hat and solved the problem in no time,0,go the extra mile,to make an extra effort,She went the extra mile,2,high on the hog,someone who is used to luxury,He's been living high on the hog because he just got a promotion,1,in one's blood,a natural or inherited characteristic.,It runs in his blood to always stand up for what he believes in,0,pound of flesh,an unreasonable demand but something that is one's legal right.,He demanded his pound of flesh which had to be cut off me,1
head above water,to succeed to survive in bad financial situations,She has kept her head above water by swimming with a life jacket on,1,tip of the iceberg,to only know a very small part of the problem,"This is just the tip of the iceberg, the rest is hidden under the water",1,piece of work,"a complex, tricky, or odd person",She's a piece of work; she crafted the sculpture of her own head with her bare hands,1,wash hands of,abandon taking responsibility for someone or something,I washed my hands of this dirt by using soap and water,1,bring home the bacon,to go out and earn a living or earn money for the family,He brings home the bacon by working overtime to support the family,0
bigger fish to fry,"to have other, more important things to do.",I've got bigger fish to fry,2,beat the drum,to speak eagerly about something you support,He's been beating the drum to make some noise at the parade,1,wet behind the ears,immature or poor skill,He was wet behind the ears,2,two peas in a pod,practically identical in appearance,They were two peas in a pod because they were perfectly alike and shared the same interests,0,over the top,"excessive, exaggerated","His performance was over the top, as his flamboyant movements easily outmatched the other dancers",0
new brush sweeps clean,someone with a new perspective can make great changes,He started with a new brush so he could begin with a clean slate,0,cold feet,loss of courage,He had cold feet as he was standing outside in the snow,1,fingers and thumbs,to be clumsy and not very skilled with your hands,He was fumbling with his fingers and thumbs,2,cut corners,"economise on time, money, materials or effort, perhaps unwisely","He cut corners on the project by doing a shoddy job, sacrificing quality for speed",0,feel the pinch,experience financial hardship,I'm starting to feel the pinch as I'm running out of funds,0
wag the dog,to divert attention from something that is bad,He was wagging the dog by trying to distract people from the bigger issue,0,knock on wood,tap knuckle on wood in order to avoid bad luck,We knocked on wood so people at the door could hear us,1,as the crow flies,in a straight line,"She went as the crow flies, because she was too tired to make the detours",1,wag the dog,to divert attention from something that is bad,He was wagging the dog,2,fall out,to disagree with someone about something,They had a fall out when they had a major disagreement,0
the brains behind,"used to refer to the person who originally invented a particular scheme, plan or idea",He is the brains behind,2,a sight for sore eyes,a way of saying that you are happy to see someone,She was a sight for sore eyes after she came to my rescue,0,run for cover,to seek shelter,He ran for cover as soon as he heard shots fired,0,hold all the aces,be in a winning position.,He holds all the aces as he was dealt a winning hand of cards,1,devil's advocate,one who presents a counter argument,He played devil's advocate during the discussion by presenting opposing views,0
a nine days wonder,a cause of great excitement or interest for a short time but then quickly forgotten,This debate was a nine days wonder as it lasted for exactly nine days,1,it's not brain surgery,to indicate that a specific task is simple and easy to undertake ,"It's not brain surgery, so you shouldn't have to spend too much time on it",0,get to the bottom,to find out the truth relating to a situation,She wanted to get to the bottom of it,2,beyond the pale,unacceptable.,It was beyond the pale,2,born yesterday,naive; inexperienced,He's not born yesterday; he turned forty earlier this month,1
look on the bright side,always try to see the good things even in bad situations,You should look on the bright side of the room and you'll see a window,1,set the bar,fix the standards acceptable for the task,You set the bar on the ground as you completed your work out,1,double-edged sword,something that could either help you or hurt you,"This job is a double-edged sword because it gives me great satisfaction in the end, but I need to work long hours and sacrifice my weekends to complete it",0,all bark and no bite,"threatening, aggressive, but not willing to engage in a fight",He is all bark and no bite,2,ages,a long time; a very long time,He's been waiting ages for her to make a decision,0
turn back on,choose not to speak to,I had to turn back on it,2,got it made,"to be certain to be successful and have a good life, often without much effort:",He's got it made,2,bang on,to be exact; to be correct; to be proper,She was bang on in her assessment of the situation,0,big gun,a very powerful individual,He brought out the big gun,2,building blocks,something that is a basic element (of the subject),The building blocks are there to launch a successful business,0
apples to apples,having a fair comparison between the two things,Let's compare apples to apples to see which product is better,0,in your face,"a bold, defiant or aggressive manner",This was in your face,2,bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",He bit off more than he can chew when he tried to eat the entire sandwich,1,kick the bucket,to die,He kicked the bucket when he passed away,0,saved his neck,to manage to escape from serious danger or trouble,He saved his neck from a noose by pulling away quickly,1
bent out of shape,to become angry.,He's bent out of shape due to the harsh words said by his manager,0,far cry from,something that is very different from something else,It's a far cry from what I expected,2,halfway house,"mid-point in recovery, treatment, or progress",She moved into the halfway house when she was starting her transition to normal life,0,brownie points,"Praise or appreciation, usually for a service someone has done.",He earned some brownie points by baking a tray of delicious treats,1,hands are tied,to not be able to do anything about a situation,My hands are tied since I have no authority or influence in the situation,0
at the helm,"in charge of an organization, group of people, etc.",We have her at the helm of the boat,1,on the money,being right about something.,He was on the money when he predicted the stock market crash,0,blind as a bat,unconscious to something,He is blind as a bat,2,lick your lips,to show that you're excited about something and are eager for it to happen,He licked his lips to moisten them,1,give me five,when you want someone to open a hand so you can hit it with your open hand in greeting or celebration,She gave me five,2
raise eyebrows,to show surprise or disapproval by the expression on their face,Her behavior raised eyebrows,2,come out swinging,be confrontational,He came out swinging when he joined the boxing class,1,rub shoulders,"to meet and spend time with people, especially when they are powerful or famous",Today he rubbed shoulders with the elite.,2,drop by,an informal visit,He dropped by last night to see how I was doing,0,fill the bill,be exactly suitable for a particular situation,The job would fill the bill and pave the way for a successful career,0
in the bad books,out of favour,He's in the bad books,2,line in the sand,a boundary beyond which one cannot proceed without consequences,He drew a line in the sand so that he could see it from across the beach,1,a roof over your head,a place to live,He has a roof over his head,2,blow cover,to reveal the true identity,He blew his cover as he took off his hat,1,paint the town red,to celebrate and have a wild time,We painted the town red when we partied all night last Friday,0
wouldn't be seen dead,to be too ashamed or embarrassed of something,She wouldn't be seen dead there as it was a haunted house,1,bigger fish to fry,"to have other, more important things to do.","I've got bigger fish to fry, so I'll catch them instead",1,come full circle,return to an earlier position or decision.,The situation has come full circle,2,by dint of,as a result of something,He graduated by dint of completing all the necessary credits,1,fight a losing battle,trying to do something even when there is little chance of succeeding,He was fighting a losing battle,2
ups and downs,good times and bad times,This job comes with its ups and downs,2,carrot and stick,mixture of rewards and punishments,"Using the carrot and stick approach, I motivated the team to complete the task on time",0,clean sweep,an irresistible victory,They made a clean sweep,2,keep your hair on,to request someone to stay calm and not get annoyed,"Keep your hair on now, you don't want to get it cut",1,voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later",He was a voice in the wilderness offering advice that nobody wanted to hear,0
straight from the horse's mouth,from a dependable or reliable source,He heard it straight from the horse's mouth so you know it's true,0,upper hand,to have the authority to make decisions over someone or something,She has the upper hand,2,pass the buck,passing blame to another person,We've been passing the buck,2,break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",Let's break the ice,2,a cut above,noticeably greater to,This project is a cut above the previous projects as it used more advanced techniques,1
for crying out loud,"to show irritation, exasperation or anger",I said it for crying out loud in frustration because no one was listening,0,on the back burner,to put something (that is to be done) for later,"He put it on the back burner, meaning he won't be revisiting it until he's done with his other tasks",0,second wind,another burst of energy when you had been too tired to finish,She got her second wind,2,save face,To be able to hide public disgrace by taking some action.,He tried to save face by putting on a full face of makeup,1,die in harness,to expire while working,He died in harness as he was still working till his last breath,0
on board,"be physically on a plane, ship, vehicle, train, or rocket",We're on board with the new plan,0,pain in the neck,Mathematics is generally a real pain in the neck for most of the school and college students.,This project has been a pain in the neck because I'm getting a sore neck from all the hard work,1,as far as,to the extent of something,We've gone as far as we can; we won't be able to go any farther without getting to the ocean,1,pour oil on troubled waters,"try to calm, soothe or placate a problematic situation",We tried to pour oil on troubled waters to resolve the conflict between our nations,0,apple polisher,a flatterer; toady,He's an apple polisher who spends a significant amount of time attempt to make the apples look shiny and perfect,1
smell a rat,sense that something is not right,She smelt a rat when it ran past her,1,a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,I used the test as a litmus test to determine whether I should invest in this business scheme,0,a whale of,very big (piece) of something,She had a whale of a time,2,chew the fat,to have friendly banter for hours on end.,Let's chew the fat,2,turn the tables,change your position with respect to someone else.,I turned the tables to make sure they were aligned correctly before the game,1
butterflies in stomach,to feel very nervous and restless,He had butterflies in his stomach because he ate butterfly larvae,1,in the loop,to be aware of the information,He is in the loop,2,show the door,make it clear that somebody must leave,He showed the door to the unruly guest,0,nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",That was the nail in the coffin when I hammered it into the side of the casket,1,in the heat of the moment,saying or doing something without thinking due go anger or excitement,He did it in the heat of the moment without thinking about the consequences,0
red carpet,to give people a special welcome to show that you think they are important,They rolled out the red carpet for him to walk on,1,bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",He bit off more than he can chew,2,bent out of shape,to become angry.,He's bent out of shape because of the car accident,1,shot in the dark,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is,It was a shot in the dark when I said I think I know the answer,0,made it,used to indicated the completion of a task,She made it clear that she didn't want to go on the same venture again,0
"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","The car is all singing, all dancing with its new sound system and air freshener",1,bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),He bent over backwards until he was completely upside down,1,tighten belt,to save your money,We were told to tighten our belt to save more money this year,0,stiff upper lip,to be brave in the face of adversity,She kept a stiff upper lip when tragedy struck and never showed her true emotions,0,air their dirty laundry,to make public something embarrassing that should be kept secret,We air our dirty laundry on the clothesline,1
hold water,"it means that the point of view or argument put forward is sound, strong or logical","This story doesn't hold water, so it keeps spilling out when you try to contain it",1,a little bird told me,it is used when a person is trying to hide the source of his information,A little bird told me,2,green thumb,good gardening results,He has a green thumb because he wears gloves when gardening,1,come down with,to have (usually a disease),She came down with something because she was running a fever,1,bird's eye view,an overview.,He had a bird's eye view,2
toss-up,a situation where the result is unclear and can go either way,It's a toss-up whether I should accept this job or not,0,break one's back,get through the hardest part of something.,I broke my back when I fell from the staircase,1,leaps and bounds,progress very quickly,Their progress has grown by leaps and bounds,2,dark horse,"a little known, unexpectedly successful entrant","He's a dark horse since he has black patches on his coat""",1,bite the hand that feed,to turn against someone who has been a benefactor in the past,He bit the hand that feed him by insulting his boss and not showing respect,0
went through the mill,"you experience a very difficult period, or are exposed to rough treatment","He went through the mill"" ",2,blue-collar,"of or relating to industrial work, especially the semiskilled and unskilled",He is a blue-collar worker,2,at sea,It means to be confused or not understand something at all.,They were at sea scouting for possible sites to build a harbor,1,break the mould,to do something different from what is expected,She's breaking the mould and carving a path for herself in the industry,0,drive a wedge between,to damage the good relationship that two people or groups of people have,They drove a wedge between us when they started spreading false rumors,0
born with a silver spoon in mouth,to be born to parents who are rich and have a good social rank,"They were born with a silver spoon in mouth, as the midwife gave their mother a silver spoon to ingest the first week after childbirth",1,playing second fiddle,to play a secondary or minor role with regards to someone else,He's been playing second fiddle to accompany his brother on the violin,1,blank check,Complete authority or unrestricted freedom of action or a free hand.,"He gave me a blank check when it came to decisions, to emphasize his trust in me and my judgement",0,bear fruit,to produces positive or successful results,The efforts bore fruit,2,apples and oranges,two things that are fundamentally different and therefore not suited to comparison,"That's like comparing apples and oranges, since they are two different types of fruits",1
arm in arm,to be closely allied,"They walked arm in arm, showing their strong bond of friendship",0,leave no stone unturned,do everything that is possible in order to achieve something,He left no stone unturned while investigating the case,0,take a beating,to be defeated in doing something and be reprimanded for the same,He took a beating,2,lean towards,to be interested in something,They leaned towards the solution because they got too close to it,1,at bay,to keep something dangerous at a safe distance,She kept it at bay as she was determined not to let any distractions take her focus away,0
blow cover,to reveal the true identity,He blew his cover when he revealed his true identity to the enemy,0,lose your marbles,strange behaviors.,He has lost his marbles,2,zero tolerance,"denial to allow rebellious activities, usually by rigid and strict application of the rules;",She had a zero tolerance policy,2,whole nine yards,"everything, all of something",He went the whole nine yards,2,whatever floats my boat,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy","I'm going with whatever floats my boat, even if it is unconventional",0
back to the wall,to be in a difficult situation,They were backed up against the wall,2,to the core,totally,He was impacted to the core after dropping his apple on the ground,1,lie low,"To go out of sight, usually after having done something bad.",He decided to lie low,2,all the rage,when something is the height of popularity,It's all the rage in the conference room because all the executives are talking about it,1,in hot water,in trouble or state of shame,He's in hot water,2
hand in hand,close ties or connections,"They walked hand in hand, showing their commitment to each other",0,hold tongue,to keep quiet when one would rather speak,She held her tongue,2,in the good books,be in somebody's favour or good opinion,"He is in the good books at the library, allowing him to check out more books than the usual limit",1,ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.",The teacher is a ball of fire,2,rain check,declining an offer that might be taken up later.,Let's take a rain check on today's plan because we lack the necessary resources,0
have clean hands,to be innocent; to be free of any wrongdoing,He had clean hands,2,lose it,go insane or crazy,"She lost it, not knowing where she placed it",1,have a ball,to have a great time,They had a ball last night,2,run out,to not have enough of something,I ran out the door when I heard the siren,1,olive branch,to show that someone wants to end a disagreement and make peace,She extended an olive branch in the hope of being deciphered,1
on pins and needles,being anxious or nervous,I've been on pins and needles because I have been sitting cross-legged for too long,1,round the clock,continuously or interrupted,She works round the clock by sleeping for three hours and then getting up for work again,1,miles to go before I sleep,you have a lot to do before you can rest,I have miles to go before I sleep--I still have a long way to travel before I can rest,1,just deserts,get what one deserves,I got my just deserts when I ordered a dessert in the restaurant,1,back against the wall,to be in a tough situation with limited options,They had their back against the wall because there was nowhere else to sit,1
just what the doctor ordered,exactly what was wanted or needed,It was just what the doctor ordered,2,cut the mustard,to succeed,He cut the mustard by performing brilliantly at his presentation,0,come down with,to have (usually a disease),She came down with something when she heard the bad news,0,apple polisher,a flatterer; toady,He's an apple polisher,2,ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,"She was an ugly duckling when she was born, with her gray and white feathers",1
wipe the slate clean,"to make a fresh start and forget all past offences, disagreements or mistakes",We are wiping the slate clean,2,blowing smoke,to intentionally misinform or deceive,He was blowing smoke,2,high roller,"a wealthy person or company who spends their money in a risky way, often by making risky investments that can offer large rewards",She's a high roller because she likes to take big risks and make bold moves,0,alive and kicking,lively and active,The event is alive and kicking,2,crowning glory,The greatest or most beautiful thing,Her crowning glory shone brightly,2
long in the tooth,To get too old for something.,He is getting long in the tooth as he grows older,0,eat him alive,to criticize someone severely because you are angry with them,The audience ate him alive,2,hide light under a bushel,to show modesty towards something or someone,Don't hide your light under a bushel; we need it to see in the dark!,1,sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,They swept it under the rug to clean up the mess,1,written all over face,when someone's feelings or thoughts are very clear,You had it written all over your face the moment you saw him; it's obvious you still have feelings for him,0
the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,"The early bird caught the worm, which was a feast to begin its morning",1,on the same page,everyone in agreement,We were on the same page when it came to which movie we wanted to watch,0,out of the closet,go public about something private or hidden,They came out of the closet,2,not the sharpest tool in the shed,"someone who is not very clever, according to others",He's not the sharpest tool in the shed and often dulls his tools,1,at bay,to keep something dangerous at a safe distance,She kept it at bay,2
the eleventh hour,at the very last minute before an event,"They finished it at 11 PM, which was the eleventh hour",1,shake a leg,"to go fast, hurry","Hurry up and shake a leg"" ",2,push the boat out,celebrate; enjoy oneself.,He decided to push the boat out and go on a leisure cruise down the river,1,body and soul,with all one's effort and ability,She gave it her body and soul,2,lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",He was licking his wounds,2
first light,the time when the light begins to appear in the morning,She saw him at first light and followed his silhouette,1,be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,They're on a collision course,2,by dint of,as a result of something,He graduated by dint of his determination and unwavering commitment to the course,0,pay the piper,to bear the ill-effects of something that was enjoyable at one time,He had to pay the piper for playing the music,1,down to earth,"decent, simple, realistic",He is down to earth,2
"judge, jury and executioner","people that are in charge of every decision made, and they have the power to be rid of whomever they choose","He was the judge, jury and executioner of his own decisions",0,catch a cold,suffer a financial loss.,She caught a cold after feeling the cold shoulder from her friends,0,wrapped up in cotton wool,to be over-protected from dangers and risks,He was wrapped up in cotton wool because his parents wouldn't let him do anything that could lead to danger,0,put a sock in it,to ask someone to stop talking,He put a sock in it when his friend started telling a tall tale,0,drop a bombshell,"make an unexpected, startling or disturbing announcement",He dropped a bombshell when he unexpectedly announced his resignation,0
knight in shining armour,used to describe someone who saves you from a difficult situation,He was her knight in shining armour,2,keep the wolf from the door,to have sufficient money to prevent starvation or hunger,They did what they could to keep the wolf from the door and stay afloat even in difficult times,0,you rock,explaining how awesome and cool a person is.,He rocks at playing music,0,asked for the moon,ask for something that is very difficult or impossible to get,"I asked for the moon, when I requested for that position",0,feel the pinch,experience financial hardship,I'm starting to feel the pinch because my shoes fit too tight,1
use your loaf,To tell someone to use their brain more in analysing what they are doing.,He used his loaf to come up with the perfect solution,0,ball and chain,a burden or problem that ties you down and prevents you from doing what you want,My job is like a ball and chain that constrains my freedom,0,axe to grind,have a private or selfish reason for doing something,He had an axe to grind,2,shake a leg,"to go fast, hurry",Hurry up and shake a leg so you can get your blood flowing,1,cross paths,encounter or meet someone by chance.,We crossed paths when we were running the same route,1
call a spade a spade,this phrase means to say something the way it is,She calls a spade a spade when she points to the gardening tools,1,out of the frying pan into the fire,to go from a bad to worse situation,He went from the frying pan into the fire,2,coin money,make a great deal of money easily or very quickly.,He was coining money,2,dodge a bullet,to narrowly avoid a very serious problem or a disaster,I dodged a bullet,2,hornets' nest,a violent situation or one with a lot of dispute,He stirred the hornets' nest,2
in a fog,in a great confusion,I'm in a fog,2,put damper on,to discourage someone from doing something that they want to,It put a damper on the fire when they put a lid over it,1,closed book,something that one knows or understands nothing about.,This is a closed book since they won't tell me why they're mad at me,0,big mouth,someone who talks too much,He's got a big mouth and it makes his face look funny,1,coin money,make a great deal of money easily or very quickly.,He was coining money by minting coins in his basement,1
take with a grain of salt,to understand that something is not completely true or right,I take it with a grain of salt because I literally put a grain of salt in it,1,second wind,another burst of energy when you had been too tired to finish,She got her second wind after watching the inspiring movie,0,get the sack,be dismissed from the job,He got the sack to carry his belongings home,1,acid test,a test that proves a hypothesis or validity of a product or idea,We have to put this to the acid test to see if it remains the same after a chemical reaction,1,save face,To be able to hide public disgrace by taking some action.,He tried to save face by not admitting his mistake,0
up to the mark,to be good enough,This project was up to the mark since it was exactly how the design was planned,1,see eye to eye,to agree fully with someone,They don't see eye to eye when discussing their beliefs and opinions,0,blow your own trumpet,to say things that makes your own self or kin look good,"He was blowing his own trumpet, playing loudly in the park",1,on the hook,someone who is responsible for something,I'm on the hook because I hooked up my boat to the pier,1,pie in the sky,used to portray or refer to something that is lovely to consider however is probably not going to happen,It's a pie in the sky,2
at the bottom of the ladder,"occupying the lowest, most basic position in a given group","She's at the bottom of the ladder, struggling to make something of herself",0,at the drop of the hat,to do something easily and without any preparation,He was ready to go at the drop of the hat,2,taste of own medicine,when someone gets the same bad treatment that he has been giving others,She got a taste of own medicine,2,bits and pieces,miscellaneous small objects,I know the story in bits and pieces as I've heard it from various people,0,add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",He added fuel to the flames,2
a needle in a haystack,something very small amidst something very big,"It's like a needle in a haystack"" ",2,in the pipeline,to be underway,It's in the pipeline and should be available shortly,0,flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.",They are my flesh and blood,2,cool your jets,to calm down and stop being so anxious or elated.,I told him to cool his jets,2,throw the baby out with the bathwater,to remove something good in the bid of getting rid of something bad,They threw the baby out with the bathwater when they decided to get rid of the entire program with no exceptions,0
