idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
go out with,have a romantic relationship with someone,He went out with her for some errands,1,crack the whip,make someone work harder by asserting power or authority,He cracked the whip to get his team motivated and complete their tasks,0,out of hand,out of control,The party got out of hand quickly when everyone started dancing and playing music,0,the bottom line,"in the final analysis, the most important fact in a situation.",It was the bottom line,2,safe bet,fair assumption; reasonable guess; opinion or view that is likely to prove correct.,It's a safe bet that I won't be injured playing roulette,1
air their dirty laundry,to make public something embarrassing that should be kept secret,"We air our dirty laundry to other people, meaning we expose our secrets and flaws to them",0,give a shot,to have a try at something,He gave it a shot,2,dog's life,a miserable and unpleasant life,He led a dog's life,2,dodge a bullet,to narrowly avoid a very serious problem or a disaster,I dodged a bullet when I got out of the relationship unscathed,0,cross swords,to fight with another person physically or verbally.,"We crossed swords in our debate, trying to outwit and out-argue each other",0
knight in shining armour,used to describe someone who saves you from a difficult situation,He was her knight in shining armour when he always knew what to say to make her feel better,0,graveyard shift,"a period of work, for example in a factory, that begins late at night and ends early in the morning","She works the graveyard shift, meaning she works in a graveyard during the night",1,born with a silver spoon in mouth,to be born to parents who are rich and have a good social rank,They were born with a silver spoon in mouth,2,yoke around one's neck,a fatiguing burden.,"He carried a yoke around his neck all these years, suggesting the burden that he's been carrying",0,rack your brains,put great effort to think of or remember something,I'm racking my brains trying to come up with the perfect solution,0
pull your socks up,to be determined to work very hard,She needs to pull her socks up because they had been falling down,1,in stitches,to laugh so hard that you are not able to control yourself,We were in stitches yesterday when we heard the funny story,0,dead duck,a project or scheme which has been abandoned or is certain to fail,He's a dead duck,2,cross the line,behave in a way that is not acceptable,He crossed the line,2,white paper,official report or guide,"My proposal was a white paper, because I wanted to start from scratch with a blank slate",0
meet halfway,to reach a compromise,We met halfway,2,take the cake,being the best in a competition,His speech really took the cake and was the best in the room,0,take a leaf out of someone's book,implement actionable advice,We took a leaf out of their book,2,take a beating,to be defeated in doing something and be reprimanded for the same,He took a beating when he was criticized for his mistake,0,carry coals to new castle,to take something to a place or a person that has a lot of that thing already,She carried coals to Newcastle although she knew it was a futile effort,0
apples and oranges,two things that are fundamentally different and therefore not suited to comparison,"That's like comparing apples and oranges, since they are completely incomparable",0,a hard nut to crack,a problem that is difficult to solve,He's a hard nut to crack and a hammer couldn't break it open,1,watchdog,"one who protects against loss, corruption, waste, or objectionable practices.",He's been a watchdog looking out for any potential issue in his company,0,chip on shoulder,holding a grudge or grievance,He has a chip on his shoulder from the accident which gave him a physical scar,1,a whole new ball game,a significant change in circumstances.,This is a whole new ball game,2
got off your back,to be annoyed and ask someone to stop finding faults or criticize you,He got off my back when I rolled to the side,1,throw it over the wall,"to deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination",We threw it over the wall to make someone else responsible for it,0,on the hook,someone who is responsible for something,I'm on the hook,2,give them a bird,to hold up your middle finger as a very rude sign,I gave them a bird,2,hold your horses,to wait,Let's hold our horses and take a step back to evaluate the whole situation,0
at daggers drawn,almost ready to fight,They were at daggers drawn,2,bottom fell out,"when something causes a plan, project or venture to collapse or fail",When the bottom fell out,2,mean business,to be focused about achieving a goal,He means business,2,body and soul,with all one's effort and ability,"She gave it her body and soul, meaning that she put in her full effort and attention in finishing the project",0,spin a yarn,to tell a tale,"Yesterday, he spun a yarn by using cotton fibers to make a fabric",1
out of the closet,go public about something private or hidden,They came out of the closet to grab the extra blankets,1,in tandem,one after another,She worked in tandem on the tandem bike yesterday,1,kill two birds with one stone,accomplish two different things at the same time,She killed two birds with one stone when she solved two problems with one decision,0,toot one's own horn,speak boastfully about oneself,I tooted my own horn and told them proudly about my recent accomplishments,0,round the clock,continuously or interrupted,She works round the clock,2
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,"He knows which side his bread is buttered, so he keeps his sponsors happy",0,green around the gills,Someone who looks sick or nauseated.,She looked green around the gills because she was wearing too much green eyeshadow,1,in the good books,be in somebody's favour or good opinion,He is in the good books,2,stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",We need to stop the rot from spreading on the vegetables,1,man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",He is a man's best friend because he is always there when his owner calls him,1
got in his hair,to annoy someone so much that they cannot get on with what they are doing,My project got in his hair,2,knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,I know which way the wind blows,2,drive a wedge between,to damage the good relationship that two people or groups of people have,They drove a wedge between us by using a sledgehammer,1,cloud nine,very happy,I'm on cloud nine,2,at the heels of,close behind or soon after something,They arrived at the heels of,2
clear the air,get rid of all doubts and negative feelings,We need to clear the air,2,zero hour,a time when a crucial decision or essential action must be taken,"It's zero hour, which means it's the time for me to make my move",0,give them a bird,to hold up your middle finger as a very rude sign,I gave them a bird as a sign that I was not interested in their company,0,take the cake,being the best in a competition,His speech really took the cake,2,got the slap on the wrist,got small punishment when a more severe punishment is deserved,They got the slap on the wrist,2
flash in the pan,"something that cannot be repeated, usually a positive concept",The party was a flash in the pan,2,shed light,to explain something in order to make it easier to understand,She is shedding light by turning the lamp on,1,fish out of water,to feel uncomfortable in unfamiliar surroundings,He was a fish out of water,2,go down in flames,to fail spectacularly,The project went down in flames,2,keep on top,to stay informed,I'm trying to keep on top of all the competing tasks at hand,0
spill the beans,disclose a secret or reveal something prematurely,She spilled the beans,2,dance to tune,to do what someone else forces you to do,She danced to the tune which the musician was playing,1,all bark and no bite,"threatening, aggressive, but not willing to engage in a fight",He is all bark and no bite as he only barks and never bites,1,wouldn't be seen dead,to be too ashamed or embarrassed of something,She wouldn't be seen dead there as it would be a big embarrassment for her,0,cut and dried,ready-made,The situation is cut and dried; there's no more room for discussion,0
chop and change,repeatedly change.,They often chop and change,2,walk out on,end a relationship with someone suddenly,He walked out on her when she needed him the most,0,back to the drawing board,back to the planning stage,We went back to the drawing board,2,a trip to the sun,something which is very unlikely,He took a trip to the sun,2,big brother,A large organization or government agency that tries to control all aspects of human life and society.,The big brother was watching his little sister play,1
take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,I took it on the chin and moved on from the painful situation,0,spanner in the works,a roadblock that prevents an activity from succeeding,There's been a spanner in the works and our plan has gone awry,0,up in the air,"unresolved, undecided",The outcome is still up in the air,2,big cheese,to be an important and successful individual,He's the big cheese,2,in deep water,a very serious situation,He's in deep water,2
worm in the apple,the presence of something very bad in the best,"There's a worm in the apple, so I think I'll throw it away",1,pay as you go,a payment system that allows you to pay right before a service you use rather than later.,We are paying as we go to reduce our future financial burden,0,bury head in the sand,hide from the truth,He buried his head in the sand when he heard the difficult news,0,save face,To be able to hide public disgrace by taking some action.,He tried to save face,2,hit the bull's-eye,to be exactly right about something or achieve the best result possible,He hit the bull's-eye,2
on the dot,exactly on time,He arrived at 8 on the dot,2,cut the crap,a very crude way of telling someone to stop doing something that you do not like,Let's just cut the crap at the table and throw it away,1,lead astray,make someone act or think in a wrong or foolish manner.,She was led astray,2,a hard nut to crack,a problem that is difficult to solve,He's a hard nut to crack,2,tide over,temporary help (often financial),They rely on donations to tide over their difficult financial situation,0
see the light,realise or understand something,He finally saw the light after much contemplation and struggle,0,take a hike,go away,I took a hike to get away from the stressful atmosphere and clear my head,0,eat crow,being proven wrong after taking a strong stand,She had to eat crow since that was the only food available,1,let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble,We should let sleeping dogs lie and not disturb them while they rest,1,get the sack,be dismissed from the job,He got the sack,2
stab in the back,a disloyalty,He gave me a stab in the back when he broke his promise,0,pass away,die,"Grandfather passed away from the house, so we wouldn't worry about him",1,catch a cold,suffer a financial loss.,She caught a cold,2,clean slate,to wipe the past out and begin afresh,"She started with a clean slate, giving her the opportunity to write down new ideas without erasing any old ones",1,bird's eye view,an overview.,He had a bird's eye view of the entire city,0
kill the goose that lays the golden egg,to destroy something that is profitable to you mostly because of greed.,They killed the goose that lays the golden egg by cutting short a successful initiative,0,make a clean breast,to tell the truth about something.,He made a clean breast of himself by washing himself quickly in the river,1,cross the bridge,to delay worrying about something that might not happen anyway,We have to cross the bridge,2,call a spade a spade,this phrase means to say something the way it is,She calls a spade a spade and never sugarcoats her opinions,0,afraid of my own shadow,to be very nervous or easily frightened,"I'm afraid of my own shadow"" ",2
bite head off,overreact in an angry or harsh way,He bit the head off,2,lose your marbles,strange behaviors.,He has lost his marbles because he accidentally dropped them on the ground,1,wouldn't be caught dead,dislike something very much,I wouldn't be caught dead there as I prefer sophisticated environments,0,a whale of,very big (piece) of something,She had a whale of a time cutting up the whale,1,rub the wrong way,to tick someone off,It rubbed the wrong way,2
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",There's a cloud on the horizon,2,love of life,the person who is loved most by someone in all their life,"John has a love of life, as evidenced by how much he loves taking risks and trying new things",0,Easter egg,a decorated or dyed egg usually given to children at Easter,She found the Easter egg which was the prize for the Easter egg hunt,1,bad-mouth,to say something bad about something,He bad-mouthed the teacher by actually saying bad words about him,1,flash in the pan,"something that cannot be repeated, usually a positive concept",The party was a flash in the pan as it was quickly over and forgotten,0
good egg,a kind person,He is a good egg,2,it's a small world,meeting someone not expected to be at a certain place,It's a small world,2,up in the air,"unresolved, undecided",The outcome is still up in the air due to the windy weather,1,up in the air,"unresolved, undecided",The outcome is still up in the air because the jury is still deliberating,0,to the core,totally,He was impacted to the core,2
leg up,give or receive assistance to achieve a goal,He gave me a leg up by literally helping me get on my horse,1,take the edge off,blunt the effect of,I need to take the edge off this stressful day by taking a break and resting my mind,0,mend fences,to try and improve a bad relationship with another party,They've been mending fences between their different branches of the family,0,cut and dried,ready-made,The situation is cut and dried; it was decided weeks ago,1,smell something fishy,to have a suspicion that something is wrong,I smell something fishy coming from the kitchen,1
dead duck,a project or scheme which has been abandoned or is certain to fail,"He's a dead duck and there is no way to save him."" ",0,blue-collar,"of or relating to industrial work, especially the semiskilled and unskilled",He is a blue-collar worker meaning he specializes in manual work,0,old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,This old hat is fooling nobody,2,bee in bonnet,be possessed with one thought or scheme,She has a bee in her bonnet that just won't go away,1,bread and butter,to indicate what a person earns or earns for,His bread and butter are the meals he eats every day to survive,1
in a nutshell,to be brief and straight to the point.,"It's in a nutshell, all of the information you need in order to make a decision",0,fall on our feet,to succeed in doing something where there was a risk of failure,We fell on our feet and we managed to come up with a solution,0,upper crust,"the aristocracy and upper classes, informal",She's part of the upper crust,2,off the record,an informal or unofficial statement,I told him off the record so that it wouldn't be recorded in the meeting minutes,1,old school,old fashioned ideas or approach compared to current trends,I'm an old school type,2
roll the dice,to gamble or take a chance on something or someone,He rolled the dice,2,bells and whistles,special features that are added to a product or system to attract more buyers,I wanted all the bells and whistles on the bicycle,1,wash dirty linen in public,discuss publicly matters that one should keep private,She washed her dirty linen in public,2,hit the sack,to go to bed,He hit the sack early since he was exhausted from work,0,lower the bar,to lower standards or expectations,The company lowered the bar,2
broken heart,"when a person is emotionally sad or grief-stricken, then it's broken hearted",He has a broken heart because the girl he loved left him,0,stop by,to meet someone or go somewhere in a brief and informal manner,We stopped by yesterday,2,hammer and tongs,"to argue fiercely, with a lot of energy and noise",We worked on it hammer and tongs,2,throw in the towel,to quit,He threw in the towel when it became clear that he could not achieve victory,0,drop a bombshell,"make an unexpected, startling or disturbing announcement",He dropped a bombshell,2
off the cuff,in an unguarded way,He gave an off the cuff speech,2,see light at end of tunnel,to see signs of hope for the future after a long period of difficulty,I can see the light at end of tunnel which means the end of the long and dark tunnel is near,1,fall flat,"fails to amuse people, or fails to have the effect that was intended",His joke fell flat,2,forty winks,"sleep for a while, mostly during the day",I had forty winks,2,third wheel or fifth wheel,a person who is in a situation where they are not needed,"He was the third wheel when his friends went on a date, feeling like an outsider in the group",0
eye candy,attractive visually but uninteresting in other ways,That car is eye candy,2,match made in heaven,a combination of two people that is perfect in every way,It's a match made in heaven since you two found each other on a dating app,1,all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",She goes all the way up,2,under the radar,"going unnoticed, avoiding unnecessary attention",He managed to stay under the radar to avoid detection by radar,1,burn bridges,"remove someone's all options of retreat, act decisively",He burned bridges by leaving without saying goodbye,0
just deserts,get what one deserves,I got my just deserts,2,chill wind,to encounter the problems or trouble,"The chill wind blew, leaving feelings of dread and isolation in its path",0,graveyard shift,"a period of work, for example in a factory, that begins late at night and ends early in the morning",She works the graveyard shift,2,dead duck,a project or scheme which has been abandoned or is certain to fail,He's a dead duck after his heart stopped beating,1,blowing smoke,to intentionally misinform or deceive,"He was blowing smoke, making empty promises that he never intended to keep",0
bug-eyed,The bulging of the eyes out is known as being bug eyed.,He looked bug-eyed when he saw the wild animal,0,give a shot,to have a try at something,He gave it a shot even though the odds were slim,0,get over it,accept something and move on,She needs to get over it,2,bottom fell out,"when something causes a plan, project or venture to collapse or fail","When the bottom fell out of the boat, we had to swim away to safety",1,can of worms,"to get into something that is messy, has problems and is unwanted",It opened up a can of worms,2
take up the cudgels,argue strongly in support or against somebody or something,She took up the cudgels to start the next fight,1,make ones bed and lie on it,to be responsible for what you have done and accept the results,He made his bed and lay on it because it was time to go to sleep,1,fall on his sword,to accept the consequences of an unsuccessful or wrong action,He fell on his sword to take the blame for the failed project,0,plays with fire,people who take unnecessary risks or behave in a dangerous way,He's playing with fire by setting off fireworks,1,give the devil his due,"give credit to an opponent's merits, grudgingly or not.",You have to give the devil his due and acknowledge the hard work that he put into it,0
up to the neck,"when people are very involved in something, especially when it's something wrong",They were up to the neck in work,2,afraid of my own shadow,to be very nervous or easily frightened,I'm afraid of my own shadow because it's always following me,1,cloak and dagger,of or characteristic of the activities of spies and undercover agents.,The meeting was cloak and dagger as everyone was wearing a cape and sword,1,two peas in a pod,practically identical in appearance,They were two peas in a pod when they were sitting in the same pod of peas,1,put the cart before the horse,to do things in the wrong order or sequence,We have put the cart before the horse,2
foam at the mouth,be extremely angry,"The dog was foaming at the mouth when he saw the cat, implying he was ready to attack",0,on the ball,"alert to new trends, ideas, and methods",He was on the ball this morning when he was ready to face whatever the day had to offer,0,cross the line,behave in a way that is not acceptable,He crossed the line as he stepped into the wrong side of the street,1,against the clock,in a great hurry to finish something before a particular time,We are working against the clock because it's ticking loudly,1,carry on,to continue with something,I had to carry on with my daily tasks even though it was tiring,1
treasure trove,a priceless or valuable discovery,The shed was a treasure trove,2,tie the knot,to get married,They tied the knot,2,wooden spoon,the person who finishes last in a race or competition receives an imaginary prize,She was given the wooden spoon,2,can of worms,"to get into something that is messy, has problems and is unwanted",It opened up a can of worms when they tried to open the can,1,bent your ears,to talk to someone for a very long time about something boring,He bent my ears,2
back to the salt mines,"resume work, usually with some reluctance",Time to go back to the salt mines and get to work,0,a little bird told me,it is used when a person is trying to hide the source of his information,A little bird told me that you were going to the party tonight,0,every nook and cranny,to look for something everywhere,They searched every nook and cranny for the missing pieces,0,cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,You'll be cutting your own throat,2,comb through,to look into something carefully.,He combed through the books as if he was brushing his hair,1
green thumb,good gardening results,He has a green thumb when it comes to gardening and can make anything grow,0,get the wrong end of the stick,to understand something in the wrong way,"I think I got the wrong end of the stick, since I misunderstood what she said to me",0,Achilles heel,a vulnerable spot or weakness,"This is his Achilles heel, as he always has difficulty containing his emotions",0,live at rack and manger,in between plenty and abundance,I've been living at rack and manger since it's the only option I have,1,take stock,to think carefully about a situation in order to make a decision,"He was taking stock of his life, wondering how he got there",0
fly off the handle,To lose one's temper and get angry for seemingly no reason (does not usually refer to situations that would warrant an emotional response).,I flew off the handle,2,cry over spilt milk,to be upset about things that have already been done,Don't cry over spilt milk,2,catch up,"to get to the same level, standard, or status as something or someone",I'm trying to catch up,2,my way or the highway,to order someone to do something in a specific way without providing an alternative.,"It's my way or the highway, so there's no other route for you to take",1,tear-jerking,a story that is purposefully sentimental,It was tear-jerking,2
sleep on,postpone making a choice until the following day.,Let's sleep on it and decide after some time for thought,0,give me five,when you want someone to open a hand so you can hit it with your open hand in greeting or celebration,She gave me five high-fives to celebrate our victory,1,bun in the oven,to be pregnant,They have a bun in the oven and are expecting their first child,0,a lot on my plate,to have so many things to do at one time,I have a lot on my plate because I loaded it up,1,cut and thrust,"furious contest, discussion, etc.",The negotiations involved some cut and thrust with both parties giving and taking to come to an understanding,0
put your foot in it,"say something (by mistake) that upsets, humiliates, or embarrasses someone",He put his foot in it when he tripped over,1,on the dot,exactly on time,"He arrived at 8 on the dot, exactly when he said he was going to arrive",1,crowning glory,The greatest or most beautiful thing,Her crowning glory shone brightly as she wore a sparkling tiara,1,get one's feet wet,to begin taking part in a new activity,He got his feet wet when he stood in the water,1,go by the book,"do things strictly according to the written rules, etc.",He went by the book as he followed the instructions written in it,1
