idiom_0,instance_0,label_0,meaning_0,idiom_1,instance_1,label_1,meaning_1,idiom_2,instance_2,label_2,meaning_2,idiom_3,instance_3,label_3,meaning_3,idiom_4,instance_4,label_4,meaning_4
in a nutshell,she explained it in a nutshell so that everyone could understand the concept quickly,0,to be brief and straight to the point.,bite off more than one can chew,he bit off more than he could chew when he tried to eat the whole sandwich in one bite,1,"to try to do something that is too difficult for you, or more than you can manage",chill wind,"as we walked through the forest, a chill wind blew and made us shiver",1,to encounter the problems or trouble,treasure trove,"when they found the old library, they discovered a treasure trove of knowledge",0,a priceless or valuable discovery,second wind,"while searching through the attic, he found a second wind chime to add to his collection",1,another burst of energy when you had been too tired to finish
got in his hair,the confetti from the party got in his hair and took a while to remove,1,to annoy someone so much that they cannot get on with what they are doing,top dog,"at the dog show, her well-trained canine became the top dog among all the competitors",1,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.",cold turkey,he quit smoking by going cold turkey without any assistance,0,in a unexpected and sudden way,baying for blood,the pack of hungry wolves was baying for blood as they hunted their prey,1,want somebody to be hurt or punished.,"judge, jury and executioner","he was acting as judge, jury, and executioner when he made the decision without consulting anyone",0,"people that are in charge of every decision made, and they have the power to be rid of whomever they choose"
put your head on the block,he put his head on the block by taking responsibility for the team's failure,0,if you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong,fall between the cracks,the small toy fell between the cracks of the wooden floor,1,be ignored or unobserved,fan the flames,they fanned the flames together to keep the campfire going,1,make a bad situation even worse,you can't teach an old dog new tricks,"the dog trainer spent hours teaching an old dog new tricks, but the dog's age made it difficult to learn",1,you cannot make others change their habits,dig one's own grave,"by spreading false rumors about the boss, he was digging his own grave at work",0,"to do something that has negative consequences for you, even though these consequences can be easily seen."
all Greek to me,"since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",1,used to convey that you cannot understand what is being said or written,play cat and mouse,the children played cat and mouse by pretending to be animals in their game,1,to play with or tease someone,turn the tables,they turned the tables on her by revealing her secret plan,0,change your position with respect to someone else.,no picnic,"despite the food and blankets, the rain made sure it was no picnic for us",1,used to express that an activity or action is not fun,cross the line,he crossed the line with her when he made that inappropriate comment,0,behave in a way that is not acceptable
bet on the wrong horse,"at the racetrack, she bet on the wrong horse and lost her money",1,support a person or thing that ultimately fails,clear the decks,we cleared the decks for the event by finishing all our pending tasks,0,get ready for action.,burn bridges,the vandals burned bridges with them as they escaped the village,1,"remove someone's all options of retreat, act decisively",white paper,she read the white paper to understand the company 's new policy,0,official report or guide,a lot on my plate,"juggling multiple projects at work, she was having a lot on the plate these days",0,to have so many things to do at one time
black book,"after betraying his trust, she was found in the black book of his memories",0,a book containing a list of secret contacts,hot potato,"during the picnic, she handled the hot potato carefully to avoid burning her fingers",1,any subject which several folks are talking about and which is frequently argued,the sun rises and sets on them,she adores her children so much that the sun rises and sets on them in her eyes,0,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,vultures are circling,"as the company's stock plummeted, the vultures are circling to buy it cheap",0,when something is in danger and its enemies are getting ready for the kill,call a spade a spade,"while playing cards, she called a spade a spade when she identified the suit correctly",1,this phrase means to say something the way it is
against the grain,"when sanding wood, going against the grain can cause scratches and damage",1,a difficult path to be followed,stand out,he had to stand out in the crowd to get a better view of the stage,1,extend beyond or above a surface,fall flat,"he tried to make everyone laugh, but the joke fell flat and no one reacted",0,"fails to amuse people, or fails to have the effect that was intended",play cat and mouse,the detective played cat and mouse with the suspect to get a confession,0,to play with or tease someone,know the ropes,"having worked there for years, he knew the ropes well and could handle any task",0,to know all the ways and means to get something done
against the grain,his decision to quit his job was going against the grain of his family's expectations,0,a difficult path to be followed,give it a whirl,he gave it a whirl by spinning the wheel at the carnival game,1,to try something new.,keep at arm's length,"during the self-defense training, she kept him at arm's length to maintain a safe distance",1,keep distance from something or somebody,below the belt,"insulting her intelligence, that comment was below the belt",0,to be mean and unfair (in a fight),sail through,the experienced captain was able to sail through the challenges of the stormy sea,1,to succeed in doing it without difficulty
cool heels,"after walking on hot sand, they were cooling their heels in the ocean water",1,to wait or take rest,batten down the hatches,"as the storm approached, the sailors rushed to batten down the hatches on the ship",1,to get ready for trouble,in cold blood,the scientist committed the crime in cold blood while studying the effects of low temperatures on human behavior,1,in a cruel way and without pity or other emotion,ring a bell,the teacher asked me to ring a bell for them to signal the end of recess,1,something that sounds familiar,weather the storm,"during the hurricane, we huddled in the basement and weathered the storm together",1,handle a difficult period of time successfully
come clean,"after hiding the truth for so long, he decided to come clean about his past",0,to make a disclosure,silver spoon,"in a unique family tradition, every child was born with a silver spoon placed beside them",1,having a rich or privileged background,get over it,he finally got over it by climbing the fence,1,accept something and move on,ate her alive,"in the horror movie, the monster found her hiding spot and it ate her alive",1,to criticize someone severely because you are angry with them,stick in his throat,the insincere compliment stuck in his throat as he tried to praise his rival,0,difficulty of accepting and makes you angry or resentful
feet of clay,the statue had feet of clay as part of its unique design,1,have a flaw or weakness most people are unaware of.,carry out,the movers had to carry out the task of moving the heavy furniture,1,"put something into action, to accomplish something, to do something.",between you and me,"between you and me, there's a secret that I can't share with anyone else",0,a secret to be kept between two people,sleep on,"with no bed available, he had to sleep on the decision he made by using a pile of papers",1,postpone making a choice until the following day.,pipe down,the teacher told them to pipe down when they were being too loud,0,to take to one or more notches down to its current standard
wrapped up in cotton wool,the delicate antique was wrapped up in cotton wool to prevent damage during transportation,1,to be over-protected from dangers and risks,cross the bridge,the two friends crossed the bridge together while enjoying the scenic view,1,to delay worrying about something that might not happen anyway,blow cover,the strong wind blew their cover off the outdoor furniture,1,to reveal the true identity,troubled waters,"during the financial crisis, the company was sailing through troubled waters",0,a difficult phase of life,flesh and blood,the horror movie showed a scene where my own flesh and blood was exposed after a terrible accident,1,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood."
in touch,"during the team-building exercise, we had to stay in touch by holding hands",1,"to remain in contact with someone, especially when separated by time or distance",not have a clue,she searched her bag for the crossword puzzle but didn't have a clue inside,1,to not know something.,Achilles heel,"during the anatomy class, we studied his Achilles heel and its function",1,a vulnerable spot or weakness,a witch hunt,"during the historical reenactment, they started a witch hunt to portray the events accurately",1,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,rocket science,"compared to the study of biology, physics is not exactly rocket science",1,something very difficult to understand
wet behind the ears,"after swimming, she was still wet behind the ears despite toweling off",1,immature or poor skill,all the way up,the elevator went all the way up to the top floor of the building,1,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",fingers crossed,"while making a wish, I was keeping my fingers crossed for added luck",1,a gesture of crossed fingers used to express good luck,ages,"during our time-travel adventure, I haven't seen you in ages as we got separated in different eras",1,a long time; a very long time,turn down a glass,"at the party, he politely turned down a glass when offered a drink",0,to decline something that someone has offered.
raise the bar,the high jump coach raised the bar for everyone during practice,1,to be better than what went before,ahead of the curve,the race car driver was staying ahead of the curve by maintaining a lead on the track,1,better than others,break up,the construction workers decided to break up the concrete with a jackhammer,1,end a romantic relationship with someone,hide light under a bushel,"during the game of hide and seek, he was hiding light under a bushel to avoid being found",1,to show modesty towards something or someone,the devil is beating his wife,"while the sun was shining, it started raining, and people said the devil is beating his wife",0,raining whereas the sun is shining.
drop a bombshell,the CEO dropped a bombshell during the meeting when he announced the company's bankruptcy,0,"make an unexpected, startling or disturbing announcement",on the money,the coin landed right on the money that was placed on the table,1,being right about something.,elephant in the room,"at the wildlife conservation conference, the speaker decided to address the elephant in the room and talk about habitat preservation",1,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward",at the heels of,the dog was at the heels of the leader during the hike,1,close behind or soon after something,on the ball,she stayed on the ball and managed to finish the project before the deadline,0,"alert to new trends, ideas, and methods"
make it big,"after years of hard work, she finally made it big in the industry",0,become very successful or famous,in your face,the 3D movie had an in-your-face attitude with objects flying towards the audience,1,"a bold, defiant or aggressive manner",never looked back,he walked away from the haunted house and never looked back after that,1,"after an event which changed your life for the better, you continue to be happy with the situation",black and blue,"after the harsh criticism, his ego was bruised black and blue",0,"hurt, either bodily, emotionally or psychologically",black sheep,"among the white ones, there was the black sheep in their midst grazing in the field",1,a disgrace
jobs for the boys,the summer camp was giving jobs for the boys to help them earn some pocket money,1,work that someone in an important position gives to their friends or relations,ball and chain,he felt like he was carrying a ball and chain with his overwhelming responsibilities,0,a burden or problem that ties you down and prevents you from doing what you want,in stitches,his hilarious jokes had everyone in stitches at the party,0,to laugh so hard that you are not able to control yourself,knowing which way the wind blows,"as an experienced sailor, he was skilled at knowing which way the wind blows",1,this means that you should know how things are developing and be prepared for the future,strike while the iron is hot,"to seize the opportunity, he decided to strike while the iron is hot and invest in the stock market",0,to take advantage of a situation
