idiom_0,instance_0,label_0,meaning_0,idiom_1,instance_1,label_1,meaning_1,idiom_2,instance_2,label_2,meaning_2,idiom_3,instance_3,label_3,meaning_3,idiom_4,instance_4,label_4,meaning_4
a hard nut to crack,the mysterious case was a hard nut to crack for the detective,0,a problem that is difficult to solve,not getting anywhere,not getting anywhere with this,2,to make no progress at all; not improving or advancing a particular situation,hit the hay,time to hit the hay,2,to go to sleep or head to bed.,fish out of water,like a fish out of water,2,to feel uncomfortable in unfamiliar surroundings,bury head in the sand,buried their heads in the sand,2,hide from the truth
"blood, sweat, and tears","he put in blood, sweat, and tears",2,putting a lot of effort to get a task done.,smooth his ruffled feathers,I had to apologize to smooth his ruffled feathers after our disagreement,0,to make someone feel less angry or offended,in the dark,the employees were kept in the dark about the company's financial situation,0,"uninformed, a state of ignorance.",in stitches,had everyone in stitches,2,to laugh so hard that you are not able to control yourself,on the edge of their seat,on the edge of their seat,2,to be very interested in something and fits with both extremely exciting and nerve-wracking
tore your hair out,tore your hair out,2,to be extremely agitated or distressed about something,get one's feet wet,they got their feet wet,2,to begin taking part in a new activity,saved his neck,saved his neck at the last moment,2,to manage to escape from serious danger or trouble,tall poppy,a tall poppy among them,2,a privileged or distinguished person.,old hat,an old hat at,2,Someone who is old fashioned. The phrase can directly refer to old fashion too.
fall on our feet,to fall on our feet,2,to succeed in doing something where there was a risk of failure,wet the baby's head,wet the baby's head,2,to have drink to celebrate the birth of a baby,cut your own throat,cut his own throat,2,to do something that will be the cause of your own failure or ruin your chances in the future,behind closed doors,the board members discussed the matter behind closed doors to maintain confidentiality,0,in clandestine,blazing row,the couple next door had a blazing row over their finances,0,a very angry argument
happy camper,"after the long meeting, she was not a happy camper",0,to be content or satisfied with what is happening in your lifes and have no complaints,keep at arm's length,"despite his attempts to get closer, she kept him at arm's length due to her cautious nature",0,keep distance from something or somebody,my way or the highway,"when it comes to decision-making, he always says it's my way or the highway",0,to order someone to do something in a specific way without providing an alternative.,find feet,"after a few weeks, she found her feet in the new environment and became more confident",0,become familiar with a new situation,caught between two stools,was caught between two stools,2,"come between two alternatives, and so fail to fulfill either of them"
apples and oranges,comparing apples and oranges,2,two things that are fundamentally different and therefore not suited to comparison,break the mould,her innovative ideas were breaking the mould in the industry,0,to do something different from what is expected,jobs for the boys,giving jobs for the boys,2,work that someone in an important position gives to their friends or relations,up in the air,our vacation plans are up in the air due to the unpredictable weather,0,"unresolved, undecided",look on the bright side,"despite the setback, she encouraged us to look on the bright side of things and learn from the experience",0,always try to see the good things even in bad situations
wouldn't be seen dead,wouldn't be seen dead in that,2,to be too ashamed or embarrassed of something,a hard nut to crack,a hard nut to crack,2,a problem that is difficult to solve,run out of steam,"after working on the project for hours, she finally ran out of steam and took a break",0,to lose the effect that something once had,ball of fire,like a ball of fire,2,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.",kick yourself,kicked themselves,2,to be angry with yourself for something you have or have not done
hold all the aces,"during the negotiation, he held all the aces and had the upper hand",0,be in a winning position.,first light,he started his daily workout at first light to seize the day,0,the time when the light begins to appear in the morning,hide light under a bushel,hiding light under a bushel,2,to show modesty towards something or someone,pipe down,told them to pipe down,2,to take to one or more notches down to its current standard,take a cue from,you should take a cue from her and start organizing your time better,0,to do what is recommended by someone else
come full circle,came full circle,2,return to an earlier position or decision.,chip on shoulder,he had a chip on his shoulder after being passed over for the promotion,0,holding a grudge or grievance,kiss and make up,"after the argument, he decided to kiss and make up with her to resolve their differences",0,to become friendly again after an argument,in full swing,the party was in full swing,2,at a stage when the level of activity is at its highest,let sleeping dogs lie,to let sleeping dogs lie,2,its best to leave a situation as it is if disturbing it might cause trouble
call bluff,she called his bluff,2,"to challenge to prove one's claim, when they are likely attempting to deceive",go round in circles,going round in circles,2,work at something but keep failing to make progress with it.,bag and baggage,they left with bag and baggage,2,(with) all one's belongings.,out of the closet,came out of the closet,2,go public about something private or hidden,safe bet,a safe bet for success,2,fair assumption; reasonable guess; opinion or view that is likely to prove correct.
bundle up,bundle up before going,2,to dress warmly to protect oneself from the elements,scrape the bottom of the barrel,hiring that unqualified candidate was like scraping the bottom of the barrel,0,"It is a phrase used to describe something you know is not in good condition, but you have to select it since you don't have an option of choosing the better one.",a cuckoo in the nest,found a cuckoo in the nest,2,an unwelcome intruder in a place or situation.,velvet glove,the manager was wearing a velvet glove when he gently guided the team through the crisis,0,"a person who appears gentle, but is determined and inflexible underneath",in bed with,in bed with the competition,2,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you."
apples and oranges,arguing about their preferences in music was like comparing apples and oranges,0,two things that are fundamentally different and therefore not suited to comparison,first light,at first light,2,the time when the light begins to appear in the morning,keep card close to chest,they kept their cards close to their chest,2,"be secretive or cautious, give nothing away",get over it,"after a few weeks of sadness, she finally got over it and moved on",0,accept something and move on,nail biter,a real nail biter,2,"a situation like a close contest, which induces anxiety or tension."
foot in mouth,I put my foot in my mouth,2,to say something by accident that embarrasses or upsets someone,everything but the kitchen sink,packed everything but the kitchen sink,2,almost everything that one can think of,on the edge of their seat,the suspenseful movie had everyone on the edge of their seat,0,to be very interested in something and fits with both extremely exciting and nerve-wracking,a storm is brewing,"with the tension between the two groups, a storm is brewing in the distance",0,"there is going to be trouble, probably with outbursts of anger or emotion",go through the roof,his anger went through the roof when he found out about the betrayal,0,to become very angry
ball and chain,was carrying a ball and chain,2,a burden or problem that ties you down and prevents you from doing what you want,lower the bar,lowered the bar for everyone,2,to lower standards or expectations,frighten or scare to death,scared her to death,2,make somebody feel very frightened.,cash in,he decided to cash in on the opportunity and invest in the startup,0,to earn out of something in big amounts,fall on our feet,to fall on our feet,2,to succeed in doing something where there was a risk of failure
lose it,she lost it during the meeting,2,go insane or crazy,pass the torch,the retiring CEO passed the torch to her as the new leader of the company,0,to pass on the responsibility,a trip to the sun,planned a trip to the sun,2,something which is very unlikely,happy camper,not a happy camper,2,to be content or satisfied with what is happening in your lifes and have no complaints,turn back on,she turned back on the situation when she refused to help her friend,0,choose not to speak to
wouldn't be seen dead,"she wouldn't be seen dead in that outfit, as it was completely out of style",0,to be too ashamed or embarrassed of something,man's best friend,a man's best friend,2,"It refers to animals that are of use to human beings, mostly used to address dogs.",throw in the towel,to throw in the towel on this project,2,to quit,written all over face,written all over her face,2,when someone's feelings or thoughts are very clear,walk on eggshell,"since she was easily offended, we were always walking on eggshells around her",0,to be careful about one's words or actions around another person
bad blood,there's bad blood between them,2,to have ill feelings towards someone,blow his own horn,he never hesitates to blow his own horn about his accomplishments,0,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,lump in my throat,"when I heard the sad news, I had a lump in my throat and couldn't speak",0,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,beat the drum,beat the drum for the cause,2,to speak eagerly about something you support,ring a bell,to ring a bell for them,2,something that sounds familiar
cross paths,cross paths with her,2,encounter or meet someone by chance.,back door,she went through the back door to get a promotion without proper qualifications,0,to take indirect or unofficial route to get something done,cloud on the horizon,a cloud on the horizon,2,"a problem or difficulty that is predictable, or seems likely to arise in the future",chill to the bone,chilled to the bone,2,to get frightened or scare somebody,miles to go before I sleep,miles to go before I sleep,2,you have a lot to do before you can rest
get hitched,they decided to get hitched,2,to get married,throw the baby out with the bathwater,throw the baby out with the bathwater,2,to remove something good in the bid of getting rid of something bad,keep your nose clean,keeping your nose clean,2,to stay out of trouble by not doing anything wrong,dark horse,a dark horse in the race,2,"a little known, unexpectedly successful entrant",asked for the moon,he asked for the moon when he requested a million-dollar salary,0,ask for something that is very difficult or impossible to get
foot in the door,got a foot in the door,2,succeed with a first step.,flog a dead horse,flogging a dead horse,2,waste energy on something that has no chance of succeeding,pie in the sky,a pie in the sky,2,used to portray or refer to something that is lovely to consider however is probably not going to happen,in high dudgeon,"after hearing the offensive remark, she left the room in high dudgeon",0,feeling or exhibiting great resentment,just deserts,they received their just deserts,2,get what one deserves
deep down,deep down in the ocean,2,felt strongly and often hidden from other people,take a cue from,take a cue from her,2,to do what is recommended by someone else,bone to pick,had a bone to pick with her,2,having a complaint that needs to be discussed.,ups and downs,experienced ups and downs,2,good times and bad times,cutting edge,their research is on the cutting edge of technology,0,to be among the latest and the best (often used for technological advancements)
ray of sunshine,a ray of sunshine in the room,2,someone or something that brings hope into the lives of others,icing on the cake,the icing on the cake,2,when something good is added to another good thing that you already have,across the board,improvements across the board,2,applying to everyone,cloak and dagger,was involved in a cloak and dagger,2,of or characteristic of the activities of spies and undercover agents.,cost an arm and a leg,cost an arm and a leg,2,very expensive
bark up the wrong tree,accusing her of stealing the documents was barking up the wrong tree,0,waste one's efforts by pursuing the wrong thing or path,a wakeup call,she received a wakeup call,2,something that makes you realize that you need to take action to change a situation,every nook and cranny,"to find the perfect gift, they searched every nook and cranny of the shopping mall",0,to look for something everywhere,cut the cord,cut the cord with her,2,to end a connection with someone,field day,had a field day,2,have a great time doing something enjoyable
made it,finally made it,2,used to indicated the completion of a task,snake in the grass,she found a snake in the grass,2,a hidden army,come across,"while researching, I came across the old book that provided valuable information",0,to meet someone,in a fog,lost in a fog,2,in a great confusion,on the hook,was left on the hook,2,someone who is responsible for something
cup of tea,"skydiving is not my cup of tea, I prefer calmer activities",0,to like something,crack the whip,cracked the whip on the team,2,make someone work harder by asserting power or authority,take with a grain of salt,"when listening to his stories, it's best to take it with a grain of salt",0,to understand that something is not completely true or right,paddle own canoe,they decided to paddle their own canoe and start their own business,0,To be able to act without having to depend on anyone.,beyond the veil,she looked beyond the veil,2,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death."
a litmus test,the new policy was a litmus test,2,someone's decision or opinion about something that suggests what they think about a wider range of related things,got in his hair,the constant questions from his coworkers got in his hair and made it difficult to concentrate,0,to annoy someone so much that they cannot get on with what they are doing,take a back seat,he took a back seat to her,2,take a less important position.,cards are stacked against,"despite their hard work, the cards are stacked against them in this competitive market",0,"someone is not likely to succeed, especially because the person is not being given a fair chance",take up the cudgels,he took up the cudgels for her,2,argue strongly in support or against somebody or something
feather in your cap,a feather in your cap,2,It means to have an achievement in your name.,pass the torch,passed the torch to her,2,to pass on the responsibility,bent your ears,the speaker bent their ears with his captivating stories,0,to talk to someone for a very long time about something boring,in at the deep end,was thrown in at the deep end,2,to start a new job or activity without being prepared for it,arm in arm,walked arm in arm,2,to be closely allied
double-edged sword,"having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",0,something that could either help you or hurt you,from A to Z,learned it from A to Z,2,comprehensive,at the drop of a dime,ready at the drop of a dime,2,something that can happen very fast without hesitation,bite off more than one can chew,he bit off more than he could chew,2,"to try to do something that is too difficult for you, or more than you can manage",off grid,he decided to disconnect from social media and started living off grid,0,disconnected from municipal utility systems.
carry out,the team was assigned to carry out the task of improving the company's online presence,0,"put something into action, to accomplish something, to do something.",cash in,cash in on the opportunity,2,to earn out of something in big amounts,black and blue,was bruised black and blue,2,"hurt, either bodily, emotionally or psychologically",black hole,"the inefficient department created a black hole in the system, draining resources",0,a place in which things are lost never to be seen again,prick up ears,pricked up their ears,2,to start paying attention
yellow streak,has a yellow streak,2,people who  have an inclination towards being fainthearted.,written all over face,her excitement was written all over her face when she received the good news,0,when someone's feelings or thoughts are very clear,apples to apples,to compare apples to apples,2,having a fair comparison between the two things,ahead of the pack,"by consistently innovating, the company is staying ahead of the pack in the industry",0,more successful than other people who are trying to achieve the same things,tearing a strip off,was tearing a strip off the fabric,2,to reprimand someone severely for doing something wrong
pull a rabbit out of the hat,our team pulled a rabbit out of the hat by winning the game in the last minute,0,do something unexpected or surprising,queer pitch,made a queer pitch,2,spoil somebody's chance of doing something.,looked through colored glasses,looked through colored glasses,2,to look the things not as they are; having a heavily biased worldview,rub shoulders,"at the gala, she rubbed shoulders with the famous and made valuable connections",0,"to meet and spend time with people, especially when they are powerful or famous","you can't have cake and the topping, too","can't have the cake and the topping, too",2,"you can't have everything the way you want it, especially if your desires are contradictory"
bats in the belfry,had bats in the belfry,2,to be silly and slightly crazy and behave in a confused way,fall on his sword,he decided to fall on his sword and take responsibility for the team's failure,0,to accept the consequences of an unsuccessful or wrong action,butter up,to butter up the boss,2,to flatter someone so as to get something in return from them,sit tight,the manager told us to sit tight and wait for further instructions,0,wait patiently,dead and buried,that issue is dead and buried,2,no longer in use.
paint the town red,to paint the town red together,2,to celebrate and have a wild time,on its knees,"after the economic crisis, the city was on its knees and struggling to recover",0,something that is in a very weak situation or on the verge of failure,put damper on,put a damper on the event,2,to discourage someone from doing something that they want to,red carpet,they rolled out the red carpet for the celebrity guest at the event,0,to give people a special welcome to show that you think they are important,cut and dried,"with her impressive qualifications, it was a cut and dried decision to hire her",0,ready-made
you can't have your cake and eat it,can't have the cake and eat it,2,you can't have things both ways,in the good books,"by completing the project on time, he was in the good books of the boss",0,be in somebody's favour or good opinion,begun to see the light,"after hours of studying, he finally began to see the light and understood the concept",0,to suddenly begin to understand,let the cat out of the bag,let the cat out of the bag,2,to let a secret out in the open,hard cheese,she experienced hard cheese,2,"bad luck, tough luck"
begun to see the light,began to see the light,2,to suddenly begin to understand,live at rack and manger,lived at rack and manger,2,in between plenty and abundance,sit on the fence,sitting on the fence,2,delay or avoid making a decision or choice,high up,so high up,2,to have an important standing in society,the eleventh hour,"he finished the project at the eleventh hour, just before the deadline",0,at the very last minute before an event
wag the dog,the politician was wagging the dog by creating a diversion from the scandal,0,to divert attention from something that is bad,hands are tied,my hands are tied,2,to not be able to do anything about a situation,dig one's own grave,was digging his own grave,2,"to do something that has negative consequences for you, even though these consequences can be easily seen.",mind your own beeswax,on minding your own beeswax,2,do not interfere into someone else's matter,goose egg,"despite her efforts in the competition, she scored a goose egg and felt disappointed",0,zero
tore your hair out,you tore your hair out trying to solve that complex math problem,0,to be extremely agitated or distressed about something,just what the doctor ordered,just what the doctor ordered,2,exactly what was wanted or needed,where the rubber meets the road,where the rubber meets the road,2,when you have to face your challenges,drop by,I'll drop by the store to see if they have any new books,0,an informal visit,butter up,to butter up the boss,2,to flatter someone so as to get something in return from them
bad blood,"due to their past disagreements, there's bad blood between them",0,to have ill feelings towards someone,shades of grey,"in the complex political situation, they saw shades of grey rather than a clear right or wrong",0,refers to a situation where things are not really clear,nail biter,a real nail biter,2,"a situation like a close contest, which induces anxiety or tension.",you bet,you bet I'll be there,2,for sure,fingers crossed,I'm keeping my fingers crossed for good news about the job offer,0,a gesture of crossed fingers used to express good luck
give it a whirl,"unsure of the outcome, he gave it a whirl and tried the new recipe",0,to try something new.,spin a yarn,spun a yarn together,2,to tell a tale,show true colors,showed their true colors,2,to reveal what one is really like,in one's blood,it's in her blood,2,a natural or inherited characteristic.,a bird in the hand,"he decided to accept the job offer, believing that a bird in the hand is worth two in the bush",0,a possession that is worthy
that's going too far,insulting her family was that's going too far and crossed the line,0,to do something that is considered extreme or unacceptable,see the light,"after struggling with the problem for hours, he finally saw the light and found the solution",0,realise or understand something,give the slip,she gave him the slip by sneaking out the back door,0,to get away,at the helm,at the helm of the project,2,"in charge of an organization, group of people, etc.",shot in the dark,"without any information, he took a shot in the dark and guessed the answer",0,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is
when the chips are down,when the chips are down,2,when a situation is urgent or desperate.,caught in the crossfire,caught in the crossfire,2,be badly affected by a situation where two people or group are arguing with each other.,lick his wounds,he licked his wounds after the fight by taking some time to recover from the emotional blow,0,"to try to recover your confidence or spirit after a defeat, failure or disappointment",give a shot,gave it a shot,2,to have a try at something,hit the sack,she decided to hit the sack,2,to go to bed
smell something fishy,I smelled something fishy,2,to have a suspicion that something is wrong,tight spot,found themselves in a tight spot,2,to be in a very difficult situation,take the bull by the horns,took the bull by the horns,2,decisively deal with a difficult or dangerous situation,in the pipeline,our company has several exciting projects in the pipeline for the upcoming year,0,to be underway,end of story,"I told him I wasn't interested, and that's the end of the story",0,there is  nothing more to add to the matter under discussion
it's not brain surgery,it's not brain surgery,2,to indicate that a specific task is simple and easy to undertake ,stand out,her unique fashion sense made her stand out in the crowd,0,extend beyond or above a surface,hand in hand,walked hand in hand,2,close ties or connections,meet halfway,"to resolve the conflict, they decided to meet halfway in the park and discuss their differences",0,to reach a compromise,tighten belt,"due to the economic downturn, we had to tighten the belt a bit and cut some expenses",0,to save your money
fan the flames,their constant arguing only fanned the flames together and made the situation worse,0,make a bad situation even worse,apples and oranges,comparing apples and oranges,2,two things that are fundamentally different and therefore not suited to comparison,the last straw,"when he insulted her cooking, that was the last straw and she decided to leave",0,to be the last in a sequence of unpleasant things,better half,spending time with my better half,2,spouse,elephant in the room,"during the family meeting, it was time to address the elephant in the room and discuss the ongoing conflict",0,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward"
at the drop of a dime,our team is always ready at the drop of a dime to tackle any challenge,0,something that can happen very fast without hesitation,tearing a strip off,was tearing a strip off the fabric,2,to reprimand someone severely for doing something wrong,mind your own beeswax,"instead of gossiping about others, focus on minding your own beeswax",0,do not interfere into someone else's matter,Easter egg,"while playing the video game, he found an Easter egg hidden by the developers",0,a decorated or dyed egg usually given to children at Easter,bull in a china shop,like a bull in a china shop,2,"extremely awkward, clumsy person"
pieces of the same cake,two pieces of the same cake,2,things that have the same characteristics or qualities,gets it out of his system,gets it out of his system,2,get rid of a strong emotion or desire by expressing it openly or trying to fulfill it,playing second fiddle,playing second fiddle to her,2,to play a secondary or minor role with regards to someone else,on the brink of,on the brink of something,2,to be on the verge of doing something,get one's feet wet,they got their feet wet,2,to begin taking part in a new activity
take a leaf out of someone's book,take a leaf out of her book,2,implement actionable advice,in the pipeline,projects in the pipeline,2,to be underway,pull your socks up,"if you want to pass the exam, you need to pull your socks up and study harder",0,to be determined to work very hard,drop a bombshell,dropped a bombshell during the meeting,2,"make an unexpected, startling or disturbing announcement",shades of grey,they saw shades of grey,2,refers to a situation where things are not really clear
the devil is beating his wife,the devil is beating his wife,2,raining whereas the sun is shining.,in a nutshell,she explained it in a nutshell,2,to be brief and straight to the point.,cut and thrust,the cut and thrust of the debate,2,"furious contest, discussion, etc.",bigger fish to fry,I have bigger fish to fry,2,"to have other, more important things to do.",Achilles heel,"despite his intelligence, procrastination was his Achilles heel",0,a vulnerable spot or weakness
castles in the air,he spent his days building castles in the air instead of focusing on his job,0,thinking of some impossible task,get the wrong end of the stick,got the wrong end of the stick,2,to understand something in the wrong way,black and blue,was bruised black and blue,2,"hurt, either bodily, emotionally or psychologically",back against the wall,he had his back against the wall,2,to be in a tough situation with limited options,to see the back of,to see the back of the problem,2,to be glad that you no longer have to deal with someone
had your chips,you had your chips,2,when someone has completely failed in what they set out to achieve,taking your medicine,facing the consequences of your actions is like taking your medicine,0,to accept the consequences of something you have done wrong,tasted blood,he tasted blood in the competition,2,"to experience something thrilling and exciting, and want to experience it again.",tar with the same brush,by tarring them with the same brush,2,to think that somebody has the same bad qualities as others in a similar surrounding,it's not brain surgery,it's not brain surgery,2,to indicate that a specific task is simple and easy to undertake 
put cards on the table,they put their cards on the table,2,be open and honest,take a beating,the company's stock prices took a beating after the negative news,0,to be defeated in doing something and be reprimanded for the same,cut corners,cut corners on the project,2,"economise on time, money, materials or effort, perhaps unwisely",treasure trove,they discovered a treasure trove,2,a priceless or valuable discovery,all Greek to me,"when he started talking about quantum physics, it's all Greek to me",0,used to convey that you cannot understand what is being said or written
the brains behind,"she was the brains behind the project, coming up with innovative ideas",0,"used to refer to the person who originally invented a particular scheme, plan or idea",go steady,"after dating for a few months, they decided to go steady and become exclusive",0,have a romantic relationship with someone,knight in shining armour,he came to her rescue like a knight in shining armour when she needed help,0,used to describe someone who saves you from a difficult situation,fingers and thumbs,"when it comes to knitting, I'm all fingers and thumbs",0,to be clumsy and not very skilled with your hands,blow cover,blew their cover,2,to reveal the true identity
hands are tied,my hands are tied,2,to not be able to do anything about a situation,a litmus test,"for the government, the new policy was a litmus test of public opinion",0,someone's decision or opinion about something that suggests what they think about a wider range of related things,far cry from,a far cry from the original,2,something that is very different from something else,as long as,his patience was as long as the rope when dealing with difficult customers,0,to put condition of time on an action,red carpet,rolled out the red carpet,2,to give people a special welcome to show that you think they are important
a bird in the hand,a bird in the hand,2,a possession that is worthy,rabbit hole,went down the rabbit hole,2,mentally go somewhere surreal or strange,behind bars,put him behind bars,2,to be in jail or prison,go down in flames,went down in flames,2,to fail spectacularly,on the hook,was left on the hook,2,someone who is responsible for something
loaves and fishes,the charity event shared loaves and fishes by providing for the needy,0,done for material benefits,kick the bucket,kicked the bucket together,2,to die,made it,"after years of hard work, she finally made it in the music industry",0,used to indicated the completion of a task,red carpet,rolled out the red carpet,2,to give people a special welcome to show that you think they are important,bells and whistles,added bells and whistles,2,special features that are added to a product or system to attract more buyers
long run,in the long run,2,far away in the future,wet behind the ears,still wet behind the ears,2,immature or poor skill,baying for blood,the angry mob was baying for blood after the politician's scandal,0,want somebody to be hurt or punished.,hold your horses,hold your horses for a moment,2,to wait,a litmus test,the new policy was a litmus test,2,someone's decision or opinion about something that suggests what they think about a wider range of related things
at the drop of the hat,ready at the drop of a hat,2,to do something easily and without any preparation,hit the books,time to hit the books,2,to study very hard,come out swinging,"after the criticism, he came out swinging with a strong rebuttal",0,be confrontational,catch napping,caught him napping,2,"surprise, take unawares.",a damp squib,turned out to be a damp squib,2,an event which people think will be exciting but which is disappointing when it happens.
off grid,started living off grid,2,disconnected from municipal utility systems.,pipe down,told them to pipe down,2,to take to one or more notches down to its current standard,crack the whip,cracked the whip on the team,2,make someone work harder by asserting power or authority,give it a whirl,he gave it a whirl,2,to try something new.,lead astray,the false information led them astray in their investigation,0,make someone act or think in a wrong or foolish manner.
bent out of shape,got bent out of shape,2,to become angry.,watchdog,hired a watchdog,2,"one who protects against loss, corruption, waste, or objectionable practices.",cut coat according to cloth,they cut their coat according to their cloth by living within their means,0,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",bundle up,bundle up before going,2,to dress warmly to protect oneself from the elements,on the line,she put it on the line,2,to be at serious risk.
everything but the kitchen sink,"for our camping trip, we packed everything but the kitchen sink to be prepared",0,almost everything that one can think of,more heat than light,generated more heat than light,2,to cause anger or intense reaction but doesn't clarify anything,eat him alive,his lack of preparation will eat him alive in the competition against more experienced opponents,0,to criticize someone severely because you are angry with them,hold your horses,"before you jump to conclusions, hold your horses for a moment and listen to my explanation",0,to wait,long in the tooth,he's getting long in the tooth and might retire soon,0,To get too old for something.
over my dead body,"he smirked and said, 'over my dead body will you ever beat me in a race'",0,"in no way, under no circumstances",all the rage,the new fashion trend was all the rage,2,when something is the height of popularity,keep your hair on,I told him to keep his hair on,2,to request someone to stay calm and not get annoyed,hold all the aces,he held all the aces,2,be in a winning position.,see eye to eye,"after discussing our differences, we started seeing eye to eye with her",0,to agree fully with someone
night owl,being a night owl,2,Someone who is vigilant late at night.,loose cannon,"after losing his job, he became a loose cannon and started causing problems",0,somebody whose activities are uncommon and out of control,a whole new ball game,it's a whole new ball game,2,a significant change in circumstances.,got somebody's goat,got his goat,2,to annoy or irritate someone,in tandem,worked in tandem,2,one after another
on its knees,the city was on its knees,2,something that is in a very weak situation or on the verge of failure,clean sweep,made a clean sweep,2,an irresistible victory,take up the cudgels,he took up the cudgels for her when she was unfairly criticized,0,argue strongly in support or against somebody or something,child's play,solving the puzzle it was child's play for the experienced detective,0,an informal expression meaning something that is easy to do,break up,"after months of arguments, they decided to break up and end their relationship",0,end a romantic relationship with someone
bend over backwards,bend over backwards for them,2,do all in one's power (usually to achieve something or accommodate somebody),blue eyed boy,the blue-eyed boy,2,a person who is treated with special favor.,up in the air,plans are up in the air,2,"unresolved, undecided",on its knees,the city was on its knees,2,something that is in a very weak situation or on the verge of failure,beat the drum,he tirelessly beat the drum for the cause to raise awareness about climate change,0,to speak eagerly about something you support
in cold blood,"the villain committed the crime in cold blood, showing no remorse",0,in a cruel way and without pity or other emotion,spill the beans,spilled the beans about the surprise,2,disclose a secret or reveal something prematurely,at the heels of,at the heels of,2,close behind or soon after something,dead in the water,found it dead in the water,2,unable to produce movement,twist arm,twisted his arm,2,to make someone do what you want by making it difficult for them to refuse
hit the roof,"when he found out about the surprise party, he hit the roof unexpectedly",0,experience sudden anger,where the rubber meets the road,where the rubber meets the road,2,when you have to face your challenges,dead in the water,found it dead in the water,2,unable to produce movement,blind as a bat,as blind as a bat,2,unconscious to something,knee jerk reaction,his sudden outburst was a knee jerk reaction to the news of the company's bankruptcy,0,an automatic response to something
meet halfway,to meet halfway in the park,2,to reach a compromise,learn to walk before you run,you should learn to walk before you run when it comes to mastering a new skill,0,to take smaller steps initially,choke up,he started to choke up,2,make a person become overemotional and speechless,fiddle while Rome burns,fiddled while Rome burned,2,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.,suited and booted,was suited and booted for the event,2,formally dressed; well dressed
rub shoulders,rubbed shoulders with the famous,2,"to meet and spend time with people, especially when they are powerful or famous",get the sack,she got the sack from the company,2,be dismissed from the job,a whole new ball game,it's a whole new ball game,2,a significant change in circumstances.,makes his hackles rise,makes his hackles rise,2,to make you angry,at an arm's length,kept it at an arm's length,2,as far away from your body as possible
getting my fingers burnt,up getting my fingers burnt,2,"to suffer unpleasant results of an action, especially loss of money, so you do not want to do the same thing again",in the doghouse,in the doghouse with her,2,someone who is in disgrace and very unpopular at the moment,meet halfway,to meet halfway in the park,2,to reach a compromise,does exactly what it says on the tin,does exactly what it says on the tin,2,someone or something is exactly as they seem,cut down,to cut down the tree,2,to reduce the amount of something (usually bad)
weak in the knees,she felt weak in the knees,2,"to be overcome by a strong feeling, usually desire",air their dirty laundry,they aired their dirty laundry,2,to make public something embarrassing that should be kept secret,coast is clear,the coast is clear,2,there is no danger in sight or that nobody can see you,across the board,the company saw improvements across the board after implementing new strategies,0,applying to everyone,roots run deep,"in this small town, their roots run deep and everyone knows each other",0,"similar in meaning to ""deep-rooted."""
cut your own throat,cut his own throat,2,to do something that will be the cause of your own failure or ruin your chances in the future,foot in the door,got a foot in the door,2,succeed with a first step.,ugly duckling,her transformation from a shy girl to a confident woman was an ugly duckling story,0,a young person who turns out to be beautiful or talented against all expectations.,dragging its feet,the committee was dragging its feet on the decision to approve the project,0,"delaying in decision, not showing enthusiasm",hit the sack,she decided to hit the sack,2,to go to bed
sit on the fence,sitting on the fence,2,delay or avoid making a decision or choice,put a sock in it,"he was talking too much, so I told him to put a sock in it",0,to ask someone to stop talking,a bed of roses,"despite the challenges, she learned that life is not always a bed of roses",0,easy option,on the back burner,put it on the back burner,2,to put something (that is to be done) for later,stop by,I'll stop by the store to pick up some groceries on my way home,0,to meet someone or go somewhere in a brief and informal manner
in cold blood,committed the crime in cold blood,2,in a cruel way and without pity or other emotion,tighten belt,to tighten the belt a bit,2,to save your money,bury the hatchet,to bury the hatchet together,2,to stop fighting or arguing or to end old resentments,blow his own horn,blow his own horn,2,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,in touch,to stay in touch,2,"to remain in contact with someone, especially when separated by time or distance"
being bouncing off the walls,bouncing off the walls,2,excited and full of nervous energy,bitter pill,to swallow a bitter pill,2,something unpleasant to be endured,asleep at the wheel,asleep at the wheel,2,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",on the pig's back,was riding on the pig's back,2,a successful situation and everything is going well for that person,can of worms,opened a can of worms,2,"to get into something that is messy, has problems and is unwanted"
live at rack and manger,"after winning the lottery, they lived at rack and manger with no financial worries",0,in between plenty and abundance,coin money,coining money together,2,make a great deal of money easily or very quickly.,clear the air,we cleared the air with her,2,get rid of all doubts and negative feelings,wrap in cotton wool,wrapped in cotton wool,2,to be overprotective towards somebody,weak in the knees,she felt weak in the knees,2,"to be overcome by a strong feeling, usually desire"
