idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt
an item,be involved in a romantic relationship,"After months of dating, they finally [[became an item]] and made their relationship official","In the virtual reality game, the player's avatar [[became an item]] to be collected by others","After months of dating, they finally became an item and made their relationship official","In the virtual reality game, the player's avatar became an item to be collected by others",became an item,wurden ein Paar,Nach Monaten des Datings wurden sie endlich ein Paar und machten ihre Beziehung offiziell.,"Im Virtual-Reality-Spiel wurde der Avatar des Spielers zu einem Gegenstand, der von anderen gesammelt werden konnte.",הפך לפריט,"לאחר חודשים של היכרויות, הם סוף סוף הפכו לזוג והכריזו על הקשר שלהם בצורה רשמית."
ants in pants,be extremely restless,He [[had ants in his pants]] and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]",He had ants in his pants and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and had ants in his pants",had ants in his pants,hatte Ameisen in seiner Hose,Er hatte Ameisen in den Hosen und konnte sich nicht auf die Präsentation konzentrieren.,Während des Picknicks setzte er sich versehentlich auf einen Ameisenhaufen und hatte Ameisen in seiner Hose.,היו נמלים במכנסיו.,היו נמלים במכנסיו ולא יכול להתמקד בהצגה.
apple polisher,a flatterer; toady,He got the promotion by [[being an apple polisher]] and constantly flattering the boss,She took up the job of [[being an apple polisher]] at the fruit market,He got the promotion by being an apple polisher and constantly flattering the boss,She took up the job of being an apple polisher at the fruit market,being an apple polisher,ein Apfel-Polierer sein,"Er hat die Beförderung bekommen, indem er ein Speichellecker war und den Chef ständig geschmeichelt hat.",Sie hat den Job als Apfel-Poliererin auf dem Obstmarkt übernommen.,להיות מצליח ומשבח את המורים.,קיבל את הקידום על ידי להיות מצליח ומחמיא לבוס באופן קבוע.
apples to apples,having a fair comparison between the two things,"To make a fair judgment, we need [[to compare apples to apples]] in this situation","In the fruit market, we had [[to compare apples to apples]] to find the best quality","To make a fair judgment, we need to compare apples to apples in this situation","In the fruit market, we had to compare apples to apples to find the best quality",to compare apples to apples,Äpfel mit Äpfeln vergleichen.,"Um ein gerechtes Urteil zu fällen, müssen wir in dieser Situation Äpfel mit Äpfeln vergleichen.","Auf dem Obstmarkt mussten wir Äpfel mit Äpfeln vergleichen, um die beste Qualität zu finden.",להשוות תפוחים לתפוחים,"כדי לקבל דינה צודקת, עלינו להשוות תפוחים לתפוחים במצב זה."
arm in arm,to be closely allied,The two companies [[walked arm in arm]] in their joint venture,"The couple [[walked arm in arm]] down the street, enjoying the evening",The two companies walked arm in arm in their joint venture,"The couple walked arm in arm down the street, enjoying the evening",walked arm in arm,gingen Arm in Arm,Die beiden Unternehmen gingen Arm in Arm in ihrem Joint Venture.,Das Paar spazierte Arm in Arm die Straße entlang und genoss den Abend.,הלכו בזרוע בזרוע,החברות שתיים הלכו בידיים זו בזו בפעילותם המשותפת.
as far as,to the extent of something,His influence extends [[as far as the eye can see]] in the business world,The vast desert stretched out [[as far as the eye can see]],His influence extends as far as the eye can see in the business world,The vast desert stretched out as far as the eye can see,as far as the eye can see,So weit das Auge reicht.,Sein Einfluss erstreckt sich so weit wie das Auge im Geschäftswelt sehen kann.,Die weite Wüste erstreckte sich so weit das Auge reicht.,כל עוד העין יכולה לראות,ההשפעה שלו מתרחבת כל עוד העין יכולה לראות בעולם העסקי.
as long as,to put condition of time on an action,His patience was [[as long as the rope]] when dealing with difficult customers,The snake was [[as long as the rope]] lying next to it,His patience was as long as the rope when dealing with difficult customers,The snake was as long as the rope lying next to it,as long as the rope,solange das Seil,"Seine Geduld war so lang wie das Seil, wenn es um schwierige Kunden ging.","Die Schlange war so lang wie das Seil, das neben ihr lag.",כל עוד החבל,סבלנותו הייתה כמו החבל כשהוא עסוק בלקוחות קשים.
asked for the moon,ask for something that is very difficult or impossible to get,He [[asked for the moon]] when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",He asked for the moon when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully asked for the moon as a birthday gift",asked for the moon,fragte nach dem Mond,"Er hat nach dem Mond gefragt, als er ein Gehalt von einer Million Dollar verlangt hat.","Das Kind, fasziniert von Astronomie, bat spielerisch um den Mond als Geburtstagsgeschenk.",ביקש את הירח,הוא ביקש את הירח כשביקש שכר של מיליון דולר.
asleep at the switch,failing to attend to one's responsibilities or duties,The manager was [[asleep at the switch]] when the crisis occurred,The train operator fell [[asleep at the switch]] during his break,The manager was asleep at the switch when the crisis occurred,The train operator fell asleep at the switch during his break,asleep at the switch,schlafend am Schalter,"Der Manager schlief am Schalter, als die Krise auftrat.",Der Zugführer ist während seiner Pause am Schalter eingeschlafen.,נרדם על המתג,המנהל ישן על המתג כשהמשבר התרחש.
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",The manager was [[asleep at the wheel]] when the company lost a major client,He was so exhausted that he fell [[asleep at the wheel]] while driving,The manager was asleep at the wheel when the company lost a major client,He was so exhausted that he fell asleep at the wheel while driving,asleep at the wheel,schlafend am Steuer,"Der Manager schlief am Steuer, als das Unternehmen einen wichtigen Kunden verlor.","Er war so erschöpft, dass er am Steuer einschlief, während er fuhr.",ישן על ההגה.,המנהל ישן על ההגה בזמן שהחברה איבדה לקוח עיקרי.
at an arm's length,as far away from your body as possible,She [[kept it at an arm's length]] to avoid getting too involved in the situation,He [[kept it at an arm's length]] to prevent the paint from smudging his clothes,She kept it at an arm's length to avoid getting too involved in the situation,He kept it at an arm's length to prevent the paint from smudging his clothes,kept it at an arm's length,hielt es auf Armeslänge.,"Sie hielt es auf Armeslänge, um nicht zu sehr in die Situation verwickelt zu werden.","Er hielt es auf Armlänge, um zu verhindern, dass die Farbe seine Kleidung verschmiert.",שמרתי על זה במרחק של זרוע.,היא שמרה על זה במרחק של זרוע כדי להימנע מהתעסקות יתר עם המצב.
at daggers drawn,almost ready to fight,The two politicians were [[at daggers drawn with each other]] during the debate,The actors were [[at daggers drawn with each other]] during the stage fight scene,The two politicians were at daggers drawn with each other during the debate,The actors were at daggers drawn with each other during the stage fight scene,at daggers drawn with each other,auf Kriegsfuß miteinander,Die beiden Politiker waren während der Debatte auf Kriegsfuß miteinander.,Die Schauspieler waren während der Bühnenkampfszene auf Kriegsfuß miteinander.,במצב של חרבות מושלכות זו בזו.,השניים הפוליטיקאים היו במצב של חרבות מושלכות זו בזו במהלך הדיון.
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",[[She started at the bottom of the ladder]] in the company and worked her way up,"Before climbing, [[she started at the bottom of the ladder]] and checked each rung for stability",She started at the bottom of the ladder in the company and worked her way up,"Before climbing, she started at the bottom of the ladder and checked each rung for stability",She started at the bottom of the ladder,Sie begann am unteren Ende der Leiter.,Sie begann am unteren Ende der Karriereleiter im Unternehmen und arbeitete sich nach oben.,"Bevor sie kletterte, begann sie am unteren Ende der Leiter und überprüfte jede Sprosse auf Stabilität.",היא התחילה בתחתית הסולם.,היא התחילה בתחתית הסולם בחברה ועבדה את דרכה למעלה.
at the drop of a dime,something that can happen very fast without hesitation,Our team is always [[ready at the drop of a dime]] to tackle any challenge,The coin collector was [[ready at the drop of a dime]] to catch the rare coin,Our team is always ready at the drop of a dime to tackle any challenge,The coin collector was ready at the drop of a dime to catch the rare coin,ready at the drop of a dime,bereit auf Knopfdruck,"Unser Team ist jederzeit bereit, jede Herausforderung sofort anzugehen.","Der Münzsammler war bereit, bei Bedarf sofort zur Stelle zu sein, um die seltene Münze zu fangen.",מוכן ברגע שהמטבע נופל,הצוות שלנו תמיד מוכן לפתור כל אתגר ברגע שנצטרך.
at the drop of the hat,to do something easily and without any preparation,She was always [[ready at the drop of a hat]] to help her friends,"As a professional hat catcher, he was [[ready at the drop of a hat]] to catch any falling hats",She was always ready at the drop of a hat to help her friends,"As a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",ready at the drop of a hat,bereit auf der Stelle,"Sie war immer bereit, ihren Freunden sofort zu helfen.","Als professioneller Hutfänger war er bereit, jederzeit Hüte aufzufangen, die herunterfielen.",מוכן בכל רגע.,היא הייתה תמיד מוכנה בכל רגע לעזור לחבריה.
at the helm,"in charge of an organization, group of people, etc.","She was [[at the helm of the project]], guiding the team to success","The captain stood [[at the helm of the project]], steering the ship through the storm","She was at the helm of the project, guiding the team to success","The captain stood at the helm of the project, steering the ship through the storm",at the helm of the project,an der Spitze des Projekts,Sie war am Steuer des Projekts und führte das Team zum Erfolg.,Der Kapitän stand am Steuer des Projekts und steuerte das Schiff durch den Sturm.,בראש הפרויקט,"היא הייתה בכיוון הפרויקט, מנחה את הצוות להצלחה."
ate her alive,to criticize someone severely because you are angry with them,The guilt of lying to her best friend [[it ate her alive]] for days,"In the horror movie, the monster found her hiding spot and [[it ate her alive]]",The guilt of lying to her best friend it ate her alive for days,"In the horror movie, the monster found her hiding spot and it ate her alive",it ate her alive,Es hat sie innerlich aufgefressen.,"Das Schuldgefühl, ihrer besten Freundin gegenüber gelogen zu haben, fraß sie tagelang auf.",Im Horrorfilm fand das Monster ihren Versteckplatz und fraß sie lebendig.,זה אכל אותה חייה,האשמה של השקר לכייסה הכי טובה שלה אכלה אותה חייה למספר ימים.
axe to grind,have a private or selfish reason for doing something,He [[had an axe to grind]] with his coworker after the disagreement,The lumberjack [[had an axe to grind]] before chopping down the tree,He had an axe to grind with his coworker after the disagreement,The lumberjack had an axe to grind before chopping down the tree,had an axe to grind,hatte eine persönliche Agenda,"Er hatte eine Rechnung mit seinem Kollegen zu begleichen, nachdem es zu einer Meinungsverschiedenheit gekommen war.","Der Holzfäller hatte eine Rechnung zu begleichen, bevor er den Baum fällte.",היה לו צורך להשיג מטרה מסוימת.,היה לו צורך להתנקם בעמיתו לאחר הסכסוך.
back against the wall,to be in a tough situation with limited options,"With no other options left, [[he had his back against the wall]] and had to make a decision",[[He had his back against the wall]] while waiting for the elevator,"With no other options left, he had his back against the wall and had to make a decision",He had his back against the wall while waiting for the elevator,he had his back against the wall,Er hatte seinen Rücken an der Wand.,"Ohne weitere Optionen blieb ihm nichts anderes übrig, als mit dem Rücken zur Wand zu stehen und eine Entscheidung zu treffen.","Er hatte seinen Rücken an der Wand, während er auf den Aufzug wartete.",הוא היה עם הגב נגד הקיר.,"עם אין אפשרויות אחרות לו, הוא היה עם הגב לקיר והיה חייב לקבל החלטה."
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,[[She backed the wrong horse]] when she supported the losing candidate,"At the racetrack, [[she backed the wrong horse]] and lost her bet",She backed the wrong horse when she supported the losing candidate,"At the racetrack, she backed the wrong horse and lost her bet",She backed the wrong horse,Sie setzte auf das falsche Pferd.,"Sie setzte auf das falsche Pferd, als sie den unterlegenen Kandidaten unterstützte.",Auf der Rennstrecke setzte sie auf das falsche Pferd und verlor ihre Wette.,היא תמכה בסוס הלא נכון.,היא תמכה בסוס הלא נכון כשהוא הצביע למועמד המפסיד.
backroom boy(s),people who work in anonymity,The company's success was largely due to [[the backroom boys]] who worked tirelessly behind the scenes,"In the storage area, [[the backroom boys]] were busy organizing and restocking shelves",The company's success was largely due to the backroom boys who worked tirelessly behind the scenes,"In the storage area, the backroom boys were busy organizing and restocking shelves",the backroom boys,die Hinterzimmer-Jungs,"Der Erfolg des Unternehmens war größtenteils auf die Hinterzimmer-Jungs zurückzuführen, die unermüdlich im Hintergrund arbeiteten.","Im Lagerbereich waren die Hinterzimmer-Jungs damit beschäftigt, Regale zu organisieren und aufzufüllen.",הבנים שבחדר האחורי,הצלחת החברה הייתה בעיקר בזכות הבנים שעבדו בהתמדה מאחורי הקלעים.
