idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
face the music,receive punishment,He had to face the music,2,building blocks,something that is a basic element (of the subject),The building blocks are there,2,stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",We need to stop the rot to restore our credibility in the industry,0,chew the fat,to have friendly banter for hours on end.,Let's chew the fat because we've got plenty of time,1,cover one's tracks,"to keep one's location, activities, and intentions hidden.",He covered his tracks with weeds so the hiker wouldn't find them,1
get out of bed on the wrong side,be very irritable and grouchy,He got out of bed on the wrong side,2,blazing row,a very angry argument,They had a blazing row where they shouted angrily at each other,0,green around the gills,Someone who looks sick or nauseated.,She looked green around the gills after she heard about the lay-offs,0,heart in his mouth,to feel extremely anxious or nervous faced with a dangerous or unpleasant situation,He had his heart in his mouth,2,those three little words,"the three words ""I love you""",He said those three little words when he asked me to marry him,0
glass ceiling,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",She hit the glass ceiling when she was denied a higher-up position at the company,0,up a river without a paddle,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter",He was up a river without a paddle when the powerboat broke down,1,blazing row,a very angry argument,They had a blazing row in which they fired and burned candles,1,dial it back,"to reduce the intensity of something, or tone it down",He dialed it back on the radio to his favorite station,1,whatever floats my boat,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy",I'm going with whatever floats my boat,2
hand in hand,close ties or connections,"They walked hand in hand, showing their commitment to each other",0,hold tongue,to keep quiet when one would rather speak,She held her tongue,2,in the good books,be in somebody's favour or good opinion,"He is in the good books at the library, allowing him to check out more books than the usual limit",1,ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.",The teacher is a ball of fire,2,rain check,declining an offer that might be taken up later.,Let's take a rain check on today's plan because we lack the necessary resources,0
have clean hands,to be innocent; to be free of any wrongdoing,He had clean hands,2,lose it,go insane or crazy,"She lost it, not knowing where she placed it",1,have a ball,to have a great time,They had a ball last night,2,run out,to not have enough of something,I ran out the door when I heard the siren,1,olive branch,to show that someone wants to end a disagreement and make peace,She extended an olive branch in the hope of being deciphered,1
have eyes bigger than stomach,desiring more food than one can eat,He had eyes bigger than stomach when he ordered so much food at the restaurant,0,lose it,go insane or crazy,She lost it,2,ants in pants,be extremely restless,She has ants in her pants because she's full of energy and can't sit still,0,a piece of cake,very easy task,I'm going to have a piece of cake for dessert,1,break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",Let's break the ice by skating on it,1
head above water,to succeed to survive in bad financial situations,She has kept her head above water by swimming with a life jacket on,1,tip of the iceberg,to only know a very small part of the problem,"This is just the tip of the iceberg, the rest is hidden under the water",1,piece of work,"a complex, tricky, or odd person",She's a piece of work; she crafted the sculpture of her own head with her bare hands,1,wash hands of,abandon taking responsibility for someone or something,I washed my hands of this dirt by using soap and water,1,bring home the bacon,to go out and earn a living or earn money for the family,He brings home the bacon by working overtime to support the family,0
hit the hay,to go to sleep or head to bed.,I hit the hay early,2,make a mountain out of a molehill,magnifying the content,He is making a mountain out of a molehill by making the situation sound worse than it actually is,0,wouldn't be seen dead,to be too ashamed or embarrassed of something,She wouldn't be seen dead there,2,being bouncing off the walls,excited and full of nervous energy,He's been bouncing off the walls since he's been playing on a trampoline,1,at an arm's length,as far away from your body as possible,We kept her at an arm's length because we didn't want to get too close to her,0
in a fog,in a great confusion,I'm in a fog,2,put damper on,to discourage someone from doing something that they want to,It put a damper on the fire when they put a lid over it,1,closed book,something that one knows or understands nothing about.,This is a closed book since they won't tell me why they're mad at me,0,big mouth,someone who talks too much,He's got a big mouth and it makes his face look funny,1,coin money,make a great deal of money easily or very quickly.,He was coining money by minting coins in his basement,1
keep your hair on,to request someone to stay calm and not get annoyed,"Keep your hair on now, there's no need to get angry",0,wheels fall off,when a situation gets out of control and everything starts to go wrong,The wheels fell off the cart when it went over the bump,1,in the cahoots,to do something in hiding or secret because it is morally or socially not acceptable,They were in the cahoots in the back of the room,1,have a big mouth,one who gossips more or says things that are meant to be kept secret,I have a big mouth with a wide smile,1,toss-up,a situation where the result is unclear and can go either way,It's a toss-up if this coin lands on heads or tails,1
long in the tooth,To get too old for something.,He is getting long in the tooth as he grows older,0,eat him alive,to criticize someone severely because you are angry with them,The audience ate him alive,2,hide light under a bushel,to show modesty towards something or someone,Don't hide your light under a bushel; we need it to see in the dark!,1,sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,They swept it under the rug to clean up the mess,1,written all over face,when someone's feelings or thoughts are very clear,You had it written all over your face the moment you saw him; it's obvious you still have feelings for him,0
make a mountain out of a molehill,magnifying the content,He is making a mountain out of a molehill,2,at daggers drawn,almost ready to fight,"They were at daggers drawn, prepared to use their daggers if the fight got worse",1,carry on,to continue with something,I had to carry on when my best friend passed away,0,hit the bull's-eye,to be exactly right about something or achieve the best result possible,He hit the bull's-eye when he shot an arrow at the target,1,catch a cold,suffer a financial loss.,She caught a cold after going outside without a jacket,1
my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,"My hands are full of groceries, so I can't open the door",1,does exactly what it says on the tin,someone or something is exactly as they seem,"The product does exactly what it says on the tin, fulfilling all your expectations",0,at bay,to keep something dangerous at a safe distance,She kept it at bay since she built a fence to keep it away her garden,1,on pins and needles,being anxious or nervous,I've been on pins and needles waiting to hear back from my job application,0,rain check,declining an offer that might be taken up later.,Let's take a rain check and head to the park on a better day,1
on board,"be physically on a plane, ship, vehicle, train, or rocket",We're on board with the new plan,0,pain in the neck,Mathematics is generally a real pain in the neck for most of the school and college students.,This project has been a pain in the neck because I'm getting a sore neck from all the hard work,1,as far as,to the extent of something,We've gone as far as we can; we won't be able to go any farther without getting to the ocean,1,pour oil on troubled waters,"try to calm, soothe or placate a problematic situation",We tried to pour oil on troubled waters to resolve the conflict between our nations,0,apple polisher,a flatterer; toady,He's an apple polisher who spends a significant amount of time attempt to make the apples look shiny and perfect,1
on its knees,something that is in a very weak situation or on the verge of failure,"The company is on its knees"" ",2,leave no stone unturned,do everything that is possible in order to achieve something,He left no stone unturned,2,axe to grind,have a private or selfish reason for doing something,He had an axe to grind to prove his point during the meeting,0,tide over,temporary help (often financial),They rely on donations to tide over,2,no dice,not agree for something,It was no dice,2
on pins and needles,being anxious or nervous,I've been on pins and needles because I have been sitting cross-legged for too long,1,round the clock,continuously or interrupted,She works round the clock by sleeping for three hours and then getting up for work again,1,miles to go before I sleep,you have a lot to do before you can rest,I have miles to go before I sleep--I still have a long way to travel before I can rest,1,just deserts,get what one deserves,I got my just deserts when I ordered a dessert in the restaurant,1,back against the wall,to be in a tough situation with limited options,They had their back against the wall because there was nowhere else to sit,1
over my dead body,"in no way, under no circumstances",It will happen over my dead body,2,close call,a narrow escape from disaster,That was a close call,2,roll the dice,to gamble or take a chance on something or someone,He rolled the dice and took a risk to try a new business venture,0,on the same page,everyone in agreement,We were on the same page,2,hammer and tongs,"to argue fiercely, with a lot of energy and noise","We worked on it hammer and tongs, applying hammering and tonging techniques",1
pass away,die,Grandfather passed away peacefully surrounded by his loved ones,0,just around the corner,somethig that is expected to happen very soon,"My birthday is just around the corner, so I'm getting excited and planning a few surprises",0,bright spark,an intelligent and lively person (humorously),He's a bright spark; understanding the most complicated concepts quickly,0,end of story,there is  nothing more to add to the matter under discussion,That's the end of the story; I've reached the last line,1,happy camper,to be content or satisfied with what is happening in your lifes and have no complaints,I'm a happy camper,2
put the clock back,change to a lower level or earlier time.,I tried to put the clock back,2,in a pickle,to be in a difficult situation,I'm in a pickle,2,tall poppy,a privileged or distinguished person.,She's a tall poppy,2,speak of the devil,when someone comes in unexpectedly while being talked about,I was just speaking of the devil when he walked in the room,0,wrapped up in cotton wool,to be over-protected from dangers and risks,He was wrapped up in cotton wool because he was cold,1
red carpet,to give people a special welcome to show that you think they are important,They rolled out the red carpet for him to walk on,1,bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",He bit off more than he can chew,2,bent out of shape,to become angry.,He's bent out of shape because of the car accident,1,shot in the dark,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is,It was a shot in the dark when I said I think I know the answer,0,made it,used to indicated the completion of a task,She made it clear that she didn't want to go on the same venture again,0
red zone,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity.","We've entered the red zone, where people aren't allowed to pass without being completely checked",1,up a creek without a paddle,being in trouble.,I'm up a creek without a paddle,2,in the loop,to be aware of the information,He is in the loop of the company's decision-making process,0,halfway house,"mid-point in recovery, treatment, or progress",She moved into the halfway house as she was passing through the city,1,a piece of cake,very easy task,It's a piece of cake,2
scrape the bottom of the barrel,"It is a phrase used to describe something you know is not in good condition, but you have to select it since you don't have an option of choosing the better one.",He had to scrape the bottom of the barrel to find a desperate solution to the problem,0,come out swinging,be confrontational,He came out swinging when he spoke up about unfair business practices,0,concern with,to be busy with something,He was concerned with the results of his hard work and dedication,0,come out swinging,be confrontational,He came out swinging,2,cutting edge,to be among the latest and the best (often used for technological advancements),They are on the cutting edge of their knives as they sharpen them before going hunting,1
sink or swim,"having to do something alone, and their success or failure depends entirely on their own efforts","He's in a sink or swim situation, where he will either be incredibly successful or completely fail",0,whole nine yards,"everything, all of something",He went the whole nine yards preparing for his presentation,0,fall at first hurdle,to fail to overcome the first difficulty encountered,He fell at the first hurdle when he tripped and stumbled during the race,1,snow under,to bury or cover something or somebody in the snow (Literal meaning),She was snowed under with all the snowfall last night,1,wooden spoon,the person who finishes last in a race or competition receives an imaginary prize,She was given the wooden spoon to use for cooking,1
skating on thin ice,to do something considered quite dangerous or risky,He's skating on thin ice,2,roots run deep,"similar in meaning to ""deep-rooted.""",Their roots run deep into the ground which gives their plants access to nutrients,1,up a blind alley,to be doing something that will definitely have a negative outcome,We went up a blind alley because the street had no exit,1,take the biscuit,be the most remarkable or foolish of its kind,That took the biscuit as he picked it up from the table,1,taking your medicine,to accept the consequences of something you have done wrong,He's taking his medicine by enduring the consequences of his mistakes,0
spanner in the works,a roadblock that prevents an activity from succeeding,There's been a spanner in the works and it's caused our machine to malfunction,1,pie in the sky,used to portray or refer to something that is lovely to consider however is probably not going to happen,It's a pie in the sky because that goal is impossible to reach,0,at the drop of a dime,something that can happen very fast without hesitation,She can do it at the drop of a dime if given the right motivation,0,in the blink of an eye,in an instant,"It was gone in the blink of an eye, leaving me in shock at how quickly the moment passed by",0,look before you leap,to make sure that everything is alright before doing something important which you cannot revert,He looked before he leapt and decided to wait before taking a risky decision,0
straight shooter,someone who speaks the truth,He's a straight shooter when it comes to shooting hoops,1,head and shoulders above,significantly better than everybody else in the field,She's head and shoulders above the rest in terms of her physical height,1,ray of sunshine,someone or something that brings hope into the lives of others,She was a ray of sunshine,2,out of the frying pan into the fire,to go from a bad to worse situation,He went from the frying pan into the fire after changing jobs,0,cry over spilt milk,to be upset about things that have already been done,Don't cry over spilt milk; it's not worth wallowing in regret,0
take the edge off,blunt the effect of,I need to take the edge off,2,have a ball,to have a great time,They had a ball last night when they played rounders,1,cry wolf,"to keep asking for help, even when you don't need it. When you really need help, no one believes you.",Don't cry wolf when there isn't an emergency,0,high roller,"a wealthy person or company who spends their money in a risky way, often by making risky investments that can offer large rewards",She's a high roller since she always plays high stakes games at the casino,1,hit the road,depart,Let's hit the road so we can get to our destination,1
throw in the towel,to quit,He threw in the towel because he was sweating too much,1,short fuse,to get angry quickly.,"He has a short fuse, resulting in outbursts of anger when something doesn't go his way",0,the bottom line,"in the final analysis, the most important fact in a situation.","It was the bottom line in the negotiation, so we had to accept the offer",0,face the music,receive punishment,He had to face the music when the painful truth was revealed,0,know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,He knows which side his bread is buttered,2
toss-up,a situation where the result is unclear and can go either way,It's a toss-up whether I should accept this job or not,0,break one's back,get through the hardest part of something.,I broke my back when I fell from the staircase,1,leaps and bounds,progress very quickly,Their progress has grown by leaps and bounds,2,dark horse,"a little known, unexpectedly successful entrant","He's a dark horse since he has black patches on his coat""",1,bite the hand that feed,to turn against someone who has been a benefactor in the past,He bit the hand that feed him by insulting his boss and not showing respect,0
walking on broken glass,when a person is punished for something,They're walking on broken glass as they work through each problem step by step,0,knock on wood,tap knuckle on wood in order to avoid bad luck,We knocked on wood,2,eat crow,being proven wrong after taking a strong stand,She had to eat crow and admit she was wrong about her prediction,0,music to ears,something that is soothing to your ears,The news was music to ears when they told me I got the job,0,put a sock in it,to ask someone to stop talking,He put a sock in it,2
went through the mill,"you experience a very difficult period, or are exposed to rough treatment","He went through the mill"" ",2,blue-collar,"of or relating to industrial work, especially the semiskilled and unskilled",He is a blue-collar worker,2,at sea,It means to be confused or not understand something at all.,They were at sea scouting for possible sites to build a harbor,1,break the mould,to do something different from what is expected,She's breaking the mould and carving a path for herself in the industry,0,drive a wedge between,to damage the good relationship that two people or groups of people have,They drove a wedge between us when they started spreading false rumors,0
when hell freezes over,"impolite way of saying ""it will never happen""",I will do it when hell freezes over,2,big brother,A large organization or government agency that tries to control all aspects of human life and society.,The big brother was watching,2,from A to Z,comprehensive,He knows it from A to Z; he is an expert,0,dead and buried,no longer in use.,It's dead and buried,2,down to earth,"decent, simple, realistic",He is down to earth because he jumped off the top of the building,1
wipe the slate clean,"to make a fresh start and forget all past offences, disagreements or mistakes",We are wiping the slate clean,2,blowing smoke,to intentionally misinform or deceive,He was blowing smoke,2,high roller,"a wealthy person or company who spends their money in a risky way, often by making risky investments that can offer large rewards",She's a high roller because she likes to take big risks and make bold moves,0,alive and kicking,lively and active,The event is alive and kicking,2,crowning glory,The greatest or most beautiful thing,Her crowning glory shone brightly,2
you reap what you sow,"if you do bad things to people, bad things will happen to you, or good things if you do good things","You reap what you sow, so you'll need to get out there and start planting the seed",1,in the dark,"uninformed, a state of ignorance.",They were in the dark,2,cool your jets,to calm down and stop being so anxious or elated.,I told him to cool his jets when he became angry and started shouting,0,takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,It takes two to tango,2,a damp squib,an event which people think will be exciting but which is disappointing when it happens.,The event was a damp squib,2
