idiom,phrase,sentence,sentence_label_gpt3,sentence_reason_gpt3,phrase_label,sentence_label,kor_Hang_idiom,kor_Hang_phrase,kor_Hang_sentence,kor_Hang_phrase_label,kor_Hang_sentence_label,kor_Hang_notes,fra_Latn_idiom,fra_Latn_phrase,fra_Latn_sentence,fra_Latn_phrase_label,fra_Latn_sentence_label,heb_Hebr_idiom,heb_Hebr_phrase,heb_Hebr_sentence,heb_Hebr_phrase_label,heb_Hebr_sentence_label,zho_Hans_idiom,zho_Hans_phrase,zho_Hans_sentence,zho_Hans_phrase_label,zho_Hans_sentence_label,yor_Latn_idiom,yor_Latn_phrase,yor_Latn_sentence,yor_Latn_phrase_label,yor_Latn_sentence_label
stopping dead in their tracks,They stopped dead in their tracks,They stopped dead in their tracks when they heard the news.,0,"Here, to ""stop dead in their tracks"" means to suddenly stop what one is doing due to a shock or surprise.",2,0,그들의 발자국에서 죽은 채 멈춰,그들은 그들의 트랙에서 죽은 멈췄다,그들은 소식을 듣고 그 길을 걷지 않고 멈췄습니다.,1,0,,Ils s'arrêtent morts dans leurs traces,Ils se sont arrêtés morts sur leurs traces.,Ils se sont arrêtés mort dans leurs sentiers quand ils ont entendu la nouvelle.,,,מתים על עקבותיהם,הם עצרו מתים בשבילים שלהם.,הם עצרו מתים בשבילים שלהם כששמעו את החדשות.,,,他们在自己的轨道上停留死,他们死在他们的轨道上.,"他们听到这个消息,就停在他们的轨道上.",,,tí wọ́n sì ń dúró lórí àwọn òpó wọn,Wọ́n dúró láìyẹsẹ̀,Wọ́n dúró lórí òpó igi nígbà tí wọ́n gbọ́ ìròyìn náà.,,
stopping dead in their tracks,They stopped dead in their tracks,They stopped dead in their tracks because they ran out of energy.,1,"Here, to ""stop dead in their tracks"" means to come to a complete halt.",2,1,그들의 발자국에서 죽은 채 멈춰,그들은 그들의 트랙에서 죽은 멈췄다,그들은 전력이 부족해서 철도에서 멈췄습니다.,1,1,,Ils s'arrêtent morts dans leurs traces,Ils se sont arrêtés morts sur leurs traces.,Ils se sont arrêtés morts dans leurs voies parce qu'ils avaient manqué d'énergie.,,,מתים על עקבותיהם,הם עצרו מתים בשבילים שלהם.,הם עצרו מתים בשבילים שלהם כי הם נגמרו מאנרגיה.,,,他们在自己的轨道上停留死,他们死在他们的轨道上.,"他们停在轨道上,因为他们没有能量.",,,tí wọ́n sì ń dúró lórí àwọn òpó wọn,Wọ́n dúró láìyẹsẹ̀,Wọ́n dúró lórí òpópónà wọn torí pé agbára wọn ò tó nǹkan mọ́.,,
lose his marbles,He's lost his marbles,He's lost his marbles and can't seem to make rational decisions anymore.,0,"Here, to ""lose his marbles"" means to become mentally unstable or irrational.",2,0,그의 을 잃게,그는 그의 을 잃었다,그는 자신의 을 잃었고 더 이상 합리적인 결정을 내릴 수 없는 것 같습니다.,3,3,Incomplete translation of the idiom.,perd ses marbres,Il a perdu ses marbres.,Il a perdu ses bons conseils et ne peut plus prendre de décisions rationnelles.,,,לאבד את הקלפים שלו.,הוא איבד את הקלפים שלו.,הוא איבד את הכוחות שלו ולא נראה שהוא יכול לקבל החלטות רציונליות יותר.,,,失去他的子,他失去了他的子.,"他失去了,似乎不再能做出合理的决定.",,,má ṣe jẹ́ kí àwọn èèyàn rẹ̀ máa ṣeré,Ó ti pàdánù àwọn ohun èlò rẹ̀,"Ó ti pàdánù àwọn ohun tó ń ṣe, kò sì lè ṣe ìpinnu tó bọ́gbọ́n mu mọ́.",,
lose his marbles,He's lost his marbles,He's lost his marbles and can't seem to find them anywhere.,1,"Here, to ""lose his marbles"" means to have lost physical marbles.",2,1,그의 을 잃게,그는 그의 을 잃었다,그는 그의 돌을 잃었고 어디에서도 찾을 수 없는 것 같습니다.,3,1,,perd ses marbres,Il a perdu ses marbres.,Il a perdu ses marbres et ne les trouve nulle part.,,,לאבד את הקלפים שלו.,הוא איבד את הקלפים שלו.,הוא איבד את הקלעים שלו ולא נראה שהוא יכול למצוא אותם בשום מקום.,,,失去他的子,他失去了他的子.,"他失去了他的子,似乎在任何地方都找不到.",,,má ṣe jẹ́ kí àwọn èèyàn rẹ̀ máa ṣeré,Ó ti pàdánù àwọn ohun èlò rẹ̀,"Ó ti pàdánù àwọn ohun èlò rẹ̀, kò sì lè rí wọn níbikíbi.",,
tables are turned,The tables are turned,The tables are turned and now I'm the one in control.,0,"Here, ""tables are turned"" means that the situation has changed and the power has shifted.",2,0,테이블이 뒤집어,테이블이 뒤집어,"이제 모든 것이 바뀌고, 내가 통제할 수 있게 됐어.",1,0,,les tables sont tournées,Les tables sont tournées,Les tables sont tournées et maintenant je suis le contrôleur.,,,שולחנות מתגלחות,השולחנות פותחות.,השולחן הופך ועכשיו אני אחראי.,,,桌子转转,桌子转了,现在我控制着.,,,àwọn tábìlì ń yí padà,Àwọn tábìlì yí padà,"Àwọn nǹkan ti yí pa dà, èmi sì ló sì ń darí wọn.",,
tables are turned,The tables are turned,The tables are turned and now the other side is facing up.,1,"Here, ""tables are turned"" means that the physical object has been rotated.",2,1,테이블이 뒤집어,테이블이 뒤집어,테이블이 뒤집어지고 다른 쪽은 위로 향하고 있습니다.,1,1,,les tables sont tournées,Les tables sont tournées,Les tables sont tournées et maintenant l'autre côté est tourné vers le haut.,,,שולחנות מתגלחות,השולחנות פותחות.,השולחנות פותחות ועכשיו הצד השני פונה למעלה.,,,桌子转转,桌子转了,"桌子转了,现在另一边面向上方.",,,àwọn tábìlì ń yí padà,Àwọn tábìlì yí padà,"Àwọn tábìlì náà yí padà, ojú òdìkejì sì ń tẹ̀ lé e.",,
made his hackles rise,His hackles rose,His hackles rose when he heard the news of the layoffs.,0,"Here, ""made his hackles rise"" means to make someone angry or indignant.",2,0,그의 이 솟아오르며,그의 은 이,해고 소식이 들었을 때 그의 이 솟아났습니다.,3,3,Incomplete translation of the idiom.,Il a fait monter ses haches,Ses haches sont tombées,Ses émotions se sont élevées quand il a entendu la nouvelle des licenciements.,,,הוא הרים את החפצים שלו,-החולצה שלו גדלה.,המערכות שלו עלו כשהוא שמע את החדשות על פיטורים.,,,他起了子.,他的子起来.,"他听到裁员的消息,他的气就激发了.",,,ó mú kí àpáta rẹ̀ gòkè,Àwọn ẹ̀rù rẹ̀ sì wú,Ó ní ìdààmú ọkàn gan-an nígbà tó gbọ́ ìròyìn nípa ìyọlẹ́nu iṣẹ́.,,
made his hackles rise,His hackles rose,His hackles rose when he felt the cold wind.,1,"Here, ""made his hackles rise"" means to make the hairs on the back of someone's neck stand up.",2,1,그의 이 솟아오르며,그의 은 이,차가운 바람을 느낄 때 그의 턱이 솟아났다.,3,3,"Incorrect translation of the idiom: ""hackles"" was translated as ""chin"".",Il a fait monter ses haches,Ses haches sont tombées,Ses écailles se sont élevées quand il a senti le vent froid.,,,הוא הרים את החפצים שלו,-החולצה שלו גדלה.,העורפים שלו עלו כשהוא הרגיש את הרוח הקרה.,,,他起了子.,他的子起来.,"他感觉到寒冷的风,他的子起来.",,,ó mú kí àpáta rẹ̀ gòkè,Àwọn ẹ̀rù rẹ̀ sì wú,Ó ní àyà rẹ̀ máa ń wú nígbà tó bá rí i pé ìjì ń jà.,,
just around the corner,The solution is just around the corner,"The solution is just around the corner, so keep looking for it.",0,"Here, ""just around the corner"" means close in time or near in the future.",2,0,이리 바로,해결책은 바로 이 모퉁이에 있습니다.,해결책은 바로 이 모퉁이에 있습니다. 계속 찾아보세요.,1,1,,juste à l' angle,La solution est juste à côté.,"La solution est juste à côté, alors continuez à la chercher.",,,בדיוק מעבר לפינה.,הפתרון נמצא מעבר לפינה.,"הפתרון נמצא מעבר לפינה, אז תמשיכו לחפש אותו.",2,2,现在就在角落后面,解决方案就在角落后面,"解决方案就在角落后面,所以继续寻找它.",,,ní ìhà ẹ̀yìn ìlà,Ìdáhùn sí ìṣòro náà kò tíì pẹ́ rárá.,"Ìdáhùn sí ìṣòro náà kò tíì pẹ́, torí náà, máa wá a nìṣó.",,
just around the corner,The solution is just around the corner,"The solution is just around the corner, so take a right and you'll find it.",1,"Here, ""just around the corner"" means close in distance.",2,1,이리 바로,해결책은 바로 이 모퉁이에 있습니다.,해결책은 바로 이 모퉁이에 있습니다. 오른쪽으로 이동하면 찾을 수 있습니다.,1,1,,juste à l' angle,La solution est juste à côté.,"La solution est juste à côté, alors tournez à droite et vous la trouverez.",,,בדיוק מעבר לפינה.,הפתרון נמצא מעבר לפינה.,"הפתרון נמצא מעבר לפינה, אז קח ימינה ותמצא אותו.",2,1,现在就在角落后面,解决方案就在角落后面,"解决方案就在角落后面,所以右边,你会找到它.",,,ní ìhà ẹ̀yìn ìlà,Ìdáhùn sí ìṣòro náà kò tíì pẹ́ rárá.,"Ìdáhùn náà wà ní ìhà ọ̀tún, o sì máa rí i.",,
graveyard shift,I'm working the graveyard shift,"I'm working the graveyard shift, which means I'm up all night and sleeping during the day.",0,"Here, ""graveyard shift"" means to work during the late night hours.",2,0,묘역 일,난 묘역 일 중이야,저는 묘역 근무 중입니다. 그래서 저는 밤새 깨어 있고 낮에도 자고 있습니다.,1,1,,changement de cimetière,Je travaille le quart du cimetière.,"Je travaille le quart du cimetière, ce qui signifie que je suis éveillé toute la nuit et que je dorme pendant la journée.",,,משמרת בית הקברות,אני עובד במשמרת בית הקברות.,"אני עובד במשמרת בית הקברות, מה שאומר שאני ער כל הלילה ונותן לישון במהלך היום.",1,,墓地班,我正在工作墓地班,"我正在墓地班,这意味着我整晚都在睡觉,",,,ìyípadà síbi ìsìnkú,Mo ń ṣiṣẹ́ ní ààfin.,"Mo ń ṣiṣẹ́ ní ààfin, èyí sì túmọ̀ sí pé mo máa ń wà lójúfò ní gbogbo òru, mo sì máa ń sùn lọ́sàn-án.",,
graveyard shift,I'm working the graveyard shift,I'm working the graveyard shift at the cemetery.,1,"Here, ""graveyard shift"" means to work at a graveyard.",2,1,묘역 일,난 묘역 일 중이야,저는 묘지에서 시묘 근무 중입니다.,1,1,,changement de cimetière,Je travaille le quart du cimetière.,Je travaille le quart du cimetière au cimetière.,,,משמרת בית הקברות,אני עובד במשמרת בית הקברות.,אני עובד במשמרת בית הקברות בבית הקברות.,1,,墓地班,我正在工作墓地班,我在墓地工作.,,,ìyípadà síbi ìsìnkú,Mo ń ṣiṣẹ́ ní ààfin.,Mo ń ṣiṣẹ́ ní ààfin ní ààfin.,,
lost your marbles,He's lost his marbles,He's lost his marbles and can't make rational decisions anymore.,0,"Here, to ""lose your marbles"" means to become mentally unstable or irrational.",2,0,당신의 을 잃었다,그는 그의 을 잃었다,그는 자신의 을 잃었고 더 이상 합리적인 결정을 내릴 수 없습니다.,3,3,,Vous avez perdu vos marbres,Il a perdu ses marbres.,Il a perdu ses pouvoirs et ne peut plus prendre de décisions rationnelles.,,,איבדת את הקלפים שלך.,הוא איבד את הקלפים שלו.,הוא איבד את הכוחות שלו ולא יכול לקבל החלטות רציונליות יותר.,,,失去你的子,他失去了他的子.,"他已经失去了,不能再做合理的决定了.",,,ẹ̀yin ò rí nǹkan kan ṣe,Ó ti pàdánù àwọn ohun èlò rẹ̀,"Ó ti pàdánù àwọn ohun tó ń ṣe, kò sì lè ṣe ìpinnu tó bọ́gbọ́n mu mọ́.",,
lost your marbles,He's lost his marbles,He's lost his marbles and can't find them anywhere.,1,"Here, to ""lose your marbles"" means to have lost physical marbles.",2,1,당신의 을 잃었다,그는 그의 을 잃었다,그는 그의 돌을 잃었고 어디에서도 찾을 수 없습니다.,3,1,,Vous avez perdu vos marbres,Il a perdu ses marbres.,Il a perdu ses marbres et ne les trouve nulle part.,,,איבדת את הקלפים שלך.,הוא איבד את הקלפים שלו.,הוא איבד את הקלעים שלו ולא יכול למצוא אותם בשום מקום.,,,失去你的子,他失去了他的子.,"他失去了他的子,他找不到.",,,ẹ̀yin ò rí nǹkan kan ṣe,Ó ti pàdánù àwọn ohun èlò rẹ̀,"Ó ti pàdánù àwọn ìwo rẹ̀, kò sì rí i níbikíbi.",,
put my head on the block,I put my head on the block,I put my head on the block and took the blame for the mistake.,0,"Here, to ""put my head on the block"" means to take the risk and accept the consequences.",2,0,제 머리를 막대기에 올려,난 머리를 막아,저는 제 머리를 막고 실수에 대한 책임을 졌습니다.,1,1,,Je vais mettre ma tête sur le bloc.,Je me suis mis la tête sur le bloc,J'ai mis la tête sur le bloc et pris la faute pour l'erreur.,,,תניח את הראש שלי על הכביש.,אני שם את הראש על הבלוק,אני שם את הראש על הבלוק ולקחתי את האשמה על הטעות.,,,把我的头放在块上,我把头放在一个街区上,"我把头放在一个街区上,并为错误负责.",,,fi orí mi lé ojú òpó,Mo fi orí mi lé àpáta,"Mo gbé orí mi lẹ́yìn tí mo ti ṣe àṣìṣe yẹn, mo sì dá ara mi lẹ́bi.",,
put my head on the block,I put my head on the block,I put my head on the block and waited for the executioner to swing the axe.,1,"Here, to ""put my head on the block"" means to literally place one's head on a chopping block.",2,1,제 머리를 막대기에 올려,난 머리를 막아,저는 머리를 막대기에 올려놓고 박살을 치는 처형자를 기다렸습니다.,1,1,,Je vais mettre ma tête sur le bloc.,Je me suis mis la tête sur le bloc,J'ai mis la tête sur le bloc et j'ai attendu que le bourreau balance la hache.,,,תניח את הראש שלי על הכביש.,אני שם את הראש על הבלוק,שמרתי את הראש על הכביש והמתינתי שההורג יטיל את הגרזן.,,,把我的头放在块上,我把头放在一个街区上,"我把头放在街区上,等待了子把斧头摆动.",,,fi orí mi lé ojú òpó,Mo fi orí mi lé àpáta,"Mo gbé orí mi sórí àpáta, mo sì dúró de kí olórí ẹ̀sùn náà lè fi àpáta náà ṣe àtúnṣe.",,
been bouncing off the walls,I've been bouncing off the walls,I've been bouncing off the walls with excitement for the upcoming party.,0,"Here, ""bouncing off the walls"" means to be filled with energy and enthusiasm.",2,0,벽에서 뛰어내려,난 벽에서 뛰어내려왔어,앞으로 열리는 파티에 대한 흥분으로 벽을 뛰어넘었습니다.,1,1,,Il saute des murs.,Je saute des murs.,J'ai sauté des murs avec excitation pour la prochaine fête.,,,הוא קפץ מהקירות.,אני קופץ מהקירות.,אני קופץ מהקירות עם התרגשות למסיבה הקרובה.,,,跳出墙壁,我一直在跳下墙壁,"我一直在跳出墙壁,为即将到来的聚会感到兴奋.",,,ó ń bọ̀ láti odi,Mo ti ń bọ̀ láti orí ògiri,Mo ti ń fi ìtara ṣeré ìtura fún ayẹyẹ tó ń bọ̀.,,
been bouncing off the walls,I've been bouncing off the walls,I've been bouncing off the walls because I'm playing a game of dodgeball.,1,"Here, ""bouncing off the walls"" means to literally bounce off the walls.",2,1,벽에서 뛰어내려,난 벽에서 뛰어내려왔어,난 벽에서 뛰어내려왔어요. 왜냐하면 난 도지볼 게임을 하고 있기 때문이죠.,1,1,,Il saute des murs.,Je saute des murs.,Je saute des murs parce que je joue au dodgeball.,,,הוא קפץ מהקירות.,אני קופץ מהקירות.,אני קופץ מהקירות כי אני משחק משחק של דודג'בול.,,,跳出墙壁,我一直在跳下墙壁,"我一直跳下来,因为我在玩球.",,,ó ń bọ̀ láti odi,Mo ti ń bọ̀ láti orí ògiri,Mo ti ń bọ̀ láti orí ògiri nítorí pé mo ń ṣe eré ìje.,,
dropped a bombshell,He dropped a bombshell,He dropped a bombshell when he announced his retirement.,0,"Here, to ""drop a bombshell"" means to make a shocking announcement.",2,0,폭탄을 떨어뜨렸어요,폭탄을 떨어뜨렸어,은퇴를 선언했을 때 폭탄을 떨어뜨렸습니다.,1,1,,Il a fait tomber une bombe.,Il a lancé une bombe.,Il a fait une bombe quand il a annoncé sa retraite.,,,שזרק פצצה.,הוא זרק פצצה.,הוא הפיל פצצה כשהוא הודיע על פרישה.,,,投下了炸弹,他投下了炸弹.,"他宣布退休时,就投下了炸弹.",,,ó sọ bọ́ǹbù kan nù,Ó fi ohun ìjà abẹ́ǹbù kan sọ̀kalẹ̀,Ó sọ pé òun máa fi àgbákò sílẹ̀ nígbà tó ń kéde pé òun máa fẹ́yìntì.,,
dropped a bombshell,He dropped a bombshell,He dropped a bombshell when he threw a bomb on the ground.,1,"Here, to ""drop a bombshell"" means to literally drop a bomb.",2,1,폭탄을 떨어뜨렸어요,폭탄을 떨어뜨렸어,그는 폭탄을 땅에 던졌을 때 폭탄을 떨어뜨렸다.,1,1,,Il a fait tomber une bombe.,Il a lancé une bombe.,Il a lancé une bombe quand il a lancé une bombe au sol.,,,שזרק פצצה.,הוא זרק פצצה.,הוא זרק פצצה כשהוא זרק פצצה על הקרקע.,,,投下了炸弹,他投下了炸弹.,"他把炸弹扔到地上时,他投下了炸弹.",,,ó sọ bọ́ǹbù kan nù,Ó fi ohun ìjà abẹ́ǹbù kan sọ̀kalẹ̀,Ó sọ bọ́ǹbù kan nù nígbà tó sọ bọ́ǹbù kan nù sórí ilẹ̀.,,
saved your neck,He saved my neck,He saved my neck by getting me out of trouble.,0,"Here, to ""save one's neck"" means to help someone out of a difficult situation.",2,0,목을 구해줬어,내 목을 구해줬어,난 곤경에서 벗어난다고 내 목을 구해줬어,1,1,,Je t'ai sauvé la tête.,Il m' a sauvé le cou.,Il m'a sauvé le cou en me sortant des ennuis.,,,הציל את הצוואר שלך.,הוא הציל את צוואריי.,הוא הציל את צוואריי על ידי יצירת אותי מבעיות.,,,拯救了你的子,他救了我的子.,"他救了我的子,救了我出麻烦.",,,ó dá ẹ̀rùn rẹ̀ nídè,Ó dá mi nídè,Ó dá mi nídè nípa sísí mi kúrò nínú ìṣòro.,,
saved your neck,He saved my neck,He saved my neck from being injured when he pulled me away from the accident.,1,"Here, to ""save one's neck"" means to physically protect someone from harm.",2,1,목을 구해줬어,내 목을 구해줬어,사고에서 저를 끌어내면서 목이 다치지 않게 해주었습니다.,1,1,,Je t'ai sauvé la tête.,Il m' a sauvé le cou.,Il m'a sauvé le cou de ne pas être blessé quand il m'a éloigné de l'accident.,,,הציל את הצוואר שלך.,הוא הציל את צוואריי.,הוא הציל את צוואריי מלהתפצע כשהוא הוציא אותי מהאסון.,,,拯救了你的子,他救了我的子.,"他救了我,让我离开事故.",,,ó dá ẹ̀rùn rẹ̀ nídè,Ó dá mi nídè,Ó dá mi lóhùn nígbà tó mú mi kúrò nínú jàǹbá náà.,,
