idiom,freq,meaning
make yourself at home,16,"feel comfortable and relaxed in a place, as if it were your own home."
curl [pron] lip,16,express disapproval or contempt for someone or something.
water under the bridge,16,something that happened in the past and is no longer relevant.
stiff upper lip,16,remain calm and composed in the face of adversity.
a flash in the pan,16,something that is initially successful but quickly fades away.
bite [pron] tongue,15,refrain from saying something that one is tempted to say.
fall out of love,15,stop feeling romantic love for someone.
elbow grease,15,hard work and effort.
make [pron] scene,15,draw attention to oneself in a negative way.
whet [pron] appetite,15,stimulate someone's interest or desire for something.
lose [pron] touch,15,"cease communication with someone, resulting in a lack of contact."
in bad shape,15,in a difficult or unfavorable situation.
on thin ice,15,"in a precarious situation, at risk of making a mistake or getting into trouble."
cut [pron] losses,15,"stop investing time, money, or energy into something that is not working out."
say [pron] piece,15,express one's opinion or feelings on a particular subject.
home truth,15,"a frank and honest statement, often unpleasant, that is said to someone in order to help them."
cloud nine,15,a state of extreme happiness or elation.
come under fire,14,"be criticized or attacked, especially in a public way."
add fuel to [pron] fire,14,make a bad situation worse by adding more problems or complications.
come from behind,14,to achieve success after being in a difficult or losing position.
flea market,14,a place where people can buy and sell second-hand goods.
snowed under,14,overwhelmed with work or responsibilities.
bag of tricks,14,"a collection of strategies, techniques, or resources that can be used to achieve a desired result."
rain or shine,14,"no matter what the conditions, the activity will take place."
[pron] man of action,14,someone who is quick to take action and get things done.
on cloud nine,14,feeling extremely happy and content.
nitty gritty,14,the most important details or facts of a situation.
pie in the sky,14,an unrealistic hope or dream that is unlikely to come true.
red tape,14,excessive bureaucracy and regulations that make it difficult to get something done.
big bucks,14,a large amount of money.
keep up the good work,14,continue to do something well or to make progress.
dream ticket,14,an ideal combination of people or things that would be perfect for a particular situation.
brought forward,14,moved to an earlier time or date.
start from scratch,13,"begin a task or project from the beginning, without using any existing resources or materials."
drive [pron] hard bargain,13,negotiate aggressively to get the best possible deal.
break up,13,end a romantic relationship.
come to [pron] attention,13,pay close attention to someone or something.
flotsam and jetsam,13,the random objects or debris that remain after a shipwreck or other disaster.
pick up [pron] tab,13,pay for someone else's expenses.
time is money,13,"the more time you spend on something, the more money it will cost."
fire [pron] imagination,13,inspire someone to think of new ideas or possibilities.
call [pron] names,13,insult or criticize someone in a rude or demeaning way.
a storm in a teacup,13,a situation that is made to seem much more serious or important than it really is.
in the family way,13,pregnant.
a sea change,13,a complete transformation or alteration.
dead to the world,13,completely unaware of what is happening around them.
carrot and stick,13,a method of motivation that combines rewards (carrots) with punishments (sticks) to encourage desired behavior.
keep [pron] head above water,13,manage to stay afloat financially or emotionally despite difficult circumstances.
no strings attached,12,no obligations or expectations; no hidden motives.
let [pron] off [pron] hook,12,forgive someone and not hold them accountable for something they did wrong.
give [pron] kiss of life,12,revive someone who is unconscious or near death.
in cahoots with,12,working together in secret to achieve a goal.
once in a blue moon,12,very rarely
mumbo jumbo,12,language or words that are difficult to understand and are used to confuse or deceive someone.
itchy feet,12,a strong desire to travel or explore new places.
rest up,12,take a break from activities to relax and recover energy.
red ink,12,a financial loss or deficit.
see [pron] point,12,understand and agree with someone's opinion.
beyond price,12,invaluable; priceless.
ray of sunshine,12,a person who brings joy and happiness to a situation.
beats me,12,I have no idea.
scratch [pron] head,12,puzzled or confused about something.
ahead of [pron] time,12,earlier than expected.
ring [pron] bell,12,remind someone of something they should know.
a fate worse than death,12,a situation or experience that is so unpleasant or unbearable that death would be preferable.
breathe [pron] last,12,die
stop by,11,visit someone or a place for a short period of time.
hop in,11,get into a vehicle.
dead meat,11,"in a very bad situation, likely to suffer serious consequences."
see eye to eye,11,"agree on something, have the same opinion."
set [pron] ball rolling,11,start a process or activity.
stage whisper,11,speaking in a loud whisper so that everyone can hear.
prick up [pron] ears,11,pay close attention to something.
burn [pron] fingers,11,experience a negative consequence as a result of taking a risk.
peeping tom,11,"a person who secretly watches others, usually for sexual gratification."
keep [pron] eye on,11,watch or monitor someone or something closely.
throw caution to [pron] wind,11,act recklessly without considering the consequences.
throw in [pron] towel,11,"give up, admit defeat, or concede."
tighten [pron] belt,11,reduce spending in order to save money.
ask out,11,to invite someone on a date.
let sleeping dogs lie,11,leave a situation alone and not try to change it.
magic touch,11,the ability to make something successful with very little effort.
above suspicion,11,beyond reproach; having no suspicion of wrongdoing.
a sorry sight,11,something that is very sad or pitiful to look at.
just what the doctor ordered,11,exactly what is needed to solve a problem or make a situation better.
caught in the crossfire,11,being in a situation where two opposing forces are in conflict and one is unintentionally harmed by the conflict.
get on board,11,agree to participate in or support something.
pressed for time,11,having very little time to complete a task.
give me five,11,request a high five as a gesture of celebration or agreement.
fit as a fiddle,11,in excellent physical condition.
nurse [pron] back to health,10,help someone recover from an illness or injury.
not for a minute,10,"absolutely not, not even for a short period of time."
wet behind the ears,10,inexperienced or naive.
be under no illusions,10,do not have false hopes or expectations; be realistic.
in the eyes of the law,10,according to the legal system.
spill [pron] beans,10,reveal a secret or private information.
get a life,10,stop wasting time on trivial matters and focus on more important things.
steal [pron] thunder,10,take the credit or recognition for something that someone else did.
[pron] life-saver,10,someone who helps out in a difficult situation and is greatly appreciated.
picture of health,10,a person who is in excellent physical and mental health.
an act of war,10,a hostile action that is considered to be an aggressive and hostile move.
come true,10,happen as expected or hoped for.
play [pron] joke,10,trick someone in a playful way.
build bridges,10,create a connection or relationship with someone.
go for broke,10,take a risk and use all of one's resources in an attempt to achieve a goal.
let bygones be bygones,10,stop dwelling on the past and move on.
for love nor money,10,"no matter how hard one tries, it is impossible to obtain something."
go back to [pron] drawing board,10,start over from the beginning with a plan or idea.
keep tabs on,10,to monitor or keep track of someone or something.
keeping [pron] fingers crossed,10,hoping for the best possible outcome.
come to terms with,10,accept and adjust to a difficult situation.
tough love,10,"a form of discipline that is strict and firm, but ultimately done out of love and care for the person."
many happy returns,10,wishing someone a happy birthday.
drag [pron] feet,10,procrastinate or delay doing something.
hell bent,10,"determined to do something, no matter the cost or consequences."
drive [pron] up [pron] wall,10,annoy someone to the point of frustration.
young at heart,10,"having a youthful outlook and enthusiasm, regardless of age."
fall on deaf ears,10,be ignored or not taken seriously.
sail close to [pron] wind,10,"take risks, act dangerously, or do something that is close to the edge of what is acceptable."
new arrival,10,a person or thing that has recently arrived or been introduced.
wild-goose chase,9,a futile search for something that is impossible to find.
play safe,9,avoid taking risks or making decisions that could have negative consequences.
break [pron] ice,9,to make someone feel more comfortable in a social situation by starting a conversation.
pulling [pron] leg,9,teasing someone in a playful way.
miss [pron] boat,9,fail to take advantage of an opportunity.
war of words,9,"a heated argument or disagreement between two people or groups, usually involving verbal insults or criticism."
war of nerves,9,a situation in which two people or groups try to gain an advantage over each other by using psychological tactics.
wag [pron] dog,9,manipulate someone to do something for one's own benefit.
young blood,9,"new, young people who bring fresh ideas and energy to a company or organization."
red letter day,9,"a special or important day, usually one that is remembered or celebrated."
perfect pitch,9,the ability to accurately identify or reproduce a given musical note without the use of an external reference.
beyond [pron] wildest dreams,9,far better than what was expected or hoped for.
quality time,9,time spent with someone that is focused on creating a strong bond and connection.
be sick and tired of,9,be extremely annoyed or frustrated with something.
inside job,9,a crime or other misdeed committed by someone within an organization or group.
jack of all trades,9,someone who is competent in many different skills or activities.
in the cold light of day,9,when looking at a situation objectively and without emotion.
come clean,9,"to confess the truth, especially after having lied or kept something hidden."
green with envy,9,feeling very jealous of someone else's success or possessions.
date rape,9,a form of sexual assault in which the perpetrator is someone the victim is in a romantic relationship with or is dating.
come hell or high water,9,no matter what obstacles or difficulties arise.
a foot in the door,9,a way to get a start in a particular field or to gain access to a particular opportunity.
in the blink of an eye,9,"very quickly, almost instantaneously."
daily grind,9,"the routine of everyday life, especially when it is tedious and monotonous."
wine and dine,9,to treat someone to a luxurious meal and drinks in order to impress them.
make waves,9,cause trouble or disruption.
dead ringer,9,an exact duplicate or copy of something.
chicken feed,9,"a small amount of money, usually considered insignificant."
love child,9,a child born out of wedlock.
actions speak louder than words,9,what someone does is more important than what they say.
first come first served,9,the people who arrive first will be served first.
get over [pron],9,stop worrying or dwelling on something; move on.
bank on,8,rely on something or someone to provide a desired outcome.
be on cloud nine,8,be extremely happy and content.
[pron] man of few words,8,someone who speaks very little and is not very talkative.
about face,8,a sudden and complete change of opinion or direction.
make [pron] mouth water,8,make someone feel excited or eager for something.
pull [pron] plug,8,end or stop something abruptly.
not all there,8,not mentally present or aware; not thinking clearly.
watch [pron] mouth,8,"be careful what one says, as it could have unintended consequences."
work [pron] fingers to [pron] bone,8,work extremely hard and exhaust oneself.
a fly on the wall,8,an observer who is present but not noticed or involved in the situation.
weather [pron] storm,8,persevere through a difficult situation.
a whole new ball game,8,a completely different situation or set of circumstances.
lose [pron] shirt,8,to suffer a great financial loss.
get [pron] sack,8,to be fired from a job.
bolt from the blue,8,something that happens unexpectedly and without warning.
sleep on [pron],8,think about something for a while before making a decision.
in the best of health,8,in excellent physical and mental health.
on the horns of a dilemma,8,in a difficult situation where it is hard to choose between two options.
shoot through,8,leave quickly or abruptly.
company man,8,a person who is loyal to their employer and willing to do whatever is asked of them.
feel [pron] age,8,"feel the effects of aging, especially in terms of physical decline."
red handed,8,caught in the act of doing something wrong.
save face,8,to maintain one's dignity or reputation in a difficult or embarrassing situation.
greener pastures,8,a better situation or opportunity than the one currently being experienced.
hold on a second,8,wait a moment; pause before continuing.
hit [pron] roof,8,become extremely angry.
done to death,8,overused to the point of being trite or boring.
draw [pron] shortest straw,8,be the one who has to do something unpleasant or undesirable.
drop [pron] ball,8,fail to do something that was expected or required.
grin like [pron] cheshire cat,8,smile broadly and mischievously.
fall prey to,8,"become a victim of something, usually a scam or deception."
peg out,8,die
snake in [pron] grass,8,someone who is not what they appear to be and is likely to be untrustworthy.
music to [pron] ears,8,something that is very pleasing or satisfying to hear.
brass tacks,8,get to the point; focus on the practical details.
the spirit of the law,8,"the underlying purpose or intent of a law, rather than its literal interpretation."
go through [pron] roof,8,increase dramatically or to an extreme degree.
call [pron] tune,8,allow someone to make all the decisions.
big head,8,having an overly high opinion of oneself.
call [pron] shots,8,have control over a situation or decision-making process.
keep [pron] wolf from [pron] door,8,make enough money to pay for basic necessities.
black out,8,"to forget or block out a period of time, usually due to drinking too much alcohol."
fall for it,8,be tricked or deceived by someone.
track record,7,a record of past performance or success.
vale of tears,7,a situation or period of time that is filled with sadness and sorrow.
ring fencing,7,protecting something from external interference or risk by isolating it.
night owl,7,someone who stays up late and sleeps in late.
the upper crust,7,the wealthiest and most influential members of society.
run out of steam,7,lose energy or enthusiasm for something.
play [pron] field,7,date multiple people at the same time without committing to any one person.
salad days,7,"a period of youthful innocence, inexperience, and enthusiasm."
spitting image,7,exact likeness or replica of someone or something.
play ball,7,cooperate and agree to do something.
wax and wane,7,to increase and decrease in intensity or size over time.
take [pron] dim view of,7,have a negative opinion of someone or something.
quantum leap,7,"a sudden, dramatic, and significant advancement or improvement."
self-made man,7,a person who has achieved success and wealth through their own hard work and determination.
wet blanket,7,a person who is unenthusiastic or who discourages others from having fun.
wear [pron] heart on [pron] sleeve,7,express one's emotions openly and without reservation.
stand [pron] test of time,7,remain relevant and popular over a long period of time.
put on [pron] brave face,7,try to appear strong and confident even when feeling scared or uncertain.
zero hour,7,the time when a plan of action is set to begin.
foam at [pron] mouth,7,be extremely angry and agitated.
father figure,7,"a person who provides guidance and support, often in the absence of a biological father."
canteen culture,7,"a workplace culture that is informal and relaxed, where employees are encouraged to socialize and interact with each other."
fill [pron] shoes,7,"take on the same responsibilities as someone else, usually after they have left."
bring home [pron] bacon,7,provide for one's family financially.
at sixes and sevens,7,in a state of confusion or disarray.
back on [pron] feet,7,to have recovered from a difficult situation and be in a better place.
bright as a button,7,very intelligent and quick-witted.
get in [pron] hair,7,annoy or bother someone.
blow [pron] fuse,7,become extremely angry or frustrated.
hot potato,7,a situation or issue that is difficult to handle and is quickly passed from one person to another.
be dead to [pron] world,7,be completely oblivious to the events and people around you.
hit [pron] road,7,leave a place quickly.
bite [pron] dust,7,fail or be defeated.
bite [pron] bullet,7,accept a difficult situation and endure it.
go with [pron] flow,7,accept and adapt to the current situation without trying to change it.
bear fruit,7,produce a successful result.
beef up,7,to make something stronger or more powerful.
bells and whistles,7,extra features or details that are not necessary but make something more attractive or interesting.
better late than never,7,it is better to do something late than not do it at all.
bend over backwards,7,make a great effort to please someone or do something.
feeding frenzy,7,"a situation in which a large group of people are competing for something, often in an aggressive or chaotic manner."
good samaritan,7,"a person who helps others out of the goodness of their heart, without expecting anything in return."
fancy free,7,not bound by any commitments or obligations.
do [pron] trick,7,accomplish something difficult or impressive.
loose cannon,7,someone who is unpredictable and potentially dangerous.
dog days,7,a period of time that is hot and uncomfortable.
come to [pron] head,7,reach a climax or point of resolution.
come of age,7,reach adulthood and the associated privileges and responsibilities.
a sight for sore eyes,7,something that is very pleasing to see.
add insult to injury,7,make a bad situation even worse.
money for old rope,7,making money easily with little effort.
cock and bull story,7,an unbelievable or far-fetched story.
couch potato,7,a person who spends a lot of time sitting around and watching television.
do [pron] dirty work,7,do something unpleasant or unethical on someone else's behalf.
pitch in,6,contribute to a task or effort.
poetry in motion,6,something that is graceful and beautiful in its execution.
thumbnail sketch,6,a brief overview or summary of something.
go dutch,6,to split the cost of something equally between two or more people.
pipe down,6,be quiet; stop talking.
neither fish nor fowl,6,not belonging to any particular category or group.
cry wolf,6,"to make false alarms or warnings, leading people to not take you seriously when you are telling the truth."
come to fruition,6,come to a successful conclusion.
dressed up to the nines,6,dressed in one's best clothes.
blind date,6,a date with someone you have never met before.
practice makes perfect,6,repeated effort and practice leads to mastery of a skill or task.
shiver down [pron] spine,6,experience a feeling of fear or dread.
the men in grey suits,6,"people in positions of authority, especially those in government or corporate roles."
shoot straight,6,be honest and direct in one's communication.
silver bullet,6,a simple solution to a complex problem.
the holy grail,6,something that is highly sought after but difficult to obtain.
pull [pron] wool over [pron] eyes,6,deceive someone by making them believe something that is not true.
skin and bones,6,very thin and emaciated.
put [pron] cat among [pron] pigeons,6,introduce a disruptive element into a situation.
put [pron] shoulder to [pron] wheel,6,work hard and diligently to achieve a goal.
time flies,6,the passing of time seems to go quickly.
take [pron] bull by [pron] horns,6,face a difficult situation head-on and with determination.
call [pron] spade [pron] spade,6,"tell it like it is, speak honestly and directly about a situation."
read between [pron] lines,6,look for a hidden meaning in someone's words or actions.
stitch up,6,to arrange something in a way that is advantageous to oneself.
castles in the air,6,have unrealistic ideas or plans that are unlikely to come true.
pig out,6,overeat or eat a large amount of food in a short period of time.
dead serious,6,completely serious and not joking.
hang in there,6,persevere and remain strong in a difficult situation.
all that jazz,6,"all the extra details, activities, or embellishments."
as high as a kite,6,very happy or excited.
lame duck,6,a person or organization that is no longer in power or has lost their influence.
armed to the teeth,6,to be heavily armed and prepared for battle.
an ugly duckling,6,a person or thing that is initially unattractive or awkward but eventually transforms into something beautiful or impressive.
lay down [pron] law,6,establish a set of rules or expectations that must be followed.
live and learn,6,gain knowledge and experience from mistakes and successes.
well hung,6,having a large penis.
walk on air,6,to feel extremely happy and excited.
aching heart,6,feeling of deep sadness or longing.
make no bones about,6,speak openly and honestly about something without hesitation or embarrassment.
wild and woolly,6,"chaotic, unpredictable, and full of excitement."
mea culpa,6,an expression of apology or regret for a mistake or wrong-doing.
new kid on [pron] block,6,a newcomer to a place or situation.
worth [pron] weight in gold,6,extremely valuable or useful.
keep [pron] eyes peeled,6,be alert and watchful for something.
law of [pron] jungle,6,"the idea that in a society without laws, the strongest and most powerful will dominate."
turn [pron] tables,6,"reverse a situation, especially to gain an advantage over someone."
harp on,6,to continually talk about something in an annoying way.
turn [pron] blind eye,6,ignore something that one should not ignore.
be in hot water,6,be in trouble or in a difficult situation.
below the salt,6,a phrase used to describe someone or something of low social standing.
beat [pron] clock,6,finish something before the expected or allotted time.
under the wire,6,just in time; at the last possible moment.
a fish out of water,5,someone who is in an unfamiliar situation and feels uncomfortable or out of place.
white as a sheet,5,"very pale, usually due to fear or shock."
so far so good,5,things are going well up to this point.
cut corners,5,"to do something in a way that is not thorough or complete, usually in order to save time or money."
act [pron] age,5,behave in a way that is not appropriate for one's age.
big cheese,5,an important or influential person.
skin [pron] alive,5,criticize someone harshly and publicly.
sit tight,5,wait patiently and do nothing.
[pron] word is law,5,what someone says is taken as absolute truth and must be followed.
be on [pron] ball,5,be alert and prepared for anything.
achilles heel,5,a person's weak spot or vulnerability.
absence makes the heart grow fonder,5,being away from someone or something can make one appreciate them more.
chew [pron] fat,5,engage in a friendly conversation with someone.
shift gears,5,"change direction, approach, or focus."
to pull [pron] trigger,5,"to take action, usually in a decisive way."
a steal,5,a very good deal or bargain.
a slap on the wrist,5,a mild punishment or reprimand.
speak [pron] same language,5,have a mutual understanding and be able to communicate effectively.
banana republic,5,"a small, politically unstable country, typically in Latin America, that is economically dependent on a single export, such as bananas."
bag lady,5,a homeless woman who carries her possessions in bags.
charity begins at home,5,one should take care of their own family and friends before helping others.
unwritten law,5,an accepted rule or custom that is not formally expressed or recorded.
walk out on,5,leave a situation or relationship suddenly and without warning.
testing [pron] waters,5,trying something out to see how it goes or how people respond.
as poor as a church mouse,5,"very poor, having very little money."
bring to [pron] table,5,"contribute one's ideas, knowledge, or resources to a discussion or situation."
