idiom,phrase,sentence,label,reason
raise eyebrows,His words raised eyebrows,"His words raised eyebrows on the people's faces as they were taken aback by his obscenity."" here, ""raise eyebrows"" means to physically raise one's eyebrows as an expression of surprise or shock.",1,
come to blows,They came to blows,They came to blows when they had an argument and started to fight.,0,"Here, to ""come to blows"" means to argue and fight aggressively."
come to blows,They came to blows,They came to blows when they punched each other during the fight.,1,"Here, to ""come to blows"" means to physically fight with punches."
come to blows,They came to blows,They came to blows when they had a heated argument.,0,"Here, to ""come to blows"" means to become aggressive and start a physical fight."
come to blows,They came to blows,They came to blows when they started boxing each other.,1,"Here, to ""come to blows"" means to start a physical fight through aggressive behavior."
home truth,She told him a home truth,She told him a home truth to make him realize the reality of the situation.,0,"Here, ""home truth"" means an unpleasant truth which must be accepted."
home truth,She told him a home truth,She told him a home truth since they were in the comfort of their own home.,1,"Here, ""home truth"" means a truth that is spoken in the privacy of one's own home."
home truth,She spoke a home truth,She spoke a home truth when she said that we need to start saving money for our future.,0,"Here, ""home truth"" means to bring an uncomfortable reality to light."
home truth,She spoke a home truth,She spoke a home truth about how our grandparents used to live in this place.,1,"Here, ""home truth"" means to talk about a literal truth that is related to one's own home."
hot potato,He has the hot potato,"He has the hot potato, so no one wants to work with him on this project.",0,"Here, ""hot potato"" means to have a controversial issue or task that no one want to take ownership over."
hot potato,He has the hot potato,"He has the hot potato, so he drops it immediately whenever he touches it.",1,"Here, ""hot potato"" means an actual hot potato."
hot potato,She was holding a hot potato,She was holding a hot potato and debating when to pass it on to her friend.,0,"Here, ""hot potato"" means to pass on a difficult or sensitive issue to somebody else."
hot potato,She was holding a hot potato,She was holding a hot potato and debating how long to stay in its heat.,1,"Here, ""hot potato"" means to stay in possession of an actual hot potato."
tie [pron] knot,They tied the knot yesterday,"They tied the knot yesterday, making their vows official.",0,"Here, ""tie [pron] knot"" means to get married."
tie [pron] knot,They tied the knot yesterday,They tied the knot yesterday to hang up their hammock.,1,"Here, ""tie [pron] knot"" means to literally tie a knot."
tie [pron] knot,They tied their knot,They tied their knot after being together for 10 years and finally getting married.,0,"Here, ""tie [pron] knot"" means to enter the state of marriage."
tie [pron] knot,They tied their knot,They tied their knot to connect two pieces of strings together firmly.,1,"Here, ""tie [pron] knot"" means to secure two pieces of string by forming a knot."
quantum leap,He made a quantum leap,He made a quantum leap in his career after he was hired by the top company.,0,"Here, ""quantum leap"" means a huge advancement or improvement. "
quantum leap,He made a quantum leap,He made a quantum leap by launching himself across the room.,1,"Here, ""quantum leap"" means to make a large jump or leap."
quantum leap,He made a quantum leap,He made a quantum leap in his studies this past year.,0,"Here, ""quantum leap"" means to make a sudden and significant improvement."
quantum leap,He made a quantum leap,He made a quantum leap when he jumped over the fence.,1,"Here, ""quantum leap"" means to make a very large jump or leap."
flog [pron] dead horse,“I'm starting to flog my dead horse,I'm starting to flog my dead horse by trying to revive a lost cause.,0,"Here, ""flog [pron] dead horse"" means to attempt a futile endeavor."
flog [pron] dead horse,“I'm starting to flog my dead horse,I'm starting to flog my dead horse by using a whip to make it move.,1,"Here, ""flog [pron] dead horse"" means to physically beat a dead animal with a whip."
flog [pron] dead horse,I don't want to flog my dead horse,I don't want to flog my dead horse while I'm trying to move on with my life.,0,"Here, to ""flog [pron] dead horse"" means to continuously argue about a question or situation that has already ended."
flog [pron] dead horse,I don't want to flog my dead horse,I don't want to flog my dead horse as it has been buried in the ground.,1,"Here, to ""flog [pron] dead horse"" means to whip a horse that has already died."
have eyes only for,He had eyes only for her,He had eyes only for her when everyone in the room was competing for his attention.,0,"Here, ""have eyes only for"" means to be so focused on one particular thing that you can't pay attention to anything else."
have eyes only for,He had eyes only for her,"He had eyes only for her, as he could see no one else.",1,"Here, ""have eyes only for"" means to only see one particular thing and disregard everything else."
have eyes only for,He has eyes only for her,"He has eyes only for her, so there's no room for anyone else.",0,"Here, ""have eyes only for"" means to be devoted or devotedly in love with someone."
have eyes only for,He has eyes only for her,He has eyes only for her and not for anyone else.,1,"Here, ""have eyes only for"" means to literally be looking only at that one person."
man in blue,I saw the man in blue,I saw the man in blue with a smile on his face; he must have been a guardian angel.,0,"Here, ""the man in blue"" is a phrase used to refer to a mysterious or supernatural figure. "
man in blue,I saw the man in blue,I saw the man in blue at the airport; he was a security guard.,1,"Here, ""the man in blue"" refers to the traditional color of the uniform worn by police officers, policemen and law officials."
man in blue,There was a man in blue,There was a man in blue who seemed to bring good luck wherever he went.,0,"Here, ""man in blue"" refers to a person who symbolizes luck or good fortune."
man in blue,There was a man in blue,There was a man in blue at the police station.,1,"Here, ""man in blue"" refers to a police officer or law enforcement official."
curl [pron] lip,He curled his lip,He curled his lip when he heard the bad news.,0,"Here, to ""curl [pron] lip"" means to show disapproval or displeasure."
curl [pron] lip,He curled his lip,He curled his lip in order to protect from the sun rays.,1,"Here, to ""curl [pron] lip"" means to physically curl the lip upwards in a certain manner."
curl [pron] lip,He curled his lip,He curled his lip in disapproval when he heard the news.,0,"Here, ""curl [pron] lip"" means to express disdain or contempt. "
curl [pron] lip,He curled his lip,He curled his lip up while posing for the photographer.,1,"Here, ""curl [pron] lip"" means to physically manipulate the lip into a curled up shape."
act [pron] age,He was acting his age,He was acting his age when he started talking about traveling the world.,0,"Here, to ""act [pron] age"" means to act in a way that is socially expected for a particular age."
act [pron] age,He was acting his age,"He was acting his age, since he was eighteen years old.",1,"Here, to ""act [pron] age"" means to behave their age with respect to their chronological age."
act [pron] age,She's acting her age,"She's acting her age, despite being much younger than most of her peers.",0,"Here, to ""act [pron] age"" means to behave appropriate to [pron]'s age, not to one's chronological age."
act [pron] age,She's acting her age,"She's acting her age, twelve, which is the same age she is.",1,"Here, to ""act [pron] age"" means to behave as one's chronological age dictates."
couch potato,He's a couch potato,"He's a couch potato, spending most of his days watching television instead of going out and playing sports.",0,"Here, ""couch potato"" means someone who stays at home, avoiding any kind of physical activity."
couch potato,He's a couch potato,"He's a couch potato, lying on the couch eating potato chips all day.",1,"Here, ""couch potato"" means someone who spends their time sitting around doing nothing."
couch potato,He's a couch potato,He's a couch potato since he spends all his free time watching television and playing video games.,0,"Here, ""couch potato"" means to be lazy and unproductive."
couch potato,He's a couch potato,He's a couch potato; he is rarely seen outside of the couch.,1,"Here, ""couch potato"" means to spend a large amount of time sitting on the couch."
chew [pron] cud,He was chewing his cud,He was chewing his cud while trying to come up with a solution to the issue.,0,"Here, to ""chew [pron] cud"" means to take one's time to think deeply and reflect on something."
chew [pron] cud,He was chewing his cud,He was chewing his cud because he was a cow.,1,"Here, to ""chew [pron] cud"" means to literally chew feed that has been regurgitated from the re-chewing process."
chew [pron] cud,He was chewing his cud,He was chewing his cud by going over the same idea repeatedly.,0,"Here, to ""chew [pron] cud"" means to meditate, reflect or consider ideas for a long time."
chew [pron] cud,He was chewing his cud,He was chewing his cud as he was grazing in the fields.,1,"Here, ""chew [pron] cud"" means to slowly and methodically chew regurgitated food."
feel [pron] age,I'm feeling my age,I'm feeling my age when I'm no longer able to do things I used to do as a child.,0,"Here, to ""feel [pron] age"" means to become aware of one's advancing years."
feel [pron] age,I'm feeling my age,I'm feeling my age when I can clearly feel the number of years I have lived.,1,"Here, to ""feel [pron] age"" means to be conscious of physical changes which indicate aging."
feel [pron] age,He feels his age,He feels his age weighed down by the responsibilities that come with adulthood.,0,"Here, ""feel [pron] age"" means to experience the physical exhaustion or emotional burdens that come with getting older."
feel [pron] age,He feels his age,He feels his age whenever he stands up and his bones ache.,1,"Here, ""feel [pron] age"" means to experience the physical effects of aging."
cut [pron] throat,He cut his throat last week,He cut his throat last week trying to outbid the competition.,0,"Here, ""cut [pron] throat"" means to do something that puts oneself at a disadvantage, usually with an edge in business."
cut [pron] throat,He cut his throat last week,He cut his throat last week in a suicide attempt.,1,"Here, ""cut [pron] throat"" means to physically injure yourself to the point of life-threatening harm."
cut [pron] throat,The competition cut her throat,The competition cut her throat when they undercut their prices.,0,"Here, to ""cut [pron] throat"" means to cause significant damage that is difficult to recover from."
cut [pron] throat,The competition cut her throat,The competition cut her throat by ripping her shirt during a fight.,1,"Here, to ""cut [pron] throat"" means to physically harm a person by cutting their throat."
good samaritan,She was being a good samaritan,She was being a good samaritan by helping the homeless man.,0,"Here, to be a ""good samaritan"" means to be kind and generous to others. "
good samaritan,She was being a good samaritan,She was being a good samaritan by bringing them food and supplies.,1,"Here, to be a ""good samaritan"" means to provide goods or services to someone in need."
good samaritan,I was a good Samaritan,I was a good Samaritan when I stepped in to help the homeless man.,0,"Here, ""good Samaritan"" means to do a kind deed without asking for anything in return."
good samaritan,I was a good Samaritan,I was a good Samaritan after I offered help to the man from the parable of the Good Samaritan.,1,"Here, ""good Samaritan"" means to offer help as described in the Bible story."
testing [pron] waters,She is testing the waters,She is testing the waters by starting her own business.,0,"Here, ""testing [pron] waters"" means to explore a new area to see if it is something that might work."
testing [pron] waters,She is testing the waters,She is testing the waters to see how cold they are.,1,"Here, ""testing [pron] waters"" means to physically measure the temperature of the water before getting in."
testing [pron] waters,She is testing the waters,She is testing the waters by trying new ideas that she thought may not work out.,0,"Here, ""testing [pron] waters"" means to cautiously explore a new area. "
testing [pron] waters,She is testing the waters,She is testing the waters to determine if they are warm enough to take a swim.,1,"Here, ""testing [pron] waters"" means to actually assess the temperature of the water."
chew [pron] fat,We were chewing our fat,We were chewing our fat discussing all the issues affecting our company.,0,"Here, to ""chew [pron] fat"" means to have an informal, lengthy conversation."
chew [pron] fat,We were chewing our fat,We were chewing our fat to make sure our teeth stay strong and healthy.,1,"Here, to ""chew [pron] fat"" means to physically chew fat for dental benefits."
chew [pron] fat,We were chewing our fat,We were chewing our fat as we caught up on each other's lives.,0,"Here, ""chew [pron] fat"" means to casually discuss or chat. "
chew [pron] fat,We were chewing our fat,We were chewing our fat as we enjoyed a delicious meal.,1,"Here, ""chew [pron] fat"" means to actually eat fat or rich food."
hit [pron] ceiling,He hit his ceiling,"He hit his ceiling when he heard the news, which caused him to give up on his dream.",0,"Here, ""hit [pron] ceiling"" means to reach despair or the maximum limit of emotions."
hit [pron] ceiling,He hit his ceiling,He hit his ceiling when he stood up too quickly and bumped his head.,1,"Here, ""hit [pron] ceiling"" means to physically come into contact with a ceiling."
hit [pron] ceiling,He hit his ceiling,He hit his ceiling by taking on too many projects and responsibilities.,0,"Here, to ""hit [pron] ceiling"" means to reach the limit of one's capacities."
hit [pron] ceiling,He hit his ceiling,He hit his ceiling with a basketball.,1,"Here, to ""hit [pron] ceiling"" means to physically reach and make contact with the upper surface."
sacred cow,That was his sacred cow,"That was his sacred cow, meaning it was something he held dearly and refused to change.",0,"Here, ""sacred cow"" means to an idea or institution that is immune from criticism or opposition. "
sacred cow,That was his sacred cow,"That was his sacred cow, meaning it was an actual cow that he worshipped religiously.",1,"Here, ""sacred cow"" means to an actual cow that is worshiped as divine."
sacred cow,He treated that like a sacred cow,"He treated that like a sacred cow, believing his opinion to be infallible.",0,"Here, ""sacred cow"" means an idea or belief that is held to be above criticism."
sacred cow,He treated that like a sacred cow,"He treated that like a sacred cow, taking special precautions to protect it.",1,"Here, ""sacred cow"" means an object or individual that is given special treatment or respect."
clock out,He clocked out at 5:00,He clocked out at 5:00 to mark the end of a long and arduous day.,0,"Here, to ""clock out"" means to mark the end of something difficult or tiring. "
clock out,He clocked out at 5:00,He clocked out at 5:00 to mark the end of his shift at work.,1,"Here, to ""clock out"" means to officially end a shift at work."
clock out,He clocked out early,He clocked out early to start his weekend early.,0,"Here, ""clock out"" means to end the work day."
clock out,He clocked out early,He clocked out early to record the official time before leaving.,1,"Here, ""clock out"" means to record the time on the time-clock prior to departing from work."
wine and dine,He's been wine and dining her,He's been wine and dining her with luxurious dates.,0,"Here, ""wine and dine"" means to pamper or spoil someone with attention and lavish gifts."
wine and dine,He's been wine and dining her,He's been wine and dining her in the finest of restaurants.,1,"Here, ""wine and dine"" means to treat someone with reknowned restaurants and expensive drinks."
wine and dine,He wined and dined me,He wined and dined me with thoughtful gestures and romantic conversations.,0,"Here, ""wine and dine"" means to treat someone to an enjoyable and luxurious experience."
wine and dine,He wined and dined me,He wined and dined me with a bottle of fine wine and a meal at an expensive restaurant.,1,"Here, ""wine and dine"" means to provide a person with alcohol and food."
silver fox,He's a silver fox,He's a silver fox; he's always dressed to the nines and his words are smooth and wise.,0,"Here, ""silver fox"" means an attractive older man."
silver fox,He's a silver fox,He's a silver fox; his fur shines in the moonlight and he knows the ins and outs of the forest.,1,"Here, ""silver fox"" means an actual silver-colored fox."
silver fox,He's a silver fox.,"He's a silver fox because he's smart, handsome, and older in age.",0,"Here, ""silver fox"" means an attractive mature man."
silver fox,He's a silver fox.,He's a silver fox because his fur has a silver color.,1,"Here, ""silver fox"" means an actual animal with a silver color fur."
play [pron] joke,He played his joke,"He played his joke on the audience last night, which made everyone burst into laughter.",0,"Here, ""play [pron] joke"" means to use trickery to humor someone. "
play [pron] joke,He played his joke,He played his joke by himself on the guitar and attracted the attention of the entire crowd.,1,"Here, ""play [pron] joke"" means to perform a joke with music or an instrument."
play [pron] joke,She played her joke,She played her joke by making everyone believe it was real.,0,"Here, to ""play [pron] joke"" means to fool someone into believing it's true."
play [pron] joke,She played her joke,She played her joke by telling a funny story.,1,"Here, to ""play [pron] joke"" means to deliver a joke or funny story."
give [pron] [pron] hand,He gave himself a hand,He gave himself a hand when he completed the presentation perfectly.,0,"Here, to ""give oneself a hand"" means to congratulate oneself for a job well done."
give [pron] [pron] hand,He gave himself a hand,He gave himself a hand when he helped himself up from the ground.,1,"Here, to ""give oneself a hand"" means to physically extend one's hand out to help oneself."
give [pron] [pron] hand,It gave her its hand,It gave her its hand to help her get back on her feet.,0,"Here, ""give [pron] [pron] hand"" means to give someone a helping hand."
give [pron] [pron] hand,It gave her its hand,It gave her its hand as a gesture of goodwill.,1,"Here, ""give [pron] [pron] hand"" means to make a physical gesture of goodwill."
spill [pron] beans,She spilled her beans,She spilled her beans when it came to telling her secrets.,0,"Here, ""spill [pron] beans"" means to divulge secrets. "
spill [pron] beans,She spilled her beans,She spilled her beans all over the floor.,1,"Here, ""spill [pron] beans"" means to accidentally drop objects and have them scatter."
spill [pron] beans,She spilled her beans,She spilled her beans and revealed her secret - no matter the consequences.,0,"Here, ""spill [pron] beans"" means to reveal a secret or private information."
spill [pron] beans,She spilled her beans,She spilled her beans and had to clean them up from the floor.,1,"Here, ""spill [pron] beans"" means to accidentally drop some beans from a container."
grin like [pron] cheshire cat,He was grinning like his cheshire cat,He was grinning like his cheshire cat because he was so happy to see his friends.,0,"Here, to ""grin like [pron] cheshire cat"" means to be very happy or pleased with something."
grin like [pron] cheshire cat,He was grinning like his cheshire cat,He was grinning like his cheshire cat because he had just seen a picture of it.,1,"Here, to ""grin like [pron] cheshire cat"" means to make an expression that looks like the Cheshire Cat's."
grin like [pron] cheshire cat,He was grinning like his Cheshire cat,He was grinning like his Cheshire cat because he was so excited about his plan.,0,"Here, ""grin like [pron] Cheshire cat"" means to smile mischievously or be extremely pleased about something."
grin like [pron] cheshire cat,He was grinning like his Cheshire cat,He was grinning like his Cheshire cat because he had just seen one.,1,"Here, ""grin like [pron] Cheshire cat"" means to imitate the big smile of a Cheshire cat."
cash cow,Our company is a cash cow,Our company is a cash cow because it produces an excessive amount of profit.,0,"Here, ""cash cow"" means a business that generates an extremely large or steady income."
cash cow,Our company is a cash cow,Our company is a cash cow because it actually produces cash from cows.,1,"Here, ""cash cow"" means a complex system for producing money from cows."
cash cow,The new product was a cash cow,"The new product was a cash cow, bringing tons of money to the company.",0,"Here, ""cash cow"" means a reliable source of money or profit."
cash cow,The new product was a cash cow,"The new product was a cash cow, being milked every day.",1,"Here, ""cash cow"" means an actual cow, who is kept for the production of milk."
leave no stone unturned,We left no stone unturned,We left no stone unturned in our endeavor to build a successful business.,0,"Here, ""leave no stone unturned"" means to do all things possible and leave nothing to chance."
leave no stone unturned,We left no stone unturned,We left no stone unturned as we were looking for items beneath them.,1,"Here, ""leave no stone unturned"" means to look closely everywhere including underneath stones."
leave no stone unturned,He left no stone unturned,He left no stone unturned in his search for answers.,0,"Here, ""leave no stone unturned"" means to explore every possibility."
leave no stone unturned,He left no stone unturned,He left no stone unturned as he searched through the field.,1,"Here, ""leave no stone unturned"" means to not miss any physical object that may provide clues."
stop by,I'm going to stop by,I'm going to stop by on my way home to say hello.,0,"Here, to ""stop by"" means to make a short and brief visit."
stop by,I'm going to stop by,I'm going to stop by the store to pick up some groceries.,1,"Here, to ""stop by"" means to make a short stop at a certain place."
stop by,They stopped by,"They stopped by to offer their condolences, here ""stop by"" means to make a brief visit.",0,
stop by,They stopped by,"They stopped by the store to pick up groceries, here ""stop by"" means to make a brief visit for a specific purpose.",1,
get [pron] sack,He got his sack,He got his sack when he was given the chance to prove his worth.,0,"Here, to ""get [pron] sack"" means to be given an opportunity to prove one's value."
get [pron] sack,He got his sack,He got his sack when he was fired.,1,"Here, to ""get [pron] sack"" means to be dismissed from work."
get [pron] sack,My boss got my sack,My boss got my sack when he gave me the bad news.,0,"Here, to ""get [pron] sack"" means to be fired from a job."
get [pron] sack,My boss got my sack,My boss got my sack when he asked me to pack my belongings after the meeting.,1,"Here, to ""get [pron] sack"" means to be asked to leave or be removed from a place."
let [pron] heart rule [pron] head,He let his heart rule his head,He let his heart rule his head and decided to follow his dreams rather than going for a secure job.,0,"Here, to ""let [pron] heart rule [pron] head"" means to prioritize emotions over logic."
let [pron] heart rule [pron] head,He let his heart rule his head,He let his heart rule his head and started pounding on it with his fists.,1,"Here, to ""let [pron] heart rule [pron] head"" means to let one's emotions control one's thoughts."
let [pron] heart rule [pron] head,We let our hearts rule our heads,We let our hearts rule our heads when we decided to move to Paris and follow our dreams.,0,"Here, ""let [pron] heart rule [pron] head"" means to follow one's feelings instead of common sense or rationality."
let [pron] heart rule [pron] head,We let our hearts rule our heads,We let our hearts rule our heads when we input keystrokes with our hearts instead of our brain.,1,"Here, ""let [pron] heart rule [pron] head"" means to make decisions based on physical movements--of the heart instead of the head."
start from scratch,They had to start from scratch,They had to start from scratch because they hadn't been paying attention to the details.,0,"Here, ""start from scratch"" means to restart the project from the beginning due to carelessness."
start from scratch,They had to start from scratch,They had to start from scratch because their project materials got destroyed.,1,"Here, ""start from scratch"" means to begin the process anew and rebuild or recreate something from the very beginning."
start from scratch,We had to start from scratch,We had to start from scratch and brainstorm new ideas for the project.,0,"Here, ""start from scratch"" means to begin completely anew with no prior knowledge or experience. "
start from scratch,We had to start from scratch,We had to start from scratch because all our materials were ruined.,1,"Here, ""start from scratch"" means to begin with no resources at all."
not bat [pron] eyelid,He didn't bat his eyelid,"He didn't bat his eyelid when they made fun of him, indicating he was calm and composed.",0,"Here, ""not bat [pron] eyelid"" means to remain unaffected by something."
not bat [pron] eyelid,He didn't bat his eyelid,"He didn't bat his eyelid when presented with the challenge, indicating his eyes were open.",1,"Here, ""not bat [pron] eyelid"" means to keep the eyes open and not blink."
not bat [pron] eyelid,She didn't bat her eyelid,She didn't bat her eyelid when I asked her to marry me.,0,"Here, ""not bat [pron] eyelid"" means to not show any emotion or reaction."
not bat [pron] eyelid,She didn't bat her eyelid,She didn't bat her eyelid despite the dust in her eye.,1,"Here, ""not bat [pron] eyelid"" means to not physically move the eyelids."
bite [pron] dust,We bit the dust,We bit the dust and lost the race.,0,"Here, ""bite [pron] dust"" means to suffer a defeat or failure."
bite [pron] dust,We bit the dust,We bit the dust as it flew through the air.,1,"Here, ""bite [pron] dust"" means to literally have particles of dust in one's mouth."
bite [pron] dust,He bit the dust,He bit the dust when his dreams of becoming a rockstar were dashed.,0,"Here, to ""bite [pron] dust"" means to suffer an unexpected defeat."
bite [pron] dust,He bit the dust,He bit the dust and swallowed some of it.,1,"Here, to ""bite [pron] dust"" means to literally eat dirt."
kill time,We killed time,We killed time by playing games and listening to music.,0,"Here, ""kill time"" means to occupy oneself with an activity to pass the time."
kill time,We killed time,We killed time by actually stopping the clock.,1,"Here, ""kill time"" means to stop time from passing, to stop time from moving forward."
kill time,She was killed time,She was killed time by reading her favorite book.,0,"Here, ""kill time"" means to do something to pass the time."
kill time,She was killed time,She was killed time when the clock stopped working.,1,"Here, ""kill time"" means to cause something to no longer exist, in this case, the sense of time."
scratch [pron] head,He scratched his head,He scratched his head while thinking of a solution.,0,"Here, to ""scratch [pron] head"" means to puzzle over or to be confused by something."
scratch [pron] head,He scratched his head,He scratched his head to get rid of an itch.,1,"Here, to ""scratch [pron] head"" means to literally scratch the head in order to get rid of an itch or discomfort."
scratch [pron] head,She scratched her head,She scratched her head when she tried to figure out the answer.,0,"Here, ""scratch [pron] head"" means to think hard to find a solution."
scratch [pron] head,She scratched her head,She scratched her head when she noticed an itch.,1,"Here, ""scratch [pron] head"" means to physically scratch the head when there is an itch or discomfort."
jump to conclusions,He jumped to conclusions,He jumped to conclusions when he assumed I didn't like him without giving me a chance to explain my side.,0,"Here, to ""jump to conclusions"" means to make assumptions without all the facts. "
jump to conclusions,He jumped to conclusions,He jumped to conclusions when he leapt off the floor and thought he had reached the right answer.,1,"Here, to ""jump to conclusions"" means to physically jump in order to reach a conclusion."
jump to conclusions,They jump to conclusions,They jump to conclusions when they hear only one side of the story.,0,"Here, to ""jump to conclusions"" means to make assumptions or draw conclusions without sufficient evidence."
jump to conclusions,They jump to conclusions,They jump to conclusions by leaping across the room and quickly making a decision.,1,"Here, to ""jump to conclusions"" means to move quickly and reach a conclusion without taking the needed time or effort."
jump [pron] gun,They jumped the gun,They jumped the gun and made a premature decision.,0,"Here, ""jump [pron] gun"" means to act too quickly or impulsively."
jump [pron] gun,They jumped the gun,They jumped the gun and hit their mark before the starting signal was given.,1,"Here, ""jump [pron] gun"" means to move or act before it is allowed."
jump [pron] gun,He jumped his gun,He jumped his gun by starting a new project without consulting the team first.,0,"Here, ""jump [pron] gun"" means to do something before the right time."
jump [pron] gun,He jumped his gun,He jumped his gun literally by shooting it before he was supposed to.,1,"Here, ""jump [pron] gun"" means to do something before one was supposed to."
be on cloud nine,She was on cloud nine,She was on cloud nine after hearing the good news.,0,"Here, ""be on cloud nine"" means to be in a state of extreme happiness or joy."
be on cloud nine,She was on cloud nine,She was on cloud nine as she looked straight up into the sky.,1,"Here, ""be on cloud nine"" means to be at the highest level of clouds visible from Earth."
be on cloud nine,,I'm on cloud nine since I got accepted to my dream college.,0,"Here, ""be on cloud nine"" means to be in an extremely joyful state."
be on cloud nine,,I'm on cloud nine because I'm riding the second highest roller coaster in the amusement park.,1,"Here, ""be on cloud nine"" means to literally experience the highest thrilling sensation."
set [pron] ball rolling,We set his ball rolling,We set his ball rolling by giving him all the details he needed to complete the project.,0,"Here, to ""set [pron] ball rolling"" means to begin the process of something."
set [pron] ball rolling,We set his ball rolling,We set his ball rolling by sending it down the hill.,1,"Here, to ""set [pron] ball rolling"" means to give something an initial impetus."
set [pron] ball rolling,This project set his ball rolling,This project set his ball rolling and made him more successful than ever.,0,"Here, to ""set [pron] ball rolling"" means to get a process going."
set [pron] ball rolling,This project set his ball rolling,This project set his ball rolling and he watched it go downhill.,1,"Here, to ""set [pron] ball rolling"" means to set a physical ball in motion."
stick to [pron] guns,He stuck to his guns,He stuck to his guns and stayed with his opinion despite external pressures.,0,"Here, ""stick to [pron] guns"" means to remain committed to an opinion despite opposition or challenges."
stick to [pron] guns,He stuck to his guns,He stuck to his guns and brought them on the hunting trip.,1,"Here, ""stick to [pron] guns"" means to physically bring an item or items despite it being inconvenient."
stick to [pron] guns,He stuck to his guns,He stuck to his guns and refused to change his position.,0,"Here, ""stick to [pron] guns"" means to remain determined and faithful to an opinion. "
stick to [pron] guns,He stuck to his guns,He stuck to his guns and refused to put them down.,1,"Here, ""stick to [pron] guns"" means to hold on to a physical object."
meet [pron] waterloo,He met his Waterloo,He met his Waterloo when he failed the test.,0,"Here, ""meet [pron] waterloo"" means to have a devastating or conclusive defeat or setback. "
meet [pron] waterloo,He met his Waterloo,He met his Waterloo at the entrance of the Waterloo station.,1,"Here, ""meet [pron] waterloo"" means to physically meet someone in Waterloo."
meet [pron] waterloo,He met his Waterloo,He met his Waterloo when the test results were finally revealed.,0,"Here, ""meet [pron] waterloo"" means to experience an unsurmountable defeat or setback."
meet [pron] waterloo,He met his Waterloo,He met his Waterloo as he was walking down Waterloo Street.,1,"Here, ""meet [pron] waterloo"" means to actually physically come to an area or street called Waterloo."
come of age,He has come of age,"He has come of age, now being treated as an adult in society.",0,"Here, ""come of age"" means to reach a certain age or level when one is considered to have matured."
come of age,He has come of age,He has come of age and can now legally drink alcohol.,1,"Here, ""come of age"" means to reach a certain age or level when one is legally allowed to drink alcohol."
come of age,She has come of age,She has come of age and is ready to accept greater responsibilities.,0,"Here, ""come of age"" means to reach adulthood and gain independence."
come of age,She has come of age,She has come of age and is now legally allowed to vote.,1,"Here, ""come of age"" means to reach the age of 18 or 21."
