,idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt,p_a_hi_gpt,p_f_hi_gpt,p_l_hi_gpt,p_a_hu_gpt,p_f_hu_gpt,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt,p_l_ko_gpt,p_a_es_gpt,p_f_es_gpt,p_l_es_gpt,p_a_yo_gpt,p_f_yo_gpt,p_l_yo_gpt,p_a_zh_gpt,p_f_zh_gpt,p_l_zh_gpt
119,chill wind,to encounter the problems or trouble,"When the news of the layoffs arrived, [[a chill wind blew]] through the office","As we walked through the forest, [[a chill wind blew]] and made us shiver","When the news of the layoffs arrived, a chill wind blew through the office","As we walked through the forest, a chill wind blew and made us shiver",a chill wind blew,Ein kalter Wind wehte.,"Als die Nachricht von den Entlassungen ankam, wehte ein eisiger Wind durch das Büro.","Als wir durch den Wald gingen, wehte ein kalter Wind und ließ uns frösteln.",רוח קרה נשבה,"כשהחדשות על הפיטורים הגיעו, רוח קרה נשבה במשרד.","כשהלכנו דרך היער, רוח קרה נשבה וגרמה לנו לרעוד.",एक ठंडी हवा चली।,"जब नौकरियों के कटौती की खबर आई, एक ठंडी हवा कार्यालय में चली गई।","जब हम जंगल से गुजर रहे थे, तब ठंडी हवा चली और हमें कंपकंपी हो गया।",egy hideg szél fújt,"Amikor megérkeztek a leépítések hírei, hideg szél söpört végig az irodán.","Miközben az erdőn sétáltunk, hideg szél fújt és megborzongtunk.",차가운 바람이 불었다.,"해고 소식이 도착하자, 사무실에 차가운 바람이 불었다.",우리가 숲을 걷던 중 차가운 바람이 불어와 우리를 오싹하게 만들었다.,sopló un viento frío,"Cuando llegaron las noticias de los despidos, un viento frío sopló por la oficina.","Mientras caminábamos por el bosque, un viento frío sopló y nos hizo temblar.",Ojú orun rẹrìn.,"Nitoripe awon ohun elo ni won ti npe, ojojumo ti ojojumobimoran wa ni won fi oju kan sile ni ile-iṣẹ.","Nigba ti a nlo si ile-ijebu, afefe ti o si je ki a gbe oju-ona.",一股寒风吹过,当裁员的消息传来时，一股寒风吹过了办公室。,当我们走过森林时，寒风吹过，让我们打了个寒战。
120,chink in armour,a susceptible or vulnerable area.,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit","While examining the knight's suit, he [[found a chink in their armour]] that needed repair","After analyzing their strategy, we found a chink in their armour that we could exploit","While examining the knight's suit, he found a chink in their armour that needed repair",found a chink in their armour,Ich habe eine Schwachstelle in ihrer Rüstung gefunden.,"Nachdem wir ihre Strategie analysiert hatten, fanden wir eine Schwachstelle in ihrer Rüstung, die wir ausnutzen konnten.","Während er die Rüstung des Ritters untersuchte, fand er eine Lücke in ihrer Rüstung, die repariert werden musste.",מצא נקודת חולשה בשריון שלהם,"לאחר ניתוח האסטרטגיה שלהם, גילינו נקודת חולשה בשריון שלהם שאנחנו יכולים לנצל.","במהלך בדיקת החיבור של האביר, הוא מצא פגם בשריון שצריך לתקן.",उनकी कवच में एक छेद मिला,"उनकी रणनीति का विश्लेषण करने के बाद, हमने उनकी कवच में एक छेद खोजा जो हम उन्हें नुकसान पहुंचाने के लिए उपयोग कर सकते हैं।","शत्रुओं की कवच में जाँच करते समय, उसने उनकी कवच में एक दरार खोजी जो मरम्मत की जरूरत थी।",talált egy sebezhetőséget az ő páncéljukban,"Az stratégiájuk elemzése után találtunk egy sebezhetőséget, amit ki tudtunk használni.","Miközben megvizsgálta a lovag páncélját, talált egy repedést a páncélján, amit ki kellett javítani.",그들의 갑옷에 틈새를 발견했다.,"그들의 전략을 분석한 후, 우리는 그들의 취약점을 찾아서 이용할 수 있었다.","기사의 갑옷을 조사하던 중, 그는 수리가 필요한 갑주의 틈을 발견했다.",Encontré una debilidad en su armadura.,"Después de analizar su estrategia, encontramos una debilidad en su armadura que podríamos explotar.","Mientras examinaba la armadura del caballero, encontró una fisura en su armadura que necesitaba reparación.",Mo ṣe ẹrọ lori awọn ọja wọn.,"Lẹhin ti a ṣe alayeṣẹ wọn, a ṣe ni chink ni wọn ọja ti a le jẹ ki a ṣe faṣẹ.","Nitorina ti o ba nṣiṣẹ ọkùnrin alágbè, o ṣe ẹrọ ti o nilo ni ilẹkun rẹ ti o nilo lati ṣiṣẹ.",发现了他们盔甲的破绽。,在分析他们的策略后，我们发现了他们盔甲上的一个漏洞，我们可以利用它。,在检查骑士的盔甲时，他发现了一个需要修理的缝隙。
121,choke up,make a person become overemotional and speechless,"Hearing the sad news, [[he started to choke up]] and could n't speak","While eating too quickly, [[he started to choke up]] on a piece of food","Hearing the sad news, he started to choke up and could n't speak","While eating too quickly, he started to choke up on a piece of food",he started to choke up,Er fing an zu ersticken.,"Als er die traurigen Nachrichten hörte, fing er an zu schluchzen und konnte nicht sprechen.","Während er zu schnell aß, fing er an, sich an einem Stück Essen zu verschlucken.",הוא התחיל להתכווץ בגרון,"שמע את החדשות העצובות, הוא התחיל להתקשות ולא יכול לדבר.","בזמן שהוא אכל מהר מדי, הוא התחיל להתכווץ על חתיכת אוכל.",वह बोलने में अटकने लगा।,"दुखद समाचार सुनकर, उसे रोक लग गई थी और वह बोल नहीं सका।","बहुत जल्दी खाने के दौरान, उसे खाने का एक टुकड़ा गले में फंस गया।",Elkezdett fuldokolni.,"Hallva a szomorú híreket, elkezdett fuldokolni és nem tudott beszélni.","Miközben túl gyorsan evett, elkezdett fulladozni egy falat ételtől.",그는 목이 메어오기 시작했다.,슬픈 소식을 듣고 그는 목이 메어 말을 할 수 없었다.,그는 너무 빨리 먹다가 음식 한 조각으로 기침을 하기 시작했다.,empezó a atragantarse,"Al escuchar la triste noticia, empezó a atragantarse y no pudo hablar.","Mientras comía demasiado rápido, empezó a atragantarse con un trozo de comida.",O bẹru si ọpọlọ.,"Lẹhin ti o ri iṣẹda kan ti o ṣadá, o bẹrẹ si jẹ ki o le mọ́ ohun.","Nitoripe o ti je soro soro, o bẹrẹ si gbe ẹran kan mu.",他开始哽咽了。,听到这个悲伤的消息，他开始哽咽，说不出话来。,他吃得太快，开始被一块食物噎住了。
122,clamp down,suppress or prevent something in an oppressive or harsh manner,The principal decided [[to clamp down on the situation]] by enforcing stricter rules,The mechanic used a tool [[to clamp down on the situation]] and secure the loose parts,The principal decided to clamp down on the situation by enforcing stricter rules,The mechanic used a tool to clamp down on the situation and secure the loose parts,to clamp down on the situation,Die Situation unter Kontrolle bringen.,"Der Schulleiter beschloss, die Situation durch die Durchsetzung strengerer Regeln in den Griff zu bekommen.","Der Mechaniker benutzte ein Werkzeug, um die Situation zu fixieren und die losen Teile zu sichern.",להכין סדק על המצב,המנהל החליט להתחמק מהמצב על ידי חיזוק כללים קשים יותר.,המכונאי השתמש בכלי כדי לכבות על המצב ולאבטח את החלקים המתפרקים.,स्थिति पर दबाव डालना,प्रधानाध्यापक ने स्थिति पर कड़ी से काबू पाने के लिए अधिक सख्त नियमों को प्रभावी ढंग से लागू करने का फैसला किया।,मैकेनिक ने स्थिति को क्लैंप करने और ढीले भागों को सुरक्षित करने के लिए एक उपकरण का उपयोग किया।,lecsapni a helyzetre,"Az igazgató úgy döntött, hogy szigorúbb szabályokat hajt végre a helyzet kezelése érdekében.","A szerelő egy eszközt használt arra, hogy rögzítse a laza alkatrészeket.",상황을 억제하다.,교장은 상황을 단호하게 처리하기 위해 더 엄격한 규칙을 시행하기로 결정했다.,정비공은 상황을 꽉 조여주고 느슨한 부품을 고정하기 위해 도구를 사용했다.,apretar la situación,El director decidió tomar medidas enérgicas sobre la situación haciendo cumplir reglas más estrictas.,El mecánico utilizó una herramienta para sujetar la situación y asegurar las piezas sueltas.,fi ara ile-ese pada sile,Olu-ori ti wa nipa lati gba awon ohun ti o wa ni oju-iwe yii lati fi owo si.,Oluwo oto lo wa funra lati gbe ile-iṣẹ ati ṣiṣẹ rẹ pada.,严厉打击这种情况,校长决定通过实施更严格的规定来加强对这种情况的控制。,机械师使用工具夹住情况并固定松动的部件。
123,clean slate,to wipe the past out and begin afresh,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",The artist decided [[to start with a clean slate]] by wiping off the chalkboard,"After apologizing, they decided to start with a clean slate and rebuild their friendship",The artist decided to start with a clean slate by wiping off the chalkboard,to start with a clean slate,Mit einem sauberen Blatt anfangen.,"Nachdem sie sich entschuldigt hatten, beschlossen sie, mit einem sauberen Blatt anzufangen und ihre Freundschaft wieder aufzubauen.","Der Künstler entschied sich, mit einem sauberen Blatt anzufangen, indem er die Tafel abwischte.",להתחיל מחדש,"לאחר התנצלותם, הם החליטו להתחיל מחדש ולבנות את הידרון שלהם.",האמן החליט להתחיל מחדש על גבי לוח השחור על ידי מחיקתו.,एक साफ़ पट्टी से शुरू करना।,"माफी मांगने के बाद, उन्होंने एक साफ़ पाटी से शुरुआत करने और अपनी दोस्ती को फिर से बनाने का फैसला किया।",कलाकार ने चाकबोर्ड को मिट्टी से साफ करके एक साफ स्लेट से शुरुआत करने का फैसला किया।,tiszta lappal kezdeni,"Bocsánatot kértek, majd úgy döntöttek, hogy tiszta lappal kezdik újra és újraépítik barátságukat.","Az művész úgy döntött, hogy tiszta lappal kezd és letörölte a táblát.",청소부터 시작하다.,"사과한 후, 그들은 깨끗한 상태에서 다시 시작하고 우정을 다시 쌓기로 결정했다.",예술가는 칠판을 지우면서 처음부터 다시 시작하기로 결정했다.,Empezar de cero.,"Después de disculparse, decidieron empezar de cero y reconstruir su amistad.",El artista decidió empezar desde cero borrando la pizarra.,lati bẹrẹ kan lọwọ.,"Lẹhin ti won bẹrẹ si, wọn qu siwaju pẹlu ọkan tuntun ati ṣe afihan wọn.",Omo-ọlọrun wa nira lati bẹrẹ kan pẹlu ẹrọ kan tó jẹ wipe wipe lori bọọlu.,从零开始,道歉后，他们决定从头开始，重建他们的友谊。,这位艺术家决定从零开始，擦掉黑板上的粉笔。
124,clean sweep,an irresistible victory,The team [[made a clean sweep]] by winning all the matches in the tournament,The janitor [[made a clean sweep]] of the classroom floor,The team made a clean sweep by winning all the matches in the tournament,The janitor made a clean sweep of the classroom floor,made a clean sweep,machte einen sauberen Schnitt,"Das Team hat einen sauberen Durchmarsch gemacht, indem es alle Spiele im Turnier gewonnen hat.",Der Hausmeister hat den Klassenraumboden gründlich gekehrt.,עשה ניקיון מוחלט,הקבוצה עשתה ניקיון על ידי זכייה בכל המשחקים בטורניר.,המנקה עשה ניקיון מלא של רצפת הכיתה.,साफ-सफाई कर दी,टीम ने टूर्नामेंट में सभी मैच जीतकर सफलता हासिल की।,जेनिटर ने कक्षा के फर्श को साफ कर दिया।,tiszta lappal kezdett,"A csapat tiszta sorral nyert, azaz megnyerte az összes mérkőzést a tornán.",Az iskolaőr kitakarította az osztályterem padlóját.,청소하다.,팀은 대회에서 모든 경기를 이겨 깨끗한 승리를 거두었습니다.,청소부가 교실 바닥을 청소하다.,Hizo una limpieza completa.,El equipo hizo una limpieza total al ganar todos los partidos en el torneo.,El conserje hizo una limpieza completa del suelo del aula.,ti ṣe afẹfẹ ayẹwo.,Igbakeji tiimu ti gbe gbogbo awọn adun ni ojula.,Olowo-ori ti ṣe afẹfẹ ayẹwo ni ilẹ iwe naa.,大获全胜,这个团队在比赛中赢得了所有比赛，取得了全胜。,清洁工打扫了教室地板。
125,clear the air,get rid of all doubts and negative feelings,"After the argument, [[we cleared the air with her]] by discussing our feelings",[[We cleared the air with her]] by opening the windows to let the smoke out,"After the argument, we cleared the air with her by discussing our feelings",We cleared the air with her by opening the windows to let the smoke out,we cleared the air with her,Wir haben mit ihr Klartext geredet.,"Nach dem Streit haben wir die Luft mit ihr geklärt, indem wir unsere Gefühle besprochen haben.","Wir haben die Luft mit ihr geklärt, indem wir die Fenster geöffnet haben, um den Rauch herauszulassen.",ניקינו את האוויר איתה.,"אחרי הווכחה, ניקינו את האוויר עם היא על ידי דיון ברגשות שלנו.",ניקינו את האוויר איתה על ידי פתיחת החלונות כדי להוציא את העשן.,हमने उसके साथ स्पष्टता स्थापित की।,"विवाद के बाद, हमने अपने भावों को चर्चा करके उसके साथ स्पष्ट कर दिया।",हमने उसके साथ वातावरण को साफ कर दिया था जब हमने खिड़कियों को खोलकर धुआं को बाहर निकालने दिया।,Tisztáztuk vele a dolgokat.,Az érvelés után tisztáztuk a viszonyunkat vele az érzéseink megbeszélésével.,"Kiszellőztettük vele a dolgot azzal, hogy kinyitottuk az ablakokat, hogy távozzon a füst.",우리는 그녀와 해소했다.,우리는 논쟁 후에 그녀와 우리의 감정을 이야기함으로써 상황을 해소했다.,우리는 창문을 열어 연기를 내보내면서 그녀와의 불쾌한 분위기를 해소했다.,Aclaramos el aire con ella.,"Después de la discusión, aclaramos las cosas con ella al discutir nuestros sentimientos.",Aclaramos el ambiente con ella abriendo las ventanas para dejar salir el humo.,Awa ti ṣe afẹfẹ pẹlu ọ.,"Lẹhin awọn iṣẹda, a ti ṣe afẹfẹ pẹlu rẹ nipa awọn aṣojú wa.","Awa ti ṣe afẹfẹ kan pẹlu ọlẹ ni oṣiṣẹ, nitori a ṣe ṣiṣẹ awọn ìfẹsẹ kan lati ṣe alagbeka.",我们已经和她澄清了误会。,争论之后，我们通过讨论我们的感受来消除了她和我们之间的误会。,我们打开窗户让烟雾散去，与她消除了误会。
126,clear the decks,get ready for action.,[[We cleared the decks for the event]] by finishing all our pending tasks,[[We cleared the decks for the event]] by removing all the furniture from the patio,We cleared the decks for the event by finishing all our pending tasks,We cleared the decks for the event by removing all the furniture from the patio,We cleared the decks for the event,Wir haben das Deck für das Ereignis geräumt.,"Wir haben das Deck für das Ereignis freigeräumt, indem wir alle unsere ausstehenden Aufgaben erledigt haben.","Wir haben das Deck für die Veranstaltung freigeräumt, indem wir alle Möbel von der Terrasse entfernt haben.",ניקינו את הכיוונים לאירוע.,ניקינו את הכרטיסים לאירוע על ידי השלמת כל המשימות הממתינות לנו.,ניקינו את המרפסת על מנת להכין את האירוע על ידי הסרת כל הריהוט ממנה.,हमने इवेंट के लिए तैयारी की।,हमने सभी लंबित कार्यों को समाप्त करके इवेंट के लिए तैयारी की थी।,हमने पेटियो से सभी फर्नीचर को हटाकर इवेंट के लिए जगह बनाई।,Készültünk az eseményre.,"Előkészítettük a teret az eseményre, befejezve az összes függőben lévő feladatunkat.",Előkészítettük a teraszt az eseményre az összes bútor eltávolításával.,우리는 행사를 위해 각종 준비를 마쳤다.,우리는 보류 중인 모든 작업을 마무리하여 이벤트를 위해 데크를 청소했습니다.,우리는 파티를 위해 모든 가구를 마당에서 제거하여 준비했습니다.,Limpiamos la cubierta para el evento.,Limpiamos la cubierta para el evento al terminar todas nuestras tareas pendientes.,Limpiamos la terraza para el evento quitando todos los muebles.,Awa ti ṣe afẹfẹ fun ẹtọ yii.,Awa ti ṣe awọn iṣẹ ti a ti kọjade lati ṣe awọn iṣẹ kan ti a ti kọ.,Awa ti ṣe afẹfẹ iranlọwọ fun ọjọkan nipa ti a ṣe yẹ ki gbogbo ẹ̀rọ ibi jẹ patio jẹ ki a yọ wọn lọ.,我们为活动清理了甲板。,我们完成了所有未完成的任务，为活动做好了准备。,我们通过清空露台上的所有家具为活动做好了准备。
127,close call,a narrow escape from disaster,He [[had a close call]] when he narrowly avoided a car accident,The two phones [[had a close call]] when they were placed side by side,He had a close call when he narrowly avoided a car accident,The two phones had a close call when they were placed side by side,had a close call,hatte eine knappe Begegnung,"Er hatte eine knappe Begegnung, als er einen Autounfall knapp vermieden hat.","Die beiden Handys hatten eine knappe Begegnung, als sie nebeneinander platziert wurden.",היה לו חוויה קרובה לקראת.,הוא חווה חוויה קרובה כשהוא ברח מפגיעה בתאונת רכב.,הטלפונים שניים חוו רגע קרוב כאשר הוצבו צמוד לצד זה לצדו.,एक करीबी बुला हुआ था।,उसे एक कार दुर्घटना से बचने का बड़ा खतरा टल गया था।,जब दो फोनों को एक साथ रखा गया तो उन्हें एक कटौती से बचाया गया।,szorosan megúszott,"Közel hívás volt, amikor éppen elkerülte az autóbalesetet.","A két telefon nagyon közel volt egymáshoz, amikor egymás mellé helyezték.",위험한 상황을 겪었다.,그는 차 사고를 간신히 피해서 위기를 모면했다.,두 개의 전화기가 옆에 놓여 있을 때 위험한 상황을 겪었다.,tuvo un susto cercano,Tuvo un susto cuando evitó por poco un accidente de coche.,Los dos teléfonos tuvieron un susto cuando fueron colocados uno al lado del otro.,ni ipoju ti wa.,O ti jẹ́ ọ̀rọ̀ kan pẹ̀lú ìdíje tí o sì tún jẹ́ káàkiri lọ́wọ́.,Awọn ẹrọ alaafia meji ti o wa ni ibeere kan ni won ti ṣe ni ibeere kan ni won ti ṣe ni ibeere kan.,险些发生意外。,他险些遇到车祸，幸好侥幸躲过了。,当两部手机并排放置时，它们差点碰到了。
128,cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future","Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts","As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm","Despite the success of the project, there was a cloud on the horizon in the form of budget cuts","As we looked out to sea, we noticed a cloud on the horizon signaling an approaching storm",a cloud on the horizon,eine Wolke am Horizont,Trotz des Erfolgs des Projekts gab es eine Wolke am Horizont in Form von Budgetkürzungen.,"Als wir auf das Meer hinausschauten, bemerkten wir eine Wolke am Horizont, die auf einen herannahenden Sturm hinwies.",ענן על האופק,"למרות ההצלחה של הפרויקט, הייתה ענן על האופק בצורת חתכות בתקציב.","כשהסתכלנו לים, שמנו לב לענן על האופק המציין סער קרוב.",आसमान में एक बादल,"परियोजना की सफलता के बावजूद, बजट कटौतियों के रूप में आसमान में एक बादल था।",हम समुद्र की तरफ देखते हुए एक बादल को देखा जो एक आने वाले तूफान की संकेत दे रहा था।,egy felhő az égen,A projekt sikerének ellenére felhők jelentek meg az égen a költségvetési megszorítások formájában.,"Ahogy a tengerre néztünk, észrevettünk egy felhőt a horizonton, ami egy közeledő vihart jelez.",지평선에 구름 하나,프로젝트의 성공에도 불구하고 예산 삭감이라는 구름이 지평선에 떠 있었다.,"바다를 바라보자, 저편 지평선에 접근하는 폭풍을 알리는 구름을 발견했다.",una nube en el horizonte,"A pesar del éxito del proyecto, había una nube en el horizonte en forma de recortes presupuestarios.","Mientras mirábamos hacia el mar, notamos una nube en el horizonte que señalaba la llegada de una tormenta.",ọ̀kan ìròyìn lórí òkunrin.,"Nitoripe owo-ori ireti ti o ti lo, o si tun ni oju-ewu ni ibi ti o ba ti gba iseju kan ti o ni owo.","Nigba ti a wa ri odo, a ri omiiran kan ni ibeere yii ti o so wipe ojo kan ti de.",地平线上的云朵,尽管该项目取得了成功，但预算削减的阴影笼罩在前方。,当我们朝海看去时，我们注意到地平线上有一朵云，预示着一场即将来临的风暴。
129,coast is clear,there is no danger in sight or that nobody can see you,"After the security guard left, we knew [[the coast is clear]] to enter the building","Looking through the binoculars, the sailor confirmed that [[the coast is clear]] of any obstacles","After the security guard left, we knew the coast is clear to enter the building","Looking through the binoculars, the sailor confirmed that the coast is clear of any obstacles",the coast is clear,Die Küste ist klar.,"Nachdem der Sicherheitsbeamte gegangen war, wussten wir, dass die Küste frei war, um das Gebäude zu betreten.","Durch das Fernglas sah der Seemann, dass die Küste frei von Hindernissen ist.",החוף פנוי,"לאחר שהשומר הלך, ידענו שהחוף פנוי לכניסה לבניין.","בוחן את החוף בעזרת המשקפת הטלסקופית, החייל אישר כי המסלול פנוי מכל מחסומים.",समुद्रतट पर कोई बाधा नहीं है।,"सुरक्षा गार्ड जाने के बाद, हमें पता था कि इमारत में प्रवेश करने के लिए सब साफ है।","बिनाके के माध्यम से देखते हुए, नाविक ने पुष्टि की कि किनारे पर कोई बाधा नहीं है।",Az út szabad.,"Miután az őr elment, tudtuk, hogy nincs akadálya belépni az épületbe.","A tengerész távcsövön keresztül nézve megerősítette, hogy a part mentén nincsenek akadályok.",해안선이 비어있다.,"경비원이 떠난 후에, 건물에 들어가도 괜찮을 것 같았다.","수원경을 통해, 선원은 해안이 장애물 없이 비어있다는 것을 확인했다.",La costa está despejada.,"Después de que el guardia de seguridad se fue, sabíamos que la costa estaba despejada para entrar al edificio.","Mirando a través de los binoculares, el marinero confirmó que la costa está libre de obstáculos.",Omiiran ni o wa.,"Lẹhin ti oga agbẹrẹ ń ṣiṣẹ, a mọ pe ẹnu ọna wa wẹwẹ lati wọ ilẹ-iṣẹ yii.","Lẹhin ti ojú omiṣẹ, o ti da aṣayan atiyanju lati ṣe iṣẹ rẹ pe awọn agbegbe kọja ti wa ni ibeere.",海岸线清晰可见。,保安离开后，我们知道可以进入建筑物了。,水手透过望远镜确认海岸没有任何障碍。
130,coin money,make a great deal of money easily or very quickly.,Their successful business venture had them [[coining money together]] in no time,"As mint workers, they were [[coining money together]] at the factory",Their successful business venture had them coining money together in no time,"As mint workers, they were coining money together at the factory",coining money together,Geld zusammen prägen.,Ihr erfolgreiches Geschäftsunternehmen ließ sie gemeinsam in kürzester Zeit Geld scheffeln.,Als Münzarbeiter prägten sie gemeinsam Geld in der Fabrik.,מטבעות משותפים,ההשקעה המצליחה שלהם בעסק הביאה להם להרוויח כסף ביחד בזמן קצר.,"כעובדי נעילת המטבע, הם יצרו מטבעות ביחד במפעל.",साथ में सिक्के बनाना,उनकी सफल व्यवसाय उन्हें कुछ ही समय में साथ मिलकर पैसे कमाने का मौका दिया।,"वे मिंट कर्मचारी थे, वे फैक्ट्री में साथ में सिक्के बना रहे थे।",pénzverés együtt,Sikeres üzleti vállalkozásuk hamarosan pénzverő géppé tette őket.,Mint munkásokként együtt verték a pénzt az üzemben.,함께 동전을 주조하기,그들의 성공적인 비즈니스 벤처는 그들이 함께 돈을 벌게 만들었다.,그들은 민트 공장에서 함께 동전을 찍는 일꾼이었다.,acuñando dinero juntos,Su exitosa empresa les hizo ganar dinero juntos en poco tiempo.,"Como trabajadores de la menta, estaban acuñando dinero juntos en la fábrica.",fi owo yara si ile-iwe yii,Ise-ọna ti o wa nile won ti ṣe afẹfẹ rẹ ni o kere ju ojo kan.,"Nibi ti won ni omo minti, won ti nṣe owo ni ibi ti won ti ṣe fẹẹrẹ.",共铸货币,他们成功的商业冒险使他们很快一起赚了很多钱。,作为造币厂的工人，他们一起铸造货币。
131,cold feet,loss of courage,[[She got cold feet]] just before her big presentation,"After walking in the snow without proper shoes, [[she got cold feet]]",She got cold feet just before her big presentation,"After walking in the snow without proper shoes, she got cold feet",She got cold feet,Sie hat kalte Füße bekommen.,Sie hat kurz vor ihrer großen Präsentation kalte Füße bekommen.,"Nachdem sie ohne geeignete Schuhe im Schnee gelaufen war, bekam sie kalte Füße.",היא נמלצה,היא נבהלה בדקה האחרונה לפני ההצגה הגדולה שלה.,"אחרי שהלכה בשלג ללא נעליים מתאימות, יש לה רגליים קרות.",उसे घबराहट हो गई।,उसे बड़े प्रस्तुति से पहले घबराहट हुई।,"उचित जूते नहीं पहने हुए बर्फ में चलने के बाद, उसे ठंडे पैर मिल गए।",Megijedt.,Megijedt az utolsó pillanatban a nagy prezentáció előtt.,"Azután, hogy hóban sétált megfelelő cipő nélkül, hideg lába lett.",그녀는 겁이 났다.,그녀는 큰 발표 직전에 겁이 나서 망설였다.,적절한 신발 없이 눈길을 걷다가 그녀는 발이 시리게 됐다.,Ella se echó atrás.,Ella se echó atrás justo antes de su gran presentación.,"Después de caminar en la nieve sin zapatos adecuados, se le enfriaron los pies.",O ti ní igba òkunrin.,O ti ní igba òkunrin.,"Lẹhin ti o ṣe iṣẹ igbinrin ni ẹru, o jẹ ẹru ọkàn.",她变得胆怯了。,她在重要的演讲前突然变得紧张。,在没有穿合适的鞋子在雪地里走了一段时间后，她的脚变冷了。
132,cold turkey,in a unexpected and sudden way,He quit smoking by [[going cold turkey]] without any assistance,"She was [[going cold turkey]] for her sandwich, but decided to add some cheese",He quit smoking by going cold turkey without any assistance,"She was going cold turkey for her sandwich, but decided to add some cheese",going cold turkey,kalter Entzug,"Er hörte auf zu rauchen, indem er auf eigene Faust aufhörte, ohne Hilfe.","Sie wollte ihr Sandwich ohne Belag essen, aber entschied sich dann doch, Käse hinzuzufügen.",המעבר לצרורות קרות,הוא עזב את העישון על ידי הפסקה מיידית ללא כל סיוע.,"היא התחילה לאכול סנדוויץ' ללא חזקות, אך החליטה להוסיף קצת גבינה.",तंग आकर छोड़ देना,उन्होंने किसी सहायता के बिना कोल्ड टर्की करके धूम्रपान छोड़ दिया।,"वह अपने सैंडविच के लिए कोल्ड टर्की खा रही थी, लेकिन उसने फिर से कुछ चीज़ जोड़ने का फैसला किया।",hirtelen leszokni,"Ő abbahagyta a dohányzást hirtelen, segítség nélkül.","Hideg pulykamellsonkát akart enni a szendvicséhez, de úgy döntött, hogy hozzáad némi sajtot.",급격히 중단하기,그는 어떤 지원 없이 급격히 담배를 끊었다.,"그녀는 샌드위치를 위해 급격히 음식을 줄이려 했지만, 치즈를 추가하기로 결정했다.",dejar de golpe,Dejó de fumar de golpe sin ninguna ayuda.,"Ella iba a comer su sándwich sin nada, pero decidió agregar un poco de queso.",ko si ẹran jẹun,O ti gbe igboya siwaju ni ojojumo kan ni o ko gbogbo ohun ti o ni ipoju.,"O ti gbe owo ara re fun ẹja ọkẹlẹ, sugbon ti wa ni ọrẹ ti o si ni ẹran.",戒冷-turkey,他戒烟是通过冷静戒断而没有任何帮助。,她本来想吃没有加任何东西的三明治，但最终决定加些奶酪。
133,come across,to meet someone,"While researching, I [[came across the old book]] that provided valuable information","Walking through the library, I accidentally stepped on and [[came across the old book]] lying on the floor","While researching, I came across the old book that provided valuable information","Walking through the library, I accidentally stepped on and came across the old book lying on the floor",came across the old book,stieß auf das alte Buch,"Während meiner Recherche stieß ich auf das alte Buch, das wertvolle Informationen lieferte.","Ich ging durch die Bibliothek und trat versehentlich auf das alte Buch, das auf dem Boden lag.",נתקלתי בספר הישן,"במהלך המחקר, נתקלתי בספר הישן שסיפק מידע ערך.",הלכתי דרך הספרייה ובטעות דרכתי על הספר הישן שהיה מונח על הרצפה.,पुरानी किताब से मुलाकात हुई।,"शोध करते समय, मैंने मूल्यवान जानकारी प्रदान करने वाली पुरानी किताब का पता लगाया।",मैं पुस्तकालय से गुजरते हुए भूल से जमीन पर पड़ी हुई एक पुरानी किताब पर कदम रख गया और उससे गुजर गया।,találtam az régi könyvet,"Kutatásaim során rábukkantam a régi könyvre, amely értékes információkat tartalmazott.","Áthaladva a könyvtáron, véletlenül ráléptem és rábukkantam az öreg könyvre, amely a padlón feküdt.",옛 책을 발견했다.,조사하던 중에 유용한 정보를 제공해준 오래된 책을 발견했다.,도서관을 거쳐가다가 바닥에 떨어져 있는 오래된 책을 우연히 발로 밟았다.,encontré el libro viejo,"Mientras investigaba, encontré el viejo libro que proporcionó información valiosa.","Caminando por la biblioteca, accidentalmente pisé y encontré el viejo libro tirado en el suelo.",wa ni igbeyawo alawọ ewe.,"Ni mo nṣe iṣẹ́ rẹ̀, mo rí ìwé tó jẹ́ ẹ̀rọ àgbà náà tó ṣe fún mi lórí àkọ́lé tó ṣe dáadáa.","Nigba ti mo n ṣe idoko ni ilẹkọọda, mo ti ri ati ṣe ẹrọ ti o jẹ iwe kika ti o wa ni isalẹ.",翻到了那本旧书。,在研究过程中，我偶然发现了一本旧书，它提供了有价值的信息。,走过图书馆时，我不小心踩到了一本老书，它正躺在地板上。
