idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_palm,p_f_de_palm,p_l_de_palm,p_a_he_palm,p_f_he_palm,p_l_he_palm,p_a_hi_palm,p_f_hi_palm,p_l_hi_palm,p_a_hu_palm,p_f_hu_palm,p_l_hu_palm,p_a_es_palm,p_f_es_palm,p_l_es_palm,p_a_yo_palm,p_f_yo_palm,p_l_yo_palm,p_a_zh_palm,p_f_zh_palm,p_l_zh_palm,p_a_ko_palm,p_f_ko_palm,p_l_ko_palm
die in harness,to expire while working,"The dedicated employee [[died in harness]], working tirelessly until the end",The poor horse [[died in harness]] while pulling the heavy load,"The dedicated employee died in harness, working tirelessly until the end",The poor horse died in harness while pulling the heavy load,died in harness,sterben im Geschirr,Der engagierte Mitarbeiter starb im Dienst arbeitete unermüdlich bis zum Ende,Das arme Pferd starb im Geschirr als es die schwere Last zog,נהרג בעת שירות,עובד מסור מת בעבודה עובד ללא לאות עד הסוף,הסוס המסכן מת בזמן שמשך את המטען הכבד,हारने के बाद,कर्मठ कर्मचारी अंत तक अथक परिश्रम करते हुए काम करते हुए मर गया,भारी बोझ खींचते हुए गरीब घोड़ा मर गया,lovasbalesetben halt meg,A szorgalmas alkalmazott a munkában halt meg fáradhatatlanul dolgozott a végsőkig,A szegény ló a súlyos teher húzása közben halt meg,murió en el trabajo,El empleado dedicado murió en el trabajo trabajando incansablemente hasta el final,El pobre caballo murió en el arnés mientras tiraba de la pesada carga,kú nínú ìṣẹ́,Ẹlẹ́rìíṣẹ́ tí ó gbẹ́kẹ̀rẹ̀ ṣiṣẹ́ kú nínú ìṣẹ́ ó ṣiṣẹ́ láì ìfẹ́sẹ́wọnsẹ́ títí di ìgbà tó kú,Ẹṣin ọlọ́rọ̀ kú nínú ẹ̀rọ ìṣọ́wọ́ nígbà tí ó ń ṣe ẹrù tí ó ń ṣòro,死于岗位,这位敬业的员工在工作岗位上去世，直到生命的最后一刻都没有停歇,这匹可怜的马在拉着沉重的负担时死在了马具上,갑옷을 입고 죽다,헌신적인 직원은 끝까지 지치지 않고 일하다가 사망했다,불쌍한 말은 무거운 짐을 끌다가 갑옷을 입고 죽었다
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.","By spreading false rumors about the boss, he [[was digging his own grave]] at work","As a cemetery worker, he [[was digging his own grave]] to prepare for his eventual burial","By spreading false rumors about the boss, he was digging his own grave at work","As a cemetery worker, he was digging his own grave to prepare for his eventual burial",was digging his own grave,gräbt sein eigenes Grab,Durch das Verbreiten von falschen Gerüchten über den Chef grub er sich selbst das Grab bei der Arbeit,Als Friedhofsarbeiter grub er sein eigenes Grab um sich auf seine Beerdigung vorzubereiten,נוקב את קברו,תוך כדי הפצת שמועות כוזבות על הבוס הוא חפר את קברו בעבודה,עובד בית הקברות הוא חפר את קברו שלו כדי להתכונן לקבורה שלו,अपनी ही कब्र खोद रहा था,बॉस के बारे में झूठी अफवाहें फैलाकर वह काम पर अपनी खुद की कब्र खोद रहा था,एक कब्रिस्तान के कर्मचारी के रूप में वह अपने अंतिम अंतिम संस्कार की तैयारी के लिए अपनी खुद की कब्र खोद रहा था,ásott a saját sírját,Ő maga ásta sírját amikor a főnökről hamis pletykákat terjesztett,Ő volt a temető őrzője és saját sírját ásta hogy felkészüljön a végső nyugalomra,estaba cavando su propia tumba,Al difundir rumores falsos sobre el jefe se estaba cavando su propia tumba en el trabajo,Como trabajador de un cementerio estaba cavando su propia tumba para prepararse para su eventual entierro,ń ṣe iṣẹ́ ìkú rẹ,Nípa ìgbé ìrò òtító nípa olórí ó ń ṣe ikú ara rẹ̀ nínú iṣẹ́,Gẹ́gẹ́ bí ọmọ ọ̀dọ̀ tó ń ṣiṣẹ́ níbi ibi ìkú ó ń ṣí ìgò ara rẹ̀ láti ṣe ìṣẹ̀dá ìkú rẹ̀,在给自己挖坟,他散布关于老板的谣言，是在工作中给自己挖坑,作为一名墓地工人，他正在挖自己的坟墓，为最终的埋葬做准备,그의 무덤을 파고 있었다,사장님에 대한 거짓 소문을 퍼뜨리면서 그는 직장에서 자신의 무덤을 파고 있었다,묘지 관리인으로서 그는 자신의 장례를 준비하기 위해 자신의 무덤을 파고 있었다
do the trick,successfully achieve a result,"Adding a little more salt to the soup, [[that should do the trick]]","Performing a magic act, the magician said '[[that should do the trick]]' as he pulled a rabbit from his hat","Adding a little more salt to the soup, that should do the trick","Performing a magic act, the magician said 'that should do the trick' as he pulled a rabbit from his hat",that should do the trick,das sollte reichen,'Ein bisschen mehr Salz in die Suppe das sollte reichen','Das sollte den Trick tun' sagte der Zauberer als er ein Kaninchen aus seinem Hut zog,וזהו שיעשה את העבודה,קצת יותר מלח במרק זה צריך לעשות את העבודה,תוך כדי ביצוע תרגיל קסמים אמר הקוסם זה אמור לעשות את העבודה כששלף ארנב מהכובע שלו,यह काम कर देगा,थोड़ा और नमक सूप में डालें यह काम कर देगा,टोपी से खरगोश निकालते हुए जादूगर ने कहा 'यह काम कर देगा',talán ez a megoldás,adj még egy kis sót a leveshez és máris jó lesz,A varázsló miközben egy trükköt mutatott be azt mondta hogy ezt meg kell tennie miközben egy nyulat húzott ki a kalapjából,ése debería ser el truco,Añadiendo un poco más de sal a la sopa eso debería hacer el truco,Realizando un acto de magia el mago dijo 'eso debería hacer el truco' mientras sacaba un conejo de su sombrero,ó ní ṣe ìṣẹ́,Ìfi òunjẹ òunjẹ diẹ sínú ìwúlò ó yẹ kí ó ṣe ìṣẹ́,Nígbà tí òṣèlú ń ṣe ìṣẹ́ ìyanu ó sọ pé 'ìyẹn ó ṣe ìṣẹ́ ìyanu náà' bí ó ṣe ń mú ẹran àgbá kúrò nínú ìkọ̀kọ̀ rẹ̀,这应该可以解决问题,再加点盐，就好了,魔术师表演魔术，他从帽子里掏出一只兔子，说道：“这应该就行了。”,괜찮을 거야,국에 소금을 조금 더 넣으면 될 거예요,마술을 하는 마술사는 모자에서 토끼를 꺼내며 '이게 답이 될 거야'라고 말했다
dodge a bullet,to narrowly avoid a very serious problem or a disaster,"When the company went bankrupt, I realized I [[dodged a bullet there]] by not investing","During the paintball game, he [[dodged a bullet there]] by quickly ducking behind a barrier","When the company went bankrupt, I realized I dodged a bullet there by not investing","During the paintball game, he dodged a bullet there by quickly ducking behind a barrier",dodged a bullet there,Da haben wir eine Kugel abgewehrt,Als das Unternehmen pleite ging wurde mir klar dass ich durch mein Nichtinvestieren einer Kugel ausgewichen war,Während des Paintball-Spiels wich er dort einer Kugel aus indem er sich schnell hinter eine Barriere duckte,ניצלנו מירי,כשהחברה קרסה הבנתי שהצלחתי לחמוק מקליע כשלא השקעתי,במהלך משחק הפיינטבול הוא התחמקות מכדור שם על ידי צלילה מהירה מאחורי מחסום,किस्मत से बच गए,जब कंपनी दिवालिया हो गई तो मुझे एहसास हुआ कि मैंने निवेश न करके एक गोली को चकमा दिया,पेनबॉल गेम के दौरान उन्होंने एक बाधा के पीछे जल्दी से डक करके एक गोली को चकमा दिया,óriásit menekült,Amikor a cég csődbe ment rájöttem hogy szerencsém volt hogy nem fektettem be,Ő a paintball játék során egy golyót elkerült gyorsan bebújt egy akadály mögé,evadí una bala,Cuando la empresa quebró me di cuenta de que había esquivado una bala al no invertir,Durante el juego de paintball esquivó una bala allí al agacharse rápidamente detrás de una barrera,ó yà níbẹ,Nigbati ile-iṣẹ́ náà ṣe ìfẹ́sẹ́wọn mo mọ pé mo yẹ̀ ẹ̀yìn nípa tí mo ò ṣe ìfowosílẹ̀,Nígbà ìdíje paintball ó yára sọdò ìdà níbẹ̀ nípa ìyìn ìdàbò,躲过一劫,当公司破产时，我意识到自己没有投资是躲过了一劫,在一次彩弹游戏中，他迅速躲到障碍物后面躲过了一颗子弹,위기에서 벗어났다,회사가 파산했을 때 투자하지 않았기 때문에 운이 좋았다는 것을 깨달았습니다,페인트볼 게임 도중 그는 장애물 뒤로 재빨리 몸을 숙여 총알을 피했다
does exactly what it says on the tin,someone or something is exactly as they seem,The new software [[does exactly what it says on the tin]] and is very user-friendly,The paint [[does exactly what it says on the tin]] and dries in just 30 minutes,The new software does exactly what it says on the tin and is very user-friendly,The paint does exactly what it says on the tin and dries in just 30 minutes,does exactly what it says on the tin,leistet genau das was es verspricht,Die neue Software macht genau das was sie verspricht und ist sehr benutzerfreundlich,Die Farbe tut genau das was auf der Dose steht und trocknet in nur 30 Minuten,עושה בדיוק מה שכתוב על הקופסה,תוכנה חדשה עושה בדיוק מה שכתוב על הקופסה והיא מאוד ידידותית למשתמש,הצבע עושה בדיוק מה שכתוב על הקופסה ומתייבש תוך 30 דקות,टिनस पर जो लिखा है वह ठीक वैसा ही करता है,नया सॉफ्टवेयर ठीक वैसा ही करता है जैसा कि टिन पर लिखा है और यह बहुत उपयोगकर्ता के अनुकूल है,पेंट ठीक वैसा ही करता है जैसा कि टिन पर लिखा होता है और केवल 30 मिनट में सूख जाता है,tegye pontosan azt amit a dobozon ír,A új szoftver pontosan azt teszi amit a dobozon ír és nagyon felhasználóbarát,A festék pontosan azt teszi amit a dobozon ír és mindössze 30 perc alatt megszárad,hace exactamente lo que dice en la lata,El nuevo software hace exactamente lo que dice en la lata y es muy fácil de usar,La pintura hace exactamente lo que dice en la lata y se seca en solo 30 minutos,ṣe ìṣẹ́ tó ń sọ nínú ìgbò,Ìṣàfilẹ̀ ìṣàkóso tuntun náà ń ṣe ohun tí ó sọ nínú ìṣàfilẹ̀ náà lọ́pọ̀lọpọ̀ ó sì ń ṣe ìṣàkóso tó ṣeé rí tó ṣeé gbọ́,Àwọn àwọ ṣe ìṣẹ́ tó tó ọ̀rọ̀ tó wà nínú ìkòkò rẹ̀ ó sì gbẹ́ nínú ìṣẹ́jú mẹ́ta,完全符合宣传的效果,新软件完全符合其宣传内容，而且非常易于使用,这种油漆完全符合罐子上的说明，只需 30 分钟即可干燥,깡통에 적힌 대로 정확히 해냅니다,새로운 소프트웨어는 딱 겉면에 적힌 대로 작동하며 매우 사용자 친화적입니다,캔에 적힌 대로 페인트가 마르는데 30분밖에 걸리지 않습니다
double-edged sword,something that could either help you or hurt you,"Having a high-profile job can be [[a double-edged sword in this situation]], as it brings both prestige and stress",The knight wielded [[a double-edged sword in this situation]] to defend himself against multiple attackers,"Having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",The knight wielded a double-edged sword in this situation to defend himself against multiple attackers,a double-edged sword in this situation,ein zweischneidiges Schwert in dieser Situation,Ein hochrangiger Job kann in dieser Situation ein zweischneidiges Schwert sein da er sowohl Prestige als auch Stress mit sich bringt,Der Ritter schwang in dieser Situation ein Schwert mit zwei Schneiden um sich gegen mehrere Angreifer zu verteidigen,סכין בעלת שני להבים במצב זה,עבודה בפרופיל גבוה יכולה להיות חרב פיפיות במצב זה מכיוון שהיא מביאה גם יוקרה וגם לחץ,אבירים השתמשו בחרב דו-להב במצב זה כדי להגן על עצמם מפני מספר תוקפים,इस स्थिति में एक दोधारी तलवार,इस स्थिति में एक उच्च प्रोफ़ाइल वाली नौकरी एक दोधारी तलवार हो सकती है क्योंकि यह प्रतिष्ठा और तनाव दोनों लाती है,मल्टीपल हमलावरों से खुद को बचाने के लिए नाइट ने इस स्थिति में एक दोधारी तलवार का इस्तेमाल किया,ebből a helyzetből kiindulva kétélű fegyver,A magas pozíciójú állás ebben a helyzetben kétélű fegyver lehet mivel egyaránt presztízst és stresszt okoz,A lovag ebben a helyzetben egy kétélű karddal védekezett a több támadó ellen,una espada de doble filo en esta situación,Tener un trabajo de alto perfil puede ser una espada de doble filo en esta situación ya que trae tanto prestigio como estrés,El caballero blandió una espada de doble filo en esta situación para defenderse de múltiples atacantes,òfin tó ní ìwà tó ń ṣe ìjà nínú ìpàdé yìí,Ìṣẹ́ tó ní ìpèye tó ga lè jẹ́ ọ̀pá tó ní ìwọn méjì ní ìtọ́sọ̀nù yìí nítorí pé ó ń mú ìyì àti ìṣínú wá,Ọlọ́jà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣe ìjà tó ń ṣ,在这种情况下，这是一个双刃剑,在这种情况下，高调的工作可能是一个双刃剑，因为它既带来了声望，也带来了压力,骑士在这种情况下挥舞着一把双刃剑来防御多名攻击者,이 상황에서는 양날의 검,명성 있는 직업을 갖는 것은 명성과 스트레스를 동시에 가져다주기 때문에 이 상황에서는 양날의 검이 될 수 있습니다,기사는 이 상황에서 여러 명의 공격자로부터 자신을 방어하기 위해 양날검을 휘둘렀다
down to earth,"decent, simple, realistic","Despite her fame, she remained [[a down-to-earth person]] who was easy to talk to","The astronaut, once back from space, became [[a down-to-earth person]] again","Despite her fame, she remained a down-to-earth person who was easy to talk to","The astronaut, once back from space, became a down-to-earth person again",a down-to-earth person,bodenständig,Trotz ihres Ruhms blieb sie eine bodenständige Person mit der man gut reden konnte,Der Astronaut wurde nach seiner Rückkehr aus dem All wieder bodenständig,אדם פשוט,חרף תהילתה היא נותרה אדם פשוט ונעים לדבר איתו,אסטרונאוטים לאחר חזרה מהחלל שוב הופכים לאנשים רגילים,धरती से जुड़ा हुआ व्यक्ति,ख्याति के बावजूद वह एक डाउन-टू-अर्थ व्यक्ति बनी रहीं जिनसे बात करना आसान था,अंतरिक्ष से वापस आने के बाद अंतरिक्ष यात्री फिर से एक साधारण व्यक्ति बन गया,szilárd talajjal rendelkező ember,Ő a híres énekesnő mégis földhözragadt maradt és könnyen lehetett vele beszélgetni,Űrhajósként visszatérve a Földre ismét földi emberré vált,una persona con los pies en la tierra,A pesar de su fama ella seguía siendo una persona sencilla y fácil de tratar,El astronauta una vez de vuelta del espacio volvió a ser una persona terrenal,Ẹni tí ó ní ìwà tí ó ṣe ìwà ọmọnìyàn,Láìka ìlúmọ̀ọ́rùn rẹ̀ ó ń ṣe ọmọ ará tí ó ṣeé bá sọrọ̀,Ẹlẹ́rìí-ayé tó ṣe ìrìn-àjò lọ sí ọ̀run nígbà tó ṣe ìpadà sílẹ̀ ó di ẹni tí ó ń ṣe ìṣẹ́ ọ̀lọ́pàá mọ́,脚踏实地的人,尽管她很有名，但她仍然是一个平易近人的人,宇航员从太空回来后，又变成了脚踏实地的人,땅에 발 붙인 사람,그녀의 명성에도 불구하고 그녀는 대화하기 쉬운 소박한 사람으로 남아 있었다,우주에서 돌아온 우주비행사는 다시 땅에 발을 디뎠다
draw a blank,to get no response from someone,"When asked about the details of the project, he [[was drawing a blank]]",The artist [[was drawing a blank]] canvas to prepare for her next masterpiece,"When asked about the details of the project, he was drawing a blank",The artist was drawing a blank canvas to prepare for her next masterpiece,was drawing a blank,zeichnete eine leere Fläche,Auf Nachfrage nach den Details des Projekts war er ratlos,Die Künstlerin zeichnete eine leere Leinwand um sich auf ihr nächstes Meisterwerk vorzubereiten,חשבתי על זה,כשנשאל על פרטי הפרויקט הוא לא ידע מה לענות,האמנית ציירה על בד ריק כדי להתכונן ליצירת המופת הבאה שלה,खाली हाथ था,जब उनसे परियोजना के विवरण के बारे में पूछा गया तो वह खाली हाथ थे,कलाकार अपनी अगली उत्कृष्ट कृति की तैयारी के लिए एक खाली कैनवास बना रहा था,üres kézzel maradt,A projekt részleteiről kérdeztem de nem tudott semmit,A művész egy üres vásznat rajzolt hogy felkészüljön következő remekművére,estaba en blanco,Cuando se le preguntó sobre los detalles del proyecto no sabía nada,La artista estaba dibujando un lienzo en blanco para preparar su próxima obra maestra,ń ṣe ìwájú tí ó ṣe ìyà,Nigbati wọ́n bá ń sọrọ̀ nípa àwọn ìpinnu ìṣẹ́ náà ó ń sọ ọ̀rọ̀ tí ó ń ṣe ẹ̀yà ẹ̀yà,Ọmọ ọ̀ṣẹ́ náà ń ṣe ìwé ọ̀ṣẹ́ tí kò ní nǹkan tí ó wà nínú láti ṣe ìṣẹ́ ọ̀ṣẹ́ tó ń bọ̀,一片空白,当被问及项目的细节时，他一无所知,这位艺术家正在画一张空白的画布，为她的下一部杰作做准备,빈 칸을 채우고 있었다,프로젝트의 세부 사항에 대해 물었을 때 그는 빈 칸을 그렸습니다,화가가 다음 걸작을 준비하기 위해 빈 캔버스를 그리고 있었다
drive a wedge between,to damage the good relationship that two people or groups of people have,The disagreement started [[to drive a wedge between them]] and their friendship,The lumberjack used a mallet [[to drive a wedge between them]] and split the log,The disagreement started to drive a wedge between them and their friendship,The lumberjack used a mallet to drive a wedge between them and split the log,to drive a wedge between them,zwingen sich zu trennen,Der Streit begann einen Keil zwischen sie und ihre Freundschaft zu treiben,Der Holzfäller benutzte einen Hammer um einen Keil zwischen sie zu treiben und den Baumstamm zu spalten,לייצר פילוג ביניהם,הסכסוך החל להפריד ביניהם ולפגוע בחברותם,יעץ היערות השתמש בפטיש כדי להכות בפטיש בין שניים ולפצל את הגזע,बीच में दरार डालने के लिए,असहमति ने उनके बीच और उनकी दोस्ती में दरार डालना शुरू कर दिया,लकड़ी काटने वाले ने उन दोनों के बीच एक कील चलाने के लिए एक लकड़ी का उपयोग किया और लॉग को विभाजित किया,kettejük közé ékelni,A nézeteltérés elkezdte szétfeszíteni a barátságukat,A favágó kalapáccsal ütött egy ékbe hogy kettévágja a rönköt,para dividirlos,El desacuerdo comenzó a crear una brecha entre ellos y su amistad,El leñador usó un mazo para clavar una cuña entre ellos y partir el tronco,lati ṣe ìyàtọ̀ láàrin wọn,Ìjàmọ́ náà bẹ̀rẹ̀ sí ń ṣe ìyàtọ̀ láàrin wọn àti ìbátan wọn,Ọlọ́gbẹ́ igi náà lo ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ́n ọwọ́ tó ń ṣe ìbọ,挑拨他们之间的关系,分歧开始在他们之间和他们的友谊中制造隔阂,伐木工用木槌在两块木头之间敲入楔子，将木头劈开,틈을 만들다,의견 충돌이 그들 사이에 끼어들기 시작했고 그들의 우정은 깨지기 시작했다,나무꾼은 망치를 이용해 쐐기를 박아 통나무를 쪼개었다
drive up the wall,to make someone angry or irritated,His constant humming is [[driving me up the wall]],The remote-controlled car was [[driving me up the wall]] as it climbed vertically,His constant humming is driving me up the wall,The remote-controlled car was driving me up the wall as it climbed vertically,driving me up the wall,treibt mich in den Wahnsinn,Sein ständiges Summen geht mir auf die Nerven,Das ferngesteuerte Auto trieb mich an die Wand als es senkrecht kletterte,גורם לי להשתגע,זמזומו המתמיד מעלה לי את העצבים,הרכב הממונע מרחוק גרם לי להשתגע כשטיפס אנכית,मुझे दीवार पर चढ़ा रहा है,उसका लगातार गुनगुनाना मुझे दीवार पर चढ़ा रहा है,रीमोट-कंट्रोल वाली कार मुझे दीवार पर चढ़ा रही थी क्योंकि यह सीधा चढ़ रहा था,őrjít,Őszintén szólva a folytonos zümmögése felháborít,A távirányítós autó a falra hajtotta ahogy függőlegesen felmászott,volviéndome loco,Su constante tarareo me está volviendo loco,El coche a control remoto me estaba volviendo loco mientras subía verticalmente,ń ṣe mí ìyà,Ìyìn-ìyìn rẹ̀ tí ó ń ṣe ń ṣe mí ní ìyà,Ẹrọ ìkọ̀kọ̀ ọkọ̀ ò ń ṣe mí ní ìdàgbàsókè bí ó ṣe ń gbà òkè ní ìtọ́sílẹ̀,让我抓狂,他不停地哼歌让我很烦,遥控车垂直爬升，把我吓得直往墙上爬,짜증나게 하다,그의 끊임없는 콧노래가 나를 미치게 한다,리모컨으로 조종하는 차가 수직으로 올라가면서 나를 벽에 몰아넣고 있었다
