idiom,meaning,source,label,translation_ko,equiv_idiom_ko,discard_ko,translation_zh,equiv_idiom_zh,discard_zh,complete_ko,complete_zh
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],figurative,직업을 갖는 것은 [[살 집을 마련하는 것]]에 있어 필수적입니다.,False,False,找份工作对[[养家糊口]]很重要,False,False,True,True
a roof over your head,a place to live,"During the rainstorm, [[having a roof over your head]] kept you dry",literal,비바람 속에서 [[당신의 머리 위에 있는 지붕은]] 당신의 건조함을 유지시켜줍니다.,False,False,在暴雨中，[[头顶有个屋檐]]可以避免淋湿,False,False,True,True
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,figurative,,True,False,他如果觉得可以没有后果的辞职，就是[[脑筋有问题]],False,False,True,True
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,The wobbly table [[has a screw loose]] and needs to be fixed,literal,,True,False,摇晃的桌子[[有个松螺丝]]需要被修好,False,False,True,True
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",figurative,시험을 망치고 나서 [[그녀는]] 더 공부를 열심히 하기 위한 [[동기부여를 받았습니다]].,False,False,在考试失利后，她[[警醒]]要努力学习,False,False,True,True
a wakeup call,something that makes you realize that you need to take action to change a situation,[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,literal,[[그녀는]] 아침 6시에 호텔 프론트 데스크로 부터 [[기상 알람을 받았습니다]].,False,False,她早上六点接到酒店前台的[[叫早电话]],False,False,True,True
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining",figurative,그는 항상 파티에서 끊임 없이 불평하는 [[흥을 깨는 사람이었습니다]].,False,False,他在聚会上总是[[扫兴的那个人]]，不停地抱怨,False,False,True,True
a wet blanket,a person who spoils other people's fun.,"After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground",literal,비바람 이후에 돗자리는 [[젖은 담요]]로 땅에 있었습니다.,False,False,在暴雨后，[[野餐布在地上被打湿]],False,False,True,True
a whale of,very big (piece) of something,We [[had a whale of a time]] at the amusement park,figurative,,False,True,我们在游乐园[[玩得很开心]],False,False,True,True
a whale of,very big (piece) of something,The marine biologist [[had a whale of a time]] studying the humpback's behavior,literal,,False,True,海洋生物学家[[有了一只鲸鱼]]以研究座头鲸的行为,False,False,True,True
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The company [[started a witch hunt]] to find the person responsible for the leak,figurative,,True,False,该公司[[展开了一场有针对性的清洗]]，以找到泄密事件的责任人,False,False,True,True
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately",literal,,True,False,他们[[搜捕女巫]]以准确重现历史事件,False,False,True,True
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,figurative,동거를 결정하는 것은 그들이 함께 생활할 수 있는지 확인하기 위한 [[진정한 척도]]였습니다.,False,False,同居是对他们关系的[[关键考验]]，看他们能否适应和彼此生活,False,False,True,True
acid test,a test that proves a hypothesis or validity of a product or idea,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,literal,그들은 함께 작업하며 다양한 용액의 pH를 측정해야 했기에 그 화학 실험은 [[그들간의 관계를 측정하는 산성 시험]]이었습니다. ,False,False,这个化学实验是对它们的[[酸度测试]]，因为它们一同决定溶液的pH值,False,False,True,True
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,figurative,새로운 전략을 시도한 후 회사는 [[모든 부문에서 향상]]을 보였습니다.,False,False,实施新战略后，公司[[全面改善]],False,False,True,True
across the board,applying to everyone,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,literal,체스 마스터는 말의 위치를 조정하며 [[전 체스판을 걸친 향상]]을 이루어냈습니다.,False,False,棋手通过改变棋子位置[[获得在棋盘上的优势]],False,False,True,True
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict",figurative,루머를 퍼뜨림으로서 [[그들은]] 현재 진행중인 갈등을 [[더욱 악화시켰습니다]].,False,False,他们通过散步谣言对现有的冲突[[火上浇油]],True,False,True,True
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood",literal,"불장작을 계속 타오르게 하기 위해, 그들은 더 많은 나무를 던져서 [[불길에 연료를 추가했습니다]].",False,False,为了让篝火继续燃烧，他们[[往火里扔了更多木头当燃料]],True,False,True,True
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project",figurative,"마감시간이 다가오자, 우리는 프로젝트를 완료하기 위해 [[바쁘게 움직였습니다]].",False,False,当截止日期临近，我们在[[和时间赛跑]]以完成项目,True,False,True,True
against the clock,in a great hurry to finish something before a particular time,"In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels",literal,이 독특한 대회에서는 대회 참가자들이 바퀴가 달린 커다란 시계보다 더 빨리 달리기 위해서 [[시계와 경주를 하고 있었습니다]],False,False,在一个特别的竞赛中，参赛者[[和钟赛跑]]，试图超过一个有轮子的巨大钟表,True,False,True,True
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,figurative,그의 직장을 그만두는 결정은 가족의 반대를 무릅쓴 [[정상에 어긋난 행동]]이었습니다.,False,False,他辞职的决定[[违背]]了他家人的期望,False,False,True,True
against the grain,a difficult path to be followed,"When sanding wood, [[going against the grain]] can cause scratches and damage",literal,"나무를 갈 때, 나무 [[결의 반대 방향]]으로 갈아내는 것은 긁힘과 손상을 일으킬 수 있습니다",False,False,打磨木材时，[[逆着纹路打磨]]会造成划伤及损坏,False,False,True,True
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",figurative,새로운 기술을 끊임없이 배우다 보니 그녀는 자기 분야에 있어서 [[시대를 앞서고 있었습니다]],False,False,不断学习新技能使得她在行业中[[处于领先地位]],False,False,True,True
ahead of the curve,better than others,The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,literal,자동차 경주 선수는 트랙에서의 주도권을 유지한 채로 [[굽은 도로에서 앞장서고 있었습니다]].,False,False,在赛道中的领先使得赛车手能[[在弯道中占先]],False,False,True,True
ahead of the pack,more successful than other people who are trying to achieve the same things,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry",figurative,혁신을 계속하며 그 회사는 산업을 [[이끌고 있습니다]],False,False,持续创新使得公司在行业中[[一骑绝尘]],False,False,True,True
ahead of the pack,more successful than other people who are trying to achieve the same things,"During the marathon, the lead runner was [[staying ahead of the pack]] of other runners",literal,마라톤 도중 선두 주자는 다른 주자들의 [[무리를 앞서고 있었습니다]],False,False,在马拉松比赛中，领跑者[[持续跑在一大群跑者之前]],False,False,True,True
all Greek to me,used to convey that you cannot understand what is being said or written,"When he started talking about quantum physics, [[it's all Greek to me]]",figurative,그가 양자약학에 대해 설명하기 시작했을 때 [[저는 하나도 알아들을 수 없었습니다]],False,False,当他开始谈论量子物理时，对我像[[听天书一样]],False,False,True,True
all Greek to me,used to convey that you cannot understand what is being said or written,"Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]",literal,그 언어를 잘 모르는 제가 그리스의 신문을 읽으면 [[그것은 제게 그리스어 투성이입니다]],False,False,因为我不懂这语言，当我看希腊报纸时，它们就是[[一堆希腊字母]],False,False,True,True
all the rage,when something is the height of popularity,"In the 90s, [[the new fashion trend was all the rage]] among teenagers",figurative,90년대에 [[새로운 패션 트렌드는]] 청소년층 사이에서 [[엄청난 인기를 누렸습니다]],False,False,在90年代，[[新时尚潮流在青少年中风靡一时]],False,False,True,True
all the rage,when something is the height of popularity,"When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more",literal,"매장에서 재고가 바닥나자, [[새로운 패션 트랜드는]] 더 많은 것들을 요구하는 화난 고객들의 [[분노의 대상이었습니다]]",False,False,当商店存货不足，客户愤怒地要求更多供货，[[最新的时髦货成为愤怒焦点]],False,False,True,True
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",Her career [[went all the way up]] after she landed a major role in a blockbuster movie,figurative,,True,False,在她在大片出演主角后，职业生涯[[平步青云]],False,False,True,True
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",The elevator [[went all the way up]] to the top floor of the building,literal,,True,False,电梯[[向上通向]]大楼的最顶层,False,False,True,True
ants in pants,be extremely restless,He [[had ants in his pants]] and couldn't focus on the presentation,figurative,그는 [[몹시 불안해하며]] 발표에 집중을 하지 못했습니다,False,False,他[[焦躁不安]]，不能专心于演讲,False,False,True,True
ants in pants,be extremely restless,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]",literal,소풍 중에 그는 실수로 개미집에 앉아서 [[바지에 개미가 들어갔습니다]],False,False,野餐时，他不小心坐在蚁丘上，[[裤子里有蚂蚁]],False,False,True,True
apple polisher,a flatterer; toady,He got the promotion by [[being an apple polisher]] and constantly flattering the boss,figurative,그는 [[아첨꾼이 되어]] 계속해서 상사의 비위를 맞추는 것으로 승진했습니다,False,False,他升迁是靠做一个[[谄媚小人]]，不断奉承老板而来,False,False,True,True
apple polisher,a flatterer; toady,She took up the job of [[being an apple polisher]] at the fruit market,literal,그녀는 과일 시장에서 [[사과 광택제]]의 업무를 맡았습니다,False,False,她做起了在水果市场[[擦拭苹果]]的工作,False,False,True,True
arm in arm,to be closely allied,The two companies [[walked arm in arm]] in their joint venture,figurative,두 회사는 합작 투자를 통해 [[가까운 동료가 되었습니다]],False,False,两家公司成立合资企业，[[携手发展]],False,False,True,True
arm in arm,to be closely allied,"The couple [[walked arm in arm]] down the street, enjoying the evening",literal,그 커플은 [[팔짱을 끼고]] 거리를 [[걸으며]] 저녁 시간을 즐겼습니다.,False,False,这对情侣[[挽着胳膊走]]在街上，享受夜晚,False,False,True,True
as far as,to the extent of something,His influence extends [[as far as the eye can see]] in the business world,figurative,,False,True,他的商界影响力[[遍布各个角落]],False,False,True,True
as far as,to the extent of something,The vast desert stretched out [[as far as the eye can see]],literal,,False,True,广袤的沙漠延伸到[[目之所及的地方]],False,False,True,True
as long as,to put condition of time on an action,His patience was [[as long as the rope]] when dealing with difficult customers,figurative,,False,True,他和难缠顾客打交道时，[[很有]]耐心,False,False,True,True
as long as,to put condition of time on an action,The snake was [[as long as the rope]] lying next to it,literal,,False,True,蛇躺在绳子边上，[[和它一样长]],False,False,True,True
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",The manager was [[asleep at the wheel]] when the company lost a major client,figurative,회사가 주요 고객을 잃었음에도 관리자는 [[무책임하게 대응했습니다]],False,False,当公司失去一个主要客户时，经理[[没有警惕]],False,False,True,True
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",He was so exhausted that he fell [[asleep at the wheel]] while driving,literal,그는 너무 피곤해서 운전 도중에 [[자동차 핸들을 잡고 잠이 들었습니다]],False,False,他太累了以至于开车时[[在方向盘上睡着]],False,False,True,True
at an arm's length,as far away from your body as possible,She [[kept it at an arm's length]] to avoid getting too involved in the situation,figurative,그녀는 상황에 너무 깊게 연루되고 싶지 않아서 [[그것과 마음의 거리를 두었습니다]],False,False,她[[尽可能远离它]]以免过度牵扯进这状况,False,False,True,True
at an arm's length,as far away from your body as possible,He [[kept it at an arm's length]] to prevent the paint from smudging his clothes,literal,그는 페인트가 옷에 번지지 않도록 [[그것으로부터 팔 길이만큼 떨어져 있었습니다]],False,False,他[[与它保持一臂之隔]]以防颜料弄脏他的衣服,False,False,True,True
at daggers drawn,almost ready to fight,The two politicians were [[at daggers drawn with each other]] during the debate,figurative,"두 정치인은 토론 도중에 서로 [[격럴하게, 싸울듯이 대립했습니다]]",False,False,两个政客在辩论时[[针锋相对]],True,False,True,True
at daggers drawn,almost ready to fight,The actors were [[at daggers drawn with each other]] during the stage fight scene,literal,배우들은 무대 격투 장면 동안 [[서로 칼을 든채로 대립했습니다]],False,False,两个演员在舞台上的打斗场景中[[用短刀对着对方]],True,False,True,True
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",[[She started at the bottom of the ladder]] in the company and worked her way up,figurative,[[그녀는 회사 맨 밑바닥 직급부터 시작해서]] 승진해 나아갔습니다,False,False,她在公司[[从底层开始打拼]]并一路向上,False,False,True,True
at the bottom of the ladder,"occupying the lowest, most basic position in a given group","Before climbing, [[she started at the bottom of the ladder]] and checked each rung for stability",literal,등만하기 전에 [[그녀는 사다리 밑에서 부터 시작하여]] 각 발판의 안정성을 점검했습니다,False,False,在攀登前，她[[从梯子底部开始]]，检查每个阶梯的稳定性,False,False,True,True
at the drop of a dime,something that can happen very fast without hesitation,Our team is always [[ready at the drop of a dime]] to tackle any challenge,figurative,우리 우리팀은 언제든지 어떠한 도전에도 대처할 수 있도록 [[만반의 준비가 되어있습니다]],False,False,我们队[[随时准备好]]解决任何挑战,False,False,True,True
at the drop of a dime,something that can happen very fast without hesitation,The coin collector was [[ready at the drop of a dime]] to catch the rare coin,literal,동선 수집가는 그 희귀한 [[동전이 땅에 떨어지기 전에 잡기 위해 준비가 되어있었습니다]],False,False,硬币收集者已[[为银币的掉落准备好]]，以抓到这稀有的硬币,False,False,True,True
at the helm,"in charge of an organization, group of people, etc.","She was [[at the helm of the project]], guiding the team to success",figurative,,False,True,她[[掌舵]]这个项目，带领团队走向成功,True,False,True,True
at the helm,"in charge of an organization, group of people, etc.","The captain stood [[at the helm of the project]], steering the ship through the storm",literal,,False,True,船长[[在舵旁]]站着，操纵船穿越风暴,True,False,True,True
axe to grind,have a private or selfish reason for doing something,He [[had an axe to grind]] with his coworker after the disagreement,figurative,그는 의견 충돌 이후 그의 직장 동료와 함께 [[다른 속셈이 생겼습니다]],False,False,他在和同事争论之后[[心怀鬼胎]],False,False,True,True
axe to grind,have a private or selfish reason for doing something,The lumberjack [[had an axe to grind]] before chopping down the tree,literal,나무꾼에게는 나무를 베기 전에 [[갈아야할 도끼가 있었습니다]],False,False,伐木工人在砍树之前要[[磨斧头]],False,False,True,True
back against the wall,to be in a tough situation with limited options,"With no other options left, [[he had his back against the wall]] and had to make a decision",figurative,다른 선택이 없기에 [[그는 궁지에 몰린 채로]] 결정을 내려야만 했습니다,False,False,在选择耗尽后，他[[被逼到墙角]]，必须做出抉择,True,False,True,True
back against the wall,to be in a tough situation with limited options,[[He had his back against the wall]] while waiting for the elevator,literal,[[그는]] 엘리베이터를 기다리는 동안 [[벽에 등을 기대고 있었습니다]],False,False,他在等电梯时把[[背靠着墙壁上]],True,False,True,True
backroom boy(s),people who work in anonymity,The company's success was largely due to [[the backroom boys]] who worked tirelessly behind the scenes,figurative,회사의 성공은 대부분 뒤에서 끊임없이 일하는 [[막후의 인물들]] 덕분이었습니다,False,False,对于这家公司的成功，那些[[幕后工作者们]]功不可没，他们在幕后不知疲倦地工作。,False,False,True,True
backroom boy(s),people who work in anonymity,"In the storage area, [[the backroom boys]] were busy organizing and restocking shelves",literal,창고에서 [[재고 담당 일꾼]]들은 열심히 재고를 정리하고 다시 채우는 데 바빴습니다,False,False,[[后勤人员]]正在储藏区辛苦地整理和填充货架。,False,False,True,True
bad egg,someone who fails to meet expectations,"Despite his charming demeanor, he [[turned out to be a bad egg]] in the company",figurative,매력적인 품행에도 불구하고 그는 회사에서 [[믿지 못할 나쁜 사람으로 드러났습니다]],False,False,尽管他的行为举止很有魅力，[[事实证明他不]]是公司的一名[[称职]]员工。,False,False,True,True
bad egg,someone who fails to meet expectations,The carton of eggs we bought [[turned out to be a bad egg]] when we cracked it open,literal,달걀을 깨서 열자 우리가 샀던 달걀판이 [[나쁜 달걀이었다는 것으로 드러났습니다]],False,False,当我们把买来的鸡蛋敲开时，[[发现它们变质了]]。,False,False,True,True
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,He felt like he [[was carrying a ball and chain]] with his overwhelming responsibilities,figurative,그는 막중한 책임으로 인해 자신을 [[구속하는 짐을 짊어지고 있는 것]] 같다고 느꼈습니다,False,False,他感觉自己就像[[身背千钧重负]]，因为他肩负了太多责任。,True,False,True,True
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,The prisoner [[was carrying a ball and chain]] as a part of his punishment,literal,죄수는 처벌의 일부로 [[공과 사슬을 옮기고 있었습니다]],False,False,这名囚犯身负[[铁球和铁链]]，作为对他惩罚的一部分。,True,False,True,True
bare bones,most basic and important elements or facts,"During the meeting, she [[presented the bare bones]] of the project plan",figurative,회의 도중 그녀는 프로젝트 계획의 [[기본적인 틀을 제시했습니다]],False,False,她在会议中[[展示了]]项目计划的[[精髓]]。,False,False,True,True
bare bones,most basic and important elements or facts,The archaeologist [[presented the bare bones]] of the ancient skeleton,literal,고고학자는 고대 골격의 [[맨뼈를 보였습니다]],False,False,考古学家[[展示了]]古代尸骸的[[裸露的骨头]]。,False,False,True,True
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,Accusing her of stealing the documents [[was barking up the wrong tree]],figurative,그녀를 문서 도용 혐의로 몰아붙이는 것은 [[엉뚱한 사람을 잘못 짚은 것이었습니다]],False,False,对她盗窃文档的指控是[[南辕北辙]]的。,True,False,True,True
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,"The confused dog [[was barking up the wrong tree]], as the squirrel had already moved to another one",literal,다른 나무로 다람쥐가 옮겨가자 혼란에 빠진 개는 [[잘못된 나무를 향해 짖고 있었습니다]],False,False,那条迷惑的狗[[正朝着错误的树狂吠]]，因为那只松鼠已经跑到另一棵树上了。,True,False,True,True
bats in the belfry,to be silly and slightly crazy and behave in a confused way,His wild theories and peculiar behavior made others think he [[had bats in the belfry]],figurative,그의 거침없는 이론과 기행적인 행실은 사람들로 하여금 그가 [[정신이 이상하다고]] 생각하게 만들었습니다,False,False,他那些荒诞的理论和奇怪的举止令人觉得他[[脑子进水了]]。,True,False,True,True
bats in the belfry,to be silly and slightly crazy and behave in a confused way,The old church tower [[had bats in the belfry]] that flew out at dusk,literal,오래된 교회 탑에는 매 황혼마다 날아오르는 [[박쥐가 종탑에]] 있었습니다,False,False,那幢老教堂的[[钟楼里有一些蝙蝠]]，它们会在黄昏时飞走。,True,False,True,True
batten down the hatches,to get ready for trouble,"When the company announced layoffs, employees had [[to batten down the hatches]] and prepare for the worst",figurative,회사가 감원을 발표하자 직원들은 [[위기에 대비하여]] 최악의 사태를 고려해두어야 했습니다,False,False,当公司宣布裁员时，员工们需要[[做好心理准备]]，并做好最坏的打算。,False,False,True,True
batten down the hatches,to get ready for trouble,"As the storm approached, the sailors rushed [[to batten down the hatches]] on the ship",literal,폭풍이 다가오자 선원들은 서둘러 [[배의 갑판을 단단히 고정했습니다]],False,False,当风暴接近时，水手们忙着去[[钉上]]船上的[[扣板并密闭舱口]]。,False,False,True,True
baying for blood,want somebody to be hurt or punished.,The angry mob was [[baying for blood]] after the politician's scandal,figurative,,True,False,由于政客的丑闻，愤怒的暴徒[[期望其接受惩罚]]。,False,False,True,True
baying for blood,want somebody to be hurt or punished.,The pack of hungry wolves was [[baying for blood]] as they hunted their prey,literal,,True,False,一群饿狼在寻找猎物，它们[[喊出对鲜血的渴望]]。,False,False,True,True
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,Their opposing political views put them [[on a collision course with each other]],figurative,그들의 대립적인 정치적 견해는 [[그들의 의견 충돌을 불가피하게]] 했습니다,False,False,对立的政治观念让他们[[势如水火]]。,True,False,True,True
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,"The two ships, sailing at full speed, were [[on a collision course with each other]]",literal,최고 속도로 항해하는 두 척의 배는 [[서로 충돌하는 경로에]] 있었습니다,False,False,两艘船正[[在即将相撞的航线上]]全速行驶。,True,False,True,True
beat around the bush,avoid talking about the main topic,"If you have something to say, just [[stop beating around the bush]] and tell me",figurative,"당신이 말하고 싶은 것이 있다면, [[요점을 피하지 말고]] 곧이 곧대로 말해주십시오",False,False,你有话直说，不要[[东拉西扯]]。,True,False,True,True
beat around the bush,avoid talking about the main topic,"If you want to trim the garden, [[stop beating around the bush]] and start cutting it",literal,당신이 정원을 다듬고 싶다면 [[덤불 언저리를 두들기는 것을 멈추고]] 곧바로 자르기 시작하십시오,False,False,如果你想修剪花园，就开始给那些[[灌木]]剪枝吧，[[别再捶打它们了]]。,True,False,True,True
beat the drum,to speak eagerly about something you support,He tirelessly [[beat the drum for the cause]] to raise awareness about climate change,figurative,그는 기후 변화에 대한 인식을 높이기 위해 지치지 않고 [[홍보를 계속했습니다]],False,False,他孜孜不倦地为唤醒大家对气候变化的意识而[[大声疾呼]]。,True,False,True,True
beat the drum,to speak eagerly about something you support,The musician [[beat the drum for the cause]] during the charity concert,literal,음악가는 자선 콘서트 동안 [[대의를 위해 북을 울렸습니다]],False,False,这名音乐工作者在慈善音乐会中负责[[敲鼓]]。,True,False,True,True
bee in bonnet,be possessed with one thought or scheme,She [[had a bee in her bonnet]] about the new policy changes,figurative,그녀는 새로운 정책 변경에 대한 [[생각에 사로잡혀 있었습니다]],False,False,她对新的政策变化[[耿耿于怀]]。,True,False,True,True
bee in bonnet,be possessed with one thought or scheme,"During the picnic, she accidentally [[had a bee in her bonnet]] and panicked",literal,소풍 도중 그녀는 어쩌다 [[모자 안에 벌이 들어가자]] 당황하여 어쩔 줄을 몰라했습니다,False,False,在野餐时，[[一只]]意外[[出现在她帽子里的蜜蜂]]使她感到惊慌。,True,False,True,True
been tailor made,specially made for a particular purpose,The job opportunity [[has been tailor made]] for her skills and experience,figurative,그 취업 기회는 그녀의 기술과 경험에 [[안성맞춤이었습니다]],False,False,这个工作机会是为她的技能和经验[[量身定做]]的。,True,False,True,True
been tailor made,specially made for a particular purpose,The suit [[has been tailor made]] to fit his measurements perfectly,literal,이 정장은 그의 치수에 완벽하게 맞도록 [[맞춤 제작되었습니다]],False,False,这套西装[[是裁衣匠]]根据他的尺寸[[量身定做的]]。,True,False,True,True
begun to see the light,to suddenly begin to understand,"After hours of studying, he finally [[began to see the light]] and understood the concept",figurative,몇 시간의 공부 끝에 그는 마침내 [[깨달음을 얻고]] 개념을 이해하기 [[시작했습니다]],False,False,经过了数小时的学习，他终于[[看到了曙光]]，弄懂了那个概念。,False,False,True,True
begun to see the light,to suddenly begin to understand,"As the sun rose, she [[began to see the light]] streaming through the window",literal,태양이 떠오르자 그녀는 창문을 통해 [[흐르는 빛을 보았습니다]],False,False,当太阳升起来时，她[[开始看到阳光]]穿过窗户照射进来。,False,False,True,True
being bouncing off the walls,excited and full of nervous energy,The kids were [[bouncing off the walls]] after eating too much candy,figurative,아이들은 너무 많은 사탕을 먹고 난 뒤 [[몹시 흥분해 있었습니다]],False,False,孩子们在吃了太多糖果后[[欢呼雀跃]]。,True,False,True,True
being bouncing off the walls,excited and full of nervous energy,The rubber ball kept [[bouncing off the walls]] in the small room,literal,작은 방 안에서 고무 공은 계속해서 [[벽에 튕겨졌습니다]],False,False,橡胶球在小房间的[[墙壁间]]不停地[[弹跳]]。,True,False,True,True
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),I always [[bend over backwards for them]] to make sure they're happy,figurative,저는 항상 그들이 행복을 확인하기 위해 [[안간힘을 씁니다]],False,False,为了确保他们快乐，我总是[[全力以赴]]。,True,False,True,True
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),"During the yoga class, we had to [[bend over backwards for them]] to demonstrate the pose",literal,요가 수업 동안 우리는 자세를 시범으로 보이기 위해 [[허리를 숙였습니다]],False,False,在瑜伽课上，我们通过[[向后折叠身体]]来演示这个动作。,True,False,True,True
bent out of shape,to become angry.,He [[got bent out of shape]] when he found out his favorite band was sold out,figurative,그는 자신이 가장 좋아하는 밴드의 티켓이 매진되었다는 사실을 알고 [[몹시 화가 났습니다]],False,False,听说喜爱的乐队票卖光了，他[[勃然大怒]]。,True,False,True,True
bent out of shape,to become angry.,The metal rod [[got bent out of shape]] after the car accident,literal,자동차 사고 이후 금속 막대의 [[형태가 찌그러졌습니다]],False,False,那根金属杆在车祸中被撞得[[弯曲变了形]]。,True,False,True,True
bent your ears,to talk to someone for a very long time about something boring,The speaker [[bent their ears]] with his captivating stories,figurative,발표자는 그의 매혹적인 이야기로 [[오랜 시간동안 말을 이어나갔습니다]],False,False,演讲者用他精彩的故事[[征服了听众]]。,False,False,True,True
bent your ears,to talk to someone for a very long time about something boring,The strong wind [[bent their ears]] as they walked through the storm,literal,그들이 폭풍을 뚫고 걸어가자 강력한 바람이 그들의 [[귀를 휘어지게 했습니다]],False,False,在穿越风暴时，狂风[[吹弯了他们的耳朵]]。,False,False,True,True
