idiom,meaning,label,source,translation_ko,translation_zh,translation_he,translation_yo
chink in armour,a susceptible or vulnerable area.,figurative,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit",그들의 전략을 분석한 후 우리는 그들에게서 우리가 이용할 수 있는 [[약점을 발견했습니다]],,,
chink in armour,a susceptible or vulnerable area.,literal,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair",기사의 갑옷을 조사하다가 그는 수리가 필요한 [[갑옷 사이의 틈을 발견했습니다]],,,
worm in the apple,the presence of something very bad in the best,figurative,"Despite the company's success, [[they found a worm in the apple]] when they discovered the corruption",회사의 성공에도 불구하고 부패를 발견했을 때 [[그들은 뭔가 매우 나쁜 것을 찾았습니다]],,,
worm in the apple,the presence of something very bad in the best,literal,"While eating their fruit, [[they found a worm in the apple]] and felt disgusted",과일을 먹다가 [[그들은 사과에서 벌레를 발견하고는]] 혐오감을 느꼈습니다.,,,
in at the deep end,to start a new job or activity without being prepared for it,figurative,"On her first day at work, she [[was thrown in at the deep end]] with a challenging project",,,,
in at the deep end,to start a new job or activity without being prepared for it,literal,"During swimming lessons, he [[was thrown in at the deep end]] of the pool to test his skills",,,,
castles in the air,thinking of some impossible task,figurative,He spent his days [[building castles in the air]] instead of focusing on his job,그는 일에 집중하기보다는 [[망상을 하는 데]] 시간을 보냈습니다,,,
castles in the air,thinking of some impossible task,literal,The artist created a stunning installation of [[building castles in the air]] using lightweight materials,예술가는 가벼운 소재를 활용하여 [[공중에 성을 짓는]] 아름다운 건축을 창조해냈습니다,,,
go the extra mile,to make an extra effort,figurative,"To make sure the project was perfect, [[he went the extra mile]] and double - checked everything",,,,
go the extra mile,to make an extra effort,literal,"During the marathon, [[he went the extra mile]] by mistake due to a wrong turn",,,,
a whole new ball game,a significant change in circumstances.,figurative,"After the company's merger, [[it's a whole new ball game]] for the employees",회사의 합병이후 직원들의 [[상황이 완전히 달라졌습니다]].,公司合并后，对员工来说[[变化巨大]],,
a whole new ball game,a significant change in circumstances.,literal,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players",축구에서 야구로 종목을 바꾸자 선수들은 [[전혀 다른 구기 종목을 하게 됩니다]].,对这些球员来说，当从足球转成棒球后，[[比赛类型是全新的]],,
hit the bull's-eye,to be exactly right about something or achieve the best result possible,figurative,Her speech [[hit the bull's-eye]] and resonated with the audience,,,,
hit the bull's-eye,to be exactly right about something or achieve the best result possible,literal,"With a steady hand, she aimed and [[hit the bull's-eye]] on the target",,,,
at the drop of the hat,to do something easily and without any preparation,figurative,She was always [[ready at the drop of a hat]] to help her friends,그녀는 친구들을 돕기 위한 [[만반의 준비가]] 항상 [[되어있었습니다]],她一直[[随时准备好]]帮助她的朋友,,
at the drop of the hat,to do something easily and without any preparation,literal,"As a professional hat catcher, he was [[ready at the drop of a hat]] to catch any falling hats","전문 모자 잡이로서, 그는 언제든 [[떨어지는 모자를 잡기 위해 준비가 되어 있었습니다]]",作为一个专业的接帽子的人，他[[准备好在帽子掉下时]]抓住下落的帽子,,
use your loaf,To tell someone to use their brain more in analysing what they are doing.,figurative,[[They used their loaf]] to solve the complex puzzle,복잡한 퍼즐을 풀기 위해 [[ 최대한 그들의 지식과 생각을 도출했습니다  ]],,,
use your loaf,To tell someone to use their brain more in analysing what they are doing.,literal,[[They used their loaf]] of bread to make sandwiches for lunch,그들은 점심으로 샌드위치를 만들기 위해 [[ 한 덩어리의 빵을 사용했습니다 ]]  ,,,
deliver the goods,do what is required,figurative,The new employee [[delivered the goods on time]] by meeting all the project deadlines,새로운 직원은 모든 프로젝트 마감일을 준수하여 [[해야할 일을 했습니다]],新雇员[[准时]]在截止日期前[[完成了工作]]。,,
deliver the goods,do what is required,literal,The courier [[delivered the goods on time]] to the customer's doorstep,택배 기사는 [[시간에 맞춰 상품을]] 고객의 문앞까지 배송했습니다,快递员[[把东西准时送到]]顾客门口。,,
flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.",figurative,I couldn't believe [[my own flesh and blood]] would betray me like that,,,,
flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.",literal,The horror movie showed a scene where [[my own flesh and blood]] was exposed after a terrible accident,,,,
can of worms,"to get into something that is messy, has problems and is unwanted",figurative,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",대화 도중 그의 과거를 캐물음으로써 그녀는 무심코 [[곤란한 상황에 빠졌습니다]],,,
can of worms,"to get into something that is messy, has problems and is unwanted",literal,The fisherman [[opened a can of worms]] to bait his hook,낚시꾼이 낚시바늘에 미끼를 달기 위해 [[지렁이로 가득 찬 통을 열었습니다]],,,
take a cue from,to do what is recommended by someone else,figurative,You should [[take a cue from her]] and start organizing your time better,당신은 [[그녀가 추천하는 일을 해야 하고]] 시간을 더 잘 정리하기 시작해야 합니다,,,
take a cue from,to do what is recommended by someone else,literal,"During the pool game, he decided to [[take a cue from her]] and use her favorite one",당구 게임 중에 그는 [[그녀에게서 신호를 받아]] 그녀가 가장 좋아하는 것을 사용하기로 결정했습니다.,,,
wet the baby's head,to have drink to celebrate the birth of a baby,figurative,"After the birth of their child, they invited friends over to [[wet the baby's head]] with a small celebration","아이가 태어난 후 친구들을 [[아기의 탄생을
 축하하기 위해]]초대하여 작은 잔치를 베풀었습니다",,,
wet the baby's head,to have drink to celebrate the birth of a baby,literal,"During the baptism ceremony, the priest gently [[wet the baby's head]] with holy water","세례식에서 사제는 성수로 부드럽게 
[[아기의 머리를 적셨습니다 ]]",,,
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,figurative,He never hesitates to [[blow his own horn]] about his accomplishments,그는 자신의 업적에 대해 [[자신을 과시하는 것을]] 절대로 주저하지 않습니다,,,
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,literal,"As a trumpet player, he would [[blow his own horn]] during practice",트럼펫 연주자로서 그는 연습 도중에 [[뿔피리를 불곤]] 했습니다,,,
whatever floats my boat,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy",figurative,"When it comes to choosing a hobby, I believe in [[whatever floats my boat]]","취미를 고를 때 나는 [[내가 정말 하고싶고 
좋아하는것]]을 선택합니다",,,
whatever floats my boat,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy",literal,"I'm open to trying any buoyant object, [[whatever floats my boat]] on the lake",나는 호수에서 [[내 보트에 뜨는 것은 무엇이든]] 부력이 있는 물체라면 무엇이든 시도해 볼 수 있습니다.,,,
stick in his throat,difficulty of accepting and makes you angry or resentful,figurative,The insincere compliment [[stuck in his throat]] as he tried to praise his rival,상대를 칭찬하려다가 진심 없는 칭찬이 [[그를 분개하게 만들었습니다]],,,
stick in his throat,difficulty of accepting and makes you angry or resentful,literal,The fish bone [[stuck in his throat]] while he was eating dinner,저녁을 먹다가 생선가시가 [[목에 걸렸습니다]],,,
hold all the aces,be in a winning position.,figurative,"During the negotiation, [[he held all the aces]] and had the upper hand",,,,
hold all the aces,be in a winning position.,literal,"During the poker game, [[he held all the aces]] in his hand",,,,
push the boat out,celebrate; enjoy oneself.,figurative,"For her birthday, [[we pushed the boat out]] and threw a huge party",,,,
push the boat out,celebrate; enjoy oneself.,literal,[[We pushed the boat out]] into the water to start our fishing trip,,,,
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,figurative,"When it comes to resolving conflicts, remember that [[it takes two to tango]]","갈등을 해결할 때 [[혼자할 수 없고, 양측이 모두 필요하다]] 것을 기억하세요",,,
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,literal,"In a dance competition, the judges reminded the participants that [[it takes two to tango]]",댄스 경연 대회에서 심사위원들은 참가자들에게 [[탱고를 하려면 2명이 있어야한다]]라고 상기시켰습니다,,,
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,figurative,"He's been [[carrying the torch for her]] since high school, but she never noticed",그는 고등학교 이후 [[그녀를 짝사랑해왔지만]] 그녀는 알아채지 못했습니다,,,
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,literal,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run",릴레이 경기 도중 그는 그녀가 뛸 차례가 될 때 까지 [[횃불 봉송을 짊어졌다]],,,
in the loop,to be aware of the information,figurative,"As a team member, I want to be [[kept in the loop]] about project updates",,,,
in the loop,to be aware of the information,literal,The rope was [[kept in the loop]] to secure the boat to the dock,,,,
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,figurative,"By revealing company secrets, he [[cut his own throat]] and ruined his career",회사 비밀을 공개함으로써 그는 [[자멸을 초래했고]] 자신의 커리어를 망쳤습니다,因为泄露公司机密，他[[搬起石头砸了自己的脚]]，毁了事业。,,
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,literal,"While shaving, he accidentally [[cut his own throat]] with the razor",면도를 하던 그는 실수로 면도날로 [[자신의 목을 베었습니다]],他刮胡子时，不小心用刮胡刀[[切到了自己的喉咙]]。,,
behind closed doors,in clandestine,figurative,The board members discussed the matter [[behind closed doors]] to maintain confidentiality,이사회 구성원들은 기밀성을 유지하기 위해 문제를 [[비밀리에]] 논의했습니다,出于保密原因，董事会成员们[[秘密地]]讨论了这项事宜。,,
behind closed doors,in clandestine,literal,"They stood [[behind closed doors]] while discussing the matter, as the room was too noisy",그들은 방이 너무 시끄러워지자 토론을 하는 동안 [[닫힌 문 뒤에]] 서있었습니다,外面房间太吵了，所以他们[[关起门来]]对这项事宜进行了讨论。,,
pass away,die,figurative,Our beloved grandmother [[passed away peacefully]] in her sleep,,,,
pass away,die,literal,"The storm [[passed away peacefully]], leaving a calm and clear sky",,,,
silver spoon,having a rich or privileged background,figurative,"He [[was born with a silver spoon]] in his mouth, inheriting a fortune from his family",,,,
silver spoon,having a rich or privileged background,literal,"In a unique family tradition, every child [[was born with a silver spoon]] placed beside them",,,,
flash in the pan,"something that cannot be repeated, usually a positive concept",figurative,"His sudden success turned out to be [[a flash in the pan]], as he couldn't maintain it",,,,
flash in the pan,"something that cannot be repeated, usually a positive concept",literal,"The oil caught fire, creating [[a flash in the pan]] while she was cooking",,,,
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",figurative,He [[licked his wounds after the fight]] by taking some time to recover from the emotional blow,,,,
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",literal,The injured dog [[licked his wounds after the fight]] with another canine,,,,
clear the air,get rid of all doubts and negative feelings,figurative,"After the argument, [[we cleared the air with her]] by discussing our feelings",논쟁 이후 우리는 서로의 감정을 털어놓으면서 [[오해를 풀고 의혹을 없앴습니다]],,,
clear the air,get rid of all doubts and negative feelings,literal,[[We cleared the air with her]] by opening the windows to let the smoke out,우리는 창문을 열고 연기를 내보내어 [[그녀와의 공기를 맑게 했습니다]],,,
go through a rough patch,to experience a lot of problems in a period of life,figurative,"After losing her job, she was [[going through a rough patch]] in her life",,,,
go through a rough patch,to experience a lot of problems in a period of life,literal,"While hiking, we were [[going through a rough patch]] filled with rocks and thorns",,,,
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,figurative,[[She backed the wrong horse]] when she supported the losing candidate,그녀는 지는 후보를 지지하는 [[잘못된 선택을 했습니다]],她[[站错了队]]，支持了失败的候选人。,,
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,literal,"At the racetrack, [[she backed the wrong horse]] and lost her bet","경마장에서 [[그녀는 잘못된 말에 돈을 걸었고]], 그 돈을 잃었습니다",她在赛马场[[押注了错误的马匹]]，因而输掉了赌注。,,
got in his hair,to annoy someone so much that they cannot get on with what they are doing,figurative,The constant questions from his coworkers [[got in his hair]] and made it difficult to concentrate,,,,
got in his hair,to annoy someone so much that they cannot get on with what they are doing,literal,The confetti from the party [[got in his hair]] and took a while to remove,,,,
pull a rabbit out of the hat,do something unexpected or surprising,figurative,Our team [[pulled a rabbit out of the hat]] by winning the game in the last minute,,,,
pull a rabbit out of the hat,do something unexpected or surprising,literal,The magician [[pulled a rabbit out of the hat]] during his performance,,,,
clean slate,to wipe the past out and begin afresh,figurative,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",사과를 주고받은 후 그들은  [[과거를 잊고 새출발해서]] 서로간의 우정을 재구축하기로 결심했습니다,,,
clean slate,to wipe the past out and begin afresh,literal,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,예술가는 칠판을 지우며 [[깨끗한 석면에 다시 시작하기로]] 했습니다,,,
makes his hackles rise,to make you angry,figurative,The sound of nails on a chalkboard [[makes his hackles rise]],,,,
makes his hackles rise,to make you angry,literal,"When the dog senses danger, it [[makes his hackles rise]] on his back",,,,
the devil is beating his wife,raining whereas the sun is shining.,figurative,"While the sun was shining, it started raining, and people said [[the devil is beating his wife]]",,,,
the devil is beating his wife,raining whereas the sun is shining.,literal,"In the theatrical performance, the actor playing Satan acted out a scene where [[the devil is beating his wife]]",,,,
air their dirty laundry,to make public something embarrassing that should be kept secret,figurative,"During the family reunion, [[they aired their dirty laundry]] in front of everyone",가족 모임 도중에 [[그들은]] 모두 앞에서 [[자신의 치부를 드러냈습니다]],在家庭重聚时，他们在大家面前[[揭露了他们所有丑事]],,
air their dirty laundry,to make public something embarrassing that should be kept secret,literal,[[They aired their dirty laundry]] outside on the clothesline,[[그들은]] 빨래 줄에 [[더러운 빨래를 널어놓았습니다]],他们在晾衣绳上[[晾脏衣服]],,
ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,figurative,Her transformation from a shy girl to a confident woman was [[an ugly duckling story]],수줍은 소녀에서 당당한 여성으로의 변신은 [[기대를 능가한 재능있는 여성임을]] 알게 해주었습니다 ,,,
ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,literal,The children's book featured [[an ugly duckling story]] about a young bird finding its true identity,그 동화책은   어린 새가 자신의 진정한 정체성을 찾는 것에 관한 [[어린 미운 오리의 이야기를]] 특징으로  합니다,,,
feel the pinch,experience financial hardship,figurative,"After losing his job, [[he started to feel the pinch]] financially",,,,
feel the pinch,experience financial hardship,literal,"When the crab grabbed his finger, [[he started to feel the pinch]]",,,,
"Mr Right, Ms Right",the best future life partner for someone,figurative,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down",,,,
"Mr Right, Ms Right",the best future life partner for someone,literal,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store",,,,
an item,be involved in a romantic relationship,figurative,"After months of dating, they finally [[became an item]] and made their relationship official",몇달간의 데이트 이후 그들은 마침내 공식적으로 [[연인이 되었습니다]],几个月的约会后，他们终于[[正式交往]]，公开了他们的关系,,
an item,be involved in a romantic relationship,literal,"In the virtual reality game, the player's avatar [[became an item]] to be collected by others",가상 현실 게임에서 플레이어의 아바타는 다른 사람들이 수집할 수 있는 [[아이템이 되었습니다]],在虚拟现实游戏里，玩家的头像变成一个别人可收集的[[物品]],,
on the pig's back,a successful situation and everything is going well for that person,figurative,"After winning the lottery, he [[was riding on the pig's back]] and enjoying his newfound wealth",,,,
on the pig's back,a successful situation and everything is going well for that person,literal,"At the farm, the child [[was riding on the pig's back]] for fun",,,,
the other side of the coin,"the opposite aspect, contrasting arguments.",figurative,"Before making a decision, it's important to [[consider the other side of the coin]] and weigh the pros and cons",,,,
the other side of the coin,"the opposite aspect, contrasting arguments.",literal,"When flipping a quarter, you should [[consider the other side of the coin]] as well, since it has a 50% chance of landing",,,,
blow your own trumpet,to say things that makes your own self or kin look good,figurative,He was always [[blowing his own trumpet]] about his accomplishments,그는 항상 자신의 성취에 대해 [[자랑을 했었습니다]],,,
blow your own trumpet,to say things that makes your own self or kin look good,literal,"During the parade, he was [[blowing his own trumpet]] as part of the marching band",퍼레이드 동안 그는 행군 악대의 일부로서 [[자신의 트럼펫을 불었었습니다]],,,
kill two birds with one stone,accomplish two different things at the same time,figurative,"By combining our errands, we [[killed two birds with one stone]] and saved time",,,,
kill two birds with one stone,accomplish two different things at the same time,literal,"With a well-aimed throw, he [[killed two birds with one stone]] in the field",,,,
shades of grey,refers to a situation where things are not really clear,figurative,"In the complex political situation, [[they saw shades of grey]] rather than a clear right or wrong",,,,
shades of grey,refers to a situation where things are not really clear,literal,"As an artist, [[they saw shades of grey]] when mixing black and white paint",,,,
count chicken,make plans based on events that may or may not happen,figurative,He [[was counting chickens before they hatch]] when he started planning his victory party,그는 승리 파티 계획을 세우며 [[일어날지도 모르는 일에 속단했습니다]],,,
count chicken,make plans based on events that may or may not happen,literal,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,농부는 달걀 중 몇개가 병아리가 될 것인지 추측하며 [[부화가 일어나기 전부터 닭을 세고 있었습니다]],,,
over my dead body,"in no way, under no circumstances",figurative,"He smirked and said, '[[over my dead body]] will you ever beat me in a race'",,,,
over my dead body,"in no way, under no circumstances",literal,The cat walked [[over my dead body]] in the crime scene simulation,,,,
out of the closet,go public about something private or hidden,figurative,"After years of hiding his true self, he finally [[came out of the closet]] to his family",,,,
out of the closet,go public about something private or hidden,literal,She [[came out of the closet]] after finding the perfect outfit to wear,,,,
out of hand,out of control,figurative,The party [[got out of hand]] when people started throwing food,,,,
out of hand,out of control,literal,The ball [[got out of hand]] when he accidentally dropped it,,,,
take a hike,go away,figurative,"When he insulted her, she told him [[to take a hike]]","그가 그녀를 모욕했을 때, 그녀는 그에게 [[저리가라고 말했습니다]]",,,
take a hike,go away,literal,"On a sunny day, they decided [[to take a hike]] in the nearby forest",화창한 날에 그들은 근처 숲에서 [[하이킹을 하기로]] 결정했습니다.,,,
asleep at the switch,failing to attend to one's responsibilities or duties,figurative,The manager was [[asleep at the switch]] when the crisis occurred,위기가 발생했을 때 관리자는 [[무책임하게 대응했습니다]],危机发生时，经理[[玩忽职守]],,
asleep at the switch,failing to attend to one's responsibilities or duties,literal,The train operator fell [[asleep at the switch]] during his break,기차 운전사가 휴식 [[교대 시간에 잠들었습니다]],火车操控员在休息时[[在操控杆旁睡着]],,
wash dirty linen in public,discuss publicly matters that one should keep private,figurative,[[They washed their dirty linen in public]] by arguing about their personal issues on social media,"그들은  SNS에서 자신의 사생활을 다투다가 
[[공개적으로 드러나게 되었습니다 ]]",,,
wash dirty linen in public,discuss publicly matters that one should keep private,literal,[[They washed their dirty linen in public]] at the outdoor laundromat,[[그들은]] 야외 빨래방에 있는  [[공공장소에서 더러운 린넨을 빨았다]] ,,,
shoot from the hip,"speak directly or bluntly, without caring for consequences",figurative,"During the debate, he was [[shooting from the hip]] with his quick responses",,,,
shoot from the hip,"speak directly or bluntly, without caring for consequences",literal,"At the shooting range, he practiced [[shooting from the hip]] to improve his accuracy",,,,
eat him alive,to criticize someone severely because you are angry with them,figurative,His lack of preparation will [[eat him alive in the competition]] against more experienced opponents,그의 준비 부족은 그보다 경험이 많은 상대와의 경쟁에서 [[그를 작살내고 완패시킬]] 것입니다,,,
eat him alive,to criticize someone severely because you are angry with them,literal,The carnivorous insects would [[eat him alive in the competition]] if he didn't wear protective gear,그가 보호 장비를 입지 않으면 육식성 곤충들이 그들간의 경쟁에서 [[그를 산채로 먹을 것입니다]],,,
big cheese,to be an important and successful individual,figurative,"In the company, he's [[the big cheese]] and everyone respects him",회사에서 그는 [[매우 중요한 사람]]이고 모두가 그를 존경합니다,他是公司的[[重要人物]]，所有人都很尊重他。,,
big cheese,to be an important and successful individual,literal,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds",치즈 축제에서 그들은 100 파운드가 넘는 [[커다란 치즈]]를 전시했습니다,在奶酪节上，他们展示了超过100磅重的[[巨大奶酪]]。,,
hard cheese,"bad luck, tough luck",figurative,[[She experienced hard cheese]] when she lost her job and had to start over,,,,
hard cheese,"bad luck, tough luck",literal,"While tasting different types of dairy products, [[she experienced hard cheese]] among them",,,,
the eleventh hour,at the very last minute before an event,figurative,"He finished the project [[at the eleventh hour]], just before the deadline",,,,
the eleventh hour,at the very last minute before an event,literal,She decided to go for a walk [[at the eleventh hour]] of the night,,,,
ups and downs,good times and bad times,figurative,"Throughout their marriage, they [[experienced ups and downs]] but remained committed",결혼 생활 내내 그들은 [[기복을 경험]]했지만 헌신을 유지했습니다.,,,
ups and downs,good times and bad times,literal,"On the roller coaster, we [[experienced ups and downs]] as it twisted and turned","롤러코스터 위에서, 우리는 그것이 방향을 전환하고 회전함에 따라  [[이리저리 오르락 내리락 하는 경험을 했습니다]]",,,
put the cart before the horse,to do things in the wrong order or sequence,figurative,"By focusing on the design before understanding the requirements, they were [[putting the cart before the horse]]",,,,
put the cart before the horse,to do things in the wrong order or sequence,literal,"In a moment of confusion, the farmer accidentally started [[putting the cart before the horse]]",,,,
feather in your cap,It means to have an achievement in your name.,figurative,Winning the championship would be [[a feather in your cap]],,,,
feather in your cap,It means to have an achievement in your name.,literal,The hat you're wearing has [[a feather in your cap]] as a decoration,,,,
pull the plug,to kill or discontinue,figurative,"Due to budget constraints, the management decided to [[pull the plug on the project]]",,,,
pull the plug,to kill or discontinue,literal,"To save electricity, she decided to [[pull the plug on the project]]or's power cord",,,,
apples to apples,having a fair comparison between the two things,figurative,"To make a fair judgment, we need [[to compare apples to apples]] in this situation",공정한 판단을 내리기 위해서는 우리는 [[정당하게 비슷한 것들끼리만 비교해야]]합니다,在这种情况下，我们要[[同类相比]]，以做出公平判断,,
apples to apples,having a fair comparison between the two things,literal,"In the fruit market, we had [[to compare apples to apples]] to find the best quality",우리는 과일 시장에서 최고의 품질의 사과를 찾아 [[여러 사과를 놓고 비교]]해야 했습니다,在水果市场，我们需[[比较一些苹果]]来找到质量最好的,,
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",figurative,"By accepting too many projects at once, [[he bit off more than he could chew]]",한번에 너무 많은 프로젝트를 수락해서 [[그는 자신이 감당할 수 있는 것보다 많은 양을 떠맡았습니다]],,,
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",literal,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,그는 한 입에 통 샌드위치를 먹으려고 할 때 [[그는 자신이 씹을 수 있는 양보다 더 많은 양을 베어물었습니다]],,,
come out swinging,be confrontational,figurative,"After the criticism, [[he came out swinging]] with a strong rebuttal",비판을 받은 [[그는]] 강하게 반박하며 [[시비를 걸었습니다]],,,
come out swinging,be confrontational,literal,"As soon as the boxing match started, [[he came out swinging]] at his opponent",복싱 경기가 시작하자마자 [[그는]] 상대를 향해 주먹을 [[휘두르며 나왔습니다]],,,
lower the bar,to lower standards or expectations,figurative,The company [[lowered the bar for everyone]] by reducing the performance expectations,,,,
lower the bar,to lower standards or expectations,literal,The gym instructor [[lowered the bar for everyone]] during the limbo competition,,,,
everything but the kitchen sink,almost everything that one can think of,figurative,"For our camping trip, we [[packed everything but the kitchen sink]] to be prepared",,,,
everything but the kitchen sink,almost everything that one can think of,literal,"While moving, they [[packed everything but the kitchen sink]], which was left for the new owners",,,,
wheels fall off,when a situation gets out of control and everything starts to go wrong,figurative,"After a series of setbacks, [[the wheels fell off]] our project","일련의 좌절 후에,
 [[ 상황은 우리 프로젝트에 통제할수 없이 잘못된
방향을 초래하기 시작했습니다  ]]",,,
wheels fall off,when a situation gets out of control and everything starts to go wrong,literal,"Due to a manufacturing defect, [[the wheels fell off]] the toy car",제조 결함으로  장난감 차에서 [[바퀴가 떨어졌다]] ,,,
blue blood,a member of an upper-class family,figurative,They were considered [[a blue blood family]] due to their aristocratic lineage,그들은 그들의 귀족적인 혈통 덕에 [[고귀한 명문 가문]]으로 여겨졌습니다,,,
