idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_opus,p_f_de_opus,p_l_de_opus,p_a_he_opus,p_f_he_opus,p_l_he_opus,p_a_hi_opus,p_f_hi_opus,p_l_hi_opus,p_a_hu_opus,p_f_hu_opus,p_l_hu_opus,p_a_ko_opus,p_f_ko_opus,p_l_ko_opus,p_a_es_opus,p_f_es_opus,p_l_es_opus,p_a_yo_opus,p_f_yo_opus,p_l_yo_opus,p_a_zh_opus,p_f_zh_opus,p_l_zh_opus
begun to see the light,to suddenly begin to understand,"After hours of studying, he finally [[began to see the light]] and understood the concept","As the sun rose, she [[began to see the light]] streaming through the window","After hours of studying, he finally began to see the light and understood the concept","As the sun rose, she began to see the light streaming through the window",began to see the light,"begann, das Licht zu sehen",Nach Stunden des Studiums begann er endlich das Licht zu sehen und verstand das Konzept.,"Als die Sonne aufging, begann sie zu sehen, wie das Licht durch das Fenster strömte.",התחלתי לראות את האור.,"לאחר שעות של לימוד, הוא סוף סוף התחיל לראות את האור והבין את הרעיון","כשהשמש זרחה, היא התחילה לראות את האור זורם דרך החלון.",प्रकाश देखने लगा,"घंटों अध्ययन करने के बाद, उसने अंततः प्रकाश को देखना शुरू कर दिया और संकल्पना को समझ लिया","जैसे ही सूर्य उदय हुआ, वह खिड़की के माध्यम से प्रकाश प्रवाहित होते हुए देखने लगी",Kezdi látni a fényt,"Órákig tartó tanulás után végre elkezdte látni a fényt, és megértette a koncepciót.","Ahogy a nap felkelt, elkezdte látni a fényt az ablakon keresztül",,,,Empezó a ver la luz,"Después de horas de estudio, finalmente comenzó a ver la luz y entendió el concepto.","A medida que el sol salía, ella comenzó a ver la luz que fluía a través de la ventana.",bèrè sí rí ìmólè náà,"Léyìn òpò wákàtí tó ti ń kékòó, ó bèrè sí í rí ìmólè náà, ó sì lóye ohun tó wà nínú rè","Bí oòrùn ṣe ń yọ, ó bèrè sí í rí ìmólè tó ń tàn lójú fèrèsé",开始看到灯光,"经过几个小时的学习,他终于开始看到光明,并理解这一概念。","太阳升起时,她开始看到阳光从窗户流过"
behind closed doors,in clandestine,The board members discussed the matter [[behind closed doors]] to maintain confidentiality,"They stood [[behind closed doors]] while discussing the matter, as the room was too noisy",The board members discussed the matter behind closed doors to maintain confidentiality,"They stood behind closed doors while discussing the matter, as the room was too noisy",behind closed doors,hinter verschlossenen Türen,"Die Vorstandsmitglieder diskutierten die Angelegenheit hinter verschlossenen Türen, um die Vertraulichkeit zu wahren.","Sie standen hinter verschlossenen türen, während sie die angelegenheit diskutierten, da das zimmer zu laut war.",מאחורי דלתות סגורות,חברי מועצת המנהלים דנו בעניין מאחורי דלתות סגורות כדי לשמור על סודיות,"הם עמדו מאחורי דלתות סגורות בזמן ששוחחו על העניין, כשהחדר היה רועש מדי",बंद दरवाजे के पीछे,बोर्ड के सदस्यों ने गोपनीयता बनाए रखने के लिए बंद दरवाजों के पीछे के मामले पर चर्चा की,इस बारे में चर्चा करते वक्‍त वे बंद दरवाज़े के पीछे खड़े हो गए ।,Zárt ajtók mögött,"A tanács tagjai zárt ajtók mögött megvitatták az ügyet, hogy megőrizzék a titoktartást.","Zárt ajtók mögött álltak, miközben az ügyről beszélgettek, mivel a szoba túl zajos volt.",,,,detrás de puertas cerradas,Los miembros de la junta discutieron el asunto a puerta cerrada para mantener la confidencialidad.,"Se quedaron detrás de puertas cerradas mientras discutían el asunto, ya que la habitación era demasiado ruidosa.",Àwọn ilèkùn tí a ti pa,Àwọn tó wà nínú ìgbìmò náà jíròrò òràn náà léyìn tí wón ti ilèkùn láti pa àṣírí mó,"Wón dúró séyìn ilèkùn nígbà tí wón ń sòrò nípa òràn náà, nítorí pé yàrá náà kò rọrùn rárá",闭门而入,"董事会成员闭门讨论此事,以保密","他们在讨论此事时,关着门站着,因为房间太吵"
being bouncing off the walls,excited and full of nervous energy,The kids were [[bouncing off the walls]] after eating too much candy,The rubber ball kept [[bouncing off the walls]] in the small room,The kids were bouncing off the walls after eating too much candy,The rubber ball kept bouncing off the walls in the small room,bouncing off the walls,Abprallen von den Wänden,"Die Kinder hüpften von den Wänden, nachdem sie zu viel Süßigkeiten gegessen hatten",Der Gummiball prallte im kleinen Raum immer wieder von den Wänden ab,מקפץ מהקירות.,הילדים קפצו מהקירות אחרי שאוכלים יותר מדי ממתקים.,כדור הגומי כל הזמן קפץ מהקירות בחדר הקטן.,दीवारों से टकराना,बच्चों को बहुत ज़्यादा कैण्डी खाने के बाद दीवारों से टकराना पड़ रहा था,गुंबद की गेंद छोटी कोठरी में दीवारों से टकराती रहती थी,Lepattanni a falakról,"A gyerekek lepattantak a falról, miután túl sok édességet ettek",A gumilabda folyamatosan pattogott a falakról a kis szobában.,,,,Rebotando en las paredes,Los niños estaban rebotando en las paredes después de comer demasiados dulces,La bola de goma seguía rebotando en las paredes de la habitación pequeña,Sísé kúrò lára ògiri,"Léyìn tí wón ti jẹ oúnjẹ tó pò jù, àwọn ọmọ náà bèrè sí í já bó ògiri.",Ńṣe ni bóòlù róbóòtì náà ń ró gìrógìró kúrò nínú yàrá kékeré,在墙壁上弹出弹出弹出弹出弹出,孩子们吃太多糖果后 从墙上跳下来,橡皮球在小房间里一直从墙壁上跳下
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),I always [[bend over backwards for them]] to make sure they're happy,"During the yoga class, we had to [[bend over backwards for them]] to demonstrate the pose",I always bend over backwards for them to make sure they're happy,"During the yoga class, we had to bend over backwards for them to demonstrate the pose",bend over backwards for them,beugen Sie sich nach hinten für sie,"Ich beuge mich immer nach hinten, um sicherzustellen, dass sie glücklich sind","Während des Yoga-Kurses mussten wir uns nach hinten beugen, um die Pose zu demonstrieren.",התכופפו לאחור בשבילם.,אני תמיד מתכופפת אחורה כדי לוודא שהם מאושרים.,"במהלך שיעור היוגה, היינו צריכים להתכופף אחורה כדי שידגימו את התנוחה.",और उनके (मारने के) लिए और उनके आगे से भी झुका,मैं हमेशा उनके लिए पीछे झुका है कि वे खुश हैं सुनिश्चित करने के लिए,"जोग वर्ग के दौरान, हमें उनके लिए पीछे की ओर झुक जाना पड़ा ताकि वे इस पेश को प्रदर्शित कर सकें",Hajlítsa hátrafelé őket,"Mindig hátrahajolok, hogy megbizonyosodjak a boldogságukról.","A jóga óra alatt hátra kellett hajlanunk, hogy bemutassák a pózt.",,,,Retrocede por ellos,Siempre me inclino hacia atrás para que ellos se aseguren de que son felices.,"Durante la clase de yoga, tuvimos que inclinarnos hacia atrás para que ellos demostraran la pose.",Ẹ máa fà séyìn fún wọn,Gbogbo ìgbà ni mo máa ń tọka sí àwọn ẹyìn fún wọn láti rí i dájú pé wọn ní ayò,"Nígbà tí wón ń kó wa ní ilé èkó yoga, ńṣe la máa ń fi èyìn tì wón kí wón lè mọ ohun tí wón ń ṣe",为他们而弯曲,我总是向后弯腰 为他们确保他们快乐,"在瑜伽课上,我们不得不向后弯腰 让他们展示姿势"
bent out of shape,to become angry.,He [[got bent out of shape]] when he found out his favorite band was sold out,The metal rod [[got bent out of shape]] after the car accident,He got bent out of shape when he found out his favorite band was sold out,The metal rod got bent out of shape after the car accident,got bent out of shape,wurde aus der Form gebogen,"Er wurde aus der Form gebogen, als er herausfand, dass seine Lieblingsband ausverkauft war.",Die Metallstange wurde nach dem Autounfall aus der Form gebogen,"""התעוותתי.",הוא התעצבן כשהוא גילה שהלהקה האהובה עליו נמכרה.,מוט המתכת התעקם אחרי תאונת הדרכים.,आकार से नीचे झुका हुआ है,वह आकार से झुका हुआ हो गया जब उसे पता चला कि उसके पसंदीदा बैंड को बाहर बेच दिया गया था,कार दुर्घटना के बाद धातु की छड़ी आकृति से बाहर झुक गई,Kicsúsztak a formából,"Teljesen kiborult, amikor megtudta, hogy a kedvenc bandája elkelt.",A fémrúd kihajlott az autó balesete után.,,,,se dobló fuera de forma,Se puso fuera de forma cuando se enteró de que su banda favorita estaba agotada.,La barra de metal se dobló fuera de forma después del accidente automovilístico,Ńṣe ni kétékété tí wón tè ségbèé kan,Orí rè wú nígbà tó gbó pé wón ta ẹgbékégbé tó féràn jù lọ fún òun,Òpá métáàlì náà já bó léyìn jàǹbá ọkò,被从形状中弯曲,"当他发现他最喜欢的乐队 被卖光后,他就崩溃了",车祸发生后金属棒断裂
bent your ears,to talk to someone for a very long time about something boring,The speaker [[bent their ears]] with his captivating stories,The strong wind [[bent their ears]] as they walked through the storm,The speaker bent their ears with his captivating stories,The strong wind bent their ears as they walked through the storm,bent their ears,Beugen Sie Ihre Ohren,Der Redner neigte ihre Ohren mit seinen fesselnden Geschichten,"Der starke Wind beugte ihre Ohren, als sie durch den Sturm gingen",כופפו את אוזניהם.,הדובר כופף את אוזניו עם הסיפורים שובי הלב שלו,הרוח החזקה כופפת את אוזניהם כשהם צעדו בסערה.,उनके कान झुकाएँ,वक्‍ता ने अपनी अलौकिक कहानियों के साथ अपने कानों को झुका दिया,"जब वे बाढ़ में होकर चलते थे, तब प्रचण्ड वायु ने अपने कानों को झुका लिया",Hajlítsd be a füled,A beszélő meghajlította a fülüket a magával ragadó történeteivel.,"Az erős szél meghajlította a fülüket, ahogy a viharon átmentek.",,,,doblan sus orejas,El orador inclinó sus oídos con sus cautivadoras historias,El fuerte viento inclinó sus orejas mientras caminaban a través de la tormenta,Máa fún etí wọn lókun,Olùbánisòrò náà fún etí wọn pèlú àwọn ìtàn tó ń múni ronú jinlè tó ń sọ,Èfúùfù líle náà tẹ etí wọn mólè bí wón ti ń rìn gba àárín ìjì náà kọjá,他们的耳聋,喇叭声用他激动人心的故事摇摇欲坠地摇动他们的耳朵。,"强烈的风吹过暴风时,他们的耳朵弯曲,他们走过暴风"
bet on the wrong horse,support a person or thing that ultimately fails,[[She bet on the wrong horse]] when she chose to invest in that failing company,"At the racetrack, [[she bet on the wrong horse]] and lost her money",She bet on the wrong horse when she chose to invest in that failing company,"At the racetrack, she bet on the wrong horse and lost her money",She bet on the wrong horse,Wetten auf das falsche Pferd,"Sie wettete auf das falsche Pferd, als sie sich entschied, in diese scheiternde Firma zu investieren.",Auf der Rennstrecke setzte sie auf das falsche Pferd und verlor ihr Geld.,היא הימרה על הסוס הלא נכון.,היא הימרה על הסוס הלא נכון כשבחרה להשקיע בחברה כושלת זו.,"במסלול המירוצים, היא הימרה על הסוס הלא נכון ואיבדה את כספה.",वह गलत घोड़े पर शर्त,वह गलत घोड़े पर शर्त जब वह उस असफल कंपनी में निवेश करने के लिए चुना,"रेसट्रैक पर, वह गलत घोड़े पर आउट हो गया और अपने पैसे खो दिया",Rossz lóra fogadott.,"Rossz lóra fogadott, amikor úgy döntött, hogy befektet abba a csődbe jutott cégbe.","A versenypályán rossz lóra fogadott, és elvesztette a pénzét.",,,,Apostó por el caballo equivocado,Apostó por el caballo equivocado cuando decidió invertir en esa empresa fallida.,"En la pista de carreras, apostó por el caballo equivocado y perdió su dinero.",Ó ń rìn lórí ẹṣin tí kò tó,Ó tẹ ẹṣin burúkú náà mó ọn lówó nígbà tó pinnu pé òun máa lọ sí ilé iṣé tí wón ti ń kóni lékòó,"Nígbà tó wà níbi eré ìje náà, ó bèrè sí í gun ẹṣin náà, ó sì pàdánù owó rè",她赌错马了,当她选择投资那个失败的公司时 她赌错马了,"在赛马场上,她赌错马 输了钱"
between a rock and a hard place,having two very bad choices,He was [[caught between a rock and a hard place]] when he had to choose between his job and his family,"While hiking, she found herself [[caught between a rock and a hard place]] in a narrow passage",He was caught between a rock and a hard place when he had to choose between his job and his family,"While hiking, she found herself caught between a rock and a hard place in a narrow passage",caught between a rock and a hard place,gefangen zwischen einem Felsen und einem harten Ort,"Er war gefangen zwischen einem Felsen und einem harten Ort, als er sich zwischen seinem Job und seiner Familie entscheiden musste.",Beim Wandern fand sie sich zwischen einem Felsen und einem harten Ort in einer engen Passage gefangen.,לכוד בין סלע למקום קשה.,הוא נתפס בין סלע למקום קשה כשהוא היה צריך לבחור בין עבודתו למשפחתו,"בזמן ההליכה, היא מצאה את עצמה לכודה בין סלע למקום קשה במעבר צר",एक चट्टान और एक कठिन स्थान के बीच पकड़ा गया,वह एक रॉक और एक कठिन स्थान के बीच पकड़ा गया था जब उसे अपनी नौकरी और अपने परिवार के बीच चयन करना था,"हायिंग करते समय, उसने पाया कि वह एक चट्टान और एक तंग रास्ते में एक कठिन जगह के बीच फँस गयी थी",Egy szikla és egy kemény hely között,"Egy szikla és egy kemény hely között ragadt, amikor választania kellett a munkája és a családja között.",Túrázás közben egy szikla és egy kemény hely között találta magát egy keskeny átjáróban.,,,,atrapado entre una roca y un lugar duro,Estaba atrapado entre una roca y un lugar difícil cuando tuvo que elegir entre su trabajo y su familia.,"Mientras caminaba, se encontró atrapada entre una roca y un lugar duro en un pasaje estrecho.",Àárín àpáta àti ibì kan tó ṣòroó gbé ni wón ti kókó rí i,Wón mú un láàárín àpáta àti ibi tó ṣòroó yàn láàárín iṣé rè àti ìdílé rè,"Nígbà tó ń lọ lówó, ó rí ara rè láàárín àpáta àti ibì kan tó ṣòroó dé",夹在岩石与坚硬之地之间,"当他不得不在工作与家人之间做出选择时,他被困在岩石与艰苦地点之间。","在徒步旅行时,她发现自己被困在一块岩石和狭小通道中一个硬地方之间"
between you and me,a secret to be kept between two people,"[[Between you and me, there's a secret]] that I can't share with anyone else","He placed a mysterious box [[between you and me, there's a secret]] hidden inside it","Between you and me, there's a secret that I can't share with anyone else","He placed a mysterious box between you and me, there's a secret hidden inside it","Between you and me, there's a secret",Zwischen dir und mir gibt es ein Geheimnis,"Zwischen dir und mir gibt es ein Geheimnis, das ich mit niemandem teilen kann.","Er hat eine geheimnisvolle Kiste zwischen dich und mich gelegt, da ist ein Geheimnis versteckt.","בינינו, יש סוד.","ביני לבינך, יש סוד שאני לא יכול לחלוק עם אף אחד אחר","הוא הניח קופסה מסתורית בינך לביני, יש סוד חבוי בתוכה","तुम्हारे और मेरे बीच में, एक रहस्य है",तुम्हारे और मेरे बीच में एक ऐसा रहस्य है कि मैं किसी और के साथ साझा नहीं कर सकता,"उसने तुम्हारे और मेरे बीच एक रहस्यमय बॉक्स रखा है, इसके अंदर एक रहस्य छिपा हुआ है",Közted és köztem van egy titok.,"Köztünk szólva, van egy titok, amit nem oszthatok meg senki mással.",Egy titokzatos dobozt helyezett közénk. Egy titok rejtőzik benne.,,,,"Entre tú y yo, hay un secreto","Entre tú y yo, hay un secreto que no puedo compartir con nadie más.","Puso una caja misteriosa entre tú y yo, hay un secreto escondido dentro de ella.","Láàárín ìwọ àti èmi, àṣírí wà níbè","Láàárín èmi àti èyin méjèèjì, àṣírí kan wà tí mi ò lè bá ẹnikéni kégbé","Ó fi àpótí abàmì kan sáàárín èmi àti èyin, tí ó fara sin sínú rè",你和我之间有个秘密,"你和我之间,有一个秘密 我不能跟别人分享",他把一个神秘的盒子放在你我之间 里面隐藏着一个秘密
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",The psychic claimed [[she looked beyond the veil]] and communicated with spirits,"Standing in front of the window, [[she looked beyond the veil]] and saw the beautiful garden",The psychic claimed she looked beyond the veil and communicated with spirits,"Standing in front of the window, she looked beyond the veil and saw the beautiful garden",she looked beyond the veil,Sie blickte über den Schleier hinaus,"Das medium behauptete, sie schaute über den schleier hinaus und kommunizierte mit den geistern.","Als sie vor dem Fenster stand, blickte sie hinter den Schleier und sah den schönen Garten.",היא הביטה מעבר להינומה.,המדיום טענה שהיא הביטה מעבר להינומה והתחברתה עם רוחות,"עומדת מול החלון, היא הביטה מעבר להינומה וראתה את הגן היפה",वह परदे के बाहर देखा,उसने दावा किया कि वह परदे के बाहर नज़र आती है और आत्माओं से बात करती है,खिड़की के सामने खड़े होकर उसने परदे के आगे देखा और सुन्दर बाग देखा,A fátyolon túlra nézett,"A médium azt állította, hogy a fátyolon túlra nézett, és kommunikált a szellemekkel.","Az ablak előtt állva a fátyol mögé nézett, és meglátta a gyönyörű kertet.",,,,Miró más allá del velo,La psíquica afirmó que miró más allá del velo y se comunicó con los espíritus.,"De pie frente a la ventana, miró más allá del velo y vio el hermoso jardín.",Ó wò ré kọjá ìbòjú,Ògbéni yìí sọ pé ńṣe lòun ń wò ré kọjá ìbòjú àti bíbá àwọn èdá èmí sòrò,"Ó dúró níwájú fèrèsé, ó wò ré kọjá ìbòrí, ó sì rí ọgbà ẹléwà náà",她看着面纱的面纱,灵媒说她仰视面纱之外 与灵魂沟通,"站在窗前,她仰望着面纱,看到美丽的花园"
big brother,A large organization or government agency that tries to control all aspects of human life and society.,"With the new surveillance system, we felt like we were being [[watched by big brother]]","As the younger sibling, she was always [[watched by big brother]] during their childhood","With the new surveillance system, we felt like we were being watched by big brother","As the younger sibling, she was always watched by big brother during their childhood",watched by big brother,Gesehen von Big Brother,"Mit dem neuen Überwachungssystem fühlten wir uns, als würden wir von einem großen Bruder beobachtet.",Als jüngere Schwester wurde sie während ihrer Kindheit immer von einem großen Bruder beobachtet.,נצפה על ידי אח גדול,"עם מערכת המעקב החדשה, הרגשנו כאילו אח גדול צופה בנו.","כאח הקטן, תמיד השגיחו עליה אח גדול בילדותם.",बड़े भाई द्वारा देखा गया,"नयी निगरानी व्यवस्था के साथ, हमें लगा कि हमें बड़े भाई द्वारा देखा जा रहा है","छोटे भाई के रूप में, वह उनके बचपन के दौरान हमेशा बड़े भाई द्वारा देखी जाती थी",Nézte a nagy testvér,"Az új megfigyelő rendszerrel úgy éreztük, mintha a nagy testvér figyelne minket.","Mint a fiatalabb testvér, ő mindig figyelte a nagy testvér gyermekkorukban",,,,Observado por el Gran Hermano,"Con el nuevo sistema de vigilancia, nos sentimos como si estuviéramos siendo observados por el hermano mayor","Como la hermana menor, siempre fue vigilada por su hermano mayor durante su infancia.",Arákùnrin ńlá ń wò wón,"Pèlú ètò tí wón ṣèṣè dá sílè yìí, ńṣe ló dà bíi pé arákùnrin ńlá ń ṣó wa","Bí ègbón rè ṣe máa ń rí i nígbà tó wà lómọdé, béè ni arákùnrin tó tóbi máa ń kíyè sí i nígbà tí wón bá wà lómọdé",被大哥监视,有了新的监视系统 我们感觉好像被大哥监视了,"作为年轻的兄弟姐妹,她小时候总是被大哥哥看"
big cheese,to be an important and successful individual,"In the company, he's [[the big cheese]] and everyone respects him","At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","In the company, he's the big cheese and everyone respects him","At the cheese festival, they displayed the big cheese weighing over 100 pounds",the big cheese,Der große Käse,In der Firma ist er der große Käse und jeder respektiert ihn.,Auf dem Käsefest zeigten sie den großen Käse mit einem Gewicht von über 100 Pfund.,"""הגבינה הגדולה""","בחברה, הוא ""הגבינה הגדולה"" וכולם מכבדים אותו.","בפסטיבל הגבינה, הם הציגו את הגבינה הגדולה ששוקלת יותר מ-100 פאונד.",बड़ी चीज,"कंपनी में, वह बड़ा शेयर है और हर कोई उसका सम्मान करता है",शेयर समारोह में उन्होंने 100 पाउंड से अधिक वजन वाले बड़े शेयर को प्रदर्शित किया,A nagy sajt,"A társaságban ő a nagy sajt, és mindenki tiszteli.","A sajtfesztiválon bemutatták a nagy sajtot, amelynek súlya több mint 100 font volt.",,,,El gran queso,"En la compañía, él es el gran queso y todos lo respetan.","En el festival del queso, mostraron el queso grande que pesaba más de 100 libras.",wàràkàṣì ńlá,"Ní ilé-ẹkọ náà, òun ni ó ma ń jẹ ọwọ ńlá tí gbogbo ènìyàn sì ń bòwò fún un","Nígbà àjọyò tí wón máa ń ṣe lóṣòó, wón máa ń fi wàràkàṣì ńlá tó wúwo tó ọgórùn - ún àpò sìméǹtì",大奶酪,"在公司里,他是大奶酪 每个人都尊敬他","在干酪节上,他们展示了 重量超过100磅的大起司"
big gun,a very powerful individual,"To solve the complex problem, we had [[to bring in the big gun]] from the head office","To defend the fort, they had [[to bring in the big gun]] from the armory","To solve the complex problem, we had to bring in the big gun from the head office","To defend the fort, they had to bring in the big gun from the armory",to bring in the big gun,in der großen Waffe zu bringen,"Um das komplexe Problem zu lösen, mussten wir die große Waffe von der Zentrale mitbringen.","Um das Fort zu verteidigen, mussten sie die große Waffe aus der Waffenkammer mitbringen.",להביא את התותח הגדול.,"כדי לפתור את הבעיה המורכבת, היינו צריכים להביא את האקדח הגדול מהמשרד הראשי.","כדי להגן על המבצר, הם היו צריכים להביא את האקדח הגדול מהנשקייה.",बड़ी बंदूक लाने के लिए,"जटिल समस्या को सुलझाने के लिए, हमें हेड ऑफिस से बड़ी बंदूक लाना पड़ा",दुर्ग की रक्षा करने के लिए उन्हें अंगरेजों से बड़ी बन्दूक ले जाना पड़ा,Hogy behozzuk a nagyágyút.,"Hogy megoldjuk a bonyolult problémát, be kellett hoznunk a nagyágyút a központból.","Hogy megvédjék az erődöt, be kellett hozniuk a nagy fegyvert a fegyverraktárból.",,,,para traer el arma grande,"Para resolver el complejo problema, tuvimos que traer el arma grande de la oficina central.","Para defender el fuerte, tuvieron que traer el arma grande de la armería.",láti mú ìbọn ńlá náà wá,"Kí ìṣòro yìí tó lè yanjú, a ní láti kó ìbọn ńlá tó wá láti ófíìsì","Kí wón bàa lè dáàbò bò wón, wón gbódò mú ìbọn ńlá tó wá látinú ìhámóra ogun wá",带大枪进来,要解决这个复杂的问题 我们必须从总部拿大枪,为了保卫堡垒 他们不得不从军械库拿大枪
big mouth,someone who talks too much,"He can't keep a secret, he [[has a big mouth]]",The hippopotamus [[has a big mouth]] to consume large amounts of food,"He can't keep a secret, he has a big mouth",The hippopotamus has a big mouth to consume large amounts of food,has a big mouth,hat einen großen Mund,"Er kann kein Geheimnis bewahren, er hat einen großen Mund","Der Nilpferd hat einen großen Mund, um große Mengen an Nahrung zu konsumieren",יש לו פה גדול.,"הוא לא יכול לשמור סוד, יש לו פה גדול.",ההיפופוטם יש פה גדול לצרוך כמויות גדולות של מזון,मुंह बड़ा है,"वह एक रहस्य नहीं रख सकता है, उसके पास एक बड़ा मुंह है",हिन्दी में बड़ी मात्रा में भोजन खाने के लिए एक बड़ा मुंह होता है,Nagy szája van,"Nem tud titkot tartani, nagy szája van.","A vízilónak nagy szája van, hogy nagy mennyiségű ételt fogyasszon.",,,,Tiene una gran boca,"No puede guardar un secreto, tiene una gran boca",El hipopótamo tiene una gran boca para consumir grandes cantidades de alimentos,ní ẹnu ńlá,"Kò lè pa àṣírí kankan mó, ẹnu rè tóbi gan - an",Ewéko erinmi ní ẹnu ńlá kan láti jẹ oúnjẹ tó pò gan - an,有张大嘴,"他不能保守秘密,嘴大",河马大口消费大量食物
bigger fish to fry,"to have other, more important things to do.","I can't focus on this minor issue, [[I have bigger fish to fry]] at work","I can't cook these small ones now, [[I have bigger fish to fry]] for the dinner party","I can't focus on this minor issue, I have bigger fish to fry at work","I can't cook these small ones now, I have bigger fish to fry for the dinner party",I have bigger fish to fry,Ich habe größere Fische zu braten,"Ich kann mich nicht auf dieses kleine Problem konzentrieren, ich habe größere Fische bei der Arbeit zu braten","Ich kann diese Kleinen jetzt nicht kochen, ich habe größere Fische zum Braten für die Dinnerparty",יש לי דגים גדולים יותר לטגן.,"אני לא יכול להתמקד בנושא הקטן הזה, יש לי דגים גדולים יותר לטגן בעבודה","אני לא יכול לבשל את הקטנים האלה עכשיו, יש לי דגים גדולים יותר לטגן לארוחת הערב.",मैं fry करने के लिए बड़ी मछली है,"मैं इस मामूली मुद्दे पर ध्यान केंद्रित नहीं कर सकते हैं, मैं काम पर fry करने के लिए बड़ी मछली है","मैं अब इन छोटे लोगों को पकाया नहीं जा सकता, मैं भोज समारोह के लिए fry के लिए बड़ी मछली है",Nagyobb halat kell megsütnöm.,"Nem tudok koncentrálni erre a kisebb problémára, nagyobb halakat kell megsütnöm a munkahelyen.","Most nem tudom megfőzni ezeket a kicsiket, nagyobb halakat kell megsütnöm a vacsorapartira.",,,,Tengo peces más grandes para freír,"No puedo concentrarme en este tema menor, tengo peces más grandes para freír en el trabajo","No puedo cocinar estos pequeños ahora, tengo peces más grandes para freír para la cena.",Mo ní ẹja tó tóbi ju ẹja lọ tí mo lè fi ṣẹkéṣẹkè ṣe,"Mi ò lè pọkàn pò sórí òràn kékeré yìí, mo ní ẹja tó tóbi ju ẹja lọ níbi iṣé","Mi ò lè se irú oúnjẹ béè báyìí, mo sì ní ẹja tó tóbi gan - an láti jẹ oúnjẹ alé náà",我还有更大的鱼要炸,"我不能专注于这个小问题,我还有更大的鱼要炸",我现在不能煮这些小鱼了 晚宴还有大鱼要煎
bite head off,overreact in an angry or harsh way,She was so angry that she [[bit his head off]] when he tried to explain,The snake [[bit his head off]] when he got too close to its nest,She was so angry that she bit his head off when he tried to explain,The snake bit his head off when he got too close to its nest,bit his head off,Biss den Kopf ab,"Sie war so wütend, dass sie ihm den Kopf abbiss, als er versuchte, es zu erklären.","Die Schlange biss ihm den Kopf ab, als er seinem Nest zu nahe kam",נשך לו את הראש.,היא כל כך כעסה שהיא הורידה לו את הראש כשהוא ניסה להסביר,הנחש נשך את ראשו כשהוא התקרב יותר מדי לקן שלו.,उसका सिर बंद बिट,उसे इतना क्रोध आ गया था कि जब उसने समझाने की कोशिश की तो उसका सिर फट गया,साँप अपने घोंसले के बहुत करीब पहुंच गया जब उसके सिर से बाहर बिट,Leharapta a fejét,"Annyira dühös volt, hogy leharapta a fejét, amikor megpróbálta elmagyarázni.","A kígyó leharapta a fejét, amikor túl közel került a fészkéhez.",,,,mordió su cabeza,Ella estaba tan enojada que le mordió la cabeza cuando trató de explicarle.,La serpiente le mordió la cabeza cuando se acercó demasiado a su nido,Ti orí rè,Inú bí i gan - an débi pé ńṣe ló gé orí rè nígbà tó fé ṣàlàyé fún un,ejò náà gégùn - ún nígbà tí ó sún mó ìté rè,头部被咬掉,她很生气 当他试图解释时 她咬了他的头,蛇离巢太近时咬掉他的头
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage","By accepting too many projects at once, [[he bit off more than he could chew]]",[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,"By accepting too many projects at once, he bit off more than he could chew",He bit off more than he could chew when he tried to eat the whole sandwich in one bite,he bit off more than he could chew,"er beißte mehr ab, als er kauen konnte","Indem er zu viele Projekte auf einmal akzeptierte, biss er mehr ab, als er kauen konnte.","Er biss mehr ab, als er kauen konnte, als er versuchte, das ganze Sandwich in einem Bissen zu essen.",הוא נשך יותר ממה שהוא יכול ללעוס.,"על ידי קבלת פרויקטים רבים מדי בבת אחת, הוא נשך את יותר ממה שהוא יכול ללעוס",הוא נשך יותר ממה שיכל ללעוס כשהוא ניסה לאכול את כל הכריך בנשיכה אחת.,उन्होंने कहा कि वह अधिक से अधिक की तुलना में बंद कर सकता है,"एक बार में बहुत सारे परियोजनाओं को स्वीकार करने के द्वारा, वह ज़्यादा से ज़्यादा कोच कर सकता है","जब उसने एक चाकू में पूरे सैंडविच को खाने की कोशिश की, तो वह उससे ज़्यादा पका सकता था","Többet harapott le, mint amennyit meg tudott rágni","Azzal, hogy egyszerre túl sok projektet fogadott el, többet harapott le, mint amennyit meg tudott rágni.","Többet harapott le, mint amennyit meg tudott rágni, amikor megpróbálta megenni az egész szendvicset egy harapás alatt.",,,,mordió más de lo que podía masticar,"Al aceptar demasiados proyectos a la vez, mordió más de lo que podía masticar.",Mordió más de lo que podía masticar cuando trató de comerse todo el sándwich de una sola vez.,Ó gé e ju bó ṣe yẹ lọ,"Bó ṣe téwó gba òpò iṣé tó pò léèkan náà, ńṣe ló rọra yó lọ ju bó ṣe yẹ lọ",Ó rọra yó kélékélé kúrò lénu rè nígbà tó gbìyànjú láti jẹ gbogbo àpò ìdòtí tó wà nínú àpòró kan,他咬咬的比他嚼不嚼的还多,"通过同时接受太多的项目, 他咬了更多的东西 超过他可以咀嚼",他咬掉的比咬一口吃整个三明治时嚼得嚼不嚼的还要多
