idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_f_de_google,p_l_de_google,p_a_de_google,p_f_he_google,p_l_he_google,p_a_he_google,p_f_hi_google,p_l_hi_google,p_a_hi_google,p_f_hu_google,p_l_hu_google,p_a_hu_google,p_f_ko_google,p_l_ko_google,p_a_ko_google,p_f_es_google,p_l_es_google,p_a_es_google,p_f_yo_google,p_l_yo_google,p_a_yo_google,p_f_zh_google,p_l_zh_google,p_a_zh_google
come down with,to have (usually a disease),He [[came down with something]] after being exposed to the cold weather,The kite [[came down with something]] tangled in its strings,He came down with something after being exposed to the cold weather,The kite came down with something tangled in its strings,came down with something,"Nachdem er dem kalten Wetter ausgesetzt war, erkrankte er an etwas","Als der Drachen herunterkam, hatte sich etwas in seinen Schnüren verheddert",mir ist etwas eingefallen,הוא ירד עם משהו לאחר שנחשף למזג האוויר הקר,העפיפון ירד כשמשהו סבוך בחוטים שלו,ירד עם משהו,ठंड के मौसम के संपर्क में आने के बाद वह कुछ लेकर नीचे आया,पतंग की डोर में कोई चीज उलझी हुई थी,कुछ लेकर नीचे आया,"Lejött valamivel, miután ki volt téve a hideg időjárásnak","A sárkány úgy jött le, hogy valami belegabalyodott a húrjaiba",lejött valamivel,그는 추운 날씨에 노출된 후 무언가를 가지고 내려왔다,연이 줄에 무언가가 엉킨 채 내려왔다,무언가를 가지고 내려왔다,Cayó con algo después de haber estado expuesto al clima frío.,La cometa bajó con algo enredado en sus cuerdas.,vino abajo con algo,O sọkalẹ pẹlu nkan lẹhin ti o farahan si oju ojo tutu,Awọn kite sọkalẹ pẹlu ohun kan tangled ninu awọn oniwe-okun,sọkalẹ pẹlu nkankan,他暴露在寒冷的天气后倒下了一些东西,风筝掉下来时线里缠着什么东西,摔倒了东西
come full circle,return to an earlier position or decision.,"After years of exploring different career paths, she [[came full circle]] and returned to her passion for teaching",The hiker [[came full circle]] after walking around the entire circumference of the lake,"After years of exploring different career paths, she came full circle and returned to her passion for teaching",The hiker came full circle after walking around the entire circumference of the lake,came full circle,"Nachdem sie jahrelang verschiedene Karrierewege erkundet hatte, schloss sich für sie der Kreis und kehrte zu ihrer Leidenschaft für das Unterrichten zurück","Der Wanderer schloss den Kreis, nachdem er den gesamten Umfang des Sees umrundet hatte",schloss sich der Kreis,"לאחר שנים של חקר מסלולי קריירה שונים, היא סיימה מעגל וחזרה לתשוקתה ללמד",המטייל סיים סיבוב לאחר שהסתובב בכל היקף האגם,הגיע למעגל מלא,"वर्षों के विभिन्न कैरियर पथों की खोज के बाद, वह पूर्ण चक्र में आई और शिक्षण के अपने जुनून में लौट आई",झील की पूरी परिधि के चारों ओर घूमने के बाद हाइकर पूर्ण चक्र में आ गया,पूर्ण चक्र आया,"Több évnyi különböző karrierút után teljes kört végzett, és visszatért a tanítás iránti szenvedélyéhez",A túrázó a tó teljes kerületét bejárva tette meg a teljes kört,bejött a teljes kör,"수년간 다양한 진로를 탐색한 후, 그녀는 완전한 원을 그리며 교육에 대한 열정으로 돌아왔습니다.",등산객은 호수 전체를 한바퀴 도는 후 원을 그리며 돌아왔습니다.,완전한 원을 그리다,"Después de años de explorar diferentes caminos profesionales, cerró el círculo y volvió a su pasión por la enseñanza.",El excursionista dio la vuelta completa después de caminar alrededor de toda la circunferencia del lago.,llegó el círculo completo,"Lẹhin awọn ọdun ti ṣawari awọn ipa-ọna iṣẹ oriṣiriṣi, o wa ni kikun Circle o si pada si ifẹ rẹ fun ikọni",Arìnrìn àjò náà wá ní kíkún lẹ́yìn tí ó rìn yípo gbogbo àyíká adágún náà,wá ni kikun Circle,经过多年探索不同的职业道路，她兜了一圈又回到了她对教学的热情,徒步者在绕湖的整个圆周后绕了一圈,绕了一圈
come out swinging,be confrontational,"After the criticism, [[he came out swinging]] with a strong rebuttal","As soon as the boxing match started, [[he came out swinging]] at his opponent","After the criticism, he came out swinging with a strong rebuttal","As soon as the boxing match started, he came out swinging at his opponent",he came out swinging,Nach der Kritik kam er mit einer überzeugenden Gegenargumentation zum Vorschein,"Sobald der Boxkampf begann, schlug er seinen Gegner an",er kam schwungvoll heraus,"לאחר הביקורת, הוא יצא מתנדנד עם הפרכה חזקה","ברגע שהתחיל משחק האגרוף, הוא יצא מתנופף לעבר יריבו",הוא יצא מתנדנד,आलोचना के बाद वह जोरदार खंडन के साथ झूलते हुए निकले,बॉक्सिंग मैच शुरू होते ही वह अपने प्रतिद्वंदी पर झूमते हुए निकले,वह झूलता हुआ बाहर आया,"A kritika után lendületesen, erős cáfolással jött ki","Amint elkezdődött a bokszmeccs, rögtön kiszállt ellenfelére",hintázva jött ki,비판 후 그는 강한 반박으로 휘두르며 나왔다.,복싱 시합이 시작되자마자 상대를 향해 휘두르며 나왔다.,그는 휘두르며 나왔다,"Tras las críticas, salió bamboleándose con un fuerte desmentido.","Tan pronto como comenzó el combate de boxeo, salió golpeando a su oponente.",salió balanceándose,"Lẹhin ibawi naa, o wa jade ni lilọ pẹlu iwifun ti o lagbara","Ni kete ti idije Boxing ti bẹrẹ, o wa jade ti o n lu alatako rẹ",ó jáde wá swing,批评过后，他出来强势反驳,拳击比赛一开始，他就出来挥舞对手,他出来荡秋千
cook his goose,to spoil someone's chances of success,"When he was caught cheating, his teacher [[cooked his goose]] by failing him","For dinner, the chef [[cooked his goose]] with a delicious orange sauce","When he was caught cheating, his teacher cooked his goose by failing him","For dinner, the chef cooked his goose with a delicious orange sauce",cooked his goose,"Als er beim Schummeln erwischt wurde, bereitete ihm sein Lehrer einen Riesenspaß, indem er ihn im Stich ließ",Zum Abendessen kochte der Koch seine Gans mit einer köstlichen Orangensauce,kochte seine Gans,"כאשר נתפס בוגד, המורה שלו בישל את האווז שלו בכך שהכשיל אותו","לארוחת הערב, השף בישל את האווז שלו עם רוטב תפוזים טעים",בישל את האווז שלו,जब वह नकल करते पकड़ा गया तो उसके शिक्षक ने उसे फेल कर उसका हंस पका दिया,"रात के खाने के लिए, महाराज ने अपने हंस को स्वादिष्ट संतरे की चटनी के साथ पकाया",उसका हंस पकाया,"Amikor csaláson kapták, tanára úgy főzte meg a libáját, hogy cserbenhagyta",Vacsorára a séf finom narancsszósszal főzte meg a libáját,megfőzte a libáját,"그가 바람을 피우다 적발되었을 때, 그의 선생님은 그를 실패시켜 거위를 요리했습니다.",저녁 식사로 요리사는 맛있는 오렌지 소스로 거위를 요리했습니다.,그의 거위 요리,"Cuando lo atraparon haciendo trampa, su maestro le cocinó el ganso al reprobarlo","Para la cena, el chef cocinó su ganso con una deliciosa salsa de naranja.",cocinó su ganso,"Nígbà tí wọ́n mú un ní jíjẹ́ ẹlẹ́tàn, olùkọ́ rẹ̀ sè egbin rẹ̀ nípa kíkùnà rẹ̀","Fun ounjẹ alẹ, Oluwanje naa se gussi rẹ pẹlu obe ọsan aladun kan",jinna rẹ Gussi,当他作弊被抓时，他的老师让他不及格,晚餐时，厨师用美味的橙汁烹制了他的鹅,煮了他的鹅
cool heels,to wait or take rest,They [[were cooling their heels]] in the waiting room before the interview,"After walking on hot sand, they [[were cooling their heels]] in the ocean water",They were cooling their heels in the waiting room before the interview,"After walking on hot sand, they were cooling their heels in the ocean water",were cooling their heels,Sie kühlten sich vor dem Vorstellungsgespräch im Wartezimmer ab,"Nachdem sie über heißen Sand gelaufen waren, kühlten sie ihre Fersen im Meerwasser ab",kühlten sich ab,הם צננו את עקביהם בחדר ההמתנה לפני הראיון,"לאחר שהלכו על חול חם, הם קיררו את עקביהם במי האוקיינוס",קיררו את העקבים שלהם,वे इंटरव्यू से पहले वेटिंग रूम में हील्स को ठंडा कर रहे थे,गर्म रेत पर चलने के बाद वे समुद्र के पानी में अपनी एड़ियों को ठंडा कर रहे थे,अपनी एड़ियों को ठंडा कर रहे थे,Az interjú előtt a váróteremben hűtötték a sarkukat,"Miután a forró homokon sétáltak, az óceán vizében hűtötték a sarkukat",hűtötték a sarkukat,인터뷰 전 대기실에서 발을 식히고 있는 두 사람,뜨거운 모래 위를 걸은 뒤 바닷물에 발을 식히고 있었다,발뒤꿈치를 식히고 있었다,Estaban refrescándose en la sala de espera antes de la entrevista.,"Después de caminar sobre arena caliente, refrescaban sus talones en el agua del océano.",estaban enfriando sus talones,Wọn n tutu igigirisẹ wọn ni yara idaduro ṣaaju ifọrọwanilẹnuwo naa,"Lẹhin ti nrin lori iyanrin gbigbona, wọn n tutu igigirisẹ ninu omi okun",won itutu igigirisẹ,面试前他们在等候室里凉凉,在滚烫的沙滩上行走后，他们正在海水中冷却脚后跟,正在冷却他们的脚后跟
count chicken,make plans based on events that may or may not happen,He [[was counting chickens before they hatch]] when he started planning his victory party,The farmer [[was counting chickens before they hatch]] by estimating the number of eggs that would become chicks,He was counting chickens before they hatch when he started planning his victory party,The farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,was counting chickens before they hatch,"Er zählte die Hühner, bevor sie schlüpften, als er begann, seine Siegesfeier zu planen","Der Bauer zählte die Hühner, bevor sie schlüpften, indem er die Anzahl der Eier schätzte, aus denen sich Küken entwickeln würden","Ich habe Hühner gezählt, bevor sie schlüpfen",הוא ספר תרנגולות לפני שהן בוקעות כשהתחיל לתכנן את מסיבת הניצחון שלו,החוואי סופר תרנגולות לפני שהם בוקעים על ידי הערכת מספר הביצים שיהפכו לאפרוחים,סופר תרנגולות לפני שהן בוקעות,वह चूजों के निकलने से पहले उनकी गिनती कर रहा था जब उसने अपनी विजय पार्टी की योजना बनानी शुरू की,"किसान अंडों की संख्या का अनुमान लगाकर मुर्गियों की गिनती कर रहा था, जो चूजे बनेंगे",चूजों के निकलने से पहले गिन रहा था,"A csirkéket számolta, mielőtt kikelnének, amikor elkezdte tervezni a győzelmi partiját","A gazda megszámolta a csirkéket a kikelés előtt azáltal, hogy megbecsülte a csibékké váló tojások számát","számolta a csirkéket, mielőtt kikelnének",그는 승전 파티를 계획하기 시작했을 때 병아리가 부화하기 전에 닭의 수를 세고 있었습니다.,농부는 병아리가 될 알의 수를 추정하여 부화하기 전에 닭의 수를 세고 있었습니다.,부화하기 전에 닭을 세고 있었다,Estaba contando pollos antes de que eclosionaran cuando empezó a planificar su fiesta de la victoria.,El granjero contaba los pollos antes de que eclosionaran estimando el número de huevos que se convertirían en pollitos.,estaba contando pollos antes de que nacieran,O n ka adie ki won to yo nigba to bere si ni se eto ayeye isegun re,Àgbẹ̀ náà ń ka adìẹ kí wọ́n tó hù nípa dídiro iye ẹyin tí yóò di adiye,ń ka adìẹ kí wọ́n tó hù,当他开始计划他的胜利派对时，他正在数小鸡孵化之前,农民在孵化之前通过估计将成为小鸡的鸡蛋数量来计算小鸡的数量,在小鸡孵化之前就在数小鸡
crack the whip,make someone work harder by asserting power or authority,The manager [[cracked the whip on the team]] to meet the deadline,The circus performer [[cracked the whip on the team]] of horses to start the show,The manager cracked the whip on the team to meet the deadline,The circus performer cracked the whip on the team of horses to start the show,cracked the whip on the team,"Der Manager forderte das Team auf, die Frist einzuhalten","Der Zirkusartist ließ das Pferdegespann mit der Peitsche knallen, um die Show zu eröffnen",hat dem Team die Peitsche verpasst,המנהל פיצח את השוט בצוות כדי לעמוד בדדליין,אמן הקרקס פיצח את השוט בצוות הסוסים כדי להתחיל את המופע,פיצח את השוט בצוות,प्रबंधक ने समय सीमा को पूरा करने के लिए टीम पर चाबुक फटकारा,सर्कस के कलाकार ने शो शुरू करने के लिए घोड़ों की टीम पर कोड़े मारे,टीम पर शिकंजा कसा,"A menedzser megütötte a korbácsot a csapaton, hogy betartsa a határidőt","A cirkuszi előadó feltörte az ostort a lovak csapatán, hogy elindítsa a műsort",megtörte a korbácsot a csapaton,감독은 마감 시간을 맞추기 위해 팀을 채찍질했습니다.,서커스 공연자는 쇼를 시작하기 위해 말 팀의 채찍을 부수었습니다.,팀에 채찍을 휘두르다,El técnico azotó al equipo para cumplir el plazo,El artista de circo hizo restallar el látigo sobre el equipo de caballos para comenzar el espectáculo.,chasqueó el látigo en el equipo,Oluṣakoso naa fa okùn lori ẹgbẹ lati pade akoko ipari,Oṣere Sakosi naa fa okùn lori ẹgbẹ awọn ẹṣin lati bẹrẹ iṣafihan naa,sisan okùn lori egbe,经理鞭打团队以赶上最后期限,马戏团表演者鞭打马队开始表演,敲响了团队的鞭子
cross swords,to fight with another person physically or verbally.,"During the heated debate, she [[crossed swords with him]] over their differing opinions","At the fencing tournament, they [[crossed swords with him]] in a thrilling match","During the heated debate, she crossed swords with him over their differing opinions","At the fencing tournament, they crossed swords with him in a thrilling match",crossed swords with him,Während der hitzigen Debatte kreuzte sie mit ihm die Schwerter wegen ihrer unterschiedlichen Meinungen,Beim Fechtturnier lieferten sie sich mit ihm einen spannenden Kampf,kreuzte mit ihm die Schwerter,"במהלך הוויכוח הסוער, היא הצליבה איתו חרבות על דעותיהם השונות","בטורניר הסייף, הם השליכו איתו חרבות במשחק מותח",הצליבה איתו חרבות,"गरमागरम बहस के दौरान, उनकी अलग-अलग राय को लेकर उनके साथ बहस हुई",तलवारबाजी टूर्नामेंट में उनके साथ रोमांचक मुकाबले में तलवारबाजी हुई,उसके साथ तलवारें पार कीं,A heves vita során kardot keresztezett vele az eltérő vélemények miatt,A vívótornán egy izgalmas meccsen kereszteztek vele kardot,kardokat keresztezett vele,열띤 토론이 진행되는 동안 그녀는 서로 다른 의견으로 그와 칼을 맞댔다.,펜싱 대회에서 그들은 스릴 넘치는 경기에서 그와 칼을 맞았습니다.,그와 칼을 교차,"Durante el acalorado debate, ella cruzó espadas con él sobre sus diferentes opiniones.","En el torneo de esgrima, cruzaron espadas con él en un emocionante encuentro",cruzó espadas con él,"Nígbà ìjíròrò gbígbóná janjan náà, ó bá a sọ̀rọ̀ idà lórí èrò wọn tí ó yàtọ̀ síra","Níbi ìdíje tí wọ́n fi ń gbá bọ́ọ̀lù, wọ́n fi idà bá a sọ̀rọ̀ nínú ìdíje kan tó wúni lórí",rekoja idà pẹlu rẹ,激烈辩论中，她与他针锋相对，意见不一,在击剑比赛中，他们与他在一场惊心动魄的比赛中交锋,与他交锋
cross the bridge,to delay worrying about something that might not happen anyway,They [[crossed the bridge together]] when they decided to face their problems as a team,The two friends [[crossed the bridge together]] while enjoying the scenic view,They crossed the bridge together when they decided to face their problems as a team,The two friends crossed the bridge together while enjoying the scenic view,crossed the bridge together,"Sie überquerten gemeinsam die Brücke, als sie beschlossen, ihre Probleme als Team anzugehen",Die beiden Freunde überquerten gemeinsam die Brücke und genossen dabei die malerische Aussicht,gemeinsam über die Brücke gegangen,הם חצו יחד את הגשר כשהחליטו להתמודד עם הבעיות שלהם כצוות,שני החברים חצו יחד את הגשר בעודם נהנים מהנוף הנופי,חצו יחד את הגשר,जब उन्होंने एक टीम के रूप में अपनी समस्याओं का सामना करने का फैसला किया तो उन्होंने एक साथ पुल पार किया,मनोरम दृश्य का आनंद लेते हुए दोनों दोस्तों ने एक साथ पुल पार किया,एक साथ पुल पार किया,"Együtt keltek át a hídon, amikor úgy döntöttek, hogy csapatként néznek szembe problémáikkal","A két barát együtt kelt át a hídon, miközben gyönyörködtek a festői kilátásban",együtt keltek át a hídon,그들은 팀으로서 문제에 직면하기로 결정했을 때 함께 다리를 건넜습니다.,두 친구는 경치를 즐기며 함께 다리를 건넜다.,함께 다리를 건넜다,Cruzaron juntos el puente cuando decidieron afrontar sus problemas en equipo,Los dos amigos cruzaron el puente juntos mientras disfrutaban de la vista panorámica.,cruzaron el puente juntos,Wọn kọja afara papọ nigbati wọn pinnu lati koju awọn iṣoro wọn gẹgẹbi ẹgbẹ kan,Awọn ọrẹ meji naa kọja afara papọ lakoko ti wọn n gbadun iwo oju-aye naa,rekoja Afara jọ,当他们决定作为一个团队来面对他们的问题时，他们一起过桥,两个小伙伴一边欣赏风景一边一起过桥,一起过桥
cross the line,behave in a way that is not acceptable,[[He crossed the line with her]] when he made that inappropriate comment,"During the race, [[he crossed the line with her]] as they finished together",He crossed the line with her when he made that inappropriate comment,"During the race, he crossed the line with her as they finished together",He crossed the line with her,"Als er diese unangemessene Bemerkung machte, überschritt er die Grenze zu ihr","Während des Rennens überquerte er mit ihr die Ziellinie, als sie gemeinsam ins Ziel kamen",Er hat mit ihr die Grenze überschritten,הוא חצה את הגבול איתה כשהעיר את ההערה הבלתי הולמת,במהלך המרוץ הוא חצה איתה את הגבול כשהם סיימו יחד,הוא חצה איתה את הגבול,जब उसने वह अनुचित टिप्पणी की तो उसने उसके साथ सीमा पार कर ली,"दौड़ के दौरान, उन्होंने उसके साथ रेखा पार की क्योंकि वे एक साथ समाप्त हो गए थे",उसने उसके साथ सीमा पार कर ली,"Átlépte vele a határt, amikor ezt a nem helyénvaló megjegyzést tette","A verseny során átlépte vele a határt, amikor együtt értek célba",Átlépte vele a határt,그는 그 부적절한 발언으로 그녀와 선을 넘었습니다.,"레이스 도중, 그는 그녀와 함께 결승선을 넘었습니다.",그는 그녀와 선을 넘었다,Se pasó de la raya con ella cuando hizo ese comentario inapropiado.,"Durante la carrera, cruzó la línea con ella cuando terminaron juntos.",Se pasó de la raya con ella,O kọja ila pẹlu rẹ nigbati o sọ asọye ti ko yẹ yẹn,"Lakoko ere-ije, o kọja laini pẹlu rẹ bi wọn ti pari papọ",O si rekoja ila pẹlu rẹ,当他发表不恰当的评论时，他越界了,在比赛中，他和她一起冲过终点线,他和她越界了
crush,feel love-sick for someone.,She couldn't help but [[have a crush]] on the charming new coworker,The machine was designed to [[have a crush]] on the aluminum cans for recycling,She couldn't help but have a crush on the charming new coworker,The machine was designed to have a crush on the aluminum cans for recycling,have a crush,"Sie konnte nicht anders, als sich in die charmante neue Kollegin zu verlieben",Die Maschine wurde für die Zerkleinerung von Aluminiumdosen zum Recycling konzipiert,verknallt sein,היא לא יכלה שלא להתאהב בעמית החדש והמקסים לעבודה,המכונה תוכננה למעוך על פחיות האלומיניום למיחזור,להידלק,वह आकर्षक नए सहकर्मी पर क्रश किए बिना नहीं रह सकती थी,मशीन को रीसाइक्लिंग के लिए एल्यूमीनियम के डिब्बे पर क्रश करने के लिए डिज़ाइन किया गया था,क्रश है,"Nem tehetett róla, hogy beleszeretett a bájos új munkatársba","A gépet úgy tervezték, hogy az újrahasznosítás céljából összetörje az alumíniumdobozokat",bele van zúgva,그녀는 매력적인 새 동료에게 반할 수밖에 없었습니다.,이 기계는 재활용을 위해 알루미늄 캔을 분쇄하도록 설계되었습니다.,짝사랑하다,No pudo evitar enamorarse del encantador nuevo compañero de trabajo.,La máquina fue diseñada para enamorar las latas de aluminio para reciclar,tener un enamorado,O ko le ran sugbon ni a fifun pa lori pele titun alabaṣiṣẹpọ,A ṣe apẹrẹ ẹrọ naa lati ni fifun lori awọn agolo aluminiomu fun atunlo,ni a fifun pa,她情不自禁地喜欢上了这个迷人的新同事,该机器设计用于粉碎铝罐以进行回收,暗恋
cry over spilt milk,to be upset about things that have already been done,There's no point in [[crying over spilt milk]] now that the deadline has passed,The toddler was [[crying over spilt milk]] on the kitchen floor,There's no point in crying over spilt milk now that the deadline has passed,The toddler was crying over spilt milk on the kitchen floor,crying over spilt milk,"Es hat keinen Sinn, über verschüttete Milch zu weinen, nachdem die Frist abgelaufen ist",Das Kleinkind weinte über verschüttete Milch auf dem Küchenboden,Weinen über verschüttete Milch,"אין טעם לבכות על חלב שנשפך עכשיו, לאחר שחלף המועד",הפעוט בכה על חלב שנשפך על רצפת המטבח,לבכות על חלב שנשפך,दूध छलकने पर अब रोने का कोई मतलब नहीं है क्योंकि समय सीमा बीत चुकी है,बच्चा किचन के फर्श पर दूध गिरने पर रो रहा था,अब पछताए होत क्या जब चिड़ियां चुग गईं खेत,"Nincs értelme sírni a kiömlött tej miatt, most, hogy lejárt a határidő",A kisgyerek a konyha padlóján kiömlött tej miatt sírt,sír a kiömlött tej miatt,기한이 지났으니 엎질러진 우유에 울어도 소용없지,유아가 부엌 바닥에 엎질러진 우유 때문에 울고 있었습니다.,엎질러진 우유에 울고,No tiene sentido llorar por la leche derramada ahora que la fecha límite ha pasado,El niño lloraba por la leche derramada en el piso de la cocina.,llorar sobre la leche derramada,Ko si aaye ni ẹkun lori wara ti o ta silẹ ni bayi pe akoko ipari ti kọja,Ọmọde ti n sunkun lori wara ti o da silẹ lori ilẹ idana,ẹkún lórí wàrà tí a dà sílẹ̀,既然最后期限已经过去了，就没有必要为打翻的牛奶哭泣了,蹒跚学步的孩子为洒在厨房地板上的牛奶而哭泣,为打翻的牛奶哭泣
cup of tea,to like something,"Skydiving is [[not my cup of tea]], I prefer calmer activities","This green tea is [[not my cup of tea]], I ordered black tea","Skydiving is not my cup of tea, I prefer calmer activities","This green tea is not my cup of tea, I ordered black tea",not my cup of tea,"Fallschirmspringen ist nicht mein Ding, ich bevorzuge ruhigere Aktivitäten","Dieser grüne Tee ist nicht mein Ding, ich habe schwarzen Tee bestellt",nicht mein Fall,"צניחה חופשית היא לא כוס התה שלי, אני מעדיף פעילויות רגועות יותר","התה הירוק הזה הוא לא כוס התה שלי, הזמנתי תה שחור",לא לטעמי,"स्काइडाइविंग मेरी चाय की प्याली नहीं है, मैं शांत गतिविधियों को प्राथमिकता देता हूं","यह ग्रीन टी मेरी चाय की प्याली नहीं है, मैंने ब्लैक टी ऑर्डर की",चाय की मेरी कप नहीं,"Az ejtőernyős ugrás nem az én teám, inkább a nyugodtabb tevékenységeket szeretem","Ez a zöld tea nem az én csésze teám, fekete teát rendeltem",nem az én csésze teám,스카이다이빙은 취향이 아닙니다. 저는 더 차분한 활동을 선호합니다.,이 녹차는 내 차가 아니라 홍차를 주문했습니다,내 차 한잔이 아니야,"El paracaidismo no es mi taza de té, prefiero actividades más tranquilas.","Este té verde no es mi taza de té, pedí té negro",no es mi taza de té,"Skydiving kii ṣe ago tii mi, Mo fẹ awọn iṣẹ ifọkanbalẹ","Tii alawọ ewe yii kii ṣe ago tii mi, Mo paṣẹ tii dudu",kii ṣe ago tii mi,跳伞不是我的菜，我更喜欢平静的活动,这绿茶不是我的茶，我点了红茶,不是我喜欢的
cut and dried,ready-made,"With her impressive qualifications, it was [[a cut and dried decision]] to hire her",The process of making fruit leather involves [[a cut and dried decision]] with the fruit,"With her impressive qualifications, it was a cut and dried decision to hire her",The process of making fruit leather involves a cut and dried decision with the fruit,a cut and dried decision,"Angesichts ihrer beeindruckenden Qualifikationen war es eine klare Entscheidung, sie einzustellen",Bei der Herstellung von Fruchtleder werden die Früchte geschnitten und getrocknet,eine eindeutige Entscheidung,"עם הכישורים המרשימים שלה, זו הייתה החלטה חתוכה ויבשה להעסיק אותה",תהליך הכנת עור פירות כולל החלטה חתוכה ומיובשת עם הפרי,החלטה חתוכה ויבשה,"उसकी प्रभावशाली योग्यताओं के साथ, उसे काम पर रखने का यह एक कटा हुआ और सूखा निर्णय था",फलों का चमड़ा बनाने की प्रक्रिया में फलों के साथ कटा हुआ और सुखाया हुआ निर्णय शामिल होता है,एक कटा हुआ और सूखा निर्णय,Lenyűgöző képzettsége miatt nem volt nehéz felvenni őt,A gyümölcsbőr készítésének folyamata magában foglalja a gyümölcs vágását és szárítását,vágott és szárított döntés,그녀의 인상적인 자격으로 그녀를 고용하기로 결정한 것은 단호한 결정이었습니다.,과일 가죽을 만드는 과정에는 과일을 자르고 말린 결정이 포함됩니다.,잘라낸 결정,"Con sus impresionantes calificaciones, fue una decisión clara contratarla.",El proceso de elaboración del cuero de la fruta implica una decisión de corte y secado con la fruta,una decisión cortada y seca,"Pẹlu awọn afijẹẹri iwunilori rẹ, o jẹ ipinnu gige ati gbigbe lati bẹwẹ rẹ",Ilana ti ṣiṣe alawọ eso jẹ pẹlu gige ati ipinnu ti o gbẹ pẹlu eso naa,a ge ati ki o dahùn o ipinnu,凭借她令人印象深刻的资历，聘用她是一个简单明了的决定,制作果皮的过程涉及对水果进行切割和干燥的决定,直截了当的决定
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",They [[cut their coat according to their cloth]] by living within their means,The tailor [[cut their coat according to their cloth]] to avoid wasting fabric,They cut their coat according to their cloth by living within their means,The tailor cut their coat according to their cloth to avoid wasting fabric,cut their coat according to their cloth,"Sie schneiden ihren Mantel nach ihrem Stoff, indem sie im Rahmen ihrer Möglichkeiten leben","Der Schneider schneidet seinen Mantel entsprechend seinem Stoff, um Stoffverschwendung zu vermeiden",Schneiden Sie ihren Mantel nach ihrem Stoff,הם חותכים את מעילם לפי הבד שלהם על ידי חייהם בכוחם,החייט חתך את המעיל לפי הבד שלהם כדי למנוע בזבוז בד,לחתוך את מעילם לפי הבד שלהם,वे अपने साधनों के भीतर रहकर अपने वस्त्रों के अनुसार कोट कटवाते थे,कपड़े को बर्बाद होने से बचाने के लिए दर्जी ने उनके कोट को उनके कपड़े के अनुसार काट दिया,उनका अंगरखा उनके वस्त्र के अनुसार कटवाना,"Kabátjukat a ruhájuk szerint vágják úgy, hogy lehetőségeikhez képest élnek","A szabó a ruhája szerint vágta a kabátját, hogy elkerülje az anyagpazarlást",felvágják a kabátjukat a ruhájuk szerint,그들은 수입의 범위 내에서 생활함으로써 옷감에 따라 겉옷을 자릅니다.,재단사는 옷감 낭비를 피하기 위해 옷감에 따라 코트를 자릅니다.,옷감에 따라 코트를 자르십시오.,Cortan su abrigo de acuerdo con su tela viviendo dentro de sus posibilidades.,El sastre cortó su abrigo de acuerdo con su tela para evitar desperdiciar tela.,corta su manto de acuerdo a su tela,Wọ́n gé ẹ̀wù wọn gẹ́gẹ́ bí aṣọ wọn nípa gbígbé ní ìbámu pẹ̀lú ohun ìní wọn,Awọn telo ge ẹwu wọn gẹgẹ bi asọ wọn lati yago fun jafara aṣọ,ge ẹwu wọn gẹgẹ bi aṣọ wọn,他们量入为出，量入为出，量入为出,裁缝根据他们的布料裁剪他们的外套，以避免浪费面料,根据他们的布料裁剪他们的外套
cut corners,"economise on time, money, materials or effort, perhaps unwisely","To save time and money, they [[cut corners on the project]] by using cheaper materials",The carpenter [[cut corners on the project]] to create a rounded shape,"To save time and money, they cut corners on the project by using cheaper materials",The carpenter cut corners on the project to create a rounded shape,cut corners on the project,"Um Zeit und Geld zu sparen, sparten sie bei dem Projekt, indem sie billigere Materialien verwendeten","Der Zimmermann schnitt bei dem Projekt Ecken ab, um eine abgerundete Form zu schaffen",Abstriche bei dem Projekt machen,"כדי לחסוך זמן וכסף, הם חתכו פינות בפרויקט על ידי שימוש בחומרים זולים יותר",הנגר חתך פינות בפרויקט ליצירת צורה מעוגלת,לחתוך פינות בפרויקט,"समय और पैसा बचाने के लिए, वे सस्ती सामग्री का उपयोग करके परियोजना में कटौती करते हैं",गोल आकार बनाने के लिए बढ़ई ने परियोजना पर कोनों को काट दिया,परियोजना पर कोनों को काटें,"Időt és pénzt takarítanak meg, olcsóbb anyagok felhasználásával megvágják a projektet","Az asztalos sarkokat vágott a projekten, hogy lekerekített formát hozzon létre",vágja le a projektet,시간과 비용을 절약하기 위해 저렴한 재료를 사용하여 프로젝트를 간소화합니다.,목수는 프로젝트의 모서리를 잘라 둥근 모양을 만듭니다.,프로젝트의 모서리를 잘라,"Para ahorrar tiempo y dinero, recortaron gastos en el proyecto utilizando materiales más baratos.",El carpintero cortó esquinas en el proyecto para crear una forma redondeada,cortar esquinas en el proyecto,"Lati fi akoko ati owo pamọ, wọn ge awọn igun lori iṣẹ naa nipa lilo awọn ohun elo ti o din owo",Gbẹnagbẹna ge awọn igun lori iṣẹ akanṣe lati ṣẹda apẹrẹ ti yika,ge igun lori ise agbese,为了节省时间和金钱，他们通过使用更便宜的材料来偷工减料,木匠在项目中偷工减料以创建圆形,在项目上偷工减料
