idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","By spreading rumors, they added fuel to the flames of the ongoing conflict","To keep the bonfire going, they added fuel to the flames by throwing more wood",they added fuel to the flames,"A tábortűz égésben tartása érdekében tüzelőanyaggal dobálták fel a lángokat, több fát dobva a tűzre."
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project","In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels","With the deadline approaching, we were racing against the clock to finish the project","In the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",were racing against the clock,"Az egyedi versenyen a résztvevők az idővel versenyeztek, megpróbálva megelőzni egy óriási kerekű órát."
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,"When sanding wood, [[going against the grain]] can cause scratches and damage",His decision to quit his job was going against the grain of his family's expectations,"When sanding wood, going against the grain can cause scratches and damage",going against the grain,"Amikor fát csiszolunk, az ellen a szálirány ellen dolgozni karcolásokat és károkat okozhat."
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,"By constantly learning new skills, she was staying ahead of the curve in her industry",The race car driver was staying ahead of the curve by maintaining a lead on the track,was staying ahead of the curve,"A versenyző az ív előtt maradt, azáltal hogy megtartotta az előnyét a pályán."
ahead of the pack,more successful than other people who are trying to achieve the same things,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry","During the marathon, the lead runner was [[staying ahead of the pack]] of other runners","By consistently innovating, the company is staying ahead of the pack in the industry","During the marathon, the lead runner was staying ahead of the pack of other runners",staying ahead of the pack,A maraton alatt a vezető futó előtt maradt a többi futó csoportja.
air their dirty laundry,to make public something embarrassing that should be kept secret,"During the family reunion, [[they aired their dirty laundry]] in front of everyone",[[They aired their dirty laundry]] outside on the clothesline,"During the family reunion, they aired their dirty laundry in front of everyone",They aired their dirty laundry outside on the clothesline,they aired their dirty laundry,A piszkos ruháikat kint szárították a ruhaszárítón.
all Greek to me,used to convey that you cannot understand what is being said or written,"When he started talking about quantum physics, [[it's all Greek to me]]","Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]","When he started talking about quantum physics, it's all Greek to me","Since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",it's all Greek to me,"Mivel nem értem a nyelvet, amikor olvasom a görög újságot, az nekem mind görögül hangzik."
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"When she started telling her story, I promised to [[be all ears]]","In the surreal art exhibit, the walls appeared to [[be all ears]]","When she started telling her story, I promised to be all ears","In the surreal art exhibit, the walls appeared to be all ears",be all ears,"A szürrealista művészeti kiállításon úgy tűnt, mintha a falak mind fülek lennének."
all the rage,when something is the height of popularity,"In the 90s, [[the new fashion trend was all the rage]] among teenagers","When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more","In the 90s, the new fashion trend was all the rage among teenagers","When the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",the new fashion trend was all the rage,"Amikor az üzlet kifogyott a készletből, az új divattrend nagy népszerűségnek örvendett, mivel a vásárlók dühösen követelték a többet."
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",Her career [[went all the way up]] after she landed a major role in a blockbuster movie,The elevator [[went all the way up]] to the top floor of the building,Her career went all the way up after she landed a major role in a blockbuster movie,The elevator went all the way up to the top floor of the building,went all the way up,A lift felment az épület legfelső emeletéig.
an item,be involved in a romantic relationship,"After months of dating, they finally [[became an item]] and made their relationship official","In the virtual reality game, the player's avatar [[became an item]] to be collected by others","After months of dating, they finally became an item and made their relationship official","In the virtual reality game, the player's avatar became an item to be collected by others",became an item,A virtuális valóság játékban a játékos avatárja mások által gyűjtendő tárggyá vált.
ants in pants,be extremely restless,He [[had ants in his pants]] and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]",He had ants in his pants and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and had ants in his pants",had ants in his pants,Picknikezés közben véletlenül egy hangyabolyra ült és hangyák voltak a nadrágjában.
apple polisher,a flatterer; toady,He got the promotion by [[being an apple polisher]] and constantly flattering the boss,She took up the job of [[being an apple polisher]] at the fruit market,He got the promotion by being an apple polisher and constantly flattering the boss,She took up the job of being an apple polisher at the fruit market,being an apple polisher,Ő vállalta el az alma polírozó munkát a gyümölcspiacon.
apples to apples,having a fair comparison between the two things,"To make a fair judgment, we need [[to compare apples to apples]] in this situation","In the fruit market, we had [[to compare apples to apples]] to find the best quality","To make a fair judgment, we need to compare apples to apples in this situation","In the fruit market, we had to compare apples to apples to find the best quality",to compare apples to apples,"A gyümölcspiacon azon kellett összehasonlítanunk az almákat, hogy megtaláljuk a legjobb minőséget."
arm in arm,to be closely allied,The two companies [[walked arm in arm]] in their joint venture,"The couple [[walked arm in arm]] down the street, enjoying the evening",The two companies walked arm in arm in their joint venture,"The couple walked arm in arm down the street, enjoying the evening",walked arm in arm,"A pár karöltve sétált az utcán, élvezve az estét."
as far as,to the extent of something,His influence extends [[as far as the eye can see]] in the business world,The vast desert stretched out [[as far as the eye can see]],His influence extends as far as the eye can see in the business world,The vast desert stretched out as far as the eye can see,as far as the eye can see,Az óriási sivatag a szemhatárig terjedt.
as long as,to put condition of time on an action,His patience was [[as long as the rope]] when dealing with difficult customers,The snake was [[as long as the rope]] lying next to it,His patience was as long as the rope when dealing with difficult customers,The snake was as long as the rope lying next to it,as long as the rope,"A kígyó olyan hosszú volt, mint az mellette fekvő kötél."
asked for the moon,ask for something that is very difficult or impossible to get,He [[asked for the moon]] when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",He asked for the moon when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully asked for the moon as a birthday gift",asked for the moon,"A gyermek, aki lenyűgözte az asztrológiával, játékosan kérte a holdat születésnapi ajándékként."
asleep at the switch,failing to attend to one's responsibilities or duties,The manager was [[asleep at the switch]] when the crisis occurred,The train operator fell [[asleep at the switch]] during his break,The manager was asleep at the switch when the crisis occurred,The train operator fell asleep at the switch during his break,asleep at the switch,A vonatvezető elaludt a váltónál a szünete alatt.
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",The manager was [[asleep at the wheel]] when the company lost a major client,He was so exhausted that he fell [[asleep at the wheel]] while driving,The manager was asleep at the wheel when the company lost a major client,He was so exhausted that he fell asleep at the wheel while driving,asleep at the wheel,"Olyan kimerült volt, hogy elaludt a volán mögött vezetés közben."
at an arm's length,as far away from your body as possible,She [[kept it at an arm's length]] to avoid getting too involved in the situation,He [[kept it at an arm's length]] to prevent the paint from smudging his clothes,She kept it at an arm's length to avoid getting too involved in the situation,He kept it at an arm's length to prevent the paint from smudging his clothes,kept it at an arm's length,"Ő karhossznyira tartotta, hogy elkerülje a festék elkenődését a ruháin."
at daggers drawn,almost ready to fight,The two politicians were [[at daggers drawn with each other]] during the debate,The actors were [[at daggers drawn with each other]] during the stage fight scene,The two politicians were at daggers drawn with each other during the debate,The actors were at daggers drawn with each other during the stage fight scene,at daggers drawn with each other,Az színészek egymással szemben álltak a színpadi harci jelenet alatt.
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",[[She started at the bottom of the ladder]] in the company and worked her way up,"Before climbing, [[she started at the bottom of the ladder]] and checked each rung for stability",She started at the bottom of the ladder in the company and worked her way up,"Before climbing, she started at the bottom of the ladder and checked each rung for stability",She started at the bottom of the ladder,"Mielőtt felmászott volna, az aljáról kezdve ellenőrizte az összes létralépést a stabilitás szempontjából."
at the drop of a dime,something that can happen very fast without hesitation,Our team is always [[ready at the drop of a dime]] to tackle any challenge,The coin collector was [[ready at the drop of a dime]] to catch the rare coin,Our team is always ready at the drop of a dime to tackle any challenge,The coin collector was ready at the drop of a dime to catch the rare coin,ready at the drop of a dime,A pénzgyűjtő készen állt egy fillérnyi idő alatt elkapni a ritka érmét.
at the drop of the hat,to do something easily and without any preparation,She was always [[ready at the drop of a hat]] to help her friends,"As a professional hat catcher, he was [[ready at the drop of a hat]] to catch any falling hats",She was always ready at the drop of a hat to help her friends,"As a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",ready at the drop of a hat,"Mint egy profi kalapfogó, ő készen állt bármikor elkapni a leeső kalapokat."
at the helm,"in charge of an organization, group of people, etc.","She was [[at the helm of the project]], guiding the team to success","The captain stood [[at the helm of the project]], steering the ship through the storm","She was at the helm of the project, guiding the team to success","The captain stood at the helm of the project, steering the ship through the storm",at the helm of the project,"A kapitány a projekt kormányánál állt, és az árvízben vezette a hajót."
ate her alive,to criticize someone severely because you are angry with them,The guilt of lying to her best friend [[it ate her alive]] for days,"In the horror movie, the monster found her hiding spot and [[it ate her alive]]",The guilt of lying to her best friend it ate her alive for days,"In the horror movie, the monster found her hiding spot and it ate her alive",it ate her alive,A horror filmben a szörny megtalálta a rejtekhelyét és élve megevte őt.
axe to grind,have a private or selfish reason for doing something,He [[had an axe to grind]] with his coworker after the disagreement,The lumberjack [[had an axe to grind]] before chopping down the tree,He had an axe to grind with his coworker after the disagreement,The lumberjack had an axe to grind before chopping down the tree,had an axe to grind,"Az erdésznek volt egy személyes ügye, mielőtt kivágta a fát."
back against the wall,to be in a tough situation with limited options,"With no other options left, [[he had his back against the wall]] and had to make a decision",[[He had his back against the wall]] while waiting for the elevator,"With no other options left, he had his back against the wall and had to make a decision",He had his back against the wall while waiting for the elevator,he had his back against the wall,Az emeleti liftre várva a falnak támaszkodott.
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,[[She backed the wrong horse]] when she supported the losing candidate,"At the racetrack, [[she backed the wrong horse]] and lost her bet",She backed the wrong horse when she supported the losing candidate,"At the racetrack, she backed the wrong horse and lost her bet",She backed the wrong horse,A versenypályán rossz lovat támogatott és elvesztette a fogadását.
backroom boy(s),people who work in anonymity,The company's success was largely due to [[the backroom boys]] who worked tirelessly behind the scenes,"In the storage area, [[the backroom boys]] were busy organizing and restocking shelves",The company's success was largely due to the backroom boys who worked tirelessly behind the scenes,"In the storage area, the backroom boys were busy organizing and restocking shelves",the backroom boys,A raktártérben a hátsó szobában dolgozó fiúk elfoglaltak voltak a polcok szervezésével és feltöltésével.
bad egg,someone who fails to meet expectations,"Despite his charming demeanor, he [[turned out to be a bad egg]] in the company",The carton of eggs we bought [[turned out to be a bad egg]] when we cracked it open,"Despite his charming demeanor, he turned out to be a bad egg in the company",The carton of eggs we bought turned out to be a bad egg when we cracked it open,turned out to be a bad egg,"A megvásárolt tojáscsomagból kiderült, hogy rossz tojás, amikor feltörtük."
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,He felt like he [[was carrying a ball and chain]] with his overwhelming responsibilities,The prisoner [[was carrying a ball and chain]] as a part of his punishment,He felt like he was carrying a ball and chain with his overwhelming responsibilities,The prisoner was carrying a ball and chain as a part of his punishment,was carrying a ball and chain,A rab a büntetésének részeként labdát és láncot cipelt.
bare bones,most basic and important elements or facts,"During the meeting, she [[presented the bare bones]] of the project plan",The archaeologist [[presented the bare bones]] of the ancient skeleton,"During the meeting, she presented the bare bones of the project plan",The archaeologist presented the bare bones of the ancient skeleton,presented the bare bones,Az archeológus bemutatta az ősi csontváz csupasz csontjait.
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,Accusing her of stealing the documents [[was barking up the wrong tree]],"The confused dog [[was barking up the wrong tree]], as the squirrel had already moved to another one",Accusing her of stealing the documents was barking up the wrong tree,"The confused dog was barking up the wrong tree, as the squirrel had already moved to another one",was barking up the wrong tree,"Az összezavart kutya a rossz fára ugatott, mivel a mókus már átment egy másikra."
bats in the belfry,to be silly and slightly crazy and behave in a confused way,His wild theories and peculiar behavior made others think he [[had bats in the belfry]],The old church tower [[had bats in the belfry]] that flew out at dusk,His wild theories and peculiar behavior made others think he had bats in the belfry,The old church tower had bats in the belfry that flew out at dusk,had bats in the belfry,"Az öreg templomtoronyban denevérek laktak, amelyek alkonyatkor repültek ki a haranglábából."
batten down the hatches,to get ready for trouble,"When the company announced layoffs, employees had [[to batten down the hatches]] and prepare for the worst","As the storm approached, the sailors rushed [[to batten down the hatches]] on the ship","When the company announced layoffs, employees had to batten down the hatches and prepare for the worst","As the storm approached, the sailors rushed to batten down the hatches on the ship",to batten down the hatches,"Ahogy közeledett a vihar, a tengerészek siettek lezárni a hajó ajtajait."
baying for blood,want somebody to be hurt or punished.,The angry mob was [[baying for blood]] after the politician's scandal,The pack of hungry wolves was [[baying for blood]] as they hunted their prey,The angry mob was baying for blood after the politician's scandal,The pack of hungry wolves was baying for blood as they hunted their prey,baying for blood,Az éhes farkasok falkája vért kiáltva vadászott az áldozatukra.
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,Their opposing political views put them [[on a collision course with each other]],"The two ships, sailing at full speed, were [[on a collision course with each other]]",Their opposing political views put them on a collision course with each other,"The two ships, sailing at full speed, were on a collision course with each other",on a collision course with each other,"A két hajó, teljes sebességgel haladva, ütközési pályán voltak egymással."
beat around the bush,avoid talking about the main topic,"If you have something to say, just [[stop beating around the bush]] and tell me","If you want to trim the garden, [[stop beating around the bush]] and start cutting it","If you have something to say, just stop beating around the bush and tell me","If you want to trim the garden, stop beating around the bush and start cutting it",stop beating around the bush,"Ha szeretnéd lenyírni a kertet, hagyd abba a kertelést és kezdj el vágni."
beat the drum,to speak eagerly about something you support,He tirelessly [[beat the drum for the cause]] to raise awareness about climate change,The musician [[beat the drum for the cause]] during the charity concert,He tirelessly beat the drum for the cause to raise awareness about climate change,The musician beat the drum for the cause during the charity concert,beat the drum for the cause,A zenész ütötte a dobokat az ügy érdekében a jótékonysági koncerten.
bee in bonnet,be possessed with one thought or scheme,She [[had a bee in her bonnet]] about the new policy changes,"During the picnic, she accidentally [[had a bee in her bonnet]] and panicked",She had a bee in her bonnet about the new policy changes,"During the picnic, she accidentally had a bee in her bonnet and panicked",had a bee in her bonnet,"A piknik alatt véletlenül beleszállt egy méh a kalapjába, és pánikba esett."
been tailor made,specially made for a particular purpose,The job opportunity [[has been tailor made]] for her skills and experience,The suit [[has been tailor made]] to fit his measurements perfectly,The job opportunity has been tailor made for her skills and experience,The suit has been tailor made to fit his measurements perfectly,has been tailor made,"A ruha szabómester által készült, hogy tökéletesen illeszkedjen az ő méreteihez."
begun to see the light,to suddenly begin to understand,"After hours of studying, he finally [[began to see the light]] and understood the concept","As the sun rose, she [[began to see the light]] streaming through the window","After hours of studying, he finally began to see the light and understood the concept","As the sun rose, she began to see the light streaming through the window",began to see the light,"Ahogy felkel a nap, ő elkezdte látni a fényt áramló az ablakon."
behind closed doors,in clandestine,The board members discussed the matter [[behind closed doors]] to maintain confidentiality,"They stood [[behind closed doors]] while discussing the matter, as the room was too noisy",The board members discussed the matter behind closed doors to maintain confidentiality,"They stood behind closed doors while discussing the matter, as the room was too noisy",behind closed doors,"Az ügyről beszélgetve zárt ajtók mögött álltak, mivel a szoba túl zajos volt."
being bouncing off the walls,excited and full of nervous energy,The kids were [[bouncing off the walls]] after eating too much candy,The rubber ball kept [[bouncing off the walls]] in the small room,The kids were bouncing off the walls after eating too much candy,The rubber ball kept bouncing off the walls in the small room,bouncing off the walls,A gumilabda pattogva ugrált a falakról a kis szobában.
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),I always [[bend over backwards for them]] to make sure they're happy,"During the yoga class, we had to [[bend over backwards for them]] to demonstrate the pose",I always bend over backwards for them to make sure they're happy,"During the yoga class, we had to bend over backwards for them to demonstrate the pose",bend over backwards for them,"A jógaórában hátra kellett hajolnunk, hogy bemutassák a pózt."
bent out of shape,to become angry.,He [[got bent out of shape]] when he found out his favorite band was sold out,The metal rod [[got bent out of shape]] after the car accident,He got bent out of shape when he found out his favorite band was sold out,The metal rod got bent out of shape after the car accident,got bent out of shape,Az autóbaleset után a fémrúd eldeformálódott.
bent your ears,to talk to someone for a very long time about something boring,The speaker [[bent their ears]] with his captivating stories,The strong wind [[bent their ears]] as they walked through the storm,The speaker bent their ears with his captivating stories,The strong wind bent their ears as they walked through the storm,bent their ears,"Az erős szél meghajlította a fülüket, amikor átvonultak az esőviharban."
bet on the wrong horse,support a person or thing that ultimately fails,[[She bet on the wrong horse]] when she chose to invest in that failing company,"At the racetrack, [[she bet on the wrong horse]] and lost her money",She bet on the wrong horse when she chose to invest in that failing company,"At the racetrack, she bet on the wrong horse and lost her money",She bet on the wrong horse,A versenypályán rossz lóra tett fogadást és elvesztette a pénzét.
between a rock and a hard place,having two very bad choices,He was [[caught between a rock and a hard place]] when he had to choose between his job and his family,"While hiking, she found herself [[caught between a rock and a hard place]] in a narrow passage",He was caught between a rock and a hard place when he had to choose between his job and his family,"While hiking, she found herself caught between a rock and a hard place in a narrow passage",caught between a rock and a hard place,"Miközben túrázott, egy szűk folyosón egy szikla és egy nehéz helyzet között találta magát."
between you and me,a secret to be kept between two people,"[[Between you and me, there's a secret]] that I can't share with anyone else","He placed a mysterious box [[between you and me, there's a secret]] hidden inside it","Between you and me, there's a secret that I can't share with anyone else","He placed a mysterious box between you and me, there's a secret hidden inside it","Between you and me, there's a secret","Egy rejtélyes dobozt helyezett el közénk, van benne egy titok."
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",The psychic claimed [[she looked beyond the veil]] and communicated with spirits,"Standing in front of the window, [[she looked beyond the veil]] and saw the beautiful garden",The psychic claimed she looked beyond the veil and communicated with spirits,"Standing in front of the window, she looked beyond the veil and saw the beautiful garden",she looked beyond the veil,"Az ablak előtt állva, átlátott a fátylon és meglátta a gyönyörű kertet."
big brother,A large organization or government agency that tries to control all aspects of human life and society.,"With the new surveillance system, we felt like we were being [[watched by big brother]]","As the younger sibling, she was always [[watched by big brother]] during their childhood","With the new surveillance system, we felt like we were being watched by big brother","As the younger sibling, she was always watched by big brother during their childhood",watched by big brother,"Mint a fiatalabb testvér, mindig nagytestvér figyelt rá gyermekkorukban."
big cheese,to be an important and successful individual,"In the company, he's [[the big cheese]] and everyone respects him","At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","In the company, he's the big cheese and everyone respects him","At the cheese festival, they displayed the big cheese weighing over 100 pounds",the big cheese,A sajtfesztiválon kiállították a több mint 100 fontos nagy sajtot.
big gun,a very powerful individual,"To solve the complex problem, we had [[to bring in the big gun]] from the head office","To defend the fort, they had [[to bring in the big gun]] from the armory","To solve the complex problem, we had to bring in the big gun from the head office","To defend the fort, they had to bring in the big gun from the armory",to bring in the big gun,Az erőd védelméhez be kellett hozniuk a nagy ágyút az fegyvertárból.
big mouth,someone who talks too much,"He can't keep a secret, he [[has a big mouth]]",The hippopotamus [[has a big mouth]] to consume large amounts of food,"He can't keep a secret, he has a big mouth",The hippopotamus has a big mouth to consume large amounts of food,has a big mouth,Az orrszarvú nagy szája nagy mennyiségű élelem elfogyasztására szolgál.
bigger fish to fry,"to have other, more important things to do.","I can't focus on this minor issue, [[I have bigger fish to fry]] at work","I can't cook these small ones now, [[I have bigger fish to fry]] for the dinner party","I can't focus on this minor issue, I have bigger fish to fry at work","I can't cook these small ones now, I have bigger fish to fry for the dinner party",I have bigger fish to fry,"Most nem tudom elkészíteni ezeket a kicsiket, nagyobb dolgom van a vacsorára."
bite head off,overreact in an angry or harsh way,She was so angry that she [[bit his head off]] when he tried to explain,The snake [[bit his head off]] when he got too close to its nest,She was so angry that she bit his head off when he tried to explain,The snake bit his head off when he got too close to its nest,bit his head off,"A kígyó leharapta a fejét, amikor túl közel ment a fészkéhez."
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage","By accepting too many projects at once, [[he bit off more than he could chew]]",[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,"By accepting too many projects at once, he bit off more than he could chew",He bit off more than he could chew when he tried to eat the whole sandwich in one bite,he bit off more than he could chew,"Túl nagy falatot vett a szájába, amikor egyszerre akarta lenyelni az egész szendvicset."
bite the hand that feed,to turn against someone who has been a benefactor in the past,"By criticizing her mentor, she [[bit the hand that fed]] her",The untrained dog [[bit the hand that fed]] him,"By criticizing her mentor, she bit the hand that fed her",The untrained dog bit the hand that fed him,bit the hand that fed,"Az edzetlen kutya megharapta azt a kezet, amelyik etette őt."
bits and pieces,miscellaneous small objects,"After the meeting, [[we gathered the bits and pieces]] of information to create a report","Following the vase's shattering, [[we gathered the bits and pieces]] from the floor","After the meeting, we gathered the bits and pieces of information to create a report","Following the vase's shattering, we gathered the bits and pieces from the floor",we gathered the bits and pieces,A váza összetörése után összeszedtük a darabokat a padlóról.
bitter medicine,something difficult to accept,The harsh criticism was [[a dose of bitter medicine]] that helped him improve,The doctor prescribed [[a dose of bitter medicine]] to treat his illness,The harsh criticism was a dose of bitter medicine that helped him improve,The doctor prescribed a dose of bitter medicine to treat his illness,a dose of bitter medicine,Az orvos keserű gyógyszert írt fel a betegségének kezelésére.
bitter pill,something unpleasant to be endured,He had [[to swallow a bitter pill]] when he realized he couldn't afford his dream car,The medicine was so awful that she had [[to swallow a bitter pill]],He had to swallow a bitter pill when he realized he couldn't afford his dream car,The medicine was so awful that she had to swallow a bitter pill,to swallow a bitter pill,"Az orvosság olyan szörnyű volt, hogy keserű pirulát kellett lenyelnie."
black and blue,"hurt, either bodily, emotionally or psychologically","After the harsh criticism, his ego [[was bruised black and blue]]",He fell off his bike and [[was bruised black and blue]] all over his body,"After the harsh criticism, his ego was bruised black and blue",He fell off his bike and was bruised black and blue all over his body,was bruised black and blue,Leesett a biciklijéről és kékre-zöldre volt ütve az egész teste.
black book,a book containing a list of secret contacts,"After betraying his trust, she [[was found in the black book]] of his memories",The old photograph [[was found in the black book]] on the dusty shelf,"After betraying his trust, she was found in the black book of his memories",The old photograph was found in the black book on the dusty shelf,was found in the black book,Az régi fotó a poros polcon található fekete könyvben volt megtalálva.
