idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt,p_f_hi_gpt,p_l_hi_gpt
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining","After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground","He was always being a wet blanket at parties, constantly complaining","After the rainstorm, the picnic blanket was being a wet blanket on the ground",being a wet blanket,ein Spielverderber sein,"Er war immer eine Spaßbremse auf Partys, ständig am Meckern.",Nach dem Regensturm war die Picknickdecke eine nasse Decke auf dem Boden.,להיות שמים רטובים,"הוא היה תמיד מכסה רטוב במסיבות, מתלונן באופן קבוע.","אחרי הסערה, שמיכת הפיקניק הייתה מכסה רטוב על הקרקע.","वह हमेशा पार्टियों में एक भीगी चादर बना रहता था, निरंतर शिकायत करता रहता था।","बारिश के बाद, पिकनिक कंबल जमीन पर एक गीला कंबल बन गया था।"
a whale of,very big (piece) of something,We [[had a whale of a time]] at the amusement park,The marine biologist [[had a whale of a time]] studying the humpback's behavior,We had a whale of a time at the amusement park,The marine biologist had a whale of a time studying the humpback's behavior,had a whale of a time,hatte eine Riesenspaßzeit,Wir hatten eine Riesenspaß im Vergnügungspark.,"Der Meeresbiologe hatte eine tolle Zeit damit, das Verhalten des Buckelwals zu studieren.",הייתי נהנה מאוד (hayiti nehene me'od),היינו נהנים מאוד בפארק המשחקים.,הביולוג הימי נהנה מאוד בלימוד ההתנהגות של הזברה.,हम रंगीन पार्क में बहुत मजे किए।,समुद्र जीवविज्ञानी को हंपबैक के व्यवहार का अध्ययन करने में बहुत मजा आया।
a whole new ball game,a significant change in circumstances.,"After the company's merger, [[it's a whole new ball game]] for the employees","When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","After the company's merger, it's a whole new ball game for the employees","When they switched from soccer to baseball, it's a whole new ball game for the players",it's a whole new ball game,Es ist ein ganz neues Spiel.,Nach der Fusion des Unternehmens ist es für die Mitarbeiter ein völlig neues Spiel.,"Als sie vom Fußball zum Baseball wechselten, war es für die Spieler ein völlig neues Spiel.",זה משחק כדור חדש לגמרי,"לאחר הסיכום של החברה, זה משחק כדור חדש לעובדים.","כאשר הם החליפו מכדורגל לבייסבול, זה משחק כדור חדש לגמרי עבור השחקנים.","कंपनी के विलय के बाद, कर्मचारियों के लिए एक पूरी तरह से नया खेल है।","जब वे फुटबॉल से बेसबॉल में स्विच करते हैं, तो खिलाड़ियों के लिए एक पूरी तरह से नया गेम होता है।"
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The company [[started a witch hunt]] to find the person responsible for the leak,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately",The company started a witch hunt to find the person responsible for the leak,"During the historical reenactment, they started a witch hunt to portray the events accurately",started a witch hunt,begann eine Hexenjagd,"Das Unternehmen hat eine Hexenjagd gestartet, um die Person zu finden, die für das Leck verantwortlich ist.","Während der historischen Nachstellung begannen sie eine Hexenjagd, um die Ereignisse genau darzustellen.",התחיל ציד מכשפות,החברה התחילה מסע ציד כדי למצוא את האדם האחראי לחשיפה.,"במהלך החזרת היסטורית, הם התחילו ציד למכשפות כדי לתאר את האירועים בדיוק.",कंपनी ने एक जादूगरी शिकार शुरू की थी जिससे लीक के जिम्मेदार व्यक्ति को ढूंढने का प्रयास किया जाए।,"ऐतिहासिक पुनरावृत्ति के दौरान, उन्होंने घटनाओं को सटीकता से दर्शाने के लिए एक चुड़ैल की तलाश शुरू की।"
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,Moving in together was the acid test for their relationship to see if they could handle living with each other,The chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,the acid test for their relationship,Der Säuretest für ihre Beziehung.,"Zusammenziehen war der Härtetest für ihre Beziehung, um zu sehen, ob sie es miteinander aushalten konnten.","Das Chemielabor-Experiment war der Säuretest für ihre Beziehung, da sie zusammenarbeiten mussten, um den pH-Wert verschiedener Lösungen zu bestimmen.",המבחן החשוב לזוגיותם.,העברתם לגור ביחד הייתה המבחן הקשה לקשר שלהם כדי לראות אם הם יכולים להתמודד עם החיים זה עם זה.,הניסוי במעבדת הכימיה היה המבחן החשוב לקשר שלהם כי הם צריכים היו לעבוד יחד כדי לקבוע את ערכ ה-pH של מגוון תמיסות.,साथ में रहना उनके रिश्ते के लिए एसिड टेस्ट था कि क्या वे एक दूसरे के साथ रहने को संभाल सकते हैं।,रसायन विज्ञान प्रयोगशाला का प्रयोग उनके संबंधों के लिए एसिड टेस्ट था क्योंकि वे विभिन्न उपादानों के pH का निर्धारण करने के लिए साथ में काम करने के लिए मजबूर थे।
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,The company saw improvements across the board after implementing new strategies,The chess master made improvements across the board by adjusting the positions of his pieces,improvements across the board,Verbesserungen auf breiter Front,"Das Unternehmen sah Verbesserungen auf breiter Front, nachdem neue Strategien umgesetzt wurden.","Der Schachmeister verbesserte sich auf dem ganzen Brett, indem er die Positionen seiner Figuren anpasste.",שיפורים בכל התחומים,החברה ראתה שיפורים בכל התחומים לאחר הטמעת אסטרטגיות חדשות.,המתחרה המכובד בשחמט הגביר את המשחק על ידי עיצוב מיקומי הכליות שלו.,कंपनी ने नई रणनीतियों को लागू करने के बाद सभी क्षेत्रों में सुधार देखा।,शतरंज के मास्टर ने अपनी टुकड़ियों की स्थितियों को समायोजित करके बोर्ड पर सुधार किया।
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","By spreading rumors, they added fuel to the flames of the ongoing conflict","To keep the bonfire going, they added fuel to the flames by throwing more wood",they added fuel to the flames,Sie gossen Öl ins Feuer.,"Indem sie Gerüchte verbreiteten, gossen sie Öl ins Feuer des laufenden Konflikts.","Um das Lagerfeuer am Brennen zu halten, fügten sie Brennmaterial hinzu, indem sie mehr Holz warfen.",הם הוסיפו דלק ללהבות.,"על ידי הפצת שמועות, הם הוסיפו דלק ללהבות הסכסוך המתמשך.","כדי להמשיך את המדורה, הם הוסיפו דלק ללהבות על ידי זריקת עץ נוסף.","अफवाहों को फैलाकर, वे चल रहे विवाद की आग में तेल डाल दिया।","बोनफायर को जलाए रखने के लिए, वे अधिक लकड़ी फेंककर आग में ईंधन जोड़ते रहे।"
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project","In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels","With the deadline approaching, we were racing against the clock to finish the project","In the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",were racing against the clock,Wir rennen gegen die Uhr.,"Mit dem Annäherung der Frist waren wir gegen die Uhr am Rennen, um das Projekt abzuschließen.","In dem einzigartigen Wettbewerb traten die Teilnehmer gegen die Uhr an, indem sie versuchten, eine riesige Uhr auf Rädern zu überholen.",אנחנו מתחרים נגד השעון.,"עם המועד הקרוב, היינו מתחרים נגד השעון כדי לסיים את הפרויקט.","בתחרות הייחודית, המתחרים רצו נגד השעון על ידי ניסיון להתקדם מהשעון העצום על גלגלים.","अंतिम तिथि के नजदीक आते हुए, हम परियोजना को समाप्त करने के लिए समय के खिलाफ दौड़ रहे थे।","अनूठे प्रतियोगिता में, प्रतिभागियों ने एक बड़े पहियों वाले घड़ी को पीछे छोड़ने की कोशिश करके समय के खिलाफ दौड़ रहे थे।"
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,"When sanding wood, [[going against the grain]] can cause scratches and damage",His decision to quit his job was going against the grain of his family's expectations,"When sanding wood, going against the grain can cause scratches and damage",going against the grain,gegen den Strom schwimmen,"Seine Entscheidung, seinen Job aufzugeben, ging gegen den Strom der Erwartungen seiner Familie.","Beim Schleifen von Holz können Kratzer und Beschädigungen entstehen, wenn man gegen die Maserung arbeitet.",הולך נגד הזרע.,החלטתו לפרוש מהעבודה הייתה נגד תקוות המשפחה שלו.,"כשמשטחים עץ, הליכה נגד הגרגר עלולה לגרום לשריטות ונזקים.",उसका नौकरी छोड़ने का फैसला उसके परिवार की उम्मीदों के विपरीत था।,"लकड़ी को सैंडिंग करते समय, अनुचित दिशा में जाने से खरोंच और नुकसान हो सकता है।"
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,"By constantly learning new skills, she was staying ahead of the curve in her industry",The race car driver was staying ahead of the curve by maintaining a lead on the track,was staying ahead of the curve,"""Vor der Kurve bleiben""","Indem sie ständig neue Fähigkeiten lernte, blieb sie in ihrer Branche immer einen Schritt voraus.",Der Rennfahrer blieb durch eine Führung auf der Strecke immer einen Schritt voraus.,היה נמצא מקדים לזרם.,"על ידי למידת כישורים חדשים באופן קבוע, היא הייתה מתחילה לפני הסקירה בתעשייתה.",הגונבר היה מתחזק קדימה על ידי שמירה על יתרון על המסלול.,"बार-बार नए कौशल सीखते रहने से, वह अपने उद्योग में आगे रह रही थी।",रेस कार ड्राइवर ट्रैक पर अग्रणी रहकर कर्व से आगे रहने के लिए अपने आगे के स्थान को बनाए रखने से बच रहा था।
ahead of the pack,more successful than other people who are trying to achieve the same things,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry","During the marathon, the lead runner was [[staying ahead of the pack]] of other runners","By consistently innovating, the company is staying ahead of the pack in the industry","During the marathon, the lead runner was staying ahead of the pack of other runners",staying ahead of the pack,den anderen voraus bleiben,Durch kontinuierliche Innovation bleibt das Unternehmen in der Branche an der Spitze.,Während des Marathons blieb der führende Läufer vor dem Feld der anderen Läufer.,להישאר מובילים מהצוות,"על ידי המשכי חדשנות, החברה מתקדמת לפני המתחרים בתעשייה.","במהלך המרתון, הרץ המוביל היה מתחיל לפני הקבוצה של הרצים האחרים.","बिना थमे नवाचार करते हुए, कंपनी उद्योग में पैक से आगे बनी हुई है।","मैराथन के दौरान, लीड रनर दूसरे रनरों के दल से आगे बना रहा था।"
air their dirty laundry,to make public something embarrassing that should be kept secret,"During the family reunion, [[they aired their dirty laundry]] in front of everyone",[[They aired their dirty laundry]] outside on the clothesline,"During the family reunion, they aired their dirty laundry in front of everyone",They aired their dirty laundry outside on the clothesline,they aired their dirty laundry,Sie haben ihre schmutzige Wäsche ausgebreitet.,Während des Familientreffens haben sie ihre schmutzige Wäsche vor allen ausgebreitet.,Sie hängten ihre schmutzige Wäsche draußen auf der Wäscheleine auf.,הם שידרו את הכביסה המלוכלכת שלהם.,"במהלך הכנסת המשפחה, הם חשפו את הכביסה המלוכלכת שלהם לפני כולם.",הם תלו את הכביסה המלוכלכת שלהם בחוץ על החבל.,"परिवार विश्वासघात के दौरान, वे सभी के सामने अपने गंदे कपड़े धोने लगे।",उन्होंने अपने गंदे कपड़े बाहर धुले हुए कपड़ों की रस्सी पर सुखाए।
all Greek to me,used to convey that you cannot understand what is being said or written,"When he started talking about quantum physics, [[it's all Greek to me]]","Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]","When he started talking about quantum physics, it's all Greek to me","Since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",it's all Greek to me,Das ist für mich alles Griechisch.,"Als er anfing, über Quantenphysik zu sprechen, war es für mich wie Griechisch.","Da ich die Sprache nicht verstehe, ist für mich die griechische Zeitung wie ein Buch mit sieben Siegeln.",זה הכל יווני לי,"כשהוא התחיל לדבר על פיזיקה קוונטית, זה כל כך מוזר לי.","מכיוון שאני לא מבין את השפה, כשאני קורא את העיתון היווני, זה כלום עבורי.","जब वह क्वांटम भौतिकी के बारे में बात करने लगा, तब मेरे लिए सब ग्रीक है।","क्योंकि मुझे यह भाषा समझ नहीं आती, इसलिए जब मैं ग्रीक अखबार पढ़ता हूं, तो वह मेरे लिए सब ग्रीक हो जाता है।"
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"When she started telling her story, I promised to [[be all ears]]","In the surreal art exhibit, the walls appeared to [[be all ears]]","When she started telling her story, I promised to be all ears","In the surreal art exhibit, the walls appeared to be all ears",be all ears,"""Alle Ohren sein""","Als sie anfing, ihre Geschichte zu erzählen, versprach ich, ganz Ohr zu sein.",In der surrealen Kunstausstellung schienen die Wände alle Ohren zu haben.,תהיו כל האוזניים.,"כשהיא התחילה לספר את סיפורה, הבטחתי להיות כל אוזן.","בתערוכת האמנות הסוריאליסטית, הקירות נראו כאילו הם כל האוזניים.","जब वह अपनी कहानी सुनाना शुरू करी, मैंने वादा किया कि मैं पूरी तरह से ध्यान दूंगा।","सरगम कला प्रदर्शन में, दीवारों को सब कान लग रहे थे।"
all the rage,when something is the height of popularity,"In the 90s, [[the new fashion trend was all the rage]] among teenagers","When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more","In the 90s, the new fashion trend was all the rage among teenagers","When the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",the new fashion trend was all the rage,Der neue Modetrend war der letzte Schrei.,In den 90ern war der neue Modetrend bei Teenagern der letzte Schrei.,"Als der Laden ausverkauft war, war der neue Modetrend der letzte Schrei, da Kunden wütend nach mehr verlangten.",המגמה האופנתית החדשה הייתה הכי פופולרית,"בשנות ה-90, מגמת האופנה החדשה הייתה הכי פופולרית בקרב הנוער.","כאשר החנות נגמרה מהמלאי, מגמת האופנה החדשה הייתה הכי פופולרית כשהלקוחות בכעס דרשו עוד.","90 के दशक में, नई फैशन ट्रेंड टीनेजर्स के बीच सबसे लोकप्रिय थी।","जब स्टोर स्टॉक समाप्त हो गया था, तब नए फैशन ट्रेंड को ग्राहकों द्वारा नाराजगी से अधिक मांग की गई थी।"
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",Her career [[went all the way up]] after she landed a major role in a blockbuster movie,The elevator [[went all the way up]] to the top floor of the building,Her career went all the way up after she landed a major role in a blockbuster movie,The elevator went all the way up to the top floor of the building,went all the way up,gingen den ganzen Weg hinauf,"Ihre Karriere ging steil bergauf, nachdem sie eine Hauptrolle in einem Blockbuster-Film ergattert hatte.",Der Aufzug fuhr bis zur obersten Etage des Gebäudes.,הלך כל הדרך למעלה,קריירתה עלתה כולה לאחר שהיא קיבלה תפקיד עיקרי בסרט מצליח במיוחד.,המעלית עלתה עד לקומה העליונה של הבניין.,उसका करियर एक ब्लॉकबस्टर फिल्म में एक महत्वपूर्ण भूमिका हासिल करने के बाद पूरी तरह से ऊपर चला गया।,लिफ्ट इमारत के ऊपरी मंजिल तक पूरी तरह से चली गई।
an item,be involved in a romantic relationship,"After months of dating, they finally [[became an item]] and made their relationship official","In the virtual reality game, the player's avatar [[became an item]] to be collected by others","After months of dating, they finally became an item and made their relationship official","In the virtual reality game, the player's avatar became an item to be collected by others",became an item,wurden ein Paar,Nach Monaten des Datings wurden sie endlich ein Paar und machten ihre Beziehung offiziell.,"Im Virtual-Reality-Spiel wurde der Avatar des Spielers zu einem Gegenstand, der von anderen gesammelt werden konnte.",הפך לפריט,"לאחר חודשים של היכרויות, הם סוף סוף הפכו לזוג והכריזו על הקשר שלהם בצורה רשמית.","במשחק המציאות המדומה, האווטאר של השחקן הפך לפריט שאחרים יכולים לאסוף.","कई महीनों के डेटिंग के बाद, वे अंततः एक आइटम बन गए और अपने संबंध को आधिकारिक बना दिया।","वर्चुअल रिऐलिटी गेम में, खिलाड़ी का अवतार दूसरों द्वारा संग्रह करने के लिए एक आइटम बन गया।"
ants in pants,be extremely restless,He [[had ants in his pants]] and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]",He had ants in his pants and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and had ants in his pants",had ants in his pants,hatte Ameisen in seiner Hose,Er hatte Ameisen in den Hosen und konnte sich nicht auf die Präsentation konzentrieren.,Während des Picknicks setzte er sich versehentlich auf einen Ameisenhaufen und hatte Ameisen in seiner Hose.,היו נמלים במכנסיו.,היו נמלים במכנסיו ולא יכול להתמקד בהצגה.,"בזמן הפיקניק, הוא ישב בטעות על עקרבות והיו נמלים במכנסיו.",उसके पैंट में मक्खियाँ थीं और वह प्रस्तुति पर ध्यान केंद्रित नहीं कर सका।,जब उसने पिकनिक करते समय गलती से एक चींटी के ढेर पर बैठ गया था तो उसके पैंट में चींटियों ने घुस जाया।
apple polisher,a flatterer; toady,He got the promotion by [[being an apple polisher]] and constantly flattering the boss,She took up the job of [[being an apple polisher]] at the fruit market,He got the promotion by being an apple polisher and constantly flattering the boss,She took up the job of being an apple polisher at the fruit market,being an apple polisher,ein Apfel-Polierer sein,"Er hat die Beförderung bekommen, indem er ein Speichellecker war und den Chef ständig geschmeichelt hat.",Sie hat den Job als Apfel-Poliererin auf dem Obstmarkt übernommen.,להיות מצליח ומשבח את המורים.,קיבל את הקידום על ידי להיות מצליח ומחמיא לבוס באופן קבוע.,היא קיבלה את העבודה של לפנק את התפוחים בשוק הפירות.,वह एक सेब चमचा बनकर और निरंतर बॉस की खुशामद करके पदोन्नति प्राप्त की।,वह फल मंडी में सेब को चमकाने वाली की नौकरी ले ली।
apples to apples,having a fair comparison between the two things,"To make a fair judgment, we need [[to compare apples to apples]] in this situation","In the fruit market, we had [[to compare apples to apples]] to find the best quality","To make a fair judgment, we need to compare apples to apples in this situation","In the fruit market, we had to compare apples to apples to find the best quality",to compare apples to apples,Äpfel mit Äpfeln vergleichen.,"Um ein gerechtes Urteil zu fällen, müssen wir in dieser Situation Äpfel mit Äpfeln vergleichen.","Auf dem Obstmarkt mussten wir Äpfel mit Äpfeln vergleichen, um die beste Qualität zu finden.",להשוות תפוחים לתפוחים,"כדי לקבל דינה צודקת, עלינו להשוות תפוחים לתפוחים במצב זה.","בשוק הפירות, היינו צריכים להשוות תפוחים לתפוחים כדי למצוא את האיכות הטובה ביותר.","एक निष्पक्ष निर्णय लेने के लिए, हमें इस स्थिति में सेब को सेब से तुलना करने की आवश्यकता है।","फल मंडी में, हमें सबसे अच्छी गुणवत्ता ढूंढने के लिए सेबों को सेबों से तुलना करनी पड़ी।"
