idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_hi_gpt,p_l_he_gpt
apple polisher,a flatterer; toady,He got the promotion by [[being an apple polisher]] and constantly flattering the boss,She took up the job of [[being an apple polisher]] at the fruit market,He got the promotion by being an apple polisher and constantly flattering the boss,She took up the job of being an apple polisher at the fruit market,being an apple polisher,सेब की चमचगिरी करना।,היא קיבלה את העבודה של לפנק את התפוחים בשוק הפירות.
apples to apples,having a fair comparison between the two things,"To make a fair judgment, we need [[to compare apples to apples]] in this situation","In the fruit market, we had [[to compare apples to apples]] to find the best quality","To make a fair judgment, we need to compare apples to apples in this situation","In the fruit market, we had to compare apples to apples to find the best quality",to compare apples to apples,सेब को सेब से तुलना करना।,"בשוק הפירות, היינו צריכים להשוות תפוחים לתפוחים כדי למצוא את האיכות הטובה ביותר."
arm in arm,to be closely allied,The two companies [[walked arm in arm]] in their joint venture,"The couple [[walked arm in arm]] down the street, enjoying the evening",The two companies walked arm in arm in their joint venture,"The couple walked arm in arm down the street, enjoying the evening",walked arm in arm,हाथ में हाथ चला,"הזוג הלך ביד ביד ברחוב, נהנה מהערב."
as far as,to the extent of something,His influence extends [[as far as the eye can see]] in the business world,The vast desert stretched out [[as far as the eye can see]],His influence extends as far as the eye can see in the business world,The vast desert stretched out as far as the eye can see,as far as the eye can see,"जहाँ आंख जा सकती है, वहाँ तक।",המדבר הרחב התמתח כמה שהעין יכולה לראות
as long as,to put condition of time on an action,His patience was [[as long as the rope]] when dealing with difficult customers,The snake was [[as long as the rope]] lying next to it,His patience was as long as the rope when dealing with difficult customers,The snake was as long as the rope lying next to it,as long as the rope,जब तक रस्सी है।,הנחש היה באורך של החבל השוכב לידו.
asked for the moon,ask for something that is very difficult or impossible to get,He [[asked for the moon]] when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",He asked for the moon when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully asked for the moon as a birthday gift",asked for the moon,चाँद मांगा था।,"הילד, המתפעל מאסטרונומיה, בצורה משחקית ביקש את הירח כמתנת יום הולדת."
asleep at the switch,failing to attend to one's responsibilities or duties,The manager was [[asleep at the switch]] when the crisis occurred,The train operator fell [[asleep at the switch]] during his break,The manager was asleep at the switch when the crisis occurred,The train operator fell asleep at the switch during his break,asleep at the switch,स्विच पर सो जाना।,המפעיל של הרכבת נרדם על המתג במהלך ההפסקה שלו.
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",The manager was [[asleep at the wheel]] when the company lost a major client,He was so exhausted that he fell [[asleep at the wheel]] while driving,The manager was asleep at the wheel when the company lost a major client,He was so exhausted that he fell asleep at the wheel while driving,asleep at the wheel,व्हील पर सोता हुआ,הוא היה כל כך עייף שהוא נרדם על ההגה בזמן הנהיגה.
at an arm's length,as far away from your body as possible,She [[kept it at an arm's length]] to avoid getting too involved in the situation,He [[kept it at an arm's length]] to prevent the paint from smudging his clothes,She kept it at an arm's length to avoid getting too involved in the situation,He kept it at an arm's length to prevent the paint from smudging his clothes,kept it at an arm's length,उससे हट कर रखा।,הוא שמר על זה במרחק של זרוע כדי למנוע מהצבע להשאיר כתמים על הבגדים שלו.
at daggers drawn,almost ready to fight,The two politicians were [[at daggers drawn with each other]] during the debate,The actors were [[at daggers drawn with each other]] during the stage fight scene,The two politicians were at daggers drawn with each other during the debate,The actors were at daggers drawn with each other during the stage fight scene,at daggers drawn with each other,एक दूसरे के साथ काटिल तलवारें निकाले हुए।,השחקנים היו במצב של חרבות מושלכות זה בזה במהלך סצינת הקרב על הבמה.
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",[[She started at the bottom of the ladder]] in the company and worked her way up,"Before climbing, [[she started at the bottom of the ladder]] and checked each rung for stability",She started at the bottom of the ladder in the company and worked her way up,"Before climbing, she started at the bottom of the ladder and checked each rung for stability",She started at the bottom of the ladder,वह सीढ़ी के नीचे से शुरूआत की।,"לפני שהיא עלתה, היא התחילה בתחתית הסולם ובדקה כל מדרגה ליציבות."
at the drop of a dime,something that can happen very fast without hesitation,Our team is always [[ready at the drop of a dime]] to tackle any challenge,The coin collector was [[ready at the drop of a dime]] to catch the rare coin,Our team is always ready at the drop of a dime to tackle any challenge,The coin collector was ready at the drop of a dime to catch the rare coin,ready at the drop of a dime,एक डाइम के गिरते ही तैयार,המאסף של המטבעות היה מוכן בכל רגע לתפוס את המטבע הנדיר.
at the drop of the hat,to do something easily and without any preparation,She was always [[ready at the drop of a hat]] to help her friends,"As a professional hat catcher, he was [[ready at the drop of a hat]] to catch any falling hats",She was always ready at the drop of a hat to help her friends,"As a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",ready at the drop of a hat,तुरंत तैयार,"כמומחה בתפיסת כובעים, הוא היה מוכן בכל רגע לתפוס כל כובע שיופל."
at the helm,"in charge of an organization, group of people, etc.","She was [[at the helm of the project]], guiding the team to success","The captain stood [[at the helm of the project]], steering the ship through the storm","She was at the helm of the project, guiding the team to success","The captain stood at the helm of the project, steering the ship through the storm",at the helm of the project,परियोजना के नेतृत्व में,"הקפטן עמד בכיוון הפרויקט, מנהל את הספינה דרך הסערה."
ate her alive,to criticize someone severely because you are angry with them,The guilt of lying to her best friend [[it ate her alive]] for days,"In the horror movie, the monster found her hiding spot and [[it ate her alive]]",The guilt of lying to her best friend it ate her alive for days,"In the horror movie, the monster found her hiding spot and it ate her alive",it ate her alive,यह उसे जीवित खा गया।,"בסרט האימה, המפלצת מצאה את מקום ההסתת שלה ואכלה אותה חיה."
axe to grind,have a private or selfish reason for doing something,He [[had an axe to grind]] with his coworker after the disagreement,The lumberjack [[had an axe to grind]] before chopping down the tree,He had an axe to grind with his coworker after the disagreement,The lumberjack had an axe to grind before chopping down the tree,had an axe to grind,अपना अपना फायदा निकालना चाहना,החוטב עצים היה לו סיבה לגרוט את הגרזן לפני שהוא חיטך את העץ.
back against the wall,to be in a tough situation with limited options,"With no other options left, [[he had his back against the wall]] and had to make a decision",[[He had his back against the wall]] while waiting for the elevator,"With no other options left, he had his back against the wall and had to make a decision",He had his back against the wall while waiting for the elevator,he had his back against the wall,उसकी पीठ दीवार के साथ थी।,הוא היה עם הגב נגד הקיר בזמן המתנה למעלית.
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,[[She backed the wrong horse]] when she supported the losing candidate,"At the racetrack, [[she backed the wrong horse]] and lost her bet",She backed the wrong horse when she supported the losing candidate,"At the racetrack, she backed the wrong horse and lost her bet",She backed the wrong horse,उसने गलत घोड़े को समर्थन दिया।,"במסלול המרוצים, היא המרימה על הסוס הלא נכון ואיבדה את ההימור שלה."
backroom boy(s),people who work in anonymity,The company's success was largely due to [[the backroom boys]] who worked tirelessly behind the scenes,"In the storage area, [[the backroom boys]] were busy organizing and restocking shelves",The company's success was largely due to the backroom boys who worked tirelessly behind the scenes,"In the storage area, the backroom boys were busy organizing and restocking shelves",the backroom boys,पीछे के कमरे के लड़के,"באזור האחסון, הבנים מהחזית היו עסוקים בארגון והחזרת מדפים."
bad egg,someone who fails to meet expectations,"Despite his charming demeanor, he [[turned out to be a bad egg]] in the company",The carton of eggs we bought [[turned out to be a bad egg]] when we cracked it open,"Despite his charming demeanor, he turned out to be a bad egg in the company",The carton of eggs we bought turned out to be a bad egg when we cracked it open,turned out to be a bad egg,एक बुरा अंडा साबित हुआ।,הקרטון של הביצים שקנינו התברר כביצה רעה כשפתחנו אותה.
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,He felt like he [[was carrying a ball and chain]] with his overwhelming responsibilities,The prisoner [[was carrying a ball and chain]] as a part of his punishment,He felt like he was carrying a ball and chain with his overwhelming responsibilities,The prisoner was carrying a ball and chain as a part of his punishment,was carrying a ball and chain,बॉल और चेन को ले जा रहा था।,האסיר נשא כדור ושרשרת כחלק מהעונש שלו.
bare bones,most basic and important elements or facts,"During the meeting, she [[presented the bare bones]] of the project plan",The archaeologist [[presented the bare bones]] of the ancient skeleton,"During the meeting, she presented the bare bones of the project plan",The archaeologist presented the bare bones of the ancient skeleton,presented the bare bones,खुले तौर पर पेश किया गया।,הארכיאולוג מציג את העצמות החשופות של השלד העתיק.
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,Accusing her of stealing the documents [[was barking up the wrong tree]],"The confused dog [[was barking up the wrong tree]], as the squirrel had already moved to another one",Accusing her of stealing the documents was barking up the wrong tree,"The confused dog was barking up the wrong tree, as the squirrel had already moved to another one",was barking up the wrong tree,गलत रास्ते पर थोड़ा सा उलझा हुआ था।,"הכלב המבולבל ניבח למקום הלא נכון, מכיוון שהסנאי כבר התגורר בעץ אחר."
bats in the belfry,to be silly and slightly crazy and behave in a confused way,His wild theories and peculiar behavior made others think he [[had bats in the belfry]],The old church tower [[had bats in the belfry]] that flew out at dusk,His wild theories and peculiar behavior made others think he had bats in the belfry,The old church tower had bats in the belfry that flew out at dusk,had bats in the belfry,बेलफ्री में चमगादड़ थे।,המגדל הישן של הכנסייה היה עם עטלפים בגג המצרף שטפסו החוצה בשקיעה.
batten down the hatches,to get ready for trouble,"When the company announced layoffs, employees had [[to batten down the hatches]] and prepare for the worst","As the storm approached, the sailors rushed [[to batten down the hatches]] on the ship","When the company announced layoffs, employees had to batten down the hatches and prepare for the worst","As the storm approached, the sailors rushed to batten down the hatches on the ship",to batten down the hatches,हैचेस को बंद करना।,"כשהסער התקרב, החברים רצו לסגור את הדלתות והחלונות בספינה."
baying for blood,want somebody to be hurt or punished.,The angry mob was [[baying for blood]] after the politician's scandal,The pack of hungry wolves was [[baying for blood]] as they hunted their prey,The angry mob was baying for blood after the politician's scandal,The pack of hungry wolves was baying for blood as they hunted their prey,baying for blood,रक्त के लिए चीखते हुए,הצווארון של זאבים רעבים היו מציעים דם כשהם צידו את טרפם.
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,Their opposing political views put them [[on a collision course with each other]],"The two ships, sailing at full speed, were [[on a collision course with each other]]",Their opposing political views put them on a collision course with each other,"The two ships, sailing at full speed, were on a collision course with each other",on a collision course with each other,एक दूसरे से टकराव के रास्ते पर।,"השניים מכשירי השייט, המפלגים במהירות מלאה, היו במסלול התנגשות זה בזה."
beat around the bush,avoid talking about the main topic,"If you have something to say, just [[stop beating around the bush]] and tell me","If you want to trim the garden, [[stop beating around the bush]] and start cutting it","If you have something to say, just stop beating around the bush and tell me","If you want to trim the garden, stop beating around the bush and start cutting it",stop beating around the bush,बातों का घूमाफिरा करना बंद करो।,"אם ברצונך לגזום את הגינה, תפסיק להתבכיין ותתחיל לגזום אותה."
beat the drum,to speak eagerly about something you support,He tirelessly [[beat the drum for the cause]] to raise awareness about climate change,The musician [[beat the drum for the cause]] during the charity concert,He tirelessly beat the drum for the cause to raise awareness about climate change,The musician beat the drum for the cause during the charity concert,beat the drum for the cause,कारण के लिए ड्रम बजाओ।,המוזיקאי הכה על התוף עבור הסיבה במהלך הקונצרט הצדקני.
bee in bonnet,be possessed with one thought or scheme,She [[had a bee in her bonnet]] about the new policy changes,"During the picnic, she accidentally [[had a bee in her bonnet]] and panicked",She had a bee in her bonnet about the new policy changes,"During the picnic, she accidentally had a bee in her bonnet and panicked",had a bee in her bonnet,उसके दिमाग में एक मधुमक्खी थी।,"במהלך הפיקניק, היא קיבלה בטעות דבורה בכובע שלה ונבהלה."
been tailor made,specially made for a particular purpose,The job opportunity [[has been tailor made]] for her skills and experience,The suit [[has been tailor made]] to fit his measurements perfectly,The job opportunity has been tailor made for her skills and experience,The suit has been tailor made to fit his measurements perfectly,has been tailor made,अनुकूलित बनाया गया है।,החליפה נתפרה במיוחד כדי להתאים למידותיו בדיוק.
begun to see the light,to suddenly begin to understand,"After hours of studying, he finally [[began to see the light]] and understood the concept","As the sun rose, she [[began to see the light]] streaming through the window","After hours of studying, he finally began to see the light and understood the concept","As the sun rose, she began to see the light streaming through the window",began to see the light,प्रकाश दिखाई देना शुरू हुआ।,"כשהשמש זרחה, היא החלה לראות את האור הנוזף דרך החלון."
behind closed doors,in clandestine,The board members discussed the matter [[behind closed doors]] to maintain confidentiality,"They stood [[behind closed doors]] while discussing the matter, as the room was too noisy",The board members discussed the matter behind closed doors to maintain confidentiality,"They stood behind closed doors while discussing the matter, as the room was too noisy",behind closed doors,बंद दरवाजों के पीछे (band darwazon ke peeche),"הם עמדו מאחורי דלתות סגורות בזמן שדיברו על הנושא, מכיוון שהחדר היה רועש מדי."
being bouncing off the walls,excited and full of nervous energy,The kids were [[bouncing off the walls]] after eating too much candy,The rubber ball kept [[bouncing off the walls]] in the small room,The kids were bouncing off the walls after eating too much candy,The rubber ball kept bouncing off the walls in the small room,bouncing off the walls,दीवारों से टकराकर उछलना।,הכדור הגומי המשיך לקפוץ מהקירות בחדר הקטן.
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),I always [[bend over backwards for them]] to make sure they're happy,"During the yoga class, we had to [[bend over backwards for them]] to demonstrate the pose",I always bend over backwards for them to make sure they're happy,"During the yoga class, we had to bend over backwards for them to demonstrate the pose",bend over backwards for them,उनके लिए पीछे मुड़कर काम करना।,"במהלך השיעור יוגה, היינו צריכים להתעקש כדי שידגימו לנו את התנוחה."
bent out of shape,to become angry.,He [[got bent out of shape]] when he found out his favorite band was sold out,The metal rod [[got bent out of shape]] after the car accident,He got bent out of shape when he found out his favorite band was sold out,The metal rod got bent out of shape after the car accident,got bent out of shape,आकार से उलझ गया,המוט המתכתי נעקף מצורתו לאחר תאונת הרכב.
bent your ears,to talk to someone for a very long time about something boring,The speaker [[bent their ears]] with his captivating stories,The strong wind [[bent their ears]] as they walked through the storm,The speaker bent their ears with his captivating stories,The strong wind bent their ears as they walked through the storm,bent their ears,उन्होंने अपने कान मोड़ लिए।,הרוח החזקה העקרה את אזניהם כשהם הלכו דרך הסערה.
bet on the wrong horse,support a person or thing that ultimately fails,[[She bet on the wrong horse]] when she chose to invest in that failing company,"At the racetrack, [[she bet on the wrong horse]] and lost her money",She bet on the wrong horse when she chose to invest in that failing company,"At the racetrack, she bet on the wrong horse and lost her money",She bet on the wrong horse,उसने गलत घोड़े पर शर्त लगाई।,"במסלול המרוצים, היא המרימה על הסוס הלא נכון ואיבדה את הכסף שלה."
between a rock and a hard place,having two very bad choices,He was [[caught between a rock and a hard place]] when he had to choose between his job and his family,"While hiking, she found herself [[caught between a rock and a hard place]] in a narrow passage",He was caught between a rock and a hard place when he had to choose between his job and his family,"While hiking, she found herself caught between a rock and a hard place in a narrow passage",caught between a rock and a hard place,एक चट्टान और एक कठिन स्थान के बीच फंस गया।,"במהלך הטיול, היא מצאה את עצמה תפוסה בין סלע למקום קשה במעבר צר."
between you and me,a secret to be kept between two people,"[[Between you and me, there's a secret]] that I can't share with anyone else","He placed a mysterious box [[between you and me, there's a secret]] hidden inside it","Between you and me, there's a secret that I can't share with anyone else","He placed a mysterious box between you and me, there's a secret hidden inside it","Between you and me, there's a secret","तुम्हारे और मेरे बीच, एक रहस्य है।","הוא נתן תיבה מסתורית בינינו, יש סוד מוסתר בתוכה."
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",The psychic claimed [[she looked beyond the veil]] and communicated with spirits,"Standing in front of the window, [[she looked beyond the veil]] and saw the beautiful garden",The psychic claimed she looked beyond the veil and communicated with spirits,"Standing in front of the window, she looked beyond the veil and saw the beautiful garden",she looked beyond the veil,वह पर्दे के परे देख रही थी।,"עומדת מול החלון, היא הסתכלה מעבר לפרגוד וראתה את הגן היפה."
big brother,A large organization or government agency that tries to control all aspects of human life and society.,"With the new surveillance system, we felt like we were being [[watched by big brother]]","As the younger sibling, she was always [[watched by big brother]] during their childhood","With the new surveillance system, we felt like we were being watched by big brother","As the younger sibling, she was always watched by big brother during their childhood",watched by big brother,बड़े भाई द्वारा देखा गया।,"כאחות הצעירה, היא תמיד נשקדה על ידי האח הגדול בימי הילדות שלהם."
big cheese,to be an important and successful individual,"In the company, he's [[the big cheese]] and everyone respects him","At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","In the company, he's the big cheese and everyone respects him","At the cheese festival, they displayed the big cheese weighing over 100 pounds",the big cheese,बड़ा चीज़ (baṛā chīz),"בפסטיבל הגבינות, הציגו את הגבינה הגדולה ששוקלת מעל 100 פאונד."
