idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt,p_l_ko_gpt,p_f_es_gpt,p_l_es_gpt,p_a_yo_gpt,p_f_yo_gpt
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining","After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground","He was always being a wet blanket at parties, constantly complaining","After the rainstorm, the picnic blanket was being a wet blanket on the ground",being a wet blanket,Az eső után a piknik takaró nedves takaróként feküdt a földön.,"""물에 젖은 담요가 되는 것""","그는 파티에서 항상 기분 나쁜 사람이었고, 끊임없이 불평을 했다.","비바람이 지나고 나서, 소풍 담요는 땅 위에서 젖은 담요가 되어 있었다.","Él siempre era un aguafiestas en las fiestas, quejándose constantemente.","Después de la tormenta, la manta de picnic estaba siendo una manta mojada en el suelo.",ko si ohun tó bá gbé ìtàn wá lórí àwon ènìyàn.,"O ti ṣe ọmọdé ẹwẹ lori awọn ọjọgbọn, nitori o nilo ni ẹrọ lọwọ."
a whale of,very big (piece) of something,We [[had a whale of a time]] at the amusement park,The marine biologist [[had a whale of a time]] studying the humpback's behavior,We had a whale of a time at the amusement park,The marine biologist had a whale of a time studying the humpback's behavior,had a whale of a time,"A tengerbiológus nagyon jól érezte magát, amikor tanulmányozta a bálna viselkedését.","""had a whale of a time"" -> ""정말 즐거운 시간을 보냈다""",우리는 놀이공원에서 매우 즐거운 시간을 보냈습니다.,해양 생물학자는 고래의 행동을 연구하는 데 큰 즐거움을 느꼈다.,Nos divertimos muchísimo en el parque de atracciones.,El biólogo marino la pasó de maravilla estudiando el comportamiento de la ballena jorobada.,"ko si ohun tuntun ti o le fi sile fun ""had a whale of a time"" ni Yoruba.",Awa ni ojo ti o dara pupo ni parki ajeju.
a whole new ball game,a significant change in circumstances.,"After the company's merger, [[it's a whole new ball game]] for the employees","When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","After the company's merger, it's a whole new ball game for the employees","When they switched from soccer to baseball, it's a whole new ball game for the players",it's a whole new ball game,"Amikor áttértek a fociról a baseballra, az teljesen új játék volt a játékosok számára.",이것은 완전히 새로운 게임이다.,"회사 합병 이후, 직원들에게는 완전히 새로운 상황이다.","그들이 축구에서 야구로 전환하면, 선수들에게는 완전히 새로운 경기가 됩니다.","Después de la fusión de la empresa, es un juego completamente nuevo para los empleados.","Cuando cambiaron del fútbol al béisbol, es un juego completamente nuevo para los jugadores.",O jẹ lilo ọpọlọpọ ayọkẹlẹ tuntun.,"Lẹhin itọsọna ẹrọ ayẹyẹ, o jẹ lilo ọkan lọwọ fun awọn ọrọ-ọrọ."
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The company [[started a witch hunt]] to find the person responsible for the leak,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately",The company started a witch hunt to find the person responsible for the leak,"During the historical reenactment, they started a witch hunt to portray the events accurately",started a witch hunt,"A történelmi újrajátszás során boszorkányüldözést kezdtek, hogy hűen ábrázolják az eseményeket.",마녀사냥을 시작했다.,그 회사는 유출을 책임지는 사람을 찾기 위해 마녀사냥을 시작했다.,"역사 재현 중에, 그들은 사건을 정확하게 묘사하기 위해 마녀 사냥을 시작했습니다.",La compañía inició una caza de brujas para encontrar a la persona responsable de la filtración.,"Durante la recreación histórica, comenzaron una caza de brujas para representar los eventos con precisión.",Bẹ́gin ni ìtàn àjẹ́.,Iṣẹlẹ ti bẹrẹ aṣẹ fun omo eni ti o ni ẹ̀rọ ti o ṣe.
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,Moving in together was the acid test for their relationship to see if they could handle living with each other,The chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,the acid test for their relationship,"A kémiai laboratóriumi kísérlet az acid teszt volt a kapcsolatukra, mivel együtt kellett dolgozniuk a különböző oldatok pH-jának meghatározásához.",그들의 관계에 대한 산성 시험,함께 살기는 서로가 함께 지낼 수 있는지 확인하기 위한 그들의 관계의 산성 시험이었습니다.,화학 실험실 실험은 다양한 용액의 pH를 결정하기 위해 함께 작업해야 했기 때문에 그들의 관계에 대한 산성 시험이었다.,Mudarse juntos fue la prueba de fuego para su relación para ver si podían convivir el uno con el otro.,El experimento del laboratorio de química fue la prueba ácida para su relación ya que tuvieron que trabajar juntos para determinar el pH de varias soluciones.,iṣẹ́ àṣidì nípa ìṣẹ́-rẹ wọn.,Iwọle wa ni o ni idanwo niwaju awọn ọrẹ rẹ lati ri pe wọ le ṣe iranlọwọ pẹlu wọn.
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,The company saw improvements across the board after implementing new strategies,The chess master made improvements across the board by adjusting the positions of his pieces,improvements across the board,"A sakk mester javításokat hajtott végre az egész táblán, a bábui pozícióinak beállításával.",전반적인 개선,"새로운 전략을 시행한 후, 회사는 전반적으로 개선되었습니다.",체스 마스터는 그의 말들의 위치를 조정하여 보드 전체에서 개선을 이루었습니다.,La empresa vio mejoras en todos los aspectos después de implementar nuevas estrategias.,El maestro de ajedrez hizo mejoras en todo el tablero ajustando las posiciones de sus piezas.,iṣẹda ni gbogbo alagbara.,Ile-iṣẹ̀ yìí ti ṣe iṣẹ́darí ni gbogbo àwọn ẹ̀rọ̀ nígbà ti wọ́n ti ṣe ìtọ́júlọ̀ látọ́jọ́ àgbáyé lórí àwọn ìṣẹ́ tí wọ́n ti ṣe.
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","By spreading rumors, they added fuel to the flames of the ongoing conflict","To keep the bonfire going, they added fuel to the flames by throwing more wood",they added fuel to the flames,"A tábortűz égésben tartása érdekében tüzelőanyaggal dobálták fel a lángokat, több fát dobva a tűzre.",그들은 불길에 기름을 더했다.,루머를 퍼뜨리면서 그들은 진행 중인 갈등의 불길에 기름을 붓고 있었다.,불을 계속 유지하기 위해 그들은 더 많은 나무를 던져 연료를 불에 더했다.,"Al difundir rumores, añadieron combustible a las llamas del conflicto en curso.","Para mantener encendida la fogata, añadieron combustible a las llamas arrojando más leña.",Won ti fi iya eje sile fun awon ina.,"Nitoripe won ti nso oro, won ti fi oju aye si ina iranlowo ti o wa ni idamu."
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project","In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels","With the deadline approaching, we were racing against the clock to finish the project","In the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",were racing against the clock,"Az egyedi versenyen a résztvevők az idővel versenyeztek, megpróbálva megelőzni egy óriási kerekű órát.",우리는 시간과의 경주를 벌이고 있습니다.,마감 기한이 다가오자 우리는 프로젝트를 끝내기 위해 시간과의 경쟁을 벌이고 있었다.,독특한 대회에서 참가자들은 바퀴 달린 거대한 시계를 앞지르려고 시간과 경쟁했습니다.,"Con la fecha límite acercándose, estábamos corriendo contra el reloj para terminar el proyecto.","En la competencia única, los participantes corrían contra el reloj tratando de superar a un gigantesco reloj sobre ruedas.",Awa ni odo agbara ti a npe ni Yoruba.,"Pelé ni o ti wa niwaju, a ti nṣe iṣẹ yii niwaju agogo."
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,"When sanding wood, [[going against the grain]] can cause scratches and damage",His decision to quit his job was going against the grain of his family's expectations,"When sanding wood, going against the grain can cause scratches and damage",going against the grain,"Amikor fát csiszolunk, az ellen a szálirány ellen dolgozni karcolásokat és károkat okozhat.","""going against the grain""의 한국어 번역: 관습에 어긋나다.",그의 직장을 그만두기로 한 결정은 그의 가족의 기대에 반하는 것이었다.,"목재를 갈 때, 나무의 섬유 방향과 반대로 가면 스크래치와 손상을 일으킬 수 있습니다.",Su decisión de renunciar a su trabajo iba en contra de las expectativas de su familia.,"Cuando se lija la madera, ir en contra de la veta puede causar rayones y daños.",maa ṣe àgbàlàgbàlá.,Iyanu lati fi owo re sile ni o wa ni ipele awon ile-iwe re.
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,"By constantly learning new skills, she was staying ahead of the curve in her industry",The race car driver was staying ahead of the curve by maintaining a lead on the track,was staying ahead of the curve,"A versenyző az ív előtt maradt, azáltal hogy megtartotta az előnyét a pályán.","""미리 예측하여 대처하고 있었다.""",그녀는 지속적으로 새로운 기술을 배움으로써 자신의 산업에서 앞서 나갔습니다.,레이스 카 드라이버는 트랙에서 선두를 유지하여 곡선을 앞서 나가고 있었다.,"Al aprender constantemente nuevas habilidades, ella se mantenía por delante de la curva en su industria.",El conductor de carreras estaba manteniéndose por delante de la curva al mantener una ventaja en la pista.,ko si iṣẹju lati ṣe afikun.,"Nitorina ti o si ni owo owo titun ti o maa nṣe, o ti wa ni ibere ni orile-ede rẹ."
ahead of the pack,more successful than other people who are trying to achieve the same things,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry","During the marathon, the lead runner was [[staying ahead of the pack]] of other runners","By consistently innovating, the company is staying ahead of the pack in the industry","During the marathon, the lead runner was staying ahead of the pack of other runners",staying ahead of the pack,A maraton alatt a vezető futó előtt maradt a többi futó csoportja.,팩 앞서 유지하기,"일관된 혁신을 통해, 그 회사는 산업에서 앞서 나가고 있습니다.","마라톤 도중, 선두 주자는 다른 선수들의 무리 앞에 머물고 있었다.","Al innovar constantemente, la empresa se mantiene a la vanguardia en la industria.","Durante el maratón, el corredor líder se mantenía adelante del grupo de otros corredores.",ni ipari ti awọn ọmọde.,"Nipa aṣayan ti o ṣe ni ojulowo, o nilo ni ibeere ni ilu."
air their dirty laundry,to make public something embarrassing that should be kept secret,"During the family reunion, [[they aired their dirty laundry]] in front of everyone",[[They aired their dirty laundry]] outside on the clothesline,"During the family reunion, they aired their dirty laundry in front of everyone",They aired their dirty laundry outside on the clothesline,they aired their dirty laundry,A piszkos ruháikat kint szárították a ruhaszárítón.,그들은 자신들의 더러운 빨래를 공개했다.,가족 재회 중에 그들은 모두 앞에서 자신들의 더러운 빨래를 공개했다.,그들은 옷걸이에 더러운 빨래를 걸어 밖에 공개했다.,"Durante la reunión familiar, lavaron su ropa sucia delante de todos.",Ellos colgaron su ropa sucia en el tendedero afuera.,Won ti gbe ẹyin wọn lọwọ wọn.,"Ni iranlọwọ ẹbi, wọn ti ṣe irinṣẹ wọn ni aaye gbogbo."
all Greek to me,used to convey that you cannot understand what is being said or written,"When he started talking about quantum physics, [[it's all Greek to me]]","Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]","When he started talking about quantum physics, it's all Greek to me","Since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",it's all Greek to me,"Mivel nem értem a nyelvet, amikor olvasom a görög újságot, az nekem mind görögül hangzik.",그건 내게는 그리스어 같아요.,"그가 양자 물리학에 대해 이야기하기 시작하면, 나에게는 그리스어처럼 들린다.",나는 언어를 이해하지 못하기 때문에 그리스 신문을 읽을 때는 모두 그리스어 같아요.,"Cuando empezó a hablar sobre física cuántica, todo me sonó a chino.","Como no entiendo el idioma, cuando leo el periódico griego, todo me suena a chino.",Mo ni wipe owo Yoruba ni.,"Nigbati o bẹrẹ si so nipa fisiks quantum, gbogbo ohun ti o nso ni Greek fun mi."
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"When she started telling her story, I promised to [[be all ears]]","In the surreal art exhibit, the walls appeared to [[be all ears]]","When she started telling her story, I promised to be all ears","In the surreal art exhibit, the walls appeared to be all ears",be all ears,"A szürrealista művészeti kiállításon úgy tűnt, mintha a falak mind fülek lennének.",귀 기울이다.,"그녀가 이야기하기 시작하면서, 나는 귀 기울일 것을 약속했다.",초현실주의 예술 전시회에서 벽은 귀처럼 보였다.,"Cuando ella empezó a contar su historia, prometí estar completamente atento.","En la exposición de arte surrealista, las paredes parecían ser todo oídos.",gbogbo ohun ni mi nko.,"Nigbati o bẹrẹ si kọ awọn ọrọ rẹ, mo fi iru ọtun jẹ."
all the rage,when something is the height of popularity,"In the 90s, [[the new fashion trend was all the rage]] among teenagers","When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more","In the 90s, the new fashion trend was all the rage among teenagers","When the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",the new fashion trend was all the rage,"Amikor az üzlet kifogyott a készletből, az új divattrend nagy népszerűségnek örvendett, mivel a vásárlók dühösen követelték a többet.",새로운 패션 트렌드가 대세였다.,90년대에는 십대들 사이에서 새로운 패션 트렌드가 대유행이었습니다.,"가게에서 재고가 바닥나자, 고객들은 분노스러운 표정으로 더 많은 것을 요구하며 새로운 패션 트렌드가 대세가 되었다.","En los años 90, la nueva tendencia de moda estaba muy de moda entre los adolescentes.","Cuando la tienda se quedó sin stock, la nueva tendencia de moda fue la sensación mientras los clientes exigían más enojados.",ìtàn ìṣẹ́-ṣíṣẹ́ tuntun jẹ́ ìgbàgbọ́n lórí àwọn ènìyàn.,"Ni gbogbo ogo 90s, iṣẹ́ ẹ̀wọ́n tí wọ́n tún bẹ̀rẹ̀ ni ọ̀rọ̀ àwọn ọmọde."
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",Her career [[went all the way up]] after she landed a major role in a blockbuster movie,The elevator [[went all the way up]] to the top floor of the building,Her career went all the way up after she landed a major role in a blockbuster movie,The elevator went all the way up to the top floor of the building,went all the way up,A lift felment az épület legfelső emeletéig.,모두 올라갔습니다.,그녀는 대성공 영화에서 주요 역할을 맡은 후에 경력이 급부상했다.,엘리베이터는 건물의 맨 꼭대기 층까지 올라갔습니다.,Su carrera despegó después de conseguir un papel principal en una película taquillera.,El ascensor subió hasta el último piso del edificio.,ni gbogbo alaye ni o si loke loke.,Ijoba rẹ ti ṣe oke pupọ nitori o ti gbe ọrọ kan to dara lati gbe ni ọrọ ọfẹ.
an item,be involved in a romantic relationship,"After months of dating, they finally [[became an item]] and made their relationship official","In the virtual reality game, the player's avatar [[became an item]] to be collected by others","After months of dating, they finally became an item and made their relationship official","In the virtual reality game, the player's avatar became an item to be collected by others",became an item,A virtuális valóság játékban a játékos avatárja mások által gyűjtendő tárggyá vált.,항목이 되었다.,"몇 달간의 데이트 끝에, 그들은 드디어 커플이 되어서 그들의 관계를 공식화했다.","가상 현실 게임에서, 플레이어의 아바타는 다른 사람들이 수집할 아이템이 되었습니다.","Después de meses de citas, finalmente se convirtieron en pareja y oficializaron su relación.","En el juego de realidad virtual, el avatar del jugador se convirtió en un objeto a ser recolectado por otros.",ni ipo.,"Ni ipo ti ojo merin ti won ti nko, won ni o ti wa ni agbegbe ati ni ipo won ni won ti gba awon ohun won lati wa ni ofin."
ants in pants,be extremely restless,He [[had ants in his pants]] and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]",He had ants in his pants and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and had ants in his pants",had ants in his pants,Picknikezés közben véletlenül egy hangyabolyra ült és hangyák voltak a nadrágjában.,그는 바지 안에 개미가 있었다.,그는 바쁜 미끄럼틀처럼 움직이며 발표에 집중할 수 없었다.,소풍 중에 그는 실수로 개미굴에 앉아서 바지 안에 개미가 들어갔다.,Tenía hormigas en los pantalones y no podía concentrarse en la presentación.,"Mientras hacía un picnic, se sentó accidentalmente en un hormiguero y tuvo hormigas en sus pantalones.",ko si isebe ninu bata re.,O ni eran igbin ni ori re ati ko le fi inu rẹ han ni ipo yii.
apple polisher,a flatterer; toady,He got the promotion by [[being an apple polisher]] and constantly flattering the boss,She took up the job of [[being an apple polisher]] at the fruit market,He got the promotion by being an apple polisher and constantly flattering the boss,She took up the job of being an apple polisher at the fruit market,being an apple polisher,Ő vállalta el az alma polírozó munkát a gyümölcspiacon.,사과 광택제를 발라주는 사람이 되는 것.,그는 상사를 아첨하고 지속적으로 아첨하여 승진을 받았다.,그녀는 과일 시장에서 사과 닦는 일을 맡았다.,Obtuvo la promoción siendo un adulador y halagando constantemente al jefe.,Ella tomó el trabajo de ser una pulidora de manzanas en el mercado de frutas.,ko si ohun ti o le fi oju owo re sile fun apu apari alawo osan,O ti gba ifẹsowopo nipa ti o je apẹrẹ ati ti o si ni ọrọ alaini pupọ si oga.
apples to apples,having a fair comparison between the two things,"To make a fair judgment, we need [[to compare apples to apples]] in this situation","In the fruit market, we had [[to compare apples to apples]] to find the best quality","To make a fair judgment, we need to compare apples to apples in this situation","In the fruit market, we had to compare apples to apples to find the best quality",to compare apples to apples,"A gyümölcspiacon azon kellett összehasonlítanunk az almákat, hogy megtaláljuk a legjobb minőséget.",사과를 사과와 비교하다.,이 상황에서 공정한 판단을 내리기 위해서는 사과를 사과와 비교해야 합니다.,과일 시장에서는 최고 품질을 찾기 위해 사과와 사과를 비교해야 했습니다.,"Para hacer un juicio justo, necesitamos comparar manzanas con manzanas en esta situación.","En el mercado de frutas, tuvimos que comparar manzanas con manzanas para encontrar la mejor calidad.",lati so awọn apusọ si apusọ.,"Fun ni lati so iye ayo kan, a nilo lati so iye ayo kan ni ijo yii."
arm in arm,to be closely allied,The two companies [[walked arm in arm]] in their joint venture,"The couple [[walked arm in arm]] down the street, enjoying the evening",The two companies walked arm in arm in their joint venture,"The couple walked arm in arm down the street, enjoying the evening",walked arm in arm,"A pár karöltve sétált az utcán, élvezve az estét.",팔짱을 끼고 걸었다.,두 회사는 합작사에서 팔짱을 끼고 함께 걸었다.,저 두 사람은 팔짱을 끼고 거리를 걸으며 저녁을 즐기고 있었다.,Las dos empresas caminaron juntas de la mano en su empresa conjunta.,"La pareja caminó tomados de la mano por la calle, disfrutando de la noche.",ni oogun ni oogun,Awọn meji ọmọ-ogun ti wa ni ipinlẹ wọn ti ṣe iranlọwọ wọn ni ipinlẹ wọn.
as far as,to the extent of something,His influence extends [[as far as the eye can see]] in the business world,The vast desert stretched out [[as far as the eye can see]],His influence extends as far as the eye can see in the business world,The vast desert stretched out as far as the eye can see,as far as the eye can see,Az óriási sivatag a szemhatárig terjedt.,눈이 볼 수 있는 한.,그의 영향력은 비즈니스 세계에서 눈이 닿는 한계까지 이어진다.,눈이 닿을 만큼 멀리까지 펼쳐진 광활한 사막이 있었다.,Su influencia se extiende hasta donde alcanza la vista en el mundo de los negocios.,El vasto desierto se extendía tan lejos como alcanzaba la vista.,Nipa eyin oju le wo.,Iwadi rẹ ni o ṣe lọ nipa lati oju kan kan ni ile-iṣẹ.
