idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining","After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground","He was always being a wet blanket at parties, constantly complaining","After the rainstorm, the picnic blanket was being a wet blanket on the ground",being a wet blanket,Az eső után a piknik takaró nedves takaróként feküdt a földön.,"""물에 젖은 담요가 되는 것""","그는 파티에서 항상 기분 나쁜 사람이었고, 끊임없이 불평을 했다."
a whale of,very big (piece) of something,We [[had a whale of a time]] at the amusement park,The marine biologist [[had a whale of a time]] studying the humpback's behavior,We had a whale of a time at the amusement park,The marine biologist had a whale of a time studying the humpback's behavior,had a whale of a time,"A tengerbiológus nagyon jól érezte magát, amikor tanulmányozta a bálna viselkedését.","""had a whale of a time"" -> ""정말 즐거운 시간을 보냈다""",우리는 놀이공원에서 매우 즐거운 시간을 보냈습니다.
a whole new ball game,a significant change in circumstances.,"After the company's merger, [[it's a whole new ball game]] for the employees","When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","After the company's merger, it's a whole new ball game for the employees","When they switched from soccer to baseball, it's a whole new ball game for the players",it's a whole new ball game,"Amikor áttértek a fociról a baseballra, az teljesen új játék volt a játékosok számára.",이것은 완전히 새로운 게임이다.,"회사 합병 이후, 직원들에게는 완전히 새로운 상황이다."
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The company [[started a witch hunt]] to find the person responsible for the leak,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately",The company started a witch hunt to find the person responsible for the leak,"During the historical reenactment, they started a witch hunt to portray the events accurately",started a witch hunt,"A történelmi újrajátszás során boszorkányüldözést kezdtek, hogy hűen ábrázolják az eseményeket.",마녀사냥을 시작했다.,그 회사는 유출을 책임지는 사람을 찾기 위해 마녀사냥을 시작했다.
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,Moving in together was the acid test for their relationship to see if they could handle living with each other,The chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,the acid test for their relationship,"A kémiai laboratóriumi kísérlet az acid teszt volt a kapcsolatukra, mivel együtt kellett dolgozniuk a különböző oldatok pH-jának meghatározásához.",그들의 관계에 대한 산성 시험,함께 살기는 서로가 함께 지낼 수 있는지 확인하기 위한 그들의 관계의 산성 시험이었습니다.
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,The company saw improvements across the board after implementing new strategies,The chess master made improvements across the board by adjusting the positions of his pieces,improvements across the board,"A sakk mester javításokat hajtott végre az egész táblán, a bábui pozícióinak beállításával.",전반적인 개선,"새로운 전략을 시행한 후, 회사는 전반적으로 개선되었습니다."
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","By spreading rumors, they added fuel to the flames of the ongoing conflict","To keep the bonfire going, they added fuel to the flames by throwing more wood",they added fuel to the flames,"A tábortűz égésben tartása érdekében tüzelőanyaggal dobálták fel a lángokat, több fát dobva a tűzre.",그들은 불길에 기름을 더했다.,루머를 퍼뜨리면서 그들은 진행 중인 갈등의 불길에 기름을 붓고 있었다.
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project","In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels","With the deadline approaching, we were racing against the clock to finish the project","In the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",were racing against the clock,"Az egyedi versenyen a résztvevők az idővel versenyeztek, megpróbálva megelőzni egy óriási kerekű órát.",우리는 시간과의 경주를 벌이고 있습니다.,마감 기한이 다가오자 우리는 프로젝트를 끝내기 위해 시간과의 경쟁을 벌이고 있었다.
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,"When sanding wood, [[going against the grain]] can cause scratches and damage",His decision to quit his job was going against the grain of his family's expectations,"When sanding wood, going against the grain can cause scratches and damage",going against the grain,"Amikor fát csiszolunk, az ellen a szálirány ellen dolgozni karcolásokat és károkat okozhat.","""going against the grain""의 한국어 번역: 관습에 어긋나다.",그의 직장을 그만두기로 한 결정은 그의 가족의 기대에 반하는 것이었다.
ahead of the curve,better than others,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,"By constantly learning new skills, she was staying ahead of the curve in her industry",The race car driver was staying ahead of the curve by maintaining a lead on the track,was staying ahead of the curve,"A versenyző az ív előtt maradt, azáltal hogy megtartotta az előnyét a pályán.","""미리 예측하여 대처하고 있었다.""",그녀는 지속적으로 새로운 기술을 배움으로써 자신의 산업에서 앞서 나갔습니다.
ahead of the pack,more successful than other people who are trying to achieve the same things,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry","During the marathon, the lead runner was [[staying ahead of the pack]] of other runners","By consistently innovating, the company is staying ahead of the pack in the industry","During the marathon, the lead runner was staying ahead of the pack of other runners",staying ahead of the pack,A maraton alatt a vezető futó előtt maradt a többi futó csoportja.,팩 앞서 유지하기,"일관된 혁신을 통해, 그 회사는 산업에서 앞서 나가고 있습니다."
air their dirty laundry,to make public something embarrassing that should be kept secret,"During the family reunion, [[they aired their dirty laundry]] in front of everyone",[[They aired their dirty laundry]] outside on the clothesline,"During the family reunion, they aired their dirty laundry in front of everyone",They aired their dirty laundry outside on the clothesline,they aired their dirty laundry,A piszkos ruháikat kint szárították a ruhaszárítón.,그들은 자신들의 더러운 빨래를 공개했다.,가족 재회 중에 그들은 모두 앞에서 자신들의 더러운 빨래를 공개했다.
all Greek to me,used to convey that you cannot understand what is being said or written,"When he started talking about quantum physics, [[it's all Greek to me]]","Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]","When he started talking about quantum physics, it's all Greek to me","Since I don't understand the language, when I read the Greek newspaper, it's all Greek to me",it's all Greek to me,"Mivel nem értem a nyelvet, amikor olvasom a görög újságot, az nekem mind görögül hangzik.",그건 내게는 그리스어 같아요.,"그가 양자 물리학에 대해 이야기하기 시작하면, 나에게는 그리스어처럼 들린다."
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,"When she started telling her story, I promised to [[be all ears]]","In the surreal art exhibit, the walls appeared to [[be all ears]]","When she started telling her story, I promised to be all ears","In the surreal art exhibit, the walls appeared to be all ears",be all ears,"A szürrealista művészeti kiállításon úgy tűnt, mintha a falak mind fülek lennének.",귀 기울이다.,"그녀가 이야기하기 시작하면서, 나는 귀 기울일 것을 약속했다."
all the rage,when something is the height of popularity,"In the 90s, [[the new fashion trend was all the rage]] among teenagers","When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more","In the 90s, the new fashion trend was all the rage among teenagers","When the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",the new fashion trend was all the rage,"Amikor az üzlet kifogyott a készletből, az új divattrend nagy népszerűségnek örvendett, mivel a vásárlók dühösen követelték a többet.",새로운 패션 트렌드가 대세였다.,90년대에는 십대들 사이에서 새로운 패션 트렌드가 대유행이었습니다.
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",Her career [[went all the way up]] after she landed a major role in a blockbuster movie,The elevator [[went all the way up]] to the top floor of the building,Her career went all the way up after she landed a major role in a blockbuster movie,The elevator went all the way up to the top floor of the building,went all the way up,A lift felment az épület legfelső emeletéig.,모두 올라갔습니다.,그녀는 대성공 영화에서 주요 역할을 맡은 후에 경력이 급부상했다.
an item,be involved in a romantic relationship,"After months of dating, they finally [[became an item]] and made their relationship official","In the virtual reality game, the player's avatar [[became an item]] to be collected by others","After months of dating, they finally became an item and made their relationship official","In the virtual reality game, the player's avatar became an item to be collected by others",became an item,A virtuális valóság játékban a játékos avatárja mások által gyűjtendő tárggyá vált.,항목이 되었다.,"몇 달간의 데이트 끝에, 그들은 드디어 커플이 되어서 그들의 관계를 공식화했다."
ants in pants,be extremely restless,He [[had ants in his pants]] and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]",He had ants in his pants and couldn't focus on the presentation,"While picnicking, he accidentally sat on an anthill and had ants in his pants",had ants in his pants,Picknikezés közben véletlenül egy hangyabolyra ült és hangyák voltak a nadrágjában.,그는 바지 안에 개미가 있었다.,그는 바쁜 미끄럼틀처럼 움직이며 발표에 집중할 수 없었다.
apple polisher,a flatterer; toady,He got the promotion by [[being an apple polisher]] and constantly flattering the boss,She took up the job of [[being an apple polisher]] at the fruit market,He got the promotion by being an apple polisher and constantly flattering the boss,She took up the job of being an apple polisher at the fruit market,being an apple polisher,Ő vállalta el az alma polírozó munkát a gyümölcspiacon.,사과 광택제를 발라주는 사람이 되는 것.,그는 상사를 아첨하고 지속적으로 아첨하여 승진을 받았다.
apples to apples,having a fair comparison between the two things,"To make a fair judgment, we need [[to compare apples to apples]] in this situation","In the fruit market, we had [[to compare apples to apples]] to find the best quality","To make a fair judgment, we need to compare apples to apples in this situation","In the fruit market, we had to compare apples to apples to find the best quality",to compare apples to apples,"A gyümölcspiacon azon kellett összehasonlítanunk az almákat, hogy megtaláljuk a legjobb minőséget.",사과를 사과와 비교하다.,이 상황에서 공정한 판단을 내리기 위해서는 사과를 사과와 비교해야 합니다.
arm in arm,to be closely allied,The two companies [[walked arm in arm]] in their joint venture,"The couple [[walked arm in arm]] down the street, enjoying the evening",The two companies walked arm in arm in their joint venture,"The couple walked arm in arm down the street, enjoying the evening",walked arm in arm,"A pár karöltve sétált az utcán, élvezve az estét.",팔짱을 끼고 걸었다.,두 회사는 합작사에서 팔짱을 끼고 함께 걸었다.
as far as,to the extent of something,His influence extends [[as far as the eye can see]] in the business world,The vast desert stretched out [[as far as the eye can see]],His influence extends as far as the eye can see in the business world,The vast desert stretched out as far as the eye can see,as far as the eye can see,Az óriási sivatag a szemhatárig terjedt.,눈이 볼 수 있는 한.,그의 영향력은 비즈니스 세계에서 눈이 닿는 한계까지 이어진다.
as long as,to put condition of time on an action,His patience was [[as long as the rope]] when dealing with difficult customers,The snake was [[as long as the rope]] lying next to it,His patience was as long as the rope when dealing with difficult customers,The snake was as long as the rope lying next to it,as long as the rope,"A kígyó olyan hosszú volt, mint az mellette fekvő kötél.",로프가 있는 한,그의 인내심은 어려운 고객들과 대할 때 줄만큼 길었다.
asked for the moon,ask for something that is very difficult or impossible to get,He [[asked for the moon]] when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",He asked for the moon when he requested a million-dollar salary,"The child, fascinated by astronomy, playfully asked for the moon as a birthday gift",asked for the moon,"A gyermek, aki lenyűgözte az asztrológiával, játékosan kérte a holdat születésnapi ajándékként.",달을 달라고 요청하다.,그는 백만 달러의 연봉을 요청할 때 달을 요구했다.
asleep at the switch,failing to attend to one's responsibilities or duties,The manager was [[asleep at the switch]] when the crisis occurred,The train operator fell [[asleep at the switch]] during his break,The manager was asleep at the switch when the crisis occurred,The train operator fell asleep at the switch during his break,asleep at the switch,A vonatvezető elaludt a váltónál a szünete alatt.,스위치에서 자다.,위기가 발생할 때 매니저는 스위치에서 자고 있었다.
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",The manager was [[asleep at the wheel]] when the company lost a major client,He was so exhausted that he fell [[asleep at the wheel]] while driving,The manager was asleep at the wheel when the company lost a major client,He was so exhausted that he fell asleep at the wheel while driving,asleep at the wheel,"Olyan kimerült volt, hogy elaludt a volán mögött vezetés közben.",바퀴를 잠자고 있다.,"그 회사가 주요 고객을 잃었을 때, 매니저는 운전대에서 잠들어 있었다."
at an arm's length,as far away from your body as possible,She [[kept it at an arm's length]] to avoid getting too involved in the situation,He [[kept it at an arm's length]] to prevent the paint from smudging his clothes,She kept it at an arm's length to avoid getting too involved in the situation,He kept it at an arm's length to prevent the paint from smudging his clothes,kept it at an arm's length,"Ő karhossznyira tartotta, hogy elkerülje a festék elkenődését a ruháin.",팔 길이만큼 멀리 두었다.,그녀는 상황에 너무 많이 개입하지 않기 위해 그것을 팔길이 떨어뜨려 놓았다.
at daggers drawn,almost ready to fight,The two politicians were [[at daggers drawn with each other]] during the debate,The actors were [[at daggers drawn with each other]] during the stage fight scene,The two politicians were at daggers drawn with each other during the debate,The actors were at daggers drawn with each other during the stage fight scene,at daggers drawn with each other,Az színészek egymással szemben álltak a színpadi harci jelenet alatt.,서로 칼을 뽑고 대립하다.,토론 중 두 정치인은 서로 칼을 뽑아 대립했다.
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",[[She started at the bottom of the ladder]] in the company and worked her way up,"Before climbing, [[she started at the bottom of the ladder]] and checked each rung for stability",She started at the bottom of the ladder in the company and worked her way up,"Before climbing, she started at the bottom of the ladder and checked each rung for stability",She started at the bottom of the ladder,"Mielőtt felmászott volna, az aljáról kezdve ellenőrizte az összes létralépést a stabilitás szempontjából.",그녀는 사다리의 맨 아래에서 시작했다.,그녀는 회사에서 사다리의 맨 아래에서 시작하여 자신의 노력으로 승진했습니다.
at the drop of a dime,something that can happen very fast without hesitation,Our team is always [[ready at the drop of a dime]] to tackle any challenge,The coin collector was [[ready at the drop of a dime]] to catch the rare coin,Our team is always ready at the drop of a dime to tackle any challenge,The coin collector was ready at the drop of a dime to catch the rare coin,ready at the drop of a dime,A pénzgyűjtő készen állt egy fillérnyi idő alatt elkapni a ritka érmét.,바로 대기중이다.,우리 팀은 언제든지 동전 하나 떨어질 때마다 어떤 도전이든 해결할 준비가 되어 있습니다.
at the drop of the hat,to do something easily and without any preparation,She was always [[ready at the drop of a hat]] to help her friends,"As a professional hat catcher, he was [[ready at the drop of a hat]] to catch any falling hats",She was always ready at the drop of a hat to help her friends,"As a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",ready at the drop of a hat,"Mint egy profi kalapfogó, ő készen állt bármikor elkapni a leeső kalapokat.",즉각적으로 준비되어 있다.,그녀는 언제든지 친구들을 돕기 위해 즉각적으로 준비되어 있었습니다.
at the helm,"in charge of an organization, group of people, etc.","She was [[at the helm of the project]], guiding the team to success","The captain stood [[at the helm of the project]], steering the ship through the storm","She was at the helm of the project, guiding the team to success","The captain stood at the helm of the project, steering the ship through the storm",at the helm of the project,"A kapitány a projekt kormányánál állt, és az árvízben vezette a hajót.",프로젝트의 지휘봉을 잡고 있는,"그녀는 프로젝트의 지휘봉을 잡고, 팀을 성공으로 이끌었습니다."
ate her alive,to criticize someone severely because you are angry with them,The guilt of lying to her best friend [[it ate her alive]] for days,"In the horror movie, the monster found her hiding spot and [[it ate her alive]]",The guilt of lying to her best friend it ate her alive for days,"In the horror movie, the monster found her hiding spot and it ate her alive",it ate her alive,A horror filmben a szörny megtalálta a rejtekhelyét és élve megevte őt.,그것은 그녀를 살아 먹었다.,그녀의 가장 친한 친구에게 거짓말을 한 죄책감은 며칠 동안 그녀를 괴롭혔다.
axe to grind,have a private or selfish reason for doing something,He [[had an axe to grind]] with his coworker after the disagreement,The lumberjack [[had an axe to grind]] before chopping down the tree,He had an axe to grind with his coworker after the disagreement,The lumberjack had an axe to grind before chopping down the tree,had an axe to grind,"Az erdésznek volt egy személyes ügye, mielőtt kivágta a fát.",이유를 가지고 있었다.,분쟁 후 그는 동료에게 원한이 있었다.
back against the wall,to be in a tough situation with limited options,"With no other options left, [[he had his back against the wall]] and had to make a decision",[[He had his back against the wall]] while waiting for the elevator,"With no other options left, he had his back against the wall and had to make a decision",He had his back against the wall while waiting for the elevator,he had his back against the wall,Az emeleti liftre várva a falnak támaszkodott.,그는 벽에 등을 붙여 있었다.,"다른 선택지가 없어서, 그는 벽에 등을 대고 결정을 내려야 했다."
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,[[She backed the wrong horse]] when she supported the losing candidate,"At the racetrack, [[she backed the wrong horse]] and lost her bet",She backed the wrong horse when she supported the losing candidate,"At the racetrack, she backed the wrong horse and lost her bet",She backed the wrong horse,A versenypályán rossz lovat támogatott és elvesztette a fogadását.,그녀는 잘못된 말에 걸었다.,그녀는 지는 후보를 지원해서 잘못된 선택을 했다.
backroom boy(s),people who work in anonymity,The company's success was largely due to [[the backroom boys]] who worked tirelessly behind the scenes,"In the storage area, [[the backroom boys]] were busy organizing and restocking shelves",The company's success was largely due to the backroom boys who worked tirelessly behind the scenes,"In the storage area, the backroom boys were busy organizing and restocking shelves",the backroom boys,A raktártérben a hátsó szobában dolgozó fiúk elfoglaltak voltak a polcok szervezésével és feltöltésével.,백룸 보이즈,회사의 성공은 대부분 뒷마당에서 힘들게 일한 사람들 덕분이었다.
bad egg,someone who fails to meet expectations,"Despite his charming demeanor, he [[turned out to be a bad egg]] in the company",The carton of eggs we bought [[turned out to be a bad egg]] when we cracked it open,"Despite his charming demeanor, he turned out to be a bad egg in the company",The carton of eggs we bought turned out to be a bad egg when we cracked it open,turned out to be a bad egg,"A megvásárolt tojáscsomagból kiderült, hogy rossz tojás, amikor feltörtük.",나쁜 알이었다.,"그의 매력적인 태도에도 불구하고, 그는 회사에서 나쁜 알이 되었다."
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,He felt like he [[was carrying a ball and chain]] with his overwhelming responsibilities,The prisoner [[was carrying a ball and chain]] as a part of his punishment,He felt like he was carrying a ball and chain with his overwhelming responsibilities,The prisoner was carrying a ball and chain as a part of his punishment,was carrying a ball and chain,A rab a büntetésének részeként labdát és láncot cipelt.,공과 사슬을 들고 있었다.,"그는 압도적인 책임을 지고 있는 것 같아서, 그는 고문을 받고 있는 것 같았다."
bare bones,most basic and important elements or facts,"During the meeting, she [[presented the bare bones]] of the project plan",The archaeologist [[presented the bare bones]] of the ancient skeleton,"During the meeting, she presented the bare bones of the project plan",The archaeologist presented the bare bones of the ancient skeleton,presented the bare bones,Az archeológus bemutatta az ősi csontváz csupasz csontjait.,노출 된 최소한의 내용을 제시했다.,회의 중에 그녀는 프로젝트 계획의 요약을 제시했습니다.
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,Accusing her of stealing the documents [[was barking up the wrong tree]],"The confused dog [[was barking up the wrong tree]], as the squirrel had already moved to another one",Accusing her of stealing the documents was barking up the wrong tree,"The confused dog was barking up the wrong tree, as the squirrel had already moved to another one",was barking up the wrong tree,"Az összezavart kutya a rossz fára ugatott, mivel a mókus már átment egy másikra.",잘못된 나무에 짖고 있었다.,그녀가 문서를 훔쳤다고 비난하는 것은 잘못된 길을 가는 것이다.
bats in the belfry,to be silly and slightly crazy and behave in a confused way,His wild theories and peculiar behavior made others think he [[had bats in the belfry]],The old church tower [[had bats in the belfry]] that flew out at dusk,His wild theories and peculiar behavior made others think he had bats in the belfry,The old church tower had bats in the belfry that flew out at dusk,had bats in the belfry,"Az öreg templomtoronyban denevérek laktak, amelyek alkonyatkor repültek ki a haranglábából.",좀 미친 것 같다.,그의 엉뚱한 이론과 특이한 행동은 다른 사람들이 그가 미친 것 같다고 생각하게 만들었다.
batten down the hatches,to get ready for trouble,"When the company announced layoffs, employees had [[to batten down the hatches]] and prepare for the worst","As the storm approached, the sailors rushed [[to batten down the hatches]] on the ship","When the company announced layoffs, employees had to batten down the hatches and prepare for the worst","As the storm approached, the sailors rushed to batten down the hatches on the ship",to batten down the hatches,"Ahogy közeledett a vihar, a tengerészek siettek lezárni a hajó ajtajait.",단단히 문을 잠그다.,"회사가 해고를 발표하면서, 직원들은 대비책을 세우고 최악의 상황에 대비해야 했다."
baying for blood,want somebody to be hurt or punished.,The angry mob was [[baying for blood]] after the politician's scandal,The pack of hungry wolves was [[baying for blood]] as they hunted their prey,The angry mob was baying for blood after the politician's scandal,The pack of hungry wolves was baying for blood as they hunted their prey,baying for blood,Az éhes farkasok falkája vért kiáltva vadászott az áldozatukra.,피를 원하는 소리,정치인의 스캔들 이후 분노한 군중은 피를 원하며 소리쳤다.
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,Their opposing political views put them [[on a collision course with each other]],"The two ships, sailing at full speed, were [[on a collision course with each other]]",Their opposing political views put them on a collision course with each other,"The two ships, sailing at full speed, were on a collision course with each other",on a collision course with each other,"A két hajó, teljes sebességgel haladva, ütközési pályán voltak egymással.",서로 충돌 코스에 있습니다.,그들의 상반된 정치적 견해는 서로 충돌하게 만들었다.
beat around the bush,avoid talking about the main topic,"If you have something to say, just [[stop beating around the bush]] and tell me","If you want to trim the garden, [[stop beating around the bush]] and start cutting it","If you have something to say, just stop beating around the bush and tell me","If you want to trim the garden, stop beating around the bush and start cutting it",stop beating around the bush,"Ha szeretnéd lenyírni a kertet, hagyd abba a kertelést és kezdj el vágni.",빙빙 돌리지 말고 본론으로 들어가세요.,"당신이 말하고 싶은 게 있다면, 그냥 둘러대지 말고 솔직히 말해주세요."
beat the drum,to speak eagerly about something you support,He tirelessly [[beat the drum for the cause]] to raise awareness about climate change,The musician [[beat the drum for the cause]] during the charity concert,He tirelessly beat the drum for the cause to raise awareness about climate change,The musician beat the drum for the cause during the charity concert,beat the drum for the cause,A zenész ütötte a dobokat az ügy érdekében a jótékonysági koncerten.,원인을 위해 북을 치다.,그는 기후 변화에 대한 인식을 높이기 위한 원인을 위해 지칠 줄 모르고 북을 쳤다.
bee in bonnet,be possessed with one thought or scheme,She [[had a bee in her bonnet]] about the new policy changes,"During the picnic, she accidentally [[had a bee in her bonnet]] and panicked",She had a bee in her bonnet about the new policy changes,"During the picnic, she accidentally had a bee in her bonnet and panicked",had a bee in her bonnet,"A piknik alatt véletlenül beleszállt egy méh a kalapjába, és pánikba esett.",그녀는 머리에 벌이 있었다.,그녀는 새로운 정책 변경에 대해 고집스레 생각하고 있었다.
been tailor made,specially made for a particular purpose,The job opportunity [[has been tailor made]] for her skills and experience,The suit [[has been tailor made]] to fit his measurements perfectly,The job opportunity has been tailor made for her skills and experience,The suit has been tailor made to fit his measurements perfectly,has been tailor made,"A ruha szabómester által készült, hogy tökéletesen illeszkedjen az ő méreteihez.",맞춤 제작되었습니다.,그 일 기회는 그녀의 기술과 경험에 맞게 맞춤 제작되었습니다.
begun to see the light,to suddenly begin to understand,"After hours of studying, he finally [[began to see the light]] and understood the concept","As the sun rose, she [[began to see the light]] streaming through the window","After hours of studying, he finally began to see the light and understood the concept","As the sun rose, she began to see the light streaming through the window",began to see the light,"Ahogy felkel a nap, ő elkezdte látni a fényt áramló az ablakon.",빛을 보기 시작했다.,"수 시간 동안 공부한 후, 그는 드디어 빛을 보고 개념을 이해하기 시작했다."
