idiom,meaning,a,f,l
break up,end a romantic relationship with someone,They broke up,They broke up because they couldn't agree on how to spend their holidays,"They broke up the firewood, which they had spent a few hours cutting"
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,He had a card up his sleeve,"He had a card up his sleeve when he went into the meeting, which allowed him to surprise everyone with his unexpected solution","He had a card up his sleeve when he went into the meeting, as he wanted to provide visual aids for his presentation"
cards are stacked against,"someone is not likely to succeed, especially because the person is not being given a fair chance",The cards are stacked against him,The cards are stacked against him because he doesn't have the same opportunities as others,The cards are stacked against him because he is not good at card games
carry coals to new castle,to take something to a place or a person that has a lot of that thing already,He's already carrying coals to Newcastle,"He's already carrying coals to Newcastle, trying to convince his boss to change her mind","He's already carrying coals to Newcastle, since coal is the main export of the region"
chew the fat,to have friendly banter for hours on end.,We were chewing the fat,We were chewing the fat and catching up,We were chewing the fat to see if it was edible
chop and change,repeatedly change.,I'm always chopping and changing,I'm always chopping and changing what I'll do this weekend,I'm always chopping and changing this recipe with different ingredients
close shave,a narrow escape,That was a close shave,That was a close shave when I narrowly avoided an accident on the highway,That was a close shave when I used my razor to give myself a very close shave
cold feet,loss of courage,He got cold feet,He got cold feet and decided to back out of the wedding at the last minute,He got cold feet when he put on his socks
concern with,to be busy with something,They have concerns with it,They have concerns with it as it will cause more problems,They have concerns with it as they think it could be improved
cook his goose,to spoil someone's chances of success,He cooked his goose,He cooked his goose when he put his entire life savings on the stock market,He cooked his goose for dinner and it was delicious
dance to tune,to do what someone else forces you to do,She dances to their tune,"She dances to their tune, meaning she does as they say","She dances to their tune, matching their rhythmic music"
deep down,felt strongly and often hidden from other people,She knew deep down,She knew deep down that spending more time with her family was the right decision,She knew deep down in her subconscious mind
die hard,"disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro",She is a die hard fan,She is a die hard fan of the band and she has been a fan of them since she was a kid,She is a die hard fan since she managed to survive their concert in the extreme heat of the summer
dodge a bullet,to narrowly avoid a very serious problem or a disaster,I dodged a bullet,I dodged a bullet when she said she was willing to forgive me,I dodged a bullet when it whizzed past me
double-edged sword,something that could either help you or hurt you,This is a double-edged sword,This is a double-edged sword because it has both advantages and disadvantages,This is a double-edged sword since it has two sharp sides
dragging its feet,"delaying in decision, not showing enthusiasm",The government is dragging its feet,The government is dragging its feet when it comes to passing this new bill,The government is dragging its feet across the street
drive up the wall,to make someone angry or irritated,He drove me up the wall,He drove me up the wall when he started asking too many questions,He drove me up the wall when he took me for a car ride
drop by,an informal visit,I dropped by yesterday,I dropped by yesterday to get my job application checked,I dropped by yesterday to deliver a package
fan the flames,make a bad situation even worse,He fanned the flames,He fanned the flames by exciting the argument further,He fanned the flames of the campfire to keep it going
fight a losing battle,trying to do something even when there is little chance of succeeding,He's fighting a losing battle,He's fighting a losing battle to get his point across,He's fighting a losing battle since none of his punches are landing
flip the bird,show someone the middle finger as an act of contempt or anger,She flipped the bird,She flipped the bird after hearing what he had to say,She flipped the bird to fly away
give me five,when you want someone to open a hand so you can hit it with your open hand in greeting or celebration,Can you give me five?,Can you give me five to show your support for this cause?,Can you give me five to high-five me?
green thumb,good gardening results,He has a green thumb,He has a green thumb as he was able to make even the most difficult plants thrive and bloom,He has a green thumb due to a spray he often uses for his plants
had your chips,when someone has completely failed in what they set out to achieve,We've had our chips,We've had our chips and now it's time to move on,We've had our chips for lunch
hand in hand,close ties or connections,We walked hand in hand,We walked hand in hand to symbolize our everlasting unity,We walked hand in hand to keep our balance on the beach
hands are tied,to not be able to do anything about a situation,Our hands are tied,Our hands are tied due to the regulations set by the board of directors,Our hands are tied due to the rope around them
have a ball,to have a great time,We had a ball last night,We had a ball last night when we went out to the club and danced the night away,We had a ball last night as we kicked it around the living room
heart in his mouth,to feel extremely anxious or nervous faced with a dangerous or unpleasant situation,He had a heart in his mouth,He had a heart in his mouth while giving his presentation as he was very anxious,He had a heart in his mouth because he was eating an organ meat dish
hide light under a bushel,to show modesty towards something or someone,We shouldn't hide our light under a bushel,We shouldn't hide our light under a bushel since we have so much to offer,We shouldn't hide our light under a bushel because it will not be visible
hit the bull's-eye,to be exactly right about something or achieve the best result possible,He hit the bull's-eye,He hit the bull's-eye with the right solution to the problem,He hit the bull's-eye when he played darts
in at the deep end,to start a new job or activity without being prepared for it,She jumped in at the deep end,She jumped in at the deep end by taking on a big project without any experience,She jumped in at the deep end of the swimming pool
in hot water,in trouble or state of shame,He's in hot water,He's in hot water because he's been getting complaints from his customers lately,He's in hot water because he was taking a hot bath
in light of,because of,We're changing plans in light of ____,We're changing plans in light of the current situation,We're changing plans in light of the intense sunlight
jobs for the boys,work that someone in an important position gives to their friends or relations,"It was jobs for the boys"" ",It was jobs for the boys when they got the promotion despite not being the most qualified,It was jobs for the boys when they got hired as laborers to work at the construction site
jury's out,when there is no general agreement or consensus on something,The jury's out on that,The jury's out on that decision and nothing is certain yet,The jury's out of the court room and they are deliberating on that verdict
keep body and soul together,manage to stay alive with very little money,He was trying to keep body and soul together,He was trying to keep body and soul together by taking on odd jobs to make ends meet,He was trying to keep body and soul together by eating the barest minimum of food
keep on top,to stay informed,I'm trying to keep on top of things,I'm trying to keep on top of things in order to succeed,I'm trying to keep on top of the pile of documents so none get lost
last resort,the last thing you would do if you were desperate and all other courses of action had failed,As a last resort,"As a last resort, I'm going to try to fix it myself","As a last resort, I'm going to the store to buy a new one"
lead astray,make someone act or think in a wrong or foolish manner.,He was led astray,He was led astray by the promises of a better life abroad,He was led astray by the signs on the street
leaps and bounds,progress very quickly,My progress was leaps and bounds,My progress was leaps and bounds as I overcame my fear of public speaking,My progress was leaps and bounds as I train for the long jump event
look on the bright side,always try to see the good things even in bad situations,Let's look on the bright side,Let's look on the bright side and try to keep positive during this difficult time,Let's look on the bright side of the room and stay away from the shadows
lose head,not have control over your emotions,She lost her head,She lost her head when she completely panicked over her test results,She lost her head when a gust of wind blew it off the top of her costume
lose it,go insane or crazy,He lost it,He lost it when she told him the bad news,
love of life,the person who is loved most by someone in all their life,He has a love of life,He has a love of life that makes him appreciate every moment,He has a love of life that causes him to buy all the latest gadgets
lower the bar,to lower standards or expectations,He lowered the bar,He lowered the bar so that his employees had less to do and could be rewarded for minimal results,He lowered the bar from chest height to just above his knees at the gym
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",This was the nail in the coffin,This was the nail in the coffin for our relationship; we knew it was time to end it,"This was the nail in the coffin, as I was putting the final touches on the coffin"
night owl,Someone who is vigilant late at night.,She is a night owl,She is a night owl who can pull all-nighters without feeling tired,"She is a night owl because she stays up late, even when she should be sleeping"
not have a clue,to not know something.,He did not have a clue,He did not have a clue what to do next,He did not have a clue about the answer
off the cuff,in an unguarded way,He made an off the cuff comment,"He made an off the cuff comment without preparation, relying on his quick wit and improvisational skills",He made an off the cuff comment with his shirt sleeves rolled up
off the hook,free of a difficult situation,She's off the hook,She's off the hook thanks to her successful defense,She's off the hook now that she has unhooked her coat from the nail in the wall
old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,The task was old hat,"The task was old hat for me, since I had done it several times before",The task was old hat since I used my old fedora to accomplish it
out of business,out of operational conditions,The store is out of business,The store is out of business because of the competition,The store is out of business because the owner retired
paddle own canoe,To be able to act without having to depend on anyone.,He's paddling his own canoe,He's paddling his own canoe to achieve his career goals,He's paddling his own canoe around the lake
pass on the baton,give responsibility for something important to another person.,She passed on the baton,She passed on the baton because she wanted to pass her responsibilities to the next generation,She passed on the baton to keep the race going
pound of flesh,an unreasonable demand but something that is one's legal right.,She asked for a pound of flesh,She asked for her pound of flesh after the other person wronged her,She asked for a pound of flesh from the other person
put a sock in it,to ask someone to stop talking,He put a sock in it,He put a sock in it when he noticed his professor was not liking his comment,He put a sock in it so his roommate in the next room wouldn't hear his mumbling
rain check,declining an offer that might be taken up later.,He took a rain check,He took a rain check when I asked him to join us for lunch,He took a rain check when it started raining
raise the bar,to be better than what went before,He raised the bar,He raised the bar by giving his best performance in the competition,He raised the bar by installing a pullup bar in the gym
rat race,"to be following a routine that is both, exhaustive as well as competitive",I'm in the rat race,"I'm in the rat race, competing for the same promotions and achievements like everyone else","I'm in the rat race, running around in circles like all the other rats"
rip off,the act of stealing,That was a rip off,"That was a rip off, as the company cheated me out of my money","That was a rip off, as my shirt got ripped off when I caught it in the door"
round the clock,continuously or interrupted,We worked round the clock,We worked round the clock to finish the project before the deadline,"We worked round the clock, making sure each side was completely facing the center of the circle"
rub shoulders,"to meet and spend time with people, especially when they are powerful or famous","He rubbed shoulders with the celebrities"" ","He rubbed shoulders with the celebrities, making an impression in the industry","He rubbed shoulders with the celebrities, showing he was part of the group"
run a tight ship,to be strict about something,"He runs a tight ship"" ","He runs a tight ship, ensuring that all his employees are following the rules and staying disciplined","He runs a tight ship, not allowing anyone to run freely on deck"
saved his neck,to manage to escape from serious danger or trouble,He saved his neck,He saved his neck by telling the truth and avoiding the consequences,He saved his neck from being injured by wearing a helmet
see light at end of tunnel,to see signs of hope for the future after a long period of difficulty,I can see the light at the end of the tunnel,"I can see the light at the end of the tunnel, which means the hard times will soon be over","I can see the light at the end of the tunnel, which is helpful for navigating the unfamiliar area"
shades of grey,refers to a situation where things are not really clear,The situation was shades of grey,"The situation was shades of grey, which made it difficult to decide between the two options",The situation was shades of grey as the sky darkened with clouds
sleep tight,an affectionate way of wishing someone a good night's sleep,I'm going to sleep tight,I'm going to sleep tight knowing that everything will be alright,I'm going to sleep tight on this mattress
smooth sailing,easy progress without impediment or difficulty,"It was smooth sailing"" ","It was smooth sailing from that moment on, as everything went according to plan",It was smooth sailing as the wind was taking the boat steadily forward
snake in the grass,a hidden army,We have a snake in the grass,"We have a snake in the grass, someone who is untrustworthy and expected to betray us","We have a snake in the grass, a small reptile that slithered there unnoticed"
stab in the back,a disloyalty,He gave me a stab in the back,He gave me a stab in the back when he spread rumors about me,He gave me a stab in the back when he tried to tickle me
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,They tarred him with the same brush,"They tarred him with the same brush as the other cheaters, wrongly assuming he had done the same thing",They tarred him with the same brush and painted the wooden fence together
that's going too far,to do something that is considered extreme or unacceptable,He said that's going too far,He said that's going too far when I asked him to come to my place late at night,He said that's going too far when I suggested driving to the next state
the die is cast,"an unalterable decision has been reached, or step taken.",The die is cast,The die is cast and there is no going back,The die is cast and I'm ready to roll the dice
third wheel or fifth wheel,a person who is in a situation where they are not needed,He's the third wheel,"He's the third wheel at the table, making it awkward for everyone else","He's the third wheel on the bike, making it hard to move"
tight spot,to be in a very difficult situation,She's in a tight spot,She's in a tight spot since her exam results aren't as good as her parents expect,She's in a tight spot in the corner of the room
tighten belt,to save your money,I need to tighten my belt,I need to tighten my belt by cutting back on spending,I need to tighten my belt as it is too loose
twist arm,to make someone do what you want by making it difficult for them to refuse,He twisted his arm,He twisted his arm to find a way to get what he wanted,He twisted his arm to get himself out of an awkward position
up to the neck,"when people are very involved in something, especially when it's something wrong",He is up to the neck,He is up to the neck with his daily commitments,He is up to the neck in water as he goes for a swim
voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later",She was a voice in the wilderness,"She was a voice in the wilderness, standing for what she believed in despite not being understood or appreciated","She was a voice in the wilderness, shouting out in the open space"
vultures are circling,when something is in danger and its enemies are getting ready for the kill,The vultures are circling,"The vultures are circling, waiting for the opportunity to swoop in and take advantage of the situation","The vultures are circling, searching for food to scavenge"
wash hands of,abandon taking responsibility for someone or something,I washed my hands of it,I washed my hands of it by refusing to be responsible for the outcome,I washed my hands of it by actually using soap and water
wipe the slate clean,"to make a fresh start and forget all past offences, disagreements or mistakes","Let's wipe the slate clean"" ",Let's wipe the slate clean and start all over again,Let's wipe the slate clean so that I can write something new on it
