,,,,,,Name:,Jaechan Lee,
a wakeup call,something that makes you realize that you need to take action to change a situation,fig,"After failing the exam, [[she received a wakeup call]] to study harder",시험을 망치고 나서 [[그녀는]] 더 공부를 열심히 하기 위한 [[동기부여를 받았습니다]].,,FALSE,FALSE,FALSE
,,lit,[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,[[그녀는]] 아침 6시에 호텔 프론트 데스크로 부터 [[기상 알람을 받았습니다]].,,FALSE,FALSE,FALSE
a wet blanket,a person who spoils other people's fun.,fig,"He was always [[being a wet blanket]] at parties, constantly complaining",그는 항상 파티에서 끊임 없이 불평하는 [[흥을 깨는 사람이었습니다]].,,FALSE,FALSE,FALSE
,,lit,"After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground",비바람 이후에 돗자리는 [[젖은 담요]]로 땅에 있었습니다.,,FALSE,FALSE,FALSE
a whale of,very big (piece) of something,fig,We [[had a whale of a time]] at the amusement park,,,TRUE,FALSE,TRUE
,,lit,The marine biologist [[had a whale of a time]] studying the humpback's behavior,,,TRUE,FALSE,TRUE
a whole new ball game,a significant change in circumstances.,fig,"After the company's merger, [[it's a whole new ball game]] for the employees",회사의 합병이후 직원들의 [[상황이 완전히 달라졌습니다]].,,FALSE,FALSE,FALSE
,,lit,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players",축구에서 야구로 종목을 바꾸자 선수들은 [[전혀 다른 구기 종목을 하게 됩니다]].,,FALSE,FALSE,FALSE
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,fig,The company [[started a witch hunt]] to find the person responsible for the leak,,,TRUE,TRUE,FALSE
,,lit,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately",,,TRUE,TRUE,FALSE
Achilles heel,a vulnerable spot or weakness,fig,"Despite his intelligence, procrastination was [[his Achilles heel]]",,,TRUE,TRUE,FALSE
,,lit,"During the anatomy class, we studied [[his Achilles heel]] and its function",,,TRUE,TRUE,FALSE
acid test,a test that proves a hypothesis or validity of a product or idea,fig,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,동거를 결정하는 것은 그들이 함께 생활할 수 있는지 확인하기 위한 [[진정한 척도]]였습니다.,,FALSE,FALSE,FALSE
,,lit,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,그들은 함께 작업하며 다양한 용액의 pH를 측정해야 했기에 그 화학 실험은 [[그들간의 관계를 측정하는 산성 시험]]이었습니다. ,,FALSE,FALSE,FALSE
across the board,applying to everyone,fig,The company saw [[improvements across the board]] after implementing new strategies,새로운 전략을 시도한 후 회사는 [[모든 부문에서 향상]]을 보였습니다.,,FALSE,FALSE,FALSE
,,lit,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,체스 마스터는 말의 위치를 조정하며 [[전 체스판을 걸친 향상]]을 이루어냈습니다.,,FALSE,FALSE,FALSE
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",fig,"By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict",루머를 퍼뜨림으로서 [[그들은]] 현재 진행중인 갈등을 [[더욱 악화시켰습니다]].,,FALSE,FALSE,FALSE
,,lit,"To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","불장작을 계속 타오르게 하기 위해, 그들은 더 많은 나무를 던져서 [[불길에 연료를 추가했습니다]].",,FALSE,FALSE,FALSE
against the clock,in a great hurry to finish something before a particular time,fig,"With the deadline approaching, we [[were racing against the clock]] to finish the project","마감시간이 다가오자, 우리는 프로젝트를 완료하기 위해 [[바쁘게 움직였습니다]].",,FALSE,FALSE,FALSE
,,lit,"In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels",,,TRUE,FALSE,FALSE
against the grain,a difficult path to be followed,fig,His decision to quit his job was [[going against the grain]] of his family's expectations,그의 직장을 그만두는 결정은 가족의 반대를 무릅쓴 [[정상에 어긋난 행동]]이었습니다.,,FALSE,FALSE,FALSE
,,lit,"When sanding wood, [[going against the grain]] can cause scratches and damage","나무를 갈 때, 나무 [[결의 반대 방향]]으로 갈아내는 것은 긁힘과 손상을 일으킬 수 있습니다",,FALSE,FALSE,FALSE
ahead of the curve,better than others,fig,"By constantly learning new skills, she [[was staying ahead of the curve]] in her industry",새로운 기술을 끊임없이 배우다 보니 그녀는 자기 분야에 있어서 [[시대를 앞서고 있었습니다]],,FALSE,FALSE,FALSE
,,lit,The race car driver [[was staying ahead of the curve]] by maintaining a lead on the track,자동차 경주 선수는 트랙에서의 주도권을 유지한 채로 [[굽은 도로에서 앞장서고 있었습니다]].,,FALSE,FALSE,FALSE
ahead of the pack,more successful than other people who are trying to achieve the same things,fig,"By consistently innovating, the company is [[staying ahead of the pack]] in the industry",혁신을 계속하며 그 회사는 산업을 [[이끌고 있습니다]],,FALSE,FALSE,FALSE
,,lit,"During the marathon, the lead runner was [[staying ahead of the pack]] of other runners",마라톤 도중 선두 주자는 다른 주자들의 [[무리를 앞서고 있었습니다]],,FALSE,FALSE,FALSE
air their dirty laundry,to make public something embarrassing that should be kept secret,fig,"During the family reunion, [[they aired their dirty laundry]] in front of everyone",가족 모임 도중에 [[그들은]] 모두 앞에서 [[자신의 치부를 드러냈습니다]],,FALSE,FALSE,FALSE
,,lit,[[They aired their dirty laundry]] outside on the clothesline,[[그들은]] 빨래 줄에 [[더러운 빨래를 널어놓았습니다]],,FALSE,FALSE,FALSE
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,fig,"When she started telling her story, I promised to [[be all ears]]",그녀가 이야기를 시작했을 때 난 [[집중해서 귀기울여 들을 것]]을 약속했습니다,,FALSE,FALSE,FALSE
,,lit,"In the surreal art exhibit, the walls appeared to [[be all ears]]",초현실주의 예술 전시회에서 벽면들은 마치 [[모두 귀]]처럼 보였습니다,,FALSE,FALSE,FALSE
all Greek to me,used to convey that you cannot understand what is being said or written,fig,"When he started talking about quantum physics, [[it's all Greek to me]]",그가 양자약학에 대해 설명하기 시작했을 때 [[저는 하나도 알아들을 수 없었습니다]],,FALSE,FALSE,FALSE
,,lit,"Since I don't understand the language, when I read the Greek newspaper, [[it's all Greek to me]]",그 언어를 잘 모르는 제가 그리스의 신문을 읽으면 [[그것은 제게 그리스어 투성이입니다]],,FALSE,FALSE,FALSE
all the rage,when something is the height of popularity,fig,"In the 90s, [[the new fashion trend was all the rage]] among teenagers",90년대에 [[새로운 패션 트렌드는]] 청소년층 사이에서 [[엄청난 인기를 누렸습니다]],,FALSE,FALSE,FALSE
,,lit,"When the store ran out of stock, [[the new fashion trend was all the rage]] as customers angrily demanded more","매장에서 재고가 바닥나자, [[새로운 패션 트랜드는]] 더 많은 것들을 요구하는 화난 고객들의 [[분노의 대상이었습니다]]",,FALSE,FALSE,FALSE
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",fig,Her career [[went all the way up]] after she landed a major role in a blockbuster movie,,,TRUE,TRUE,FALSE
,,lit,The elevator [[went all the way up]] to the top floor of the building,,,TRUE,TRUE,FALSE
an item,be involved in a romantic relationship,fig,"After months of dating, they finally [[became an item]] and made their relationship official",몇달간의 데이트 이후 그들은 마침내 공식적으로 [[연인이 되었습니다]],,FALSE,FALSE,FALSE
,,lit,"In the virtual reality game, the player's avatar [[became an item]] to be collected by others",가상 현실 게임에서 플레이어의 아바타는 다른 사람들이 수집할 수 있는 [[아이템이 되었습니다]],,FALSE,FALSE,FALSE
ants in pants,be extremely restless,fig,He [[had ants in his pants]] and couldn't focus on the presentation,그는 [[몹시 불안해하며]] 발표에 집중을 하지 못했습니다,,FALSE,FALSE,FALSE
,,lit,"While picnicking, he accidentally sat on an anthill and [[had ants in his pants]]",소풍 중에 그는 실수로 개미집에 앉아서 [[바지에 개미가 들어갔습니다]],,FALSE,FALSE,FALSE
apple polisher,a flatterer; toady,fig,He got the promotion by [[being an apple polisher]] and constantly flattering the boss,그는 [[아첨꾼이 되어]] 계속해서 상사의 비위를 맞추는 것으로 승진했습니다,,FALSE,FALSE,FALSE
,,lit,She took up the job of [[being an apple polisher]] at the fruit market,그녀는 과일 시장에서 [[사과 광택제]]의 업무를 맡았습니다,,FALSE,FALSE,FALSE
apples to apples,having a fair comparison between the two things,fig,"To make a fair judgment, we need [[to compare apples to apples]] in this situation",공정한 판단을 내리기 위해서는 우리는 [[정당하게 비슷한 것들끼리만 비교해야]]합니다,,FALSE,FALSE,FALSE
,,lit,"In the fruit market, we had [[to compare apples to apples]] to find the best quality",우리는 과일 시장에서 최고의 품질의 사과를 찾아 [[여러 사과를 놓고 비교]]해야 했습니다,,FALSE,FALSE,FALSE
arm in arm,to be closely allied,fig,The two companies [[walked arm in arm]] in their joint venture,두 회사는 합작 투자를 통해 [[가까운 동료가 되었습니다]],,FALSE,FALSE,FALSE
,,lit,"The couple [[walked arm in arm]] down the street, enjoying the evening",그 커플은 [[팔짱을 끼고]] 거리를 [[걸으며]] 저녁 시간을 즐겼습니다.,,FALSE,FALSE,FALSE
as far as,to the extent of something,fig,His influence extends [[as far as the eye can see]] in the business world,,,TRUE,FALSE,TRUE
,,lit,The vast desert stretched out [[as far as the eye can see]],,,TRUE,FALSE,TRUE
as long as,to put condition of time on an action,fig,His patience was [[as long as the rope]] when dealing with difficult customers,,,TRUE,FALSE,TRUE
,,lit,The snake was [[as long as the rope]] lying next to it,,,TRUE,FALSE,TRUE
asked for the moon,ask for something that is very difficult or impossible to get,fig,He [[asked for the moon]] when he requested a million-dollar salary,그는 백만 달러의 연봉을 요구하는 [[터무니없이 불가능한 부탁을 했습니다]],,FALSE,FALSE,FALSE
,,lit,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",천문학의 매력에 빠진 그 아이는 [[달을]] 생일 선물로 [[달라고 부탁했습니다]],,FALSE,FALSE,FALSE
asleep at the switch,failing to attend to one's responsibilities or duties,fig,The manager was [[asleep at the switch]] when the crisis occurred,위기가 발생했을 때 관리자는 [[무책임하게 대응했습니다]],,FALSE,FALSE,FALSE
,,lit,The train operator fell [[asleep at the switch]] during his break,기차 운전사가 휴식 [[교대 시간에 잠들었습니다]],,FALSE,FALSE,FALSE
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",fig,The manager was [[asleep at the wheel]] when the company lost a major client,회사가 주요 고객을 잃었음에도 관리자는 [[무책임하게 대응했습니다]],,FALSE,FALSE,FALSE
,,lit,He was so exhausted that he fell [[asleep at the wheel]] while driving,그는 너무 피곤해서 운전 도중에 [[자동차 핸들을 잡고 잠이 들었습니다]],,FALSE,FALSE,FALSE
at an arm's length,as far away from your body as possible,fig,She [[kept it at an arm's length]] to avoid getting too involved in the situation,그녀는 상황에 너무 깊게 연루되고 싶지 않아서 [[그것과 마음의 거리를 두었습니다]],,FALSE,FALSE,FALSE
,,lit,He [[kept it at an arm's length]] to prevent the paint from smudging his clothes,그는 페인트가 옷에 번지지 않도록 [[그것으로부터 팔 길이만큼 떨어져 있었습니다]],,FALSE,FALSE,FALSE
at daggers drawn,almost ready to fight,fig,The two politicians were [[at daggers drawn with each other]] during the debate,"두 정치인은 토론 도중에 서로 [[격럴하게, 싸울듯이 대립했습니다]]",,FALSE,FALSE,FALSE
,,lit,The actors were [[at daggers drawn with each other]] during the stage fight scene,배우들은 무대 격투 장면 동안 [[서로 칼을 든채로 대립했습니다]],,FALSE,FALSE,FALSE
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",fig,[[She started at the bottom of the ladder]] in the company and worked her way up,[[그녀는 회사 맨 밑바닥 직급부터 시작해서]] 승진해 나아갔습니다,,FALSE,FALSE,FALSE
,,lit,"Before climbing, [[she started at the bottom of the ladder]] and checked each rung for stability",등만하기 전에 [[그녀는 사다리 밑에서 부터 시작하여]] 각 발판의 안정성을 점검했습니다,,FALSE,FALSE,FALSE
at the drop of a dime,something that can happen very fast without hesitation,fig,Our team is always [[ready at the drop of a dime]] to tackle any challenge,우리 우리팀은 언제든지 어떠한 도전에도 대처할 수 있도록 [[만반의 준비가 되어있습니다]],,FALSE,FALSE,FALSE
,,lit,The coin collector was [[ready at the drop of a dime]] to catch the rare coin,동선 수집가는 그 희귀한 [[동전이 땅에 떨어지기 전에 잡기 위해 준비가 되어있었습니다]],,FALSE,FALSE,FALSE
at the drop of the hat,to do something easily and without any preparation,fig,She was always [[ready at the drop of a hat]] to help her friends,그녀는 친구들을 돕기 위한 [[만반의 준비가]] 항상 [[되어있었습니다]],,FALSE,FALSE,FALSE
,,lit,"As a professional hat catcher, he was [[ready at the drop of a hat]] to catch any falling hats","전문 모자 잡이로서, 그는 언제든 [[떨어지는 모자를 잡기 위해 준비가 되어 있었습니다]]",,FALSE,FALSE,FALSE
at the helm,"in charge of an organization, group of people, etc.",fig,"She was [[at the helm of the project]], guiding the team to success",,,TRUE,FALSE,TRUE
,,lit,"The captain stood [[at the helm of the project]], steering the ship through the storm",,,TRUE,FALSE,TRUE
ate her alive,to criticize someone severely because you are angry with them,fig,The guilt of lying to her best friend [[it ate her alive]] for days,그녀의 절친한 친구에게 거짓말한 죄책감이 며칠 동안 [[그녀를 힘들게 했습니다]],,FALSE,FALSE,FALSE
,,lit,"In the horror movie, the monster found her hiding spot and [[it ate her alive]]",공포 영화에서 괴물이 그녀의 은신처를 찾아내어 [[그녀를 산 채로 먹어치웠습니다]],,FALSE,FALSE,FALSE
axe to grind,have a private or selfish reason for doing something,fig,He [[had an axe to grind]] with his coworker after the disagreement,그는 의견 충돌 이후 그의 직장 동료와 함께 [[다른 속셈이 생겼습니다]],,FALSE,FALSE,FALSE
,,lit,The lumberjack [[had an axe to grind]] before chopping down the tree,나무꾼에게는 나무를 베기 전에 [[갈아야할 도끼가 있었습니다]],,FALSE,FALSE,FALSE
back against the wall,to be in a tough situation with limited options,fig,"With no other options left, [[he had his back against the wall]] and had to make a decision",다른 선택이 없기에 [[그는 궁지에 몰린 채로]] 결정을 내려야만 했습니다,,FALSE,FALSE,FALSE
,,lit,[[He had his back against the wall]] while waiting for the elevator,[[그는]] 엘리베이터를 기다리는 동안 [[벽에 등을 기대고 있었습니다]],,FALSE,FALSE,FALSE
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,fig,[[She backed the wrong horse]] when she supported the losing candidate,그녀는 지는 후보를 지지하는 [[잘못된 선택을 했습니다]],,FALSE,FALSE,FALSE
,,lit,"At the racetrack, [[she backed the wrong horse]] and lost her bet","경마장에서 [[그녀는 잘못된 말에 돈을 걸었고]], 그 돈을 잃었습니다",,FALSE,FALSE,FALSE
backroom boy(s),people who work in anonymity,fig,The company's success was largely due to [[the backroom boys]] who worked tirelessly behind the scenes,회사의 성공은 대부분 뒤에서 끊임없이 일하는 [[막후의 인물들]] 덕분이었습니다,,FALSE,FALSE,FALSE
,,lit,"In the storage area, [[the backroom boys]] were busy organizing and restocking shelves",창고에서 [[재고 담당 일꾼]]들은 열심히 재고를 정리하고 다시 채우는 데 바빴습니다,,FALSE,FALSE,FALSE
bad egg,someone who fails to meet expectations,fig,"Despite his charming demeanor, he [[turned out to be a bad egg]] in the company",매력적인 품행에도 불구하고 그는 회사에서 [[믿지 못할 나쁜 사람으로 드러났습니다]],,FALSE,FALSE,FALSE
,,lit,The carton of eggs we bought [[turned out to be a bad egg]] when we cracked it open,달걀을 깨서 열자 우리가 샀던 달걀판이 [[나쁜 달걀이었다는 것으로 드러났습니다]],,FALSE,FALSE,FALSE
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,fig,He felt like he [[was carrying a ball and chain]] with his overwhelming responsibilities,그는 막중한 책임으로 인해 자신을 [[구속하는 짐을 짊어지고 있는 것]] 같다고 느꼈습니다,,FALSE,FALSE,FALSE
,,lit,The prisoner [[was carrying a ball and chain]] as a part of his punishment,죄수는 처벌의 일부로 [[공과 사슬을 옮기고 있었습니다]],,FALSE,FALSE,FALSE
bare bones,most basic and important elements or facts,fig,"During the meeting, she [[presented the bare bones]] of the project plan",회의 도중 그녀는 프로젝트 계획의 [[기본적인 틀을 제시했습니다]],,FALSE,FALSE,FALSE
,,lit,The archaeologist [[presented the bare bones]] of the ancient skeleton,고고학자는 고대 골격의 [[맨뼈를 보였습니다]],,FALSE,FALSE,FALSE
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path,fig,Accusing her of stealing the documents [[was barking up the wrong tree]],그녀를 문서 도용 혐의로 몰아붙이는 것은 [[엉뚱한 사람을 잘못 짚은 것이었습니다]],,FALSE,FALSE,FALSE
,,lit,"The confused dog [[was barking up the wrong tree]], as the squirrel had already moved to another one",다른 나무로 다람쥐가 옮겨가자 혼란에 빠진 개는 [[잘못된 나무를 향해 짖고 있었습니다]],,FALSE,FALSE,FALSE
bats in the belfry,to be silly and slightly crazy and behave in a confused way,fig,His wild theories and peculiar behavior made others think he [[had bats in the belfry]],그의 거침없는 이론과 기행적인 행실은 사람들로 하여금 그가 [[정신이 이상하다고]] 생각하게 만들었습니다,,FALSE,FALSE,FALSE
,,lit,The old church tower [[had bats in the belfry]] that flew out at dusk,오래된 교회 탑에는 매 황혼마다 날아오르는 [[박쥐가 종탑에]] 있었습니다,,FALSE,FALSE,FALSE
batten down the hatches,to get ready for trouble,fig,"When the company announced layoffs, employees had [[to batten down the hatches]] and prepare for the worst",회사가 감원을 발표하자 직원들은 [[위기에 대비하여]] 최악의 사태를 고려해두어야 했습니다,,FALSE,FALSE,FALSE
,,lit,"As the storm approached, the sailors rushed [[to batten down the hatches]] on the ship",폭풍이 다가오자 선원들은 서둘러 [[배의 갑판을 단단히 고정했습니다]],,FALSE,FALSE,FALSE
baying for blood,want somebody to be hurt or punished.,fig,The angry mob was [[baying for blood]] after the politician's scandal,,,TRUE,TRUE,FALSE
,,lit,The pack of hungry wolves was [[baying for blood]] as they hunted their prey,,,TRUE,TRUE,FALSE
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,fig,Their opposing political views put them [[on a collision course with each other]],그들의 대립적인 정치적 견해는 [[그들의 의견 충돌을 불가피하게]] 했습니다,,FALSE,FALSE,FALSE
,,lit,"The two ships, sailing at full speed, were [[on a collision course with each other]]",최고 속도로 항해하는 두 척의 배는 [[서로 충돌하는 경로에]] 있었습니다,,FALSE,FALSE,FALSE
beat around the bush,avoid talking about the main topic,fig,"If you have something to say, just [[stop beating around the bush]] and tell me","당신이 말하고 싶은 것이 있다면, [[요점을 피하지 말고]] 곧이 곧대로 말해주십시오",,FALSE,FALSE,FALSE
,,lit,"If you want to trim the garden, [[stop beating around the bush]] and start cutting it",당신이 정원을 다듬고 싶다면 [[덤불 언저리를 두들기는 것을 멈추고]] 곧바로 자르기 시작하십시오,,FALSE,FALSE,FALSE
beat the drum,to speak eagerly about something you support,fig,He tirelessly [[beat the drum for the cause]] to raise awareness about climate change,그는 기후 변화에 대한 인식을 높이기 위해 지치지 않고 [[홍보를 계속했습니다]],,FALSE,FALSE,FALSE
,,lit,The musician [[beat the drum for the cause]] during the charity concert,음악가는 자선 콘서트 동안 [[대의를 위해 북을 울렸습니다]],,FALSE,FALSE,FALSE
bee in bonnet,be possessed with one thought or scheme,fig,She [[had a bee in her bonnet]] about the new policy changes,그녀는 새로운 정책 변경에 대한 [[생각에 사로잡혀 있었습니다]],,FALSE,FALSE,FALSE
,,lit,"During the picnic, she accidentally [[had a bee in her bonnet]] and panicked",소풍 도중 그녀는 어쩌다 [[모자 안에 벌이 들어가자]] 당황하여 어쩔 줄을 몰라했습니다,,FALSE,FALSE,FALSE
been tailor made,specially made for a particular purpose,fig,The job opportunity [[has been tailor made]] for her skills and experience,그 취업 기회는 그녀의 기술과 경험에 [[안성맞춤이었습니다]],,FALSE,FALSE,FALSE
,,lit,The suit [[has been tailor made]] to fit his measurements perfectly,이 정장은 그의 치수에 완벽하게 맞도록 [[맞춤 제작되었습니다]],,FALSE,FALSE,FALSE
begun to see the light,to suddenly begin to understand,fig,"After hours of studying, he finally [[began to see the light]] and understood the concept",몇 시간의 공부 끝에 그는 마침내 [[깨달음을 얻고]] 개념을 이해하기 [[시작했습니다]],,FALSE,FALSE,FALSE
,,lit,"As the sun rose, she [[began to see the light]] streaming through the window",태양이 떠오르자 그녀는 창문을 통해 [[흐르는 빛을 보았습니다]],,FALSE,FALSE,FALSE
behind closed doors,in clandestine,fig,The board members discussed the matter [[behind closed doors]] to maintain confidentiality,이사회 구성원들은 기밀성을 유지하기 위해 문제를 [[비밀리에]] 논의했습니다,,FALSE,FALSE,FALSE
,,lit,"They stood [[behind closed doors]] while discussing the matter, as the room was too noisy",그들은 방이 너무 시끄러워지자 토론을 하는 동안 [[닫힌 문 뒤에]] 서있었습니다,,FALSE,FALSE,FALSE
being bouncing off the walls,excited and full of nervous energy,fig,The kids were [[bouncing off the walls]] after eating too much candy,아이들은 너무 많은 사탕을 먹고 난 뒤 [[몹시 흥분해 있었습니다]],,FALSE,FALSE,FALSE
,,lit,The rubber ball kept [[bouncing off the walls]] in the small room,작은 방 안에서 고무 공은 계속해서 [[벽에 튕겨졌습니다]],,FALSE,FALSE,FALSE
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody),fig,I always [[bend over backwards for them]] to make sure they're happy,저는 항상 그들이 행복을 확인하기 위해 [[안간힘을 씁니다]],,FALSE,FALSE,FALSE
,,lit,"During the yoga class, we had to [[bend over backwards for them]] to demonstrate the pose",요가 수업 동안 우리는 자세를 시범으로 보이기 위해 [[허리를 숙였습니다]],,FALSE,FALSE,FALSE
bent out of shape,to become angry.,fig,He [[got bent out of shape]] when he found out his favorite band was sold out,그는 자신이 가장 좋아하는 밴드의 티켓이 매진되었다는 사실을 알고 [[몹시 화가 났습니다]],,FALSE,FALSE,FALSE
,,lit,The metal rod [[got bent out of shape]] after the car accident,자동차 사고 이후 금속 막대의 [[형태가 찌그러졌습니다]],,FALSE,FALSE,FALSE
bent your ears,to talk to someone for a very long time about something boring,fig,The speaker [[bent their ears]] with his captivating stories,발표자는 그의 매혹적인 이야기로 [[오랜 시간동안 말을 이어나갔습니다]],,FALSE,FALSE,FALSE
,,lit,The strong wind [[bent their ears]] as they walked through the storm,그들이 폭풍을 뚫고 걸어가자 강력한 바람이 그들의 [[귀를 휘어지게 했습니다]],,FALSE,FALSE,FALSE
bet on the wrong horse,support a person or thing that ultimately fails,fig,[[She bet on the wrong horse]] when she chose to invest in that failing company,그녀는 실패한 회사에 투자를 함으로써 [[잘못된 선택을 했습니다]],,FALSE,FALSE,FALSE
,,lit,"At the racetrack, [[she bet on the wrong horse]] and lost her money",경마장에서 그녀는 [[잘못된 말에 돈을 걸었고]] 돈을 잃었습니다,,FALSE,FALSE,FALSE
between a rock and a hard place,having two very bad choices,fig,He was [[caught between a rock and a hard place]] when he had to choose between his job and his family,그는 자신의 일과 가족 중 하나를 골라야하는 [[곤란한 처지에 놓였습니다]],,FALSE,FALSE,FALSE
,,lit,"While hiking, she found herself [[caught between a rock and a hard place]] in a narrow passage",등산 도중 그녀는 좁은 통로에서 [[암석과 단단한 무언가에 갇혀 움직이지 못하게 되었습니다]],,FALSE,FALSE,FALSE
between you and me,a secret to be kept between two people,fig,"[[Between you and me, there's a secret]] that I can't share with anyone else",,,TRUE,FALSE,TRUE
,,lit,"He placed a mysterious box [[between you and me, there's a secret]] hidden inside it",,,TRUE,FALSE,TRUE
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",fig,The psychic claimed [[she looked beyond the veil]] and communicated with spirits,예언자는 [[그녀가 저승을 볼 수 있고]] 영혼과 대화할 수 있다고 주장했습니다,,FALSE,FALSE,FALSE
,,lit,"Standing in front of the window, [[she looked beyond the veil]] and saw the beautiful garden",창문 앞에 서서 [[그녀는 베일 저편을 바라보다가]] 아름다운 정원을 발견했습니다,,FALSE,FALSE,FALSE
big brother,A large organization or government agency that tries to control all aspects of human life and society.,fig,"With the new surveillance system, we felt like we were being [[watched by big brother]]",새로운 감시 시스템 때문에 우리는 [[거대한 독재 권력에게 주시당하고 있는 것]] 같았습니다,,FALSE,FALSE,FALSE
